"pli0092_h","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nie","2001","10832","0.506348530593625","0.499699885047413","0.512997176139838"
"Taeglich","2002","","","",""
"Min 1x pro Woche","2002","","","",""
"Min 1x pro Monat","2002","","","",""
"Seltener","2002","","","",""
"Nie","2002","","","",""
"Taeglich","2003","1467","0.0620816098713628","0.0588951040928747","0.0652681156498509"
"Min 1x pro Woche","2003","6361","0.270288220354587","0.264423599539324","0.27615284116985"
"Min 1x pro Monat","2003","1725","0.0751799670171497","0.0716979540885823","0.0786619799457171"
"Seltener","2003","4267","0.189043357520412","0.183872885071922","0.194213829968903"
"Nie","2003","8209","0.403406845236488","0.396928539141939","0.409885151331038"
"Taeglich","2004","","","",""
"Min 1x pro Woche","2004","","","",""
"Min 1x pro Monat","2004","","","",""
"Seltener","2004","","","",""
"Nie","2004","","","",""
"Taeglich","2005","","","",""
"Min 1x pro Woche","2005","6751","0.305574315997861","0.299277537599075","0.311871094396647"
"Min 1x pro Monat","2005","1618","0.0794316551139761","0.0757353150272108","0.0831279952007413"
"Seltener","2005","3866","0.183720054162143","0.178426529465008","0.189013578859277"
"Nie","2005","8324","0.43127397472602","0.42450418351652","0.43804376593552"
"Taeglich","2006","","","",""
"Min 1x pro Woche","2006","","","",""
"Min 1x pro Monat","2006","","","",""
"Seltener","2006","","","",""
"Nie","2006","","","",""
"Taeglich","2007","","","",""
"Min 1x pro Woche","2007","7116","0.333195567498668","0.326725805199707","0.339665329797628"
"Min 1x pro Monat","2007","1498","0.070972492682924","0.067447982302215","0.074497003063633"
"Seltener","2007","3629","0.177980808551987","0.172730714974361","0.183230902129614"
"Nie","2007","8147","0.417851131266421","0.41108146439205","0.424620798140792"
"Taeglich","2008","1536","0.0763538130337123","0.0725984442273345","0.08010918184009"
"Min 1x pro Woche","2008","6231","0.312388098823239","0.30583414554559","0.318942052100888"
"Min 1x pro Monat","2008","1479","0.0771456371720945","0.0733724645146796","0.0809188098295093"
"Seltener","2008","3645","0.189731277589792","0.184186700685985","0.195275854493598"
"Nie","2008","6319","0.344381173381163","0.337661783865408","0.351100562896917"
"Taeglich","2009","","","",""
"Min 1x pro Woche","2009","6515","0.355750499604336","0.348740935516139","0.362760063692532"
"Min 1x pro Monat","2009","1330","0.0767679636829149","0.0728700102204242","0.0806659171454056"
"Seltener","2009","3209","0.178525881368597","0.172918775685933","0.184132987051262"
"Nie","2009","6865","0.388955655344152","0.381817637718862","0.396093672969443"
"Taeglich","2010","","","",""
"Min 1x pro Woche","2010","","","",""
"Min 1x pro Monat","2010","","","",""
"Seltener","2010","","","",""
"Nie","2010","","","",""
"Taeglich","2011","","","",""
"Min 1x pro Woche","2011","10347","0.365797603546714","0.360181802053716","0.371413405039711"
"Min 1x pro Monat","2011","1806","0.0648195629493235","0.0619489268862121","0.0676901990124349"
"Seltener","2011","4583","0.161826651360219","0.157532579301002","0.166120723419436"
"Nie","2011","11522","0.407556182143744","0.401826972566507","0.41328539172098"
"Taeglich","2012","","","",""
"Min 1x pro Woche","2012","","","",""
"Min 1x pro Monat","2012","","","",""
"Seltener","2012","","","",""
"Nie","2012","","","",""
"Taeglich","2013","3513","0.143975943324537","0.139657213730452","0.148294672918621"
"Min 1x pro Woche","2013","8541","0.33638080718093","0.330568572592035","0.342193041769825"
"Min 1x pro Monat","2013","1248","0.0517127614270173","0.0489885746582103","0.0544369481958243"
"Seltener","2013","3654","0.143693390615113","0.139378188859152","0.148008592371074"
"Nie","2013","8428","0.324237097452403","0.31847876697083","0.329995427933977"
"Taeglich","2014","","","",""
"Min 1x pro Woche","2014","","","",""
"Min 1x pro Monat","2014","","","",""
"Seltener","2014","","","",""
"Nie","2014","","","",""
"Taeglich","2015","","","",""
"Min 1x pro Woche","2015","11232","0.431846805542413","0.425904275496355","0.43778933558847"
"Min 1x pro Monat","2015","1439","0.0561565568814379","0.0533945546714369","0.058918559091439"
"Seltener","2015","3673","0.134954118719196","0.13085503822012","0.139053199218273"
"Nie","2015","10346","0.377042518856953","0.371228209020346","0.38285682869356"
"Taeglich","2016","","","",""
"Min 1x pro Woche","2016","","","",""
"Min 1x pro Monat","2016","","","",""
"Seltener","2016","","","",""
"Nie","2016","","","",""
"Taeglich","2017","463","0.000909078286596502","0.000570467909373147","0.00124768866381986"
"Min 1x pro Woche","2017","12639","0.454549692074342","0.448955139049498","0.460144245099187"
"Min 1x pro Monat","2017","1563","0.0517948867493239","0.0493049305631479","0.0542848429354999"
"Seltener","2017","4083","0.130627940408775","0.126841614495022","0.134414266322528"
"Nie","2017","11682","0.362118402480963","0.356718418775529","0.367518386186396"
"Taeglich","2018","379","0.134991705376524","0.12309058803399","0.146892822719059"
"Min 1x pro Woche","2018","567","0.204602442125771","0.190552595202623","0.218652289048918"
"Min 1x pro Monat","2018","179","0.0683984265784519","0.0596069419371301","0.0771899112197738"
"Seltener","2018","514","0.157381622766187","0.144698782224647","0.170064463307728"
"Nie","2018","1528","0.434625803153066","0.417361470148133","0.451890136157999"
"Taeglich","2019","5222","0.181874854418692","0.177423790247456","0.186325918589928"
"Min 1x pro Woche","2019","10102","0.358549770357005","0.353015965216449","0.364083575497562"
"Min 1x pro Monat","2019","1340","0.0470302616581766","0.0445874166782441","0.0494731066381092"
"Seltener","2019","3776","0.132170740433495","0.128262759272818","0.136078721594172"
"Nie","2019","8411","0.280374373132631","0.275191266737505","0.285557479527758"
