,Unnamed: 0,year,sampreg,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
77,77,2001,West,At least once per month,0.06485,1083,21722,0.06257,0.06737
78,78,2001,West,Seldom,0.15834,2676,21722,0.15397,0.16251
79,79,2001,West,Never,0.48891,7839,21722,0.4835,0.49501
80,80,2001,East,At least once per week,0.20262,1122,21722,0.19525,0.20974
81,81,2001,East,At least once per month,0.04914,279,21722,0.04553,0.05336
82,82,2001,East,Seldom,0.16759,999,21722,0.1614,0.17395
83,83,2001,East,Never,0.58065,2993,21722,0.56951,0.59193
84,84,2003,West,At least once per week,0.34446,6266,22029,0.33755,0.35075
85,85,2003,West,At least once per month,0.07637,1327,22029,0.07319,0.07936
86,86,2003,West,Seldom,0.18306,3051,22029,0.17846,0.18845
87,87,2003,West,Never,0.39611,6062,22029,0.38979,0.40283
88,88,2003,East,At least once per week,0.28054,1562,22029,0.26828,0.2928
89,89,2003,East,At least once per month,0.0701,398,22029,0.06476,0.07731
90,90,2003,East,Seldom,0.21484,1216,22029,0.20494,0.22316
91,91,2003,East,Never,0.43452,2147,22029,0.42404,0.44435
92,92,2005,West,At least once per week,0.32316,5500,20559,0.31544,0.33022
93,93,2005,West,At least once per month,0.08171,1251,20559,0.07807,0.08587
94,94,2005,West,Seldom,0.17688,2767,20559,0.17081,0.18289
95,95,2005,West,Never,0.41825,6033,20559,0.40946,0.42523
96,96,2005,East,At least once per week,0.22905,1251,20559,0.21808,0.23932
97,97,2005,East,At least once per month,0.06959,367,20559,0.06366,0.076
98,98,2005,East,Seldom,0.21337,1099,20559,0.20077,0.22313
99,99,2005,East,Never,0.48799,2291,20559,0.47066,0.50159
100,100,2007,West,At least once per week,0.35242,5791,20390,0.34559,0.36102
101,101,2007,West,At least once per month,0.07175,1155,20390,0.06816,0.07576
102,102,2007,West,Seldom,0.17276,2592,20390,0.16703,0.17858
103,103,2007,West,Never,0.40306,5869,20390,0.39546,0.41082
104,104,2007,East,At least once per week,0.25155,1325,20390,0.23961,0.26708
105,105,2007,East,At least once per month,0.06743,343,20390,0.05985,0.07402
106,106,2007,East,Seldom,0.20129,1037,20390,0.19078,0.21411
107,107,2007,East,Never,0.47973,2278,20390,0.46479,0.49437
108,108,2008,West,At least once per week,0.40303,6163,19210,0.39317,0.41109
109,109,2008,West,At least once per month,0.07855,1147,19210,0.07425,0.0826
110,110,2008,West,Seldom,0.18331,2589,19210,0.17696,0.18854
111,111,2008,West,Never,0.33511,4564,19210,0.32794,0.34192
112,112,2008,East,At least once per week,0.32576,1604,19210,0.31047,0.34166
113,113,2008,East,At least once per month,0.07126,332,19210,0.06466,0.07883
114,114,2008,East,Seldom,0.21717,1056,19210,0.20488,0.22968
115,115,2008,East,Never,0.38581,1755,19210,0.372,0.39999
116,116,2009,West,At least once per week,0.37485,5258,17919,0.36528,0.38718
117,117,2009,West,At least once per month,0.07728,989,17919,0.07254,0.08171
