,Unnamed: 0,year,bula_h,pgisced97,ple0005,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
50,50,2002,Hesse,Post-secondary Non-tertiary Level,Not at all,0.6166,70,21145,0.51613,0.71163
51,51,2002,Hesse,First Stage of Tertiary Education,A Little,0.35965,33,21145,0.28098,0.44064
52,52,2002,Hesse,First Stage of Tertiary Education,Not at all,0.64035,58,21145,0.50873,0.80184
53,53,2002,Hesse,Second Stage of Tertiary Education,A Little,0.30143,103,21145,0.26555,0.34961
54,54,2002,Hesse,Second Stage of Tertiary Education,Not at all,0.69857,228,21145,0.61213,0.78978
55,55,2002,"Rhineland-Palatinate, Saarland",Pre-primary Level,Not at all,1.0,33,21145,0.74756,1.26901
56,56,2002,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Strong,0.24632,54,21145,0.21392,0.2774
57,57,2002,"Rhineland-Palatinate, Saarland",Lower Secondary Level,A Little,0.35343,81,21145,0.31094,0.40194
58,58,2002,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not at all,0.40025,104,21145,0.35688,0.45214
59,59,2002,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Strong,0.14661,92,21145,0.12926,0.16122
60,60,2002,"Rhineland-Palatinate, Saarland",Upper Secondary Level,A Little,0.32977,222,21145,0.30238,0.35363
61,61,2002,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not at all,0.52361,401,21145,0.49206,0.55628
62,62,2002,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not at all,1.0,33,21145,0.79886,1.18501
63,63,2002,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,A Little,0.32247,31,21145,0.23946,0.41702
64,64,2002,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not at all,0.67753,68,21145,0.55195,0.81274
65,65,2002,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,A Little,0.3359,53,21145,0.25802,0.43329
66,66,2002,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not at all,0.6641,114,21145,0.54942,0.80775
67,67,2002,Baden-Wuerttemberg,Pre-primary Level,Not at all,1.0,77,21145,0.81555,1.20781
68,68,2002,Baden-Wuerttemberg,Lower Secondary Level,Strong,0.26374,99,21145,0.22578,0.30368
69,69,2002,Baden-Wuerttemberg,Lower Secondary Level,A Little,0.39576,178,21145,0.35965,0.43933
70,70,2002,Baden-Wuerttemberg,Lower Secondary Level,Not at all,0.3405,210,21145,0.29695,0.3855
71,71,2002,Baden-Wuerttemberg,Upper Secondary Level,Strong,0.14483,154,21145,0.13235,0.16274
72,72,2002,Baden-Wuerttemberg,Upper Secondary Level,A Little,0.3502,422,21145,0.32595,0.3774
73,73,2002,Baden-Wuerttemberg,Upper Secondary Level,Not at all,0.50497,711,21145,0.47486,0.53939
74,74,2002,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,A Little,0.34606,33,21145,0.25613,0.43464
75,75,2002,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Not at all,0.65394,87,21145,0.53916,0.77849
76,76,2002,Baden-Wuerttemberg,First Stage of Tertiary Education,A Little,0.42922,80,21145,0.35253,0.51763
77,77,2002,Baden-Wuerttemberg,First Stage of Tertiary Education,Not at all,0.57078,117,21145,0.49816,0.65918
78,78,2002,Baden-Wuerttemberg,Second Stage of Tertiary Education,Strong,0.07945,32,21145,0.05727,0.10162
79,79,2002,Baden-Wuerttemberg,Second Stage of Tertiary Education,A Little,0.32234,157,21145,0.27039,0.37134
80,80,2002,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not at all,0.59822,307,21145,0.5434,0.66157
81,81,2002,Bavaria,Pre-primary Level,Not at all,1.0,46,21145,0.77733,1.27032
82,82,2002,Bavaria,Lower Secondary Level,Strong,0.20444,69,21145,0.17762,0.2277
83,83,2002,Bavaria,Lower Secondary Level,A Little,0.36141,146,21145,0.31369,0.40761
84,84,2002,Bavaria,Lower Secondary Level,Not at all,0.43415,203,21145,0.38357,0.49522
85,85,2002,Bavaria,Upper Secondary Level,Strong,0.14192,211,21145,0.12912,0.1535
86,86,2002,Bavaria,Upper Secondary Level,A Little,0.3673,601,21145,0.34786,0.39154
87,87,2002,Bavaria,Upper Secondary Level,Not at all,0.49078,890,21145,0.46391,0.51649
88,88,2002,Bavaria,Post-secondary Non-tertiary Level,A Little,0.29588,36,21145,0.22915,0.36503
89,89,2002,Bavaria,Post-secondary Non-tertiary Level,Not at all,0.70412,99,21145,0.58063,0.81882
90,90,2002,Bavaria,First Stage of Tertiary Education,Strong,0.15874,32,21145,0.12483,0.20719
91,91,2002,Bavaria,First Stage of Tertiary Education,A Little,0.34025,85,21145,0.28735,0.39756
92,92,2002,Bavaria,First Stage of Tertiary Education,Not at all,0.50102,138,21145,0.4445,0.57489
93,93,2002,Bavaria,Second Stage of Tertiary Education,Strong,0.08943,47,21145,0.06784,0.11375
94,94,2002,Bavaria,Second Stage of Tertiary Education,A Little,0.34039,200,21145,0.30116,0.38572
95,95,2002,Bavaria,Second Stage of Tertiary Education,Not at all,0.57018,376,21145,0.52024,0.62829
96,96,2002,Berlin,Lower Secondary Level,Not at all,1.0,38,21145,0.79577,1.16675
97,97,2002,Berlin,Upper Secondary Level,Strong,0.15423,48,21145,0.12875,0.17383
98,98,2002,Berlin,Upper Secondary Level,A Little,0.39157,132,21145,0.35238,0.43361
99,99,2002,Berlin,Upper Secondary Level,Not at all,0.4542,162,21145,0.4103,0.51278
100,100,2002,Berlin,First Stage of Tertiary Education,A Little,1.0,31,21145,0.78543,1.26236
101,101,2002,Berlin,Second Stage of Tertiary Education,A Little,0.41356,96,21145,0.34119,0.4903
102,102,2002,Berlin,Second Stage of Tertiary Education,Not at all,0.58644,141,21145,0.49064,0.66342
103,103,2002,Brandenburg,Lower Secondary Level,Not at all,1.0,31,21145,0.74796,1.24079
104,104,2002,Brandenburg,Upper Secondary Level,Strong,0.17211,78,21145,0.15221,0.19494
105,105,2002,Brandenburg,Upper Secondary Level,A Little,0.454,214,21145,0.4206,0.48624
106,106,2002,Brandenburg,Upper Secondary Level,Not at all,0.37389,190,21145,0.34425,0.40347
107,107,2002,Brandenburg,First Stage of Tertiary Education,A Little,0.49973,39,21145,0.38694,0.59937
108,108,2002,Brandenburg,First Stage of Tertiary Education,Not at all,0.50027,34,21145,0.38852,0.60702
109,109,2002,Brandenburg,Second Stage of Tertiary Education,Strong,0.1467,36,21145,0.11823,0.17733
110,110,2002,Brandenburg,Second Stage of Tertiary Education,A Little,0.57533,134,21145,0.52207,0.63117
111,111,2002,Brandenburg,Second Stage of Tertiary Education,Not at all,0.27797,83,21145,0.23372,0.32688
112,112,2002,Mecklenburg-Western Pomerania,Upper Secondary Level,Strong,0.19615,48,21145,0.16771,0.23603
113,113,2002,Mecklenburg-Western Pomerania,Upper Secondary Level,A Little,0.38955,103,21145,0.348,0.42951
114,114,2002,Mecklenburg-Western Pomerania,Upper Secondary Level,Not at all,0.4143,113,21145,0.35988,0.46497
115,115,2002,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,A Little,0.63047,58,21145,0.49879,0.7726
116,116,2002,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Not at all,0.36953,62,21145,0.30423,0.45088
117,117,2002,Saxony,Pre-primary Level,Not at all,1.0,33,21145,0.78737,1.27934
118,118,2002,Saxony,Lower Secondary Level,Strong,0.28489,32,21145,0.25348,0.31649
119,119,2002,Saxony,Lower Secondary Level,A Little,0.29334,38,21145,0.24665,0.34455
120,120,2002,Saxony,Lower Secondary Level,Not at all,0.42177,56,21145,0.35761,0.51288
121,121,2002,Saxony,Upper Secondary Level,Strong,0.15888,129,21145,0.14591,0.16978
122,122,2002,Saxony,Upper Secondary Level,A Little,0.40676,352,21145,0.38322,0.43323
123,123,2002,Saxony,Upper Secondary Level,Not at all,0.43436,410,21145,0.41093,0.46627
124,124,2002,Saxony,First Stage of Tertiary Education,A Little,0.52166,58,21145,0.42962,0.61024
125,125,2002,Saxony,First Stage of Tertiary Education,Not at all,0.47834,56,21145,0.37965,0.56915
126,126,2002,Saxony,Second Stage of Tertiary Education,Strong,0.11699,32,21145,0.09854,0.13453
127,127,2002,Saxony,Second Stage of Tertiary Education,A Little,0.44738,154,21145,0.396,0.49413
128,128,2002,Saxony,Second Stage of Tertiary Education,Not at all,0.43563,208,21145,0.38124,0.48863
129,129,2002,Saxony-Anhalt,Lower Secondary Level,A Little,0.50396,34,21145,0.41475,0.60116
130,130,2002,Saxony-Anhalt,Lower Secondary Level,Not at all,0.49604,34,21145,0.37709,0.64706
131,131,2002,Saxony-Anhalt,Upper Secondary Level,Strong,0.17215,84,21145,0.15513,0.18987
132,132,2002,Saxony-Anhalt,Upper Secondary Level,A Little,0.41753,204,21145,0.38157,0.45425
133,133,2002,Saxony-Anhalt,Upper Secondary Level,Not at all,0.41032,203,21145,0.37333,0.45191
134,134,2002,Saxony-Anhalt,First Stage of Tertiary Education,A Little,1.0,48,21145,0.83716,1.15789
135,135,2002,Saxony-Anhalt,Second Stage of Tertiary Education,A Little,0.53249,98,21145,0.46866,0.59314
136,136,2002,Saxony-Anhalt,Second Stage of Tertiary Education,Not at all,0.46751,103,21145,0.39069,0.54891
137,137,2002,Thuringa,Upper Secondary Level,Strong,0.1588,81,21145,0.14099,0.18367
138,138,2002,Thuringa,Upper Secondary Level,A Little,0.41649,245,21145,0.38634,0.45133
139,139,2002,Thuringa,Upper Secondary Level,Not at all,0.4247,262,21145,0.39079,0.46624
140,140,2002,Thuringa,First Stage of Tertiary Education,A Little,1.0,41,21145,0.83325,1.21591
141,141,2002,Thuringa,Second Stage of Tertiary Education,A Little,0.47257,70,21145,0.39088,0.56732
142,142,2002,Thuringa,Second Stage of Tertiary Education,Not at all,0.52743,95,21145,0.42478,0.6308
143,143,2004,Schleswig-Holstein,Lower Secondary Level,Not at all,1.0,45,19580,0.8299,1.17072
144,144,2004,Schleswig-Holstein,Upper Secondary Level,A Little,0.30857,104,19580,0.26949,0.34676
145,145,2004,Schleswig-Holstein,Upper Secondary Level,Not at all,0.69143,213,19580,0.6212,0.75715
146,146,2004,Schleswig-Holstein,First Stage of Tertiary Education,Not at all,1.0,33,19580,0.74211,1.31379
147,147,2004,Schleswig-Holstein,Second Stage of Tertiary Education,Not at all,1.0,73,19580,0.7861,1.22873
148,148,2004,Hamburg,Upper Secondary Level,A Little,0.34908,40,19580,0.27125,0.43147
149,149,2004,Hamburg,Upper Secondary Level,Not at all,0.65092,65,19580,0.53505,0.77258
150,150,2004,Hamburg,Second Stage of Tertiary Education,Not at all,1.0,56,19580,0.74343,1.22747
151,151,2004,Lower Saxony,Pre-primary Level,Not at all,1.0,52,19580,0.72281,1.21749
152,152,2004,Lower Saxony,Lower Secondary Level,Strong,0.26642,54,19580,0.21931,0.3144
153,153,2004,Lower Saxony,Lower Secondary Level,A Little,0.31438,82,19580,0.26518,0.35904
154,154,2004,Lower Saxony,Lower Secondary Level,Not at all,0.4192,118,19580,0.364,0.4809
155,155,2004,Lower Saxony,Upper Secondary Level,Strong,0.15961,136,19580,0.14222,0.17654
156,156,2004,Lower Saxony,Upper Secondary Level,A Little,0.4072,375,19580,0.37986,0.44129
157,157,2004,Lower Saxony,Upper Secondary Level,Not at all,0.43319,467,19580,0.40106,0.46169
158,158,2004,Lower Saxony,Post-secondary Non-tertiary Level,A Little,0.42817,40,19580,0.34422,0.5217
159,159,2004,Lower Saxony,Post-secondary Non-tertiary Level,Not at all,0.57183,59,19580,0.44171,0.74236
160,160,2004,Lower Saxony,First Stage of Tertiary Education,A Little,0.52955,51,19580,0.44237,0.62984
161,161,2004,Lower Saxony,First Stage of Tertiary Education,Not at all,0.47045,58,19580,0.37926,0.56759
162,162,2004,Lower Saxony,Second Stage of Tertiary Education,A Little,0.34658,92,19580,0.27986,0.41014
163,163,2004,Lower Saxony,Second Stage of Tertiary Education,Not at all,0.65342,179,19580,0.57269,0.74697
164,164,2004,Bremen,Upper Secondary Level,Not at all,1.0,46,19580,0.79388,1.22285
165,165,2004,North Rhine-Westphalia,Pre-primary Level,Not at all,1.0,131,19580,0.83472,1.18631
166,166,2004,North Rhine-Westphalia,Primary Level,A Little,0.55396,43,19580,0.4471,0.67209
167,167,2004,North Rhine-Westphalia,Primary Level,Not at all,0.44604,36,19580,0.37554,0.52937
168,168,2004,North Rhine-Westphalia,Lower Secondary Level,Strong,0.24357,117,19580,0.21624,0.2733
169,169,2004,North Rhine-Westphalia,Lower Secondary Level,A Little,0.32536,195,19580,0.29347,0.35845
170,170,2004,North Rhine-Westphalia,Lower Secondary Level,Not at all,0.43106,250,19580,0.38481,0.46934
171,171,2004,North Rhine-Westphalia,Upper Secondary Level,Strong,0.17692,322,19580,0.16673,0.18696
172,172,2004,North Rhine-Westphalia,Upper Secondary Level,A Little,0.3613,752,19580,0.34379,0.38004
173,173,2004,North Rhine-Westphalia,Upper Secondary Level,Not at all,0.46178,1114,19580,0.44311,0.47928
174,174,2004,North Rhine-Westphalia,Post-secondary Non-tertiary Level,A Little,0.30031,91,19580,0.24921,0.34986
175,175,2004,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not at all,0.69969,221,19580,0.64107,0.77645
176,176,2004,North Rhine-Westphalia,First Stage of Tertiary Education,Strong,0.19956,47,19580,0.15761,0.24069
177,177,2004,North Rhine-Westphalia,First Stage of Tertiary Education,A Little,0.35349,114,19580,0.30502,0.40373
178,178,2004,North Rhine-Westphalia,First Stage of Tertiary Education,Not at all,0.44695,166,19580,0.38308,0.49539
179,179,2004,North Rhine-Westphalia,Second Stage of Tertiary Education,Strong,0.09865,55,19580,0.0792,0.1213
180,180,2004,North Rhine-Westphalia,Second Stage of Tertiary Education,A Little,0.29729,269,19580,0.26265,0.3361
181,181,2004,North Rhine-Westphalia,Second Stage of Tertiary Education,Not at all,0.60406,506,19580,0.55245,0.64902
182,182,2004,Hesse,Pre-primary Level,Not at all,1.0,31,19580,0.72217,1.3759
183,183,2004,Hesse,Lower Secondary Level,Strong,0.30421,47,19580,0.25908,0.35876
184,184,2004,Hesse,Lower Secondary Level,A Little,0.31923,63,19580,0.26145,0.37469
185,185,2004,Hesse,Lower Secondary Level,Not at all,0.37656,77,19580,0.32111,0.44419
186,186,2004,Hesse,Upper Secondary Level,Strong,0.18999,105,19580,0.17496,0.20808
187,187,2004,Hesse,Upper Secondary Level,A Little,0.36293,240,19580,0.33384,0.39766
188,188,2004,Hesse,Upper Secondary Level,Not at all,0.44708,309,19580,0.40915,0.48573
189,189,2004,Hesse,Post-secondary Non-tertiary Level,A Little,0.29866,33,19580,0.22877,0.36457
190,190,2004,Hesse,Post-secondary Non-tertiary Level,Not at all,0.70134,74,19580,0.56717,0.83713
191,191,2004,Hesse,First Stage of Tertiary Education,A Little,0.47556,42,19580,0.36089,0.59672
192,192,2004,Hesse,First Stage of Tertiary Education,Not at all,0.52444,44,19580,0.39877,0.65767
193,193,2004,Hesse,Second Stage of Tertiary Education,A Little,0.28501,79,19580,0.23261,0.34257
194,194,2004,Hesse,Second Stage of Tertiary Education,Not at all,0.71499,215,19580,0.62871,0.80288
195,195,2004,"Rhineland-Palatinate, Saarland",Pre-primary Level,Not at all,1.0,32,19580,0.7522,1.28501
196,196,2004,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Strong,0.25148,49,19580,0.20607,0.29211
197,197,2004,"Rhineland-Palatinate, Saarland",Lower Secondary Level,A Little,0.33205,75,19580,0.28306,0.37302
198,198,2004,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not at all,0.41647,98,19580,0.36552,0.46359
199,199,2004,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Strong,0.16133,91,19580,0.13924,0.18424
200,200,2004,"Rhineland-Palatinate, Saarland",Upper Secondary Level,A Little,0.32403,209,19580,0.29071,0.35139
201,201,2004,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not at all,0.51464,371,19580,0.47435,0.55505
202,202,2004,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not at all,1.0,32,19580,0.76811,1.2771
203,203,2004,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,A Little,0.34961,34,19580,0.25234,0.4629
204,204,2004,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not at all,0.65039,61,19580,0.52619,0.77248
205,205,2004,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,A Little,0.3494,55,19580,0.26444,0.46513
206,206,2004,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not at all,0.6506,111,19580,0.53446,0.77935
207,207,2004,Baden-Wuerttemberg,Pre-primary Level,Not at all,1.0,70,19580,0.77944,1.23607
208,208,2004,Baden-Wuerttemberg,Lower Secondary Level,Strong,0.24203,83,19580,0.20591,0.28471
209,209,2004,Baden-Wuerttemberg,Lower Secondary Level,A Little,0.40971,159,19580,0.36858,0.46372
210,210,2004,Baden-Wuerttemberg,Lower Secondary Level,Not at all,0.34826,186,19580,0.29861,0.39743
211,211,2004,Baden-Wuerttemberg,Upper Secondary Level,Strong,0.15238,152,19580,0.13676,0.17074
212,212,2004,Baden-Wuerttemberg,Upper Secondary Level,A Little,0.36672,407,19580,0.33779,0.39174
213,213,2004,Baden-Wuerttemberg,Upper Secondary Level,Not at all,0.4809,638,19580,0.45086,0.51502
214,214,2004,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,A Little,0.32101,41,19580,0.23367,0.40604
215,215,2004,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Not at all,0.67899,87,19580,0.56528,0.81121
216,216,2004,Baden-Wuerttemberg,First Stage of Tertiary Education,A Little,0.38696,64,19580,0.32259,0.47734
217,217,2004,Baden-Wuerttemberg,First Stage of Tertiary Education,Not at all,0.61304,114,19580,0.52846,0.71463
218,218,2004,Baden-Wuerttemberg,Second Stage of Tertiary Education,Strong,0.07922,35,19580,0.05631,0.10794
219,219,2004,Baden-Wuerttemberg,Second Stage of Tertiary Education,A Little,0.32496,135,19580,0.27766,0.37509
220,220,2004,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not at all,0.59581,294,19580,0.53471,0.66495
221,221,2004,Bavaria,Pre-primary Level,Not at all,1.0,57,19580,0.79084,1.20387
222,222,2004,Bavaria,Lower Secondary Level,Strong,0.22308,68,19580,0.19683,0.26013
223,223,2004,Bavaria,Lower Secondary Level,A Little,0.36271,134,19580,0.31638,0.41564
224,224,2004,Bavaria,Lower Secondary Level,Not at all,0.41422,170,19580,0.36147,0.46439
225,225,2004,Bavaria,Upper Secondary Level,Strong,0.15405,206,19580,0.14021,0.17199
226,226,2004,Bavaria,Upper Secondary Level,A Little,0.37665,559,19580,0.356,0.39786
227,227,2004,Bavaria,Upper Secondary Level,Not at all,0.4693,810,19580,0.44325,0.49745
228,228,2004,Bavaria,Post-secondary Non-tertiary Level,A Little,0.4101,50,19580,0.30394,0.51923
229,229,2004,Bavaria,Post-secondary Non-tertiary Level,Not at all,0.5899,87,19580,0.5018,0.68389
230,230,2004,Bavaria,First Stage of Tertiary Education,A Little,0.35944,75,19580,0.29346,0.43146
231,231,2004,Bavaria,First Stage of Tertiary Education,Not at all,0.64056,132,19580,0.56241,0.74462
232,232,2004,Bavaria,Second Stage of Tertiary Education,Strong,0.07626,36,19580,0.05417,0.10143
233,233,2004,Bavaria,Second Stage of Tertiary Education,A Little,0.33091,178,19580,0.28639,0.37713
234,234,2004,Bavaria,Second Stage of Tertiary Education,Not at all,0.59283,352,19580,0.53312,0.65581
235,235,2004,Berlin,Lower Secondary Level,Not at all,1.0,35,19580,0.78406,1.2913
236,236,2004,Berlin,Upper Secondary Level,Strong,0.14796,51,19580,0.12507,0.17207
237,237,2004,Berlin,Upper Secondary Level,A Little,0.39017,123,19580,0.34433,0.43354
238,238,2004,Berlin,Upper Secondary Level,Not at all,0.46188,164,19580,0.40793,0.51584
239,239,2004,Berlin,First Stage of Tertiary Education,A Little,1.0,31,19580,0.7494,1.24949
240,240,2004,Berlin,Second Stage of Tertiary Education,Strong,0.1512,34,19580,0.11562,0.1887
241,241,2004,Berlin,Second Stage of Tertiary Education,A Little,0.40862,95,19580,0.34415,0.4743
242,242,2004,Berlin,Second Stage of Tertiary Education,Not at all,0.44018,121,19580,0.37087,0.51464
243,243,2004,Brandenburg,Upper Secondary Level,Strong,0.22176,84,19580,0.19423,0.24934
244,244,2004,Brandenburg,Upper Secondary Level,A Little,0.40462,180,19580,0.362,0.4489
245,245,2004,Brandenburg,Upper Secondary Level,Not at all,0.37362,184,19580,0.33494,0.41353
246,246,2004,Brandenburg,First Stage of Tertiary Education,A Little,0.51569,32,19580,0.36481,0.68615
247,247,2004,Brandenburg,First Stage of Tertiary Education,Not at all,0.48431,33,19580,0.35423,0.62966
248,248,2004,Brandenburg,Second Stage of Tertiary Education,A Little,0.62385,129,19580,0.54563,0.69692
249,249,2004,Brandenburg,Second Stage of Tertiary Education,Not at all,0.37615,95,19580,0.31869,0.45203
250,250,2004,Mecklenburg-Western Pomerania,Upper Secondary Level,Strong,0.1624,40,19580,0.13663,0.18874
251,251,2004,Mecklenburg-Western Pomerania,Upper Secondary Level,A Little,0.43445,107,19580,0.37734,0.483
252,252,2004,Mecklenburg-Western Pomerania,Upper Secondary Level,Not at all,0.40315,115,19580,0.3499,0.46001
253,253,2004,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,A Little,0.6475,69,19580,0.53065,0.76427
254,254,2004,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Not at all,0.3525,53,19580,0.27545,0.44709
255,255,2004,Saxony,Pre-primary Level,Not at all,1.0,39,19580,0.82938,1.27751
256,256,2004,Saxony,Lower Secondary Level,Not at all,1.0,51,19580,0.79199,1.1597
257,257,2004,Saxony,Upper Secondary Level,Strong,0.17451,133,19580,0.15948,0.19395
258,258,2004,Saxony,Upper Secondary Level,A Little,0.38553,329,19580,0.35961,0.4173
259,259,2004,Saxony,Upper Secondary Level,Not at all,0.43996,380,19580,0.40078,0.47135
260,260,2004,Saxony,Post-secondary Non-tertiary Level,Not at all,1.0,32,19580,0.73644,1.36255
261,261,2004,Saxony,First Stage of Tertiary Education,A Little,0.47808,52,19580,0.39371,0.58565
262,262,2004,Saxony,First Stage of Tertiary Education,Not at all,0.52192,56,19580,0.412,0.66781
263,263,2004,Saxony,Second Stage of Tertiary Education,Strong,0.16351,44,19580,0.13104,0.18865
