"ple0005","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Gar nicht","2009","Realschule","","","",""
"Gar nicht","2009","(Fach-)Abitur","","","",""
"Gar nicht","2009","AkademikerIn","","","",""
"Stark","2010","(noch) kein Abschluss","44","0.16180396444486","0.126286623395763","0.197321305493956"
"Stark","2010","Hauptschule","1345","0.253640979680339","0.242218820380159","0.265063138980519"
"Stark","2010","Realschule","498","0.126924522249513","0.117146091217145","0.136702953281882"
"Stark","2010","(Fach-)Abitur","152","0.0976903628878501","0.084319428334968","0.111061297440732"
"Stark","2010","AkademikerIn","362","0.107668739846316","0.0978509602856186","0.117486519407013"
"Ein wenig","2010","(noch) kein Abschluss","94","0.25407128626819","0.21208576776441","0.296056804771969"
"Ein wenig","2010","Hauptschule","2348","0.431110629542625","0.418109745524548","0.444111513560703"
"Ein wenig","2010","Realschule","1721","0.401115501971298","0.386718343922107","0.415512660020488"
"Ein wenig","2010","(Fach-)Abitur","536","0.288092340646181","0.267696773214054","0.308487908078309"
"Ein wenig","2010","AkademikerIn","1422","0.369740454823874","0.354450239222828","0.385030670424921"
"Gar nicht","2010","(noch) kein Abschluss","275","0.584124749286951","0.536590416005826","0.631659082568075"
"Gar nicht","2010","Hauptschule","1881","0.315248390777035","0.303051262851902","0.327445518702168"
"Gar nicht","2010","Realschule","2233","0.471959975779189","0.45729583843991","0.486624113118468"
"Gar nicht","2010","(Fach-)Abitur","1206","0.614217296465969","0.592294775158316","0.636139817773621"
"Gar nicht","2010","AkademikerIn","2045","0.52259080532981","0.506769887332076","0.538411723327544"
"Stark","2011","(noch) kein Abschluss","","","",""
"Stark","2011","Hauptschule","","","",""
"Stark","2011","Realschule","","","",""
"Stark","2011","(Fach-)Abitur","","","",""
"Stark","2011","AkademikerIn","","","",""
"Ein wenig","2011","(noch) kein Abschluss","","","",""
"Ein wenig","2011","Hauptschule","","","",""
"Ein wenig","2011","Realschule","","","",""
"Ein wenig","2011","(Fach-)Abitur","","","",""
"Ein wenig","2011","AkademikerIn","","","",""
"Gar nicht","2011","(noch) kein Abschluss","","","",""
"Gar nicht","2011","Hauptschule","","","",""
"Gar nicht","2011","Realschule","","","",""
"Gar nicht","2011","(Fach-)Abitur","","","",""
"Gar nicht","2011","AkademikerIn","","","",""
"Stark","2012","(noch) kein Abschluss","80","0.177698533486023","0.145576273307691","0.209820793664356"
"Stark","2012","Hauptschule","1630","0.237865550166283","0.227840319338412","0.247890780994154"
"Stark","2012","Realschule","697","0.137477051999193","0.128329824775221","0.146624279223165"
"Stark","2012","(Fach-)Abitur","201","0.0845790060976211","0.0734951106870436","0.0956629015081985"
"Stark","2012","AkademikerIn","474","0.110878058062507","0.101846717514309","0.119909398610705"
"Ein wenig","2012","(noch) kein Abschluss","140","0.308391206175395","0.269582435386745","0.347199976964046"
"Ein wenig","2012","Hauptschule","2890","0.430562507319511","0.418903704849736","0.442221309789286"
"Ein wenig","2012","Realschule","2049","0.383505402915996","0.370589064551289","0.396421741280703"
"Ein wenig","2012","(Fach-)Abitur","687","0.302177484821435","0.283885777818875","0.320469191823994"
"Ein wenig","2012","AkademikerIn","1643","0.341201219844483","0.327563855926986","0.35483858376198"
"Gar nicht","2012","(noch) kein Abschluss","324","0.513910260338581","0.471910142149352","0.55591037852781"
"Gar nicht","2012","Hauptschule","2409","0.331571942514206","0.320487112622858","0.342656772405553"
"Gar nicht","2012","Realschule","2698","0.479017545084811","0.465747381027267","0.492287709142355"
"Gar nicht","2012","(Fach-)Abitur","1533","0.613243509080944","0.59384421253372","0.632642805628168"
"Gar nicht","2012","AkademikerIn","2526","0.54792072209301","0.533604945501955","0.562236498684065"
"Stark","2013","(noch) kein Abschluss","","","",""
"Stark","2013","Hauptschule","","","",""
"Stark","2013","Realschule","","","",""
"Stark","2013","(Fach-)Abitur","","","",""
"Stark","2013","AkademikerIn","","","",""
"Ein wenig","2013","(noch) kein Abschluss","","","",""
"Ein wenig","2013","Hauptschule","","","",""
"Ein wenig","2013","Realschule","","","",""
"Ein wenig","2013","(Fach-)Abitur","","","",""
"Ein wenig","2013","AkademikerIn","","","",""
"Gar nicht","2013","(noch) kein Abschluss","","","",""
"Gar nicht","2013","Hauptschule","","","",""
"Gar nicht","2013","Realschule","","","",""
"Gar nicht","2013","(Fach-)Abitur","","","",""
"Gar nicht","2013","AkademikerIn","","","",""
"Stark","2014","(noch) kein Abschluss","142","0.166642270697976","0.143498892998261","0.189785648397691"
"Stark","2014","Hauptschule","1763","0.247855929843652","0.238507820430688","0.257204039256616"
"Stark","2014","Realschule","747","0.127338303714807","0.119451060715846","0.135225546713767"
"Stark","2014","(Fach-)Abitur","321","0.0865720333643808","0.0777869374504323","0.0953571292783292"
"Stark","2014","AkademikerIn","548","0.0991748984879648","0.0917432768848045","0.106606520091125"
"Ein wenig","2014","(noch) kein Abschluss","248","0.298441002385724","0.270023901686045","0.326858103085402"
"Ein wenig","2014","Hauptschule","3142","0.411358735429229","0.400704818015799","0.422012652842658"
"Ein wenig","2014","Realschule","2505","0.383235496804705","0.371732386516469","0.394738607092942"
"Ein wenig","2014","(Fach-)Abitur","999","0.258219284676902","0.244546636075553","0.27189193327825"
"Ein wenig","2014","AkademikerIn","1937","0.315602901275538","0.304047446560315","0.327158355990762"
"Gar nicht","2014","(noch) kein Abschluss","606","0.5349167269163","0.503940617392453","0.565892836440148"
"Gar nicht","2014","Hauptschule","3290","0.34078533472712","0.330523441518016","0.351047227936224"
"Gar nicht","2014","Realschule","3610","0.489426199480488","0.477598627385773","0.501253771575202"
"Gar nicht","2014","(Fach-)Abitur","2616","0.655208681958717","0.640359978685105","0.67005738523233"
"Gar nicht","2014","AkademikerIn","3729","0.585222200236497","0.57297235464122","0.597472045831774"
"Stark","2015","(noch) kein Abschluss","","","",""
"Stark","2015","Hauptschule","","","",""
"Stark","2015","Realschule","","","",""
"Stark","2015","(Fach-)Abitur","","","",""
"Stark","2015","AkademikerIn","","","",""
"Ein wenig","2015","(noch) kein Abschluss","","","",""
"Ein wenig","2015","Hauptschule","","","",""
"Ein wenig","2015","Realschule","","","",""
"Ein wenig","2015","(Fach-)Abitur","","","",""
"Ein wenig","2015","AkademikerIn","","","",""
"Gar nicht","2015","(noch) kein Abschluss","","","",""
"Gar nicht","2015","Hauptschule","","","",""
"Gar nicht","2015","Realschule","","","",""
"Gar nicht","2015","(Fach-)Abitur","","","",""
"Gar nicht","2015","AkademikerIn","","","",""
"Stark","2016","(noch) kein Abschluss","233","0.167831575591268","0.150829515083129","0.184833636099408"
"Stark","2016","Hauptschule","1522","0.243301946790162","0.233633032172983","0.252970861407341"
"Stark","2016","Realschule","722","0.13028197012266","0.121773844679778","0.138790095565542"
"Stark","2016","(Fach-)Abitur","324","0.0901635637123748","0.0814704119695687","0.0988567154551808"
"Stark","2016","AkademikerIn","569","0.0993837620520358","0.0920842326680004","0.106683291436071"
"Ein wenig","2016","(noch) kein Abschluss","499","0.269682950097687","0.249492705972958","0.289873194222415"
"Ein wenig","2016","Hauptschule","2844","0.411895693633424","0.400804853882463","0.422986533384385"
"Ein wenig","2016","Realschule","2281","0.392818333596806","0.380474283134499","0.405162384059113"
"Ein wenig","2016","(Fach-)Abitur","1116","0.274350407957831","0.260807985847251","0.287892830068411"
"Ein wenig","2016","AkademikerIn","1981","0.314074351887647","0.302749774191803","0.32539892958349"
"Gar nicht","2016","(noch) kein Abschluss","1124","0.562485474311045","0.539916542774468","0.585054405847621"
"Gar nicht","2016","Hauptschule","3199","0.344802359576414","0.334091732413403","0.355512986739424"
"Gar nicht","2016","Realschule","3010","0.476899696280534","0.464275361639964","0.489524030921104"
"Gar nicht","2016","(Fach-)Abitur","2730","0.635486028329794","0.620878048634757","0.650094008024831"
"Gar nicht","2016","AkademikerIn","3903","0.586541886060317","0.574526643746402","0.598557128374233"
"Stark","2017","(noch) kein Abschluss","101","0.111647834786254","0.0888644735420501","0.134431196030458"
"Stark","2017","Hauptschule","39","0.081779783040558","0.0552225490940288","0.108337016987087"
"Stark","2017","Realschule","1","","",""
"Stark","2017","(Fach-)Abitur","20","","",""
"Stark","2017","AkademikerIn","26","","",""
"Ein wenig","2017","(noch) kein Abschluss","212","0.249334822500351","0.218036960989598","0.280632684011103"
"Ein wenig","2017","Hauptschule","106","0.245946558889704","0.20421084222314","0.287682275556268"
"Ein wenig","2017","Realschule","","","",""
"Ein wenig","2017","(Fach-)Abitur","93","0.345552686469271","0.29200739853706","0.399097974401482"
"Ein wenig","2017","AkademikerIn","69","0.219292420860265","0.173671866486834","0.264912975233697"
"Gar nicht","2017","(noch) kein Abschluss","421","0.639017342713395","0.60427176378116","0.673762921645629"
"Gar nicht","2017","Hauptschule","264","0.672273658069738","0.626783739493835","0.717763576645641"
"Gar nicht","2017","Realschule","3","","",""
"Gar nicht","2017","(Fach-)Abitur","190","0.599022672347064","0.543839290081664","0.654206054612463"
"Gar nicht","2017","AkademikerIn","221","0.699459731684958","0.648907859639821","0.750011603730095"
"Stark","2018","(noch) kein Abschluss","320","0.174833467705125","0.158911156772189","0.190755778638062"
"Stark","2018","Hauptschule","1575","0.243765458291862","0.234077487806821","0.253453428776903"
"Stark","2018","Realschule","818","0.130303542206174","0.122218674125886","0.138388410286461"
"Stark","2018","(Fach-)Abitur","395","0.0936556396333062","0.0852535425489547","0.102057736717658"
"Stark","2018","AkademikerIn","578","0.0915529401323002","0.084772753500131","0.0983331267644694"
"Ein wenig","2018","(noch) kein Abschluss","625","0.260881246226179","0.24247346037237","0.279289032079988"
"Ein wenig","2018","Hauptschule","2856","0.412845164673375","0.401735821283148","0.423954508063603"
"Ein wenig","2018","Realschule","2487","0.387991617894471","0.376288520124552","0.399694715664391"
"Ein wenig","2018","(Fach-)Abitur","1252","0.29934439627479","0.286137159126738","0.312551633422843"
"Ein wenig","2018","AkademikerIn","2177","0.309041958570396","0.298177946229845","0.319905970910948"
"Gar nicht","2018","(noch) kein Abschluss","1241","0.564285286068696","0.543499163286245","0.585071408851147"
"Gar nicht","2018","Hauptschule","3114","0.343389377034763","0.332675026538958","0.354103727530567"
"Gar nicht","2018","Realschule","3355","0.481704839899355","0.469704596411984","0.493705083386727"
"Gar nicht","2018","(Fach-)Abitur","2972","0.606999964091903","0.592914708321954","0.621085219861852"
"Gar nicht","2018","AkademikerIn","4195","0.599405101297304","0.587884673314953","0.610925529279655"
"Stark","2019","(noch) kein Abschluss","24","","",""
"Stark","2019","Hauptschule","5","","",""
"Stark","2019","Realschule","1","","",""
"Stark","2019","(Fach-)Abitur","6","","",""
"Stark","2019","AkademikerIn","2","","",""
"Ein wenig","2019","(noch) kein Abschluss","32","0.231239811115147","0.157911281614246","0.304568340616048"
"Ein wenig","2019","Hauptschule","6","","",""
"Ein wenig","2019","Realschule","1","","",""
"Ein wenig","2019","(Fach-)Abitur","7","","",""
"Ein wenig","2019","AkademikerIn","3","","",""
"Gar nicht","2019","(noch) kein Abschluss","71","0.522699600435888","0.435829922066411","0.609569278805365"
"Gar nicht","2019","Hauptschule","34","0.670350776422299","0.533003857603571","0.807697695241026"
"Gar nicht","2019","Realschule","3","","",""
"Gar nicht","2019","(Fach-)Abitur","13","","",""
"Gar nicht","2019","AkademikerIn","18","","",""
"Stark","2020","(noch) kein Abschluss","327","0.203765769540106","0.187155525541304","0.220376013538909"
"Stark","2020","Hauptschule","1358","0.241059952568416","0.23084933063666","0.251270574500172"
"Stark","2020","Realschule","763","0.128827883439804","0.120521069180834","0.137134697698775"
"Stark","2020","(Fach-)Abitur","393","0.0872589443563257","0.0794830275973413","0.0950348611153101"
"Stark","2020","AkademikerIn","613","0.083125425853456","0.0769889391359976","0.0892619125709145"
"Ein wenig","2020","(noch) kein Abschluss","618","0.298381757779477","0.27951372831722","0.317249787241734"
"Ein wenig","2020","Hauptschule","2698","0.433137046067478","0.421308329369032","0.444965762765925"
"Ein wenig","2020","Realschule","2589","0.424043937770538","0.411789943106134","0.436297932434943"
"Ein wenig","2020","(Fach-)Abitur","1569","0.312335010076125","0.299565576787236","0.325104443365015"
"Ein wenig","2020","AkademikerIn","2514","0.334194720412212","0.323709651194892","0.344679789629533"
"Gar nicht","2020","(noch) kein Abschluss","1314","0.497852472680416","0.477234024573818","0.518470920787015"
"Gar nicht","2020","Hauptschule","2685","0.325803001364105","0.314614887561377","0.336991115166834"
"Gar nicht","2020","Realschule","2896","0.447128178789658","0.434799804002382","0.459456553576933"
"Gar nicht","2020","(Fach-)Abitur","3098","0.600406045567549","0.586910053466332","0.613902037668766"
"Gar nicht","2020","AkademikerIn","4648","0.582679853734332","0.571718919577905","0.593640787890758"
