year,pgisced97,quintil_oecd,ple0005,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,First Stage of Tertiary Education,2nd Quintile,A Little,0.40157,113,285,0.34456,0.45859
2002,First Stage of Tertiary Education,2nd Quintile,Not at all,0.42488,125,285,0.36739,0.48237
2002,First Stage of Tertiary Education,3rd Quintile,Strong,0.13623,42,329,0.09910,0.17335
2002,First Stage of Tertiary Education,3rd Quintile,A Little,0.35975,123,329,0.30781,0.41169
2002,First Stage of Tertiary Education,3rd Quintile,Not at all,0.50402,164,329,0.44991,0.55813
2002,First Stage of Tertiary Education,4th Quintile,Strong,0.10847,39,411,0.07837,0.13857
2002,First Stage of Tertiary Education,4th Quintile,A Little,0.39764,158,411,0.35027,0.44502
2002,First Stage of Tertiary Education,4th Quintile,Not at all,0.49389,214,411,0.44549,0.54229
2002,First Stage of Tertiary Education,5th Quintile,Strong,0.12670,43,434,0.09537,0.15803
2002,First Stage of Tertiary Education,5th Quintile,A Little,0.37422,164,434,0.32864,0.41980
2002,First Stage of Tertiary Education,5th Quintile,Not at all,0.49908,227,434,0.45198,0.54617
2002,Second Stage of Tertiary Education,1st Quintile,A Little,0.39460,76,177,0.32239,0.46681
2002,Second Stage of Tertiary Education,1st Quintile,Not at all,0.46265,101,177,0.38899,0.53631
2002,Second Stage of Tertiary Education,2nd Quintile,Strong,0.16556,39,279,0.12187,0.20925
2002,Second Stage of Tertiary Education,2nd Quintile,A Little,0.41443,110,279,0.35652,0.47234
2002,Second Stage of Tertiary Education,2nd Quintile,Not at all,0.42001,130,279,0.36199,0.47803
2002,Second Stage of Tertiary Education,3rd Quintile,Strong,0.11152,49,483,0.08342,0.13963
2002,Second Stage of Tertiary Education,3rd Quintile,A Little,0.39291,187,483,0.34931,0.43652
2002,Second Stage of Tertiary Education,3rd Quintile,Not at all,0.49556,247,483,0.45093,0.54020
2002,Second Stage of Tertiary Education,4th Quintile,Strong,0.11461,71,807,0.09262,0.13660
2002,Second Stage of Tertiary Education,4th Quintile,A Little,0.36566,297,807,0.33241,0.39891
2002,Second Stage of Tertiary Education,4th Quintile,Not at all,0.51973,439,807,0.48524,0.55422
2002,Second Stage of Tertiary Education,5th Quintile,Strong,0.07320,103,1605,0.06046,0.08595
2002,Second Stage of Tertiary Education,5th Quintile,A Little,0.32085,513,1605,0.29800,0.34369
2002,Second Stage of Tertiary Education,5th Quintile,Not at all,0.60595,989,1605,0.58203,0.62986
2004,No answer / don't know,1st Quintile,Not at all,0.65849,58,58,0.53538,0.78160
2004,No answer / don't know,2nd Quintile,Not at all,0.91456,49,49,0.83548,0.99364
2004,No answer / don't know,3rd Quintile,Not at all,0.84568,40,40,0.73231,0.95906
2004,No answer / don't know,4th Quintile,Not at all,0.91993,33,33,0.82590,1.01397
2004,No answer / don't know,5th Quintile,Not at all,0.73712,31,31,0.57960,0.89464
2004,Pre-primary Level,1st Quintile,Not at all,0.74621,83,83,0.65202,0.84041
2004,Pre-primary Level,2nd Quintile,Not at all,0.85400,104,104,0.78580,0.92219
2004,Pre-primary Level,3rd Quintile,Not at all,0.88235,105,105,0.82043,0.94428
2004,Pre-primary Level,4th Quintile,Not at all,0.96821,115,115,0.93600,1.00041
2004,Pre-primary Level,5th Quintile,Not at all,0.88848,148,148,0.83759,0.93936
2004,Primary Level,1st Quintile,A Little,0.46174,52,104,0.36546,0.55802
2004,Primary Level,1st Quintile,Not at all,0.39645,52,104,0.30198,0.49092
2004,Lower Secondary Level,1st Quintile,Strong,0.26856,179,775,0.23734,0.29978
2004,Lower Secondary Level,1st Quintile,A Little,0.31706,249,775,0.28428,0.34985
2004,Lower Secondary Level,1st Quintile,Not at all,0.41438,347,775,0.37967,0.44908
2004,Lower Secondary Level,2nd Quintile,Strong,0.24672,144,672,0.21410,0.27934
2004,Lower Secondary Level,2nd Quintile,A Little,0.35016,243,672,0.31407,0.38625
2004,Lower Secondary Level,2nd Quintile,Not at all,0.40312,285,672,0.36600,0.44023
2004,Lower Secondary Level,3rd Quintile,Strong,0.24455,90,491,0.20649,0.28261
2004,Lower Secondary Level,3rd Quintile,A Little,0.33192,163,491,0.29023,0.37362
2004,Lower Secondary Level,3rd Quintile,Not at all,0.42353,238,491,0.37978,0.46728
2004,Lower Secondary Level,4th Quintile,Strong,0.23574,78,368,0.19231,0.27917
2004,Lower Secondary Level,4th Quintile,A Little,0.33676,122,368,0.28841,0.38511
2004,Lower Secondary Level,4th Quintile,Not at all,0.42750,168,368,0.37688,0.47811
2004,Lower Secondary Level,5th Quintile,Strong,0.16333,37,250,0.11741,0.20925
2004,Lower Secondary Level,5th Quintile,A Little,0.42475,92,250,0.36335,0.48615
2004,Lower Secondary Level,5th Quintile,Not at all,0.41192,121,250,0.35079,0.47306
2004,Upper Secondary Level,1st Quintile,Strong,0.18796,283,1671,0.16922,0.20670
2004,Upper Secondary Level,1st Quintile,A Little,0.34135,561,1671,0.31860,0.36409
2004,Upper Secondary Level,1st Quintile,Not at all,0.47069,827,1671,0.44675,0.49463
2004,Upper Secondary Level,2nd Quintile,Strong,0.18730,355,2169,0.17088,0.20372
2004,Upper Secondary Level,2nd Quintile,A Little,0.37712,822,2169,0.35672,0.39753
2004,Upper Secondary Level,2nd Quintile,Not at all,0.43557,992,2169,0.41470,0.45645
2004,Upper Secondary Level,3rd Quintile,Strong,0.15451,337,2271,0.13964,0.16938
2004,Upper Secondary Level,3rd Quintile,A Little,0.41291,888,2271,0.39265,0.43316
2004,Upper Secondary Level,3rd Quintile,Not at all,0.43258,1046,2271,0.41220,0.45296
2004,Upper Secondary Level,4th Quintile,Strong,0.15777,312,2295,0.14285,0.17269
2004,Upper Secondary Level,4th Quintile,A Little,0.36220,799,2295,0.34253,0.38187
2004,Upper Secondary Level,4th Quintile,Not at all,0.48003,1184,2295,0.45958,0.50047
2004,Upper Secondary Level,5th Quintile,Strong,0.14038,253,2336,0.12629,0.15447
2004,Upper Secondary Level,5th Quintile,A Little,0.35841,822,2336,0.33896,0.37786
2004,Upper Secondary Level,5th Quintile,Not at all,0.50121,1261,2336,0.48093,0.52149
2004,Post-secondary Non-tertiary Level,1st Quintile,A Little,0.31684,44,123,0.23428,0.39940
2004,Post-secondary Non-tertiary Level,1st Quintile,Not at all,0.52852,79,123,0.43994,0.61710
2004,Post-secondary Non-tertiary Level,2nd Quintile,A Little,0.27001,37,152,0.19919,0.34082
2004,Post-secondary Non-tertiary Level,2nd Quintile,Not at all,0.67620,115,152,0.60157,0.75084
2004,Post-secondary Non-tertiary Level,3rd Quintile,A Little,0.30084,55,179,0.23347,0.36822
2004,Post-secondary Non-tertiary Level,3rd Quintile,Not at all,0.59786,124,179,0.52582,0.66989
2004,Post-secondary Non-tertiary Level,4th Quintile,A Little,0.31342,73,233,0.25372,0.37311
2004,Post-secondary Non-tertiary Level,4th Quintile,Not at all,0.60074,160,233,0.53772,0.66376
2004,Post-secondary Non-tertiary Level,5th Quintile,A Little,0.34165,132,376,0.29365,0.38965
2004,Post-secondary Non-tertiary Level,5th Quintile,Not at all,0.54154,244,376,0.49110,0.59197
2004,First Stage of Tertiary Education,1st Quintile,A Little,0.36877,49,104,0.27559,0.46195
2004,First Stage of Tertiary Education,1st Quintile,Not at all,0.35805,55,104,0.26546,0.45064
2004,First Stage of Tertiary Education,2nd Quintile,Strong,0.22659,42,232,0.17261,0.28058
2004,First Stage of Tertiary Education,2nd Quintile,A Little,0.34626,89,232,0.28491,0.40762
2004,First Stage of Tertiary Education,2nd Quintile,Not at all,0.42714,101,232,0.36335,0.49093
2004,First Stage of Tertiary Education,3rd Quintile,Strong,0.15222,52,377,0.11591,0.18853
2004,First Stage of Tertiary Education,3rd Quintile,A Little,0.41328,149,377,0.36350,0.46305
2004,First Stage of Tertiary Education,3rd Quintile,Not at all,0.43450,176,377,0.38440,0.48461
2004,First Stage of Tertiary Education,4th Quintile,Strong,0.18328,49,394,0.14503,0.22154
2004,First Stage of Tertiary Education,4th Quintile,A Little,0.36184,143,394,0.31433,0.40935
2004,First Stage of Tertiary Education,4th Quintile,Not at all,0.45487,202,394,0.40564,0.50411
2004,First Stage of Tertiary Education,5th Quintile,Strong,0.09143,41,499,0.06612,0.11675
2004,First Stage of Tertiary Education,5th Quintile,A Little,0.36853,185,499,0.32617,0.41090
2004,First Stage of Tertiary Education,5th Quintile,Not at all,0.54003,273,499,0.49626,0.58380
2004,Second Stage of Tertiary Education,1st Quintile,A Little,0.36080,69,176,0.28965,0.43195
2004,Second Stage of Tertiary Education,1st Quintile,Not at all,0.48293,107,176,0.40889,0.55697
2004,Second Stage of Tertiary Education,2nd Quintile,Strong,0.15602,39,306,0.11529,0.19674
2004,Second Stage of Tertiary Education,2nd Quintile,A Little,0.35775,110,306,0.30395,0.41154
2004,Second Stage of Tertiary Education,2nd Quintile,Not at all,0.48624,157,306,0.43014,0.54233
2004,Second Stage of Tertiary Education,3rd Quintile,Strong,0.16262,62,461,0.12890,0.19634
2004,Second Stage of Tertiary Education,3rd Quintile,A Little,0.38747,187,461,0.34295,0.43199
2004,Second Stage of Tertiary Education,3rd Quintile,Not at all,0.44992,212,461,0.40445,0.49538
2004,Second Stage of Tertiary Education,4th Quintile,Strong,0.13831,95,848,0.11506,0.16156
2004,Second Stage of Tertiary Education,4th Quintile,A Little,0.32977,289,848,0.29811,0.36143
2004,Second Stage of Tertiary Education,4th Quintile,Not at all,0.53192,464,848,0.49832,0.56553
2004,Second Stage of Tertiary Education,5th Quintile,Strong,0.06033,147,2460,0.05092,0.06974
2004,Second Stage of Tertiary Education,5th Quintile,A Little,0.32389,782,2460,0.30539,0.34238
2004,Second Stage of Tertiary Education,5th Quintile,Not at all,0.61578,1531,2460,0.59656,0.63501
2006,No answer / don't know,1st Quintile,Not at all,0.67121,66,66,0.55701,0.78542
2006,No answer / don't know,2nd Quintile,Not at all,0.88779,51,51,0.80030,0.97528
2006,No answer / don't know,3rd Quintile,Not at all,0.73791,43,43,0.60491,0.87092
2006,No answer / don't know,4th Quintile,Not at all,0.77312,45,45,0.64936,0.89687
2006,No answer / don't know,5th Quintile,Not at all,0.79639,39,39,0.66836,0.92443
2006,Pre-primary Level,1st Quintile,Not at all,0.90875,51,51,0.82893,0.98857
2006,Pre-primary Level,2nd Quintile,Not at all,0.78095,46,46,0.66010,0.90180
2006,Pre-primary Level,3rd Quintile,Not at all,0.96538,48,48,0.91312,1.01765
2006,Pre-primary Level,4th Quintile,Not at all,0.93408,67,67,0.87421,0.99395
2006,Pre-primary Level,5th Quintile,Not at all,0.91584,91,91,0.85848,0.97320
2006,Primary Level,1st Quintile,A Little,0.39409,50,89,0.29199,0.49619
2006,Primary Level,1st Quintile,Not at all,0.37989,39,89,0.27848,0.48130
2006,Lower Secondary Level,1st Quintile,Strong,0.25492,141,647,0.22132,0.28853
2006,Lower Secondary Level,1st Quintile,A Little,0.33130,228,647,0.29501,0.36760
2006,Lower Secondary Level,1st Quintile,Not at all,0.41377,278,647,0.37579,0.45175
2006,Lower Secondary Level,2nd Quintile,Strong,0.28080,147,555,0.24338,0.31823
2006,Lower Secondary Level,2nd Quintile,A Little,0.36839,201,555,0.32822,0.40856
2006,Lower Secondary Level,2nd Quintile,Not at all,0.35081,207,555,0.31107,0.39055
2006,Lower Secondary Level,3rd Quintile,Strong,0.26793,105,436,0.22631,0.30955
2006,Lower Secondary Level,3rd Quintile,A Little,0.34025,145,436,0.29573,0.38478
2006,Lower Secondary Level,3rd Quintile,Not at all,0.39182,186,436,0.34595,0.43769
2006,Lower Secondary Level,4th Quintile,Strong,0.25394,71,312,0.20556,0.30231
2006,Lower Secondary Level,4th Quintile,A Little,0.32174,98,312,0.26982,0.37366
2006,Lower Secondary Level,4th Quintile,Not at all,0.42432,143,312,0.36939,0.47925
2006,Lower Secondary Level,5th Quintile,A Little,0.37032,70,167,0.29686,0.44378
2006,Lower Secondary Level,5th Quintile,Not at all,0.47669,97,167,0.40071,0.55267
2006,Upper Secondary Level,1st Quintile,Strong,0.18758,280,1602,0.16846,0.20670
2006,Upper Secondary Level,1st Quintile,A Little,0.35650,566,1602,0.33304,0.37996
2006,Upper Secondary Level,1st Quintile,Not at all,0.45592,756,1602,0.43152,0.48032
2006,Upper Secondary Level,2nd Quintile,Strong,0.20006,345,1911,0.18212,0.21800
2006,Upper Secondary Level,2nd Quintile,A Little,0.40277,752,1911,0.38078,0.42477
2006,Upper Secondary Level,2nd Quintile,Not at all,0.39717,814,1911,0.37522,0.41911
2006,Upper Secondary Level,3rd Quintile,Strong,0.15281,299,2018,0.13710,0.16851
2006,Upper Secondary Level,3rd Quintile,A Little,0.40877,803,2018,0.38732,0.43023
2006,Upper Secondary Level,3rd Quintile,Not at all,0.43842,916,2018,0.41677,0.46008
2006,Upper Secondary Level,4th Quintile,Strong,0.14571,307,2098,0.13060,0.16081
2006,Upper Secondary Level,4th Quintile,A Little,0.36682,767,2098,0.34619,0.38744
2006,Upper Secondary Level,4th Quintile,Not at all,0.48748,1024,2098,0.46608,0.50887
2006,Upper Secondary Level,5th Quintile,Strong,0.13990,239,2084,0.12501,0.15480
2006,Upper Secondary Level,5th Quintile,A Little,0.37760,757,2084,0.35678,0.39842
2006,Upper Secondary Level,5th Quintile,Not at all,0.48249,1088,2084,0.46103,0.50395
2006,Post-secondary Non-tertiary Level,1st Quintile,A Little,0.36141,42,113,0.27243,0.45038
2006,Post-secondary Non-tertiary Level,1st Quintile,Not at all,0.50837,71,113,0.41578,0.60095
2006,Post-secondary Non-tertiary Level,2nd Quintile,A Little,0.34709,55,153,0.27141,0.42277
2006,Post-secondary Non-tertiary Level,2nd Quintile,Not at all,0.56879,98,153,0.49006,0.64753
2006,Post-secondary Non-tertiary Level,3rd Quintile,A Little,0.37679,59,175,0.30479,0.44879
2006,Post-secondary Non-tertiary Level,3rd Quintile,Not at all,0.55594,116,175,0.48212,0.62977
2006,Post-secondary Non-tertiary Level,4th Quintile,A Little,0.31485,82,223,0.25375,0.37595
2006,Post-secondary Non-tertiary Level,4th Quintile,Not at all,0.59346,141,223,0.52885,0.65808
2006,Post-secondary Non-tertiary Level,5th Quintile,A Little,0.32885,109,313,0.27672,0.38098
2006,Post-secondary Non-tertiary Level,5th Quintile,Not at all,0.56901,204,313,0.51406,0.62396
2006,First Stage of Tertiary Education,1st Quintile,A Little,0.42475,44,87,0.32027,0.52922
2006,First Stage of Tertiary Education,1st Quintile,Not at all,0.34903,43,87,0.24828,0.44977
2006,First Stage of Tertiary Education,2nd Quintile,Strong,0.20110,43,217,0.14765,0.25456
2006,First Stage of Tertiary Education,2nd Quintile,A Little,0.40444,88,217,0.33899,0.46989
2006,First Stage of Tertiary Education,2nd Quintile,Not at all,0.39446,86,217,0.32928,0.45963
2006,First Stage of Tertiary Education,3rd Quintile,Strong,0.18261,47,290,0.13807,0.22715
2006,First Stage of Tertiary Education,3rd Quintile,A Little,0.40065,104,290,0.34415,0.45714
2006,First Stage of Tertiary Education,3rd Quintile,Not at all,0.41674,139,290,0.35990,0.47359
2006,First Stage of Tertiary Education,4th Quintile,Strong,0.13087,46,383,0.09705,0.16469
2006,First Stage of Tertiary Education,4th Quintile,A Little,0.37220,156,383,0.32373,0.42068
2006,First Stage of Tertiary Education,4th Quintile,Not at all,0.49693,181,383,0.44678,0.54707
2006,First Stage of Tertiary Education,5th Quintile,Strong,0.08975,44,465,0.06374,0.11575
2006,First Stage of Tertiary Education,5th Quintile,A Little,0.38735,179,465,0.34302,0.43168
2006,First Stage of Tertiary Education,5th Quintile,Not at all,0.52290,242,465,0.47746,0.56835
2006,Second Stage of Tertiary Education,1st Quintile,A Little,0.39944,69,167,0.32493,0.47394
2006,Second Stage of Tertiary Education,1st Quintile,Not at all,0.46406,98,167,0.38819,0.53993
2006,Second Stage of Tertiary Education,2nd Quintile,Strong,0.16472,38,295,0.12232,0.20712
2006,Second Stage of Tertiary Education,2nd Quintile,A Little,0.35568,124,295,0.30096,0.41040
2006,Second Stage of Tertiary Education,2nd Quintile,Not at all,0.47960,133,295,0.42250,0.53671
2006,Second Stage of Tertiary Education,3rd Quintile,Strong,0.12484,60,515,0.09626,0.15341
2006,Second Stage of Tertiary Education,3rd Quintile,A Little,0.41174,210,515,0.36919,0.45428
2006,Second Stage of Tertiary Education,3rd Quintile,Not at all,0.46343,245,515,0.42032,0.50654
2006,Second Stage of Tertiary Education,4th Quintile,Strong,0.13181,83,778,0.10802,0.15560
2006,Second Stage of Tertiary Education,4th Quintile,A Little,0.37033,274,778,0.33638,0.40429
2006,Second Stage of Tertiary Education,4th Quintile,Not at all,0.49786,421,778,0.46270,0.53302
2006,Second Stage of Tertiary Education,5th Quintile,Strong,0.08187,177,2274,0.07060,0.09314
2006,Second Stage of Tertiary Education,5th Quintile,A Little,0.33394,758,2274,0.31455,0.35332
2006,Second Stage of Tertiary Education,5th Quintile,Not at all,0.58420,1339,2274,0.56393,0.60446
2008,No answer / don't know,1st Quintile,Not at all,0.68613,81,81,0.58444,0.78783
2008,No answer / don't know,2nd Quintile,Not at all,0.80382,40,40,0.67919,0.92845
2008,No answer / don't know,3rd Quintile,Not at all,0.63148,40,40,0.48008,0.78288
2008,No answer / don't know,4th Quintile,Not at all,0.80571,45,45,0.68880,0.92262
2008,No answer / don't know,5th Quintile,Not at all,0.73141,47,47,0.60333,0.85950
2008,Pre-primary Level,1st Quintile,Not at all,0.88284,52,52,0.79457,0.97111
2008,Pre-primary Level,2nd Quintile,Not at all,0.94330,56,56,0.88218,1.00442
2008,Pre-primary Level,3rd Quintile,Not at all,0.84515,69,69,0.75916,0.93113
2008,Pre-primary Level,4th Quintile,Not at all,0.94661,65,65,0.89153,1.00169
2008,Pre-primary Level,5th Quintile,Not at all,0.84958,73,73,0.76701,0.93216
2008,Primary Level,1st Quintile,A Little,0.43879,45,81,0.33004,0.54753
2008,Primary Level,1st Quintile,Not at all,0.36228,36,81,0.25695,0.46761
2008,Lower Secondary Level,1st Quintile,Strong,0.28748,165,630,0.25211,0.32285
2008,Lower Secondary Level,1st Quintile,A Little,0.32270,203,630,0.28616,0.35923
2008,Lower Secondary Level,1st Quintile,Not at all,0.38982,262,630,0.35171,0.42794
2008,Lower Secondary Level,2nd Quintile,Strong,0.29542,146,525,0.25636,0.33449
2008,Lower Secondary Level,2nd Quintile,A Little,0.35652,179,525,0.31551,0.39753
2008,Lower Secondary Level,2nd Quintile,Not at all,0.34806,200,525,0.30727,0.38885
2008,Lower Secondary Level,3rd Quintile,Strong,0.21302,87,422,0.17391,0.25213
2008,Lower Secondary Level,3rd Quintile,A Little,0.36857,147,422,0.32248,0.41465
2008,Lower Secondary Level,3rd Quintile,Not at all,0.41841,188,422,0.37129,0.46553
2008,Lower Secondary Level,4th Quintile,Strong,0.24710,60,269,0.19546,0.29874
2008,Lower Secondary Level,4th Quintile,A Little,0.37132,96,269,0.31348,0.42917
2008,Lower Secondary Level,4th Quintile,Not at all,0.38158,113,269,0.32342,0.43974
2008,Lower Secondary Level,5th Quintile,A Little,0.40499,55,127,0.31928,0.49071
2008,Lower Secondary Level,5th Quintile,Not at all,0.43303,72,127,0.34651,0.51954
2008,Upper Secondary Level,1st Quintile,Strong,0.19820,294,1597,0.17864,0.21776
2008,Upper Secondary Level,1st Quintile,A Little,0.36380,573,1597,0.34020,0.38741
2008,Upper Secondary Level,1st Quintile,Not at all,0.43800,730,1597,0.41366,0.46234
2008,Upper Secondary Level,2nd Quintile,Strong,0.19792,363,1980,0.18036,0.21547
2008,Upper Secondary Level,2nd Quintile,A Little,0.38031,746,1980,0.35892,0.40170
2008,Upper Secondary Level,2nd Quintile,Not at all,0.42178,871,1980,0.40002,0.44353
2008,Upper Secondary Level,3rd Quintile,Strong,0.17001,338,2120,0.15401,0.18600
2008,Upper Secondary Level,3rd Quintile,A Little,0.38444,804,2120,0.36373,0.40515
2008,Upper Secondary Level,3rd Quintile,Not at all,0.44555,978,2120,0.42439,0.46672
2008,Upper Secondary Level,4th Quintile,Strong,0.13993,293,2070,0.12498,0.15488
2008,Upper Secondary Level,4th Quintile,A Little,0.36592,732,2070,0.34516,0.38667
2008,Upper Secondary Level,4th Quintile,Not at all,0.49415,1045,2070,0.47261,0.51570
2008,Upper Secondary Level,5th Quintile,Strong,0.11082,203,1928,0.09681,0.12484
2008,Upper Secondary Level,5th Quintile,A Little,0.37173,700,1928,0.35015,0.39331
2008,Upper Secondary Level,5th Quintile,Not at all,0.51745,1025,1928,0.49514,0.53976
2008,Post-secondary Non-tertiary Level,1st Quintile,A Little,0.38030,46,126,0.29519,0.46540
2008,Post-secondary Non-tertiary Level,1st Quintile,Not at all,0.49343,80,126,0.40578,0.58108
2008,Post-secondary Non-tertiary Level,2nd Quintile,A Little,0.28641,49,155,0.21501,0.35781
2008,Post-secondary Non-tertiary Level,2nd Quintile,Not at all,0.66154,106,155,0.58681,0.73628
2008,Post-secondary Non-tertiary Level,3rd Quintile,A Little,0.33445,55,180,0.26534,0.40357
2008,Post-secondary Non-tertiary Level,3rd Quintile,Not at all,0.59888,125,180,0.52708,0.67068
2008,Post-secondary Non-tertiary Level,4th Quintile,A Little,0.29168,85,232,0.23307,0.35030
2008,Post-secondary Non-tertiary Level,4th Quintile,Not at all,0.61263,147,232,0.54981,0.67545
2008,Post-secondary Non-tertiary Level,5th Quintile,A Little,0.28358,99,310,0.23332,0.33383
2008,Post-secondary Non-tertiary Level,5th Quintile,Not at all,0.61635,211,310,0.56213,0.67057
2008,First Stage of Tertiary Education,1st Quintile,A Little,0.38047,43,89,0.27903,0.48191
2008,First Stage of Tertiary Education,1st Quintile,Not at all,0.39694,46,89,0.29472,0.49917
2008,First Stage of Tertiary Education,2nd Quintile,Strong,0.24233,41,211,0.18438,0.30029
2008,First Stage of Tertiary Education,2nd Quintile,A Little,0.33404,76,211,0.27025,0.39784
2008,First Stage of Tertiary Education,2nd Quintile,Not at all,0.42362,94,211,0.35679,0.49046
2008,First Stage of Tertiary Education,3rd Quintile,Strong,0.13567,47,321,0.09815,0.17319
2008,First Stage of Tertiary Education,3rd Quintile,A Little,0.49229,136,321,0.43751,0.54706
2008,First Stage of Tertiary Education,3rd Quintile,Not at all,0.37204,138,321,0.31908,0.42500
2008,First Stage of Tertiary Education,4th Quintile,Strong,0.11159,44,348,0.07846,0.14472
2008,First Stage of Tertiary Education,4th Quintile,A Little,0.40926,134,348,0.35753,0.46100
2008,First Stage of Tertiary Education,4th Quintile,Not at all,0.47915,170,348,0.42659,0.53172
2008,First Stage of Tertiary Education,5th Quintile,Strong,0.07681,39,418,0.05125,0.10236
2008,First Stage of Tertiary Education,5th Quintile,A Little,0.46173,175,418,0.41388,0.50958
2008,First Stage of Tertiary Education,5th Quintile,Not at all,0.46146,204,418,0.41361,0.50931
2008,Second Stage of Tertiary Education,1st Quintile,A Little,0.40850,75,177,0.33588,0.48112
2008,Second Stage of Tertiary Education,1st Quintile,Not at all,0.47078,102,177,0.39704,0.54452
