year,quintil_oecd_hh,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,2nd Quintile,Tenant,No,0.70065,942,1417,0.67679,0.72450
2006,3rd Quintile,Owner,Yes,0.43809,567,1191,0.40990,0.46628
2006,3rd Quintile,Owner,No,0.56191,624,1191,0.53372,0.59010
2006,3rd Quintile,Tenant,Yes,0.31459,409,1195,0.28825,0.34093
2006,3rd Quintile,Tenant,No,0.68541,786,1195,0.65907,0.71175
2006,4th Quintile,Owner,Yes,0.40792,666,1485,0.38292,0.43293
2006,4th Quintile,Owner,No,0.59208,819,1485,0.56707,0.61708
2006,4th Quintile,Tenant,Yes,0.28006,317,1008,0.25233,0.30780
2006,4th Quintile,Tenant,No,0.71994,691,1008,0.69220,0.74767
2006,5th Quintile,Owner,Yes,0.36475,873,2167,0.34447,0.38502
2006,5th Quintile,Owner,No,0.63525,1294,2167,0.61498,0.65553
2006,5th Quintile,Tenant,Yes,0.23313,246,893,0.20539,0.26088
2006,5th Quintile,Tenant,No,0.76687,647,893,0.73912,0.79461
2011,1st Quintile,Owner,Yes,0.35058,159,383,0.30273,0.39843
2011,1st Quintile,Owner,No,0.54583,224,383,0.49590,0.59576
2011,1st Quintile,Tenant,Yes,0.23074,615,1872,0.21165,0.24983
2011,1st Quintile,Tenant,No,0.63109,1257,1872,0.60922,0.65295
2011,2nd Quintile,Owner,Yes,0.34222,376,861,0.31051,0.37393
2011,2nd Quintile,Owner,No,0.56426,485,861,0.53112,0.59740
2011,2nd Quintile,Tenant,Yes,0.24438,426,1378,0.22168,0.26707
2011,2nd Quintile,Tenant,No,0.65419,952,1378,0.62907,0.67932
2011,3rd Quintile,Owner,Yes,0.36893,553,1232,0.34197,0.39588
2011,3rd Quintile,Owner,No,0.56695,679,1232,0.53927,0.59463
2011,3rd Quintile,Tenant,Yes,0.28832,397,1143,0.26205,0.31459
2011,3rd Quintile,Tenant,No,0.64240,746,1143,0.61460,0.67020
2011,4th Quintile,Owner,Yes,0.37811,646,1470,0.35332,0.40291
2011,4th Quintile,Owner,No,0.56676,824,1470,0.54142,0.59210
2011,4th Quintile,Tenant,Yes,0.26047,295,966,0.23278,0.28816
2011,4th Quintile,Tenant,No,0.69540,671,966,0.66637,0.72444
2011,5th Quintile,Owner,Yes,0.34776,773,1998,0.32687,0.36865
2011,5th Quintile,Owner,No,0.61631,1225,1998,0.59498,0.63764
2011,5th Quintile,Tenant,Yes,0.27204,243,778,0.24075,0.30333
2011,5th Quintile,Tenant,No,0.69542,535,778,0.66306,0.72779
2016,1st Quintile,Owner,Yes,0.35034,191,396,0.30329,0.39739
2016,1st Quintile,Owner,No,0.64966,205,396,0.60261,0.69671
2016,1st Quintile,Tenant,Yes,0.27941,903,2699,0.26248,0.29634
2016,1st Quintile,Tenant,No,0.72059,1796,2699,0.70366,0.73752
2016,2nd Quintile,Owner,Yes,0.41692,515,1026,0.38673,0.44710
2016,2nd Quintile,Owner,No,0.58308,511,1026,0.55290,0.61327
2016,2nd Quintile,Tenant,Yes,0.26400,650,2015,0.24475,0.28325
2016,2nd Quintile,Tenant,No,0.73600,1365,2015,0.71675,0.75525
2016,3rd Quintile,Owner,Yes,0.37331,593,1341,0.34741,0.39920
2016,3rd Quintile,Owner,No,0.62669,748,1341,0.60080,0.65259
2016,3rd Quintile,Tenant,Yes,0.29343,475,1402,0.26959,0.31727
2016,3rd Quintile,Tenant,No,0.70657,927,1402,0.68273,0.73041
2016,4th Quintile,Owner,Yes,0.37606,674,1561,0.35202,0.40010
2016,4th Quintile,Owner,No,0.62394,887,1561,0.59990,0.64798
2016,4th Quintile,Tenant,Yes,0.27983,346,1101,0.25330,0.30636
2016,4th Quintile,Tenant,No,0.72017,755,1101,0.69364,0.74670
2016,5th Quintile,Owner,Yes,0.33717,742,1978,0.31633,0.35801
2016,5th Quintile,Owner,No,0.66283,1236,1978,0.64199,0.68367
2016,5th Quintile,Tenant,Yes,0.24857,196,777,0.21816,0.27898
2016,5th Quintile,Tenant,No,0.75143,581,777,0.72102,0.78184
2021,1st Quintile,Owner,Yes,0.39802,119,270,0.33952,0.45651
2021,1st Quintile,Owner,No,0.60082,151,270,0.54229,0.65934
2021,1st Quintile,Tenant,Yes,0.25211,532,1774,0.23190,0.27232
2021,1st Quintile,Tenant,No,0.69888,1242,1774,0.67753,0.72023
2021,2nd Quintile,Owner,Yes,0.36572,320,679,0.32947,0.40197
2021,2nd Quintile,Owner,No,0.63428,359,679,0.59803,0.67053
2021,2nd Quintile,Tenant,Yes,0.27687,524,1505,0.25426,0.29948
2021,2nd Quintile,Tenant,No,0.71310,981,1505,0.69024,0.73596
2021,3rd Quintile,Owner,Yes,0.39415,462,927,0.36267,0.42562
2021,3rd Quintile,Owner,No,0.60565,465,927,0.57417,0.63713
2021,3rd Quintile,Tenant,Yes,0.24793,323,1109,0.22251,0.27336
2021,3rd Quintile,Tenant,No,0.74962,786,1109,0.72411,0.77513
2021,4th Quintile,Owner,Yes,0.39186,546,1212,0.36436,0.41935
2021,4th Quintile,Owner,No,0.60813,666,1212,0.58064,0.63563
2021,4th Quintile,Tenant,Yes,0.30316,268,875,0.27269,0.33363
2021,4th Quintile,Tenant,No,0.69563,607,875,0.66513,0.72614
2021,5th Quintile,Owner,Yes,0.34563,807,1990,0.32473,0.36653
2021,5th Quintile,Owner,No,0.65437,1183,1990,0.63347,0.67527
2021,5th Quintile,Tenant,Yes,0.24585,189,727,0.21453,0.27717
2021,5th Quintile,Tenant,No,0.75283,538,727,0.72145,0.78421
