year,bula_h,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Hesse,No,0.68696,634,978,0.65788,0.71604
2016,"Rhineland-Palatinate, Saarland",Yes,0.33549,325,848,0.30370,0.36729
2016,"Rhineland-Palatinate, Saarland",No,0.66451,523,848,0.63271,0.69630
2016,Baden-Wuerttemberg,Yes,0.27790,556,1627,0.25613,0.29968
2016,Baden-Wuerttemberg,No,0.72210,1071,1627,0.70032,0.74387
2016,Bavaria,Yes,0.30786,834,2300,0.28899,0.32673
2016,Bavaria,No,0.69214,1466,2300,0.67327,0.71101
2016,Berlin,Yes,0.21607,158,610,0.18338,0.24876
2016,Berlin,No,0.78393,452,610,0.75124,0.81662
2016,Brandenburg,Yes,0.43068,271,562,0.38970,0.47165
2016,Brandenburg,No,0.56932,291,562,0.52835,0.61030
2016,Mecklenburg-Western Pomerania,Yes,0.36695,133,328,0.31471,0.41919
2016,Mecklenburg-Western Pomerania,No,0.63305,195,328,0.58081,0.68529
2016,Saxony,Yes,0.40080,374,865,0.36813,0.43348
2016,Saxony,No,0.59920,491,865,0.56652,0.63187
2016,Saxony-Anhalt,Yes,0.42501,245,513,0.38219,0.46783
2016,Saxony-Anhalt,No,0.57499,268,513,0.53217,0.61781
2016,Thuringa,Yes,0.41290,245,544,0.37149,0.45431
2016,Thuringa,No,0.58710,299,544,0.54569,0.62851
2021,Schleswig-Holstein,Yes,0.35566,181,427,0.31020,0.40112
2021,Schleswig-Holstein,No,0.64434,246,427,0.59888,0.68980
2021,Hamburg,Yes,0.22848,68,268,0.17812,0.27884
2021,Hamburg,No,0.77152,200,268,0.72116,0.82188
2021,Lower Saxony,Yes,0.33555,438,1063,0.30715,0.36395
2021,Lower Saxony,No,0.66445,625,1063,0.63605,0.69285
2021,Bremen,No,0.78943,59,59,0.68450,0.89436
2021,North Rhine-Westphalia,Yes,0.31439,798,2286,0.29535,0.33343
2021,North Rhine-Westphalia,No,0.68561,1488,2286,0.66657,0.70465
2021,Hesse,Yes,0.33317,254,702,0.29828,0.36807
2021,Hesse,No,0.66683,448,702,0.63193,0.70172
2021,"Rhineland-Palatinate, Saarland",Yes,0.31467,201,537,0.27535,0.35398
2021,"Rhineland-Palatinate, Saarland",No,0.68533,336,537,0.64602,0.72465
2021,Baden-Wuerttemberg,Yes,0.29146,403,1219,0.26594,0.31698
2021,Baden-Wuerttemberg,No,0.70854,816,1219,0.68302,0.73406
2021,Bavaria,Yes,0.31391,644,1756,0.29220,0.33563
2021,Bavaria,No,0.68609,1112,1756,0.66437,0.70780
2021,Berlin,Yes,0.20043,138,559,0.16721,0.23364
2021,Berlin,No,0.79957,421,559,0.76636,0.83279
2021,Brandenburg,Yes,0.37077,201,447,0.32594,0.41559
2021,Brandenburg,No,0.62923,246,447,0.58441,0.67406
2021,Mecklenburg-Western Pomerania,Yes,0.34995,110,262,0.29209,0.40782
2021,Mecklenburg-Western Pomerania,No,0.65005,152,262,0.59218,0.70791
2021,Saxony,Yes,0.40922,308,733,0.37360,0.44484
2021,Saxony,No,0.59078,425,733,0.55516,0.62640
2021,Saxony-Anhalt,Yes,0.41549,178,370,0.36521,0.46578
2021,Saxony-Anhalt,No,0.58451,192,370,0.53422,0.63479
2021,Thuringa,Yes,0.33639,156,383,0.28901,0.38377
2021,Thuringa,No,0.66361,227,383,0.61623,0.71099
