,Unnamed: 0,year,bula_h,sampreg,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
26,26,1996,Saxony-Anhalt,East,Yes,0.45628,169,6597,0.41567,0.50143
27,27,1996,Saxony-Anhalt,East,No,0.54372,161,6597,0.49658,0.59825
28,28,1996,Thuringa,East,Yes,0.41191,161,6597,0.37256,0.45486
29,29,1996,Thuringa,East,No,0.58809,165,6597,0.5316,0.65766
30,30,2001,Schleswig-Holstein,West,Yes,0.35021,140,11680,0.31824,0.38219
31,31,2001,Schleswig-Holstein,West,No,0.64979,223,11680,0.60153,0.69312
32,32,2001,Hamburg,West,Yes,0.2522,48,11680,0.22577,0.28472
33,33,2001,Hamburg,West,No,0.7478,133,11680,0.67411,0.81784
34,34,2001,Lower Saxony,West,Yes,0.40687,403,11680,0.38444,0.4272
35,35,2001,Lower Saxony,West,No,0.59313,558,11680,0.56024,0.62375
36,36,2001,Bremen,West,Yes,0.30921,39,11680,0.26162,0.37608
37,37,2001,Bremen,West,No,0.69079,60,11680,0.61142,0.77537
38,38,2001,North Rhine-Westphalia,West,Yes,0.31652,835,11680,0.302,0.32857
39,39,2001,North Rhine-Westphalia,West,No,0.68348,1650,11680,0.66275,0.70246
40,40,2001,Hesse,West,Yes,0.28432,259,11680,0.26554,0.3045
41,41,2001,Hesse,West,No,0.71568,520,11680,0.68213,0.75068
42,42,2001,"Rhineland-Palatinate, Saarland",West,Yes,0.40924,316,11680,0.38859,0.43164
43,43,2001,"Rhineland-Palatinate, Saarland",West,No,0.59076,404,11680,0.55939,0.61947
44,44,2001,Baden-Wuerttemberg,West,Yes,0.31164,444,11680,0.29337,0.33033
45,45,2001,Baden-Wuerttemberg,West,No,0.68836,918,11680,0.65837,0.71811
46,46,2001,Bavaria,West,Yes,0.33128,604,11680,0.31451,0.34881
47,47,2001,Bavaria,West,No,0.66872,1012,11680,0.64783,0.69272
48,48,2001,Berlin,West,Yes,0.3005,85,11680,0.26681,0.33581
49,49,2001,Berlin,West,No,0.6995,186,11680,0.65704,0.74744
50,50,2001,Berlin,East,Yes,0.33144,73,11680,0.29803,0.36922
51,51,2001,Berlin,East,No,0.66856,137,11680,0.61273,0.72484
52,52,2001,Brandenburg,East,Yes,0.50021,261,11680,0.47037,0.52851
53,53,2001,Brandenburg,East,No,0.49979,239,11680,0.46864,0.53523
54,54,2001,Mecklenburg-Western Pomerania,East,Yes,0.4343,135,11680,0.39206,0.47705
55,55,2001,Mecklenburg-Western Pomerania,East,No,0.5657,150,11680,0.52105,0.61544
56,56,2001,Saxony,East,Yes,0.43485,404,11680,0.41226,0.45792
57,57,2001,Saxony,East,No,0.56515,445,11680,0.53747,0.59218
58,58,2001,Saxony-Anhalt,East,Yes,0.4972,274,11680,0.46482,0.53022
59,59,2001,Saxony-Anhalt,East,No,0.5028,231,11680,0.4621,0.53605
60,60,2001,Thuringa,East,Yes,0.45256,257,11680,0.42239,0.4884
61,61,2001,Thuringa,East,No,0.54744,237,11680,0.50584,0.595
62,62,2006,Schleswig-Holstein,West,Yes,0.34179,145,12265,0.3061,0.37698
63,63,2006,Schleswig-Holstein,West,No,0.65821,244,12265,0.60609,0.71087
64,64,2006,Hamburg,West,Yes,0.18127,42,12265,0.15711,0.22212
65,65,2006,Hamburg,West,No,0.81873,152,12265,0.73167,0.92127
66,66,2006,Lower Saxony,West,Yes,0.35556,426,12265,0.32877,0.38029
67,67,2006,Lower Saxony,West,No,0.64444,648,12265,0.61278,0.67894
68,68,2006,Bremen,West,Yes,0.38531,36,12265,0.28102,0.49115
69,69,2006,Bremen,West,No,0.61469,54,12265,0.51853,0.72404
70,70,2006,North Rhine-Westphalia,West,Yes,0.30791,857,12265,0.29196,0.32509
71,71,2006,North Rhine-Westphalia,West,No,0.69209,1681,12265,0.66782,0.71597
72,72,2006,Hesse,West,Yes,0.32168,317,12265,0.2935,0.34826
73,73,2006,Hesse,West,No,0.67832,529,12265,0.63686,0.72359
74,74,2006,"Rhineland-Palatinate, Saarland",West,Yes,0.37554,297,12265,0.34788,0.40872
75,75,2006,"Rhineland-Palatinate, Saarland",West,No,0.62446,430,12265,0.57728,0.66661
76,76,2006,Baden-Wuerttemberg,West,Yes,0.30818,495,12265,0.28811,0.3296
77,77,2006,Baden-Wuerttemberg,West,No,0.69182,978,12265,0.66172,0.72587
78,78,2006,Bavaria,West,Yes,0.34096,643,12265,0.32188,0.3616
79,79,2006,Bavaria,West,No,0.65904,1087,12265,0.62643,0.6859
80,80,2006,Berlin,West,Yes,0.26812,83,12265,0.21562,0.30726
81,81,2006,Berlin,West,No,0.73188,193,12265,0.6692,0.79847
82,82,2006,Berlin,East,Yes,0.27172,67,12265,0.2223,0.33409
83,83,2006,Berlin,East,No,0.72828,141,12265,0.65215,0.80924
84,84,2006,Brandenburg,East,Yes,0.49632,279,12265,0.46167,0.54017
85,85,2006,Brandenburg,East,No,0.50368,253,12265,0.45324,0.54856
86,86,2006,Mecklenburg-Western Pomerania,East,Yes,0.43081,136,12265,0.37147,0.49047
87,87,2006,Mecklenburg-Western Pomerania,East,No,0.56919,168,12265,0.50439,0.62232
88,88,2006,Saxony,East,Yes,0.39104,377,12265,0.35864,0.42013
89,89,2006,Saxony,East,No,0.60896,500,12265,0.57345,0.64751
90,90,2006,Saxony-Anhalt,East,Yes,0.47138,256,12265,0.42226,0.51806
91,91,2006,Saxony-Anhalt,East,No,0.52862,236,12265,0.47094,0.58614
92,92,2006,Thuringa,East,Yes,0.40285,254,12265,0.37065,0.44175
93,93,2006,Thuringa,East,No,0.59715,261,12265,0.54213,0.66337
94,94,2011,Schleswig-Holstein,West,Yes,0.28805,136,12063,0.24289,0.3354
95,95,2011,Schleswig-Holstein,West,No,0.71195,270,12063,0.63364,0.78323
96,96,2011,Hamburg,West,Yes,0.22684,46,12063,0.17473,0.27304
97,97,2011,Hamburg,West,No,0.77316,150,12063,0.66847,0.87021
98,98,2011,Lower Saxony,West,Yes,0.3374,408,12063,0.30646,0.36882
99,99,2011,Lower Saxony,West,No,0.6626,679,12063,0.62107,0.70897
100,100,2011,Bremen,West,No,1.0,59,12063,0.8303,1.19378
101,101,2011,North Rhine-Westphalia,West,Yes,0.30317,798,12063,0.28141,0.32158
102,102,2011,North Rhine-Westphalia,West,No,0.69683,1555,12063,0.66626,0.72502
103,103,2011,Hesse,West,Yes,0.35744,321,12063,0.31757,0.3974
104,104,2011,Hesse,West,No,0.64256,509,12063,0.59686,0.68667
105,105,2011,"Rhineland-Palatinate, Saarland",West,Yes,0.34413,288,12063,0.31468,0.38307
106,106,2011,"Rhineland-Palatinate, Saarland",West,No,0.65587,422,12063,0.60663,0.70332
107,107,2011,Baden-Wuerttemberg,West,Yes,0.30618,477,12063,0.27733,0.33264
108,108,2011,Baden-Wuerttemberg,West,No,0.69382,924,12063,0.65503,0.7301
109,109,2011,Bavaria,West,Yes,0.32964,691,12063,0.30746,0.35215
110,110,2011,Bavaria,West,No,0.67036,1148,12063,0.63547,0.71084
111,111,2011,Berlin,West,Yes,0.20183,68,12063,0.16471,0.2474
112,112,2011,Berlin,West,No,0.79817,222,12063,0.7161,0.882
113,113,2011,Berlin,East,Yes,0.24232,74,12063,0.1987,0.28445
114,114,2011,Berlin,East,No,0.75768,149,12063,0.66253,0.8481
115,115,2011,Brandenburg,East,Yes,0.42709,238,12063,0.38565,0.47429
116,116,2011,Brandenburg,East,No,0.57291,280,12063,0.50582,0.64212
117,117,2011,Mecklenburg-Western Pomerania,East,Yes,0.35984,124,12063,0.30172,0.42178
118,118,2011,Mecklenburg-Western Pomerania,East,No,0.64016,191,12063,0.56985,0.72748
119,119,2011,Saxony,East,Yes,0.40805,340,12063,0.36893,0.45196
120,120,2011,Saxony,East,No,0.59195,468,12063,0.54595,0.63109
121,121,2011,Saxony-Anhalt,East,Yes,0.44064,238,12063,0.39416,0.49747
122,122,2011,Saxony-Anhalt,East,No,0.55936,271,12063,0.49753,0.62675
123,123,2011,Thuringa,East,Yes,0.37516,215,12063,0.32514,0.42781
124,124,2011,Thuringa,East,No,0.62484,304,12063,0.55533,0.69876
125,125,2016,Schleswig-Holstein,West,Yes,0.38684,207,14302,0.31901,0.45414
126,126,2016,Schleswig-Holstein,West,No,0.61316,296,14302,0.5534,0.67695
127,127,2016,Hamburg,West,Yes,0.24779,74,14302,0.19001,0.30574
128,128,2016,Hamburg,West,No,0.75221,190,14302,0.64448,0.84776
129,129,2016,Lower Saxony,West,Yes,0.34056,545,14302,0.30671,0.37283
130,130,2016,Lower Saxony,West,No,0.65944,803,14302,0.6119,0.69999
131,131,2016,Bremen,West,Yes,0.36601,32,14302,0.23733,0.54635
132,132,2016,Bremen,West,No,0.63399,73,14302,0.48131,0.77957
133,133,2016,North Rhine-Westphalia,West,Yes,0.2881,942,14302,0.26629,0.30733
134,134,2016,North Rhine-Westphalia,West,No,0.7119,1965,14302,0.68173,0.74568
135,135,2016,Hesse,West,Yes,0.31409,344,14302,0.2762,0.35852
136,136,2016,Hesse,West,No,0.68591,634,14302,0.63417,0.74451
137,137,2016,"Rhineland-Palatinate, Saarland",West,Yes,0.3358,325,14302,0.30195,0.38036
138,138,2016,"Rhineland-Palatinate, Saarland",West,No,0.6642,523,14302,0.59321,0.72591
139,139,2016,Baden-Wuerttemberg,West,Yes,0.27948,556,14302,0.2598,0.30339
140,140,2016,Baden-Wuerttemberg,West,No,0.72052,1071,14302,0.67681,0.75872
141,141,2016,Bavaria,West,Yes,0.30701,834,14302,0.28262,0.33059
142,142,2016,Bavaria,West,No,0.69299,1466,14302,0.65488,0.72972
143,143,2016,Berlin,West,Yes,0.2249,90,14302,0.18513,0.26908
144,144,2016,Berlin,West,No,0.7751,258,14302,0.6905,0.86771
145,145,2016,Berlin,East,Yes,0.20256,68,14302,0.15991,0.25731
146,146,2016,Berlin,East,No,0.79744,194,14302,0.69307,0.92447
147,147,2016,Brandenburg,East,Yes,0.42859,271,14302,0.37119,0.49015
148,148,2016,Brandenburg,East,No,0.57141,291,14302,0.49158,0.65838
149,149,2016,Mecklenburg-Western Pomerania,East,Yes,0.36755,133,14302,0.29317,0.44444
150,150,2016,Mecklenburg-Western Pomerania,East,No,0.63245,195,14302,0.54719,0.7296
151,151,2016,Saxony,East,Yes,0.40055,374,14302,0.35554,0.44628
152,152,2016,Saxony,East,No,0.59945,491,14302,0.55561,0.65019
153,153,2016,Saxony-Anhalt,East,Yes,0.42165,245,14302,0.3722,0.47193
154,154,2016,Saxony-Anhalt,East,No,0.57835,268,14302,0.50327,0.66109
155,155,2016,Thuringa,East,Yes,0.41505,245,14302,0.36464,0.4722
156,156,2016,Thuringa,East,No,0.58495,299,14302,0.50139,0.65828
157,157,2021,Schleswig-Holstein,West,Yes,0.35431,181,11071,0.28538,0.42441
158,158,2021,Schleswig-Holstein,West,No,0.64569,246,11071,0.55155,0.7299
159,159,2021,Hamburg,West,Yes,0.22743,68,11071,0.16364,0.3124
160,160,2021,Hamburg,West,No,0.77257,200,11071,0.64293,0.88759
161,161,2021,Lower Saxony,West,Yes,0.33672,438,11071,0.29681,0.37713
162,162,2021,Lower Saxony,West,No,0.66328,625,11071,0.61077,0.72643
163,163,2021,Bremen,West,No,1.0,59,11071,0.76929,1.30165
164,164,2021,North Rhine-Westphalia,West,Yes,0.31802,798,11071,0.28978,0.34701
165,165,2021,North Rhine-Westphalia,West,No,0.68198,1488,11071,0.64441,0.71961
166,166,2021,Hesse,West,Yes,0.33262,254,11071,0.28389,0.37898
167,167,2021,Hesse,West,No,0.66738,448,11071,0.5914,0.74426
168,168,2021,"Rhineland-Palatinate, Saarland",West,Yes,0.31494,201,11071,0.26555,0.36445
169,169,2021,"Rhineland-Palatinate, Saarland",West,No,0.68506,336,11071,0.61993,0.76251
170,170,2021,Baden-Wuerttemberg,West,Yes,0.29216,403,11071,0.25466,0.32911
171,171,2021,Baden-Wuerttemberg,West,No,0.70784,816,11071,0.65759,0.76136
172,172,2021,Bavaria,West,Yes,0.31541,644,11071,0.28013,0.35097
173,173,2021,Bavaria,West,No,0.68459,1112,11071,0.63846,0.72204
174,174,2021,Berlin,West,Yes,0.19516,81,11071,0.15054,0.24062
175,175,2021,Berlin,West,No,0.80484,277,11071,0.67966,0.94082
176,176,2021,Berlin,East,Yes,0.20736,57,11071,0.13704,0.27013
177,177,2021,Berlin,East,No,0.79264,144,11071,0.62129,1.00886
178,178,2021,Brandenburg,East,Yes,0.37031,201,11071,0.30838,0.43422
179,179,2021,Brandenburg,East,No,0.62969,246,11071,0.54134,0.73143
180,180,2021,Mecklenburg-Western Pomerania,East,Yes,0.35238,110,11071,0.26968,0.42458
181,181,2021,Mecklenburg-Western Pomerania,East,No,0.64762,152,11071,0.54459,0.75646
182,182,2021,Saxony,East,Yes,0.4103,308,11071,0.35507,0.47338
183,183,2021,Saxony,East,No,0.5897,425,11071,0.52483,0.65069
184,184,2021,Saxony-Anhalt,East,Yes,0.41861,178,11071,0.34483,0.49764
185,185,2021,Saxony-Anhalt,East,No,0.58139,192,11071,0.4866,0.69704
186,186,2021,Thuringa,East,Yes,0.33684,156,11071,0.2672,0.42881
187,187,2021,Thuringa,East,No,0.66316,227,11071,0.55777,0.75318
