,Unnamed: 0,year,quintil_oecd_hh,sampreg,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
91,91,2016,3rd Quintile,East,No,0.5982,389,14297,0.53864,0.66544
92,92,2016,4th Quintile,West,Yes,0.31878,819,14297,0.29569,0.34325
93,93,2016,4th Quintile,West,No,0.68122,1394,14297,0.65042,0.71439
94,94,2016,4th Quintile,East,Yes,0.41446,198,14297,0.3523,0.48191
95,95,2016,4th Quintile,East,No,0.58554,247,14297,0.50992,0.66101
96,96,2016,5th Quintile,West,Yes,0.30552,791,14297,0.28371,0.32568
97,97,2016,5th Quintile,West,No,0.69448,1601,14297,0.65732,0.73571
98,98,2016,5th Quintile,East,Yes,0.37101,131,14297,0.30704,0.44255
99,99,2016,5th Quintile,East,No,0.62899,198,14297,0.53054,0.7183
100,100,2021,1st Quintile,West,Yes,0.27514,453,11073,0.24566,0.30358
101,101,2021,1st Quintile,West,No,0.72486,1078,11073,0.67603,0.77693
102,102,2021,1st Quintile,East,Yes,0.31035,202,11073,0.25523,0.36415
103,103,2021,1st Quintile,East,No,0.68965,337,11073,0.6042,0.77693
104,104,2021,2nd Quintile,West,Yes,0.30056,597,11073,0.2698,0.33149
105,105,2021,2nd Quintile,West,No,0.69944,1015,11073,0.65557,0.74655
106,106,2021,2nd Quintile,East,Yes,0.35542,258,11073,0.30497,0.41114
107,107,2021,2nd Quintile,East,No,0.64458,336,11073,0.5701,0.73665
108,108,2021,3rd Quintile,West,Yes,0.31577,585,11073,0.28651,0.34521
109,109,2021,3rd Quintile,West,No,0.68423,974,11073,0.63273,0.72971
110,110,2021,3rd Quintile,East,Yes,0.41206,212,11073,0.35974,0.48563
111,111,2021,3rd Quintile,East,No,0.58794,250,11073,0.52151,0.66093
112,112,2021,4th Quintile,West,Yes,0.3306,625,11073,0.3005,0.36164
113,113,2021,4th Quintile,West,No,0.6694,1084,11073,0.62347,0.71858
114,114,2021,4th Quintile,East,Yes,0.44043,176,11073,0.36038,0.52319
115,115,2021,4th Quintile,East,No,0.55957,208,11073,0.46577,0.65076
116,116,2021,5th Quintile,West,Yes,0.32292,826,11073,0.2938,0.35364
117,117,2021,5th Quintile,West,No,0.67708,1444,11073,0.62912,0.72215
118,118,2021,5th Quintile,East,Yes,0.33955,160,11073,0.25491,0.42455
119,119,2021,5th Quintile,East,No,0.66045,253,11073,0.55691,0.79717
