,Unnamed: 0,year,quintil_oecd_hh,regtyp,petyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
36,36,2001,5th Quintile,Urban regions,Yes,0.29862,528,11678,0.28428,0.3136
37,37,2001,5th Quintile,Urban regions,No,0.70138,1136,11678,0.68067,0.72731
38,38,2001,5th Quintile,Rural regions,Yes,0.40172,227,11678,0.37467,0.43087
39,39,2001,5th Quintile,Rural regions,No,0.59828,284,11678,0.55297,0.64429
40,40,2006,1st Quintile,Urban regions,Yes,0.27579,398,12259,0.25865,0.29649
41,41,2006,1st Quintile,Urban regions,No,0.72421,922,12259,0.69326,0.75352
42,42,2006,1st Quintile,Rural regions,Yes,0.40707,353,12259,0.38102,0.43458
43,43,2006,1st Quintile,Rural regions,No,0.59293,408,12259,0.554,0.63034
44,44,2006,2nd Quintile,Urban regions,Yes,0.30204,437,12259,0.2781,0.32738
45,45,2006,2nd Quintile,Urban regions,No,0.69796,890,12259,0.66407,0.72953
46,46,2006,2nd Quintile,Rural regions,Yes,0.44007,439,12259,0.40647,0.47028
47,47,2006,2nd Quintile,Rural regions,No,0.55993,468,12259,0.52569,0.59578
48,48,2006,3rd Quintile,Urban regions,Yes,0.34102,554,12259,0.32335,0.36401
49,49,2006,3rd Quintile,Urban regions,No,0.65898,947,12259,0.62826,0.68558
50,50,2006,3rd Quintile,Rural regions,Yes,0.45114,443,12259,0.42232,0.48581
51,51,2006,3rd Quintile,Rural regions,No,0.54886,464,12259,0.50917,0.58264
52,52,2006,4th Quintile,Urban regions,Yes,0.30315,602,12259,0.28519,0.32234
53,53,2006,4th Quintile,Urban regions,No,0.69685,1078,12259,0.66805,0.7267
54,54,2006,4th Quintile,Rural regions,Yes,0.42906,371,12259,0.38889,0.46856
55,55,2006,4th Quintile,Rural regions,No,0.57094,430,12259,0.52393,0.613
56,56,2006,5th Quintile,Urban regions,Yes,0.27868,764,12259,0.25805,0.29661
57,57,2006,5th Quintile,Urban regions,No,0.72132,1550,12259,0.68858,0.75314
58,58,2006,5th Quintile,Rural regions,Yes,0.43564,346,12259,0.39318,0.47881
59,59,2006,5th Quintile,Rural regions,No,0.56436,395,12259,0.51743,0.61108
60,60,2011,1st Quintile,Urban regions,Yes,0.24116,422,12081,0.22074,0.26498
61,61,2011,1st Quintile,Urban regions,No,0.75884,958,12081,0.71897,0.80309
62,62,2011,1st Quintile,Rural regions,Yes,0.36083,341,12081,0.33151,0.40408
63,63,2011,1st Quintile,Rural regions,No,0.63917,517,12081,0.59961,0.68488
64,64,2011,2nd Quintile,Urban regions,Yes,0.27975,424,12081,0.25833,0.30512
65,65,2011,2nd Quintile,Urban regions,No,0.72025,922,12081,0.68927,0.7579
66,66,2011,2nd Quintile,Rural regions,Yes,0.3813,394,12081,0.3461,0.41761
67,67,2011,2nd Quintile,Rural regions,No,0.6187,523,12081,0.58042,0.66614
68,68,2011,3rd Quintile,Urban regions,Yes,0.31416,509,12081,0.2907,0.33881
69,69,2011,3rd Quintile,Urban regions,No,0.68584,927,12081,0.65017,0.71939
70,70,2011,3rd Quintile,Rural regions,Yes,0.42501,441,12081,0.38262,0.46914
71,71,2011,3rd Quintile,Rural regions,No,0.57499,502,12081,0.53726,0.61333
72,72,2011,4th Quintile,Urban regions,Yes,0.32926,582,12081,0.30637,0.35227
73,73,2011,4th Quintile,Urban regions,No,0.67074,1041,12081,0.63444,0.70251
74,74,2011,4th Quintile,Rural regions,Yes,0.36746,336,12081,0.33221,0.40197
75,75,2011,4th Quintile,Rural regions,No,0.63254,455,12081,0.58102,0.68742
76,76,2011,5th Quintile,Urban regions,Yes,0.3097,706,12081,0.28761,0.33101
77,77,2011,5th Quintile,Urban regions,No,0.6903,1365,12081,0.65765,0.72071
78,78,2011,5th Quintile,Rural regions,Yes,0.44813,328,12081,0.39906,0.49081
79,79,2011,5th Quintile,Rural regions,No,0.55187,388,12081,0.49777,0.60889
80,80,2016,1st Quintile,Urban regions,Yes,0.25057,596,14297,0.22256,0.28107
81,81,2016,1st Quintile,Urban regions,No,0.74943,1356,14297,0.70291,0.79281
82,82,2016,1st Quintile,Rural regions,Yes,0.38192,487,14297,0.34434,0.42674
83,83,2016,1st Quintile,Rural regions,No,0.61808,626,14297,0.56377,0.67823
84,84,2016,2nd Quintile,Urban regions,Yes,0.28707,679,14297,0.26025,0.31492
85,85,2016,2nd Quintile,Urban regions,No,0.71293,1230,14297,0.67747,0.75298
86,86,2016,2nd Quintile,Rural regions,Yes,0.37082,515,14297,0.33352,0.40915
87,87,2016,2nd Quintile,Rural regions,No,0.62918,678,14297,0.58019,0.68154
88,88,2016,3rd Quintile,Urban regions,Yes,0.29719,584,14297,0.26554,0.32813
89,89,2016,3rd Quintile,Urban regions,No,0.70281,1124,14297,0.66863,0.74649
90,90,2016,3rd Quintile,Rural regions,Yes,0.41668,485,14297,0.37148,0.46205
91,91,2016,3rd Quintile,Rural regions,No,0.58332,558,14297,0.53636,0.63343
92,92,2016,4th Quintile,Urban regions,Yes,0.29184,606,14297,0.27242,0.31809
93,93,2016,4th Quintile,Urban regions,No,0.70816,1164,14297,0.67117,0.75285
94,94,2016,4th Quintile,Rural regions,Yes,0.41885,411,14297,0.37838,0.46756
95,95,2016,4th Quintile,Rural regions,No,0.58115,477,14297,0.52413,0.63543
96,96,2016,5th Quintile,Urban regions,Yes,0.28187,617,14297,0.25496,0.30715
97,97,2016,5th Quintile,Urban regions,No,0.71813,1404,14297,0.68339,0.75998
98,98,2016,5th Quintile,Rural regions,Yes,0.40524,305,14297,0.35165,0.45441
99,99,2016,5th Quintile,Rural regions,No,0.59476,395,14297,0.52188,0.65655
100,100,2021,1st Quintile,Urban regions,Yes,0.24578,363,11072,0.21344,0.27655
101,101,2021,1st Quintile,Urban regions,No,0.75422,992,11072,0.69864,0.81222
102,102,2021,1st Quintile,Rural regions,Yes,0.35988,292,11072,0.3068,0.41394
103,103,2021,1st Quintile,Rural regions,No,0.64012,422,11072,0.57062,0.71372
104,104,2021,2nd Quintile,Urban regions,Yes,0.28905,455,11072,0.26084,0.32833
105,105,2021,2nd Quintile,Urban regions,No,0.71095,892,11072,0.66513,0.75509
106,106,2021,2nd Quintile,Rural regions,Yes,0.35226,400,11072,0.31307,0.40044
107,107,2021,2nd Quintile,Rural regions,No,0.64774,459,11072,0.57406,0.71004
108,108,2021,3rd Quintile,Urban regions,Yes,0.31764,479,11072,0.28686,0.35214
109,109,2021,3rd Quintile,Urban regions,No,0.68236,836,11072,0.63374,0.72816
110,110,2021,3rd Quintile,Rural regions,Yes,0.36686,318,11072,0.31599,0.41914
111,111,2021,3rd Quintile,Rural regions,No,0.63314,388,11072,0.57021,0.70027
112,112,2021,4th Quintile,Urban regions,Yes,0.30126,479,11072,0.26873,0.33815
113,113,2021,4th Quintile,Urban regions,No,0.69874,945,11072,0.63931,0.74889
114,114,2021,4th Quintile,Rural regions,Yes,0.44813,322,11072,0.38102,0.51051
115,115,2021,4th Quintile,Rural regions,No,0.55187,347,11072,0.48739,0.63742
116,116,2021,5th Quintile,Urban regions,Yes,0.29458,654,11072,0.26807,0.32509
117,117,2021,5th Quintile,Urban regions,No,0.70542,1316,11072,0.6563,0.74987
118,118,2021,5th Quintile,Rural regions,Yes,0.41434,332,11072,0.35032,0.46602
119,119,2021,5th Quintile,Rural regions,No,0.58566,381,11072,0.5207,0.66352
