,Unnamed: 0,year,bula_h,ple0004,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
99,99,2006,North Rhine-Westphalia,A Little,0.30097,1305,21884,0.2878,0.31258
100,100,2006,North Rhine-Westphalia,Not at all,0.58246,2779,21884,0.56407,0.59775
101,101,2006,Hesse,Strong,0.12938,168,21884,0.11857,0.1405
102,102,2006,Hesse,A Little,0.30245,436,21884,0.27747,0.32353
103,103,2006,Hesse,Not at all,0.56818,874,21884,0.53581,0.59502
104,104,2006,"Rhineland-Palatinate, Saarland",Strong,0.11354,136,21884,0.10328,0.12639
105,105,2006,"Rhineland-Palatinate, Saarland",A Little,0.26374,315,21884,0.24433,0.28689
106,106,2006,"Rhineland-Palatinate, Saarland",Not at all,0.62272,837,21884,0.59431,0.65663
107,107,2006,Baden-Wuerttemberg,Strong,0.11588,261,21884,0.10691,0.12589
108,108,2006,Baden-Wuerttemberg,A Little,0.2779,711,21884,0.26217,0.29398
109,109,2006,Baden-Wuerttemberg,Not at all,0.60622,1740,21884,0.5824,0.63031
110,110,2006,Bavaria,Strong,0.11637,299,21884,0.10645,0.12358
111,111,2006,Bavaria,A Little,0.30031,878,21884,0.28753,0.32089
112,112,2006,Bavaria,Not at all,0.58332,1956,21884,0.56288,0.607
113,113,2006,Berlin,Strong,0.11512,79,21884,0.10148,0.13035
114,114,2006,Berlin,A Little,0.38238,285,21884,0.35259,0.41264
115,115,2006,Berlin,Not at all,0.5025,416,21884,0.46585,0.54032
116,116,2006,Brandenburg,Strong,0.12347,108,21884,0.11184,0.13673
117,117,2006,Brandenburg,A Little,0.39339,360,21884,0.36098,0.43323
118,118,2006,Brandenburg,Not at all,0.48314,469,21884,0.44972,0.51704
119,119,2006,Mecklenburg-Western Pomerania,Strong,0.1408,63,21884,0.12124,0.15971
120,120,2006,Mecklenburg-Western Pomerania,A Little,0.37714,201,21884,0.33843,0.41327
121,121,2006,Mecklenburg-Western Pomerania,Not at all,0.48206,283,21884,0.43714,0.52435
122,122,2006,Saxony,Strong,0.1254,163,21884,0.11368,0.1387
123,123,2006,Saxony,A Little,0.34973,537,21884,0.32791,0.37328
124,124,2006,Saxony,Not at all,0.52486,877,21884,0.49448,0.54984
125,125,2006,Saxony-Anhalt,Strong,0.14172,108,21884,0.12263,0.16657
126,126,2006,Saxony-Anhalt,A Little,0.34348,325,21884,0.3144,0.37234
127,127,2006,Saxony-Anhalt,Not at all,0.5148,478,21884,0.4713,0.55635
128,128,2006,Thuringa,Strong,0.12765,101,21884,0.11257,0.14491
129,129,2006,Thuringa,A Little,0.35844,333,21884,0.32506,0.39302
130,130,2006,Thuringa,Not at all,0.51391,513,21884,0.47938,0.55711
131,131,2008,Schleswig-Holstein,Strong,0.14122,73,19232,0.12193,0.16409
132,132,2008,Schleswig-Holstein,A Little,0.29515,169,19232,0.2668,0.33001
133,133,2008,Schleswig-Holstein,Not at all,0.56363,310,19232,0.51039,0.61058
134,134,2008,Hamburg,A Little,0.27542,60,19232,0.22707,0.32915
135,135,2008,Hamburg,Not at all,0.72458,190,19232,0.63036,0.82085
136,136,2008,Lower Saxony,Strong,0.09763,160,19232,0.08687,0.11026
137,137,2008,Lower Saxony,A Little,0.34351,548,19232,0.32038,0.366
138,138,2008,Lower Saxony,Not at all,0.55886,1029,19232,0.5299,0.58458
139,139,2008,Bremen,A Little,0.32678,35,19232,0.24737,0.40038
140,140,2008,Bremen,Not at all,0.67322,93,19232,0.5628,0.79119
141,141,2008,North Rhine-Westphalia,Strong,0.12038,411,19232,0.11199,0.12923
142,142,2008,North Rhine-Westphalia,A Little,0.30126,1117,19232,0.28826,0.31515
143,143,2008,North Rhine-Westphalia,Not at all,0.57836,2395,19232,0.55844,0.59785
144,144,2008,Hesse,Strong,0.12325,148,19232,0.11149,0.13705
145,145,2008,Hesse,A Little,0.28212,365,19232,0.25735,0.30263
146,146,2008,Hesse,Not at all,0.59463,795,19232,0.55049,0.63238
147,147,2008,"Rhineland-Palatinate, Saarland",Strong,0.12727,123,19232,0.11272,0.14339
148,148,2008,"Rhineland-Palatinate, Saarland",A Little,0.27686,269,19232,0.25181,0.3068
149,149,2008,"Rhineland-Palatinate, Saarland",Not at all,0.59587,701,19232,0.56237,0.63073
150,150,2008,Baden-Wuerttemberg,Strong,0.10748,231,19232,0.09722,0.11904
151,151,2008,Baden-Wuerttemberg,A Little,0.28509,642,19232,0.26636,0.30299
152,152,2008,Baden-Wuerttemberg,Not at all,0.60744,1480,19232,0.58228,0.63747
153,153,2008,Bavaria,Strong,0.11515,267,19232,0.10472,0.12545
154,154,2008,Bavaria,A Little,0.28059,770,19232,0.26266,0.29639
155,155,2008,Bavaria,Not at all,0.60426,1705,19232,0.57722,0.62666
156,156,2008,Berlin,Strong,0.11451,71,19232,0.09693,0.13266
157,157,2008,Berlin,A Little,0.35137,233,19232,0.32304,0.37775
158,158,2008,Berlin,Not at all,0.53412,413,19232,0.49203,0.57617
159,159,2008,Brandenburg,Strong,0.13877,105,19232,0.11764,0.16298
160,160,2008,Brandenburg,A Little,0.35333,307,19232,0.32194,0.39215
161,161,2008,Brandenburg,Not at all,0.5079,410,19232,0.45799,0.55184
162,162,2008,Mecklenburg-Western Pomerania,Strong,0.1275,57,19232,0.10637,0.14652
163,163,2008,Mecklenburg-Western Pomerania,A Little,0.40069,183,19232,0.3483,0.44611
164,164,2008,Mecklenburg-Western Pomerania,Not at all,0.47181,250,19232,0.42967,0.51233
165,165,2008,Saxony,Strong,0.11027,147,19232,0.09798,0.12405
166,166,2008,Saxony,A Little,0.3713,495,19232,0.34053,0.39996
167,167,2008,Saxony,Not at all,0.51843,791,19232,0.48699,0.54741
168,168,2008,Saxony-Anhalt,Strong,0.10765,86,19232,0.08671,0.13207
169,169,2008,Saxony-Anhalt,A Little,0.34834,272,19232,0.31932,0.37821
170,170,2008,Saxony-Anhalt,Not at all,0.544,455,19232,0.49804,0.59572
171,171,2008,Thuringa,Strong,0.12391,98,19232,0.10476,0.14645
172,172,2008,Thuringa,A Little,0.31454,293,19232,0.2859,0.34757
173,173,2008,Thuringa,Not at all,0.56155,480,19232,0.50311,0.61926
174,174,2014,Schleswig-Holstein,Strong,0.10893,95,26994,0.08804,0.12859
175,175,2014,Schleswig-Holstein,A Little,0.3538,264,26994,0.30682,0.40825
176,176,2014,Schleswig-Holstein,Not at all,0.53727,566,26994,0.49014,0.58416
177,177,2014,Hamburg,Strong,0.10743,39,26994,0.07777,0.14641
178,178,2014,Hamburg,A Little,0.24572,96,26994,0.20677,0.28697
179,179,2014,Hamburg,Not at all,0.64685,309,26994,0.55897,0.7148
180,180,2014,Lower Saxony,Strong,0.12572,244,26994,0.11316,0.14029
181,181,2014,Lower Saxony,A Little,0.30408,738,26994,0.27874,0.32938
182,182,2014,Lower Saxony,Not at all,0.5702,1620,26994,0.53711,0.60815
183,183,2014,Bremen,A Little,0.40526,56,26994,0.29558,0.54564
184,184,2014,Bremen,Not at all,0.59474,143,26994,0.46418,0.73847
185,185,2014,North Rhine-Westphalia,Strong,0.12874,562,26994,0.11932,0.1371
186,186,2014,North Rhine-Westphalia,A Little,0.30215,1568,26994,0.28778,0.31633
187,187,2014,North Rhine-Westphalia,Not at all,0.56911,3495,26994,0.54565,0.59243
188,188,2014,Hesse,Strong,0.12979,204,26994,0.1118,0.1465
189,189,2014,Hesse,A Little,0.2846,496,26994,0.25763,0.3124
190,190,2014,Hesse,Not at all,0.58561,1181,26994,0.5456,0.62171
191,191,2014,"Rhineland-Palatinate, Saarland",Strong,0.10853,137,26994,0.09534,0.12058
192,192,2014,"Rhineland-Palatinate, Saarland",A Little,0.31815,465,26994,0.28471,0.35071
193,193,2014,"Rhineland-Palatinate, Saarland",Not at all,0.57332,980,26994,0.53436,0.61859
194,194,2014,Baden-Wuerttemberg,Strong,0.10306,265,26994,0.09276,0.11326
195,195,2014,Baden-Wuerttemberg,A Little,0.29804,835,26994,0.27613,0.31635
196,196,2014,Baden-Wuerttemberg,Not at all,0.59891,2114,26994,0.56864,0.62591
197,197,2014,Bavaria,Strong,0.11067,387,26994,0.1013,0.12107
198,198,2014,Bavaria,A Little,0.27072,1099,26994,0.2519,0.29082
199,199,2014,Bavaria,Not at all,0.61861,2905,26994,0.5883,0.64821
200,200,2014,Berlin,Strong,0.14934,106,26994,0.13144,0.17645
201,201,2014,Berlin,A Little,0.36273,330,26994,0.32048,0.39923
202,202,2014,Berlin,Not at all,0.48792,549,26994,0.44752,0.53361
203,203,2014,Brandenburg,Strong,0.19379,165,26994,0.16234,0.22085
204,204,2014,Brandenburg,A Little,0.37885,368,26994,0.33557,0.44102
205,205,2014,Brandenburg,Not at all,0.42736,487,26994,0.38916,0.46317
206,206,2014,Mecklenburg-Western Pomerania,Strong,0.16368,67,26994,0.13002,0.19032
207,207,2014,Mecklenburg-Western Pomerania,A Little,0.34283,189,26994,0.3009,0.38577
208,208,2014,Mecklenburg-Western Pomerania,Not at all,0.49349,300,26994,0.42881,0.55323
209,209,2014,Saxony,Strong,0.11667,171,26994,0.10408,0.12923
210,210,2014,Saxony,A Little,0.3656,553,26994,0.33261,0.39825
211,211,2014,Saxony,Not at all,0.51773,891,26994,0.47494,0.56331
212,212,2014,Saxony-Anhalt,Strong,0.14831,122,26994,0.12719,0.16863
213,213,2014,Saxony-Anhalt,A Little,0.35214,330,26994,0.31444,0.39516
214,214,2014,Saxony-Anhalt,Not at all,0.49955,513,26994,0.44245,0.54756
215,215,2014,Thuringa,Strong,0.13145,111,26994,0.11305,0.15287
216,216,2014,Thuringa,A Little,0.32934,325,26994,0.29366,0.36751
217,217,2014,Thuringa,Not at all,0.53921,554,26994,0.49381,0.5928
218,218,2016,Schleswig-Holstein,Strong,0.10424,106,27047,0.08543,0.12912
219,219,2016,Schleswig-Holstein,A Little,0.34229,284,27047,0.29777,0.39214
220,220,2016,Schleswig-Holstein,Not at all,0.55346,603,27047,0.50152,0.611
221,221,2016,Hamburg,Strong,0.13911,47,27047,0.10784,0.16911
222,222,2016,Hamburg,A Little,0.24454,103,27047,0.20404,0.29697
223,223,2016,Hamburg,Not at all,0.61634,308,27047,0.53084,0.70453
224,224,2016,Lower Saxony,Strong,0.12934,261,27047,0.11438,0.14631
225,225,2016,Lower Saxony,A Little,0.31353,761,27047,0.28531,0.33801
226,226,2016,Lower Saxony,Not at all,0.55713,1671,27047,0.52051,0.59204
227,227,2016,Bremen,A Little,0.37379,47,27047,0.26747,0.50141
228,228,2016,Bremen,Not at all,0.62621,166,27047,0.46687,0.81392
229,229,2016,North Rhine-Westphalia,Strong,0.1272,552,27047,0.11582,0.13933
230,230,2016,North Rhine-Westphalia,A Little,0.29233,1454,27047,0.27358,0.31115
231,231,2016,North Rhine-Westphalia,Not at all,0.58047,3662,27047,0.55423,0.60595
232,232,2016,Hesse,Strong,0.12911,194,27047,0.11175,0.1487
233,233,2016,Hesse,A Little,0.28299,509,27047,0.25095,0.31939
234,234,2016,Hesse,Not at all,0.5879,1116,27047,0.54483,0.62741
235,235,2016,"Rhineland-Palatinate, Saarland",Strong,0.09783,156,27047,0.08288,0.11278
236,236,2016,"Rhineland-Palatinate, Saarland",A Little,0.33915,507,27047,0.3,0.37654
237,237,2016,"Rhineland-Palatinate, Saarland",Not at all,0.56303,1073,27047,0.51746,0.60493
238,238,2016,Baden-Wuerttemberg,Strong,0.10334,254,27047,0.0892,0.11884
239,239,2016,Baden-Wuerttemberg,A Little,0.3281,923,27047,0.30402,0.35092
240,240,2016,Baden-Wuerttemberg,Not at all,0.56856,1993,27047,0.53156,0.60111
241,241,2016,Bavaria,Strong,0.1042,361,27047,0.09392,0.11542
242,242,2016,Bavaria,A Little,0.29267,1115,27047,0.27291,0.31564
243,243,2016,Bavaria,Not at all,0.60313,2717,27047,0.57219,0.63397
244,244,2016,Berlin,Strong,0.16956,133,27047,0.1424,0.2011
245,245,2016,Berlin,A Little,0.29246,301,27047,0.2581,0.33159
246,246,2016,Berlin,Not at all,0.53798,570,27047,0.48026,0.58918
247,247,2016,Brandenburg,Strong,0.1757,158,27047,0.1484,0.20915
248,248,2016,Brandenburg,A Little,0.39388,376,27047,0.34845,0.44317
249,249,2016,Brandenburg,Not at all,0.43042,510,27047,0.37281,0.49184
250,250,2016,Mecklenburg-Western Pomerania,Strong,0.13409,67,27047,0.0973,0.17504
251,251,2016,Mecklenburg-Western Pomerania,A Little,0.33689,193,27047,0.28159,0.39396
252,252,2016,Mecklenburg-Western Pomerania,Not at all,0.52902,328,27047,0.44828,0.61101
253,253,2016,Saxony,Strong,0.09729,162,27047,0.08473,0.11375
254,254,2016,Saxony,A Little,0.33624,531,27047,0.30309,0.36798
255,255,2016,Saxony,Not at all,0.56647,888,27047,0.51182,0.63345
256,256,2016,Saxony-Anhalt,Strong,0.13889,107,27047,0.11348,0.16899
257,257,2016,Saxony-Anhalt,A Little,0.40707,339,27047,0.36394,0.45088
258,258,2016,Saxony-Anhalt,Not at all,0.45404,467,27047,0.39119,0.52526
259,259,2016,Thuringa,Strong,0.11658,108,27047,0.08919,0.14324
260,260,2016,Thuringa,A Little,0.29046,308,27047,0.25354,0.33327
261,261,2016,Thuringa,Not at all,0.59296,558,27047,0.52554,0.67216
262,262,2018,Schleswig-Holstein,Strong,0.11818,109,29074,0.09649,0.14305
263,263,2018,Schleswig-Holstein,A Little,0.28121,272,29074,0.23371,0.32978
264,264,2018,Schleswig-Holstein,Not at all,0.60061,700,29074,0.55084,0.65395
265,265,2018,Hamburg,Strong,0.15028,58,29074,0.11405,0.19486
266,266,2018,Hamburg,A Little,0.19638,121,29074,0.16148,0.23475
267,267,2018,Hamburg,Not at all,0.65333,357,29074,0.56912,0.73334
268,268,2018,Lower Saxony,Strong,0.11995,244,29074,0.10337,0.13992
269,269,2018,Lower Saxony,A Little,0.31915,837,29074,0.29298,0.34515
270,270,2018,Lower Saxony,Not at all,0.5609,1955,29074,0.52767,0.59659
271,271,2018,Bremen,A Little,0.47933,93,29074,0.3529,0.61278
272,272,2018,Bremen,Not at all,0.52067,176,29074,0.39921,0.65235
273,273,2018,North Rhine-Westphalia,Strong,0.13289,662,29074,0.12182,0.1442
274,274,2018,North Rhine-Westphalia,A Little,0.30535,1738,29074,0.28698,0.32272
275,275,2018,North Rhine-Westphalia,Not at all,0.56176,3821,29074,0.5417,0.58259
276,276,2018,Hesse,Strong,0.12637,198,29074,0.10961,0.14473
277,277,2018,Hesse,A Little,0.30893,620,29074,0.28056,0.34299
278,278,2018,Hesse,Not at all,0.56469,1271,29074,0.51734,0.60834
279,279,2018,"Rhineland-Palatinate, Saarland",Strong,0.10511,175,29074,0.09162,0.12156
280,280,2018,"Rhineland-Palatinate, Saarland",A Little,0.35549,501,29074,0.32151,0.38875
281,281,2018,"Rhineland-Palatinate, Saarland",Not at all,0.5394,1024,29074,0.50618,0.57553
282,282,2018,Baden-Wuerttemberg,Strong,0.09446,261,29074,0.08307,0.1084
283,283,2018,Baden-Wuerttemberg,A Little,0.31463,890,29074,0.28903,0.34032
284,284,2018,Baden-Wuerttemberg,Not at all,0.59091,1993,29074,0.56406,0.62614
285,285,2018,Bavaria,Strong,0.10771,404,29074,0.09649,0.11755
286,286,2018,Bavaria,A Little,0.29583,1160,29074,0.27476,0.31737
287,287,2018,Bavaria,Not at all,0.59646,2758,29074,0.56797,0.62707
288,288,2018,Berlin,Strong,0.15994,141,29074,0.13682,0.18562
289,289,2018,Berlin,A Little,0.30355,368,29074,0.27043,0.34212
290,290,2018,Berlin,Not at all,0.5365,615,29074,0.48756,0.58332
291,291,2018,Brandenburg,Strong,0.12736,163,29074,0.10955,0.14604
292,292,2018,Brandenburg,A Little,0.37591,416,29074,0.33309,0.41884
293,293,2018,Brandenburg,Not at all,0.49673,552,29074,0.44423,0.54644
294,294,2018,Mecklenburg-Western Pomerania,Strong,0.15446,69,29074,0.12256,0.19582
295,295,2018,Mecklenburg-Western Pomerania,A Little,0.3145,195,29074,0.26397,0.35934
296,296,2018,Mecklenburg-Western Pomerania,Not at all,0.53104,384,29074,0.47448,0.61555
297,297,2018,Saxony,Strong,0.10019,167,29074,0.08869,0.11351
298,298,2018,Saxony,A Little,0.34912,582,29074,0.31503,0.38832
299,299,2018,Saxony,Not at all,0.55069,990,29074,0.51082,0.59189
300,300,2018,Saxony-Anhalt,Strong,0.14367,112,29074,0.12048,0.17092
301,301,2018,Saxony-Anhalt,A Little,0.4221,391,29074,0.37283,0.47131
302,302,2018,Saxony-Anhalt,Not at all,0.43423,494,29074,0.38848,0.49111
303,303,2018,Thuringa,Strong,0.07811,86,29074,0.06159,0.09994
304,304,2018,Thuringa,A Little,0.33272,343,29074,0.29216,0.38891
305,305,2018,Thuringa,Not at all,0.58917,608,29074,0.52291,0.64626
306,306,2020,Schleswig-Holstein,Strong,0.11013,97,29321,0.08658,0.135
307,307,2020,Schleswig-Holstein,A Little,0.33882,292,29321,0.2847,0.37846
308,308,2020,Schleswig-Holstein,Not at all,0.55105,678,29321,0.50268,0.61296
309,309,2020,Hamburg,Strong,0.16071,55,29321,0.11939,0.21375
310,310,2020,Hamburg,A Little,0.21753,125,29321,0.17676,0.2734
311,311,2020,Hamburg,Not at all,0.62176,426,29321,0.52907,0.71617
312,312,2020,Lower Saxony,Strong,0.12511,260,29321,0.10713,0.14589
313,313,2020,Lower Saxony,A Little,0.34596,879,29321,0.31693,0.37573
314,314,2020,Lower Saxony,Not at all,0.52893,1742,29321,0.49143,0.56598
315,315,2020,Bremen,A Little,0.51805,112,29321,0.37893,0.68257
316,316,2020,Bremen,Not at all,0.48195,171,29321,0.3717,0.58158
317,317,2020,North Rhine-Westphalia,Strong,0.12614,663,29321,0.11283,0.13787
318,318,2020,North Rhine-Westphalia,A Little,0.32658,1972,29321,0.30664,0.34635
319,319,2020,North Rhine-Westphalia,Not at all,0.54729,3923,29321,0.52441,0.57464
320,320,2020,Hesse,Strong,0.10656,167,29321,0.08438,0.12624
321,321,2020,Hesse,A Little,0.33516,626,29321,0.30236,0.36824
322,322,2020,Hesse,Not at all,0.55827,1292,29321,0.51722,0.60286
323,323,2020,"Rhineland-Palatinate, Saarland",Strong,0.1165,151,29321,0.09405,0.13515
324,324,2020,"Rhineland-Palatinate, Saarland",A Little,0.34504,479,29321,0.29819,0.38221
325,325,2020,"Rhineland-Palatinate, Saarland",Not at all,0.53846,948,29321,0.49311,0.58565
326,326,2020,Baden-Wuerttemberg,Strong,0.10238,269,29321,0.08762,0.11641
327,327,2020,Baden-Wuerttemberg,A Little,0.33827,965,29321,0.31095,0.36608
328,328,2020,Baden-Wuerttemberg,Not at all,0.55935,1968,29321,0.52375,0.59933
329,329,2020,Bavaria,Strong,0.09566,366,29321,0.08289,0.10804
330,330,2020,Bavaria,A Little,0.32859,1302,29321,0.30686,0.35286
331,331,2020,Bavaria,Not at all,0.57575,2713,29321,0.54434,0.60591
332,332,2020,Berlin,Strong,0.14928,147,29321,0.12057,0.17871
333,333,2020,Berlin,A Little,0.33625,409,29321,0.29605,0.37914
334,334,2020,Berlin,Not at all,0.51447,818,29321,0.45633,0.56954
335,335,2020,Brandenburg,Strong,0.14664,163,29321,0.12456,0.17093
336,336,2020,Brandenburg,A Little,0.34956,403,29321,0.30582,0.38906
337,337,2020,Brandenburg,Not at all,0.5038,586,29321,0.4474,0.56344
338,338,2020,Mecklenburg-Western Pomerania,Strong,0.13666,65,29321,0.10224,0.17596
339,339,2020,Mecklenburg-Western Pomerania,A Little,0.38679,177,29321,0.30178,0.46156
340,340,2020,Mecklenburg-Western Pomerania,Not at all,0.47654,296,29321,0.41608,0.54032
341,341,2020,Saxony,Strong,0.11041,150,29321,0.09533,0.12935
