,Unnamed: 0,year,bula_h,regtyp,ple0004,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
26,26,2002,"Rhineland-Palatinate, Saarland",Urban regions,A Little,0.26847,250,22729,0.24737,0.2916
27,27,2002,"Rhineland-Palatinate, Saarland",Urban regions,Not at all,0.61638,677,22729,0.5835,0.65258
28,28,2002,"Rhineland-Palatinate, Saarland",Rural regions,A Little,0.38036,110,22729,0.34265,0.40917
29,29,2002,"Rhineland-Palatinate, Saarland",Rural regions,Not at all,0.61964,201,22729,0.55534,0.68631
30,30,2002,Baden-Wuerttemberg,Urban regions,Strong,0.10981,222,22729,0.09969,0.11897
31,31,2002,Baden-Wuerttemberg,Urban regions,A Little,0.2879,649,22729,0.27051,0.3038
32,32,2002,Baden-Wuerttemberg,Urban regions,Not at all,0.60229,1660,22729,0.57516,0.62873
33,33,2002,Baden-Wuerttemberg,Rural regions,A Little,0.37274,76,22729,0.31471,0.43809
34,34,2002,Baden-Wuerttemberg,Rural regions,Not at all,0.62726,160,22729,0.53985,0.71635
35,35,2002,Bavaria,Urban regions,Strong,0.1163,127,22729,0.10446,0.1275
36,36,2002,Bavaria,Urban regions,A Little,0.29616,436,22729,0.27675,0.31752
37,37,2002,Bavaria,Urban regions,Not at all,0.58753,1037,22729,0.55627,0.61281
38,38,2002,Bavaria,Rural regions,Strong,0.09696,128,22729,0.08618,0.10705
39,39,2002,Bavaria,Rural regions,A Little,0.30076,451,22729,0.27997,0.32087
40,40,2002,Bavaria,Rural regions,Not at all,0.60228,1068,22729,0.57396,0.62835
41,41,2002,Berlin,Urban regions,Strong,0.10838,79,22729,0.09611,0.12145
42,42,2002,Berlin,Urban regions,A Little,0.33752,264,22729,0.31277,0.36275
43,43,2002,Berlin,Urban regions,Not at all,0.5541,484,22729,0.51903,0.5902
44,44,2002,Brandenburg,Urban regions,Not at all,1.0,36,22729,0.78024,1.18398
45,45,2002,Brandenburg,Rural regions,Strong,0.14328,113,22729,0.13007,0.16031
46,46,2002,Brandenburg,Rural regions,A Little,0.35401,299,22729,0.33095,0.37519
47,47,2002,Brandenburg,Rural regions,Not at all,0.50271,480,22729,0.47034,0.5454
48,48,2002,Mecklenburg-Western Pomerania,Urban regions,Not at all,1.0,45,22729,0.74773,1.31684
49,49,2002,Mecklenburg-Western Pomerania,Rural regions,Strong,0.12688,45,22729,0.10159,0.14545
50,50,2002,Mecklenburg-Western Pomerania,Rural regions,A Little,0.40465,170,22729,0.36767,0.44212
51,51,2002,Mecklenburg-Western Pomerania,Rural regions,Not at all,0.46848,227,22729,0.42645,0.50894
52,52,2002,Saxony,Urban regions,Strong,0.1136,74,22729,0.10123,0.12633
53,53,2002,Saxony,Urban regions,A Little,0.33365,250,22729,0.31151,0.35984
54,54,2002,Saxony,Urban regions,Not at all,0.55275,473,22729,0.51689,0.59801
55,55,2002,Saxony,Rural regions,Strong,0.1269,89,22729,0.1139,0.14583
56,56,2002,Saxony,Rural regions,A Little,0.31132,251,22729,0.28367,0.33421
57,57,2002,Saxony,Rural regions,Not at all,0.56178,509,22729,0.52688,0.59477
58,58,2002,Saxony-Anhalt,Urban regions,A Little,0.4826,71,22729,0.42757,0.54589
59,59,2002,Saxony-Anhalt,Urban regions,Not at all,0.5174,87,22729,0.45009,0.58321
60,60,2002,Saxony-Anhalt,Rural regions,Strong,0.15279,103,22729,0.1405,0.16704
61,61,2002,Saxony-Anhalt,Rural regions,A Little,0.33439,261,22729,0.30899,0.36046
62,62,2002,Saxony-Anhalt,Rural regions,Not at all,0.51283,427,22729,0.47775,0.55344
63,63,2002,Thuringa,Urban regions,A Little,0.32967,83,22729,0.28835,0.3797
64,64,2002,Thuringa,Urban regions,Not at all,0.67033,185,22729,0.59657,0.78356
65,65,2002,Thuringa,Rural regions,Strong,0.11672,67,22729,0.10002,0.13379
66,66,2002,Thuringa,Rural regions,A Little,0.37913,221,22729,0.35741,0.41216
67,67,2002,Thuringa,Rural regions,Not at all,0.50414,390,22729,0.46822,0.54075
68,68,2004,Schleswig-Holstein,Urban regions,A Little,0.26383,64,21356,0.21658,0.31247
69,69,2004,Schleswig-Holstein,Urban regions,Not at all,0.73617,201,21356,0.65803,0.81614
70,70,2004,Schleswig-Holstein,Rural regions,Strong,0.1107,39,21356,0.08858,0.13329
71,71,2004,Schleswig-Holstein,Rural regions,A Little,0.26925,95,21356,0.23522,0.31444
72,72,2004,Schleswig-Holstein,Rural regions,Not at all,0.62005,248,21356,0.56151,0.6738
73,73,2004,Hamburg,Urban regions,Strong,0.16121,33,21356,0.13329,0.18903
74,74,2004,Hamburg,Urban regions,A Little,0.23541,63,21356,0.20579,0.27201
75,75,2004,Hamburg,Urban regions,Not at all,0.60339,197,21356,0.53214,0.67429
76,76,2004,Lower Saxony,Urban regions,Strong,0.11373,80,21356,0.09958,0.12876
77,77,2004,Lower Saxony,Urban regions,A Little,0.3101,249,21356,0.28597,0.33165
78,78,2004,Lower Saxony,Urban regions,Not at all,0.57618,570,21356,0.53687,0.61201
79,79,2004,Lower Saxony,Rural regions,Strong,0.11862,92,21356,0.10359,0.1333
80,80,2004,Lower Saxony,Rural regions,A Little,0.31745,293,21356,0.2887,0.34826
81,81,2004,Lower Saxony,Rural regions,Not at all,0.56392,593,21356,0.53027,0.59849
82,82,2004,Bremen,Urban regions,A Little,0.32255,41,21356,0.2598,0.38559
83,83,2004,Bremen,Urban regions,Not at all,0.67745,109,21356,0.57494,0.77723
84,84,2004,North Rhine-Westphalia,Urban regions,Strong,0.13447,459,21356,0.1261,0.14346
85,85,2004,North Rhine-Westphalia,Urban regions,A Little,0.29069,1188,21356,0.27825,0.30292
86,86,2004,North Rhine-Westphalia,Urban regions,Not at all,0.57484,2778,21356,0.55847,0.59202
87,87,2004,North Rhine-Westphalia,Rural regions,Not at all,1.0,78,21356,0.85997,1.15323
88,88,2004,Hesse,Urban regions,Strong,0.14473,128,21356,0.13018,0.1591
89,89,2004,Hesse,Urban regions,A Little,0.28586,317,21356,0.26105,0.31215
90,90,2004,Hesse,Urban regions,Not at all,0.56941,738,21356,0.53869,0.60545
91,91,2004,Hesse,Rural regions,A Little,0.29139,71,21356,0.25257,0.34333
92,92,2004,Hesse,Rural regions,Not at all,0.70861,158,21356,0.62569,0.80043
93,93,2004,"Rhineland-Palatinate, Saarland",Urban regions,Strong,0.1202,104,21356,0.10588,0.13368
94,94,2004,"Rhineland-Palatinate, Saarland",Urban regions,A Little,0.26932,242,21356,0.24813,0.29411
95,95,2004,"Rhineland-Palatinate, Saarland",Urban regions,Not at all,0.61048,648,21356,0.57046,0.64653
96,96,2004,"Rhineland-Palatinate, Saarland",Rural regions,A Little,0.3954,100,21356,0.34821,0.4431
97,97,2004,"Rhineland-Palatinate, Saarland",Rural regions,Not at all,0.6046,181,21356,0.53193,0.67207
98,98,2004,Baden-Wuerttemberg,Urban regions,Strong,0.11086,210,21356,0.10122,0.12201
99,99,2004,Baden-Wuerttemberg,Urban regions,A Little,0.28522,619,21356,0.26471,0.30515
100,100,2004,Baden-Wuerttemberg,Urban regions,Not at all,0.60392,1540,21356,0.57912,0.63114
101,101,2004,Baden-Wuerttemberg,Rural regions,A Little,0.43211,81,21356,0.37031,0.49866
102,102,2004,Baden-Wuerttemberg,Rural regions,Not at all,0.56789,132,21356,0.4735,0.64412
103,103,2004,Bavaria,Urban regions,Strong,0.11535,129,21356,0.10204,0.13174
104,104,2004,Bavaria,Urban regions,A Little,0.30032,397,21356,0.27945,0.32028
105,105,2004,Bavaria,Urban regions,Not at all,0.58433,979,21356,0.55912,0.61143
106,106,2004,Bavaria,Rural regions,Strong,0.10224,125,21356,0.08969,0.11453
107,107,2004,Bavaria,Rural regions,A Little,0.30144,434,21356,0.27819,0.32244
108,108,2004,Bavaria,Rural regions,Not at all,0.59632,967,21356,0.56375,0.63396
109,109,2004,Berlin,Urban regions,Strong,0.12183,86,21356,0.10744,0.13282
110,110,2004,Berlin,Urban regions,A Little,0.31392,247,21356,0.28431,0.34507
111,111,2004,Berlin,Urban regions,Not at all,0.56425,470,21356,0.52375,0.59822
112,112,2004,Brandenburg,Urban regions,A Little,0.45154,34,21356,0.35109,0.55614
113,113,2004,Brandenburg,Urban regions,Not at all,0.54846,35,21356,0.41734,0.69886
114,114,2004,Brandenburg,Rural regions,Strong,0.16621,108,21356,0.14966,0.18648
115,115,2004,Brandenburg,Rural regions,A Little,0.34755,289,21356,0.32067,0.36987
116,116,2004,Brandenburg,Rural regions,Not at all,0.48623,430,21356,0.44911,0.52951
117,117,2004,Mecklenburg-Western Pomerania,Urban regions,Not at all,1.0,46,21356,0.74434,1.29421
118,118,2004,Mecklenburg-Western Pomerania,Rural regions,Strong,0.10047,40,21356,0.08162,0.11754
119,119,2004,Mecklenburg-Western Pomerania,Rural regions,A Little,0.38856,154,21356,0.34665,0.42892
120,120,2004,Mecklenburg-Western Pomerania,Rural regions,Not at all,0.51097,240,21356,0.45802,0.57293
121,121,2004,Saxony,Urban regions,Strong,0.13681,81,21356,0.11823,0.15356
122,122,2004,Saxony,Urban regions,A Little,0.32717,241,21356,0.3006,0.35755
123,123,2004,Saxony,Urban regions,Not at all,0.53602,456,21356,0.49124,0.56921
124,124,2004,Saxony,Rural regions,Strong,0.1323,85,21356,0.11837,0.14622
125,125,2004,Saxony,Rural regions,A Little,0.31101,240,21356,0.2882,0.33735
126,126,2004,Saxony,Rural regions,Not at all,0.55669,464,21356,0.51589,0.59796
127,127,2004,Saxony-Anhalt,Urban regions,Strong,0.25084,32,21356,0.21288,0.29905
128,128,2004,Saxony-Anhalt,Urban regions,A Little,0.32318,65,21356,0.28208,0.3601
129,129,2004,Saxony-Anhalt,Urban regions,Not at all,0.42597,82,21356,0.36114,0.48676
130,130,2004,Saxony-Anhalt,Rural regions,Strong,0.12557,76,21356,0.11285,0.14044
131,131,2004,Saxony-Anhalt,Rural regions,A Little,0.34746,251,21356,0.31882,0.38047
132,132,2004,Saxony-Anhalt,Rural regions,Not at all,0.52696,415,21356,0.48531,0.56808
133,133,2004,Thuringa,Urban regions,A Little,0.34981,93,21356,0.30231,0.40152
134,134,2004,Thuringa,Urban regions,Not at all,0.65019,166,21356,0.55938,0.74954
135,135,2004,Thuringa,Rural regions,Strong,0.14937,77,21356,0.13034,0.16925
136,136,2004,Thuringa,Rural regions,A Little,0.35611,215,21356,0.32758,0.39709
137,137,2004,Thuringa,Rural regions,Not at all,0.49452,368,21356,0.45318,0.53598
138,138,2006,Schleswig-Holstein,Urban regions,A Little,0.28978,70,21705,0.24547,0.33362
139,139,2006,Schleswig-Holstein,Urban regions,Not at all,0.71022,192,21705,0.61946,0.79467
140,140,2006,Schleswig-Holstein,Rural regions,Strong,0.14084,50,21705,0.11996,0.16463
141,141,2006,Schleswig-Holstein,Rural regions,A Little,0.34161,125,21705,0.30251,0.39001
142,142,2006,Schleswig-Holstein,Rural regions,Not at all,0.51754,209,21705,0.47829,0.57509
143,143,2006,Hamburg,Urban regions,A Little,0.30284,68,21705,0.26064,0.34959
144,144,2006,Hamburg,Urban regions,Not at all,0.69716,208,21705,0.62635,0.77774
145,145,2006,Lower Saxony,Urban regions,Strong,0.08859,77,21705,0.07482,0.09946
146,146,2006,Lower Saxony,Urban regions,A Little,0.31239,261,21705,0.28549,0.34572
147,147,2006,Lower Saxony,Urban regions,Not at all,0.59902,584,21705,0.56417,0.64637
148,148,2006,Lower Saxony,Rural regions,Strong,0.11556,107,21705,0.10184,0.12945
149,149,2006,Lower Saxony,Rural regions,A Little,0.32867,316,21705,0.30188,0.35483
150,150,2006,Lower Saxony,Rural regions,Not at all,0.55576,608,21705,0.52223,0.59467
151,151,2006,Bremen,Urban regions,A Little,0.39513,45,21705,0.29338,0.46726
152,152,2006,Bremen,Urban regions,Not at all,0.60487,87,21705,0.50287,0.70323
153,153,2006,North Rhine-Westphalia,Urban regions,Strong,0.11754,445,21705,0.11035,0.12584
154,154,2006,North Rhine-Westphalia,Urban regions,A Little,0.30213,1273,21705,0.29069,0.31312
155,155,2006,North Rhine-Westphalia,Urban regions,Not at all,0.58033,2703,21705,0.56223,0.5986
156,156,2006,North Rhine-Westphalia,Rural regions,A Little,0.28869,32,21705,0.21581,0.36685
157,157,2006,North Rhine-Westphalia,Rural regions,Not at all,0.71131,76,21705,0.61414,0.81963
158,158,2006,Hesse,Urban regions,Strong,0.1229,133,21705,0.10908,0.13727
159,159,2006,Hesse,Urban regions,A Little,0.30894,351,21705,0.28171,0.33503
160,160,2006,Hesse,Urban regions,Not at all,0.56817,723,21705,0.54075,0.6051
161,161,2006,Hesse,Rural regions,Strong,0.15804,35,21705,0.12553,0.1894
162,162,2006,Hesse,Rural regions,A Little,0.27375,85,21705,0.23641,0.31504
163,163,2006,Hesse,Rural regions,Not at all,0.56822,151,21705,0.51049,0.64222
164,164,2006,"Rhineland-Palatinate, Saarland",Urban regions,Strong,0.10891,103,21705,0.09812,0.1212
165,165,2006,"Rhineland-Palatinate, Saarland",Urban regions,A Little,0.2546,232,21705,0.226,0.27753
166,166,2006,"Rhineland-Palatinate, Saarland",Urban regions,Not at all,0.63649,638,21705,0.59696,0.68054
167,167,2006,"Rhineland-Palatinate, Saarland",Rural regions,Strong,0.12836,33,21705,0.10841,0.14909
168,168,2006,"Rhineland-Palatinate, Saarland",Rural regions,A Little,0.29297,83,21705,0.25973,0.3308
169,169,2006,"Rhineland-Palatinate, Saarland",Rural regions,Not at all,0.57867,199,21705,0.52626,0.64306
170,170,2006,Baden-Wuerttemberg,Urban regions,Strong,0.11602,235,21705,0.10654,0.12869
171,171,2006,Baden-Wuerttemberg,Urban regions,A Little,0.27328,637,21705,0.25746,0.28754
172,172,2006,Baden-Wuerttemberg,Urban regions,Not at all,0.6107,1609,21705,0.58547,0.63533
173,173,2006,Baden-Wuerttemberg,Rural regions,A Little,0.36511,74,21705,0.30513,0.44074
174,174,2006,Baden-Wuerttemberg,Rural regions,Not at all,0.63489,131,21705,0.54795,0.72571
175,175,2006,Bavaria,Urban regions,Strong,0.10963,126,21705,0.09928,0.12072
176,176,2006,Bavaria,Urban regions,A Little,0.30454,414,21705,0.28696,0.32556
177,177,2006,Bavaria,Urban regions,Not at all,0.58583,954,21705,0.55969,0.61495
178,178,2006,Bavaria,Rural regions,Strong,0.12277,173,21705,0.10905,0.13481
179,179,2006,Bavaria,Rural regions,A Little,0.2963,464,21705,0.27856,0.31757
180,180,2006,Bavaria,Rural regions,Not at all,0.58093,1002,21705,0.54933,0.611
181,181,2006,Berlin,Urban regions,Strong,0.11512,79,21705,0.10209,0.13144
182,182,2006,Berlin,Urban regions,A Little,0.38238,285,21705,0.34864,0.41209
183,183,2006,Berlin,Urban regions,Not at all,0.5025,416,21705,0.46411,0.54056
184,184,2006,Brandenburg,Urban regions,Not at all,1.0,41,21705,0.8145,1.17721
185,185,2006,Brandenburg,Rural regions,Strong,0.12894,103,21705,0.11427,0.14578
186,186,2006,Brandenburg,Rural regions,A Little,0.39238,331,21705,0.3587,0.42976
187,187,2006,Brandenburg,Rural regions,Not at all,0.47868,428,21705,0.44497,0.51296
188,188,2006,Mecklenburg-Western Pomerania,Urban regions,Not at all,1.0,37,21705,0.77729,1.24903
189,189,2006,Mecklenburg-Western Pomerania,Rural regions,Strong,0.13477,55,21705,0.11789,0.15233
190,190,2006,Mecklenburg-Western Pomerania,Rural regions,A Little,0.38646,179,21705,0.34762,0.42536
191,191,2006,Mecklenburg-Western Pomerania,Rural regions,Not at all,0.47876,246,21705,0.42802,0.51545
192,192,2006,Saxony,Urban regions,Strong,0.12375,82,21705,0.10317,0.14086
193,193,2006,Saxony,Urban regions,A Little,0.34742,270,21705,0.32022,0.37849
194,194,2006,Saxony,Urban regions,Not at all,0.52882,463,21705,0.48821,0.5716
195,195,2006,Saxony,Rural regions,Strong,0.12698,81,21705,0.10996,0.15069
196,196,2006,Saxony,Rural regions,A Little,0.35194,267,21705,0.32056,0.38564
197,197,2006,Saxony,Rural regions,Not at all,0.52108,414,21705,0.48148,0.561
198,198,2006,Saxony-Anhalt,Urban regions,A Little,0.48052,68,21705,0.40592,0.56509
199,199,2006,Saxony-Anhalt,Urban regions,Not at all,0.51948,74,21705,0.41515,0.63112
200,200,2006,Saxony-Anhalt,Rural regions,Strong,0.13096,85,21705,0.10927,0.15208
201,201,2006,Saxony-Anhalt,Rural regions,A Little,0.33291,257,21705,0.29954,0.36595
202,202,2006,Saxony-Anhalt,Rural regions,Not at all,0.53613,404,21705,0.48361,0.58722
203,203,2006,Thuringa,Urban regions,A Little,0.34671,94,21705,0.30069,0.39403
204,204,2006,Thuringa,Urban regions,Not at all,0.65329,151,21705,0.54383,0.75734
205,205,2006,Thuringa,Rural regions,Strong,0.12854,73,21705,0.10805,0.14996
206,206,2006,Thuringa,Rural regions,A Little,0.3791,239,21705,0.33943,0.41415
207,207,2006,Thuringa,Rural regions,Not at all,0.49236,362,21705,0.44789,0.54352
208,208,2008,Schleswig-Holstein,Urban regions,A Little,0.32514,68,19047,0.26723,0.36601
209,209,2008,Schleswig-Holstein,Urban regions,Not at all,0.67486,137,19047,0.57797,0.78595
210,210,2008,Schleswig-Holstein,Rural regions,Strong,0.15628,52,19047,0.12832,0.18721
211,211,2008,Schleswig-Holstein,Rural regions,A Little,0.29949,101,19047,0.25681,0.34472
212,212,2008,Schleswig-Holstein,Rural regions,Not at all,0.54423,173,19047,0.48711,0.60528
213,213,2008,Hamburg,Urban regions,A Little,0.27542,60,19047,0.22949,0.32736
214,214,2008,Hamburg,Urban regions,Not at all,0.72458,190,19047,0.63139,0.80701
215,215,2008,Lower Saxony,Urban regions,Strong,0.08623,69,19047,0.07444,0.09742
216,216,2008,Lower Saxony,Urban regions,A Little,0.30347,237,19047,0.27149,0.33823
217,217,2008,Lower Saxony,Urban regions,Not at all,0.6103,525,19047,0.5649,0.65759
218,218,2008,Lower Saxony,Rural regions,Strong,0.10803,91,19047,0.08914,0.12575
219,219,2008,Lower Saxony,Rural regions,A Little,0.38001,311,19047,0.34562,0.41299
220,220,2008,Lower Saxony,Rural regions,Not at all,0.51196,504,19047,0.48067,0.54791
221,221,2008,Bremen,Urban regions,A Little,0.32678,35,19047,0.25033,0.40185
222,222,2008,Bremen,Urban regions,Not at all,0.67322,93,19047,0.56316,0.79101
223,223,2008,North Rhine-Westphalia,Urban regions,Strong,0.12083,399,19047,0.11291,0.12989
224,224,2008,North Rhine-Westphalia,Urban regions,A Little,0.30335,1091,19047,0.28988,0.31637
225,225,2008,North Rhine-Westphalia,Urban regions,Not at all,0.57582,2330,19047,0.55356,0.59392
226,226,2008,North Rhine-Westphalia,Rural regions,Not at all,1.0,65,19047,0.83774,1.17622
227,227,2008,Hesse,Urban regions,Strong,0.11875,116,19047,0.10228,0.13689
228,228,2008,Hesse,Urban regions,A Little,0.27873,298,19047,0.25554,0.30498
229,229,2008,Hesse,Urban regions,Not at all,0.60253,672,19047,0.56273,0.64052
230,230,2008,Hesse,Rural regions,Strong,0.14272,32,19047,0.1188,0.17313
231,231,2008,Hesse,Rural regions,A Little,0.29683,67,19047,0.25003,0.34669
232,232,2008,Hesse,Rural regions,Not at all,0.56046,123,19047,0.48253,0.63636
233,233,2008,"Rhineland-Palatinate, Saarland",Urban regions,Strong,0.12287,92,19047,0.10666,0.13946
234,234,2008,"Rhineland-Palatinate, Saarland",Urban regions,A Little,0.2599,186,19047,0.23011,0.28687
235,235,2008,"Rhineland-Palatinate, Saarland",Urban regions,Not at all,0.61723,544,19047,0.58089,0.65468
236,236,2008,"Rhineland-Palatinate, Saarland",Rural regions,Strong,0.14045,31,19047,0.11238,0.1717
237,237,2008,"Rhineland-Palatinate, Saarland",Rural regions,A Little,0.32762,83,19047,0.2778,0.39198
238,238,2008,"Rhineland-Palatinate, Saarland",Rural regions,Not at all,0.53193,157,19047,0.46391,0.60935
239,239,2008,Baden-Wuerttemberg,Urban regions,Strong,0.10401,205,19047,0.09275,0.11667
240,240,2008,Baden-Wuerttemberg,Urban regions,A Little,0.28359,573,19047,0.26427,0.3054
241,241,2008,Baden-Wuerttemberg,Urban regions,Not at all,0.6124,1360,19047,0.58197,0.64434
242,242,2008,Baden-Wuerttemberg,Rural regions,A Little,0.34563,69,19047,0.27164,0.41607
243,243,2008,Baden-Wuerttemberg,Rural regions,Not at all,0.65437,120,19047,0.55911,0.75991
244,244,2008,Bavaria,Urban regions,Strong,0.1178,123,19047,0.10002,0.13484
245,245,2008,Bavaria,Urban regions,A Little,0.28691,372,19047,0.26158,0.31193
246,246,2008,Bavaria,Urban regions,Not at all,0.59529,803,19047,0.56248,0.6278
247,247,2008,Bavaria,Rural regions,Strong,0.11272,144,19047,0.09975,0.12787
248,248,2008,Bavaria,Rural regions,A Little,0.27478,398,19047,0.25346,0.29129
249,249,2008,Bavaria,Rural regions,Not at all,0.6125,902,19047,0.57622,0.65262
250,250,2008,Berlin,Urban regions,Strong,0.11451,71,19047,0.09757,0.13394
251,251,2008,Berlin,Urban regions,A Little,0.35137,233,19047,0.31987,0.38725
252,252,2008,Berlin,Urban regions,Not at all,0.53412,413,19047,0.49171,0.5718
253,253,2008,Brandenburg,Urban regions,Not at all,1.0,41,19047,0.78536,1.28506
254,254,2008,Brandenburg,Rural regions,Strong,0.1386,98,19047,0.11595,0.16408
255,255,2008,Brandenburg,Rural regions,A Little,0.36179,287,19047,0.33069,0.40042
256,256,2008,Brandenburg,Rural regions,Not at all,0.49961,369,19047,0.45133,0.55443
257,257,2008,Mecklenburg-Western Pomerania,Urban regions,Not at all,1.0,40,19047,0.75216,1.28291
258,258,2008,Mecklenburg-Western Pomerania,Rural regions,Strong,0.13145,52,19047,0.11001,0.15714
259,259,2008,Mecklenburg-Western Pomerania,Rural regions,A Little,0.41513,165,19047,0.36237,0.47615
260,260,2008,Mecklenburg-Western Pomerania,Rural regions,Not at all,0.45342,210,19047,0.41047,0.49806
261,261,2008,Saxony,Urban regions,Strong,0.107,67,19047,0.08922,0.12789
262,262,2008,Saxony,Urban regions,A Little,0.35855,248,19047,0.32849,0.39871
263,263,2008,Saxony,Urban regions,Not at all,0.53444,412,19047,0.49243,0.57707
264,264,2008,Saxony,Rural regions,Strong,0.11327,80,19047,0.09534,0.1291
265,265,2008,Saxony,Rural regions,A Little,0.38304,247,19047,0.34638,0.43424
266,266,2008,Saxony,Rural regions,Not at all,0.50368,379,19047,0.46353,0.54686
267,267,2008,Saxony-Anhalt,Urban regions,A Little,0.39173,60,19047,0.31351,0.49682
268,268,2008,Saxony-Anhalt,Urban regions,Not at all,0.60827,79,19047,0.4882,0.79097
269,269,2008,Saxony-Anhalt,Rural regions,Strong,0.09361,62,19047,0.07244,0.11783
270,270,2008,Saxony-Anhalt,Rural regions,A Little,0.35355,212,19047,0.31833,0.39419
271,271,2008,Saxony-Anhalt,Rural regions,Not at all,0.55284,376,19047,0.49101,0.60998
272,272,2008,Thuringa,Urban regions,A Little,0.28114,84,19047,0.23328,0.32618
273,273,2008,Thuringa,Urban regions,Not at all,0.71886,148,19047,0.59495,0.86461
274,274,2008,Thuringa,Rural regions,Strong,0.13443,72,19047,0.11146,0.1582
275,275,2008,Thuringa,Rural regions,A Little,0.33947,209,19047,0.30559,0.38274
276,276,2008,Thuringa,Rural regions,Not at all,0.5261,332,19047,0.47648,0.57901
277,277,2014,Schleswig-Holstein,Urban regions,A Little,0.43,87,26803,0.316,0.52258
278,278,2014,Schleswig-Holstein,Urban regions,Not at all,0.57,158,26803,0.4845,0.65924
279,279,2014,Schleswig-Holstein,Rural regions,Strong,0.11106,66,26803,0.08762,0.13825
280,280,2014,Schleswig-Holstein,Rural regions,A Little,0.34153,177,26803,0.29445,0.39667
281,281,2014,Schleswig-Holstein,Rural regions,Not at all,0.54741,408,26803,0.48667,0.60039
282,282,2014,Hamburg,Urban regions,Strong,0.10743,39,26803,0.0802,0.14631
283,283,2014,Hamburg,Urban regions,A Little,0.24572,96,26803,0.20861,0.28931
284,284,2014,Hamburg,Urban regions,Not at all,0.64685,309,26803,0.56158,0.7378
285,285,2014,Lower Saxony,Urban regions,Strong,0.12709,95,26803,0.10293,0.15006
286,286,2014,Lower Saxony,Urban regions,A Little,0.25747,254,26803,0.22659,0.29372
287,287,2014,Lower Saxony,Urban regions,Not at all,0.61544,726,26803,0.56849,0.67064
288,288,2014,Lower Saxony,Rural regions,Strong,0.12474,149,26803,0.10522,0.14453
289,289,2014,Lower Saxony,Rural regions,A Little,0.33762,484,26803,0.30374,0.3675
290,290,2014,Lower Saxony,Rural regions,Not at all,0.53764,894,26803,0.49927,0.57312
291,291,2014,Bremen,Urban regions,A Little,0.40526,56,26803,0.28892,0.51976
292,292,2014,Bremen,Urban regions,Not at all,0.59474,143,26803,0.43272,0.77191
293,293,2014,North Rhine-Westphalia,Urban regions,Strong,0.12863,550,26803,0.12003,0.13691
294,294,2014,North Rhine-Westphalia,Urban regions,A Little,0.30015,1526,26803,0.28432,0.31696
295,295,2014,North Rhine-Westphalia,Urban regions,Not at all,0.57122,3432,26803,0.5455,0.59353
296,296,2014,North Rhine-Westphalia,Rural regions,A Little,0.43709,42,26803,0.32242,0.56912
297,297,2014,North Rhine-Westphalia,Rural regions,Not at all,0.56291,63,26803,0.42006,0.74366
