year,bula_h,pgisced97,ple0004,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2002,Schleswig-Holstein,Second Stage of Tertiary Education,Not at all,0.7844827586206896,28961,0.7797470823574509,0.7892184348839283
2002,Schleswig-Holstein,Second Stage of Tertiary Education,A Little,0.1896551724137931,28961,0.18514008074067134,0.19417026408691485
2002,Schleswig-Holstein,Second Stage of Tertiary Education,Strong,0.02586206896551724,28961,0.024034005983194155,0.027690131947840327
2002,Hamburg,Pre-primary Level,Not at all,0.8888888888888888,28961,0.88526936223902,0.8925084155387577
2002,Hamburg,Pre-primary Level,A Little,0.1111111111111111,28961,0.10749158446124227,0.11473063776097994
2002,Hamburg,Primary Level,A Little,0.5,28961,0.49424136836268273,0.5057586316373173
2002,Hamburg,Primary Level,Not at all,0.5,28961,0.49424136836268273,0.5057586316373173
2002,Hamburg,Lower Secondary Level,Not at all,0.6,28961,0.5943577163487698,0.6056422836512302
2002,Hamburg,Lower Secondary Level,A Little,0.23333333333333334,28961,0.22846207706286759,0.2382045896037991
2002,Hamburg,Lower Secondary Level,Strong,0.16666666666666666,28961,0.16237443606719254,0.17095889726614077
2002,Hamburg,Upper Secondary Level,Not at all,0.5886075949367089,28961,0.5829401101869256,0.5942750796864922
2002,Hamburg,Upper Secondary Level,A Little,0.2468354430379747,28961,0.2418695427860994,0.25180134328985
2002,Hamburg,Upper Secondary Level,Strong,0.16455696202531644,28961,0.1602865886653197,0.1688273353853132
2002,Hamburg,Post-secondary Non-tertiary Level,Not at all,0.7894736842105263,28961,0.7847782980151005,0.7941690704059522
2002,Hamburg,Post-secondary Non-tertiary Level,A Little,0.10526315789473684,28961,0.10172859957291248,0.10879771621656119
2002,Hamburg,Post-secondary Non-tertiary Level,Strong,0.10526315789473684,28961,0.10172859957291248,0.10879771621656119
2002,Hamburg,First Stage of Tertiary Education,Not at all,0.6363636363636364,28961,0.630823306471138,0.6419039662561347
2002,Hamburg,First Stage of Tertiary Education,A Little,0.2727272727272727,28961,0.26759792395342713,0.2778566215011183
2002,Hamburg,First Stage of Tertiary Education,Strong,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hamburg,Second Stage of Tertiary Education,Not at all,0.8235294117647058,28961,0.8191388001859881,0.8279200233434236
2002,Hamburg,Second Stage of Tertiary Education,A Little,0.12941176470588237,28961,0.1255459363145702,0.13327759309719453
2002,Hamburg,Second Stage of Tertiary Education,Strong,0.047058823529411764,28961,0.04461987365948915,0.04949777339933438
2002,Lower Saxony,Pre-primary Level,Not at all,0.9137931034482759,28961,0.9105605609895548,0.917025645906997
2002,Lower Saxony,Pre-primary Level,A Little,0.08620689655172414,28961,0.08297435409300304,0.08943943901044525
2002,Lower Saxony,Primary Level,A Little,0.5555555555555556,28961,0.5498325814229235,0.5612785296881877
2002,Lower Saxony,Primary Level,Strong,0.25925925925925924,28961,0.2542120704877258,0.2643064480307927
2002,Lower Saxony,Primary Level,Not at all,0.18518518518518517,28961,0.18071133050772523,0.18965903986264512
2002,Lower Saxony,Lower Secondary Level,Not at all,0.5379061371841155,28961,0.532164078264429,0.543648196103802
2002,Lower Saxony,Lower Secondary Level,A Little,0.30685920577617326,28961,0.30154755391336674,0.3121708576389798
2002,Lower Saxony,Lower Secondary Level,Strong,0.1552346570397112,28961,0.15106393082266087,0.15940538325676154
2002,Lower Saxony,Upper Secondary Level,Not at all,0.6088631984585742,28961,0.6032427172911059,0.6144836796260424
2002,Lower Saxony,Upper Secondary Level,A Little,0.2947976878612717,28961,0.2895463713547723,0.3000490043677711
2002,Lower Saxony,Upper Secondary Level,Strong,0.09633911368015415,28961,0.09294087905850026,0.09973734830180803
2002,Lower Saxony,Post-secondary Non-tertiary Level,Not at all,0.6666666666666666,28961,0.6612373766918633,0.6720959566414699
2002,Lower Saxony,Post-secondary Non-tertiary Level,A Little,0.25203252032520324,28961,0.24703195685825602,0.25703308379215045
2002,Lower Saxony,Post-secondary Non-tertiary Level,Strong,0.08130081300813008,28961,0.07815318497270492,0.08444844104355524
2002,Lower Saxony,First Stage of Tertiary Education,Not at all,0.6062992125984252,28961,0.6006722252545996,0.6119261999422508
2002,Lower Saxony,First Stage of Tertiary Education,A Little,0.2992125984251969,28961,0.29393869254195115,0.3044865043084426
