year,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2003,weiblich,1.3695600076890542,1.3470587521571433,1.392061263220965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1452.0
2004,maennlich,1.491318621155848,1.4580062048009683,1.5246310375107277,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1061.0
2004,weiblich,1.3541250867279795,1.3307832321861555,1.3774669412698035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1452.0
2005,maennlich,1.4165855813166566,1.3893488473354019,1.4438223152979113,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,962.0
2005,weiblich,1.4025124409622907,1.3752389524387365,1.4297859294858448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1255.0
2006,maennlich,1.4802261510160215,1.4402292252682596,1.5202230767637834,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1082.0
2006,weiblich,1.346282103375593,1.3207424384661226,1.3718217682850633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1425.0
2007,maennlich,1.5246554719599472,1.4874029715576056,1.5619079723622888,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1060.0
2007,weiblich,1.3916983108952363,1.3642220247548258,1.4191745970356469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1345.0
2008,maennlich,1.4357884035333157,1.408863092537748,1.4627137145288833,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,980.0
2008,weiblich,1.3835117537320534,1.358168555176911,1.4088549522871958,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1216.0
2009,maennlich,1.478142837864982,1.4289463743275552,1.5273393014024086,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1001.0
2009,weiblich,1.4604142424106958,1.4293264928733507,1.491501991948041,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1242.0
2010,maennlich,1.4686002592568466,1.431521413469296,1.5056791050443972,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1171.0
2010,weiblich,1.409441707521282,1.3862013393300558,1.432682075712508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2050.0
2011,-3,,,,,,,,,,,,
2011,-1,,,,,,,,,,,,
2011,maennlich,1.4841668563493073,1.4534502918094712,1.5148834208891435,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1447.0
2011,weiblich,1.3594685299023626,1.3387448569373945,1.3801922028673306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2377.0
2012,-3,,,,,,,,,,,,
2012,maennlich,1.456972933840026,1.4263862465385562,1.4875596211414956,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1550.0
2012,weiblich,1.432185784687931,1.4106920405047472,1.4536795288711146,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,2109.0
2013,-3,,,,,,,,,,,,
2013,maennlich,1.4317970718277941,1.4058000752885846,1.4577940683670036,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1431.0
2013,weiblich,1.414139184159295,1.3922255837983255,1.4360527845202644,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1955.0
2014,-3,,,,,,,,,,,,
2014,-1,,,,,,,,,,,,
2014,maennlich,1.4246961662313131,1.3990117043665014,1.450380628096125,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1253.0
2014,weiblich,1.3819443929739905,1.362516644412356,1.401372141535625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0
2015,-3,,,,,,,,,,,,
2015,-1,,,,,,,,,,,,
2015,maennlich,1.4345586517033417,1.3937358594264504,1.475381443980233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1410.0
2015,weiblich,1.4099318255733448,1.3829459090414389,1.4369177421052508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1862.0
2016,-3,,,,,,,,,,,,
2016,-1,,,,,,,,,,,,
2016,maennlich,1.587615909133491,1.516215552334659,1.6590162659323229,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1288.0
2016,weiblich,1.396653177428369,1.3729931317328756,1.4203132231238624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1836.0
2017,-3,,,,,,,,,,,,
2017,-1,,,,,,,,,,,,
2017,maennlich,1.4847084631147756,1.4589582356200927,1.5104586906094584,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1515.0
2017,weiblich,1.390409832623543,1.3674965834351485,1.4133230818119376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1968.0
2018,-3,,,,,,,,,,,,
2018,-1,,,,,,,,,,,,
2018,maennlich,1.443607103977329,1.416048935925221,1.471165272029437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1443.0
2018,weiblich,1.3815474743579463,1.347112995039855,1.4159819536760376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1917.0
2019,-3,,,,,,,,,,,,
2019,-1,,,,,,,,,,,,
2019,maennlich,1.4781382376629728,1.4436935672965243,1.5125829080294213,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1538.0
2019,weiblich,1.3808407540792933,1.3602504266978985,1.401431081460688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1850.0
2020,-3,,,,,,,,,,,,
2020,-1,,,,,,,,,,,,
2020,maennlich,1.4391590293068184,1.4152889824471546,1.4630290761664821,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1616.0
2020,weiblich,1.4541357413260285,1.4251248404748285,1.4831466421772286,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1953.0
2021,-3,,,,,,,,,,,,
2021,-1,,,,,,,,,,,,
2021,maennlich,1.5710226608071887,1.5159508309316332,1.6260944906827441,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,953.0
2021,weiblich,1.5840816060551626,1.5327430512933808,1.6354201608169443,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,1081.0
