year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1989,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1989,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1989,Schleswig-Holstein,higher education,,,,,,,,,,,,
1989,Hamburg,in school,,,,,,,,,,,,
1989,Hamburg,inadequately,,,,,,,,,,,,
1989,Hamburg,general elementary,,,,,,,,,,,,
1989,Hamburg,middle vocational,,,,,,,,,,,,
1989,Hamburg,vocational + Abi,,,,,,,,,,,,
1989,Hamburg,higher vocational,,,,,,,,,,,,
1989,Hamburg,higher education,,,,,,,,,,,,
1989,Lower Saxony,in school,,,,,,,,,,,,
1989,Lower Saxony,inadequately,,,,,,,,,,,,
1989,Lower Saxony,general elementary,,,,,,,,,,,,
1989,Lower Saxony,middle vocational,,,,,,,,,,,,
1989,Lower Saxony,vocational + Abi,,,,,,,,,,,,
1989,Lower Saxony,higher vocational,,,,,,,,,,,,
1989,Lower Saxony,higher education,,,,,,,,,,,,
1989,Bremen,inadequately,,,,,,,,,,,,
1989,Bremen,general elementary,,,,,,,,,,,,
1989,Bremen,middle vocational,,,,,,,,,,,,
1989,Bremen,vocational + Abi,,,,,,,,,,,,
1989,Bremen,higher vocational,,,,,,,,,,,,
1989,Bremen,higher education,,,,,,,,,,,,
1989,North Rhine-Westphalia,in school,,,,,,,,,,,,
1989,North Rhine-Westphalia,inadequately,,,,,,,,,,,,
1989,North Rhine-Westphalia,general elementary,,,,,,,,,,,,
1989,North Rhine-Westphalia,middle vocational,,,,,,,,,,,,
1989,North Rhine-Westphalia,vocational + Abi,,,,,,,,,,,,
1989,North Rhine-Westphalia,higher vocational,,,,,,,,,,,,
1989,North Rhine-Westphalia,higher education,,,,,,,,,,,,
1989,Hesse,in school,,,,,,,,,,,,
1989,Hesse,inadequately,,,,,,,,,,,,
1989,Hesse,general elementary,,,,,,,,,,,,
