,Unnamed: 0,year,bula_h,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
20,20,1985,Lower Saxony,Disabled (> 30%),0.101,98,10922,0.09364,0.10786
21,21,1985,Bremen,Not Disabled (<= 30%),1.0,98,10922,0.89913,1.09597
22,22,1985,North Rhine-Westphalia,Not Disabled (<= 30%),0.86676,2659,10922,0.84779,0.88514
23,23,1985,North Rhine-Westphalia,Disabled (> 30%),0.13324,294,10922,0.12759,0.138
24,24,1985,Hesse,Not Disabled (<= 30%),0.89388,1039,10922,0.86092,0.93222
25,25,1985,Hesse,Disabled (> 30%),0.10612,87,10922,0.09839,0.11385
26,26,1985,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.89756,704,10922,0.86402,0.92972
27,27,1985,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.10244,65,10922,0.09527,0.10918
28,28,1985,Baden-Wuerttemberg,Not Disabled (<= 30%),0.91741,1914,10922,0.89172,0.94297
29,29,1985,Baden-Wuerttemberg,Disabled (> 30%),0.08259,126,10922,0.07526,0.08795
30,30,1985,Bavaria,Not Disabled (<= 30%),0.89601,1736,10922,0.87167,0.91661
31,31,1985,Bavaria,Disabled (> 30%),0.10399,153,10922,0.09845,0.10942
32,32,1985,Berlin,Not Disabled (<= 30%),0.84135,318,10922,0.78557,0.89355
33,33,1985,Berlin,Disabled (> 30%),0.15865,44,10922,0.13749,0.18004
34,34,1987,Schleswig-Holstein,Not Disabled (<= 30%),0.88568,294,10377,0.83508,0.93707
35,35,1987,Schleswig-Holstein,Disabled (> 30%),0.11432,32,10377,0.09636,0.13244
36,36,1987,Hamburg,Not Disabled (<= 30%),1.0,206,10377,0.90883,1.07804
37,37,1987,Lower Saxony,Not Disabled (<= 30%),0.88366,992,10377,0.85636,0.91655
38,38,1987,Lower Saxony,Disabled (> 30%),0.11634,109,10377,0.10737,0.12464
39,39,1987,Bremen,Not Disabled (<= 30%),1.0,92,10377,0.88522,1.12781
40,40,1987,North Rhine-Westphalia,Not Disabled (<= 30%),0.86702,2532,10377,0.8489,0.88516
41,41,1987,North Rhine-Westphalia,Disabled (> 30%),0.13298,284,10377,0.12519,0.14072
42,42,1987,Hesse,Not Disabled (<= 30%),0.89979,972,10377,0.85622,0.94055
43,43,1987,Hesse,Disabled (> 30%),0.10021,77,10377,0.09115,0.10975
44,44,1987,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.89989,699,10377,0.86547,0.92891
45,45,1987,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.10011,65,10377,0.09073,0.11001
46,46,1987,Baden-Wuerttemberg,Not Disabled (<= 30%),0.91354,1825,10377,0.88088,0.947
47,47,1987,Baden-Wuerttemberg,Disabled (> 30%),0.08646,128,10377,0.07909,0.09549
48,48,1987,Bavaria,Not Disabled (<= 30%),0.90622,1594,10377,0.88421,0.92972
49,49,1987,Bavaria,Disabled (> 30%),0.09378,120,10377,0.08803,0.09987
50,50,1987,Berlin,Not Disabled (<= 30%),0.83887,311,10377,0.78016,0.90068
51,51,1987,Berlin,Disabled (> 30%),0.16113,45,10377,0.14201,0.18252
52,52,1988,Schleswig-Holstein,Not Disabled (<= 30%),0.86359,285,9904,0.81677,0.91602
53,53,1988,Schleswig-Holstein,Disabled (> 30%),0.13641,39,9904,0.12245,0.1512
54,54,1988,Hamburg,Not Disabled (<= 30%),1.0,188,9904,0.9046,1.09383
55,55,1988,Lower Saxony,Not Disabled (<= 30%),0.89477,945,9904,0.86423,0.9221
56,56,1988,Lower Saxony,Disabled (> 30%),0.10523,98,9904,0.0934,0.11457
57,57,1988,Bremen,Not Disabled (<= 30%),1.0,87,9904,0.88715,1.12608
58,58,1988,North Rhine-Westphalia,Not Disabled (<= 30%),0.85234,2381,9904,0.82895,0.87193
59,59,1988,North Rhine-Westphalia,Disabled (> 30%),0.14766,300,9904,0.1392,0.15605
60,60,1988,Hesse,Not Disabled (<= 30%),0.87547,906,9904,0.82815,0.91451
61,61,1988,Hesse,Disabled (> 30%),0.12453,90,9904,0.10991,0.13724
62,62,1988,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.85892,651,9904,0.81562,0.90061
63,63,1988,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.14108,84,9904,0.12756,0.15288
64,64,1988,Baden-Wuerttemberg,Not Disabled (<= 30%),0.90739,1738,9904,0.8694,0.93972
65,65,1988,Baden-Wuerttemberg,Disabled (> 30%),0.09261,142,9904,0.08156,0.10377
66,66,1988,Bavaria,Not Disabled (<= 30%),0.89491,1514,9904,0.86836,0.91569
67,67,1988,Bavaria,Disabled (> 30%),0.10509,127,9904,0.0981,0.11328
68,68,1988,Berlin,Not Disabled (<= 30%),0.8455,288,9904,0.7877,0.90702
69,69,1988,Berlin,Disabled (> 30%),0.1545,41,9904,0.13244,0.18034
70,70,1989,Schleswig-Holstein,Not Disabled (<= 30%),0.8509,266,9586,0.79485,0.89738
71,71,1989,Schleswig-Holstein,Disabled (> 30%),0.1491,37,9586,0.13247,0.16699
72,72,1989,Hamburg,Not Disabled (<= 30%),1.0,178,9586,0.91441,1.08511
73,73,1989,Lower Saxony,Not Disabled (<= 30%),0.88182,894,9586,0.85092,0.9143
74,74,1989,Lower Saxony,Disabled (> 30%),0.11818,97,9586,0.10777,0.12731
75,75,1989,Bremen,Not Disabled (<= 30%),1.0,89,9586,0.89461,1.11943
76,76,1989,North Rhine-Westphalia,Not Disabled (<= 30%),0.8497,2314,9586,0.82856,0.8715
77,77,1989,North Rhine-Westphalia,Disabled (> 30%),0.1503,292,9586,0.14169,0.15834
78,78,1989,Hesse,Not Disabled (<= 30%),0.88045,903,9586,0.83818,0.92009
79,79,1989,Hesse,Disabled (> 30%),0.11955,89,9586,0.11081,0.12998
80,80,1989,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.879,618,9586,0.84347,0.9191
81,81,1989,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.121,71,9586,0.10967,0.13147
82,82,1989,Baden-Wuerttemberg,Not Disabled (<= 30%),0.90188,1663,9586,0.86247,0.93398
83,83,1989,Baden-Wuerttemberg,Disabled (> 30%),0.09812,144,9586,0.0876,0.1071
84,84,1989,Bavaria,Not Disabled (<= 30%),0.8897,1480,9586,0.86279,0.91469
85,85,1989,Bavaria,Disabled (> 30%),0.1103,127,9586,0.10174,0.11701
86,86,1989,Berlin,Not Disabled (<= 30%),0.83723,281,9586,0.7782,0.91108
87,87,1989,Berlin,Disabled (> 30%),0.16277,43,9586,0.13771,0.18887
88,88,1991,Schleswig-Holstein,Not Disabled (<= 30%),0.87155,263,13513,0.82234,0.92211
89,89,1991,Schleswig-Holstein,Disabled (> 30%),0.12845,35,13513,0.11434,0.14691
90,90,1991,Hamburg,Not Disabled (<= 30%),1.0,144,13513,0.88056,1.10169
91,91,1991,Lower Saxony,Not Disabled (<= 30%),0.87817,874,13513,0.84844,0.90823
92,92,1991,Lower Saxony,Disabled (> 30%),0.12183,94,13513,0.11198,0.13259
93,93,1991,Bremen,Not Disabled (<= 30%),1.0,82,13513,0.86862,1.12099
94,94,1991,North Rhine-Westphalia,Not Disabled (<= 30%),0.84927,2241,13513,0.82595,0.87047
95,95,1991,North Rhine-Westphalia,Disabled (> 30%),0.15073,297,13513,0.14216,0.16146
96,96,1991,Hesse,Not Disabled (<= 30%),0.86755,865,13513,0.8272,0.9158
97,97,1991,Hesse,Disabled (> 30%),0.13245,97,13513,0.11853,0.14736
98,98,1991,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.86042,591,13513,0.82143,0.89398
99,99,1991,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.13958,73,13513,0.12632,0.1556
100,100,1991,Baden-Wuerttemberg,Not Disabled (<= 30%),0.89728,1643,13513,0.86593,0.9261
101,101,1991,Baden-Wuerttemberg,Disabled (> 30%),0.10272,146,13513,0.09222,0.1123
102,102,1991,Bavaria,Not Disabled (<= 30%),0.88861,1465,13513,0.86525,0.91536
103,103,1991,Bavaria,Disabled (> 30%),0.11139,130,13513,0.10284,0.12095
104,104,1991,Berlin,Not Disabled (<= 30%),0.8965,558,13513,0.84492,0.94527
105,105,1991,Berlin,Disabled (> 30%),0.1035,46,13513,0.08145,0.12238
106,106,1991,Brandenburg,Not Disabled (<= 30%),1.0,678,13513,0.96006,1.04186
107,107,1991,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),1.0,473,13513,0.96107,1.04961
108,108,1991,Saxony,Not Disabled (<= 30%),1.0,1229,13513,0.96805,1.02439
109,109,1991,Saxony-Anhalt,Not Disabled (<= 30%),1.0,793,13513,0.96222,1.04491
110,110,1991,Thuringa,Not Disabled (<= 30%),1.0,696,13513,0.95831,1.05108
111,111,1992,Schleswig-Holstein,Not Disabled (<= 30%),0.86663,239,13166,0.81367,0.92286
112,112,1992,Schleswig-Holstein,Disabled (> 30%),0.13337,32,13166,0.11582,0.14888
113,113,1992,Hamburg,Not Disabled (<= 30%),1.0,137,13166,0.89775,1.10111
114,114,1992,Lower Saxony,Not Disabled (<= 30%),0.87338,863,13166,0.84354,0.90883
115,115,1992,Lower Saxony,Disabled (> 30%),0.12662,102,13166,0.11539,0.13745
116,116,1992,Bremen,Not Disabled (<= 30%),1.0,77,13166,0.89978,1.12629
117,117,1992,North Rhine-Westphalia,Not Disabled (<= 30%),0.85204,2225,13166,0.82696,0.87788
118,118,1992,North Rhine-Westphalia,Disabled (> 30%),0.14796,289,13166,0.13982,0.15796
119,119,1992,Hesse,Not Disabled (<= 30%),0.86176,848,13166,0.81728,0.90912
120,120,1992,Hesse,Disabled (> 30%),0.13824,99,13166,0.12364,0.15282
121,121,1992,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.86027,583,13166,0.82124,0.90063
122,122,1992,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.13973,75,13166,0.12548,0.15524
123,123,1992,Baden-Wuerttemberg,Not Disabled (<= 30%),0.88916,1594,13166,0.8521,0.92313
124,124,1992,Baden-Wuerttemberg,Disabled (> 30%),0.11084,159,13166,0.09788,0.12312
125,125,1992,Bavaria,Not Disabled (<= 30%),0.89124,1500,13166,0.86159,0.91899
126,126,1992,Bavaria,Disabled (> 30%),0.10876,132,13166,0.10055,0.11953
127,127,1992,Berlin,Not Disabled (<= 30%),0.85682,531,13166,0.81489,0.90958
128,128,1992,Berlin,Disabled (> 30%),0.14318,64,13166,0.12002,0.16449
129,129,1992,Brandenburg,Not Disabled (<= 30%),0.92319,606,13166,0.89115,0.95886
130,130,1992,Brandenburg,Disabled (> 30%),0.07681,41,13166,0.06431,0.08854
131,131,1992,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),1.0,393,13166,0.95268,1.05164
132,132,1992,Saxony,Not Disabled (<= 30%),0.93617,1076,13166,0.91182,0.96983
133,133,1992,Saxony,Disabled (> 30%),0.06383,67,13166,0.05803,0.07004
134,134,1992,Saxony-Anhalt,Not Disabled (<= 30%),0.93582,717,13166,0.89153,0.97796
135,135,1992,Saxony-Anhalt,Disabled (> 30%),0.06418,38,13166,0.05233,0.0743
136,136,1992,Thuringa,Not Disabled (<= 30%),0.92718,644,13166,0.88063,0.96949
137,137,1992,Thuringa,Disabled (> 30%),0.07282,35,13166,0.06142,0.08396
138,138,1994,Schleswig-Holstein,Not Disabled (<= 30%),1.0,259,12735,0.93247,1.07033
139,139,1994,Hamburg,Not Disabled (<= 30%),1.0,129,12735,0.89047,1.12836
140,140,1994,Lower Saxony,Not Disabled (<= 30%),0.88098,863,12735,0.84264,0.91343
141,141,1994,Lower Saxony,Disabled (> 30%),0.11902,100,12735,0.10684,0.13104
142,142,1994,Bremen,Not Disabled (<= 30%),1.0,76,12735,0.8908,1.10769
143,143,1994,North Rhine-Westphalia,Not Disabled (<= 30%),0.84551,2152,12735,0.81845,0.8689
144,144,1994,North Rhine-Westphalia,Disabled (> 30%),0.15449,292,12735,0.14587,0.16441
145,145,1994,Hesse,Not Disabled (<= 30%),0.87539,823,12735,0.82236,0.91954
146,146,1994,Hesse,Disabled (> 30%),0.12461,96,12735,0.11214,0.13698
147,147,1994,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.86328,562,12735,0.82568,0.91227
148,148,1994,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.13672,72,12735,0.12446,0.1535
149,149,1994,Baden-Wuerttemberg,Not Disabled (<= 30%),0.89701,1577,12735,0.85841,0.93264
150,150,1994,Baden-Wuerttemberg,Disabled (> 30%),0.10299,150,12735,0.09213,0.11672
151,151,1994,Bavaria,Not Disabled (<= 30%),0.8938,1451,12735,0.85946,0.92972
152,152,1994,Bavaria,Disabled (> 30%),0.1062,125,12735,0.09543,0.11698
153,153,1994,Berlin,Not Disabled (<= 30%),0.86306,486,12735,0.81264,0.90723
154,154,1994,Berlin,Disabled (> 30%),0.13694,62,12735,0.1186,0.15638
155,155,1994,Brandenburg,Not Disabled (<= 30%),0.91799,556,12735,0.87799,0.95785
156,156,1994,Brandenburg,Disabled (> 30%),0.08201,46,12735,0.07062,0.09826
157,157,1994,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),1.0,380,12735,0.94941,1.05891
158,158,1994,Saxony,Not Disabled (<= 30%),0.93399,1066,12735,0.90168,0.96456
159,159,1994,Saxony,Disabled (> 30%),0.06601,58,12735,0.05839,0.07383
160,160,1994,Saxony-Anhalt,Not Disabled (<= 30%),0.94463,661,12735,0.90176,0.98608
161,161,1994,Saxony-Anhalt,Disabled (> 30%),0.05537,34,12735,0.04506,0.06769
162,162,1994,Thuringa,Not Disabled (<= 30%),0.93007,625,12735,0.8812,0.97939
163,163,1994,Thuringa,Disabled (> 30%),0.06993,34,12735,0.0617,0.07941
164,164,1995,Schleswig-Holstein,Not Disabled (<= 30%),0.87037,249,13140,0.80777,0.94252
165,165,1995,Schleswig-Holstein,Disabled (> 30%),0.12963,31,13140,0.10784,0.14929
166,166,1995,Hamburg,Not Disabled (<= 30%),1.0,120,13140,0.84742,1.13492
167,167,1995,Lower Saxony,Not Disabled (<= 30%),0.87502,928,13140,0.83635,0.91708
168,168,1995,Lower Saxony,Disabled (> 30%),0.12498,104,13140,0.11116,0.13892
169,169,1995,Bremen,Not Disabled (<= 30%),1.0,78,13140,0.87312,1.13689
170,170,1995,North Rhine-Westphalia,Not Disabled (<= 30%),0.84276,2257,13140,0.81281,0.86385
171,171,1995,North Rhine-Westphalia,Disabled (> 30%),0.15724,299,13140,0.14691,0.16944
172,172,1995,Hesse,Not Disabled (<= 30%),0.87682,831,13140,0.83237,0.92336
173,173,1995,Hesse,Disabled (> 30%),0.12318,103,13140,0.10986,0.13518
174,174,1995,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.87653,637,13140,0.83332,0.92324
175,175,1995,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.12347,67,13140,0.10565,0.13842
176,176,1995,Baden-Wuerttemberg,Not Disabled (<= 30%),0.88822,1620,13140,0.85291,0.926
177,177,1995,Baden-Wuerttemberg,Disabled (> 30%),0.11178,159,13140,0.0977,0.1245
178,178,1995,Bavaria,Not Disabled (<= 30%),0.8747,1530,13140,0.83947,0.90994
179,179,1995,Bavaria,Disabled (> 30%),0.1253,141,13140,0.11283,0.13974
180,180,1995,Berlin,Not Disabled (<= 30%),0.84582,493,13140,0.79672,0.89942
181,181,1995,Berlin,Disabled (> 30%),0.15418,72,13140,0.13161,0.18224
182,182,1995,Brandenburg,Not Disabled (<= 30%),0.9083,536,13140,0.86858,0.94591
183,183,1995,Brandenburg,Disabled (> 30%),0.0917,47,13140,0.07832,0.10794
184,184,1995,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),0.90336,380,13140,0.85045,0.96651
185,185,1995,Mecklenburg-Western Pomerania,Disabled (> 30%),0.09664,33,13140,0.07746,0.11714
186,186,1995,Saxony,Not Disabled (<= 30%),0.92241,1023,13140,0.89238,0.95594
187,187,1995,Saxony,Disabled (> 30%),0.07759,69,13140,0.06914,0.08609
188,188,1995,Saxony-Anhalt,Not Disabled (<= 30%),0.92859,645,13140,0.88195,0.97509
189,189,1995,Saxony-Anhalt,Disabled (> 30%),0.07141,40,13140,0.05721,0.08903
190,190,1995,Thuringa,Not Disabled (<= 30%),0.92087,611,13140,0.88291,0.9668
191,191,1995,Thuringa,Disabled (> 30%),0.07913,37,13140,0.06836,0.09028
192,192,1996,Schleswig-Holstein,Not Disabled (<= 30%),0.86097,249,12971,0.80173,0.92305
193,193,1996,Schleswig-Holstein,Disabled (> 30%),0.13903,31,12971,0.11693,0.16648
194,194,1996,Hamburg,Not Disabled (<= 30%),1.0,113,12971,0.85618,1.13836
195,195,1996,Lower Saxony,Not Disabled (<= 30%),0.87582,940,12971,0.83853,0.91501
196,196,1996,Lower Saxony,Disabled (> 30%),0.12418,99,12971,0.11018,0.13906
197,197,1996,Bremen,Not Disabled (<= 30%),1.0,79,12971,0.89615,1.12877
198,198,1996,North Rhine-Westphalia,Not Disabled (<= 30%),0.85099,2259,12971,0.8225,0.87673
199,199,1996,North Rhine-Westphalia,Disabled (> 30%),0.14901,291,12971,0.13704,0.16235
200,200,1996,Hesse,Not Disabled (<= 30%),0.86873,805,12971,0.81586,0.91572
201,201,1996,Hesse,Disabled (> 30%),0.13127,103,12971,0.12032,0.14328
202,202,1996,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.86629,625,12971,0.81923,0.90569
203,203,1996,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.13371,67,12971,0.11743,0.15258
204,204,1996,Baden-Wuerttemberg,Not Disabled (<= 30%),0.88494,1533,12971,0.84308,0.93078
205,205,1996,Baden-Wuerttemberg,Disabled (> 30%),0.11506,164,12971,0.10057,0.12922
206,206,1996,Bavaria,Not Disabled (<= 30%),0.87543,1513,12971,0.84379,0.90967
207,207,1996,Bavaria,Disabled (> 30%),0.12457,142,12971,0.1138,0.1395
208,208,1996,Berlin,Not Disabled (<= 30%),0.83937,469,12971,0.78034,0.88718
209,209,1996,Berlin,Disabled (> 30%),0.16063,70,12971,0.13699,0.18312
210,210,1996,Brandenburg,Not Disabled (<= 30%),0.908,548,12971,0.86931,0.94717
211,211,1996,Brandenburg,Disabled (> 30%),0.092,48,12971,0.0807,0.10425
212,212,1996,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),0.90471,366,12971,0.84958,0.95694
213,213,1996,Mecklenburg-Western Pomerania,Disabled (> 30%),0.09529,32,12971,0.07998,0.11074
214,214,1996,Saxony,Not Disabled (<= 30%),0.92737,1035,12971,0.89155,0.96471
215,215,1996,Saxony,Disabled (> 30%),0.07263,66,12971,0.06378,0.08311
216,216,1996,Saxony-Anhalt,Not Disabled (<= 30%),0.91112,624,12971,0.87167,0.95375
217,217,1996,Saxony-Anhalt,Disabled (> 30%),0.08888,47,12971,0.07348,0.10292
218,218,1996,Thuringa,Not Disabled (<= 30%),0.90797,609,12971,0.86409,0.94675
219,219,1996,Thuringa,Disabled (> 30%),0.09203,44,12971,0.07914,0.10684
220,220,1997,Schleswig-Holstein,Not Disabled (<= 30%),1.0,239,12713,0.93053,1.07643
221,221,1997,Hamburg,Not Disabled (<= 30%),1.0,112,12713,0.84018,1.13356
222,222,1997,Lower Saxony,Not Disabled (<= 30%),0.86554,926,12713,0.82496,0.90306
223,223,1997,Lower Saxony,Disabled (> 30%),0.13446,108,12713,0.12278,0.14812
224,224,1997,Bremen,Not Disabled (<= 30%),1.0,82,12713,0.87573,1.1474
225,225,1997,North Rhine-Westphalia,Not Disabled (<= 30%),0.85593,2224,12713,0.82672,0.88197
226,226,1997,North Rhine-Westphalia,Disabled (> 30%),0.14407,275,12713,0.13225,0.15541
227,227,1997,Hesse,Not Disabled (<= 30%),0.88449,755,12713,0.83629,0.93607
228,228,1997,Hesse,Disabled (> 30%),0.11551,91,12713,0.10152,0.127
229,229,1997,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.86068,636,12713,0.8119,0.90678
230,230,1997,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.13932,72,12713,0.12131,0.15623
231,231,1997,Baden-Wuerttemberg,Not Disabled (<= 30%),0.8724,1524,12713,0.83594,0.91446
232,232,1997,Baden-Wuerttemberg,Disabled (> 30%),0.1276,174,12713,0.11256,0.14151
233,233,1997,Bavaria,Not Disabled (<= 30%),0.88001,1482,12713,0.84909,0.91617
234,234,1997,Bavaria,Disabled (> 30%),0.11999,136,12713,0.10572,0.13518
235,235,1997,Berlin,Not Disabled (<= 30%),0.8435,442,12713,0.7929,0.89145
236,236,1997,Berlin,Disabled (> 30%),0.1565,64,12713,0.13447,0.17966
237,237,1997,Brandenburg,Not Disabled (<= 30%),0.89925,537,12713,0.85127,0.94007
238,238,1997,Brandenburg,Disabled (> 30%),0.10075,55,12713,0.08945,0.11519
239,239,1997,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),0.89567,352,12713,0.83352,0.95274
240,240,1997,Mecklenburg-Western Pomerania,Disabled (> 30%),0.10433,32,12713,0.08439,0.12583
241,241,1997,Saxony,Not Disabled (<= 30%),0.92637,1011,12713,0.88594,0.96187
242,242,1997,Saxony,Disabled (> 30%),0.07363,67,12713,0.06565,0.08114
243,243,1997,Saxony-Anhalt,Not Disabled (<= 30%),0.93272,621,12713,0.88952,0.98261
244,244,1997,Saxony-Anhalt,Disabled (> 30%),0.06728,41,12713,0.05329,0.08048
245,245,1997,Thuringa,Not Disabled (<= 30%),0.91034,612,12713,0.86307,0.96008
246,246,1997,Thuringa,Disabled (> 30%),0.08966,43,12713,0.0749,0.10621
247,247,1998,Schleswig-Holstein,Not Disabled (<= 30%),0.89102,316,14159,0.83064,0.95615
248,248,1998,Schleswig-Holstein,Disabled (> 30%),0.10898,31,14159,0.08913,0.12992
249,249,1998,Hamburg,Not Disabled (<= 30%),1.0,135,14159,0.8998,1.11252
250,250,1998,Lower Saxony,Not Disabled (<= 30%),0.86414,1066,14159,0.82977,0.90013
251,251,1998,Lower Saxony,Disabled (> 30%),0.13586,130,14159,0.12366,0.14782
252,252,1998,Bremen,Not Disabled (<= 30%),1.0,86,14159,0.87692,1.11357
253,253,1998,North Rhine-Westphalia,Not Disabled (<= 30%),0.84945,2489,14159,0.82471,0.87284
254,254,1998,North Rhine-Westphalia,Disabled (> 30%),0.15055,345,14159,0.14091,0.16081
255,255,1998,Hesse,Not Disabled (<= 30%),0.88288,842,14159,0.84109,0.92561
256,256,1998,Hesse,Disabled (> 30%),0.11712,104,14159,0.10472,0.12767
257,257,1998,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.85753,711,14159,0.822,0.89581
258,258,1998,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.14247,94,14159,0.12726,0.15649
259,259,1998,Baden-Wuerttemberg,Not Disabled (<= 30%),0.87768,1632,14159,0.84169,0.91102
260,260,1998,Baden-Wuerttemberg,Disabled (> 30%),0.12232,183,14159,0.10966,0.13542
261,261,1998,Bavaria,Not Disabled (<= 30%),0.87411,1692,14159,0.84694,0.89888
262,262,1998,Bavaria,Disabled (> 30%),0.12589,175,14159,0.11397,0.13741
263,263,1998,Berlin,Not Disabled (<= 30%),0.88007,471,14159,0.83201,0.93088
264,264,1998,Berlin,Disabled (> 30%),0.11993,57,14159,0.10627,0.13763
265,265,1998,Brandenburg,Not Disabled (<= 30%),0.90451,559,14159,0.8546,0.95263
266,266,1998,Brandenburg,Disabled (> 30%),0.09549,60,14159,0.08542,0.10582
267,267,1998,Mecklenburg-Western Pomerania,Not Disabled (<= 30%),0.91109,374,14159,0.8545,0.97786
268,268,1998,Mecklenburg-Western Pomerania,Disabled (> 30%),0.08891,31,14159,0.07436,0.11039
269,269,1998,Saxony,Not Disabled (<= 30%),0.93374,1100,14159,0.90255,0.96734
270,270,1998,Saxony,Disabled (> 30%),0.06626,69,14159,0.05925,0.07285
271,271,1998,Saxony-Anhalt,Not Disabled (<= 30%),0.92185,634,14159,0.87957,0.96804
272,272,1998,Saxony-Anhalt,Disabled (> 30%),0.07815,51,14159,0.06968,0.09081
273,273,1998,Thuringa,Not Disabled (<= 30%),0.90884,672,14159,0.87018,0.95577
274,274,1998,Thuringa,Disabled (> 30%),0.09116,50,14159,0.08021,0.10282
275,275,1999,Schleswig-Holstein,Not Disabled (<= 30%),1.0,294,13593,0.92451,1.06404
276,276,1999,Hamburg,Not Disabled (<= 30%),1.0,125,13593,0.90772,1.12164
277,277,1999,Lower Saxony,Not Disabled (<= 30%),0.86054,1040,13593,0.82449,0.89419
278,278,1999,Lower Saxony,Disabled (> 30%),0.13946,125,13593,0.12648,0.15255
279,279,1999,Bremen,Not Disabled (<= 30%),1.0,74,13593,0.87819,1.14255
280,280,1999,North Rhine-Westphalia,Not Disabled (<= 30%),0.8428,2361,13593,0.82082,0.86485
281,281,1999,North Rhine-Westphalia,Disabled (> 30%),0.1572,331,13593,0.14676,0.16805
282,282,1999,Hesse,Not Disabled (<= 30%),0.87678,796,13593,0.82857,0.92151
283,283,1999,Hesse,Disabled (> 30%),0.12322,98,13593,0.11264,0.13524
284,284,1999,"Rhineland-Palatinate, Saarland",Not Disabled (<= 30%),0.8466,672,13593,0.81079,0.88952
285,285,1999,"Rhineland-Palatinate, Saarland",Disabled (> 30%),0.1534,97,13593,0.13795,0.17104
286,286,1999,Baden-Wuerttemberg,Not Disabled (<= 30%),0.87378,1549,13593,0.83645,0.9101
287,287,1999,Baden-Wuerttemberg,Disabled (> 30%),0.12622,178,13593,0.11242,0.14309
288,288,1999,Bavaria,Not Disabled (<= 30%),0.88458,1629,13593,0.85456,0.91771
289,289,1999,Bavaria,Disabled (> 30%),0.11542,164,13593,0.10449,0.12552
