"m11124","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","Staedtischer Raum","722","0.920273182012273","0.901288413185802","0.939257950838744"
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","Laendlicher Raum","117","0.896283616706251","0.842401835221567","0.950165398190934"
"Nicht beeinträchtigt","1988","Hauptschule","Staedtischer Raum","3857","0.847030759746665","0.836355992313884","0.857705527179446"
"Nicht beeinträchtigt","1988","Hauptschule","Laendlicher Raum","1208","0.877981728108257","0.860522044051486","0.895441412165028"
"Nicht beeinträchtigt","1988","Realschule","Staedtischer Raum","1222","0.906770727536646","0.891067819149359","0.922473635923933"
"Nicht beeinträchtigt","1988","Realschule","Laendlicher Raum","360","0.947631124245522","0.925084125500391","0.970178122990654"
"Nicht beeinträchtigt","1988","(Fach-)Abitur","Staedtischer Raum","595","0.911388002268205","0.889371109792802","0.933404894743608"
"Nicht beeinträchtigt","1988","(Fach-)Abitur","Laendlicher Raum","89","0.916918763954109","0.861992617747616","0.971844910160603"
"Nicht beeinträchtigt","1988","AkademikerIn","Staedtischer Raum","540","0.909763095900466","0.886545010228086","0.932981181572846"
"Nicht beeinträchtigt","1988","AkademikerIn","Laendlicher Raum","107","0.908669641948825","0.856018261732482","0.961321022165168"
"Beeinträchtigt","1988","(noch) kein Abschluss","Staedtischer Raum","60","0.079726817987727","0.0607420491612562","0.0987115868141977"
"Beeinträchtigt","1988","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Beeinträchtigt","1988","Hauptschule","Staedtischer Raum","511","0.152969240253335","0.142294472820554","0.163644007686116"
"Beeinträchtigt","1988","Hauptschule","Laendlicher Raum","142","0.122018271891743","0.104558587834972","0.139477955948514"
"Beeinträchtigt","1988","Realschule","Staedtischer Raum","95","0.0932292724633542","0.0775263640760676","0.108932180850641"
"Beeinträchtigt","1988","Realschule","Laendlicher Raum","15","","",""
"Beeinträchtigt","1988","(Fach-)Abitur","Staedtischer Raum","45","0.0886119977317949","0.0665951052563916","0.110628890207198"
"Beeinträchtigt","1988","(Fach-)Abitur","Laendlicher Raum","8","","",""
"Beeinträchtigt","1988","AkademikerIn","Staedtischer Raum","45","0.0902369040995341","0.067018818427154","0.113454989771914"
"Beeinträchtigt","1988","AkademikerIn","Laendlicher Raum","8","","",""
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","Staedtischer Raum","707","0.908144330197298","0.887783814855271","0.928504845539325"
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","Laendlicher Raum","107","0.921026980448783","0.871079380133529","0.970974580764036"
"Nicht beeinträchtigt","1989","Hauptschule","Staedtischer Raum","3710","0.845382809009921","0.834450111153784","0.856315506866059"
"Nicht beeinträchtigt","1989","Hauptschule","Laendlicher Raum","1116","0.853883169837026","0.834441309807714","0.873325029866338"
"Nicht beeinträchtigt","1989","Realschule","Staedtischer Raum","1194","0.904363867145385","0.888302860419493","0.920424873871276"
"Nicht beeinträchtigt","1989","Realschule","Laendlicher Raum","343","0.94856735892758","0.925622964857119","0.971511752998042"
"Nicht beeinträchtigt","1989","(Fach-)Abitur","Staedtischer Raum","616","0.921694017938183","0.901151377677494","0.942236658198872"
"Nicht beeinträchtigt","1989","(Fach-)Abitur","Laendlicher Raum","90","0.92875638128955","0.877300340713357","0.980212421865743"
"Nicht beeinträchtigt","1989","AkademikerIn","Staedtischer Raum","533","0.906186715913145","0.882457952313173","0.929915479513117"
"Nicht beeinträchtigt","1989","AkademikerIn","Laendlicher Raum","105","0.91210544548061","0.859900412047769","0.964310478913451"
"Beeinträchtigt","1989","(noch) kein Abschluss","Staedtischer Raum","66","0.0918556698027018","0.0714951544606746","0.112216185144729"
"Beeinträchtigt","1989","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Beeinträchtigt","1989","Hauptschule","Staedtischer Raum","491","0.154617190990079","0.143684493133941","0.165549888846216"
"Beeinträchtigt","1989","Hauptschule","Laendlicher Raum","152","0.146116830162974","0.126674970133662","0.165558690192286"
"Beeinträchtigt","1989","Realschule","Staedtischer Raum","94","0.0956361328546155","0.0795751261287245","0.111697139580507"
"Beeinträchtigt","1989","Realschule","Laendlicher Raum","13","","",""
"Beeinträchtigt","1989","(Fach-)Abitur","Staedtischer Raum","41","0.078305982061817","0.0577633418011278","0.0988486223225063"
"Beeinträchtigt","1989","(Fach-)Abitur","Laendlicher Raum","6","","",""
"Beeinträchtigt","1989","AkademikerIn","Staedtischer Raum","47","0.093813284086855","0.0700845204868829","0.117542047686827"
"Beeinträchtigt","1989","AkademikerIn","Laendlicher Raum","8","","",""
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1990","Realschule","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1990","Realschule","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","Laendlicher Raum","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beeinträchtigt","1990","Hauptschule","Staedtischer Raum","","","",""
"Beeinträchtigt","1990","Hauptschule","Laendlicher Raum","","","",""
"Beeinträchtigt","1990","Realschule","Staedtischer Raum","","","",""
"Beeinträchtigt","1990","Realschule","Laendlicher Raum","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beeinträchtigt","1990","AkademikerIn","Staedtischer Raum","","","",""
"Beeinträchtigt","1990","AkademikerIn","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","Staedtischer Raum","645","0.888251200035364","0.865174116860538","0.91132828321019"
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","Laendlicher Raum","150","0.934843678480188","0.896114920589588","0.973572436370787"
"Nicht beeinträchtigt","1991","Hauptschule","Staedtischer Raum","3918","0.846762760632537","0.836133736969725","0.857391784295348"
"Nicht beeinträchtigt","1991","Hauptschule","Laendlicher Raum","2144","0.898694565778774","0.886349904581894","0.911039226975654"
"Nicht beeinträchtigt","1991","Realschule","Staedtischer Raum","1643","0.922494690025868","0.909912796150581","0.935076583901155"
"Nicht beeinträchtigt","1991","Realschule","Laendlicher Raum","1351","0.975361896533702","0.967138176906936","0.983585616160468"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","Staedtischer Raum","654","0.916368554775623","0.895889994306701","0.936847115244546"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","Laendlicher Raum","176","0.950061536479788","0.918416481611299","0.981706591348277"
"Nicht beeinträchtigt","1991","AkademikerIn","Staedtischer Raum","923","0.929770242571782","0.913705884942773","0.945834600200791"
"Nicht beeinträchtigt","1991","AkademikerIn","Laendlicher Raum","677","0.972647090622825","0.960432407225262","0.984861774020389"
"Beeinträchtigt","1991","(noch) kein Abschluss","Staedtischer Raum","71","0.111748799964636","0.0886717167898099","0.134825883139462"
"Beeinträchtigt","1991","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Beeinträchtigt","1991","Hauptschule","Staedtischer Raum","494","0.153237239367463","0.142608215704652","0.163866263030275"
"Beeinträchtigt","1991","Hauptschule","Laendlicher Raum","151","0.101305434221226","0.088960773024346","0.113650095418106"
"Beeinträchtigt","1991","Realschule","Staedtischer Raum","92","0.0775053099741319","0.0649234160988452","0.0900872038494186"
"Beeinträchtigt","1991","Realschule","Laendlicher Raum","14","","",""
"Beeinträchtigt","1991","(Fach-)Abitur","Staedtischer Raum","48","0.0836314452243766","0.063152884755454","0.104110005693299"
"Beeinträchtigt","1991","(Fach-)Abitur","Laendlicher Raum","6","","",""
"Beeinträchtigt","1991","AkademikerIn","Staedtischer Raum","49","0.0702297574282181","0.0541653997992091","0.0862941150572271"
"Beeinträchtigt","1991","AkademikerIn","Laendlicher Raum","8","","",""
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","Staedtischer Raum","625","0.881912201646793","0.857919957223581","0.905904446070005"
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","Laendlicher Raum","160","0.928112751011275","0.888937105863688","0.967288396158862"
"Nicht beeinträchtigt","1992","Hauptschule","Staedtischer Raum","3758","0.834665222953788","0.823565792756452","0.845764653151124"
"Nicht beeinträchtigt","1992","Hauptschule","Laendlicher Raum","1916","0.868836342789311","0.854557013230494","0.883115672348128"
"Nicht beeinträchtigt","1992","Realschule","Staedtischer Raum","1599","0.90907746830621","0.89547871327898","0.92267622333344"
"Nicht beeinträchtigt","1992","Realschule","Laendlicher Raum","1279","0.951952683563127","0.940406654794948","0.963498712331307"
"Nicht beeinträchtigt","1992","(Fach-)Abitur","Staedtischer Raum","666","0.923371359380422","0.903777714944215","0.942965003816629"
"Nicht beeinträchtigt","1992","(Fach-)Abitur","Laendlicher Raum","174","0.899632022774838","0.85621408235927","0.943049963190405"
"Nicht beeinträchtigt","1992","AkademikerIn","Staedtischer Raum","915","0.91220308306661","0.894520897562756","0.929885268570464"
"Nicht beeinträchtigt","1992","AkademikerIn","Laendlicher Raum","594","0.936817851548935","0.917804987533789","0.95583071556408"
"Beeinträchtigt","1992","(noch) kein Abschluss","Staedtischer Raum","70","0.118087798353207","0.0940955539299956","0.142080042776419"
"Beeinträchtigt","1992","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Beeinträchtigt","1992","Hauptschule","Staedtischer Raum","545","0.165334777046212","0.154235346848876","0.176434207243548"
"Beeinträchtigt","1992","Hauptschule","Laendlicher Raum","231","0.131163657210689","0.116884327651872","0.145442986769506"
"Beeinträchtigt","1992","Realschule","Staedtischer Raum","118","0.0909225316937898","0.0773237766665598","0.10452128672102"
"Beeinträchtigt","1992","Realschule","Laendlicher Raum","39","0.0480473164368727","0.0365012876686934","0.059593345205052"
"Beeinträchtigt","1992","(Fach-)Abitur","Staedtischer Raum","42","0.0766286406195783","0.0570349961833712","0.0962222850557853"
"Beeinträchtigt","1992","(Fach-)Abitur","Laendlicher Raum","10","","",""
"Beeinträchtigt","1992","AkademikerIn","Staedtischer Raum","69","0.0877969169333897","0.0701147314295358","0.105479102437244"
"Beeinträchtigt","1992","AkademikerIn","Laendlicher Raum","35","0.0631821484510653","0.0441692844359197","0.0821950124662108"
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1993","Realschule","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1993","Realschule","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","Staedtischer Raum","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","Laendlicher Raum","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Beeinträchtigt","1993","Hauptschule","Staedtischer Raum","","","",""
"Beeinträchtigt","1993","Hauptschule","Laendlicher Raum","","","",""
"Beeinträchtigt","1993","Realschule","Staedtischer Raum","","","",""
"Beeinträchtigt","1993","Realschule","Laendlicher Raum","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Beeinträchtigt","1993","AkademikerIn","Staedtischer Raum","","","",""
"Beeinträchtigt","1993","AkademikerIn","Laendlicher Raum","","","",""
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","Staedtischer Raum","619","0.909221717985991","0.887580602788","0.930862833183982"
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","Laendlicher Raum","162","0.943377687948175","0.908429066485324","0.978326309411025"
"Nicht beeinträchtigt","1994","Hauptschule","Staedtischer Raum","3528","0.834709170168219","0.823290650917331","0.846127689419108"
"Nicht beeinträchtigt","1994","Hauptschule","Laendlicher Raum","1782","0.874386223068495","0.859872530935228","0.888899915201762"
"Nicht beeinträchtigt","1994","Realschule","Staedtischer Raum","1603","0.904090285948977","0.89018215672952","0.917998415168434"
"Nicht beeinträchtigt","1994","Realschule","Laendlicher Raum","1276","0.9528008706401","0.94133905863098","0.96426268264922"
"Nicht beeinträchtigt","1994","(Fach-)Abitur","Staedtischer Raum","664","0.937666311970379","0.919756763399488","0.955575860541269"
"Nicht beeinträchtigt","1994","(Fach-)Abitur","Laendlicher Raum","207","0.905750980818278","0.866966081322273","0.944535880314283"
"Nicht beeinträchtigt","1994","AkademikerIn","Staedtischer Raum","966","0.93018806039484","0.914610416694633","0.945765704095046"
"Nicht beeinträchtigt","1994","AkademikerIn","Laendlicher Raum","573","0.909541185413321","0.886889821066714","0.932192549759928"
"Beeinträchtigt","1994","(noch) kein Abschluss","Staedtischer Raum","58","0.0907782820140091","0.0691371668160179","0.112419397212"
"Beeinträchtigt","1994","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Beeinträchtigt","1994","Hauptschule","Staedtischer Raum","537","0.165290829831781","0.153872310580892","0.176709349082669"
"Beeinträchtigt","1994","Hauptschule","Laendlicher Raum","221","0.125613776931505","0.111100084798238","0.140127469064771"
"Beeinträchtigt","1994","Realschule","Staedtischer Raum","119","0.095909714051023","0.0820015848315662","0.10981784327048"
"Beeinträchtigt","1994","Realschule","Laendlicher Raum","39","0.0471991293599004","0.0357373173507804","0.0586609413690205"
"Beeinträchtigt","1994","(Fach-)Abitur","Staedtischer Raum","36","0.0623336880296212","0.0444241394587308","0.0802432366005116"
"Beeinträchtigt","1994","(Fach-)Abitur","Laendlicher Raum","11","","",""
"Beeinträchtigt","1994","AkademikerIn","Staedtischer Raum","62","0.0698119396051603","0.0542342959049537","0.0853895833053668"
"Beeinträchtigt","1994","AkademikerIn","Laendlicher Raum","43","0.0904588145866788","0.0678074502400716","0.113110178933286"
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","Staedtischer Raum","624","0.909512892545182","0.888092064117106","0.930933720973257"
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","Laendlicher Raum","180","0.944595937942981","0.911630711208557","0.977561164677404"
"Nicht beeinträchtigt","1995","Hauptschule","Staedtischer Raum","3479","0.820952303129005","0.809131499627423","0.832773106630586"
"Nicht beeinträchtigt","1995","Hauptschule","Laendlicher Raum","1783","0.861250451203029","0.846149415841133","0.876351486564926"
"Nicht beeinträchtigt","1995","Realschule","Staedtischer Raum","1616","0.894475819032033","0.880044401141869","0.908907236922197"
"Nicht beeinträchtigt","1995","Realschule","Laendlicher Raum","1308","0.947898622145355","0.936083345004288","0.959713899286423"
"Nicht beeinträchtigt","1995","(Fach-)Abitur","Staedtischer Raum","762","0.955279294652539","0.940929739591896","0.969628849713182"
"Nicht beeinträchtigt","1995","(Fach-)Abitur","Laendlicher Raum","238","0.892325126714301","0.853978251861951","0.930672001566652"
"Nicht beeinträchtigt","1995","AkademikerIn","Staedtischer Raum","1021","0.918417374112392","0.90218967691382","0.934645071310964"
"Nicht beeinträchtigt","1995","AkademikerIn","Laendlicher Raum","603","0.900846867594681","0.877888748601579","0.923804986587784"
"Beeinträchtigt","1995","(noch) kein Abschluss","Staedtischer Raum","65","0.0904871074548182","0.0690662790267428","0.111907935882894"
"Beeinträchtigt","1995","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Beeinträchtigt","1995","Hauptschule","Staedtischer Raum","562","0.179047696870995","0.167226893369414","0.190868500372577"
"Beeinträchtigt","1995","Hauptschule","Laendlicher Raum","230","0.138749548796971","0.123648513435074","0.153850584158867"
"Beeinträchtigt","1995","Realschule","Staedtischer Raum","125","0.105524180967967","0.0910927630778035","0.119955598858131"
"Beeinträchtigt","1995","Realschule","Laendlicher Raum","51","0.0521013778546446","0.040286100713577","0.0639166549957122"
"Beeinträchtigt","1995","(Fach-)Abitur","Staedtischer Raum","35","0.0447207053474609","0.0303711502868179","0.0590702604081039"
"Beeinträchtigt","1995","(Fach-)Abitur","Laendlicher Raum","13","","",""
"Beeinträchtigt","1995","AkademikerIn","Staedtischer Raum","72","0.0815826258876079","0.0653549286890362","0.0978103230861796"
"Beeinträchtigt","1995","AkademikerIn","Laendlicher Raum","48","0.0991531324053189","0.0761950134122161","0.122111251398422"
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","Staedtischer Raum","590","0.919219661992584","0.898287211033858","0.940152112951309"
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","Laendlicher Raum","181","0.922695698282612","0.884518834785539","0.960872561779684"
"Nicht beeinträchtigt","1996","Hauptschule","Staedtischer Raum","3363","0.814219498078543","0.802065987921859","0.826373008235227"
"Nicht beeinträchtigt","1996","Hauptschule","Laendlicher Raum","1735","0.845897099646528","0.830018118129981","0.861776081163076"
"Nicht beeinträchtigt","1996","Realschule","Staedtischer Raum","1629","0.905363453137148","0.891621757672846","0.919105148601449"
"Nicht beeinträchtigt","1996","Realschule","Laendlicher Raum","1309","0.944245491205984","0.932060029363226","0.956430953048741"
"Nicht beeinträchtigt","1996","(Fach-)Abitur","Staedtischer Raum","753","0.958603180791701","0.944676752823452","0.972529608759951"
"Nicht beeinträchtigt","1996","(Fach-)Abitur","Laendlicher Raum","228","0.88644579440252","0.846306459338386","0.926585129466654"
"Nicht beeinträchtigt","1996","AkademikerIn","Staedtischer Raum","1042","0.927313919833165","0.912020194210709","0.94260764545562"
"Nicht beeinträchtigt","1996","AkademikerIn","Laendlicher Raum","605","0.903559659806459","0.880883715576853","0.926235604036066"
"Beeinträchtigt","1996","(noch) kein Abschluss","Staedtischer Raum","61","0.0807803380074163","0.0598478870486911","0.101712788966141"
"Beeinträchtigt","1996","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Beeinträchtigt","1996","Hauptschule","Staedtischer Raum","571","0.185780501921457","0.173626991764773","0.197934012078141"
"Beeinträchtigt","1996","Hauptschule","Laendlicher Raum","251","0.154102900353472","0.138223918836924","0.169981881870019"
"Beeinträchtigt","1996","Realschule","Staedtischer Raum","114","0.0946365468628523","0.0808948513985509","0.108378242327154"
"Beeinträchtigt","1996","Realschule","Laendlicher Raum","53","0.0557545087940161","0.0435690469512584","0.0679399706367737"
"Beeinträchtigt","1996","(Fach-)Abitur","Staedtischer Raum","33","0.0413968192082988","0.0274703912400491","0.0553232471765484"
"Beeinträchtigt","1996","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Beeinträchtigt","1996","AkademikerIn","Staedtischer Raum","65","0.0726860801668354","0.0573923545443797","0.087979805789291"
"Beeinträchtigt","1996","AkademikerIn","Laendlicher Raum","46","0.0964403401935405","0.0737643959639337","0.119116284423147"
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","Staedtischer Raum","576","0.914373022054884","0.892592390303303","0.936153653806464"
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","Laendlicher Raum","188","0.914892225517807","0.875926338804753","0.953858112230861"
"Nicht beeinträchtigt","1997","Hauptschule","Staedtischer Raum","3272","0.817190846729326","0.80493725334251","0.829444440116142"
"Nicht beeinträchtigt","1997","Hauptschule","Laendlicher Raum","1657","0.835764789541992","0.819166921968402","0.852362657115582"
"Nicht beeinträchtigt","1997","Realschule","Staedtischer Raum","1610","0.908501918474613","0.894880367050021","0.922123469899205"
"Nicht beeinträchtigt","1997","Realschule","Laendlicher Raum","1291","0.951961800762362","0.940524772214676","0.963398829310047"
"Nicht beeinträchtigt","1997","(Fach-)Abitur","Staedtischer Raum","753","0.954184478942647","0.939595258771195","0.968773699114099"
"Nicht beeinträchtigt","1997","(Fach-)Abitur","Laendlicher Raum","213","0.883524825042654","0.841701367261973","0.925348282823335"
"Nicht beeinträchtigt","1997","AkademikerIn","Staedtischer Raum","1032","0.924061773895819","0.908400395913547","0.939723151878092"
"Nicht beeinträchtigt","1997","AkademikerIn","Laendlicher Raum","621","0.925758025262913","0.905802423563997","0.94571362696183"
"Beeinträchtigt","1997","(noch) kein Abschluss","Staedtischer Raum","58","0.0856269779451163","0.0638463461935356","0.107407609696697"
"Beeinträchtigt","1997","(noch) kein Abschluss","Laendlicher Raum","9","","",""
"Beeinträchtigt","1997","Hauptschule","Staedtischer Raum","550","0.182809153270674","0.170555559883858","0.19506274665749"
"Beeinträchtigt","1997","Hauptschule","Laendlicher Raum","257","0.164235210458008","0.147637342884418","0.180833078031598"
