"m11124","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nicht beeinträchtigt","1993","(Fach-)Abitur","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","","","",""
"Beeinträchtigt","1993","Hauptschule","","","",""
"Beeinträchtigt","1993","Realschule","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","","","",""
"Beeinträchtigt","1993","AkademikerIn","","","",""
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","781","0.916671107944522","0.898036326141307","0.935305889747737"
"Nicht beeinträchtigt","1994","Hauptschule","5310","0.847245375723478","0.83819373950136","0.856297011945595"
"Nicht beeinträchtigt","1994","Realschule","2879","","",""
"Nicht beeinträchtigt","1994","(Fach-)Abitur","871","0.930228541064624","0.913748416776072","0.946708665353176"
"Nicht beeinträchtigt","1994","AkademikerIn","1539","","",""
"Beeinträchtigt","1994","(noch) kein Abschluss","64","0.0833288920554779","0.064694110252263","0.101963673858693"
"Beeinträchtigt","1994","Hauptschule","758","0.152754624276522","0.143702988054405","0.16180626049864"
"Beeinträchtigt","1994","Realschule","158","","",""
"Beeinträchtigt","1994","(Fach-)Abitur","47","0.0697714589353763","0.0532913346468244","0.0862515832239281"
"Beeinträchtigt","1994","AkademikerIn","105","","",""
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","804","0.917591113726174","0.899360386349405","0.935821841102942"
"Nicht beeinträchtigt","1995","Hauptschule","5262","0.834014208857898","0.824641846655048","0.843386571060748"
"Nicht beeinträchtigt","1995","Realschule","2924","","",""
"Nicht beeinträchtigt","1995","(Fach-)Abitur","1000","","",""
"Nicht beeinträchtigt","1995","AkademikerIn","1624","","",""
"Beeinträchtigt","1995","(noch) kein Abschluss","70","0.0824088862738265","0.0641781588970581","0.100639613650595"
"Beeinträchtigt","1995","Hauptschule","792","0.165985791142102","0.156613428939251","0.175358153344952"
"Beeinträchtigt","1995","Realschule","176","","",""
"Beeinträchtigt","1995","(Fach-)Abitur","48","0.0591614237766781","0.0448776055010635","0.0734452420522927"
"Beeinträchtigt","1995","AkademikerIn","120","","",""
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","771","0.920097948135276","0.901751030650631","0.938444865619921"
"Nicht beeinträchtigt","1996","Hauptschule","5098","0.824294587391175","0.814600185233885","0.833988989548464"
"Nicht beeinträchtigt","1996","Realschule","2938","","",""
"Nicht beeinträchtigt","1996","(Fach-)Abitur","981","0.94305886002673","0.928879491529437","0.957238228524024"
"Nicht beeinträchtigt","1996","AkademikerIn","1647","","",""
"Beeinträchtigt","1996","(noch) kein Abschluss","68","0.0799020518647238","0.0615551343800788","0.0982489693493689"
"Beeinträchtigt","1996","Hauptschule","822","0.175705412608825","0.166011010451536","0.185399814766115"
"Beeinträchtigt","1996","Realschule","167","","",""
"Beeinträchtigt","1996","(Fach-)Abitur","45","0.0569411399732698","0.0427617714759764","0.0711205084705631"
"Beeinträchtigt","1996","AkademikerIn","111","","",""
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","764","0.914507344345315","0.895496317206379","0.933518371484251"
"Nicht beeinträchtigt","1997","Hauptschule","4929","0.823074014027706","0.81319852121726","0.832949506838151"
"Nicht beeinträchtigt","1997","Realschule","2901","","",""
"Nicht beeinträchtigt","1997","(Fach-)Abitur","967","0.939660703802959","0.925019159370695","0.954302248235223"
"Nicht beeinträchtigt","1997","AkademikerIn","1653","","",""
"Beeinträchtigt","1997","(noch) kein Abschluss","67","0.0854926556546848","0.0664816285157489","0.104503682793621"
"Beeinträchtigt","1997","Hauptschule","807","0.176925985972294","0.167050493161849","0.18680147878274"
"Beeinträchtigt","1997","Realschule","163","","",""
"Beeinträchtigt","1997","(Fach-)Abitur","49","0.0603392961970412","0.0456977517647772","0.0749808406293052"
"Beeinträchtigt","1997","AkademikerIn","109","","",""
"Nicht beeinträchtigt","1998","(noch) kein Abschluss","751","0.901235678979262","0.880852711904343","0.921618646054182"
"Nicht beeinträchtigt","1998","Hauptschule","5259","0.821868293222354","0.812319518748485","0.831417067696223"
"Nicht beeinträchtigt","1998","Realschule","3209","0.929397196305569","0.920772894236879","0.938021498374259"
"Nicht beeinträchtigt","1998","(Fach-)Abitur","1086","","",""
"Nicht beeinträchtigt","1998","AkademikerIn","1832","","",""
"Beeinträchtigt","1998","(noch) kein Abschluss","72","0.0987643210207376","0.0783813539458176","0.119147288095658"
"Beeinträchtigt","1998","Hauptschule","909","0.178131706777646","0.168582932303777","0.187680481251515"
"Beeinträchtigt","1998","Realschule","180","","",""
"Beeinträchtigt","1998","(Fach-)Abitur","59","0.0625856051725189","0.0485559051637173","0.0766153051813205"
"Beeinträchtigt","1998","AkademikerIn","130","","",""
"Nicht beeinträchtigt","1999","(noch) kein Abschluss","714","0.895142406275723","0.873778505368034","0.916506307183413"
"Nicht beeinträchtigt","1999","Hauptschule","5103","0.816258400791591","0.806468184085192","0.82604861749799"
"Nicht beeinträchtigt","1999","Realschule","3182","0.922502154456335","0.913485471952043","0.931518836960627"
"Nicht beeinträchtigt","1999","(Fach-)Abitur","1080","","",""
"Nicht beeinträchtigt","1999","AkademikerIn","1826","","",""
"Beeinträchtigt","1999","(noch) kein Abschluss","76","0.104857593724277","0.0834936928165874","0.126221494631966"
"Beeinträchtigt","1999","Hauptschule","908","0.183741599208409","0.17395138250201","0.193531815914808"
"Beeinträchtigt","1999","Realschule","196","","",""
"Beeinträchtigt","1999","(Fach-)Abitur","53","0.0598627969266016","0.0460491847875706","0.0736764090656326"
"Beeinträchtigt","1999","AkademikerIn","130","","",""
"Nicht beeinträchtigt","2000","(noch) kein Abschluss","852","0.921522559749203","0.90410746849546","0.938937651002946"
"Nicht beeinträchtigt","2000","Hauptschule","9021","0.834320363367342","0.827256246786123","0.841384479948562"
"Nicht beeinträchtigt","2000","Realschule","5924","0.929792166977114","0.92347509640445","0.936109237549778"
"Nicht beeinträchtigt","2000","(Fach-)Abitur","2233","","",""
"Nicht beeinträchtigt","2000","AkademikerIn","3557","0.924727007560036","0.916356143876143","0.933097871243929"
"Beeinträchtigt","2000","(noch) kein Abschluss","64","0.078477440250797","0.0610623489970543","0.0958925315045397"
"Beeinträchtigt","2000","Hauptschule","1620","","",""
"Beeinträchtigt","2000","Realschule","360","0.0702078330228861","0.0638907624502222","0.0765249035955499"
"Beeinträchtigt","2000","(Fach-)Abitur","114","","",""
"Beeinträchtigt","2000","AkademikerIn","259","","",""
"Nicht beeinträchtigt","2001","(noch) kein Abschluss","820","0.932993083884447","0.9163785756136","0.949607592155293"
"Nicht beeinträchtigt","2001","Hauptschule","7963","0.837334628597059","0.829857975213595","0.844811281980523"
"Nicht beeinträchtigt","2001","Realschule","5411","0.926538290927244","0.919803124915005","0.933273456939482"
"Nicht beeinträchtigt","2001","(Fach-)Abitur","2095","","",""
"Nicht beeinträchtigt","2001","AkademikerIn","3284","0.919366211719828","0.910403430972745","0.928328992466911"
"Beeinträchtigt","2001","(noch) kein Abschluss","50","0.067006916115553","0.0503924078447065","0.0836214243863996"
"Beeinträchtigt","2001","Hauptschule","1397","","",""
"Beeinträchtigt","2001","Realschule","353","0.0734617090727562","0.0667265430605177","0.0801968750849948"
"Beeinträchtigt","2001","(Fach-)Abitur","122","","",""
"Beeinträchtigt","2001","AkademikerIn","261","","",""
"Nicht beeinträchtigt","2002","(noch) kein Abschluss","864","0.927701667959007","0.910865840853583","0.944537495064431"
"Nicht beeinträchtigt","2002","Hauptschule","7410","0.820306259898552","0.812324914147086","0.828287605650019"
"Nicht beeinträchtigt","2002","Realschule","5585","0.919353720345672","0.912450687326113","0.926256753365231"
"Nicht beeinträchtigt","2002","(Fach-)Abitur","2331","","",""
"Nicht beeinträchtigt","2002","AkademikerIn","4247","0.91710085757456","0.909094411147438","0.925107304001682"
"Beeinträchtigt","2002","(noch) kein Abschluss","45","0.0722983320409927","0.0554625049355687","0.0891341591464167"
"Beeinträchtigt","2002","Hauptschule","1479","","",""
"Beeinträchtigt","2002","Realschule","392","0.0806462796543285","0.0737432466347695","0.0875493126738875"
"Beeinträchtigt","2002","(Fach-)Abitur","122","","",""
"Beeinträchtigt","2002","AkademikerIn","309","0.08289914242544","0.0748926959983177","0.0909055888525623"
"Nicht beeinträchtigt","2003","(noch) kein Abschluss","855","0.936551090492043","0.920598556173489","0.952503624810596"
"Nicht beeinträchtigt","2003","Hauptschule","7015","0.820616335396175","0.812428538286907","0.828804132505443"
"Nicht beeinträchtigt","2003","Realschule","5382","0.920053271519875","0.913058413044378","0.927048129995372"
"Nicht beeinträchtigt","2003","(Fach-)Abitur","2288","","",""
"Nicht beeinträchtigt","2003","AkademikerIn","4028","0.911014603256107","0.902554501449922","0.919474705062293"
"Beeinträchtigt","2003","(noch) kein Abschluss","42","0.0634489095079573","0.047496375189404","0.0794014438265107"
"Beeinträchtigt","2003","Hauptschule","1420","","",""
"Beeinträchtigt","2003","Realschule","393","0.0799467284801252","0.072951870004628","0.0869415869556224"
"Beeinträchtigt","2003","(Fach-)Abitur","119","","",""
"Beeinträchtigt","2003","AkademikerIn","323","0.0889853967438926","0.0805252949377073","0.0974454985500778"
"Nicht beeinträchtigt","2004","(noch) kein Abschluss","869","0.929969576256228","0.913379671337035","0.946559481175422"
"Nicht beeinträchtigt","2004","Hauptschule","6650","0.817160854500139","0.808718616141368","0.82560309285891"
"Nicht beeinträchtigt","2004","Realschule","5198","0.912738019026702","0.905355620413211","0.920120417640193"
"Nicht beeinträchtigt","2004","(Fach-)Abitur","2269","","",""
"Nicht beeinträchtigt","2004","AkademikerIn","3961","0.904553895465099","0.895762351304302","0.913345439625895"
"Beeinträchtigt","2004","(noch) kein Abschluss","40","0.0700304237437718","0.0534405188245782","0.0866203286629654"
"Beeinträchtigt","2004","Hauptschule","1403","","",""
"Beeinträchtigt","2004","Realschule","416","0.087261980973298","0.0798795823598072","0.0946443795867888"
"Beeinträchtigt","2004","(Fach-)Abitur","125","","",""
"Beeinträchtigt","2004","AkademikerIn","330","0.0954461045349013","0.0866545603741044","0.104237648695698"
"Nicht beeinträchtigt","2005","(noch) kein Abschluss","862","0.928073405961304","0.91122184531552","0.944924966607088"
"Nicht beeinträchtigt","2005","Hauptschule","6186","0.816141546173944","0.807403226603136","0.824879865744751"
"Nicht beeinträchtigt","2005","Realschule","4955","0.910528160897533","0.902901991141174","0.918154330653891"
"Nicht beeinträchtigt","2005","(Fach-)Abitur","2170","","",""
"Nicht beeinträchtigt","2005","AkademikerIn","3837","0.908952973340572","0.900212140312401","0.917693806368743"
"Beeinträchtigt","2005","(noch) kein Abschluss","41","0.0719265940386959","0.0550750333929122","0.0887781546844797"
"Beeinträchtigt","2005","Hauptschule","1363","","",""
"Beeinträchtigt","2005","Realschule","426","0.0894718391024675","0.0818456693461094","0.0970980088588257"
"Beeinträchtigt","2005","(Fach-)Abitur","123","","",""
"Beeinträchtigt","2005","AkademikerIn","324","0.0910470266594278","0.0823061936312572","0.0997878596875985"
"Nicht beeinträchtigt","2006","(noch) kein Abschluss","605","0.898347156624777","0.875115869259369","0.921578443990185"
"Nicht beeinträchtigt","2006","Hauptschule","6604","0.812985462734236","0.804483981292956","0.821486944175515"
"Nicht beeinträchtigt","2006","Realschule","5270","0.905471308390219","0.897905417995209","0.91303719878523"
"Nicht beeinträchtigt","2006","(Fach-)Abitur","2315","","",""
"Nicht beeinträchtigt","2006","AkademikerIn","4194","0.905839448393306","0.897375751089972","0.91430314569664"
"Beeinträchtigt","2006","(noch) kein Abschluss","45","0.101652843375223","0.0784215560098146","0.124884130740631"
"Beeinträchtigt","2006","Hauptschule","1477","","",""
"Beeinträchtigt","2006","Realschule","474","0.0945286916097807","0.0869628012147698","0.102094582004792"
"Beeinträchtigt","2006","(Fach-)Abitur","133","","",""
"Beeinträchtigt","2006","AkademikerIn","380","0.0941605516066937","0.08569685430336","0.102624248910027"
"Nicht beeinträchtigt","2007","(noch) kein Abschluss","516","0.899765836888236","0.874803609827475","0.924728063948997"
"Nicht beeinträchtigt","2007","Hauptschule","5987","0.813696443551952","0.804777679612602","0.822615207491301"
"Nicht beeinträchtigt","2007","Realschule","4930","0.904987853379052","0.897163957525933","0.912811749232172"
"Nicht beeinträchtigt","2007","(Fach-)Abitur","2206","","",""
"Nicht beeinträchtigt","2007","AkademikerIn","3999","0.901297093081442","0.892469094615497","0.910125091547388"
"Beeinträchtigt","2007","(noch) kein Abschluss","40","0.100234163111764","0.0752719360510032","0.125196390172525"
"Beeinträchtigt","2007","Hauptschule","1334","","",""
"Beeinträchtigt","2007","Realschule","466","0.0950121466209476","0.0871882507678282","0.102836042474067"
"Beeinträchtigt","2007","(Fach-)Abitur","150","","",""
"Beeinträchtigt","2007","AkademikerIn","386","0.0987029069185576","0.0898749084526119","0.107530905384503"
"Nicht beeinträchtigt","2008","(noch) kein Abschluss","510","0.907247014742867","0.882914976423731","0.931579053062003"
"Nicht beeinträchtigt","2008","Hauptschule","5545","0.815096685209302","0.80586335988317","0.824330010535434"
"Nicht beeinträchtigt","2008","Realschule","4659","0.904976209213121","0.896932757799914","0.913019660626329"
"Nicht beeinträchtigt","2008","(Fach-)Abitur","2035","","",""
"Nicht beeinträchtigt","2008","AkademikerIn","3823","0.905189019607385","0.896318684302033","0.914059354912738"
"Beeinträchtigt","2008","(noch) kein Abschluss","36","0.0927529852571329","0.068420946937997","0.117085023576269"
"Beeinträchtigt","2008","Hauptschule","1246","","",""
"Beeinträchtigt","2008","Realschule","447","0.0950237907868785","0.0869803393736705","0.103067242200086"
"Beeinträchtigt","2008","(Fach-)Abitur","136","","",""
"Beeinträchtigt","2008","AkademikerIn","367","0.0948109803926148","0.0859406450872623","0.103681315697967"
"Nicht beeinträchtigt","2009","(noch) kein Abschluss","453","0.906514853286494","0.880579977077524","0.932449729495464"
"Nicht beeinträchtigt","2009","Hauptschule","5040","0.815123746971696","0.805453890519693","0.824793603423698"
"Nicht beeinträchtigt","2009","Realschule","4361","0.902331218961043","0.893939967477408","0.910722470444678"
"Nicht beeinträchtigt","2009","(Fach-)Abitur","1863","","",""
"Nicht beeinträchtigt","2009","AkademikerIn","3676","0.9079345258885","0.899007123302545","0.916861928474455"
"Beeinträchtigt","2009","(noch) kein Abschluss","31","0.093485146713506","0.0675502705045362","0.119420022922476"
"Beeinträchtigt","2009","Hauptschule","1151","","",""
"Beeinträchtigt","2009","Realschule","447","0.0976687810389572","0.0892775295553221","0.106060032522592"
"Beeinträchtigt","2009","(Fach-)Abitur","135","","",""
"Beeinträchtigt","2009","AkademikerIn","353","0.0920654741115003","0.0831380715255454","0.100992876697455"
"Nicht beeinträchtigt","2010","(noch) kein Abschluss","733","0.922609136011661","0.903772121730105","0.941446150293218"
"Nicht beeinträchtigt","2010","Hauptschule","6341","0.81568976994728","0.806894658912525","0.824484880982034"
"Nicht beeinträchtigt","2010","Realschule","6244","0.89572775346915","0.888447841340125","0.903007665598175"
"Nicht beeinträchtigt","2010","(Fach-)Abitur","2898","","",""
"Nicht beeinträchtigt","2010","AkademikerIn","5014","0.907502465067001","0.899753388816992","0.91525154131701"
"Beeinträchtigt","2010","(noch) kein Abschluss","40","0.0773908639883386","0.0585538497067821","0.0962278782698951"
"Beeinträchtigt","2010","Hauptschule","1125","","",""
"Beeinträchtigt","2010","Realschule","526","0.10427224653085","0.0969923344018254","0.111552158659875"
"Beeinträchtigt","2010","(Fach-)Abitur","159","","",""
"Beeinträchtigt","2010","AkademikerIn","356","0.092497534932999","0.0847484586829899","0.100246611183008"
"Nicht beeinträchtigt","2011","(noch) kein Abschluss","835","0.90120909754469","0.881682654928751","0.920735540160629"
"Nicht beeinträchtigt","2011","Hauptschule","7480","0.814367896487511","0.806297406063957","0.822438386911065"
"Nicht beeinträchtigt","2011","Realschule","7210","0.891650130327124","0.884802598385988","0.89849766226826"
"Nicht beeinträchtigt","2011","(Fach-)Abitur","3449","0.935921349816743","0.927953686733089","0.943889012900397"
"Nicht beeinträchtigt","2011","AkademikerIn","5755","0.910334894623781","0.903229067823124","0.917440721424437"
"Beeinträchtigt","2011","(noch) kein Abschluss","62","0.0987909024553105","0.0792644598393714","0.11831734507125"
"Beeinträchtigt","2011","Hauptschule","1436","","",""
"Beeinträchtigt","2011","Realschule","705","0.108349869672876","0.10150233773174","0.115197401614012"
"Beeinträchtigt","2011","(Fach-)Abitur","180","","",""
"Beeinträchtigt","2011","AkademikerIn","455","0.0896651053762192","0.0825592785755628","0.0967709321768756"
"Nicht beeinträchtigt","2012","(noch) kein Abschluss","827","0.888510373699666","0.86783270518007","0.909188042219261"
"Nicht beeinträchtigt","2012","Hauptschule","7190","0.810087792811936","0.801822515686487","0.818353069937385"
"Nicht beeinträchtigt","2012","Realschule","6982","0.887155451414948","0.880104331727533","0.894206571102363"
"Nicht beeinträchtigt","2012","(Fach-)Abitur","3337","0.924767089436007","0.916095284623755","0.933438894248259"
"Nicht beeinträchtigt","2012","AkademikerIn","5669","0.9065721005917","0.899291977181201","0.913852224002199"
"Beeinträchtigt","2012","(noch) kein Abschluss","63","0.111489626300334","0.0908119577807389","0.13216729481993"
"Beeinträchtigt","2012","Hauptschule","1461","","",""
"Beeinträchtigt","2012","Realschule","753","0.112844548585052","0.105793428897637","0.119895668272467"
"Beeinträchtigt","2012","(Fach-)Abitur","217","","",""
"Beeinträchtigt","2012","AkademikerIn","470","0.0934278994082998","0.0861477759978007","0.100708022818799"
"Nicht beeinträchtigt","2013","(noch) kein Abschluss","1219","","",""
"Nicht beeinträchtigt","2013","Hauptschule","7973","0.807151019366265","0.799180379163888","0.815121659568642"
"Nicht beeinträchtigt","2013","Realschule","7052","0.887210349761083","0.880180240961907","0.894240458560259"
"Nicht beeinträchtigt","2013","(Fach-)Abitur","4214","0.92559871885562","0.917894504577943","0.933302933133296"
"Nicht beeinträchtigt","2013","AkademikerIn","6350","0.908323347035089","0.901492194630496","0.915154499439682"
"Beeinträchtigt","2013","(noch) kein Abschluss","88","0.114315541112503","0.0970650109225299","0.131566071302476"
"Beeinträchtigt","2013","Hauptschule","1439","","",""
"Beeinträchtigt","2013","Realschule","726","0.112789650238917","0.105759541439741","0.119819759038093"
"Beeinträchtigt","2013","(Fach-)Abitur","243","","",""
"Beeinträchtigt","2013","AkademikerIn","505","0.0916766529649109","0.0848455005603179","0.098507805369504"
"Nicht beeinträchtigt","2014","(noch) kein Abschluss","922","0.875355584277118","0.85488280720535","0.895828361348886"
"Nicht beeinträchtigt","2014","Hauptschule","6793","0.798160462232063","0.789466707157158","0.806854217306969"
"Nicht beeinträchtigt","2014","Realschule","6168","0.877235323482583","0.869474144209478","0.884996502755688"
"Nicht beeinträchtigt","2014","(Fach-)Abitur","3698","0.918303585045984","0.909747796884787","0.92685937320718"
"Nicht beeinträchtigt","2014","AkademikerIn","5729","0.905228077138174","0.897949661637236","0.912506492639112"
"Beeinträchtigt","2014","(noch) kein Abschluss","78","0.124644415722882","0.104171638651114","0.14511719279465"
"Beeinträchtigt","2014","Hauptschule","1395","","",""
"Beeinträchtigt","2014","Realschule","700","0.122764676517417","0.115003497244312","0.130525855790522"
"Beeinträchtigt","2014","(Fach-)Abitur","239","","",""
"Beeinträchtigt","2014","AkademikerIn","492","0.094771922861826","0.0874935073608882","0.102050338362764"
"Nicht beeinträchtigt","2015","(noch) kein Abschluss","894","0.883132736160182","0.86284216008582","0.903423312234544"
"Nicht beeinträchtigt","2015","Hauptschule","6536","0.799790445255035","0.79090094835068","0.808679942159391"
"Nicht beeinträchtigt","2015","Realschule","5869","0.876996519871929","0.869047382186374","0.884945657557484"
"Nicht beeinträchtigt","2015","(Fach-)Abitur","3946","0.92919741851504","0.921395561941545","0.936999275088535"
"Nicht beeinträchtigt","2015","AkademikerIn","5948","0.911099203965429","0.904134233619818","0.918064174311039"
