"m11124","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Beeinträchtigt","1985","AkademikerIn","maennlich","43","0.0998706708325952","0.073772170589523","0.125969171075667"
"Beeinträchtigt","1985","AkademikerIn","weiblich","13","","",""
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","maennlich","479","0.997257335181807","0.992578718555573","1.00193595180804"
"Nicht beeinträchtigt","1986","(noch) kein Abschluss","weiblich","546","0.996266187281773","0.991159705667947","1.0013726688956"
"Nicht beeinträchtigt","1986","Hauptschule","maennlich","2976","0.999746594149715","0.99917493253789","1.00031825576154"
"Nicht beeinträchtigt","1986","Hauptschule","weiblich","3111","0.999912928488478","0.999585099441986","1.00024075753497"
"Nicht beeinträchtigt","1986","Realschule","maennlich","737","0.999458059887493","0.997778954921799","1.00113716485319"
"Nicht beeinträchtigt","1986","Realschule","weiblich","1033","0.999683901574454","0.998600398027849","1.00076740512106"
"Nicht beeinträchtigt","1986","(Fach-)Abitur","maennlich","470","1","1","1"
"Nicht beeinträchtigt","1986","(Fach-)Abitur","weiblich","338","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","maennlich","505","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","weiblich","244","1","1","1"
"Beeinträchtigt","1986","(noch) kein Abschluss","maennlich","1","","",""
"Beeinträchtigt","1986","(noch) kein Abschluss","weiblich","2","","",""
"Beeinträchtigt","1986","Hauptschule","maennlich","2","","",""
"Beeinträchtigt","1986","Hauptschule","weiblich","1","","",""
"Beeinträchtigt","1986","Realschule","maennlich","1","","",""
"Beeinträchtigt","1986","Realschule","weiblich","1","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","maennlich","","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","weiblich","","","",""
"Beeinträchtigt","1986","AkademikerIn","maennlich","","","",""
"Beeinträchtigt","1986","AkademikerIn","weiblich","","","",""
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","maennlich","416","0.888763456596043","0.859872679078062","0.917654234114025"
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","weiblich","518","0.941342706585233","0.921541833078942","0.961143580091524"
"Nicht beeinträchtigt","1987","Hauptschule","maennlich","2576","0.837678826474336","0.824342922067555","0.851014730881117"
"Nicht beeinträchtigt","1987","Hauptschule","weiblich","2813","0.903093235598412","0.892596111573491","0.913590359623334"
"Nicht beeinträchtigt","1987","Realschule","maennlich","698","0.92687575955659","0.908168805941627","0.945582713171552"
"Nicht beeinträchtigt","1987","Realschule","weiblich","941","0.90941138635189","0.891683769522072","0.927139003181707"
"Nicht beeinträchtigt","1987","(Fach-)Abitur","maennlich","413","0.901633775085364","0.874179058692921","0.929088491477807"
"Nicht beeinträchtigt","1987","(Fach-)Abitur","weiblich","314","0.944660645855853","0.919841076275014","0.969480215436692"
"Nicht beeinträchtigt","1987","AkademikerIn","maennlich","449","0.897824379964314","0.871061374812494","0.924587385116133"
"Nicht beeinträchtigt","1987","AkademikerIn","weiblich","236","0.943609542165194","0.914842276324841","0.972376808005546"
"Beeinträchtigt","1987","(noch) kein Abschluss","maennlich","39","0.111236543403957","0.082345765885975","0.140127320921938"
"Beeinträchtigt","1987","(noch) kein Abschluss","weiblich","23","","",""
"Beeinträchtigt","1987","Hauptschule","maennlich","361","0.162321173525664","0.148985269118883","0.175657077932445"
"Beeinträchtigt","1987","Hauptschule","weiblich","238","0.0969067644015877","0.0864096403766661","0.107403888426509"
"Beeinträchtigt","1987","Realschule","maennlich","46","0.0731242404434104","0.0544172868284476","0.0918311940583732"
"Beeinträchtigt","1987","Realschule","weiblich","66","0.0905886136481105","0.0728609968182926","0.108316230477928"
"Beeinträchtigt","1987","(Fach-)Abitur","maennlich","39","0.0983662249146361","0.0709115085221932","0.125820941307079"
"Beeinträchtigt","1987","(Fach-)Abitur","weiblich","12","","",""
"Beeinträchtigt","1987","AkademikerIn","maennlich","43","0.102175620035686","0.0754126148838671","0.128938625187506"
"Beeinträchtigt","1987","AkademikerIn","weiblich","11","","",""
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","maennlich","361","0.896669857764041","0.866689949673776","0.926649765854305"
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","weiblich","478","0.934316712218481","0.912795650147268","0.955837774289694"
"Nicht beeinträchtigt","1988","Hauptschule","maennlich","2435","0.821614492229759","0.807502152695738","0.835726831763779"
"Nicht beeinträchtigt","1988","Hauptschule","weiblich","2630","0.884258915376147","0.872597331434925","0.895920499317368"
"Nicht beeinträchtigt","1988","Realschule","maennlich","644","0.912646102434653","0.891639263718203","0.933652941151103"
"Nicht beeinträchtigt","1988","Realschule","weiblich","938","0.918452391025327","0.901473209132531","0.935431572918123"
"Nicht beeinträchtigt","1988","(Fach-)Abitur","maennlich","395","0.892542267774263","0.863472733236159","0.921611802312368"
"Nicht beeinträchtigt","1988","(Fach-)Abitur","weiblich","289","0.939592133286255","0.912677945470318","0.966506321102191"
"Nicht beeinträchtigt","1988","AkademikerIn","maennlich","432","0.90353000666601","0.876895509257031","0.93016450407499"
"Nicht beeinträchtigt","1988","AkademikerIn","weiblich","215","0.92146766611776","0.886550019130865","0.956385313104655"
"Beeinträchtigt","1988","(noch) kein Abschluss","maennlich","35","0.103330142235959","0.0733502341456946","0.133310050326224"
"Beeinträchtigt","1988","(noch) kein Abschluss","weiblich","31","0.0656832877815186","0.0441622257103057","0.0872043498527315"
"Beeinträchtigt","1988","Hauptschule","maennlich","392","0.178385507770241","0.164273168236221","0.192497847304262"
"Beeinträchtigt","1988","Hauptschule","weiblich","261","0.115741084623853","0.104079500682632","0.127402668565075"
"Beeinträchtigt","1988","Realschule","maennlich","50","0.0873538975653468","0.0663470588488969","0.108360736281797"
"Beeinträchtigt","1988","Realschule","weiblich","60","0.0815476089746731","0.0645684270818771","0.098526790867469"
"Beeinträchtigt","1988","(Fach-)Abitur","maennlich","41","0.107457732225737","0.0783881976876324","0.136527266763841"
"Beeinträchtigt","1988","(Fach-)Abitur","weiblich","12","","",""
"Beeinträchtigt","1988","AkademikerIn","maennlich","40","0.0964699933339896","0.06983549592501","0.123104490742969"
"Beeinträchtigt","1988","AkademikerIn","weiblich","13","","",""
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","maennlich","345","0.90648627155261","0.877289508076721","0.935683035028498"
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","weiblich","469","0.914396664032442","0.889946782468887","0.938846545595997"
"Nicht beeinträchtigt","1989","Hauptschule","maennlich","2308","0.811637474558516","0.796864445916238","0.826410503200793"
"Nicht beeinträchtigt","1989","Hauptschule","weiblich","2518","0.878381506036413","0.866227390160797","0.890535621912029"
"Nicht beeinträchtigt","1989","Realschule","maennlich","626","0.915827049242832","0.894834921345221","0.936819177140443"
"Nicht beeinträchtigt","1989","Realschule","weiblich","911","0.912894106938758","0.895166548356424","0.930621665521093"
"Nicht beeinträchtigt","1989","(Fach-)Abitur","maennlich","408","0.90490948666895","0.877624247025868","0.932194726312032"
"Nicht beeinträchtigt","1989","(Fach-)Abitur","weiblich","298","0.947476824169102","0.922603797350508","0.972349850987695"
"Nicht beeinträchtigt","1989","AkademikerIn","maennlich","429","0.905522307858739","0.879050970396891","0.931993645320586"
"Nicht beeinträchtigt","1989","AkademikerIn","weiblich","209","0.910635794167447","0.873278256719609","0.947993331615285"
"Beeinträchtigt","1989","(noch) kein Abschluss","maennlich","37","0.0935137284473903","0.0643169649715015","0.122710491923279"
"Beeinträchtigt","1989","(noch) kein Abschluss","weiblich","34","0.0856033359675578","0.0611534544040029","0.110053217531113"
"Beeinträchtigt","1989","Hauptschule","maennlich","383","0.188362525441484","0.173589496799207","0.203135554083762"
"Beeinträchtigt","1989","Hauptschule","weiblich","260","0.121618493963587","0.109464378087971","0.133772609839203"
"Beeinträchtigt","1989","Realschule","maennlich","46","0.0841729507571681","0.0631808228595568","0.105165078654779"
"Beeinträchtigt","1989","Realschule","weiblich","61","0.0871058930612418","0.0693783344789072","0.104833451643576"
"Beeinträchtigt","1989","(Fach-)Abitur","maennlich","36","0.0950905133310499","0.0678052736879681","0.122375752974132"
"Beeinträchtigt","1989","(Fach-)Abitur","weiblich","11","","",""
"Beeinträchtigt","1989","AkademikerIn","maennlich","40","0.0944776921412615","0.0680063546794139","0.120949029603109"
"Beeinträchtigt","1989","AkademikerIn","weiblich","15","","",""
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","maennlich","","","",""
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","weiblich","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","maennlich","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","weiblich","","","",""
"Nicht beeinträchtigt","1990","Realschule","maennlich","","","",""
"Nicht beeinträchtigt","1990","Realschule","weiblich","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","maennlich","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","weiblich","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","maennlich","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","weiblich","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","maennlich","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","weiblich","","","",""
"Beeinträchtigt","1990","Hauptschule","maennlich","","","",""
"Beeinträchtigt","1990","Hauptschule","weiblich","","","",""
"Beeinträchtigt","1990","Realschule","maennlich","","","",""
"Beeinträchtigt","1990","Realschule","weiblich","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","maennlich","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","weiblich","","","",""
"Beeinträchtigt","1990","AkademikerIn","maennlich","","","",""
"Beeinträchtigt","1990","AkademikerIn","weiblich","","","",""
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","maennlich","341","0.879628613083795","0.847125195123507","0.912132031044083"
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","weiblich","455","0.917498834013755","0.893088653909756","0.941909014117753"
"Nicht beeinträchtigt","1991","Hauptschule","maennlich","2863","0.828219831384921","0.815256036601123","0.841183626168718"
"Nicht beeinträchtigt","1991","Hauptschule","weiblich","3225","0.894831817332173","0.884641001035373","0.905022633628973"
"Nicht beeinträchtigt","1991","Realschule","maennlich","1391","0.945068059735187","0.933287559851091","0.956848559619284"
"Nicht beeinträchtigt","1991","Realschule","weiblich","1644","0.93905838031758","0.927699995234908","0.950416765400253"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","maennlich","467","0.907487920794518","0.882266836202218","0.932709005386818"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","weiblich","365","0.944891871724587","0.921918360714887","0.967865382734286"
"Nicht beeinträchtigt","1991","AkademikerIn","maennlich","882","0.937933787252496","0.92236836330784","0.953499211197152"
"Nicht beeinträchtigt","1991","AkademikerIn","weiblich","738","0.953052664669784","0.937954424074375","0.968150905265193"
"Beeinträchtigt","1991","(noch) kein Abschluss","maennlich","44","0.120371386916205","0.0878679689559173","0.152874804876493"
"Beeinträchtigt","1991","(noch) kein Abschluss","weiblich","33","0.0825011659862455","0.0580909858822475","0.106911346090244"
"Beeinträchtigt","1991","Hauptschule","maennlich","389","0.171780168615079","0.158816373831282","0.184743963398877"
"Beeinträchtigt","1991","Hauptschule","weiblich","256","0.105168182667827","0.0949773663710271","0.115358998964627"
"Beeinträchtigt","1991","Realschule","maennlich","46","0.0549319402648127","0.0431514403807162","0.0667124401489092"
"Beeinträchtigt","1991","Realschule","weiblich","60","0.0609416196824195","0.0495832345997474","0.0723000047650916"
"Beeinträchtigt","1991","(Fach-)Abitur","maennlich","40","0.0925120792054817","0.0672909946131817","0.117733163797782"
"Beeinträchtigt","1991","(Fach-)Abitur","weiblich","14","","",""
"Beeinträchtigt","1991","AkademikerIn","maennlich","41","0.0620662127475042","0.046500788802848","0.0776316366921604"
"Beeinträchtigt","1991","AkademikerIn","weiblich","16","","",""
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","maennlich","329","0.88042743928298","0.847366911789799","0.91348796677616"
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","weiblich","457","0.904590237796103","0.878657582555423","0.930522893036782"
"Nicht beeinträchtigt","1992","Hauptschule","maennlich","2680","0.810122176108447","0.796395276824179","0.823849075392714"
"Nicht beeinträchtigt","1992","Hauptschule","weiblich","3020","0.876321258162569","0.865164725716285","0.887477790608854"
"Nicht beeinträchtigt","1992","Realschule","maennlich","1317","0.93055732419525","0.917174392381818","0.943940256008683"
"Nicht beeinträchtigt","1992","Realschule","weiblich","1611","0.919669809347612","0.906753117523735","0.932586501171489"
"Nicht beeinträchtigt","1992","(Fach-)Abitur","maennlich","464","0.905374797652356","0.879770442437691","0.930979152867021"
"Nicht beeinträchtigt","1992","(Fach-)Abitur","weiblich","379","0.93712738001553","0.91312900097832","0.961125759052739"
"Nicht beeinträchtigt","1992","AkademikerIn","maennlich","832","0.908627857736877","0.889865650885546","0.927390064588207"
"Nicht beeinträchtigt","1992","AkademikerIn","weiblich","706","0.937449496366898","0.919966990101894","0.954932002631903"
"Beeinträchtigt","1992","(noch) kein Abschluss","maennlich","41","0.11957256071702","0.0865120332238395","0.152633088210201"
"Beeinträchtigt","1992","(noch) kein Abschluss","weiblich","36","0.0954097622038973","0.0694771069632176","0.121342417444577"
"Beeinträchtigt","1992","Hauptschule","maennlich","456","0.189877823891553","0.176150924607286","0.203604723175821"
"Beeinträchtigt","1992","Hauptschule","weiblich","325","0.123678741837431","0.112522209391146","0.134835274283715"
"Beeinträchtigt","1992","Realschule","maennlich","69","0.0694426758047496","0.0560597439913171","0.0828256076181821"
"Beeinträchtigt","1992","Realschule","weiblich","90","0.080330190652388","0.0674134988285113","0.0932468824762646"
"Beeinträchtigt","1992","(Fach-)Abitur","maennlich","38","0.0946252023476437","0.0690208471329789","0.120229557562309"
"Beeinträchtigt","1992","(Fach-)Abitur","weiblich","14","","",""
"Beeinträchtigt","1992","AkademikerIn","maennlich","74","0.0913721422631232","0.0726099354117927","0.110134349114454"
"Beeinträchtigt","1992","AkademikerIn","weiblich","31","0.0625505036331016","0.0450679973680974","0.0800330098981057"
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","maennlich","","","",""
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","weiblich","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","maennlich","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","weiblich","","","",""
"Nicht beeinträchtigt","1993","Realschule","maennlich","","","",""
"Nicht beeinträchtigt","1993","Realschule","weiblich","","","",""
"Nicht beeinträchtigt","1993","(Fach-)Abitur","maennlich","","","",""
"Nicht beeinträchtigt","1993","(Fach-)Abitur","weiblich","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","maennlich","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","weiblich","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","maennlich","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","weiblich","","","",""
"Beeinträchtigt","1993","Hauptschule","maennlich","","","",""
"Beeinträchtigt","1993","Hauptschule","weiblich","","","",""
"Beeinträchtigt","1993","Realschule","maennlich","","","",""
"Beeinträchtigt","1993","Realschule","weiblich","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","maennlich","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","weiblich","","","",""
"Beeinträchtigt","1993","AkademikerIn","maennlich","","","",""
"Beeinträchtigt","1993","AkademikerIn","weiblich","","","",""
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","maennlich","326","0.893467912965802","0.861642489733951","0.925293336197653"
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","weiblich","455","0.936070368945139","0.914276679489092","0.957864058401186"
"Nicht beeinträchtigt","1994","Hauptschule","maennlich","2508","0.818875668647021","0.804949887154694","0.832801450139348"
"Nicht beeinträchtigt","1994","Hauptschule","weiblich","2802","0.871891116608473","0.860182740318199","0.883599492898747"
"Nicht beeinträchtigt","1994","Realschule","maennlich","1285","0.91892625732083","0.904414540189138","0.933437974452523"
"Nicht beeinträchtigt","1994","Realschule","weiblich","1594","0.923231385234049","0.910493443887356","0.935969326580743"
"Nicht beeinträchtigt","1994","(Fach-)Abitur","maennlich","463","0.922225197693339","0.89860831531898","0.945842080067697"
"Nicht beeinträchtigt","1994","(Fach-)Abitur","weiblich","408","0.939671500206805","0.917008653920386","0.962334346493224"
"Nicht beeinträchtigt","1994","AkademikerIn","maennlich","840","0.91828619832118","0.900468897876112","0.936103498766248"
"Nicht beeinträchtigt","1994","AkademikerIn","weiblich","699","0.932694890221278","0.914593872187101","0.950795908255455"
"Beeinträchtigt","1994","(noch) kein Abschluss","maennlich","35","0.106532087034198","0.0747066638023473","0.138357510266049"
"Beeinträchtigt","1994","(noch) kein Abschluss","weiblich","29","","",""
"Beeinträchtigt","1994","Hauptschule","maennlich","430","0.181124331352979","0.167198549860652","0.195050112845306"
"Beeinträchtigt","1994","Hauptschule","weiblich","328","0.128108883391527","0.116400507101253","0.139817259681801"
"Beeinträchtigt","1994","Realschule","maennlich","74","0.0810737426791697","0.0665620255474774","0.095585459810862"
"Beeinträchtigt","1994","Realschule","weiblich","84","0.0767686147659506","0.0640306734192571","0.089506556112644"
"Beeinträchtigt","1994","(Fach-)Abitur","maennlich","31","0.0777748023066614","0.0541579199323032","0.10139168468102"
"Beeinträchtigt","1994","(Fach-)Abitur","weiblich","16","","",""
"Beeinträchtigt","1994","AkademikerIn","maennlich","68","0.0817138016788199","0.063896501233752","0.0995311021238879"
"Beeinträchtigt","1994","AkademikerIn","weiblich","37","0.0673051097787224","0.0492040917445455","0.0854061278128992"
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","maennlich","355","0.899242222090152","0.869444525540855","0.929039918639449"
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","weiblich","449","0.934981612235273","0.912970387651026","0.956992836819521"
"Nicht beeinträchtigt","1995","Hauptschule","maennlich","2500","0.809028469497275","0.794817800798512","0.823239138196039"
"Nicht beeinträchtigt","1995","Hauptschule","weiblich","2762","0.855517900039886","0.843171491644241","0.867864308435531"
"Nicht beeinträchtigt","1995","Realschule","maennlich","1280","0.90916188464492","0.893905387544584","0.924418381745256"
"Nicht beeinträchtigt","1995","Realschule","weiblich","1644","0.917621006380028","0.904691316859331","0.930550695900726"
"Nicht beeinträchtigt","1995","(Fach-)Abitur","maennlich","518","0.934109077114966","0.913356429573689","0.954861724656242"
"Nicht beeinträchtigt","1995","(Fach-)Abitur","weiblich","482","0.948705484759968","0.92935022568523","0.968060743834705"
"Nicht beeinträchtigt","1995","AkademikerIn","maennlich","876","0.908318774846964","0.88996837051007","0.926669179183858"
"Nicht beeinträchtigt","1995","AkademikerIn","weiblich","748","0.920284260449411","0.901444695191976","0.939123825706847"
"Beeinträchtigt","1995","(noch) kein Abschluss","maennlich","37","0.100757777909848","0.0709600813605508","0.130555474459145"
"Beeinträchtigt","1995","(noch) kein Abschluss","weiblich","33","0.0650183877647266","0.0430071631804792","0.087029612348974"
"Beeinträchtigt","1995","Hauptschule","maennlich","439","0.190971530502725","0.176760861803961","0.205182199201488"
"Beeinträchtigt","1995","Hauptschule","weiblich","353","0.144482099960114","0.132135691564469","0.156828508355759"
"Beeinträchtigt","1995","Realschule","maennlich","83","0.0908381153550797","0.0755816182547439","0.106094612455416"
"Beeinträchtigt","1995","Realschule","weiblich","93","0.0823789936199718","0.0694493040992742","0.0953086831406694"
"Beeinträchtigt","1995","(Fach-)Abitur","maennlich","31","0.0658909228850344","0.0451382753437581","0.0866435704263106"
"Beeinträchtigt","1995","(Fach-)Abitur","weiblich","17","","",""
"Beeinträchtigt","1995","AkademikerIn","maennlich","74","0.0916812251530363","0.0733308208161422","0.11003162948993"
"Beeinträchtigt","1995","AkademikerIn","weiblich","46","0.0797157395505886","0.0608761742931533","0.0985553048080238"
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","maennlich","332","0.891961796964095","0.860331080300176","0.923592513628015"
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","weiblich","439","0.945191919388384","0.92459302237232","0.965790816404448"
"Nicht beeinträchtigt","1996","Hauptschule","maennlich","2429","0.795121716576463","0.78038873856144","0.809854694591486"
"Nicht beeinträchtigt","1996","Hauptschule","weiblich","2669","0.849751927799997","0.837043956407097","0.862459899192897"
"Nicht beeinträchtigt","1996","Realschule","maennlich","1298","0.908787703077329","0.893586379646922","0.923989026507737"
"Nicht beeinträchtigt","1996","Realschule","weiblich","1640","0.927547792042991","0.915321468543759","0.939774115542223"
"Nicht beeinträchtigt","1996","(Fach-)Abitur","maennlich","496","0.93894385435758","0.91842364672875","0.959464061986411"
"Nicht beeinträchtigt","1996","(Fach-)Abitur","weiblich","485","0.947588496271472","0.928113055367529","0.967063937175416"
"Nicht beeinträchtigt","1996","AkademikerIn","maennlich","897","0.916319020359054","0.898829750616034","0.933808290102073"
"Nicht beeinträchtigt","1996","AkademikerIn","weiblich","750","0.926470168672655","0.90832704622641","0.9446132911189"
"Beeinträchtigt","1996","(noch) kein Abschluss","maennlich","38","0.108038203035904","0.0764074863719852","0.139668919699824"
"Beeinträchtigt","1996","(noch) kein Abschluss","weiblich","30","0.054808080611616","0.0342091835955524","0.0754069776276796"
"Beeinträchtigt","1996","Hauptschule","maennlich","454","0.204878283423537","0.190145305408514","0.21961126143856"
"Beeinträchtigt","1996","Hauptschule","weiblich","368","0.150248072200003","0.137540100807103","0.162956043592903"
"Beeinträchtigt","1996","Realschule","maennlich","80","0.0912122969226705","0.0760109734922627","0.106413620353078"
"Beeinträchtigt","1996","Realschule","weiblich","87","0.0724522079570089","0.0602258844577772","0.0846785314562407"
"Beeinträchtigt","1996","(Fach-)Abitur","maennlich","27","","",""
"Beeinträchtigt","1996","(Fach-)Abitur","weiblich","18","","",""
"Beeinträchtigt","1996","AkademikerIn","maennlich","66","0.0836809796409464","0.0661917098979267","0.101170249383966"
"Beeinträchtigt","1996","AkademikerIn","weiblich","45","0.0735298313273448","0.0553867088810999","0.0916729537735897"
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","maennlich","338","0.877322507966429","0.84411819204282","0.910526823890037"
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","weiblich","426","0.94751170161663","0.927043051256395","0.967980351976865"
"Nicht beeinträchtigt","1997","Hauptschule","maennlich","2362","0.797035082353505","0.78214007424653","0.811930090460479"
"Nicht beeinträchtigt","1997","Hauptschule","weiblich","2567","0.845683584559755","0.83261423265559","0.858752936463919"
"Nicht beeinträchtigt","1997","Realschule","maennlich","1274","0.907791777068175","0.892409652961483","0.923173901174868"
"Nicht beeinträchtigt","1997","Realschule","weiblich","1627","0.936644410433025","0.925081537833939","0.948207283032111"
"Nicht beeinträchtigt","1997","(Fach-)Abitur","maennlich","491","0.940514875376842","0.920145850740647","0.960883900013036"
"Nicht beeinträchtigt","1997","(Fach-)Abitur","weiblich","476","0.938694193567741","0.917625078733966","0.959763308401515"
"Nicht beeinträchtigt","1997","AkademikerIn","maennlich","905","0.926097337744978","0.909591301515242","0.942603373974715"
"Nicht beeinträchtigt","1997","AkademikerIn","weiblich","748","0.922333321132955","0.903751843499781","0.940914798766128"
"Beeinträchtigt","1997","(noch) kein Abschluss","maennlich","37","0.122677492033571","0.0894731761099627","0.15588180795718"
"Beeinträchtigt","1997","(noch) kein Abschluss","weiblich","30","0.05248829838337","0.032019648023135","0.0729569487436051"
"Beeinträchtigt","1997","Hauptschule","maennlich","439","0.202964917646495","0.188069909539521","0.21785992575347"
