year,sex,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,At least once per month,0.05649,1053,12805,0.05249,0.06049
2011,male,Seldom,0.21846,3409,12805,0.21130,0.22562
2011,male,Never,0.49221,7352,12805,0.48355,0.50087
2011,female,At least once per week,0.07650,1430,15488,0.07231,0.08069
2011,female,At least once per month,0.08635,1682,15488,0.08193,0.09078
2011,female,Seldom,0.23307,4207,15488,0.22641,0.23973
2011,female,Never,0.44788,8169,15488,0.44005,0.45572
2013,male,At least once per week,0.05330,900,11475,0.04919,0.05741
2013,male,At least once per month,0.05035,917,11475,0.04635,0.05435
2013,male,Seldom,0.19712,3067,11475,0.18984,0.20440
2013,male,Never,0.44678,6591,11475,0.43768,0.45588
2013,female,At least once per week,0.07102,1236,13906,0.06675,0.07529
2013,female,At least once per month,0.07587,1446,13906,0.07147,0.08027
2013,female,Seldom,0.20900,3820,13906,0.20225,0.21576
2013,female,Never,0.41325,7404,13906,0.40506,0.42143
2015,male,At least once per week,0.05629,926,12269,0.05221,0.06037
2015,male,At least once per month,0.05312,982,12269,0.04915,0.05709
2015,male,Seldom,0.20940,3062,12269,0.20220,0.21660
2015,male,Never,0.51780,7299,12269,0.50896,0.52664
2015,female,At least once per week,0.07359,1188,14428,0.06933,0.07785
2015,female,At least once per month,0.07663,1474,14428,0.07229,0.08097
2015,female,Seldom,0.22148,3808,14428,0.21470,0.22825
2015,female,Never,0.47371,7958,14428,0.46557,0.48186
2017,male,At least once per week,0.05645,1417,14471,0.05269,0.06021
2017,male,At least once per month,0.05423,1096,14471,0.05054,0.05792
2017,male,Seldom,0.19400,3263,14471,0.18756,0.20045
2017,male,Never,0.52454,8695,14471,0.51641,0.53268
2017,female,At least once per week,0.07299,1302,15934,0.06895,0.07702
2017,female,At least once per month,0.08340,1539,15934,0.07911,0.08770
2017,female,Seldom,0.21224,3913,15934,0.20589,0.21859
2017,female,Never,0.47390,9180,15934,0.46615,0.48165
2018,male,At least once per week,0.00155,392,1880,-0.00023,0.00333
2018,male,At least once per month,0.00085,183,1880,-0.00047,0.00218
2018,male,Seldom,0.00129,336,1880,-0.00033,0.00292
2018,male,Never,0.00375,969,1880,0.00099,0.00651
2018,female,At least once per week,0.00045,136,1286,-0.00071,0.00160
2018,female,At least once per month,0.00031,105,1286,-0.00065,0.00128
2018,female,Seldom,0.00064,232,1286,-0.00074,0.00202
2018,female,Never,0.00231,813,1286,-0.00031,0.00494
2019,male,At least once per week,0.05564,1207,14058,0.05185,0.05943
2019,male,At least once per month,0.05382,1060,14058,0.05009,0.05755
2019,male,Seldom,0.20397,3505,14058,0.19731,0.21063
2019,male,Never,0.51415,8286,14058,0.50588,0.52241
2019,female,At least once per week,0.06656,1068,14632,0.06252,0.07059
2019,female,At least once per month,0.06887,1269,14632,0.06477,0.07297
2019,female,Seldom,0.22230,3865,14632,0.21556,0.22904
2019,female,Never,0.48283,8430,14632,0.47473,0.49093
