year,bula_h,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Thuringa,East,No,0.80095,882,882,0.77458,0.82732
2002,Schleswig-Holstein,West,Yes,0.05972,63,586,0.04052,0.07893
2002,Schleswig-Holstein,West,No,0.64799,523,586,0.60929,0.68670
2002,Hamburg,West,No,0.72843,236,236,0.67156,0.78529
2002,Lower Saxony,West,Yes,0.07197,197,1670,0.05957,0.08437
2002,Lower Saxony,West,No,0.64797,1473,1670,0.62506,0.67088
2002,Bremen,West,No,0.77484,142,142,0.70590,0.84379
2002,North Rhine-Westphalia,West,Yes,0.09473,589,4025,0.08569,0.10378
2002,North Rhine-Westphalia,West,No,0.63637,3436,4025,0.62151,0.65123
2002,Hesse,West,Yes,0.06706,152,1338,0.05365,0.08047
2002,Hesse,West,No,0.63195,1186,1338,0.60610,0.65780
2002,"Rhineland-Palatinate, Saarland",West,Yes,0.05129,111,1156,0.03857,0.06401
2002,"Rhineland-Palatinate, Saarland",West,No,0.65220,1045,1156,0.62473,0.67967
2002,Baden-Wuerttemberg,West,Yes,0.10080,340,2363,0.08866,0.11294
2002,Baden-Wuerttemberg,West,No,0.60838,2023,2363,0.58870,0.62807
2002,Bavaria,West,Yes,0.10670,413,2629,0.09490,0.11851
2002,Bavaria,West,No,0.59983,2216,2629,0.58110,0.61856
2002,Berlin,West,No,0.64076,324,324,0.58844,0.69309
2002,Berlin,East,No,0.71098,300,300,0.65960,0.76236
2002,Brandenburg,East,Yes,0.05014,55,908,0.03594,0.06434
2002,Brandenburg,East,No,0.79230,853,908,0.76590,0.81870
2002,Mecklenburg-Western Pomerania,East,No,0.77853,443,443,0.73981,0.81724
2002,Saxony,East,Yes,0.03902,84,1526,0.02930,0.04873
2002,Saxony,East,No,0.77202,1442,1526,0.75097,0.79308
2002,Saxony-Anhalt,East,Yes,0.03645,46,912,0.02428,0.04862
2002,Saxony-Anhalt,East,No,0.80889,866,912,0.78336,0.83442
2002,Thuringa,East,Yes,0.02071,36,898,0.01139,0.03003
2002,Thuringa,East,No,0.78527,862,898,0.75840,0.81214
2003,Schleswig-Holstein,West,Yes,0.05262,52,550,0.03395,0.07130
2003,Schleswig-Holstein,West,No,0.65384,498,550,0.61404,0.69364
2003,Hamburg,West,No,0.70673,217,217,0.64602,0.76745
2003,Lower Saxony,West,Yes,0.07305,188,1618,0.06036,0.08573
2003,Lower Saxony,West,No,0.65602,1430,1618,0.63287,0.67918
2003,Bremen,West,No,0.75332,139,139,0.68140,0.82525
2003,North Rhine-Westphalia,West,Yes,0.10093,599,3854,0.09142,0.11045
2003,North Rhine-Westphalia,West,No,0.62590,3255,3854,0.61062,0.64117
2003,Hesse,West,Yes,0.06207,142,1222,0.04854,0.07561
2003,Hesse,West,No,0.63092,1080,1222,0.60385,0.65799
2003,"Rhineland-Palatinate, Saarland",West,Yes,0.06275,113,1138,0.04865,0.07685
2003,"Rhineland-Palatinate, Saarland",West,No,0.65059,1025,1138,0.62288,0.67831
2003,Baden-Wuerttemberg,West,Yes,0.09488,314,2265,0.08281,0.10695
2003,Baden-Wuerttemberg,West,No,0.60916,1951,2265,0.58906,0.62926
2003,Bavaria,West,Yes,0.09935,391,2521,0.08767,0.11103
2003,Bavaria,West,No,0.60374,2130,2521,0.58464,0.62283
2003,Berlin,West,No,0.64607,320,320,0.59360,0.69855
2003,Berlin,East,No,0.69902,298,298,0.64686,0.75119
2003,Brandenburg,East,Yes,0.04048,54,887,0.02750,0.05346
2003,Brandenburg,East,No,0.79302,833,887,0.76635,0.81970
2003,Mecklenburg-Western Pomerania,East,No,0.77712,450,450,0.73862,0.81561
2003,Saxony,East,Yes,0.04073,82,1485,0.03068,0.05079
2003,Saxony,East,No,0.76668,1403,1485,0.74516,0.78820
2003,Saxony-Anhalt,East,Yes,0.04780,52,880,0.03370,0.06191
2003,Saxony-Anhalt,East,No,0.79502,828,880,0.76834,0.82171
2003,Thuringa,East,Yes,0.02629,40,880,0.01571,0.03687
2003,Thuringa,East,No,0.78760,840,880,0.76057,0.81464
2004,Schleswig-Holstein,West,Yes,0.04801,49,544,0.03003,0.06599
2004,Schleswig-Holstein,West,No,0.66338,495,544,0.62363,0.70313
2004,Hamburg,West,No,0.69072,209,209,0.62791,0.75354
2004,Lower Saxony,West,Yes,0.07906,205,1596,0.06582,0.09230
2004,Lower Saxony,West,No,0.64763,1391,1596,0.62418,0.67107
2004,Bremen,West,No,0.72065,130,130,0.64322,0.79808
2004,North Rhine-Westphalia,West,Yes,0.10765,625,3744,0.09772,0.11758
2004,North Rhine-Westphalia,West,No,0.62438,3119,3744,0.60886,0.63989
2004,Hesse,West,Yes,0.06302,131,1166,0.04907,0.07697
2004,Hesse,West,No,0.62045,1035,1166,0.59259,0.64832
2004,"Rhineland-Palatinate, Saarland",West,Yes,0.06812,114,1098,0.05321,0.08303
2004,"Rhineland-Palatinate, Saarland",West,No,0.65908,984,1098,0.63103,0.68713
2004,Baden-Wuerttemberg,West,Yes,0.10392,331,2204,0.09118,0.11667
2004,Baden-Wuerttemberg,West,No,0.60644,1873,2204,0.58604,0.62684
2004,Bavaria,West,Yes,0.10839,390,2449,0.09608,0.12071
2004,Bavaria,West,No,0.59965,2059,2449,0.58024,0.61906
2004,Berlin,West,No,0.65379,315,315,0.60117,0.70642
2004,Berlin,East,No,0.71334,294,294,0.66156,0.76512
2004,Brandenburg,East,Yes,0.05805,62,842,0.04225,0.07385
2004,Brandenburg,East,No,0.76828,780,842,0.73977,0.79680
2004,Mecklenburg-Western Pomerania,East,No,0.77407,438,438,0.73486,0.81328
2004,Saxony,East,Yes,0.05106,111,1447,0.03971,0.06240
2004,Saxony,East,No,0.76222,1336,1447,0.74028,0.78417
2004,Saxony-Anhalt,East,Yes,0.03433,46,860,0.02216,0.04651
2004,Saxony-Anhalt,East,No,0.81470,814,860,0.78872,0.84068
2004,Thuringa,East,Yes,0.03438,52,872,0.02228,0.04648
2004,Thuringa,East,No,0.77601,820,872,0.74832,0.80369
2005,Schleswig-Holstein,West,Yes,0.04477,43,523,0.02703,0.06251
2005,Schleswig-Holstein,West,No,0.66862,480,523,0.62824,0.70900
2005,Hamburg,West,Yes,0.10719,32,242,0.06814,0.14625
2005,Hamburg,West,No,0.70227,210,242,0.64453,0.76000
2005,Lower Saxony,West,Yes,0.08982,212,1517,0.07543,0.10421
2005,Lower Saxony,West,No,0.64382,1305,1517,0.61972,0.66793
2005,Bremen,West,No,0.71443,112,112,0.63040,0.79846
2005,North Rhine-Westphalia,West,Yes,0.11554,614,3568,0.10505,0.12603
2005,North Rhine-Westphalia,West,No,0.61047,2954,3568,0.59447,0.62648
2005,Hesse,West,Yes,0.09239,156,1111,0.07535,0.10942
2005,Hesse,West,No,0.61695,955,1111,0.58835,0.64554
2005,"Rhineland-Palatinate, Saarland",West,Yes,0.08206,128,1036,0.06534,0.09878
2005,"Rhineland-Palatinate, Saarland",West,No,0.64073,908,1036,0.61150,0.66996
2005,Baden-Wuerttemberg,West,Yes,0.11148,334,2117,0.09807,0.12488
2005,Baden-Wuerttemberg,West,No,0.60644,1783,2117,0.58562,0.62725
2005,Bavaria,West,Yes,0.11110,397,2319,0.09831,0.12390
2005,Bavaria,West,No,0.59033,1922,2319,0.57031,0.61035
2005,Berlin,West,No,0.67534,300,300,0.62227,0.72842
2005,Berlin,East,No,0.71883,278,278,0.66588,0.77177
2005,Brandenburg,East,Yes,0.07488,71,819,0.05684,0.09292
2005,Brandenburg,East,No,0.73218,748,819,0.70183,0.76252
2005,Mecklenburg-Western Pomerania,East,No,0.79877,432,432,0.76092,0.83662
2005,Saxony,East,Yes,0.05966,129,1384,0.04718,0.07214
2005,Saxony,East,No,0.73441,1255,1384,0.71113,0.75768
2005,Saxony-Anhalt,East,Yes,0.04229,56,831,0.02860,0.05598
2005,Saxony-Anhalt,East,No,0.79460,775,831,0.76712,0.82209
2005,Thuringa,East,Yes,0.04401,62,823,0.02999,0.05804
2005,Thuringa,East,No,0.77271,761,823,0.74406,0.80136
2006,Schleswig-Holstein,West,Yes,0.07819,76,563,0.05599,0.10038
2006,Schleswig-Holstein,West,No,0.63755,487,563,0.59781,0.67730
2006,Hamburg,West,Yes,0.12450,40,253,0.08373,0.16526
2006,Hamburg,West,No,0.64406,213,253,0.58494,0.70317
2006,Lower Saxony,West,Yes,0.10027,262,1659,0.08581,0.11473
2006,Lower Saxony,West,No,0.61420,1397,1659,0.59077,0.63763
2006,Bremen,West,No,0.74545,109,109,0.66329,0.82760
2006,North Rhine-Westphalia,West,Yes,0.12242,714,3730,0.11190,0.13294
2006,North Rhine-Westphalia,West,No,0.59644,3016,3730,0.58070,0.61219
2006,Hesse,West,Yes,0.09752,207,1192,0.08067,0.11437
2006,Hesse,West,No,0.59359,985,1192,0.56569,0.62148
2006,"Rhineland-Palatinate, Saarland",West,Yes,0.08057,133,1073,0.06428,0.09687
2006,"Rhineland-Palatinate, Saarland",West,No,0.63486,940,1073,0.60604,0.66368
2006,Baden-Wuerttemberg,West,Yes,0.11831,417,2273,0.10503,0.13159
2006,Baden-Wuerttemberg,West,No,0.59522,1856,2273,0.57504,0.61540
2006,Bavaria,West,Yes,0.13491,523,2532,0.12160,0.14822
2006,Bavaria,West,No,0.56207,2009,2532,0.54274,0.58140
2006,Berlin,West,Yes,0.08181,43,336,0.05246,0.11116
2006,Berlin,West,No,0.65007,293,336,0.59900,0.70115
2006,Berlin,East,No,0.70831,277,277,0.65469,0.76194
2006,Brandenburg,East,Yes,0.09449,95,874,0.07508,0.11389
2006,Brandenburg,East,No,0.71872,779,874,0.68890,0.74855
2006,Mecklenburg-Western Pomerania,East,Yes,0.04141,31,486,0.02368,0.05914
2006,Mecklenburg-Western Pomerania,East,No,0.75101,455,486,0.71252,0.78949
2006,Saxony,East,Yes,0.07278,143,1461,0.05945,0.08610
2006,Saxony,East,No,0.73919,1318,1461,0.71667,0.76172
2006,Saxony-Anhalt,East,Yes,0.05110,61,848,0.03627,0.06593
2006,Saxony-Anhalt,East,No,0.76761,787,848,0.73916,0.79605
2006,Thuringa,East,Yes,0.04792,75,869,0.03371,0.06213
2006,Thuringa,East,No,0.75066,794,869,0.72188,0.77944
2007,Schleswig-Holstein,West,Yes,0.09685,75,518,0.07136,0.12235
2007,Schleswig-Holstein,West,No,0.63011,443,518,0.58849,0.67172
2007,Hamburg,West,Yes,0.13973,46,243,0.09604,0.18341
2007,Hamburg,West,No,0.63795,197,243,0.57740,0.69850
2007,Lower Saxony,West,Yes,0.11845,267,1531,0.10226,0.13464
2007,Lower Saxony,West,No,0.60033,1264,1531,0.57578,0.62487
2007,Bremen,West,No,0.70155,107,107,0.61444,0.78866
2007,North Rhine-Westphalia,West,Yes,0.13130,706,3441,0.12002,0.14259
2007,North Rhine-Westphalia,West,No,0.58015,2735,3441,0.56366,0.59665
2007,Hesse,West,Yes,0.10836,216,1113,0.09009,0.12663
2007,Hesse,West,No,0.58122,897,1113,0.55222,0.61022
2007,"Rhineland-Palatinate, Saarland",West,Yes,0.09087,137,972,0.07279,0.10895
2007,"Rhineland-Palatinate, Saarland",West,No,0.60863,835,972,0.57793,0.63932
2007,Baden-Wuerttemberg,West,Yes,0.13420,416,2076,0.11953,0.14886
2007,Baden-Wuerttemberg,West,No,0.57697,1660,2076,0.55572,0.59823
2007,Bavaria,West,Yes,0.14077,506,2396,0.12684,0.15470
2007,Bavaria,West,No,0.55449,1890,2396,0.53458,0.57439
2007,Berlin,West,Yes,0.09083,47,316,0.05909,0.12256
2007,Berlin,West,No,0.63734,269,316,0.58424,0.69043
2007,Berlin,East,Yes,0.08377,40,304,0.05257,0.11496
2007,Berlin,East,No,0.71927,264,304,0.66867,0.76987
2007,Brandenburg,East,Yes,0.09973,97,792,0.07885,0.12061
2007,Brandenburg,East,No,0.70916,695,792,0.67752,0.74081
2007,Mecklenburg-Western Pomerania,East,Yes,0.04771,37,454,0.02808,0.06734
2007,Mecklenburg-Western Pomerania,East,No,0.75782,417,454,0.71837,0.79727
2007,Saxony,East,Yes,0.08441,161,1388,0.06978,0.09904
2007,Saxony,East,No,0.72974,1227,1388,0.70637,0.75311
2007,Saxony-Anhalt,East,Yes,0.05574,65,804,0.03987,0.07161
2007,Saxony-Anhalt,East,No,0.75749,739,804,0.72785,0.78714
2007,Thuringa,East,Yes,0.05796,77,839,0.04214,0.07378
2007,Thuringa,East,No,0.74929,762,839,0.71994,0.77864
2008,Schleswig-Holstein,West,Yes,0.12368,87,477,0.09411,0.15326
2008,Schleswig-Holstein,West,No,0.60416,390,477,0.56023,0.64810
2008,Hamburg,West,Yes,0.22956,62,232,0.17533,0.28380
2008,Hamburg,West,No,0.55488,170,232,0.49079,0.61897
2008,Lower Saxony,West,Yes,0.14205,309,1471,0.12420,0.15990
2008,Lower Saxony,West,No,0.59356,1162,1471,0.56845,0.61867
2008,Bremen,West,No,0.67648,94,94,0.58140,0.77156
2008,North Rhine-Westphalia,West,Yes,0.14633,715,3240,0.13416,0.15850
2008,North Rhine-Westphalia,West,No,0.58492,2525,3240,0.56795,0.60189
2008,Hesse,West,Yes,0.12076,222,1064,0.10117,0.14035
2008,Hesse,West,No,0.57073,842,1064,0.54097,0.60048
2008,"Rhineland-Palatinate, Saarland",West,Yes,0.08966,135,908,0.07106,0.10825
2008,"Rhineland-Palatinate, Saarland",West,No,0.61555,773,908,0.58389,0.64721
2008,Baden-Wuerttemberg,West,Yes,0.16873,478,1995,0.15229,0.18517
2008,Baden-Wuerttemberg,West,No,0.55548,1517,1995,0.53367,0.57729
2008,Bavaria,West,Yes,0.16929,540,2253,0.15380,0.18478
2008,Bavaria,West,No,0.54018,1713,2253,0.51960,0.56077
2008,Berlin,West,Yes,0.11418,59,301,0.07819,0.15017
2008,Berlin,West,No,0.61419,242,301,0.55911,0.66928
2008,Berlin,East,Yes,0.12679,51,297,0.08888,0.16469
2008,Berlin,East,No,0.70088,246,297,0.64872,0.75304
2008,Brandenburg,East,Yes,0.09980,97,759,0.07846,0.12114
2008,Brandenburg,East,No,0.70931,662,759,0.67699,0.74164
2008,Mecklenburg-Western Pomerania,East,Yes,0.07246,46,441,0.04823,0.09668
2008,Mecklenburg-Western Pomerania,East,No,0.75642,395,441,0.71631,0.79653
2008,Saxony,East,Yes,0.10361,193,1331,0.08723,0.11999
2008,Saxony,East,No,0.70887,1138,1331,0.68446,0.73329
2008,Saxony-Anhalt,East,Yes,0.08003,85,765,0.06079,0.09927
2008,Saxony-Anhalt,East,No,0.76004,680,765,0.72975,0.79032
2008,Thuringa,East,Yes,0.07813,87,813,0.05967,0.09659
2008,Thuringa,East,No,0.74691,726,813,0.71701,0.77682
2010,Schleswig-Holstein,West,Yes,0.16645,141,640,0.13757,0.19533
2010,Schleswig-Holstein,West,No,0.56524,499,640,0.52680,0.60368
2010,Hamburg,West,Yes,0.22256,82,316,0.17662,0.26850
2010,Hamburg,West,No,0.52518,234,316,0.47004,0.58033
2010,Lower Saxony,West,Yes,0.13503,393,1882,0.11959,0.15048
2010,Lower Saxony,West,No,0.59576,1489,1882,0.57358,0.61793
2010,Bremen,West,No,0.69703,122,122,0.61514,0.77891
2010,North Rhine-Westphalia,West,Yes,0.15017,898,4225,0.13940,0.16094
2010,North Rhine-Westphalia,West,No,0.57854,3327,4225,0.56365,0.59343
2010,Hesse,West,Yes,0.13732,312,1375,0.11912,0.15552
2010,Hesse,West,No,0.54817,1063,1375,0.52186,0.57449
2010,"Rhineland-Palatinate, Saarland",West,Yes,0.10706,208,1111,0.08887,0.12525
2010,"Rhineland-Palatinate, Saarland",West,No,0.59187,903,1111,0.56296,0.62078
2010,Baden-Wuerttemberg,West,Yes,0.18711,631,2455,0.17168,0.20254
2010,Baden-Wuerttemberg,West,No,0.53822,1824,2455,0.51849,0.55794
2010,Bavaria,West,Yes,0.18585,777,3039,0.17202,0.19969
2010,Bavaria,West,No,0.54021,2262,3039,0.52249,0.55793
2010,Berlin,West,Yes,0.12524,78,445,0.09445,0.15603
2010,Berlin,West,No,0.62737,367,445,0.58239,0.67234
2010,Berlin,East,Yes,0.13383,58,340,0.09759,0.17008
2010,Berlin,East,No,0.71493,282,340,0.66687,0.76299
2010,Brandenburg,East,Yes,0.10859,118,873,0.08794,0.12924
2010,Brandenburg,East,No,0.68659,755,873,0.65580,0.71738
2010,Mecklenburg-Western Pomerania,East,Yes,0.08103,57,534,0.05786,0.10419
2010,Mecklenburg-Western Pomerania,East,No,0.73863,477,534,0.70133,0.77593
2010,Saxony,East,Yes,0.11132,229,1556,0.09569,0.12695
2010,Saxony,East,No,0.70070,1327,1556,0.67793,0.72346
2010,Saxony-Anhalt,East,Yes,0.10519,108,853,0.08459,0.12579
2010,Saxony-Anhalt,East,No,0.72829,745,853,0.69842,0.75816
2010,Thuringa,East,Yes,0.08205,100,883,0.06394,0.10016
2010,Thuringa,East,No,0.73169,783,883,0.70245,0.76093
2011,Schleswig-Holstein,West,Yes,0.15581,126,569,0.12598,0.18563
2011,Schleswig-Holstein,West,No,0.49648,443,569,0.45536,0.53760
2011,Hamburg,West,Yes,0.17479,62,248,0.12743,0.22216
2011,Hamburg,West,No,0.48749,186,248,0.42515,0.54983
2011,Lower Saxony,West,Yes,0.13637,378,1618,0.11965,0.15310
2011,Lower Saxony,West,No,0.52064,1240,1618,0.49629,0.54499
2011,Bremen,West,No,0.60544,91,91,0.50447,0.70642
2011,North Rhine-Westphalia,West,Yes,0.14114,801,3440,0.12950,0.15277
2011,North Rhine-Westphalia,West,No,0.51995,2639,3440,0.50325,0.53665
2011,Hesse,West,Yes,0.14622,298,1133,0.12564,0.16681
2011,Hesse,West,No,0.46140,835,1133,0.43236,0.49044
2011,"Rhineland-Palatinate, Saarland",West,Yes,0.11510,194,997,0.09528,0.13492
2011,"Rhineland-Palatinate, Saarland",West,No,0.51275,803,997,0.48171,0.54379
2011,Baden-Wuerttemberg,West,Yes,0.18023,554,2055,0.16360,0.19685
2011,Baden-Wuerttemberg,West,No,0.45863,1501,2055,0.43708,0.48018
2011,Bavaria,West,Yes,0.15017,674,2628,0.13651,0.16384
2011,Bavaria,West,No,0.49481,1954,2628,0.47569,0.51392
2011,Berlin,West,Yes,0.13996,80,338,0.10291,0.17700
2011,Berlin,West,No,0.54632,258,338,0.49317,0.59948
2011,Berlin,East,Yes,0.17529,73,315,0.13324,0.21735
2011,Berlin,East,No,0.57377,242,315,0.51907,0.62847
2011,Brandenburg,East,Yes,0.11786,128,801,0.09552,0.14021
2011,Brandenburg,East,No,0.59837,673,801,0.56440,0.63234
2011,Mecklenburg-Western Pomerania,East,Yes,0.11205,58,469,0.08347,0.14063
2011,Mecklenburg-Western Pomerania,East,No,0.63717,411,469,0.59361,0.68073
2011,Saxony,East,Yes,0.09153,203,1298,0.07584,0.10722
2011,Saxony,East,No,0.64254,1095,1298,0.61646,0.66863
2011,Saxony-Anhalt,East,Yes,0.08472,100,797,0.06537,0.10406
2011,Saxony-Anhalt,East,No,0.65490,697,797,0.62188,0.68793
2011,Thuringa,East,Yes,0.09169,110,820,0.07193,0.11146
2011,Thuringa,East,No,0.64627,710,820,0.61352,0.67902
2012,Schleswig-Holstein,West,Yes,0.14159,179,871,0.11842,0.16475
2012,Schleswig-Holstein,West,No,0.59627,692,871,0.56367,0.62887
2012,Hamburg,West,Yes,0.18680,92,363,0.14665,0.22696
2012,Hamburg,West,No,0.54018,271,363,0.48884,0.59152
2012,Lower Saxony,West,Yes,0.16056,510,2212,0.14525,0.17586
2012,Lower Saxony,West,No,0.56728,1702,2212,0.54663,0.58793
2012,Bremen,West,Yes,0.12379,39,173,0.07457,0.17300
2012,Bremen,West,No,0.67955,134,173,0.60981,0.74929
2012,North Rhine-Westphalia,West,Yes,0.15506,1053,4691,0.14470,0.16541
2012,North Rhine-Westphalia,West,No,0.56425,3638,4691,0.55005,0.57844
2012,Hesse,West,Yes,0.14782,388,1574,0.13028,0.16536
2012,Hesse,West,No,0.52419,1186,1574,0.49951,0.54887
2012,"Rhineland-Palatinate, Saarland",West,Yes,0.14792,289,1323,0.12879,0.16706
2012,"Rhineland-Palatinate, Saarland",West,No,0.55176,1034,1323,0.52495,0.57857
2012,Baden-Wuerttemberg,West,Yes,0.19985,796,2833,0.18512,0.21458
2012,Baden-Wuerttemberg,West,No,0.52010,2037,2833,0.50170,0.53850
2012,Bavaria,West,Yes,0.18458,1034,3684,0.17205,0.19711
2012,Bavaria,West,No,0.54254,2650,3684,0.52645,0.55863
2012,Berlin,West,Yes,0.18618,108,468,0.15088,0.22149
2012,Berlin,West,No,0.55212,360,468,0.50702,0.59722
2012,Berlin,East,Yes,0.14842,81,411,0.11401,0.18283
2012,Berlin,East,No,0.63805,330,411,0.59153,0.68456
2012,Brandenburg,East,Yes,0.11990,162,1006,0.09981,0.13998
2012,Brandenburg,East,No,0.67299,844,1006,0.64399,0.70200
2012,Mecklenburg-Western Pomerania,East,Yes,0.10788,79,587,0.08276,0.13300
2012,Mecklenburg-Western Pomerania,East,No,0.70449,508,587,0.66755,0.74143
2012,Saxony,East,Yes,0.13275,297,1715,0.11669,0.14881
2012,Saxony,East,No,0.66888,1418,1715,0.64660,0.69116
2012,Saxony-Anhalt,East,Yes,0.09312,120,971,0.07483,0.11141
2012,Saxony-Anhalt,East,No,0.72888,851,971,0.70091,0.75686
2012,Thuringa,East,Yes,0.09504,125,994,0.07680,0.11328
2012,Thuringa,East,No,0.70326,869,994,0.67485,0.73167
2013,Schleswig-Holstein,West,Yes,0.16627,126,511,0.13395,0.19858
2013,Schleswig-Holstein,West,No,0.44732,385,511,0.40417,0.49048
2013,Hamburg,West,Yes,0.17924,66,254,0.13198,0.22650
2013,Hamburg,West,No,0.42375,188,254,0.36286,0.48464
2013,Lower Saxony,West,Yes,0.15553,382,1500,0.13718,0.17387
2013,Lower Saxony,West,No,0.46251,1118,1500,0.43727,0.48775
2013,Bremen,West,No,0.52398,81,81,0.41454,0.63342
2013,North Rhine-Westphalia,West,Yes,0.14523,815,3063,0.13275,0.15771
2013,North Rhine-Westphalia,West,No,0.43354,2248,3063,0.41598,0.45109
