,Unnamed: 0,year,regtyp,sampreg,ple0098_v5,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
105,105,2013,Urban regions,West,No,0.72521,6202,16066,0.71281,0.74109
106,106,2013,Urban regions,East,Yes,0.20029,284,16066,0.18303,0.21695
107,107,2013,Urban regions,East,No,0.79971,1110,16066,0.75403,0.84424
108,108,2013,Rural regions,West,Yes,0.23768,813,16066,0.22149,0.25273
109,109,2013,Rural regions,West,No,0.76232,2469,16066,0.73746,0.78658
110,110,2013,Rural regions,East,Yes,0.13858,419,16066,0.12746,0.15021
111,111,2013,Rural regions,East,No,0.86142,2299,16066,0.83104,0.89091
112,112,2014,Urban regions,West,Yes,0.2547,3270,23715,0.24603,0.26327
113,113,2014,Urban regions,West,No,0.7453,10186,23715,0.72886,0.75888
114,114,2014,Urban regions,East,Yes,0.19634,333,23715,0.17332,0.21887
115,115,2014,Urban regions,East,No,0.80366,1459,23715,0.76337,0.85216
116,116,2014,Rural regions,West,Yes,0.24964,1245,23715,0.23227,0.26707
117,117,2014,Rural regions,West,No,0.75036,3845,23715,0.72347,0.7788
118,118,2014,Rural regions,East,Yes,0.15361,518,23715,0.13814,0.17039
119,119,2014,Rural regions,East,No,0.84639,2859,23715,0.81658,0.8773
120,120,2016,Urban regions,West,Yes,0.23112,2666,21203,0.22083,0.23963
121,121,2016,Urban regions,West,No,0.76888,9300,21203,0.75037,0.78947
122,122,2016,Urban regions,East,Yes,0.15176,272,21203,0.1291,0.17167
123,123,2016,Urban regions,East,No,0.84824,1358,21203,0.79646,0.90768
124,124,2016,Rural regions,West,Yes,0.23371,989,21203,0.21496,0.25112
125,125,2016,Rural regions,West,No,0.76629,3597,21203,0.73648,0.79693
126,126,2016,Rural regions,East,Yes,0.13148,417,21203,0.11615,0.1463
127,127,2016,Rural regions,East,No,0.86852,2604,21203,0.83364,0.90948
128,128,2018,Urban regions,West,Yes,0.23237,2803,22498,0.22225,0.24276
129,129,2018,Urban regions,West,No,0.76763,9836,22498,0.74764,0.78419
130,130,2018,Urban regions,East,Yes,0.1855,332,22498,0.16472,0.20737
131,131,2018,Urban regions,East,No,0.8145,1465,22498,0.76526,0.86081
132,132,2018,Rural regions,West,Yes,0.24215,1109,22498,0.22356,0.25903
133,133,2018,Rural regions,West,No,0.75785,3645,22498,0.7243,0.78866
134,134,2018,Rural regions,East,Yes,0.1564,542,22498,0.14276,0.16991
135,135,2018,Rural regions,East,No,0.8436,2766,22498,0.80529,0.88224
136,136,2020,Urban regions,West,Yes,0.23701,2907,21999,0.22574,0.24944
137,137,2020,Urban regions,West,No,0.76299,9763,21999,0.74066,0.78406
138,138,2020,Urban regions,East,Yes,0.19274,359,21999,0.17299,0.21488
139,139,2020,Urban regions,East,No,0.80726,1357,21999,0.75605,0.86727
140,140,2020,Rural regions,West,Yes,0.23888,1054,21999,0.22111,0.25554
141,141,2020,Rural regions,West,No,0.76112,3477,21999,0.72188,0.79868
142,142,2020,Rural regions,East,Yes,0.17397,519,21999,0.15715,0.19547
143,143,2020,Rural regions,East,No,0.82603,2563,21999,0.78154,0.87063
