year,bula_h,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2002,North Rhine-Westphalia,No,0.87042,3436,4025,0.86005,0.88080
2002,Hesse,Yes,0.09594,152,1338,0.08015,0.11172
2002,Hesse,No,0.90406,1186,1338,0.88828,0.91985
2002,"Rhineland-Palatinate, Saarland",Yes,0.07291,111,1156,0.05791,0.08790
2002,"Rhineland-Palatinate, Saarland",No,0.92709,1045,1156,0.91210,0.94209
2002,Baden-Wuerttemberg,Yes,0.14214,340,2363,0.12806,0.15622
2002,Baden-Wuerttemberg,No,0.85786,2023,2363,0.84378,0.87194
2002,Bavaria,Yes,0.15102,413,2629,0.13733,0.16471
2002,Bavaria,No,0.84898,2216,2629,0.83529,0.86267
2002,Berlin,Yes,0.06233,48,672,0.04404,0.08062
2002,Berlin,No,0.93767,624,672,0.91938,0.95596
2002,Brandenburg,Yes,0.05952,55,908,0.04412,0.07492
2002,Brandenburg,No,0.94048,853,908,0.92508,0.95588
2002,Mecklenburg-Western Pomerania,No,0.96502,443,443,0.94789,0.98215
2002,Saxony,Yes,0.04811,84,1526,0.03737,0.05885
2002,Saxony,No,0.95189,1442,1526,0.94115,0.96263
2002,Saxony-Anhalt,Yes,0.04312,46,912,0.02993,0.05631
2002,Saxony-Anhalt,No,0.95688,866,912,0.94369,0.97007
2002,Thuringa,Yes,0.02569,36,898,0.01534,0.03605
2002,Thuringa,No,0.97431,862,898,0.96395,0.98466
2003,Schleswig-Holstein,Yes,0.07449,52,550,0.05252,0.09645
2003,Schleswig-Holstein,No,0.92551,498,550,0.90355,0.94748
2003,Hamburg,No,0.92587,217,217,0.89093,0.96081
2003,Lower Saxony,Yes,0.10019,188,1618,0.08556,0.11483
2003,Lower Saxony,No,0.89981,1430,1618,0.88517,0.91444
2003,Bremen,No,0.93346,139,139,0.89187,0.97504
2003,North Rhine-Westphalia,Yes,0.13887,599,3854,0.12795,0.14979
2003,North Rhine-Westphalia,No,0.86113,3255,3854,0.85021,0.87205
2003,Hesse,Yes,0.08957,142,1222,0.07355,0.10559
2003,Hesse,No,0.91043,1080,1222,0.89441,0.92645
2003,"Rhineland-Palatinate, Saarland",Yes,0.08797,113,1138,0.07150,0.10443
2003,"Rhineland-Palatinate, Saarland",No,0.91203,1025,1138,0.89557,0.92850
2003,Baden-Wuerttemberg,Yes,0.13477,314,2265,0.12070,0.14883
2003,Baden-Wuerttemberg,No,0.86523,1951,2265,0.85117,0.87930
2003,Bavaria,Yes,0.14130,391,2521,0.12770,0.15491
2003,Bavaria,No,0.85870,2130,2521,0.84509,0.87230
2003,Berlin,Yes,0.07371,53,671,0.05392,0.09350
2003,Berlin,No,0.92629,618,671,0.90650,0.94608
2003,Brandenburg,Yes,0.04856,54,887,0.03441,0.06272
2003,Brandenburg,No,0.95144,833,887,0.93728,0.96559
2003,Mecklenburg-Western Pomerania,No,0.94944,450,450,0.92918,0.96971
2003,Saxony,Yes,0.05045,82,1485,0.03931,0.06159
2003,Saxony,No,0.94955,1403,1485,0.93841,0.96069
2003,Saxony-Anhalt,Yes,0.05672,52,880,0.04143,0.07201
2003,Saxony-Anhalt,No,0.94328,828,880,0.92799,0.95857
2003,Thuringa,Yes,0.03230,40,880,0.02061,0.04399
2003,Thuringa,No,0.96770,840,880,0.95601,0.97939
2004,Schleswig-Holstein,Yes,0.06749,49,544,0.04639,0.08859
2004,Schleswig-Holstein,No,0.93251,495,544,0.91141,0.95361
2004,Hamburg,No,0.92665,209,209,0.89122,0.96208
2004,Lower Saxony,Yes,0.10880,205,1596,0.09352,0.12408
2004,Lower Saxony,No,0.89120,1391,1596,0.87592,0.90648
2004,Bremen,No,0.89308,130,130,0.83976,0.94641
2004,North Rhine-Westphalia,Yes,0.14706,625,3744,0.13571,0.15840
2004,North Rhine-Westphalia,No,0.85294,3119,3744,0.84160,0.86429
2004,Hesse,Yes,0.09221,131,1166,0.07559,0.10882
2004,Hesse,No,0.90779,1035,1166,0.89118,0.92441
2004,"Rhineland-Palatinate, Saarland",Yes,0.09367,114,1098,0.07643,0.11092
2004,"Rhineland-Palatinate, Saarland",No,0.90633,984,1098,0.88908,0.92357
2004,Baden-Wuerttemberg,Yes,0.14629,331,2204,0.13154,0.16105
2004,Baden-Wuerttemberg,No,0.85371,1873,2204,0.83895,0.86846
2004,Bavaria,Yes,0.15308,390,2449,0.13882,0.16735
2004,Bavaria,No,0.84692,2059,2449,0.83265,0.86118
2004,Berlin,Yes,0.07110,54,663,0.05152,0.09068
2004,Berlin,No,0.92890,609,663,0.90932,0.94848
2004,Brandenburg,Yes,0.07025,62,842,0.05298,0.08752
2004,Brandenburg,No,0.92975,780,842,0.91248,0.94702
2004,Mecklenburg-Western Pomerania,No,0.94447,438,438,0.92300,0.96594
2004,Saxony,Yes,0.06278,111,1447,0.05028,0.07528
2004,Saxony,No,0.93722,1336,1447,0.92472,0.94972
2004,Saxony-Anhalt,Yes,0.04044,46,860,0.02727,0.05361
2004,Saxony-Anhalt,No,0.95956,814,860,0.94639,0.97273
2004,Thuringa,Yes,0.04243,52,872,0.02904,0.05582
2004,Thuringa,No,0.95757,820,872,0.94418,0.97096
2005,Schleswig-Holstein,Yes,0.06275,43,523,0.04195,0.08356
2005,Schleswig-Holstein,No,0.93725,480,523,0.91644,0.95805
2005,Hamburg,Yes,0.13243,32,242,0.08963,0.17522
2005,Hamburg,No,0.86757,210,242,0.82478,0.91037
2005,Lower Saxony,Yes,0.12243,212,1517,0.10593,0.13893
2005,Lower Saxony,No,0.87757,1305,1517,0.86107,0.89407
2005,Bremen,No,0.85930,112,112,0.79461,0.92398
2005,North Rhine-Westphalia,Yes,0.15914,614,3568,0.14714,0.17115
2005,North Rhine-Westphalia,No,0.84086,2954,3568,0.82885,0.85286
2005,Hesse,Yes,0.13024,156,1111,0.11044,0.15004
2005,Hesse,No,0.86976,955,1111,0.84996,0.88956
2005,"Rhineland-Palatinate, Saarland",Yes,0.11353,128,1036,0.09421,0.13286
2005,"Rhineland-Palatinate, Saarland",No,0.88647,908,1036,0.86714,0.90579
2005,Baden-Wuerttemberg,Yes,0.15528,334,2117,0.13985,0.17071
2005,Baden-Wuerttemberg,No,0.84472,1783,2117,0.82929,0.86015
2005,Bavaria,Yes,0.15839,397,2319,0.14353,0.17326
2005,Bavaria,No,0.84161,1922,2319,0.82674,0.85647
2005,Berlin,Yes,0.07175,50,628,0.05155,0.09195
2005,Berlin,No,0.92825,578,628,0.90805,0.94845
2005,Brandenburg,Yes,0.09278,71,819,0.07290,0.11267
2005,Brandenburg,No,0.90722,748,819,0.88733,0.92710
2005,Mecklenburg-Western Pomerania,No,0.97211,432,432,0.95657,0.98766
2005,Saxony,Yes,0.07513,129,1384,0.06124,0.08902
2005,Saxony,No,0.92487,1255,1384,0.91098,0.93876
2005,Saxony-Anhalt,Yes,0.05053,56,831,0.03563,0.06544
2005,Saxony-Anhalt,No,0.94947,775,831,0.93456,0.96437
2005,Thuringa,Yes,0.05389,62,823,0.03845,0.06933
2005,Thuringa,No,0.94611,761,823,0.93067,0.96155
2006,Schleswig-Holstein,Yes,0.10924,76,563,0.08345,0.13503
2006,Schleswig-Holstein,No,0.89076,487,563,0.86497,0.91655
2006,Hamburg,Yes,0.16199,40,253,0.11650,0.20748
2006,Hamburg,No,0.83801,213,253,0.79252,0.88350
2006,Lower Saxony,Yes,0.14034,262,1659,0.12362,0.15706
2006,Lower Saxony,No,0.85966,1397,1659,0.84294,0.87638
2006,Bremen,No,0.89681,109,109,0.83944,0.95419
2006,North Rhine-Westphalia,Yes,0.17030,714,3730,0.15823,0.18236
2006,North Rhine-Westphalia,No,0.82970,3016,3730,0.81764,0.84177
2006,Hesse,Yes,0.14110,207,1192,0.12133,0.16088
2006,Hesse,No,0.85890,985,1192,0.83912,0.87867
2006,"Rhineland-Palatinate, Saarland",Yes,0.11262,133,1073,0.09370,0.13155
2006,"Rhineland-Palatinate, Saarland",No,0.88738,940,1073,0.86845,0.90630
2006,Baden-Wuerttemberg,Yes,0.16581,417,2273,0.15051,0.18110
2006,Baden-Wuerttemberg,No,0.83419,1856,2273,0.81890,0.84949
2006,Bavaria,Yes,0.19357,523,2532,0.17817,0.20896
2006,Bavaria,No,0.80643,2009,2532,0.79104,0.82183
2006,Berlin,Yes,0.10567,71,641,0.08186,0.12949
2006,Berlin,No,0.89433,570,641,0.87051,0.91814
2006,Brandenburg,Yes,0.11619,95,874,0.09493,0.13745
2006,Brandenburg,No,0.88381,779,874,0.86255,0.90507
2006,Mecklenburg-Western Pomerania,Yes,0.05226,31,486,0.03245,0.07207
2006,Mecklenburg-Western Pomerania,No,0.94774,455,486,0.92793,0.96755
2006,Saxony,Yes,0.08963,143,1461,0.07498,0.10428
2006,Saxony,No,0.91037,1318,1461,0.89572,0.92502
2006,Saxony-Anhalt,Yes,0.06242,61,848,0.04613,0.07871
2006,Saxony-Anhalt,No,0.93758,787,848,0.92129,0.95387
2006,Thuringa,Yes,0.06001,75,869,0.04421,0.07581
2006,Thuringa,No,0.93999,794,869,0.92419,0.95579
2007,Schleswig-Holstein,Yes,0.13323,75,518,0.10394,0.16252
2007,Schleswig-Holstein,No,0.86677,443,518,0.83748,0.89606
2007,Hamburg,Yes,0.17967,46,243,0.13130,0.22804
2007,Hamburg,No,0.82033,197,243,0.77196,0.86870
2007,Lower Saxony,Yes,0.16480,267,1531,0.14621,0.18339
2007,Lower Saxony,No,0.83520,1264,1531,0.81661,0.85379
2007,Bremen,No,0.86478,107,107,0.79969,0.92988
2007,North Rhine-Westphalia,Yes,0.18456,706,3441,0.17159,0.19752
2007,North Rhine-Westphalia,No,0.81544,2735,3441,0.80248,0.82841
2007,Hesse,Yes,0.15714,216,1113,0.13575,0.17853
2007,Hesse,No,0.84286,897,1113,0.82147,0.86425
2007,"Rhineland-Palatinate, Saarland",Yes,0.12990,137,972,0.10876,0.15105
2007,"Rhineland-Palatinate, Saarland",No,0.87010,835,972,0.84895,0.89124
2007,Baden-Wuerttemberg,Yes,0.18870,416,2076,0.17186,0.20553
2007,Baden-Wuerttemberg,No,0.81130,1660,2076,0.79447,0.82814
2007,Bavaria,Yes,0.20248,506,2396,0.18638,0.21857
2007,Bavaria,No,0.79752,1890,2396,0.78143,0.81362
2007,Berlin,Yes,0.11522,87,620,0.09007,0.14038
2007,Berlin,No,0.88478,533,620,0.85962,0.90993
2007,Brandenburg,Yes,0.12329,97,792,0.10038,0.14620
2007,Brandenburg,No,0.87671,695,792,0.85380,0.89962
2007,Mecklenburg-Western Pomerania,Yes,0.05923,37,454,0.03749,0.08097
2007,Mecklenburg-Western Pomerania,No,0.94077,417,454,0.91903,0.96251
2007,Saxony,Yes,0.10368,161,1388,0.08764,0.11972
2007,Saxony,No,0.89632,1227,1388,0.88028,0.91236
2007,Saxony-Anhalt,Yes,0.06854,65,804,0.05106,0.08602
2007,Saxony-Anhalt,No,0.93146,739,804,0.91398,0.94894
2007,Thuringa,Yes,0.07179,77,839,0.05432,0.08927
2007,Thuringa,No,0.92821,762,839,0.91073,0.94568
2008,Schleswig-Holstein,Yes,0.16993,87,477,0.13619,0.20367
2008,Schleswig-Holstein,No,0.83007,390,477,0.79633,0.86381
2008,Hamburg,Yes,0.29265,62,232,0.23397,0.35132
2008,Hamburg,No,0.70735,170,232,0.64868,0.76603
2008,Lower Saxony,Yes,0.19310,309,1471,0.17292,0.21328
2008,Lower Saxony,No,0.80690,1162,1471,0.78672,0.82708
2008,Bremen,No,0.82292,94,94,0.74534,0.90051
2008,North Rhine-Westphalia,Yes,0.20011,715,3240,0.18633,0.21389
2008,North Rhine-Westphalia,No,0.79989,2525,3240,0.78611,0.81367
2008,Hesse,Yes,0.17464,222,1064,0.15181,0.19746
2008,Hesse,No,0.82536,842,1064,0.80254,0.84819
2008,"Rhineland-Palatinate, Saarland",Yes,0.12714,135,908,0.10546,0.14882
2008,"Rhineland-Palatinate, Saarland",No,0.87286,773,908,0.85118,0.89454
2008,Baden-Wuerttemberg,Yes,0.23299,478,1995,0.21443,0.25154
2008,Baden-Wuerttemberg,No,0.76701,1517,1995,0.74846,0.78557
2008,Bavaria,Yes,0.23861,540,2253,0.22101,0.25622
2008,Bavaria,No,0.76139,1713,2253,0.74378,0.77899
2008,Berlin,Yes,0.15510,110,598,0.12606,0.18414
2008,Berlin,No,0.84490,488,598,0.81586,0.87394
2008,Brandenburg,Yes,0.12335,97,759,0.09994,0.14676
2008,Brandenburg,No,0.87665,662,759,0.85324,0.90006
2008,Mecklenburg-Western Pomerania,Yes,0.08742,46,441,0.06102,0.11381
2008,Mecklenburg-Western Pomerania,No,0.91258,395,441,0.88619,0.93898
2008,Saxony,Yes,0.12753,193,1331,0.10960,0.14545
2008,Saxony,No,0.87247,1138,1331,0.85455,0.89040
2008,Saxony-Anhalt,Yes,0.09527,85,765,0.07445,0.11609
2008,Saxony-Anhalt,No,0.90473,680,765,0.88391,0.92555
2008,Thuringa,Yes,0.09470,87,813,0.07456,0.11484
2008,Thuringa,No,0.90530,726,813,0.88516,0.92544
2010,Schleswig-Holstein,Yes,0.22749,141,640,0.19499,0.25999
2010,Schleswig-Holstein,No,0.77251,499,640,0.74001,0.80501
2010,Hamburg,Yes,0.29764,82,316,0.24715,0.34814
2010,Hamburg,No,0.70236,234,316,0.65186,0.75285
2010,Lower Saxony,Yes,0.18478,393,1882,0.16724,0.20232
2010,Lower Saxony,No,0.81522,1489,1882,0.79768,0.83276
2010,Bremen,No,0.83166,122,122,0.76499,0.89833
2010,North Rhine-Westphalia,Yes,0.20608,898,4225,0.19388,0.21827
2010,North Rhine-Westphalia,No,0.79392,3327,4225,0.78173,0.80612
2010,Hesse,Yes,0.20033,312,1375,0.17916,0.22149
2010,Hesse,No,0.79967,1063,1375,0.77851,0.82084
2010,"Rhineland-Palatinate, Saarland",Yes,0.15318,208,1111,0.13199,0.17437
2010,"Rhineland-Palatinate, Saarland",No,0.84682,903,1111,0.82563,0.86801
2010,Baden-Wuerttemberg,Yes,0.25797,631,2455,0.24066,0.27528
2010,Baden-Wuerttemberg,No,0.74203,1824,2455,0.72472,0.75934
2010,Bavaria,Yes,0.25597,777,3039,0.24045,0.27149
2010,Bavaria,No,0.74403,2262,3039,0.72851,0.75955
2010,Berlin,Yes,0.16269,136,785,0.13685,0.18852
2010,Berlin,No,0.83731,649,785,0.81148,0.86315
2010,Brandenburg,Yes,0.13656,118,873,0.11377,0.15935
2010,Brandenburg,No,0.86344,755,873,0.84065,0.88623
2010,Mecklenburg-Western Pomerania,Yes,0.09885,57,534,0.07351,0.12419
2010,Mecklenburg-Western Pomerania,No,0.90115,477,534,0.87581,0.92649
2010,Saxony,Yes,0.13709,229,1556,0.11999,0.15419
2010,Saxony,No,0.86291,1327,1556,0.84581,0.88001
2010,Saxony-Anhalt,Yes,0.12620,108,853,0.10390,0.14850
2010,Saxony-Anhalt,No,0.87380,745,853,0.85150,0.89610
2010,Thuringa,Yes,0.10083,100,883,0.08096,0.12070
2010,Thuringa,No,0.89917,783,883,0.87930,0.91904
2011,Schleswig-Holstein,Yes,0.23886,126,569,0.20380,0.27393
2011,Schleswig-Holstein,No,0.76114,443,569,0.72607,0.79620
2011,Hamburg,Yes,0.26393,62,248,0.20896,0.31889
2011,Hamburg,No,0.73607,186,248,0.68111,0.79104
2011,Lower Saxony,Yes,0.20757,378,1618,0.18780,0.22733
2011,Lower Saxony,No,0.79243,1240,1618,0.77267,0.81220
2011,Bremen,No,0.85760,91,91,0.78541,0.92980
2011,North Rhine-Westphalia,Yes,0.21349,801,3440,0.19980,0.22719
2011,North Rhine-Westphalia,No,0.78651,2639,3440,0.77281,0.80020
2011,Hesse,Yes,0.24065,298,1133,0.21575,0.26555
2011,Hesse,No,0.75935,835,1133,0.73445,0.78425
2011,"Rhineland-Palatinate, Saarland",Yes,0.18332,194,997,0.15929,0.20735
2011,"Rhineland-Palatinate, Saarland",No,0.81668,803,997,0.79265,0.84071
2011,Baden-Wuerttemberg,Yes,0.28211,554,2055,0.26265,0.30157
2011,Baden-Wuerttemberg,No,0.71789,1501,2055,0.69843,0.73735
2011,Bavaria,Yes,0.23284,674,2628,0.21667,0.24900
2011,Bavaria,No,0.76716,1954,2628,0.75100,0.78333
2011,Berlin,Yes,0.21747,153,653,0.18580,0.24913
2011,Berlin,No,0.78253,500,653,0.75087,0.81420
2011,Brandenburg,Yes,0.16456,128,801,0.13887,0.19025
2011,Brandenburg,No,0.83544,673,801,0.80975,0.86113
2011,Mecklenburg-Western Pomerania,Yes,0.14956,58,469,0.11724,0.18187
2011,Mecklenburg-Western Pomerania,No,0.85044,411,469,0.81813,0.88276
2011,Saxony,Yes,0.12469,203,1298,0.10671,0.14267
2011,Saxony,No,0.87531,1095,1298,0.85733,0.89329
2011,Saxony-Anhalt,Yes,0.11454,100,797,0.09242,0.13667
2011,Saxony-Anhalt,No,0.88546,697,797,0.86333,0.90758
2011,Thuringa,Yes,0.12425,110,820,0.10166,0.14685
2011,Thuringa,No,0.87575,710,820,0.85315,0.89834
2012,Schleswig-Holstein,Yes,0.19189,179,871,0.16572,0.21806
2012,Schleswig-Holstein,No,0.80811,692,871,0.78194,0.83428
2012,Hamburg,Yes,0.25696,92,363,0.21195,0.30197
2012,Hamburg,No,0.74304,271,363,0.69803,0.78805
2012,Lower Saxony,Yes,0.22059,510,2212,0.20331,0.23788
2012,Lower Saxony,No,0.77941,1702,2212,0.76212,0.79669
2012,Bremen,Yes,0.15409,39,173,0.10013,0.20805
2012,Bremen,No,0.84591,134,173,0.79195,0.89987
2012,North Rhine-Westphalia,Yes,0.21556,1053,4691,0.20380,0.22733
2012,North Rhine-Westphalia,No,0.78444,3638,4691,0.77267,0.79620
2012,Hesse,Yes,0.21997,388,1574,0.19950,0.24044
2012,Hesse,No,0.78003,1186,1574,0.75956,0.80050
2012,"Rhineland-Palatinate, Saarland",Yes,0.21142,289,1323,0.18941,0.23343
2012,"Rhineland-Palatinate, Saarland",No,0.78858,1034,1323,0.76657,0.81059
2012,Baden-Wuerttemberg,Yes,0.27759,796,2833,0.26110,0.29408
2012,Baden-Wuerttemberg,No,0.72241,2037,2833,0.70592,0.73890
2012,Bavaria,Yes,0.25385,1034,3684,0.23979,0.26790
2012,Bavaria,No,0.74615,2650,3684,0.73210,0.76021
2012,Berlin,Yes,0.22379,189,879,0.19622,0.25136
2012,Berlin,No,0.77621,690,879,0.74864,0.80378
2012,Brandenburg,Yes,0.15122,162,1006,0.12907,0.17337
2012,Brandenburg,No,0.84878,844,1006,0.82663,0.87093
2012,Mecklenburg-Western Pomerania,Yes,0.13280,79,587,0.10532,0.16027
2012,Mecklenburg-Western Pomerania,No,0.86720,508,587,0.83973,0.89468
2012,Saxony,Yes,0.16560,297,1715,0.14800,0.18320
2012,Saxony,No,0.83440,1418,1715,0.81680,0.85200
2012,Saxony-Anhalt,Yes,0.11329,120,971,0.09334,0.13323
2012,Saxony-Anhalt,No,0.88671,851,971,0.86677,0.90666
2012,Thuringa,Yes,0.11905,125,994,0.09891,0.13920
2012,Thuringa,No,0.88095,869,994,0.86080,0.90109
2013,Schleswig-Holstein,Yes,0.27098,126,511,0.23240,0.30955
2013,Schleswig-Holstein,No,0.72902,385,511,0.69045,0.76760
2013,Hamburg,Yes,0.29725,66,254,0.24094,0.35357
2013,Hamburg,No,0.70275,188,254,0.64643,0.75906
2013,Lower Saxony,Yes,0.25165,382,1500,0.22968,0.27361
2013,Lower Saxony,No,0.74835,1118,1500,0.72639,0.77032
2013,Bremen,No,0.85161,81,81,0.77371,0.92951
2013,North Rhine-Westphalia,Yes,0.25093,815,3063,0.23557,0.26629
2013,North Rhine-Westphalia,No,0.74907,2248,3063,0.73371,0.76443
2013,Hesse,Yes,0.27657,318,1052,0.24952,0.30361
2013,Hesse,No,0.72343,734,1052,0.69639,0.75048
2013,"Rhineland-Palatinate, Saarland",Yes,0.21952,207,911,0.19262,0.24641
2013,"Rhineland-Palatinate, Saarland",No,0.78048,704,911,0.75359,0.80738
2013,Baden-Wuerttemberg,Yes,0.28546,520,1769,0.26440,0.30651
2013,Baden-Wuerttemberg,No,0.71454,1249,1769,0.69349,0.73560
2013,Bavaria,Yes,0.29378,733,2432,0.27568,0.31189
2013,Bavaria,No,0.70622,1699,2432,0.68811,0.72432
2013,Berlin,Yes,0.25443,166,645,0.22079,0.28806
2013,Berlin,No,0.74557,479,645,0.71194,0.77921
2013,Brandenburg,Yes,0.15765,126,722,0.13105,0.18425
2013,Brandenburg,No,0.84235,596,722,0.81575,0.86895
2013,Mecklenburg-Western Pomerania,Yes,0.13827,61,415,0.10502,0.17153
2013,Mecklenburg-Western Pomerania,No,0.86173,354,415,0.82847,0.89498
2013,Saxony,Yes,0.15985,229,1235,0.13941,0.18030
2013,Saxony,No,0.84015,1006,1235,0.81970,0.86059
2013,Saxony-Anhalt,Yes,0.12847,106,709,0.10382,0.15311
2013,Saxony-Anhalt,No,0.87153,603,709,0.84689,0.89618
2013,Thuringa,Yes,0.14290,108,744,0.11774,0.16807
2013,Thuringa,No,0.85710,636,744,0.83193,0.88226
2014,Schleswig-Holstein,Yes,0.25986,187,824,0.22990,0.28983
2014,Schleswig-Holstein,No,0.74014,637,824,0.71017,0.77010
2014,Hamburg,Yes,0.25980,79,374,0.21529,0.30430
2014,Hamburg,No,0.74020,295,374,0.69570,0.78471
2014,Lower Saxony,Yes,0.26405,532,2287,0.24597,0.28212
2014,Lower Saxony,No,0.73595,1755,2287,0.71788,0.75403
2014,Bremen,Yes,0.16008,35,198,0.10888,0.21129
2014,Bremen,No,0.83992,163,198,0.78871,0.89112
2014,North Rhine-Westphalia,Yes,0.22276,1038,4878,0.21108,0.23444
2014,North Rhine-Westphalia,No,0.77724,3840,4878,0.76556,0.78892
2014,Hesse,Yes,0.22442,398,1597,0.20396,0.24489
2014,Hesse,No,0.77558,1199,1597,0.75511,0.79604
2014,"Rhineland-Palatinate, Saarland",Yes,0.22749,306,1377,0.20534,0.24964
