"ple0098_v5","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2000","AkademikerIn","weiblich","183","","",""
"Nein","2000","(noch) kein Abschluss","maennlich","355","0.93479361516713","0.909772006933797","0.959815223400463"
"Nein","2000","(noch) kein Abschluss","weiblich","431","0.967602778163599","0.951207774344191","0.983997781983006"
"Nein","2000","Hauptschule","maennlich","4519","0.942887423716721","0.936309565377095","0.949465282056347"
"Nein","2000","Hauptschule","weiblich","4991","0.936016879395144","0.929429028849011","0.942604729941277"
"Nein","2000","Realschule","maennlich","2129","","",""
"Nein","2000","Realschule","weiblich","2898","","",""
"Nein","2000","(Fach-)Abitur","maennlich","811","0.869990154231342","0.848210767603339","0.891769540859345"
"Nein","2000","(Fach-)Abitur","weiblich","968","0.888237552482439","0.869567224509881","0.906907880454997"
"Nein","2000","AkademikerIn","maennlich","1235","","",""
"Nein","2000","AkademikerIn","weiblich","1091","","",""
"Ja","2001","(noch) kein Abschluss","maennlich","15","","",""
"Ja","2001","(noch) kein Abschluss","weiblich","21","","",""
"Ja","2001","Hauptschule","maennlich","252","","",""
"Ja","2001","Hauptschule","weiblich","276","","",""
"Ja","2001","Realschule","maennlich","180","","",""
"Ja","2001","Realschule","weiblich","365","0.139266478010282","0.126971130825613","0.151561825194951"
"Ja","2001","(Fach-)Abitur","maennlich","87","0.120412757434741","0.0985601126961593","0.142265402173323"
"Ja","2001","(Fach-)Abitur","weiblich","141","","",""
"Ja","2001","AkademikerIn","maennlich","218","","",""
"Ja","2001","AkademikerIn","weiblich","162","","",""
"Nein","2001","(noch) kein Abschluss","maennlich","337","0.941016775476837","0.916405184003151","0.965628366950524"
"Nein","2001","(noch) kein Abschluss","weiblich","392","0.950053041918756","0.929044229017415","0.971061854820097"
"Nein","2001","Hauptschule","maennlich","3966","0.935427178517115","0.928010240034628","0.942844116999602"
"Nein","2001","Hauptschule","weiblich","4386","0.937125661169265","0.930157830513702","0.944093491824828"
"Nein","2001","Realschule","maennlich","1952","","",""
"Nein","2001","Realschule","weiblich","2681","","",""
"Nein","2001","(Fach-)Abitur","maennlich","765","0.879587242565259","0.857734597826677","0.901439887303841"
"Nein","2001","(Fach-)Abitur","weiblich","911","0.866341500039328","0.845778661195048","0.886904338883607"
"Nein","2001","AkademikerIn","maennlich","1152","","",""
"Nein","2001","AkademikerIn","weiblich","1026","","",""
"Ja","2002","(noch) kein Abschluss","maennlich","20","","",""
"Ja","2002","(noch) kein Abschluss","weiblich","26","","",""
"Ja","2002","Hauptschule","maennlich","278","","",""
"Ja","2002","Hauptschule","weiblich","322","0.0729412918776974","0.0652820703777518","0.0806005133776429"
"Ja","2002","Realschule","maennlich","236","","",""
"Ja","2002","Realschule","weiblich","470","0.150256412083437","0.137766272911866","0.162746551255008"
"Ja","2002","(Fach-)Abitur","maennlich","108","","",""
"Ja","2002","(Fach-)Abitur","weiblich","183","","",""
"Ja","2002","AkademikerIn","maennlich","318","0.193695275920957","0.174065610321257","0.213324941520657"
"Ja","2002","AkademikerIn","weiblich","226","","",""
"Nein","2002","(noch) kein Abschluss","maennlich","338","0.956684745428807","0.93559790858196","0.977771582275654"
"Nein","2002","(noch) kein Abschluss","weiblich","393","0.961272536888107","0.942797986771759","0.979747087004455"
"Nein","2002","Hauptschule","maennlich","3701","0.933300271476642","0.925547912929348","0.941052630023936"
"Nein","2002","Hauptschule","weiblich","4106","0.927058708122303","0.919399486622357","0.934717929622248"
"Nein","2002","Realschule","maennlich","1915","","",""
"Nein","2002","Realschule","weiblich","2674","","",""
"Nein","2002","(Fach-)Abitur","maennlich","793","0.888701532420414","0.868165891942832","0.909237172897996"
"Nein","2002","(Fach-)Abitur","weiblich","942","0.85583579050858","0.835310194370262","0.876361386646898"
"Nein","2002","AkademikerIn","maennlich","1239","","",""
"Nein","2002","AkademikerIn","weiblich","1091","","",""
"Ja","2003","(noch) kein Abschluss","maennlich","22","","",""
"Ja","2003","(noch) kein Abschluss","weiblich","27","","",""
"Ja","2003","Hauptschule","maennlich","266","","",""
"Ja","2003","Hauptschule","weiblich","314","0.0724488919299508","0.0645996832110674","0.0802981006488341"
"Ja","2003","Realschule","maennlich","218","","",""
"Ja","2003","Realschule","weiblich","449","0.153561002046081","0.140728191183414","0.166393812908747"
"Ja","2003","(Fach-)Abitur","maennlich","111","","",""
"Ja","2003","(Fach-)Abitur","weiblich","186","","",""
"Ja","2003","AkademikerIn","maennlich","301","0.198210300252484","0.177907127596121","0.218513472908848"
"Ja","2003","AkademikerIn","weiblich","233","","",""
"Nein","2003","(noch) kein Abschluss","maennlich","327","0.93801688786398","0.912719400054411","0.963314375673549"
"Nein","2003","(noch) kein Abschluss","weiblich","386","0.956740046019228","0.937119410600677","0.976360681437778"
"Nein","2003","Hauptschule","maennlich","3513","0.935971037744003","0.928165926779305","0.943776148708702"
"Nein","2003","Hauptschule","weiblich","3876","0.927551108070049","0.919701899351166","0.935400316788932"
"Nein","2003","Realschule","maennlich","1875","","",""
"Nein","2003","Realschule","weiblich","2583","","",""
"Nein","2003","(Fach-)Abitur","maennlich","756","0.896472657633936","0.876194214973858","0.916751100294015"
"Nein","2003","(Fach-)Abitur","weiblich","927","0.850767025465988","0.829833699746473","0.871700351185503"
"Nein","2003","AkademikerIn","maennlich","1180","","",""
"Nein","2003","AkademikerIn","weiblich","1053","","",""
"Ja","2004","(noch) kein Abschluss","maennlich","22","","",""
"Ja","2004","(noch) kein Abschluss","weiblich","30","0.0436945201062817","0.0239561498111291","0.0634328904014342"
"Ja","2004","Hauptschule","maennlich","276","","",""
"Ja","2004","Hauptschule","weiblich","320","0.074941518994049","0.0667738399191865","0.0831091980689115"
"Ja","2004","Realschule","maennlich","230","","",""
"Ja","2004","Realschule","weiblich","451","0.158356530180805","0.145222493937848","0.171490566423763"
"Ja","2004","(Fach-)Abitur","maennlich","124","","",""
"Ja","2004","(Fach-)Abitur","weiblich","207","","",""
"Ja","2004","AkademikerIn","maennlich","322","0.216653276890994","0.195375488202599","0.237931065579389"
"Ja","2004","AkademikerIn","weiblich","241","","",""
"Nein","2004","(noch) kein Abschluss","maennlich","321","0.926350333615187","0.898708041376278","0.953992625854096"
"Nein","2004","(noch) kein Abschluss","weiblich","382","0.956305479893718","0.936567109598566","0.976043850188871"
"Nein","2004","Hauptschule","maennlich","3339","0.926780743556857","0.918289034653657","0.935272452460057"
"Nein","2004","Hauptschule","weiblich","3672","0.925058481005951","0.916890801931089","0.933226160080813"
"Nein","2004","Realschule","maennlich","1787","","",""
"Nein","2004","Realschule","weiblich","2517","","",""
"Nein","2004","(Fach-)Abitur","maennlich","739","0.879527493092054","0.857809915752106","0.901245070432002"
"Nein","2004","(Fach-)Abitur","weiblich","914","0.834419279776519","0.81266010936497","0.856178450188067"
"Nein","2004","AkademikerIn","maennlich","1118","","",""
"Nein","2004","AkademikerIn","weiblich","1036","","",""
"Ja","2005","(noch) kein Abschluss","maennlich","22","","",""
"Ja","2005","(noch) kein Abschluss","weiblich","23","","",""
"Ja","2005","Hauptschule","maennlich","283","","",""
"Ja","2005","Hauptschule","weiblich","333","0.0928897276374092","0.0835729487932725","0.102206506481546"
"Ja","2005","Realschule","maennlich","246","","",""
"Ja","2005","Realschule","weiblich","482","0.17272467568353","0.158795229637239","0.186654121729822"
"Ja","2005","(Fach-)Abitur","maennlich","121","","",""
"Ja","2005","(Fach-)Abitur","weiblich","224","","",""
"Ja","2005","AkademikerIn","maennlich","309","0.217266245310263","0.195594809442278","0.238937681178247"
"Ja","2005","AkademikerIn","weiblich","248","","",""
"Nein","2005","(noch) kein Abschluss","maennlich","318","0.929977024154237","0.902852319143234","0.95710172916524"
"Nein","2005","(noch) kein Abschluss","weiblich","385","0.949197472627156","0.927889655770031","0.970505289484281"
"Nein","2005","Hauptschule","maennlich","3096","0.920457230683034","0.911333842461357","0.92958061890471"
"Nein","2005","Hauptschule","weiblich","3396","0.907110272362591","0.897793493518454","0.916427051206728"
"Nein","2005","Realschule","maennlich","1664","","",""
"Nein","2005","Realschule","weiblich","2347","","",""
"Nein","2005","(Fach-)Abitur","maennlich","699","0.86434602480542","0.840909066536767","0.887782983074073"
"Nein","2005","(Fach-)Abitur","weiblich","873","0.814807312520642","0.79182021420698","0.837794410834305"
"Nein","2005","AkademikerIn","maennlich","1082","","",""
"Nein","2005","AkademikerIn","weiblich","1013","","",""
"Ja","2006","(noch) kein Abschluss","maennlich","17","","",""
"Ja","2006","(noch) kein Abschluss","weiblich","15","","",""
"Ja","2006","Hauptschule","maennlich","360","0.0863252142609922","0.077182845429996","0.0954675830919884"
"Ja","2006","Hauptschule","weiblich","407","0.097987649066795","0.0887501792442761","0.107225118889314"
"Ja","2006","Realschule","maennlich","298","","",""
"Ja","2006","Realschule","weiblich","608","0.202450126431274","0.188182562891444","0.216717689971104"
"Ja","2006","(Fach-)Abitur","maennlich","145","","",""
"Ja","2006","(Fach-)Abitur","weiblich","279","","",""
"Ja","2006","AkademikerIn","maennlich","392","0.256878493818029","0.235007384983791","0.278749602652267"
"Ja","2006","AkademikerIn","weiblich","312","0.208310003586881","0.186984211309206","0.229635795864556"
"Nein","2006","(noch) kein Abschluss","maennlich","220","","",""
"Nein","2006","(noch) kein Abschluss","weiblich","277","","",""
"Nein","2006","Hauptschule","maennlich","3265","0.913674785739008","0.904532416908012","0.922817154570004"
"Nein","2006","Hauptschule","weiblich","3572","0.902012350933205","0.892774881110686","0.911249820755724"
"Nein","2006","Realschule","maennlich","1726","","",""
"Nein","2006","Realschule","weiblich","2439","","",""
"Nein","2006","(Fach-)Abitur","maennlich","701","0.825762876760363","0.80020287185366","0.851322881667065"
"Nein","2006","(Fach-)Abitur","weiblich","936","0.801299284749025","0.778862684780092","0.823735884717959"
"Nein","2006","AkademikerIn","maennlich","1141","","",""
"Nein","2006","AkademikerIn","weiblich","1081","","",""
"Ja","2007","(noch) kein Abschluss","maennlich","10","","",""
"Ja","2007","(noch) kein Abschluss","weiblich","20","","",""
"Ja","2007","Hauptschule","maennlich","352","0.0944169079768934","0.0844267308263643","0.104407085127422"
"Ja","2007","Hauptschule","weiblich","417","0.11570441551021","0.105242430749092","0.126166400271328"
"Ja","2007","Realschule","maennlich","305","0.154039868908245","0.137850760715442","0.170228977101048"
"Ja","2007","Realschule","weiblich","617","0.219567165830692","0.204425175688491","0.234709155972893"
"Ja","2007","(Fach-)Abitur","maennlich","151","","",""
"Ja","2007","(Fach-)Abitur","weiblich","274","","",""
"Ja","2007","AkademikerIn","maennlich","397","0.269312339333921","0.246495326026883","0.292129352640958"
"Ja","2007","AkademikerIn","weiblich","338","0.236030622188237","0.21348707179817","0.258574172578305"
"Nein","2007","(noch) kein Abschluss","maennlich","192","","",""
"Nein","2007","(noch) kein Abschluss","weiblich","245","","",""
"Nein","2007","Hauptschule","maennlich","2939","","",""
"Nein","2007","Hauptschule","weiblich","3174","0.88429558448979","0.873833599728671","0.894757569250908"
"Nein","2007","Realschule","maennlich","1605","","",""
"Nein","2007","Realschule","weiblich","2254","","",""
"Nein","2007","(Fach-)Abitur","maennlich","669","0.819200468646246","0.792859307750526","0.845541629541966"
"Nein","2007","(Fach-)Abitur","weiblich","855","0.77314095615523","0.748711797573127","0.797570114737332"
"Nein","2007","AkademikerIn","maennlich","1055","","",""
"Nein","2007","AkademikerIn","weiblich","1025","","",""
"Ja","2008","(noch) kein Abschluss","maennlich","19","","",""
"Ja","2008","(noch) kein Abschluss","weiblich","21","","",""
"Ja","2008","Hauptschule","maennlich","381","0.117768745755842","0.106372204804584","0.1291652867071"
"Ja","2008","Hauptschule","weiblich","475","0.13991006208175","0.128203312498552","0.151616811664948"
"Ja","2008","Realschule","maennlich","327","0.174287910210405","0.156911827632124","0.191663992788686"
"Ja","2008","Realschule","weiblich","679","0.250638631561328","0.234378802382918","0.266898460739738"
"Ja","2008","(Fach-)Abitur","maennlich","154","","",""
"Ja","2008","(Fach-)Abitur","weiblich","286","","",""
"Ja","2008","AkademikerIn","maennlich","427","0.314708095181294","0.290545217728833","0.338870972633755"
"Ja","2008","AkademikerIn","weiblich","378","0.287161182508147","0.262726103893705","0.311596261122589"
"Nein","2008","(noch) kein Abschluss","maennlich","196","","",""
"Nein","2008","(noch) kein Abschluss","weiblich","225","","",""
"Nein","2008","Hauptschule","maennlich","2692","","",""
"Nein","2008","Hauptschule","weiblich","2898","","",""
"Nein","2008","Realschule","maennlich","1504","","",""
"Nein","2008","Realschule","weiblich","2050","","",""
"Nein","2008","(Fach-)Abitur","maennlich","608","0.79821207135327","0.769716501777179","0.82670764092936"
"Nein","2008","(Fach-)Abitur","weiblich","773","0.747810482930608","0.721655201318702","0.773965764542515"
"Nein","2008","AkademikerIn","maennlich","992","0.685291904818706","0.661129027366245","0.709454782271167"
"Nein","2008","AkademikerIn","weiblich","939","0.712838817491853","0.688403738877411","0.737273896106295"
"Ja","2009","(noch) kein Abschluss","maennlich","","","",""
"Ja","2009","(noch) kein Abschluss","weiblich","","","",""
"Ja","2009","Hauptschule","maennlich","","","",""
"Ja","2009","Hauptschule","weiblich","","","",""
"Ja","2009","Realschule","maennlich","","","",""
"Ja","2009","Realschule","weiblich","","","",""
"Ja","2009","(Fach-)Abitur","maennlich","","","",""
"Ja","2009","(Fach-)Abitur","weiblich","","","",""
"Ja","2009","AkademikerIn","maennlich","","","",""
"Ja","2009","AkademikerIn","weiblich","","","",""
"Nein","2009","(noch) kein Abschluss","maennlich","","","",""
"Nein","2009","(noch) kein Abschluss","weiblich","","","",""
"Nein","2009","Hauptschule","maennlich","","","",""
"Nein","2009","Hauptschule","weiblich","","","",""
"Nein","2009","Realschule","maennlich","","","",""
"Nein","2009","Realschule","weiblich","","","",""
"Nein","2009","(Fach-)Abitur","maennlich","","","",""
"Nein","2009","(Fach-)Abitur","weiblich","","","",""
"Nein","2009","AkademikerIn","maennlich","","","",""
"Nein","2009","AkademikerIn","weiblich","","","",""
"Ja","2010","(noch) kein Abschluss","maennlich","36","0.0760162972383826","0.0470691569153168","0.104963437561448"
"Ja","2010","(noch) kein Abschluss","weiblich","29","","",""
"Ja","2010","Hauptschule","maennlich","458","0.123027051160611","0.111987836435001","0.134066265886221"
"Ja","2010","Hauptschule","weiblich","506","0.141763445150631","0.130575596877911","0.152951293423351"
"Ja","2010","Realschule","maennlich","434","0.202199785425667","0.185681044439554","0.21871852641178"
"Ja","2010","Realschule","weiblich","952","0.25798124862341","0.244246247982761","0.271716249264059"
"Ja","2010","(Fach-)Abitur","maennlich","220","","",""
"Ja","2010","(Fach-)Abitur","weiblich","446","0.278714183476175","0.257099698318672","0.300328668633679"
"Ja","2010","AkademikerIn","maennlich","530","0.341807105160198","0.319410995243305","0.36420321507709"
"Ja","2010","AkademikerIn","weiblich","563","0.305382383737403","0.284496418919506","0.326268348555299"
"Nein","2010","(noch) kein Abschluss","maennlich","286","","",""
"Nein","2010","(noch) kein Abschluss","weiblich","331","0.927101814568363","0.900247200513802","0.953956428622924"
"Nein","2010","Hauptschule","maennlich","2943","","",""
"Nein","2010","Hauptschule","weiblich","3228","0.858236554849369","0.847048706576649","0.869424403122089"
"Nein","2010","Realschule","maennlich","1837","","",""
"Nein","2010","Realschule","weiblich","2946","","",""
"Nein","2010","(Fach-)Abitur","maennlich","790","0.772631255372294","0.746782542497811","0.798479968246777"
"Nein","2010","(Fach-)Abitur","weiblich","1207","","",""
"Nein","2010","AkademikerIn","maennlich","1193","","",""
"Nein","2010","AkademikerIn","weiblich","1305","","",""
"Ja","2011","(noch) kein Abschluss","maennlich","29","","",""
"Ja","2011","(noch) kein Abschluss","weiblich","25","","",""
"Ja","2011","Hauptschule","maennlich","453","0.137727366080594","0.125712000969328","0.149742731191859"
"Ja","2011","Hauptschule","weiblich","550","0.157592892144188","0.145625723028784","0.169560061259592"
"Ja","2011","Realschule","maennlich","422","0.208776835449538","0.190769753949216","0.226783916949861"
"Ja","2011","Realschule","weiblich","812","0.271899612663623","0.255881589518199","0.287917635809047"
"Ja","2011","(Fach-)Abitur","maennlich","179","","",""
"Ja","2011","(Fach-)Abitur","weiblich","354","0.278959377759031","0.25377247322215","0.304146282295912"
"Ja","2011","AkademikerIn","maennlich","510","0.35013076303795","0.326275697840118","0.373985828235782"
"Ja","2011","AkademikerIn","weiblich","477","0.317332983019884","0.293499289740888","0.341166676298879"
"Nein","2011","(noch) kein Abschluss","maennlich","195","","",""
"Nein","2011","(noch) kein Abschluss","weiblich","233","","",""
"Nein","2011","Hauptschule","maennlich","2707","","",""
"Nein","2011","Hauptschule","weiblich","3011","0.842407107855812","0.830439938740408","0.854374276971216"
"Nein","2011","Realschule","maennlich","1535","","",""
"Nein","2011","Realschule","weiblich","2152","","",""
"Nein","2011","(Fach-)Abitur","maennlich","670","0.793652338120594","0.766431018677311","0.820873657563876"
"Nein","2011","(Fach-)Abitur","weiblich","864","0.721040622240969","0.695853717704088","0.74622752677785"
"Nein","2011","AkademikerIn","maennlich","1026","","",""
"Nein","2011","AkademikerIn","weiblich","988","0.682667016980116","0.658833323701121","0.706500710259112"
"Ja","2012","(noch) kein Abschluss","maennlich","33","0.061463946019853","0.0364442424590446","0.0864836495806613"
"Ja","2012","(noch) kein Abschluss","weiblich","31","0.0796746237789631","0.0544585807358408","0.104890666822085"
"Ja","2012","Hauptschule","maennlich","611","0.144296468055886","0.133287992228171","0.155304943883601"
"Ja","2012","Hauptschule","weiblich","668","0.163981634035632","0.152937992892802","0.175025275178461"
"Ja","2012","Realschule","maennlich","574","0.23074179558488","0.214559996543693","0.246923594626067"
"Ja","2012","Realschule","weiblich","1199","","",""
"Ja","2012","(Fach-)Abitur","maennlich","283","","",""
"Ja","2012","(Fach-)Abitur","weiblich","556","0.272621010669205","0.252810514125437","0.292431507212973"
"Ja","2012","AkademikerIn","maennlich","624","0.324806095092156","0.30422036649422","0.345391823690091"
"Ja","2012","AkademikerIn","weiblich","698","0.317065272968705","0.297336059702977","0.336794486234433"
"Nein","2012","(noch) kein Abschluss","maennlich","321","0.938536053980147","0.913516350419339","0.963555757540955"
"Nein","2012","(noch) kein Abschluss","weiblich","412","0.920325376221037","0.895109333177915","0.945541419264159"
"Nein","2012","Hauptschule","maennlich","3303","0.855703531944114","0.844695056116399","0.866712007771829"
"Nein","2012","Hauptschule","weiblich","3650","0.836018365964368","0.824974724821539","0.847062007107198"
"Nein","2012","Realschule","maennlich","2030","","",""
"Nein","2012","Realschule","weiblich","3225","0.722767806142025","0.709577290823089","0.73595832146096"
"Nein","2012","(Fach-)Abitur","maennlich","893","0.767721580166548","0.743586389400133","0.791856770932963"
"Nein","2012","(Fach-)Abitur","weiblich","1385","","",""
"Nein","2012","AkademikerIn","maennlich","1364","","",""
"Nein","2012","AkademikerIn","weiblich","1439","","",""
"Ja","2013","(noch) kein Abschluss","maennlich","28","","",""
"Ja","2013","(noch) kein Abschluss","weiblich","32","0.132115143808357","0.0885427465343481","0.175687541082365"
"Ja","2013","Hauptschule","maennlich","463","0.157287634024774","0.143697720876496","0.170877547173053"
"Ja","2013","Hauptschule","weiblich","563","0.184850753623759","0.171214731125224","0.198486776122295"
"Ja","2013","Realschule","maennlich","421","0.245053338449879","0.225088726851273","0.265017950048486"
"Ja","2013","Realschule","weiblich","843","0.30472645050609","0.287475923950711","0.321976977061469"
"Ja","2013","(Fach-)Abitur","maennlich","201","","",""
"Ja","2013","(Fach-)Abitur","weiblich","355","0.316712789356295","0.289333840877412","0.344091737835178"
"Ja","2013","AkademikerIn","maennlich","491","0.350237686860156","0.325909119212815","0.374566254507498"
"Ja","2013","AkademikerIn","weiblich","530","0.349834497815307","0.325471122026031","0.374197873604584"
"Nein","2013","(noch) kein Abschluss","maennlich","168","","",""
"Nein","2013","(noch) kein Abschluss","weiblich","200","","",""
"Nein","2013","Hauptschule","maennlich","2294","","",""
"Nein","2013","Hauptschule","weiblich","2550","","",""
"Nein","2013","Realschule","maennlich","1362","","",""
"Nein","2013","Realschule","weiblich","1892","","",""
"Nein","2013","(Fach-)Abitur","maennlich","584","0.746541066395603","0.716111629501306","0.7769705032899"
"Nein","2013","(Fach-)Abitur","weiblich","754","0.683287210643705","0.655908262164822","0.710666159122588"
"Nein","2013","AkademikerIn","maennlich","986","0.649762313139844","0.625433745492502","0.674090880787185"
"Nein","2013","AkademikerIn","weiblich","942","0.650165502184693","0.625802126395416","0.674528877973969"
"Ja","2014","(noch) kein Abschluss","maennlich","36","0.0755530117190803","0.0504566833646781","0.100649340073483"
"Ja","2014","(noch) kein Abschluss","weiblich","41","0.0959207444883965","0.070287496805889","0.121553992170904"
"Ja","2014","Hauptschule","maennlich","591","0.158087358266953","0.146427896282099","0.169746820251808"
"Ja","2014","Hauptschule","weiblich","667","0.180089783162156","0.168265542136086","0.191914024188225"
"Ja","2014","Realschule","maennlich","559","0.245897196309775","0.228669209269565","0.263125183349985"
"Ja","2014","Realschule","weiblich","1130","","",""
"Ja","2014","(Fach-)Abitur","maennlich","305","0.214990844947322","0.193889275980138","0.236092413914507"
"Ja","2014","(Fach-)Abitur","weiblich","559","0.291458416864209","0.271900856135299","0.311015977593119"
"Ja","2014","AkademikerIn","maennlich","637","0.349841639919902","0.329211653501415","0.370471626338389"
"Ja","2014","AkademikerIn","weiblich","745","0.333702768375355","0.31456061183594","0.35284492491477"
"Nein","2014","(noch) kein Abschluss","maennlich","390","0.92444698828092","0.899350659926517","0.949543316635322"
"Nein","2014","(noch) kein Abschluss","weiblich","466","0.904079255511604","0.878446007829096","0.929712503194111"
"Nein","2014","Hauptschule","maennlich","3170","0.841912641733046","0.830253179748192","0.853572103717901"
"Nein","2014","Hauptschule","weiblich","3390","0.819910216837844","0.808085975811775","0.831734457863913"
"Nein","2014","Realschule","maennlich","1841","","",""
"Nein","2014","Realschule","weiblich","2754","","",""
"Nein","2014","(Fach-)Abitur","maennlich","1151","","",""
"Nein","2014","(Fach-)Abitur","weiblich","1515","","",""
"Nein","2014","AkademikerIn","maennlich","1416","","",""
"Nein","2014","AkademikerIn","weiblich","1586","","",""
"Ja","2015","(noch) kein Abschluss","maennlich","","","",""
"Ja","2015","(noch) kein Abschluss","weiblich","","","",""
"Ja","2015","Hauptschule","maennlich","","","",""
"Ja","2015","Hauptschule","weiblich","","","",""
"Ja","2015","Realschule","maennlich","","","",""
"Ja","2015","Realschule","weiblich","","","",""
"Ja","2015","(Fach-)Abitur","maennlich","","","",""
"Ja","2015","(Fach-)Abitur","weiblich","","","",""
"Ja","2015","AkademikerIn","maennlich","","","",""
"Ja","2015","AkademikerIn","weiblich","","","",""
"Nein","2015","(noch) kein Abschluss","maennlich","","","",""
"Nein","2015","(noch) kein Abschluss","weiblich","","","",""
"Nein","2015","Hauptschule","maennlich","","","",""
"Nein","2015","Hauptschule","weiblich","","","",""
"Nein","2015","Realschule","maennlich","","","",""
"Nein","2015","Realschule","weiblich","","","",""
"Nein","2015","(Fach-)Abitur","maennlich","","","",""
"Nein","2015","(Fach-)Abitur","weiblich","","","",""
"Nein","2015","AkademikerIn","maennlich","","","",""
"Nein","2015","AkademikerIn","weiblich","","","",""
"Ja","2016","(noch) kein Abschluss","maennlich","21","","",""
"Ja","2016","(noch) kein Abschluss","weiblich","32","0.0818528671529493","0.0559417013890041","0.107764032916895"
"Ja","2016","Hauptschule","maennlich","452","0.144714308038222","0.132607796847174","0.156820819229271"
"Ja","2016","Hauptschule","weiblich","500","0.164453823888122","0.152021281371641","0.176886366404603"
"Ja","2016","Realschule","maennlich","438","0.217385836688253","0.19975723241358","0.235014440962926"
"Ja","2016","Realschule","weiblich","912","0.272365020945122","0.257381404540152","0.287348637350092"
"Ja","2016","(Fach-)Abitur","maennlich","248","","",""
"Ja","2016","(Fach-)Abitur","weiblich","484","0.27475268675115","0.255130204755157","0.294375168747143"
"Ja","2016","AkademikerIn","maennlich","536","0.309052587276691","0.288636419157978","0.329468755395404"
"Ja","2016","AkademikerIn","weiblich","645","0.294006278389479","0.275135067584957","0.312877489194001"
"Nein","2016","(noch) kein Abschluss","maennlich","302","0.942920531059113","0.917620308716732","0.968220753401493"
"Nein","2016","(noch) kein Abschluss","weiblich","398","0.918147132847051","0.892235967083106","0.944058298610996"
"Nein","2016","Hauptschule","maennlich","2792","","",""
"Nein","2016","Hauptschule","weiblich","2915","","",""
"Nein","2016","Realschule","maennlich","1665","","",""
"Nein","2016","Realschule","weiblich","2479","","",""
"Nein","2016","(Fach-)Abitur","maennlich","1094","","",""
"Nein","2016","(Fach-)Abitur","weiblich","1504","","",""
"Nein","2016","AkademikerIn","maennlich","1432","","",""
"Nein","2016","AkademikerIn","weiblich","1594","","",""
"Ja","2017","(noch) kein Abschluss","maennlich","","","",""
"Ja","2017","(noch) kein Abschluss","weiblich","","","",""
"Ja","2017","Hauptschule","maennlich","","","",""
"Ja","2017","Hauptschule","weiblich","","","",""
"Ja","2017","Realschule","maennlich","","","",""
"Ja","2017","Realschule","weiblich","","","",""
"Ja","2017","(Fach-)Abitur","maennlich","","","",""
"Ja","2017","(Fach-)Abitur","weiblich","","","",""
"Ja","2017","AkademikerIn","maennlich","","","",""
"Ja","2017","AkademikerIn","weiblich","","","",""
"Nein","2017","(noch) kein Abschluss","maennlich","","","",""
"Nein","2017","(noch) kein Abschluss","weiblich","","","",""
"Nein","2017","Hauptschule","maennlich","","","",""
"Nein","2017","Hauptschule","weiblich","","","",""
"Nein","2017","Realschule","maennlich","","","",""
"Nein","2017","Realschule","weiblich","","","",""
"Nein","2017","(Fach-)Abitur","maennlich","","","",""
