"plb0571","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Nein, weiss nicht","2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4931","0.422407456346884","0.413552133980427","0.431262778713341"
"Nein, weiss nicht","2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1392","0.475697378928718","0.457964948787977","0.493429809069458"
"Nein, weiss nicht","2015","66 und älter","Westdeutschland, alte Bundeslaender","1510","0.413577190058583","0.397639802127064","0.429514577990102"
"Nein, weiss nicht","2015","66 und älter","Ostdeutschland, neue Bundeslaender","586","0.448899831409422","0.421137460905884","0.47666220191296"
"Nein, niemand","2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2031","0.357302529156796","0.344560177712107","0.370044880601485"
"Nein, niemand","2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","448","0.38510136285664","0.356691088609918","0.413511637103361"
"Nein, niemand","2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4364","0.357594347898812","0.349001684522248","0.366187011275375"
"Nein, niemand","2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1228","0.397716755095302","0.380338778883061","0.415094731307544"
"Nein, niemand","2015","66 und älter","Westdeutschland, alte Bundeslaender","1609","0.442488888376526","0.426415354273551","0.458562422479502"
"Nein, niemand","2015","66 und älter","Ostdeutschland, neue Bundeslaender","592","0.504659607595681","0.476752315533673","0.532566899657689"
"Ja, viele Personen","2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","162","0.0327723474157719","0.0276462340856854","0.0378984607458584"
"Ja, viele Personen","2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ja, viele Personen","2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","299","0.0272334176203584","0.024179682190986","0.0302871530497308"
"Ja, viele Personen","2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Ja, viele Personen","2016","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"Ja, viele Personen","2016","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Ja, wenige Personen","2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","831","0.181759254868324","0.170655780508698","0.192862729227949"
"Ja, wenige Personen","2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","132","0.150627409320761","0.128175829411171","0.173078989230352"
"Ja, wenige Personen","2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1599","0.139509505391748","0.13300894269183","0.146010068091665"
"Ja, wenige Personen","2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","276","0.0865077117335937","0.0762463351836326","0.0967690882835549"
"Ja, wenige Personen","2016","66 und älter","Westdeutschland, alte Bundeslaender","329","0.0849757250017117","0.0757952536096835","0.0941561963937399"
"Ja, wenige Personen","2016","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Nein, weiss nicht","2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1534","0.333766503025995","0.320189475991696","0.347343530060294"
"Nein, weiss nicht","2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","334","0.346016701472594","0.316157537567554","0.375875865377633"
"Nein, weiss nicht","2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3883","0.354977802105164","0.346000125816251","0.363955478394077"
"Nein, weiss nicht","2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","992","0.339882928525139","0.322592692260772","0.357173164789507"
"Nein, weiss nicht","2016","66 und älter","Westdeutschland, alte Bundeslaender","1098","0.30133239709921","0.286226050308905","0.316438743889515"
"Nein, weiss nicht","2016","66 und älter","Ostdeutschland, neue Bundeslaender","388","0.327860778658022","0.301121690562917","0.354599866753126"
"Nein, niemand","2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2107","0.45170189468991","0.4373732733769","0.466030516002919"
"Nein, niemand","2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","488","0.482172121836171","0.450807536845094","0.513536706827247"
"Nein, niemand","2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","5132","0.47827927488273","0.468907198076108","0.487651351689351"
"Nein, niemand","2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1588","0.561720959004604","0.543609166442087","0.57983275156712"
"Nein, niemand","2016","66 und älter","Westdeutschland, alte Bundeslaender","2089","0.607209608318334","0.591130906553311","0.623288310083356"
"Nein, niemand","2016","66 und älter","Ostdeutschland, neue Bundeslaender","765","0.643610306444107","0.616330184775033","0.670890428113181"
