"plb0037_h","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Unbefristet","1995","(Fach-)Abitur","4","80","0.843469706956851","0.770402882607777","0.916536531305925"
"Unbefristet","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","40","0.884305311540077","0.791872321382592","0.976738301697563"
"Unbefristet","1995","AkademikerIn","1 Einkommensschwächstes Quintil","155","0.777007831014557","0.717975638831197","0.836040023197916"
"Unbefristet","1995","AkademikerIn","2","275","0.866215774231559","0.828135996725913","0.904295551737206"
"Unbefristet","1995","AkademikerIn","3","243","0.85940986312328","0.818101191192121","0.900718535054439"
"Unbefristet","1995","AkademikerIn","4","210","0.888439054497982","0.848525624182473","0.928352484813491"
"Unbefristet","1995","AkademikerIn","5 Einkommensstärkstes Quintil","168","0.958424048927722","0.929262419549412","0.987585678306032"
"Befristet","1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","14","","",""
"Befristet","1995","(noch) kein Abschluss","2","8","","",""
"Befristet","1995","(noch) kein Abschluss","3","3","","",""
"Befristet","1995","(noch) kein Abschluss","4","2","","",""
"Befristet","1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Befristet","1995","Hauptschule","1 Einkommensschwächstes Quintil","150","0.164004973966927","0.14015582126916","0.187854126664694"
"Befristet","1995","Hauptschule","2","90","0.0883084352621474","0.070217657028865","0.10639921349543"
"Befristet","1995","Hauptschule","3","33","0.0508380326237132","0.0328205310541301","0.0688555341932964"
"Befristet","1995","Hauptschule","4","28","","",""
"Befristet","1995","Hauptschule","5 Einkommensstärkstes Quintil","5","","",""
"Befristet","1995","Realschule","1 Einkommensschwächstes Quintil","149","0.229061897775859","0.196169123625497","0.261954671926222"
"Befristet","1995","Realschule","2","76","0.116365174725503","0.091305773300551","0.141424576150455"
"Befristet","1995","Realschule","3","34","0.0945634243022068","0.0655969478567086","0.123529900747705"
"Befristet","1995","Realschule","4","19","","",""
"Befristet","1995","Realschule","5 Einkommensstärkstes Quintil","4","","",""
"Befristet","1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","49","0.346858764034003","0.273337148585012","0.420380379482995"
"Befristet","1995","(Fach-)Abitur","2","34","0.227357695390735","0.161797183516564","0.292918207264906"
"Befristet","1995","(Fach-)Abitur","3","19","","",""
"Befristet","1995","(Fach-)Abitur","4","15","","",""
"Befristet","1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","6","","",""
"Befristet","1995","AkademikerIn","1 Einkommensschwächstes Quintil","36","0.222992168985444","0.163959976802084","0.282024361168803"
"Befristet","1995","AkademikerIn","2","32","0.133784225768441","0.095704448262794","0.171864003274087"
"Befristet","1995","AkademikerIn","3","29","","",""
"Befristet","1995","AkademikerIn","4","29","","",""
"Befristet","1995","AkademikerIn","5 Einkommensstärkstes Quintil","12","","",""
"Unbefristet","1996","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","87","0.846483123173542","0.775829358722753","0.917136887624332"
"Unbefristet","1996","(noch) kein Abschluss","2","85","0.842757251125639","0.767549362078902","0.917965140172375"
"Unbefristet","1996","(noch) kein Abschluss","3","29","","",""
"Unbefristet","1996","(noch) kein Abschluss","4","19","","",""
"Unbefristet","1996","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","4","","",""
"Unbefristet","1996","Hauptschule","1 Einkommensschwächstes Quintil","690","0.845088990591416","0.820473901684555","0.869704079498278"
"Unbefristet","1996","Hauptschule","2","788","0.895966704186117","0.875749171590386","0.916184236781847"
"Unbefristet","1996","Hauptschule","3","537","0.930976627229801","0.910434867960667","0.951518386498934"
"Unbefristet","1996","Hauptschule","4","353","0.942447592911898","0.918780932890576","0.96611425293322"
"Unbefristet","1996","Hauptschule","5 Einkommensstärkstes Quintil","94","0.961934926621597","0.924430349453408","0.999439503789786"
"Unbefristet","1996","Realschule","1 Einkommensschwächstes Quintil","413","0.755472033106247","0.71935416518126","0.791589901031234"
"Unbefristet","1996","Realschule","2","533","0.892298561292113","0.867575885681215","0.917021236903011"
"Unbefristet","1996","Realschule","3","420","0.916492926720597","0.891293898914051","0.941691954527142"
"Unbefristet","1996","Realschule","4","273","0.954079180296732","0.92994702035944","0.978211340234023"
"Unbefristet","1996","Realschule","5 Einkommensstärkstes Quintil","125","0.956690646147588","0.921966006986639","0.991415285308537"
"Unbefristet","1996","(Fach-)Abitur","1 Einkommensschwächstes Quintil","106","0.719479753630064","0.647585553551527","0.791373953708602"
"Unbefristet","1996","(Fach-)Abitur","2","123","0.853466950813167","0.797061540211047","0.909872361415286"
"Unbefristet","1996","(Fach-)Abitur","3","108","0.798992894269764","0.730627190470935","0.867358598068593"
"Unbefristet","1996","(Fach-)Abitur","4","77","0.897021608659157","0.833156600959076","0.960886616359238"
"Unbefristet","1996","(Fach-)Abitur","5 Einkommensstärkstes Quintil","42","0.945802523288982","0.880375231651021","1.01122981492694"
"Unbefristet","1996","AkademikerIn","1 Einkommensschwächstes Quintil","114","0.65426305170556","0.577378600579837","0.731147502831284"
"Unbefristet","1996","AkademikerIn","2","263","0.878121192135918","0.840726001307813","0.915516382964022"
"Unbefristet","1996","AkademikerIn","3","238","0.927127906475217","0.895287503297316","0.958968309653118"
"Unbefristet","1996","AkademikerIn","4","233","0.915987453593066","0.881737131709082","0.95023777547705"
"Unbefristet","1996","AkademikerIn","5 Einkommensstärkstes Quintil","195","0.943687278158929","0.912582710216534","0.974791846101324"
"Befristet","1996","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","13","","",""
"Befristet","1996","(noch) kein Abschluss","2","5","","",""
"Befristet","1996","(noch) kein Abschluss","3","3","","",""
"Befristet","1996","(noch) kein Abschluss","4","1","","",""
"Befristet","1996","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Befristet","1996","Hauptschule","1 Einkommensschwächstes Quintil","140","0.154911009408584","0.130295920501722","0.179526098315445"
"Befristet","1996","Hauptschule","2","88","0.104033295813883","0.0838157632181534","0.124250828409613"
"Befristet","1996","Hauptschule","3","48","0.0690233727701992","0.0484816135010657","0.0895651320393327"
"Befristet","1996","Hauptschule","4","19","","",""
"Befristet","1996","Hauptschule","5 Einkommensstärkstes Quintil","6","","",""
"Befristet","1996","Realschule","1 Einkommensschwächstes Quintil","131","0.244527966893753","0.208410098968766","0.28064583481874"
"Befristet","1996","Realschule","2","71","0.107701438707887","0.0829787630969895","0.132424114318785"
"Befristet","1996","Realschule","3","43","0.0835070732794032","0.0583080454728579","0.108706101085949"
"Befristet","1996","Realschule","4","16","","",""
"Befristet","1996","Realschule","5 Einkommensstärkstes Quintil","7","","",""
"Befristet","1996","(Fach-)Abitur","1 Einkommensschwächstes Quintil","44","0.280520246369936","0.208626046291398","0.352414446448473"
"Befristet","1996","(Fach-)Abitur","2","28","","",""
"Befristet","1996","(Fach-)Abitur","3","24","","",""
"Befristet","1996","(Fach-)Abitur","4","10","","",""
"Befristet","1996","(Fach-)Abitur","5 Einkommensstärkstes Quintil","4","","",""
"Befristet","1996","AkademikerIn","1 Einkommensschwächstes Quintil","33","0.34573694829444","0.268852497168716","0.422621399420163"
"Befristet","1996","AkademikerIn","2","31","0.121878807864083","0.0844836170359782","0.159273998692187"
"Befristet","1996","AkademikerIn","3","18","","",""
"Befristet","1996","AkademikerIn","4","19","","",""
"Befristet","1996","AkademikerIn","5 Einkommensstärkstes Quintil","16","","",""
"Unbefristet","1997","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","73","0.84988299459204","0.773040127455732","0.926725861728348"
"Unbefristet","1997","(noch) kein Abschluss","2","66","0.939868547867402","0.883364698062618","0.996372397672186"
"Unbefristet","1997","(noch) kein Abschluss","3","40","0.831299683393355","0.723080081602557","0.939519285184154"
"Unbefristet","1997","(noch) kein Abschluss","4","22","","",""
"Unbefristet","1997","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","3","","",""
"Unbefristet","1997","Hauptschule","1 Einkommensschwächstes Quintil","574","0.821050488742819","0.792974066178674","0.849126911306964"
"Unbefristet","1997","Hauptschule","2","742","0.921639763486007","0.903234814792733","0.940044712179281"
"Unbefristet","1997","Hauptschule","3","539","0.903985819174343","0.880173158284487","0.9277984800642"
"Unbefristet","1997","Hauptschule","4","322","0.93393561160194","0.908023493432899","0.959847729770982"
"Unbefristet","1997","Hauptschule","5 Einkommensstärkstes Quintil","105","0.964350084127351","0.929700473034155","0.998999695220546"
"Unbefristet","1997","Realschule","1 Einkommensschwächstes Quintil","377","0.729225944056722","0.690698320506497","0.767753567606946"
"Unbefristet","1997","Realschule","2","524","0.865117290798021","0.838228709864408","0.892005871731634"
"Unbefristet","1997","Realschule","3","371","0.886439652012091","0.856060263765955","0.916819040258226"
"Unbefristet","1997","Realschule","4","283","0.940826565221386","0.914433059539171","0.967220070903601"
"Unbefristet","1997","Realschule","5 Einkommensstärkstes Quintil","117","0.964785015705785","0.932210755616497","0.997359275795073"
"Unbefristet","1997","(Fach-)Abitur","1 Einkommensschwächstes Quintil","94","0.707133100945421","0.627986556452066","0.786279645438776"
"Unbefristet","1997","(Fach-)Abitur","2","117","0.80305837954233","0.739627325243339","0.866489433841322"
"Unbefristet","1997","(Fach-)Abitur","3","104","0.785496824716801","0.717011482944768","0.853982166488834"
"Unbefristet","1997","(Fach-)Abitur","4","92","0.844234302260666","0.774539750251776","0.913928854269556"
"Unbefristet","1997","(Fach-)Abitur","5 Einkommensstärkstes Quintil","42","0.898820309647036","0.8143832381204","0.983257381173672"
"Unbefristet","1997","AkademikerIn","1 Einkommensschwächstes Quintil","128","0.688891897746318","0.617158847398936","0.7606249480937"
"Unbefristet","1997","AkademikerIn","2","221","0.805287474114716","0.757155482285712","0.85341946594372"
"Unbefristet","1997","AkademikerIn","3","238","0.915810915542423","0.882059482421452","0.949562348663394"
"Unbefristet","1997","AkademikerIn","4","237","0.888761668666108","0.851046821606582","0.926476515725634"
"Unbefristet","1997","AkademikerIn","5 Einkommensstärkstes Quintil","207","0.926874348438855","0.892932211806687","0.960816485071024"
"Befristet","1997","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","10","","",""
"Befristet","1997","(noch) kein Abschluss","2","2","","",""
"Befristet","1997","(noch) kein Abschluss","3","6","","",""
"Befristet","1997","(noch) kein Abschluss","4","2","","",""
"Befristet","1997","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Befristet","1997","Hauptschule","1 Einkommensschwächstes Quintil","142","0.178949511257181","0.150873088693036","0.207025933821326"
"Befristet","1997","Hauptschule","2","77","0.0783602365139932","0.0599552878207192","0.0967651852072671"
"Befristet","1997","Hauptschule","3","49","0.0960141808256567","0.0722015199358","0.119826841715513"
"Befristet","1997","Hauptschule","4","31","0.0660643883980596","0.0401522702290178","0.0919765065671014"
"Befristet","1997","Hauptschule","5 Einkommensstärkstes Quintil","5","","",""
"Befristet","1997","Realschule","1 Einkommensschwächstes Quintil","134","0.270774055943278","0.232246432393054","0.309301679493503"
"Befristet","1997","Realschule","2","96","0.134882709201979","0.107994128268366","0.161771290135592"
"Befristet","1997","Realschule","3","48","0.113560347987909","0.0831809597417739","0.143939736234045"
"Befristet","1997","Realschule","4","24","","",""
"Befristet","1997","Realschule","5 Einkommensstärkstes Quintil","6","","",""
"Befristet","1997","(Fach-)Abitur","1 Einkommensschwächstes Quintil","33","0.292866899054579","0.213720354561224","0.372013443547934"
"Befristet","1997","(Fach-)Abitur","2","34","0.19694162045767","0.133510566158678","0.260372674756662"
"Befristet","1997","(Fach-)Abitur","3","34","0.214503175283199","0.146017833511166","0.282988517055232"
"Befristet","1997","(Fach-)Abitur","4","12","","",""
"Befristet","1997","(Fach-)Abitur","5 Einkommensstärkstes Quintil","7","","",""
"Befristet","1997","AkademikerIn","1 Einkommensschwächstes Quintil","32","0.311108102253682","0.2393750519063","0.382841152601064"
"Befristet","1997","AkademikerIn","2","39","0.194712525885284","0.14658053405628","0.242844517714288"
"Befristet","1997","AkademikerIn","3","22","","",""
"Befristet","1997","AkademikerIn","4","30","0.111238331333892","0.0735234842743661","0.148953178393418"
"Befristet","1997","AkademikerIn","5 Einkommensstärkstes Quintil","19","","",""
"Unbefristet","1998","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","75","0.861444019324078","0.787562704391428","0.935325334256728"
"Unbefristet","1998","(noch) kein Abschluss","2","60","0.908269319204696","0.838098581357873","0.978440057051519"
"Unbefristet","1998","(noch) kein Abschluss","3","42","0.962845475521764","0.906959105298262","1.01873184574527"
"Unbefristet","1998","(noch) kein Abschluss","4","19","","",""
"Unbefristet","1998","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","8","","",""
"Unbefristet","1998","Hauptschule","1 Einkommensschwächstes Quintil","611","0.794878639770616","0.766577718596951","0.823179560944281"
"Unbefristet","1998","Hauptschule","2","749","0.907461660569336","0.887876592429222","0.927046728709449"
"Unbefristet","1998","Hauptschule","3","537","0.909335062940162","0.886047538788125","0.932622587092199"
"Unbefristet","1998","Hauptschule","4","358","0.946924480840825","0.924443191907432","0.969405769774218"
"Unbefristet","1998","Hauptschule","5 Einkommensstärkstes Quintil","120","0.969726248323287","0.939568775429119","0.999883721217455"
"Unbefristet","1998","Realschule","1 Einkommensschwächstes Quintil","404","0.736373921266008","0.699551687485815","0.773196155046202"
"Unbefristet","1998","Realschule","2","589","0.864672764238801","0.839112086368261","0.890233442109341"
"Unbefristet","1998","Realschule","3","402","0.897659362455022","0.869778897885194","0.925539827024849"
"Unbefristet","1998","Realschule","4","323","0.935586520123932","0.909719857382494","0.96145318286537"
"Unbefristet","1998","Realschule","5 Einkommensstärkstes Quintil","151","0.966760530057225","0.938808970269628","0.994712089844822"
"Unbefristet","1998","(Fach-)Abitur","1 Einkommensschwächstes Quintil","98","0.633773714205089","0.556675498160311","0.710871930249867"
"Unbefristet","1998","(Fach-)Abitur","2","123","0.771459522263152","0.706397697870576","0.836521346655729"
"Unbefristet","1998","(Fach-)Abitur","3","123","0.895674925345528","0.845039596668034","0.946310254023022"
"Unbefristet","1998","(Fach-)Abitur","4","109","0.876065998228289","0.817834336399405","0.934297660057172"
"Unbefristet","1998","(Fach-)Abitur","5 Einkommensstärkstes Quintil","57","0.810638777597546","0.716824292066973","0.904453263128118"
"Unbefristet","1998","AkademikerIn","1 Einkommensschwächstes Quintil","136","0.715911759974636","0.647513314438339","0.784310205510932"
"Unbefristet","1998","AkademikerIn","2","214","0.843994492730354","0.798464985573958","0.889523999886751"
"Unbefristet","1998","AkademikerIn","3","243","0.910565088863892","0.87627123362248","0.944858944105304"
"Unbefristet","1998","AkademikerIn","4","303","0.913862366598381","0.883637043049939","0.944087690146824"
"Unbefristet","1998","AkademikerIn","5 Einkommensstärkstes Quintil","235","0.911409205503815","0.876668988014125","0.946149422993505"
"Befristet","1998","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","9","","",""
"Befristet","1998","(noch) kein Abschluss","2","5","","",""
"Befristet","1998","(noch) kein Abschluss","3","2","","",""
"Befristet","1998","(noch) kein Abschluss","4","","","",""
"Befristet","1998","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Befristet","1998","Hauptschule","1 Einkommensschwächstes Quintil","171","0.205121360229384","0.176820439055719","0.233422281403049"
"Befristet","1998","Hauptschule","2","92","0.0925383394306645","0.0729532712905509","0.112123407570778"
"Befristet","1998","Hauptschule","3","47","0.0906649370598379","0.0673774129078005","0.113952461211875"
"Befristet","1998","Hauptschule","4","24","","",""
"Befristet","1998","Hauptschule","5 Einkommensstärkstes Quintil","4","","",""
"Befristet","1998","Realschule","1 Einkommensschwächstes Quintil","146","0.263626078733992","0.226803844953798","0.300448312514185"
"Befristet","1998","Realschule","2","99","0.135327235761199","0.109766557890659","0.160887913631739"
"Befristet","1998","Realschule","3","52","0.102340637544978","0.0744601729751506","0.130221102114806"
"Befristet","1998","Realschule","4","23","","",""
"Befristet","1998","Realschule","5 Einkommensstärkstes Quintil","7","","",""
"Befristet","1998","(Fach-)Abitur","1 Einkommensschwächstes Quintil","52","0.366226285794911","0.289128069750133","0.443324501839689"
"Befristet","1998","(Fach-)Abitur","2","37","0.228540477736848","0.163478653344272","0.293602302129424"
"Befristet","1998","(Fach-)Abitur","3","17","","",""
"Befristet","1998","(Fach-)Abitur","4","14","","",""
"Befristet","1998","(Fach-)Abitur","5 Einkommensstärkstes Quintil","10","","",""
"Befristet","1998","AkademikerIn","1 Einkommensschwächstes Quintil","31","0.284088240025364","0.215689794489068","0.352486685561661"
"Befristet","1998","AkademikerIn","2","30","0.156005507269646","0.110476000113249","0.201535014426042"
"Befristet","1998","AkademikerIn","3","23","","",""
"Befristet","1998","AkademikerIn","4","28","","",""
"Befristet","1998","AkademikerIn","5 Einkommensstärkstes Quintil","22","","",""
"Unbefristet","1999","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","80","0.818822847039113","0.738802620029699","0.898843074048527"
"Unbefristet","1999","(noch) kein Abschluss","2","65","0.792289189165397","0.69923025448851","0.885348123842285"
"Unbefristet","1999","(noch) kein Abschluss","3","35","0.952427874941355","0.882895163462616","1.02196058642009"
"Unbefristet","1999","(noch) kein Abschluss","4","22","","",""
"Unbefristet","1999","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","10","","",""
"Unbefristet","1999","Hauptschule","1 Einkommensschwächstes Quintil","533","0.814949213659581","0.785739725702678","0.844158701616485"
"Unbefristet","1999","Hauptschule","2","746","0.887029255172538","0.865860102408803","0.908198407936273"
"Unbefristet","1999","Hauptschule","3","528","0.913433329406267","0.890489073978782","0.936377584833753"
"Unbefristet","1999","Hauptschule","4","395","0.933273885000962","0.909520930366776","0.957026839635147"
"Unbefristet","1999","Hauptschule","5 Einkommensstärkstes Quintil","139","0.982742414510761","0.961397720212069","1.00408710880945"
"Unbefristet","1999","Realschule","1 Einkommensschwächstes Quintil","354","0.70620689023983","0.66624145043616","0.746172330043499"
"Unbefristet","1999","Realschule","2","598","0.856916314814204","0.831232280031713","0.882600349596695"
"Unbefristet","1999","Realschule","3","406","0.865151993413931","0.834272680114065","0.896031306713798"
"Unbefristet","1999","Realschule","4","348","0.89071862516739","0.859594455040037","0.921842795294742"
"Unbefristet","1999","Realschule","5 Einkommensstärkstes Quintil","160","0.933869235619198","0.896621931795058","0.971116539443337"
"Unbefristet","1999","(Fach-)Abitur","1 Einkommensschwächstes Quintil","87","0.679075902667906","0.597885152428101","0.760266652907712"
"Unbefristet","1999","(Fach-)Abitur","2","134","0.728036923943784","0.662851086261972","0.793222761625597"
"Unbefristet","1999","(Fach-)Abitur","3","113","0.8499842219081","0.791457530471396","0.908510913344805"
"Unbefristet","1999","(Fach-)Abitur","4","135","0.919155570144211","0.875676606842333","0.96263453344609"
"Unbefristet","1999","(Fach-)Abitur","5 Einkommensstärkstes Quintil","55","0.929604670742473","0.865409221210355","0.993800120274591"
"Unbefristet","1999","AkademikerIn","1 Einkommensschwächstes Quintil","89","0.728111814970717","0.646792562480394","0.80943106746104"
"Unbefristet","1999","AkademikerIn","2","222","0.819956030772423","0.773431498364506","0.866480563180341"
"Unbefristet","1999","AkademikerIn","3","248","0.913547371520958","0.880087976612767","0.947006766429149"
"Unbefristet","1999","AkademikerIn","4","278","0.877548138991423","0.841799048305192","0.913297229677655"
"Unbefristet","1999","AkademikerIn","5 Einkommensstärkstes Quintil","291","0.921415465392856","0.891557027328203","0.95127390345751"
"Befristet","1999","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","9","","",""
"Befristet","1999","(noch) kein Abschluss","2","8","","",""
"Befristet","1999","(noch) kein Abschluss","3","1","","",""
"Befristet","1999","(noch) kein Abschluss","4","3","","",""
"Befristet","1999","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Befristet","1999","Hauptschule","1 Einkommensschwächstes Quintil","146","0.185050786340419","0.155841298383515","0.214260274297322"
"Befristet","1999","Hauptschule","2","113","0.112970744827462","0.0918015920637269","0.134139897591197"
"Befristet","1999","Hauptschule","3","49","0.0865666705937326","0.0636224151662466","0.109510926021219"
"Befristet","1999","Hauptschule","4","29","","",""
"Befristet","1999","Hauptschule","5 Einkommensstärkstes Quintil","4","","",""
"Befristet","1999","Realschule","1 Einkommensschwächstes Quintil","145","0.29379310976017","0.253827669956501","0.33375854956384"
"Befristet","1999","Realschule","2","116","0.143083685185796","0.117399650403305","0.168767719968287"
"Befristet","1999","Realschule","3","64","0.134848006586069","0.103968693286202","0.165727319885935"
"Befristet","1999","Realschule","4","38","0.10928137483261","0.0781572047052576","0.140405544959963"
"Befristet","1999","Realschule","5 Einkommensstärkstes Quintil","11","","",""
"Befristet","1999","(Fach-)Abitur","1 Einkommensschwächstes Quintil","40","0.320924097332094","0.239733347092288","0.402114847571899"
"Befristet","1999","(Fach-)Abitur","2","45","0.271963076056216","0.206777238374403","0.337148913738028"
"Befristet","1999","(Fach-)Abitur","3","30","0.1500157780919","0.0914890866551955","0.208542469528604"
"Befristet","1999","(Fach-)Abitur","4","16","","",""
"Befristet","1999","(Fach-)Abitur","5 Einkommensstärkstes Quintil","6","","",""
"Befristet","1999","AkademikerIn","1 Einkommensschwächstes Quintil","26","","",""
"Befristet","1999","AkademikerIn","2","40","0.180043969227577","0.13351943681966","0.226568501635494"
"Befristet","1999","AkademikerIn","3","23","","",""
"Befristet","1999","AkademikerIn","4","45","0.122451861008576","0.0867027703223447","0.158200951694808"
"Befristet","1999","AkademikerIn","5 Einkommensstärkstes Quintil","21","","",""
"Unbefristet","2000","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","48","0.71865078616145","0.609337432548203","0.827964139774697"
"Unbefristet","2000","(noch) kein Abschluss","2","38","0.899959451147373","0.810275782137466","0.989643120157281"
"Unbefristet","2000","(noch) kein Abschluss","3","30","0.96278240196942","0.896146928737389","1.02941787520145"
"Unbefristet","2000","(noch) kein Abschluss","4","10","","",""
"Unbefristet","2000","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","1","","",""
"Unbefristet","2000","Hauptschule","1 Einkommensschwächstes Quintil","779","0.806645164543428","0.781969473274032","0.831320855812825"
"Unbefristet","2000","Hauptschule","2","1141","0.874772120157193","0.856828573934786","0.8927156663796"
"Unbefristet","2000","Hauptschule","3","819","0.905274453868705","0.886164109473715","0.924384798263694"
"Unbefristet","2000","Hauptschule","4","663","0.947830930821354","0.931393179308254","0.964268682334453"
"Unbefristet","2000","Hauptschule","5 Einkommensstärkstes Quintil","243","0.933417561952121","0.902938656967351","0.963896466936891"
"Unbefristet","2000","Realschule","1 Einkommensschwächstes Quintil","518","0.710117748440777","0.676908082284575","0.743327414596978"
"Unbefristet","2000","Realschule","2","935","0.822232630303887","0.800029735252382","0.844435525355393"
"Unbefristet","2000","Realschule","3","771","0.881620867035749","0.86042046134414","0.902821272727358"
"Unbefristet","2000","Realschule","4","672","0.903008933967908","0.881757812946893","0.924260054988924"
"Unbefristet","2000","Realschule","5 Einkommensstärkstes Quintil","329","0.959580595420627","0.938948195214815","0.980212995626439"
"Unbefristet","2000","(Fach-)Abitur","1 Einkommensschwächstes Quintil","142","0.631045008598812","0.566992416850269","0.695097600347354"
"Unbefristet","2000","(Fach-)Abitur","2","202","0.796354591243484","0.748050600096311","0.844658582390657"
"Unbefristet","2000","(Fach-)Abitur","3","237","0.832372708265505","0.789602086755896","0.875143329775113"
"Unbefristet","2000","(Fach-)Abitur","4","232","0.837291395860599","0.793507909395668","0.88107488232553"
"Unbefristet","2000","(Fach-)Abitur","5 Einkommensstärkstes Quintil","132","0.933874201518783","0.893426509672303","0.974321893365263"
"Unbefristet","2000","AkademikerIn","1 Einkommensschwächstes Quintil","136","0.711581337423302","0.64682338320752","0.776339291639084"
"Unbefristet","2000","AkademikerIn","2","305","0.798803521273887","0.758009989260513","0.839597053287262"
"Unbefristet","2000","AkademikerIn","3","429","0.862485917213151","0.831708997801725","0.893262836624577"
"Unbefristet","2000","AkademikerIn","4","564","0.904959229537681","0.881724273186447","0.928194185888916"
"Unbefristet","2000","AkademikerIn","5 Einkommensstärkstes Quintil","627","0.932027954447349","0.912969383694027","0.951086525200671"
"Befristet","2000","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","17","","",""
"Befristet","2000","(noch) kein Abschluss","2","5","","",""
"Befristet","2000","(noch) kein Abschluss","3","1","","",""
"Befristet","2000","(noch) kein Abschluss","4","1","","",""
"Befristet","2000","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","2","","",""
"Befristet","2000","Hauptschule","1 Einkommensschwächstes Quintil","205","0.193354835456572","0.168679144187175","0.218030526725968"
"Befristet","2000","Hauptschule","2","166","0.125227879842807","0.1072843336204","0.143171426065214"
"Befristet","2000","Hauptschule","3","83","0.0947255461312954","0.0756152017363061","0.113835890526285"
"Befristet","2000","Hauptschule","4","40","0.0521690691786462","0.0357313176655469","0.0686068206917454"
"Befristet","2000","Hauptschule","5 Einkommensstärkstes Quintil","14","","",""
"Befristet","2000","Realschule","1 Einkommensschwächstes Quintil","199","0.289882251559223","0.256672585403022","0.323091917715425"
"Befristet","2000","Realschule","2","204","0.177767369696113","0.155564474644607","0.199970264747619"
"Befristet","2000","Realschule","3","121","0.118379132964251","0.0971787272726421","0.13957953865586"
"Befristet","2000","Realschule","4","73","0.0969910660320915","0.0757399450110762","0.118242187053107"
"Befristet","2000","Realschule","5 Einkommensstärkstes Quintil","21","","",""
"Befristet","2000","(Fach-)Abitur","1 Einkommensschwächstes Quintil","76","0.368954991401188","0.304902399652646","0.433007583149731"
"Befristet","2000","(Fach-)Abitur","2","65","0.203645408756516","0.155341417609343","0.251949399903689"
"Befristet","2000","(Fach-)Abitur","3","56","0.167627291734495","0.124856670224887","0.210397913244103"
"Befristet","2000","(Fach-)Abitur","4","41","0.162708604139401","0.11892511767447","0.206492090604332"
