,Unnamed: 0,year,bula_h,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
101,101,1992,Hesse,Permanent job,1.0,66,1395,0.82453,1.17336
102,102,1992,"Rhineland-Palatinate, Saarland",Permanent job,1.0,43,1395,0.83407,1.15598
103,103,1992,Baden-Wuerttemberg,Permanent job,0.83017,136,1395,0.70402,0.93779
104,104,1992,Baden-Wuerttemberg,Temporary job,0.16983,34,1395,0.13324,0.21096
105,105,1992,Bavaria,Permanent job,1.0,145,1395,0.88294,1.10807
106,106,1992,Berlin,Permanent job,1.0,70,1395,0.86056,1.15823
107,107,1992,Brandenburg,Permanent job,1.0,85,1395,0.87902,1.11906
108,108,1992,Mecklenburg-Western Pomerania,Permanent job,1.0,63,1395,0.9143,1.10793
109,109,1992,Saxony,Permanent job,0.68291,130,1395,0.63687,0.72322
110,110,1992,Saxony,Temporary job,0.31709,52,1395,0.2855,0.36043
111,111,1992,Saxony-Anhalt,Permanent job,0.70722,98,1395,0.60702,0.80352
112,112,1992,Saxony-Anhalt,Temporary job,0.29278,41,1395,0.25126,0.35012
113,113,1992,Thuringa,Permanent job,0.66877,93,1395,0.59552,0.73047
114,114,1992,Thuringa,Temporary job,0.33123,41,1395,0.27155,0.38993
115,115,1993,Lower Saxony,Permanent job,1.0,69,1150,0.84658,1.15573
116,116,1993,North Rhine-Westphalia,Permanent job,0.72635,166,1150,0.64458,0.79601
117,117,1993,North Rhine-Westphalia,Temporary job,0.27365,61,1150,0.22957,0.31871
118,118,1993,Hesse,Permanent job,1.0,64,1150,0.82343,1.20481
119,119,1993,"Rhineland-Palatinate, Saarland",Permanent job,1.0,40,1150,0.83392,1.16493
120,120,1993,Baden-Wuerttemberg,Permanent job,1.0,114,1150,0.87777,1.14283
121,121,1993,Bavaria,Permanent job,0.74,111,1150,0.65624,0.85134
122,122,1993,Bavaria,Temporary job,0.26,34,1150,0.19874,0.33191
123,123,1993,Berlin,Permanent job,1.0,70,1150,0.84818,1.13961
124,124,1993,Brandenburg,Permanent job,1.0,63,1150,0.84759,1.14718
125,125,1993,Mecklenburg-Western Pomerania,Permanent job,1.0,46,1150,0.85577,1.17401
126,126,1993,Saxony,Permanent job,0.73101,119,1150,0.66291,0.78942
127,127,1993,Saxony,Temporary job,0.26899,45,1150,0.23565,0.30527
128,128,1993,Saxony-Anhalt,Permanent job,1.0,76,1150,0.85286,1.15567
129,129,1993,Thuringa,Permanent job,1.0,72,1150,0.89815,1.09872
130,130,1994,Lower Saxony,Permanent job,1.0,55,1070,0.82594,1.25888
131,131,1994,North Rhine-Westphalia,Permanent job,0.63115,134,1070,0.53282,0.73762
132,132,1994,North Rhine-Westphalia,Temporary job,0.36885,79,1070,0.30776,0.43766
133,133,1994,Hesse,Permanent job,1.0,48,1070,0.82387,1.20271
134,134,1994,"Rhineland-Palatinate, Saarland",Permanent job,1.0,31,1070,0.74074,1.28075
135,135,1994,Baden-Wuerttemberg,Permanent job,0.76242,107,1070,0.65165,0.87524
136,136,1994,Baden-Wuerttemberg,Temporary job,0.23758,41,1070,0.16582,0.30514
137,137,1994,Bavaria,Permanent job,0.7453,96,1070,0.66209,0.8415
138,138,1994,Bavaria,Temporary job,0.2547,33,1070,0.1955,0.30456
139,139,1994,Berlin,Permanent job,1.0,52,1070,0.83433,1.17904
140,140,1994,Brandenburg,Permanent job,0.59789,43,1070,0.49546,0.69521
141,141,1994,Brandenburg,Temporary job,0.40211,34,1070,0.35615,0.45922
142,142,1994,Mecklenburg-Western Pomerania,Permanent job,1.0,31,1070,0.83759,1.19903
143,143,1994,Saxony,Permanent job,0.72815,79,1070,0.65392,0.81193
144,144,1994,Saxony,Temporary job,0.27185,33,1070,0.23305,0.33046
145,145,1994,Saxony-Anhalt,Permanent job,0.63749,53,1070,0.53359,0.74743
146,146,1994,Saxony-Anhalt,Temporary job,0.36251,34,1070,0.28609,0.42543
147,147,1994,Thuringa,Permanent job,0.63507,55,1070,0.53352,0.78819
148,148,1994,Thuringa,Temporary job,0.36493,32,1070,0.26921,0.48655
149,149,1995,Schleswig-Holstein,Permanent job,1.0,126,7143,0.91049,1.09074
150,150,1995,Hamburg,Permanent job,1.0,65,7143,0.76651,1.15518
151,151,1995,Lower Saxony,Permanent job,0.90158,485,7143,0.84814,0.96226
152,152,1995,Lower Saxony,Temporary job,0.09842,62,7143,0.08817,0.11284
153,153,1995,Bremen,Permanent job,1.0,33,7143,0.82853,1.18054
154,154,1995,North Rhine-Westphalia,Permanent job,0.89417,1237,7143,0.85952,0.93042
155,155,1995,North Rhine-Westphalia,Temporary job,0.10583,152,7143,0.09271,0.12036
156,156,1995,Hesse,Permanent job,0.89346,459,7143,0.82275,0.95072
157,157,1995,Hesse,Temporary job,0.10654,49,7143,0.08947,0.13229
158,158,1995,"Rhineland-Palatinate, Saarland",Permanent job,0.89507,314,7143,0.82521,0.97023
159,159,1995,"Rhineland-Palatinate, Saarland",Temporary job,0.10493,40,7143,0.08775,0.12216
160,160,1995,Baden-Wuerttemberg,Permanent job,0.89399,878,7143,0.84476,0.95407
161,161,1995,Baden-Wuerttemberg,Temporary job,0.10601,118,7143,0.09182,0.12157
162,162,1995,Bavaria,Permanent job,0.88398,827,7143,0.83848,0.92805
163,163,1995,Bavaria,Temporary job,0.11602,105,7143,0.0985,0.13604
164,164,1995,Berlin,Permanent job,0.88956,265,7143,0.82667,0.94619
165,165,1995,Berlin,Temporary job,0.11044,35,7143,0.08901,0.14001
166,166,1995,Brandenburg,Permanent job,0.84358,278,7143,0.79132,0.90327
167,167,1995,Brandenburg,Temporary job,0.15642,57,7143,0.14057,0.17201
168,168,1995,Mecklenburg-Western Pomerania,Permanent job,0.80186,190,7143,0.73188,0.87899
169,169,1995,Mecklenburg-Western Pomerania,Temporary job,0.19814,44,7143,0.16212,0.2351
170,170,1995,Saxony,Permanent job,0.82615,497,7143,0.779,0.8754
171,171,1995,Saxony,Temporary job,0.17385,94,7143,0.1553,0.19555
172,172,1995,Saxony-Anhalt,Permanent job,0.79357,309,7143,0.74027,0.84445
173,173,1995,Saxony-Anhalt,Temporary job,0.20643,72,7143,0.1733,0.24186
174,174,1995,Thuringa,Permanent job,0.83097,291,7143,0.76894,0.89853
175,175,1995,Thuringa,Temporary job,0.16903,61,7143,0.13704,0.19817
176,176,1996,Schleswig-Holstein,Permanent job,1.0,128,6902,0.90377,1.09755
177,177,1996,Hamburg,Permanent job,1.0,63,6902,0.84493,1.18609
178,178,1996,Lower Saxony,Permanent job,0.90454,491,6902,0.84795,0.95904
179,179,1996,Lower Saxony,Temporary job,0.09546,58,6902,0.08094,0.11374
180,180,1996,Bremen,Permanent job,1.0,34,6902,0.79615,1.23682
181,181,1996,North Rhine-Westphalia,Permanent job,0.88668,1190,6902,0.8493,0.92312
182,182,1996,North Rhine-Westphalia,Temporary job,0.11332,161,6902,0.10061,0.12849
183,183,1996,Hesse,Permanent job,0.93149,456,6902,0.87068,1.00663
184,184,1996,Hesse,Temporary job,0.06851,32,6902,0.05348,0.08038
185,185,1996,"Rhineland-Palatinate, Saarland",Permanent job,0.89406,321,6902,0.82662,0.9599
186,186,1996,"Rhineland-Palatinate, Saarland",Temporary job,0.10594,40,6902,0.07979,0.13867
187,187,1996,Baden-Wuerttemberg,Permanent job,0.89594,827,6902,0.83772,0.95321
188,188,1996,Baden-Wuerttemberg,Temporary job,0.10406,97,6902,0.08379,0.12242
189,189,1996,Bavaria,Permanent job,0.88662,811,6902,0.84485,0.93476
190,190,1996,Bavaria,Temporary job,0.11338,99,6902,0.09816,0.13359
191,191,1996,Berlin,Permanent job,1.0,253,6902,0.92622,1.0876
192,192,1996,Brandenburg,Permanent job,0.8658,268,6902,0.81085,0.92653
193,193,1996,Brandenburg,Temporary job,0.1342,45,6902,0.11244,0.15924
194,194,1996,Mecklenburg-Western Pomerania,Permanent job,0.82969,173,6902,0.76577,0.90952
195,195,1996,Mecklenburg-Western Pomerania,Temporary job,0.17031,38,6902,0.14159,0.21287
196,196,1996,Saxony,Permanent job,0.83367,506,6902,0.7986,0.87342
197,197,1996,Saxony,Temporary job,0.16633,93,6902,0.14391,0.19256
198,198,1996,Saxony-Anhalt,Permanent job,0.80704,291,6902,0.74169,0.8666
199,199,1996,Saxony-Anhalt,Temporary job,0.19296,73,6902,0.16511,0.21963
200,200,1996,Thuringa,Permanent job,0.84463,291,6902,0.78792,0.90752
201,201,1996,Thuringa,Temporary job,0.15537,63,6902,0.13093,0.18103
202,202,1997,Schleswig-Holstein,Permanent job,1.0,128,6707,0.89686,1.10109
203,203,1997,Hamburg,Permanent job,1.0,56,6707,0.8077,1.22111
204,204,1997,Lower Saxony,Permanent job,0.85511,469,6707,0.80378,0.90809
205,205,1997,Lower Saxony,Temporary job,0.14489,81,6707,0.12084,0.16842
206,206,1997,Bremen,Permanent job,1.0,32,6707,0.79976,1.19779
207,207,1997,North Rhine-Westphalia,Permanent job,0.86066,1138,6707,0.82597,0.89701
208,208,1997,North Rhine-Westphalia,Temporary job,0.13934,195,6707,0.12704,0.15337
209,209,1997,Hesse,Permanent job,0.88872,407,6707,0.82892,0.95497
210,210,1997,Hesse,Temporary job,0.11128,40,6707,0.09235,0.13411
211,211,1997,"Rhineland-Palatinate, Saarland",Permanent job,0.88301,310,6707,0.82626,0.93888
212,212,1997,"Rhineland-Palatinate, Saarland",Temporary job,0.11699,43,6707,0.10013,0.13358
213,213,1997,Baden-Wuerttemberg,Permanent job,0.85167,774,6707,0.79932,0.90206
214,214,1997,Baden-Wuerttemberg,Temporary job,0.14833,127,6707,0.12834,0.16829
215,215,1997,Bavaria,Permanent job,0.90963,787,6707,0.85529,0.95939
216,216,1997,Bavaria,Temporary job,0.09037,88,6707,0.07857,0.10643
217,217,1997,Berlin,Permanent job,0.87621,226,6707,0.80562,0.9567
218,218,1997,Berlin,Temporary job,0.12379,38,6707,0.08864,0.16043
219,219,1997,Brandenburg,Permanent job,0.82489,259,6707,0.76746,0.89295
220,220,1997,Brandenburg,Temporary job,0.17511,56,6707,0.14921,0.20454
221,221,1997,Mecklenburg-Western Pomerania,Permanent job,0.84333,166,6707,0.77174,0.92713
222,222,1997,Mecklenburg-Western Pomerania,Temporary job,0.15667,37,6707,0.1377,0.18109
223,223,1997,Saxony,Permanent job,0.82568,474,6707,0.77827,0.87239
224,224,1997,Saxony,Temporary job,0.17432,97,6707,0.1535,0.20078
225,225,1997,Saxony-Anhalt,Permanent job,0.82925,283,6707,0.76762,0.88961
226,226,1997,Saxony-Anhalt,Temporary job,0.17075,61,6707,0.14337,0.20203
227,227,1997,Thuringa,Permanent job,0.83146,273,6707,0.77143,0.87861
228,228,1997,Thuringa,Temporary job,0.16854,62,6707,0.14276,0.19575
229,229,1998,Schleswig-Holstein,Permanent job,1.0,167,7365,0.90701,1.08458
230,230,1998,Hamburg,Permanent job,1.0,69,7365,0.8413,1.14885
231,231,1998,Lower Saxony,Permanent job,0.87342,552,7365,0.82891,0.92852
232,232,1998,Lower Saxony,Temporary job,0.12658,95,7365,0.11151,0.14044
233,233,1998,Bremen,Permanent job,1.0,39,7365,0.85691,1.1577
234,234,1998,North Rhine-Westphalia,Permanent job,0.88954,1288,7365,0.86021,0.92465
235,235,1998,North Rhine-Westphalia,Temporary job,0.11046,168,7365,0.09748,0.12157
236,236,1998,Hesse,Permanent job,0.86268,441,7365,0.81012,0.92728
237,237,1998,Hesse,Temporary job,0.13732,59,7365,0.11011,0.16612
238,238,1998,"Rhineland-Palatinate, Saarland",Permanent job,0.82399,336,7365,0.77336,0.87497
239,239,1998,"Rhineland-Palatinate, Saarland",Temporary job,0.17601,67,7365,0.14278,0.20687
240,240,1998,Baden-Wuerttemberg,Permanent job,0.87053,836,7365,0.82341,0.92078
241,241,1998,Baden-Wuerttemberg,Temporary job,0.12947,131,7365,0.10915,0.14965
242,242,1998,Bavaria,Permanent job,0.90458,885,7365,0.86044,0.94927
243,243,1998,Bavaria,Temporary job,0.09542,97,7365,0.08414,0.10632
244,244,1998,Berlin,Permanent job,0.83733,232,7365,0.78049,0.89731
245,245,1998,Berlin,Temporary job,0.16267,45,7365,0.11988,0.20357
246,246,1998,Brandenburg,Permanent job,0.81672,258,7365,0.75175,0.89053
247,247,1998,Brandenburg,Temporary job,0.18328,53,7365,0.15763,0.21659
248,248,1998,Mecklenburg-Western Pomerania,Permanent job,0.81383,172,7365,0.73112,0.88103
249,249,1998,Mecklenburg-Western Pomerania,Temporary job,0.18617,39,7365,0.1568,0.21052
250,250,1998,Saxony,Permanent job,0.81716,517,7365,0.77218,0.86665
251,251,1998,Saxony,Temporary job,0.18284,111,7365,0.16117,0.20328
252,252,1998,Saxony-Anhalt,Permanent job,0.84401,292,7365,0.78473,0.8997
253,253,1998,Saxony-Anhalt,Temporary job,0.15599,58,7365,0.13702,0.18236
254,254,1998,Thuringa,Permanent job,0.78946,285,7365,0.73678,0.85317
255,255,1998,Thuringa,Temporary job,0.21054,73,7365,0.18183,0.2388
256,256,1999,Schleswig-Holstein,Permanent job,1.0,158,7278,0.91764,1.0938
257,257,1999,Hamburg,Permanent job,1.0,67,7278,0.85563,1.15694
258,258,1999,Lower Saxony,Permanent job,0.84981,537,7278,0.80205,0.89807
259,259,1999,Lower Saxony,Temporary job,0.15019,106,7278,0.13218,0.1712
260,260,1999,Bremen,Permanent job,1.0,32,7278,0.85996,1.15166
261,261,1999,North Rhine-Westphalia,Permanent job,0.89335,1273,7278,0.85626,0.93556
262,262,1999,North Rhine-Westphalia,Temporary job,0.10665,168,7278,0.09639,0.11697
263,263,1999,Hesse,Permanent job,0.84652,412,7278,0.77566,0.91035
264,264,1999,Hesse,Temporary job,0.15348,70,7278,0.12951,0.17776
265,265,1999,"Rhineland-Palatinate, Saarland",Permanent job,0.84219,334,7278,0.7837,0.89622
266,266,1999,"Rhineland-Palatinate, Saarland",Temporary job,0.15781,60,7278,0.13692,0.18271
267,267,1999,Baden-Wuerttemberg,Permanent job,0.86925,819,7278,0.81841,0.91872
268,268,1999,Baden-Wuerttemberg,Temporary job,0.13075,119,7278,0.11304,0.14894
269,269,1999,Bavaria,Permanent job,0.88303,877,7278,0.84441,0.93444
270,270,1999,Bavaria,Temporary job,0.11697,117,7278,0.10429,0.1281
271,271,1999,Berlin,Permanent job,0.87368,219,7278,0.8042,0.93475
272,272,1999,Berlin,Temporary job,0.12632,42,7278,0.11039,0.13993
273,273,1999,Brandenburg,Permanent job,0.79769,243,7278,0.72869,0.86381
274,274,1999,Brandenburg,Temporary job,0.20231,63,7278,0.1695,0.23751
275,275,1999,Mecklenburg-Western Pomerania,Permanent job,0.81867,177,7278,0.7361,0.908
276,276,1999,Mecklenburg-Western Pomerania,Temporary job,0.18133,45,7278,0.15308,0.2082
277,277,1999,Saxony,Permanent job,0.82659,492,7278,0.78317,0.87834
278,278,1999,Saxony,Temporary job,0.17341,109,7278,0.15677,0.19162
279,279,1999,Saxony-Anhalt,Permanent job,0.78951,284,7278,0.72308,0.86573
280,280,1999,Saxony-Anhalt,Temporary job,0.21049,78,7278,0.18575,0.23755
281,281,1999,Thuringa,Permanent job,0.78387,293,7278,0.73143,0.85248
282,282,1999,Thuringa,Temporary job,0.21613,84,7278,0.18369,0.24948
283,283,2000,Schleswig-Holstein,Permanent job,0.90173,303,11652,0.85755,0.95864
284,284,2000,Schleswig-Holstein,Temporary job,0.09827,39,11652,0.08466,0.1107
285,285,2000,Hamburg,Permanent job,1.0,133,11652,0.93046,1.08693
286,286,2000,Lower Saxony,Permanent job,0.84441,831,11652,0.81125,0.87711
287,287,2000,Lower Saxony,Temporary job,0.15559,151,11652,0.13978,0.17103
288,288,2000,Bremen,Permanent job,1.0,79,11652,0.91304,1.11373
289,289,2000,North Rhine-Westphalia,Permanent job,0.87016,2154,11652,0.84802,0.89645
290,290,2000,North Rhine-Westphalia,Temporary job,0.12984,328,11652,0.12243,0.13724
291,291,2000,Hesse,Permanent job,0.84595,684,11652,0.81359,0.87693
292,292,2000,Hesse,Temporary job,0.15405,123,11652,0.13798,0.16761
293,293,2000,"Rhineland-Palatinate, Saarland",Permanent job,0.86368,572,11652,0.83642,0.9042
294,294,2000,"Rhineland-Palatinate, Saarland",Temporary job,0.13632,83,11652,0.12321,0.15303
295,295,2000,Baden-Wuerttemberg,Permanent job,0.87374,1291,11652,0.84557,0.90414
296,296,2000,Baden-Wuerttemberg,Temporary job,0.12626,169,11652,0.11543,0.13749
297,297,2000,Bavaria,Permanent job,0.88507,1478,11652,0.86011,0.91263
298,298,2000,Bavaria,Temporary job,0.11493,198,11652,0.10734,0.12374
299,299,2000,Berlin,Permanent job,0.90651,354,11652,0.85528,0.95439
300,300,2000,Berlin,Temporary job,0.09349,41,11652,0.07436,0.11362
301,301,2000,Brandenburg,Permanent job,0.7885,383,11652,0.74993,0.82763
302,302,2000,Brandenburg,Temporary job,0.2115,104,11652,0.19271,0.23556
303,303,2000,Mecklenburg-Western Pomerania,Permanent job,0.828,243,11652,0.76886,0.89085
304,304,2000,Mecklenburg-Western Pomerania,Temporary job,0.172,54,11652,0.15208,0.19752
305,305,2000,Saxony,Permanent job,0.8121,702,11652,0.77885,0.84177
306,306,2000,Saxony,Temporary job,0.1879,153,11652,0.17336,0.20472
307,307,2000,Saxony-Anhalt,Permanent job,0.80748,401,11652,0.7644,0.84841
308,308,2000,Saxony-Anhalt,Temporary job,0.19252,101,11652,0.17349,0.2131
309,309,2000,Thuringa,Permanent job,0.82479,406,11652,0.7815,0.87308
310,310,2000,Thuringa,Temporary job,0.17521,94,11652,0.15643,0.1936
311,311,2001,Schleswig-Holstein,Permanent job,0.89275,269,10598,0.82652,0.9655
312,312,2001,Schleswig-Holstein,Temporary job,0.10725,34,10598,0.08945,0.12558
313,313,2001,Hamburg,Permanent job,1.0,120,10598,0.90584,1.10546
314,314,2001,Lower Saxony,Permanent job,0.85863,730,10598,0.82102,0.8979
315,315,2001,Lower Saxony,Temporary job,0.14137,123,10598,0.12313,0.16172
316,316,2001,Bremen,Permanent job,1.0,64,10598,0.85455,1.15632
317,317,2001,North Rhine-Westphalia,Permanent job,0.88029,1984,10598,0.85316,0.90418
318,318,2001,North Rhine-Westphalia,Temporary job,0.11971,275,10598,0.11128,0.12741
319,319,2001,Hesse,Permanent job,0.84325,611,10598,0.80257,0.88593
320,320,2001,Hesse,Temporary job,0.15675,104,10598,0.14089,0.17324
321,321,2001,"Rhineland-Palatinate, Saarland",Permanent job,0.87826,529,10598,0.83734,0.92735
322,322,2001,"Rhineland-Palatinate, Saarland",Temporary job,0.12174,71,10598,0.10746,0.13736
323,323,2001,Baden-Wuerttemberg,Permanent job,0.87386,1161,10598,0.83957,0.91064
324,324,2001,Baden-Wuerttemberg,Temporary job,0.12614,164,10598,0.1114,0.13962
325,325,2001,Bavaria,Permanent job,0.89362,1344,10598,0.85938,0.92415
326,326,2001,Bavaria,Temporary job,0.10638,167,10598,0.09691,0.11636
327,327,2001,Berlin,Permanent job,0.87912,347,10598,0.82443,0.92966
328,328,2001,Berlin,Temporary job,0.12088,48,10598,0.10472,0.14257
329,329,2001,Brandenburg,Permanent job,0.77012,353,10598,0.72447,0.81882
330,330,2001,Brandenburg,Temporary job,0.22988,112,10598,0.20295,0.25799
