"plb0037_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Befristet","1986","(Fach-)Abitur","Laendlicher Raum","4","","",""
"Befristet","1986","(Fach-)Abitur","Staedtischer Raum","15","","",""
"Befristet","1986","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Befristet","1986","(noch) kein Abschluss","Staedtischer Raum","6","","",""
"Befristet","1986","AkademikerIn","Laendlicher Raum","3","","",""
"Befristet","1986","AkademikerIn","Staedtischer Raum","22","","",""
"Befristet","1986","Hauptschule","Laendlicher Raum","27","","",""
"Befristet","1986","Hauptschule","Staedtischer Raum","63","0.150191494124133","0.112048362524721","0.188334625723545"
"Befristet","1986","Realschule","Laendlicher Raum","17","","",""
"Befristet","1986","Realschule","Staedtischer Raum","52","0.32978509592901","0.256245571372866","0.403324620485154"
"Unbefristet","1986","(Fach-)Abitur","Laendlicher Raum","7","","",""
"Unbefristet","1986","(Fach-)Abitur","Staedtischer Raum","51","0.718466415121349","0.609962736020064","0.826970094222635"
"Unbefristet","1986","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Unbefristet","1986","(noch) kein Abschluss","Staedtischer Raum","20","","",""
"Unbefristet","1986","AkademikerIn","Laendlicher Raum","10","","",""
"Unbefristet","1986","AkademikerIn","Staedtischer Raum","54","0.720489383891143","0.619597962245546","0.82138080553674"
"Unbefristet","1986","Hauptschule","Laendlicher Raum","61","0.660318475657229","0.561367645456186","0.759269305858272"
"Unbefristet","1986","Hauptschule","Staedtischer Raum","274","0.849808505875867","0.811665374276455","0.887951637475279"
"Unbefristet","1986","Realschule","Laendlicher Raum","28","","",""
"Unbefristet","1986","Realschule","Staedtischer Raum","105","0.67021490407099","0.596675379514846","0.743754428627134"
"Befristet","1987","(Fach-)Abitur","Laendlicher Raum","7","","",""
"Befristet","1987","(Fach-)Abitur","Staedtischer Raum","37","0.391078640749936","0.294462940525716","0.487694340974157"
"Befristet","1987","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Befristet","1987","(noch) kein Abschluss","Staedtischer Raum","9","","",""
"Befristet","1987","AkademikerIn","Laendlicher Raum","1","","",""
"Befristet","1987","AkademikerIn","Staedtischer Raum","31","0.305058990279459","0.209934417127935","0.400183563430984"
"Befristet","1987","Hauptschule","Laendlicher Raum","44","0.223868168812738","0.161023468462572","0.286712869162904"
"Befristet","1987","Hauptschule","Staedtischer Raum","105","0.225148817379641","0.185155717781134","0.265141916978148"
"Befristet","1987","Realschule","Laendlicher Raum","21","","",""
"Befristet","1987","Realschule","Staedtischer Raum","64","0.286953514748225","0.22330153409725","0.3506054953992"
"Unbefristet","1987","(Fach-)Abitur","Laendlicher Raum","7","","",""
"Unbefristet","1987","(Fach-)Abitur","Staedtischer Raum","61","0.608921359250064","0.512305659025843","0.705537059474284"
"Unbefristet","1987","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Unbefristet","1987","(noch) kein Abschluss","Staedtischer Raum","36","0.838359188491655","0.730803741501271","0.94591463548204"
"Unbefristet","1987","AkademikerIn","Laendlicher Raum","13","","",""
"Unbefristet","1987","AkademikerIn","Staedtischer Raum","59","0.694941009720541","0.599816436569016","0.790065582872066"
"Unbefristet","1987","Hauptschule","Laendlicher Raum","125","0.776131831187262","0.713287130837096","0.838976531537428"
"Unbefristet","1987","Hauptschule","Staedtischer Raum","314","0.774851182620359","0.734858083021852","0.814844282218866"
"Unbefristet","1987","Realschule","Laendlicher Raum","43","0.644280603903672","0.526993731420902","0.761567476386443"
"Unbefristet","1987","Realschule","Staedtischer Raum","130","0.713046485251775","0.649394504600801","0.77669846590275"
"Befristet","1988","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Befristet","1988","(Fach-)Abitur","Staedtischer Raum","65","0.215595092190649","0.170325347393722","0.260864836987576"
"Befristet","1988","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Befristet","1988","(noch) kein Abschluss","Staedtischer Raum","26","","",""
"Befristet","1988","AkademikerIn","Laendlicher Raum","5","","",""
"Befristet","1988","AkademikerIn","Staedtischer Raum","44","0.110740895567702","0.0799879817495309","0.141493809385872"
"Befristet","1988","Hauptschule","Laendlicher Raum","82","0.138813956322017","0.112110331666624","0.165517580977409"
"Befristet","1988","Hauptschule","Staedtischer Raum","210","0.0691450322412302","0.0588569796902898","0.0794330847921706"
"Befristet","1988","Realschule","Laendlicher Raum","47","0.194911847904236","0.143036034545151","0.246787661263321"
"Befristet","1988","Realschule","Staedtischer Raum","119","0.114527756776344","0.0920640048708166","0.136991508681872"
"Unbefristet","1988","(Fach-)Abitur","Laendlicher Raum","30","0.631074069666404","0.490095989340582","0.772052149992225"
"Unbefristet","1988","(Fach-)Abitur","Staedtischer Raum","252","0.784404907809351","0.739135163012424","0.829674652606278"
"Unbefristet","1988","(noch) kein Abschluss","Laendlicher Raum","45","0.867085279112105","0.772031913378499","0.96213864484571"
"Unbefristet","1988","(noch) kein Abschluss","Staedtischer Raum","306","0.879153083447138","0.844091696817323","0.914214470076953"
"Unbefristet","1988","AkademikerIn","Laendlicher Raum","68","0.929268465310493","0.870456756077862","0.988080174543125"
"Unbefristet","1988","AkademikerIn","Staedtischer Raum","356","0.889259104432298","0.858506190614128","0.920012018250469"
"Unbefristet","1988","Hauptschule","Laendlicher Raum","562","0.861186043677983","0.834482419022591","0.887889668333376"
"Unbefristet","1988","Hauptschule","Staedtischer Raum","2126","0.93085496775877","0.920566915207829","0.94114302030971"
"Unbefristet","1988","Realschule","Laendlicher Raum","177","0.805088152095764","0.753212338736679","0.856963965454849"
"Unbefristet","1988","Realschule","Staedtischer Raum","653","0.885472243223656","0.863008491318128","0.907935995129183"
"Befristet","1989","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Befristet","1989","(Fach-)Abitur","Staedtischer Raum","29","","",""
"Befristet","1989","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Befristet","1989","(noch) kein Abschluss","Staedtischer Raum","8","","",""
"Befristet","1989","AkademikerIn","Laendlicher Raum","2","","",""
"Befristet","1989","AkademikerIn","Staedtischer Raum","19","","",""
"Befristet","1989","Hauptschule","Laendlicher Raum","17","","",""
"Befristet","1989","Hauptschule","Staedtischer Raum","95","0.253111640886906","0.205695005393319","0.300528276380492"
"Befristet","1989","Realschule","Laendlicher Raum","13","","",""
"Befristet","1989","Realschule","Staedtischer Raum","52","0.269444490134659","0.201747808209204","0.337141172060114"
"Unbefristet","1989","(Fach-)Abitur","Laendlicher Raum","5","","",""
"Unbefristet","1989","(Fach-)Abitur","Staedtischer Raum","64","0.728755726328839","0.638395378060756","0.819116074596922"
"Unbefristet","1989","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Unbefristet","1989","(noch) kein Abschluss","Staedtischer Raum","29","","",""
"Unbefristet","1989","AkademikerIn","Laendlicher Raum","9","","",""
"Unbefristet","1989","AkademikerIn","Staedtischer Raum","57","0.804996559201177","0.715920818135819","0.894072300266535"
"Unbefristet","1989","Hauptschule","Laendlicher Raum","91","0.821509873594895","0.749291167091312","0.893728580098478"
"Unbefristet","1989","Hauptschule","Staedtischer Raum","228","0.746888359113094","0.699471723619508","0.794304994606681"
"Unbefristet","1989","Realschule","Laendlicher Raum","30","0.759304344734531","0.63152639034322","0.887082299125842"
"Unbefristet","1989","Realschule","Staedtischer Raum","113","0.730555509865341","0.662858827939887","0.798252191790796"
"Befristet","1990","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Befristet","1990","(Fach-)Abitur","Staedtischer Raum","29","","",""
"Befristet","1990","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Befristet","1990","(noch) kein Abschluss","Staedtischer Raum","6","","",""
"Befristet","1990","AkademikerIn","Laendlicher Raum","1","","",""
"Befristet","1990","AkademikerIn","Staedtischer Raum","19","","",""
"Befristet","1990","Hauptschule","Laendlicher Raum","18","","",""
"Befristet","1990","Hauptschule","Staedtischer Raum","79","0.215716763371175","0.171866909053992","0.259566617688358"
"Befristet","1990","Realschule","Laendlicher Raum","12","","",""
"Befristet","1990","Realschule","Staedtischer Raum","47","0.256665056852324","0.189814994803228","0.32351511890142"
"Unbefristet","1990","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Unbefristet","1990","(Fach-)Abitur","Staedtischer Raum","58","0.701395344086645","0.605230088194916","0.797560599978373"
"Unbefristet","1990","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Unbefristet","1990","(noch) kein Abschluss","Staedtischer Raum","30","0.90661001088079","0.81155888659253","1.00166113516905"
"Unbefristet","1990","AkademikerIn","Laendlicher Raum","9","","",""
"Unbefristet","1990","AkademikerIn","Staedtischer Raum","53","0.721497420262441","0.61795606498238","0.825038775542503"
"Unbefristet","1990","Hauptschule","Laendlicher Raum","102","0.879127907749722","0.820804012505251","0.937451802994192"
"Unbefristet","1990","Hauptschule","Staedtischer Raum","259","0.784283236628825","0.740433382311642","0.828133090946008"
"Unbefristet","1990","Realschule","Laendlicher Raum","39","0.745016394390115","0.625396876749818","0.864635912030411"
"Unbefristet","1990","Realschule","Staedtischer Raum","117","0.743334943147676","0.67648488109858","0.810185005196772"
"Befristet","1991","(Fach-)Abitur","Laendlicher Raum","11","","",""
"Befristet","1991","(Fach-)Abitur","Staedtischer Raum","27","","",""
"Befristet","1991","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Befristet","1991","(noch) kein Abschluss","Staedtischer Raum","10","","",""
"Befristet","1991","AkademikerIn","Laendlicher Raum","30","0.264103044815622","0.189179644758348","0.339026444872897"
"Befristet","1991","AkademikerIn","Staedtischer Raum","46","0.273557399533333","0.209493037688306","0.33762176137836"
"Befristet","1991","Hauptschule","Laendlicher Raum","34","0.223609382473414","0.160975579666016","0.286243185280812"
"Befristet","1991","Hauptschule","Staedtischer Raum","81","0.203830098895026","0.163746264108717","0.243913933681336"
"Befristet","1991","Realschule","Laendlicher Raum","63","0.223573742923493","0.173504874253837","0.273642611593149"
"Befristet","1991","Realschule","Staedtischer Raum","58","0.153031235888133","0.110403079592942","0.195659392183325"
"Unbefristet","1991","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Unbefristet","1991","(Fach-)Abitur","Staedtischer Raum","74","0.731246718775942","0.644790496116872","0.817702941435011"
"Unbefristet","1991","(noch) kein Abschluss","Laendlicher Raum","8","","",""
"Unbefristet","1991","(noch) kein Abschluss","Staedtischer Raum","39","0.783089054203439","0.667691564424354","0.898486543982523"
"Unbefristet","1991","AkademikerIn","Laendlicher Raum","103","0.735896955184378","0.660973555127103","0.810820355241653"
"Unbefristet","1991","AkademikerIn","Staedtischer Raum","140","0.726442600466667","0.66237823862164","0.790506962311694"
"Unbefristet","1991","Hauptschule","Laendlicher Raum","136","0.776390617526586","0.713756814719188","0.839024420333984"
"Unbefristet","1991","Hauptschule","Staedtischer Raum","307","0.796169901104974","0.756086066318664","0.836253735891283"
"Unbefristet","1991","Realschule","Laendlicher Raum","203","0.776426257076507","0.726357388406851","0.826495125746163"
"Unbefristet","1991","Realschule","Staedtischer Raum","216","0.846968764111867","0.804340607816675","0.889596920407058"
"Befristet","1992","(Fach-)Abitur","Laendlicher Raum","14","","",""
"Befristet","1992","(Fach-)Abitur","Staedtischer Raum","31","0.341941770022347","0.240500030425705","0.443383509618989"
"Befristet","1992","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Befristet","1992","(noch) kein Abschluss","Staedtischer Raum","3","","",""
"Befristet","1992","AkademikerIn","Laendlicher Raum","31","0.252662171850059","0.179631174421356","0.325693169278763"
"Befristet","1992","AkademikerIn","Staedtischer Raum","39","0.234327532137064","0.170466208832449","0.298188855441679"
"Befristet","1992","Hauptschule","Laendlicher Raum","67","0.270719230184829","0.21118755020089","0.330250910168769"
"Befristet","1992","Hauptschule","Staedtischer Raum","75","0.20610511971209","0.164085803321703","0.248124436102477"
"Befristet","1992","Realschule","Laendlicher Raum","57","0.237802008964789","0.183136702146246","0.292467315783333"
"Befristet","1992","Realschule","Staedtischer Raum","57","0.183691327986146","0.137924240461219","0.229458415511073"
"Unbefristet","1992","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Unbefristet","1992","(Fach-)Abitur","Staedtischer Raum","53","0.658058229977653","0.556616490381011","0.759499969574295"
"Unbefristet","1992","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Unbefristet","1992","(noch) kein Abschluss","Staedtischer Raum","26","","",""
"Unbefristet","1992","AkademikerIn","Laendlicher Raum","105","0.747337828149941","0.674306830721237","0.820368825578644"
"Unbefristet","1992","AkademikerIn","Staedtischer Raum","130","0.765672467862936","0.701811144558321","0.829533791167551"
"Unbefristet","1992","Hauptschule","Laendlicher Raum","147","0.729280769815171","0.669749089831231","0.78881244979911"
"Unbefristet","1992","Hauptschule","Staedtischer Raum","281","0.79389488028791","0.751875563897523","0.835914196678297"
"Unbefristet","1992","Realschule","Laendlicher Raum","176","0.762197991035211","0.707532684216667","0.816863297853755"
"Unbefristet","1992","Realschule","Staedtischer Raum","218","0.816308672013854","0.770541584488927","0.862075759538781"
"Befristet","1993","(Fach-)Abitur","Laendlicher Raum","12","","",""
"Befristet","1993","(Fach-)Abitur","Staedtischer Raum","23","","",""
"Befristet","1993","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Befristet","1993","(noch) kein Abschluss","Staedtischer Raum","4","","",""
"Befristet","1993","AkademikerIn","Laendlicher Raum","19","","",""
"Befristet","1993","AkademikerIn","Staedtischer Raum","41","0.239626214604394","0.17656352510758","0.302688904101207"
"Befristet","1993","Hauptschule","Laendlicher Raum","40","0.259972579469834","0.190243493117761","0.329701665821908"
"Befristet","1993","Hauptschule","Staedtischer Raum","67","0.189708689131462","0.145635396029552","0.233781982233372"
"Befristet","1993","Realschule","Laendlicher Raum","52","0.276389037841102","0.215319103005295","0.337458972676908"
"Befristet","1993","Realschule","Staedtischer Raum","41","0.161767765600008","0.116747329076912","0.206788202123105"
"Unbefristet","1993","(Fach-)Abitur","Laendlicher Raum","16","","",""
"Unbefristet","1993","(Fach-)Abitur","Staedtischer Raum","71","0.794317731358681","0.712606882954904","0.876028579762457"
"Unbefristet","1993","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Unbefristet","1993","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Unbefristet","1993","AkademikerIn","Laendlicher Raum","69","0.747441859676536","0.656664792249713","0.838218927103359"
"Unbefristet","1993","AkademikerIn","Staedtischer Raum","135","0.760373785395606","0.697311095898793","0.82343647489242"
"Unbefristet","1993","Hauptschule","Laendlicher Raum","112","0.740027420530166","0.670298334178092","0.809756506882239"
"Unbefristet","1993","Hauptschule","Staedtischer Raum","237","0.810291310868538","0.766218017766628","0.854364603970448"
"Unbefristet","1993","Realschule","Laendlicher Raum","154","0.723610962158898","0.662541027323092","0.784680896994705"
"Unbefristet","1993","Realschule","Staedtischer Raum","216","0.838232234399991","0.793211797876895","0.883252670923088"
"Befristet","1994","(Fach-)Abitur","Laendlicher Raum","23","","",""
"Befristet","1994","(Fach-)Abitur","Staedtischer Raum","38","0.445403468158433","0.343844203141172","0.546962733175693"
"Befristet","1994","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Befristet","1994","(noch) kein Abschluss","Staedtischer Raum","10","","",""
"Befristet","1994","AkademikerIn","Laendlicher Raum","23","","",""
"Befristet","1994","AkademikerIn","Staedtischer Raum","42","0.282339642640534","0.205256776931159","0.359422508349908"
"Befristet","1994","Hauptschule","Laendlicher Raum","52","0.392683234174158","0.314006550013956","0.471359918334361"
"Befristet","1994","Hauptschule","Staedtischer Raum","73","0.198582722849885","0.151173403525857","0.245992042173913"
"Befristet","1994","Realschule","Laendlicher Raum","65","0.337240876389846","0.269661041169758","0.404820711609933"
"Befristet","1994","Realschule","Staedtischer Raum","56","0.287445162102351","0.22777755758774","0.347112766616962"
"Unbefristet","1994","(Fach-)Abitur","Laendlicher Raum","16","","",""
"Unbefristet","1994","(Fach-)Abitur","Staedtischer Raum","54","0.554596531841567","0.453037266824306","0.656155796858828"
"Unbefristet","1994","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Unbefristet","1994","(noch) kein Abschluss","Staedtischer Raum","15","","",""
"Unbefristet","1994","AkademikerIn","Laendlicher Raum","37","0.651186707461271","0.530593806514489","0.771779608408054"
"Unbefristet","1994","AkademikerIn","Staedtischer Raum","89","0.717660357359467","0.640577491650092","0.794743223068841"
"Unbefristet","1994","Hauptschule","Laendlicher Raum","96","0.607316765825842","0.528640081665639","0.685993449986044"
"Unbefristet","1994","Hauptschule","Staedtischer Raum","199","0.801417277150115","0.754007957826087","0.848826596474142"
"Unbefristet","1994","Realschule","Laendlicher Raum","123","0.662759123610155","0.595179288390067","0.730338958830242"
"Unbefristet","1994","Realschule","Staedtischer Raum","165","0.712554837897649","0.652887233383038","0.77222244241226"
"Befristet","1995","(Fach-)Abitur","Laendlicher Raum","42","0.223746917140088","0.155678281766021","0.291815552514154"
"Befristet","1995","(Fach-)Abitur","Staedtischer Raum","81","0.204287101538185","0.165728425081745","0.242845777994626"
"Befristet","1995","(noch) kein Abschluss","Laendlicher Raum","9","","",""
"Befristet","1995","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Befristet","1995","AkademikerIn","Laendlicher Raum","44","0.110963073460798","0.081481274183375","0.140444872738222"
"Befristet","1995","AkademikerIn","Staedtischer Raum","94","0.126414077386596","0.102678427017936","0.150149727755256"
"Befristet","1995","Hauptschule","Laendlicher Raum","142","0.169318786968646","0.144469505639042","0.19416806829825"
"Befristet","1995","Hauptschule","Staedtischer Raum","164","0.0691621061102472","0.0580890812675994","0.080235130952895"
"Befristet","1995","Realschule","Laendlicher Raum","160","0.154321014789418","0.131348867457752","0.177293162121084"
"Befristet","1995","Realschule","Staedtischer Raum","122","0.0955758038965282","0.0783417575986777","0.112809850194379"
"Unbefristet","1995","(Fach-)Abitur","Laendlicher Raum","102","0.776253082859912","0.708184447485846","0.844321718233979"
"Unbefristet","1995","(Fach-)Abitur","Staedtischer Raum","339","0.795712898461815","0.757154222005374","0.834271574918255"
"Unbefristet","1995","(noch) kein Abschluss","Laendlicher Raum","40","0.762779062586919","0.643675173768745","0.881882951405093"
"Unbefristet","1995","(noch) kein Abschluss","Staedtischer Raum","202","0.901274495868869","0.861857822233187","0.94069116950455"
"Unbefristet","1995","AkademikerIn","Laendlicher Raum","392","0.889036926539202","0.859555127261778","0.918518725816625"
"Unbefristet","1995","AkademikerIn","Staedtischer Raum","659","0.873585922613404","0.849850272244744","0.897321572982064"
"Unbefristet","1995","Hauptschule","Laendlicher Raum","733","0.830681213031354","0.80583193170175","0.855530494360958"
"Unbefristet","1995","Hauptschule","Staedtischer Raum","1853","0.930837893889753","0.919764869047105","0.941910918732401"
"Unbefristet","1995","Realschule","Laendlicher Raum","790","0.845678985210582","0.822706837878916","0.868651132542248"
"Unbefristet","1995","Realschule","Staedtischer Raum","996","0.904424196103472","0.887190149805621","0.921658242401322"
"Befristet","1996","(Fach-)Abitur","Laendlicher Raum","38","0.227556479564834","0.159781812307888","0.295331146821781"
"Befristet","1996","(Fach-)Abitur","Staedtischer Raum","72","0.160136859031672","0.12502199481689","0.195251723246453"
"Befristet","1996","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Befristet","1996","(noch) kein Abschluss","Staedtischer Raum","16","","",""
"Befristet","1996","AkademikerIn","Laendlicher Raum","37","0.086705906721218","0.0598573136821074","0.113554499760329"
"Befristet","1996","AkademikerIn","Staedtischer Raum","80","0.11923835330654","0.0958576757614074","0.142619030851673"
"Befristet","1996","Hauptschule","Laendlicher Raum","124","0.128136437939141","0.105771637141195","0.150501238737087"
"Befristet","1996","Hauptschule","Staedtischer Raum","177","0.0874315385034099","0.0747472126871154","0.100115864319704"
"Befristet","1996","Realschule","Laendlicher Raum","138","0.136811928496515","0.114435091945643","0.159188765047387"
"Befristet","1996","Realschule","Staedtischer Raum","130","0.10093277213904","0.0833376988499911","0.11852784542809"
"Unbefristet","1996","(Fach-)Abitur","Laendlicher Raum","109","0.772443520435166","0.704668853178219","0.840218187692112"
"Unbefristet","1996","(Fach-)Abitur","Staedtischer Raum","347","0.839863140968328","0.804748276753547","0.87497800518311"
"Unbefristet","1996","(noch) kein Abschluss","Laendlicher Raum","37","0.768424855609689","0.642340693386884","0.894509017832495"
"Unbefristet","1996","(noch) kein Abschluss","Staedtischer Raum","187","0.888331329015662","0.845004866139587","0.931657791891736"
"Unbefristet","1996","AkademikerIn","Laendlicher Raum","385","0.913294093278782","0.886445500239671","0.940142686317893"
"Unbefristet","1996","AkademikerIn","Staedtischer Raum","658","0.88076164669346","0.857380969148327","0.904142324238593"
"Unbefristet","1996","Hauptschule","Laendlicher Raum","734","0.871863562060859","0.849498761262913","0.894228362858805"
"Unbefristet","1996","Hauptschule","Staedtischer Raum","1728","0.91256846149659","0.899884135680296","0.925252787312885"
"Unbefristet","1996","Realschule","Laendlicher Raum","768","0.863188071503485","0.840811234952613","0.885564908054357"
"Unbefristet","1996","Realschule","Staedtischer Raum","996","0.89906722786096","0.88147215457191","0.916662301150009"
"Befristet","1997","(Fach-)Abitur","Laendlicher Raum","30","0.223135456814789","0.153161637355651","0.293109276273926"
"Befristet","1997","(Fach-)Abitur","Staedtischer Raum","90","0.19396040978009","0.15671790552046","0.231202914039721"
"Befristet","1997","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Befristet","1997","(noch) kein Abschluss","Staedtischer Raum","14","","",""
"Befristet","1997","AkademikerIn","Laendlicher Raum","53","0.143367749229516","0.110244204466666","0.176491293992366"
"Befristet","1997","AkademikerIn","Staedtischer Raum","89","0.130231517531071","0.106031617726414","0.154431417335728"
"Befristet","1997","Hauptschule","Laendlicher Raum","107","0.112340017357417","0.0904576823988772","0.134222352315958"
"Befristet","1997","Hauptschule","Staedtischer Raum","197","0.101848136776198","0.0878213306126058","0.115874942939791"
"Befristet","1997","Realschule","Laendlicher Raum","156","0.164285426389553","0.139914607873264","0.188656244905842"
"Befristet","1997","Realschule","Staedtischer Raum","152","0.118401864498265","0.099239399524904","0.137564329471626"
"Unbefristet","1997","(Fach-)Abitur","Laendlicher Raum","106","0.776864543185211","0.706890723726074","0.846838362644349"
"Unbefristet","1997","(Fach-)Abitur","Staedtischer Raum","343","0.80603959021991","0.768797085960279","0.84328209447954"
"Unbefristet","1997","(noch) kein Abschluss","Laendlicher Raum","39","0.866330987917449","0.767991833680231","0.964670142154668"
"Unbefristet","1997","(noch) kein Abschluss","Staedtischer Raum","165","0.866405306514633","0.816565455978947","0.916245157050319"
"Unbefristet","1997","AkademikerIn","Laendlicher Raum","377","0.856632250770484","0.823508706007634","0.889755795533334"
"Unbefristet","1997","AkademikerIn","Staedtischer Raum","654","0.869768482468929","0.845568582664272","0.893968382273586"
"Unbefristet","1997","Hauptschule","Laendlicher Raum","693","0.887659982642583","0.865777647684042","0.909542317601123"
"Unbefristet","1997","Hauptschule","Staedtischer Raum","1589","0.898151863223802","0.884125057060209","0.912178669387394"
"Unbefristet","1997","Realschule","Laendlicher Raum","732","0.835714573610447","0.811343755094157","0.860085392126736"
"Unbefristet","1997","Realschule","Staedtischer Raum","940","0.881598135501735","0.862435670528374","0.900760600475096"
"Befristet","1998","(Fach-)Abitur","Laendlicher Raum","31","0.233827684498671","0.165404920197444","0.302250448799898"
"Befristet","1998","(Fach-)Abitur","Staedtischer Raum","99","0.202113107832011","0.166665042562211","0.237561173101812"
"Befristet","1998","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Befristet","1998","(noch) kein Abschluss","Staedtischer Raum","14","","",""
"Befristet","1998","AkademikerIn","Laendlicher Raum","40","0.100191609804319","0.0725419567295887","0.127841262879049"
"Befristet","1998","AkademikerIn","Staedtischer Raum","94","0.127840341486964","0.104873459715698","0.15080722325823"
"Befristet","1998","Hauptschule","Laendlicher Raum","120","0.116620134518361","0.095042732889227","0.138197536147495"
"Befristet","1998","Hauptschule","Staedtischer Raum","218","0.111385849066868","0.097099762220149","0.125671935913586"
"Befristet","1998","Realschule","Laendlicher Raum","165","0.158097514790671","0.135114667591394","0.181080361989949"
"Befristet","1998","Realschule","Staedtischer Raum","162","0.118570963483753","0.100489575773863","0.136652351193642"
"Unbefristet","1998","(Fach-)Abitur","Laendlicher Raum","116","0.766172315501329","0.697749551200102","0.834595079802556"
"Unbefristet","1998","(Fach-)Abitur","Staedtischer Raum","394","0.797886892167989","0.762438826898188","0.83333495743779"
"Unbefristet","1998","(noch) kein Abschluss","Laendlicher Raum","43","0.958802927515357","0.900734550530597","1.01687130450012"
"Unbefristet","1998","(noch) kein Abschluss","Staedtischer Raum","161","0.902237978579099","0.858235746707876","0.946240210450322"
"Unbefristet","1998","AkademikerIn","Laendlicher Raum","413","0.899808390195681","0.872158737120951","0.927458043270411"
"Unbefristet","1998","AkademikerIn","Staedtischer Raum","718","0.872159658513036","0.84919277674177","0.895126540284302"
"Unbefristet","1998","Hauptschule","Laendlicher Raum","730","0.883379865481639","0.861802463852505","0.904957267110773"
"Unbefristet","1998","Hauptschule","Staedtischer Raum","1645","0.888614150933132","0.874328064086414","0.902900237779851"
"Unbefristet","1998","Realschule","Laendlicher Raum","803","0.841902485209329","0.818919638010051","0.864885332408606"
"Unbefristet","1998","Realschule","Staedtischer Raum","1066","0.881429036516247","0.863347648806358","0.899510424226137"
"Befristet","1999","(Fach-)Abitur","Laendlicher Raum","39","0.215322810275996","0.150820343233354","0.279825277318638"
"Befristet","1999","(Fach-)Abitur","Staedtischer Raum","98","0.185306319717981","0.151418417047872","0.219194222388091"
