year,bula_h,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,Bavaria,West,Temporary job,0.01320,34,154,-0.00488,0.03129
1989,Berlin,West,Permanent job,0.07667,32,32,-0.01699,0.17034
1990,Lower Saxony,West,Permanent job,0.05578,66,66,-0.00001,0.11157
1990,North Rhine-Westphalia,West,Permanent job,0.05489,167,241,0.02607,0.08371
1990,North Rhine-Westphalia,West,Temporary job,0.01988,74,241,0.00222,0.03754
1990,Hesse,West,Permanent job,0.05865,77,77,0.00582,0.11148
1990,Baden-Wuerttemberg,West,Permanent job,0.06486,159,202,0.03081,0.09891
1990,Baden-Wuerttemberg,West,Temporary job,0.01771,43,202,-0.00053,0.03594
1990,Bavaria,West,Permanent job,0.06699,142,142,0.02572,0.10826
1990,Berlin,East,Permanent job,0.47799,209,209,0.41011,0.54588
1990,Brandenburg,East,Permanent job,0.49313,499,531,0.45057,0.53569
1990,Brandenburg,East,Temporary job,0.03533,32,531,0.01961,0.05105
1990,Mecklenburg-Western Pomerania,East,Permanent job,0.52128,356,356,0.46932,0.57325
1990,Saxony,East,Permanent job,0.49681,918,991,0.46566,0.52795
1990,Saxony,East,Temporary job,0.03594,73,991,0.02435,0.04754
1990,Saxony-Anhalt,East,Permanent job,0.49873,557,603,0.45878,0.53867
1990,Saxony-Anhalt,East,Temporary job,0.04024,46,603,0.02454,0.05594
1990,Thuringa,East,Permanent job,0.48590,509,543,0.44382,0.52797
1990,Thuringa,East,Temporary job,0.03225,34,543,0.01737,0.04712
1991,Lower Saxony,West,Permanent job,0.05830,78,78,0.00596,0.11063
1991,North Rhine-Westphalia,West,Permanent job,0.05258,165,235,0.02398,0.08118
1991,North Rhine-Westphalia,West,Temporary job,0.02089,70,235,0.00257,0.03922
1991,Hesse,West,Permanent job,0.04893,77,77,0.00043,0.09744
1991,"Rhineland-Palatinate, Saarland",West,Permanent job,0.06703,57,57,0.00153,0.13253
1991,Baden-Wuerttemberg,West,Permanent job,0.06198,154,195,0.02805,0.09591
1991,Baden-Wuerttemberg,West,Temporary job,0.01403,41,195,-0.00252,0.03057
1991,Bavaria,West,Permanent job,0.05605,126,159,0.02018,0.09192
1991,Bavaria,West,Temporary job,0.01400,33,159,-0.00432,0.03232
1991,Berlin,East,Permanent job,0.11188,47,47,0.02079,0.20298
1991,Brandenburg,East,Permanent job,0.08991,87,87,0.02945,0.15037
1991,Mecklenburg-Western Pomerania,East,Permanent job,0.10147,65,65,0.02749,0.17545
1991,Saxony,East,Permanent job,0.08378,147,194,0.04469,0.12287
1991,Saxony,East,Temporary job,0.02754,47,194,0.00445,0.05062
1991,Saxony-Anhalt,East,Permanent job,0.09736,106,106,0.04066,0.15406
1991,Thuringa,East,Permanent job,0.09240,95,95,0.03386,0.15094
1992,Lower Saxony,West,Permanent job,0.04905,69,69,-0.00228,0.10039
1992,North Rhine-Westphalia,West,Permanent job,0.04745,168,229,0.01985,0.07504
1992,North Rhine-Westphalia,West,Temporary job,0.01689,61,229,0.00017,0.03362
1992,Hesse,West,Permanent job,0.04679,66,66,-0.00455,0.09813
1992,"Rhineland-Palatinate, Saarland",West,Permanent job,0.05156,43,43,-0.01532,0.11843
1992,Baden-Wuerttemberg,West,Permanent job,0.05820,136,170,0.02290,0.09350
1992,Baden-Wuerttemberg,West,Temporary job,0.01191,34,170,-0.00445,0.02826
1992,Bavaria,West,Permanent job,0.05841,145,145,0.02010,0.09671
1992,Berlin,East,Permanent job,0.12935,51,51,0.03633,0.22237
1992,Brandenburg,East,Permanent job,0.10629,85,85,0.04038,0.17220
1992,Mecklenburg-Western Pomerania,East,Permanent job,0.10382,63,63,0.02789,0.17975
1992,Saxony,East,Permanent job,0.08061,130,182,0.04095,0.12027
1992,Saxony,East,Temporary job,0.03743,52,182,0.00978,0.06508
1992,Saxony-Anhalt,East,Permanent job,0.09095,98,139,0.04298,0.13893
1992,Saxony-Anhalt,East,Temporary job,0.03767,41,139,0.00590,0.06943
1992,Thuringa,East,Permanent job,0.09094,93,134,0.04207,0.13980
1992,Thuringa,East,Temporary job,0.04503,41,134,0.00979,0.08028
1993,Lower Saxony,West,Permanent job,0.04422,69,69,-0.00465,0.09308
1993,North Rhine-Westphalia,West,Permanent job,0.05315,166,227,0.02390,0.08239
1993,North Rhine-Westphalia,West,Temporary job,0.02002,61,227,0.00176,0.03828
1993,Hesse,West,Permanent job,0.06230,64,64,0.00262,0.12199
1993,"Rhineland-Palatinate, Saarland",West,Permanent job,0.04303,40,40,-0.02066,0.10671
1993,Baden-Wuerttemberg,West,Permanent job,0.04842,114,114,0.00884,0.08800
1993,Bavaria,West,Permanent job,0.04985,111,145,0.01430,0.08539
1993,Bavaria,West,Temporary job,0.01754,34,145,-0.00390,0.03897
1993,Berlin,East,Permanent job,0.12912,46,46,0.03114,0.22710
1993,Brandenburg,East,Permanent job,0.08044,63,63,0.01274,0.14814
1993,Mecklenburg-Western Pomerania,East,Permanent job,0.08076,46,46,0.00115,0.16036
1993,Saxony,East,Permanent job,0.07945,119,164,0.03793,0.12096
1993,Saxony,East,Temporary job,0.02923,45,164,0.00337,0.05509
1993,Saxony-Anhalt,East,Permanent job,0.07600,76,76,0.01602,0.13597
1993,Thuringa,East,Permanent job,0.07342,72,72,0.01275,0.13409
1994,Lower Saxony,West,Permanent job,0.03644,55,55,-0.01354,0.08642
1994,North Rhine-Westphalia,West,Permanent job,0.03794,134,213,0.01222,0.06366
1994,North Rhine-Westphalia,West,Temporary job,0.02218,79,213,0.00236,0.04200
1994,Hesse,West,Permanent job,0.03944,48,48,-0.01621,0.09509
1994,"Rhineland-Palatinate, Saarland",West,Permanent job,0.03552,31,31,-0.03071,0.10176
1994,Baden-Wuerttemberg,West,Permanent job,0.04450,107,148,0.01117,0.07784
1994,Baden-Wuerttemberg,West,Temporary job,0.01386,41,148,-0.00504,0.03276
1994,Bavaria,West,Permanent job,0.03857,96,129,0.00521,0.07193
1994,Bavaria,West,Temporary job,0.01322,33,129,-0.00657,0.03301
1994,Brandenburg,East,Permanent job,0.05832,43,77,0.00563,0.11100
1994,Brandenburg,East,Temporary job,0.03922,34,77,-0.00442,0.08287
1994,Mecklenburg-Western Pomerania,East,Permanent job,0.05384,31,31,-0.02693,0.13460
1994,Saxony,East,Permanent job,0.05323,79,112,0.01147,0.09500
1994,Saxony,East,Temporary job,0.01987,33,112,-0.00609,0.04583
1994,Saxony-Anhalt,East,Permanent job,0.06122,53,87,0.01055,0.11189
1994,Saxony-Anhalt,East,Temporary job,0.03482,34,87,-0.00393,0.07356
1994,Thuringa,East,Permanent job,0.05986,55,87,0.00972,0.10999
1994,Thuringa,East,Temporary job,0.03439,32,87,-0.00412,0.07291
1995,Schleswig-Holstein,West,Permanent job,0.32006,126,126,0.23828,0.40184
1995,Hamburg,West,Permanent job,0.41520,65,65,0.29447,0.53592
1995,Lower Saxony,West,Permanent job,0.35018,485,547,0.31017,0.39019
1995,Lower Saxony,West,Temporary job,0.03826,62,547,0.02217,0.05435
1995,Bremen,West,Permanent job,0.25470,33,33,0.10374,0.40566
1995,North Rhine-Westphalia,West,Permanent job,0.36917,1237,1389,0.34378,0.39456
1995,North Rhine-Westphalia,West,Temporary job,0.04369,152,1389,0.03294,0.05445
1995,Hesse,West,Permanent job,0.35688,459,508,0.31517,0.39858
1995,Hesse,West,Temporary job,0.04254,49,508,0.02497,0.06011
1995,"Rhineland-Palatinate, Saarland",West,Permanent job,0.32374,314,354,0.27493,0.37255
1995,"Rhineland-Palatinate, Saarland",West,Temporary job,0.03792,40,354,0.01800,0.05785
1995,Baden-Wuerttemberg,West,Permanent job,0.35855,878,996,0.32875,0.38835
1995,Baden-Wuerttemberg,West,Temporary job,0.04254,118,996,0.03000,0.05508
1995,Bavaria,West,Permanent job,0.36023,827,932,0.32939,0.39107
1995,Bavaria,West,Temporary job,0.04727,105,932,0.03364,0.06090
1995,Berlin,West,Permanent job,0.36784,143,143,0.28853,0.44716
1995,Berlin,East,Permanent job,0.36166,122,122,0.27604,0.44727
1995,Brandenburg,East,Permanent job,0.36243,278,335,0.31087,0.41398
1995,Brandenburg,East,Temporary job,0.06720,57,335,0.04035,0.09405
1995,Mecklenburg-Western Pomerania,East,Permanent job,0.31943,190,234,0.25956,0.37930
1995,Mecklenburg-Western Pomerania,East,Temporary job,0.07887,44,234,0.04426,0.11348
1995,Saxony,East,Permanent job,0.32024,497,591,0.28259,0.35789
1995,Saxony,East,Temporary job,0.06738,94,591,0.04715,0.08761
1995,Saxony-Anhalt,East,Permanent job,0.32731,309,381,0.28013,0.37449
1995,Saxony-Anhalt,East,Temporary job,0.08512,72,381,0.05706,0.11318
1995,Thuringa,East,Permanent job,0.31605,291,352,0.26741,0.36469
1995,Thuringa,East,Temporary job,0.06431,61,352,0.03865,0.08997
1996,Schleswig-Holstein,West,Permanent job,0.34560,128,128,0.26289,0.42831
1996,Hamburg,West,Permanent job,0.38677,63,63,0.26554,0.50799
1996,Lower Saxony,West,Permanent job,0.34749,491,549,0.30762,0.38736
1996,Lower Saxony,West,Temporary job,0.03668,58,549,0.02094,0.05242
1996,Bremen,West,Permanent job,0.27147,34,34,0.11973,0.42320
1996,North Rhine-Westphalia,West,Permanent job,0.35902,1190,1351,0.33343,0.38461
1996,North Rhine-Westphalia,West,Temporary job,0.04589,161,1351,0.03473,0.05705
1996,Hesse,West,Permanent job,0.37559,456,488,0.33258,0.41860
1996,Hesse,West,Temporary job,0.02768,32,488,0.01311,0.04225
1996,"Rhineland-Palatinate, Saarland",West,Permanent job,0.34236,321,361,0.29334,0.39137
1996,"Rhineland-Palatinate, Saarland",West,Temporary job,0.04056,40,361,0.02018,0.06094
1996,Baden-Wuerttemberg,West,Permanent job,0.35425,827,924,0.32339,0.38511
1996,Baden-Wuerttemberg,West,Temporary job,0.04115,97,924,0.02834,0.05397
1996,Bavaria,West,Permanent job,0.35527,811,910,0.32416,0.38639
1996,Bavaria,West,Temporary job,0.04542,99,910,0.03189,0.05896
1996,Berlin,West,Permanent job,0.35228,135,135,0.27140,0.43316
1996,Berlin,East,Permanent job,0.36164,118,118,0.27457,0.44870
1996,Brandenburg,East,Permanent job,0.34138,268,313,0.28876,0.39399
1996,Brandenburg,East,Temporary job,0.05292,45,313,0.02808,0.07776
1996,Mecklenburg-Western Pomerania,East,Permanent job,0.32459,173,211,0.26126,0.38792
1996,Mecklenburg-Western Pomerania,East,Temporary job,0.06657,38,211,0.03286,0.10029
1996,Saxony,East,Permanent job,0.32052,506,599,0.28312,0.35793
1996,Saxony,East,Temporary job,0.06394,93,599,0.04433,0.08355
1996,Saxony-Anhalt,East,Permanent job,0.31941,291,364,0.27145,0.36738
1996,Saxony-Anhalt,East,Temporary job,0.07638,73,364,0.04906,0.10370
1996,Thuringa,East,Permanent job,0.32224,291,354,0.27349,0.37100
1996,Thuringa,East,Temporary job,0.05928,63,354,0.03465,0.08392
1997,Schleswig-Holstein,West,Permanent job,0.35968,128,128,0.27621,0.44314
1997,Hamburg,West,Permanent job,0.39481,56,56,0.26563,0.52400
1997,Lower Saxony,West,Permanent job,0.32112,469,550,0.28206,0.36017
1997,Lower Saxony,West,Temporary job,0.05444,81,550,0.03546,0.07342
1997,Bremen,West,Permanent job,0.26019,32,32,0.10575,0.41464
1997,North Rhine-Westphalia,West,Permanent job,0.35385,1138,1333,0.32817,0.37953
1997,North Rhine-Westphalia,West,Temporary job,0.05732,195,1333,0.04483,0.06980
1997,Hesse,West,Permanent job,0.34705,407,447,0.30287,0.39123
1997,Hesse,West,Temporary job,0.04340,40,447,0.02449,0.06231
1997,"Rhineland-Palatinate, Saarland",West,Permanent job,0.31765,310,353,0.26901,0.36629
1997,"Rhineland-Palatinate, Saarland",West,Temporary job,0.04214,43,353,0.02115,0.06313
1997,Baden-Wuerttemberg,West,Permanent job,0.33046,774,901,0.29973,0.36120
1997,Baden-Wuerttemberg,West,Temporary job,0.05753,127,901,0.04232,0.07275
1997,Bavaria,West,Permanent job,0.36178,787,875,0.32993,0.39364
1997,Bavaria,West,Temporary job,0.03594,88,875,0.02360,0.04829
1997,Berlin,West,Permanent job,0.35451,125,125,0.27031,0.43870
1997,Berlin,East,Permanent job,0.31995,101,101,0.22852,0.41137
1997,Brandenburg,East,Permanent job,0.33130,259,315,0.27924,0.38336
1997,Brandenburg,East,Temporary job,0.07034,56,315,0.04206,0.09863
1997,Mecklenburg-Western Pomerania,East,Permanent job,0.31718,166,203,0.25300,0.38135
1997,Mecklenburg-Western Pomerania,East,Temporary job,0.05887,37,203,0.02641,0.09133
1997,Saxony,East,Permanent job,0.31288,474,571,0.27482,0.35095
1997,Saxony,East,Temporary job,0.06605,97,571,0.04566,0.08644
1997,Saxony-Anhalt,East,Permanent job,0.31815,283,344,0.26886,0.36744
1997,Saxony-Anhalt,East,Temporary job,0.06549,61,344,0.03931,0.09168
1997,Thuringa,East,Permanent job,0.28996,273,335,0.24129,0.33862
1997,Thuringa,East,Temporary job,0.05879,62,335,0.03357,0.08402
1998,Schleswig-Holstein,West,Permanent job,0.36122,167,167,0.28814,0.43429
1998,Hamburg,West,Permanent job,0.37814,69,69,0.26288,0.49340
1998,Lower Saxony,West,Permanent job,0.34925,552,647,0.31249,0.38602
1998,Lower Saxony,West,Temporary job,0.05060,95,647,0.03370,0.06750
1998,Bremen,West,Permanent job,0.26439,39,39,0.12417,0.40461
1998,North Rhine-Westphalia,West,Permanent job,0.35479,1288,1456,0.33021,0.37937
1998,North Rhine-Westphalia,West,Temporary job,0.04405,168,1456,0.03350,0.05459
1998,Hesse,West,Permanent job,0.34052,441,500,0.29894,0.38210
1998,Hesse,West,Temporary job,0.05416,59,500,0.03430,0.07401
1998,"Rhineland-Palatinate, Saarland",West,Permanent job,0.31029,336,403,0.26506,0.35551
1998,"Rhineland-Palatinate, Saarland",West,Temporary job,0.06631,67,403,0.04198,0.09063
1998,Baden-Wuerttemberg,West,Permanent job,0.35524,836,967,0.32506,0.38542
1998,Baden-Wuerttemberg,West,Temporary job,0.05272,131,967,0.03863,0.06682
1998,Bavaria,West,Permanent job,0.35507,885,982,0.32512,0.38501
1998,Bavaria,West,Temporary job,0.03745,97,982,0.02557,0.04934
1998,Berlin,West,Permanent job,0.32287,127,127,0.24123,0.40451
1998,Berlin,East,Permanent job,0.34404,105,105,0.25274,0.43535
1998,Brandenburg,East,Permanent job,0.32227,258,311,0.27025,0.37430
1998,Brandenburg,East,Temporary job,0.07232,53,311,0.04348,0.10115
1998,Mecklenburg-Western Pomerania,East,Permanent job,0.30428,172,211,0.24205,0.36651
1998,Mecklenburg-Western Pomerania,East,Temporary job,0.06955,39,211,0.03515,0.10396
1998,Saxony,East,Permanent job,0.32373,517,628,0.28711,0.36036
1998,Saxony,East,Temporary job,0.07246,111,628,0.05217,0.09276
1998,Saxony-Anhalt,East,Permanent job,0.30733,292,350,0.25893,0.35574
1998,Saxony-Anhalt,East,Temporary job,0.05680,58,350,0.03252,0.08108
1998,Thuringa,East,Permanent job,0.26996,285,358,0.22391,0.31601
1998,Thuringa,East,Temporary job,0.07199,73,358,0.04518,0.09881
1999,Schleswig-Holstein,West,Permanent job,0.36423,158,158,0.28896,0.43950
1999,Hamburg,West,Permanent job,0.40285,67,67,0.28452,0.52118
1999,Lower Saxony,West,Permanent job,0.35078,537,643,0.31387,0.38770
1999,Lower Saxony,West,Temporary job,0.06203,106,643,0.04337,0.08069
1999,Bremen,West,Permanent job,0.26131,32,32,0.10664,0.41597
1999,North Rhine-Westphalia,West,Permanent job,0.37158,1273,1441,0.34662,0.39653
1999,North Rhine-Westphalia,West,Temporary job,0.04436,168,1441,0.03372,0.05499
1999,Hesse,West,Permanent job,0.33457,412,482,0.29240,0.37674
1999,Hesse,West,Temporary job,0.06052,70,482,0.03921,0.08183
1999,"Rhineland-Palatinate, Saarland",West,Permanent job,0.31656,334,394,0.27058,0.36255
1999,"Rhineland-Palatinate, Saarland",West,Temporary job,0.05937,60,394,0.03601,0.08274
1999,Baden-Wuerttemberg,West,Permanent job,0.35681,819,938,0.32613,0.38748
1999,Baden-Wuerttemberg,West,Temporary job,0.05369,119,938,0.03926,0.06812
1999,Bavaria,West,Permanent job,0.36608,877,994,0.33612,0.39605
1999,Bavaria,West,Temporary job,0.04848,117,994,0.03512,0.06184
1999,Berlin,West,Permanent job,0.32345,118,118,0.23868,0.40821
1999,Berlin,East,Permanent job,0.34399,101,101,0.25089,0.43710
1999,Brandenburg,East,Permanent job,0.31575,243,306,0.26358,0.36791
1999,Brandenburg,East,Temporary job,0.08010,63,306,0.04963,0.11056
1999,Mecklenburg-Western Pomerania,East,Permanent job,0.32362,177,222,0.26194,0.38531
1999,Mecklenburg-Western Pomerania,East,Temporary job,0.07164,45,222,0.03764,0.10564
1999,Saxony,East,Permanent job,0.32569,492,601,0.28819,0.36319
1999,Saxony,East,Temporary job,0.06836,109,601,0.04817,0.08856
1999,Saxony-Anhalt,East,Permanent job,0.31393,284,362,0.26605,0.36180
1999,Saxony-Anhalt,East,Temporary job,0.08370,78,362,0.05513,0.11227
1999,Thuringa,East,Permanent job,0.28601,293,377,0.24033,0.33169
1999,Thuringa,East,Temporary job,0.07887,84,377,0.05163,0.10611
2000,Schleswig-Holstein,West,Permanent job,0.36755,303,342,0.31638,0.41872
2000,Schleswig-Holstein,West,Temporary job,0.04005,39,342,0.01924,0.06087
2000,Hamburg,West,Permanent job,0.37885,133,133,0.29610,0.46161
2000,Lower Saxony,West,Permanent job,0.32039,831,982,0.29119,0.34959
2000,Lower Saxony,West,Temporary job,0.05904,151,982,0.04429,0.07378
2000,Bremen,West,Permanent job,0.32255,79,79,0.21881,0.42629
2000,North Rhine-Westphalia,West,Permanent job,0.34021,2154,2482,0.32157,0.35886
2000,North Rhine-Westphalia,West,Temporary job,0.05076,328,2482,0.04212,0.05940
2000,Hesse,West,Permanent job,0.31328,684,807,0.28126,0.34530
2000,Hesse,West,Temporary job,0.05700,123,807,0.04100,0.07301
2000,"Rhineland-Palatinate, Saarland",West,Permanent job,0.29531,572,655,0.26035,0.33028
2000,"Rhineland-Palatinate, Saarland",West,Temporary job,0.04660,83,655,0.03044,0.06275
2000,Baden-Wuerttemberg,West,Permanent job,0.33668,1291,1460,0.31243,0.36093
2000,Baden-Wuerttemberg,West,Temporary job,0.04866,169,1460,0.03762,0.05970
2000,Bavaria,West,Permanent job,0.34873,1478,1676,0.32591,0.37156
2000,Bavaria,West,Temporary job,0.04528,198,1676,0.03532,0.05524
2000,Berlin,West,Permanent job,0.35719,193,193,0.28941,0.42497
2000,Berlin,East,Permanent job,0.33478,161,161,0.26166,0.40790
2000,Brandenburg,East,Permanent job,0.30116,383,487,0.26038,0.34195
2000,Brandenburg,East,Temporary job,0.08077,104,487,0.05654,0.10499
2000,Mecklenburg-Western Pomerania,East,Permanent job,0.32825,243,297,0.27475,0.38174
2000,Mecklenburg-Western Pomerania,East,Temporary job,0.06816,54,297,0.03945,0.09687
2000,Saxony,East,Permanent job,0.29615,702,855,0.26553,0.32677
2000,Saxony,East,Temporary job,0.06853,153,855,0.05158,0.08547
2000,Saxony-Anhalt,East,Permanent job,0.29836,401,502,0.25830,0.33843
2000,Saxony-Anhalt,East,Temporary job,0.07114,101,502,0.04863,0.09365
2000,Thuringa,East,Permanent job,0.29706,406,500,0.25697,0.33715
2000,Thuringa,East,Temporary job,0.06311,94,500,0.04178,0.08445
2001,Schleswig-Holstein,West,Permanent job,0.33714,269,303,0.28382,0.39046
2001,Schleswig-Holstein,West,Temporary job,0.04049,34,303,0.01826,0.06273
2001,Hamburg,West,Permanent job,0.36711,120,120,0.28051,0.45372
2001,Lower Saxony,West,Permanent job,0.30856,730,853,0.27755,0.33958
2001,Lower Saxony,West,Temporary job,0.05081,123,853,0.03606,0.06556
2001,Bremen,West,Permanent job,0.32698,64,64,0.21114,0.44282
2001,North Rhine-Westphalia,West,Permanent job,0.34075,1984,2259,0.32120,0.36030
2001,North Rhine-Westphalia,West,Temporary job,0.04635,275,2259,0.03767,0.05502
2001,Hesse,West,Permanent job,0.30590,611,715,0.27210,0.33970
2001,Hesse,West,Temporary job,0.05681,104,715,0.03983,0.07379
2001,"Rhineland-Palatinate, Saarland",West,Permanent job,0.29770,529,600,0.26108,0.33432
2001,"Rhineland-Palatinate, Saarland",West,Temporary job,0.04127,71,600,0.02534,0.05719
2001,Baden-Wuerttemberg,West,Permanent job,0.34845,1161,1325,0.32278,0.37412
2001,Baden-Wuerttemberg,West,Temporary job,0.05030,164,1325,0.03853,0.06208
2001,Bavaria,West,Permanent job,0.35520,1344,1511,0.33106,0.37934
2001,Bavaria,West,Temporary job,0.04229,167,1511,0.03214,0.05244
2001,Berlin,West,Permanent job,0.34985,191,191,0.28203,0.41766
2001,Berlin,East,Permanent job,0.36271,156,156,0.28702,0.43840
2001,Brandenburg,East,Permanent job,0.30318,353,465,0.26136,0.34501
2001,Brandenburg,East,Temporary job,0.09049,112,465,0.06439,0.11660
2001,Mecklenburg-Western Pomerania,East,Permanent job,0.32246,218,272,0.26681,0.37811
2001,Mecklenburg-Western Pomerania,East,Temporary job,0.07897,54,272,0.04686,0.11108
2001,Saxony,East,Permanent job,0.30266,654,795,0.27070,0.33461
2001,Saxony,East,Temporary job,0.06906,141,795,0.05142,0.08670
2001,Saxony-Anhalt,East,Permanent job,0.29469,378,470,0.25343,0.33595
2001,Saxony-Anhalt,East,Temporary job,0.06985,92,470,0.04679,0.09292
2001,Thuringa,East,Permanent job,0.28899,359,451,0.24711,0.33088
2001,Thuringa,East,Temporary job,0.07821,92,451,0.05340,0.10302
2002,Schleswig-Holstein,West,Permanent job,0.32049,296,338,0.27066,0.37031
2002,Schleswig-Holstein,West,Temporary job,0.05591,42,338,0.03138,0.08044
2002,Hamburg,West,Permanent job,0.36958,148,148,0.29155,0.44761
2002,Lower Saxony,West,Permanent job,0.31403,803,932,0.28422,0.34384
2002,Lower Saxony,West,Temporary job,0.04572,129,932,0.03230,0.05913
2002,Bremen,West,Permanent job,0.27667,67,67,0.16875,0.38460
2002,North Rhine-Westphalia,West,Permanent job,0.33363,2054,2333,0.31449,0.35277
2002,North Rhine-Westphalia,West,Temporary job,0.04338,279,2333,0.03511,0.05165
2002,Hesse,West,Permanent job,0.31261,714,827,0.28100,0.34422
2002,Hesse,West,Temporary job,0.05984,113,827,0.04366,0.07601
2002,"Rhineland-Palatinate, Saarland",West,Permanent job,0.28879,538,628,0.25332,0.32426
2002,"Rhineland-Palatinate, Saarland",West,Temporary job,0.04993,90,628,0.03288,0.06698
