year,quintil_oecd_hh,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,2nd Quintile,No,0.98620,3233,3307,0.98222,0.99017
2012,3rd Quintile,Yes,0.02211,109,3198,0.01701,0.02721
2012,3rd Quintile,No,0.97789,3089,3198,0.97279,0.98299
2012,4th Quintile,Yes,0.03605,141,3023,0.02940,0.04269
2012,4th Quintile,No,0.96395,2882,3023,0.95731,0.97060
2012,5th Quintile,Yes,0.05015,175,3150,0.04253,0.05778
2012,5th Quintile,No,0.94985,2975,3150,0.94222,0.95747
2013,1st Quintile,Yes,0.00904,43,4237,0.00619,0.01189
2013,1st Quintile,No,0.99096,4194,4237,0.98811,0.99381
2013,2nd Quintile,Yes,0.01697,77,3856,0.01289,0.02105
2013,2nd Quintile,No,0.98303,3779,3856,0.97895,0.98711
2013,3rd Quintile,Yes,0.02050,119,3386,0.01572,0.02527
2013,3rd Quintile,No,0.97950,3267,3386,0.97473,0.98428
2013,4th Quintile,Yes,0.03819,144,3112,0.03145,0.04492
2013,4th Quintile,No,0.96181,2968,3112,0.95508,0.96855
2013,5th Quintile,Yes,0.04943,186,3261,0.04199,0.05687
2013,5th Quintile,No,0.95057,3075,3261,0.94313,0.95801
2014,1st Quintile,Yes,0.01271,38,3449,0.00897,0.01645
2014,1st Quintile,No,0.98729,3411,3449,0.98355,0.99103
2014,2nd Quintile,Yes,0.01809,82,3312,0.01355,0.02262
2014,2nd Quintile,No,0.98191,3230,3312,0.97738,0.98645
2014,3rd Quintile,Yes,0.03030,118,3106,0.02427,0.03633
2014,3rd Quintile,No,0.96970,2988,3106,0.96367,0.97573
2014,4th Quintile,Yes,0.04827,168,2924,0.04050,0.05604
2014,4th Quintile,No,0.95173,2756,2924,0.94396,0.95950
2014,5th Quintile,Yes,0.05720,195,3018,0.04891,0.06549
2014,5th Quintile,No,0.94280,2823,3018,0.93451,0.95109
2015,1st Quintile,Yes,0.00941,36,3541,0.00623,0.01259
2015,1st Quintile,No,0.99059,3505,3541,0.98741,0.99377
2015,2nd Quintile,Yes,0.01898,85,3377,0.01437,0.02358
2015,2nd Quintile,No,0.98102,3292,3377,0.97642,0.98563
2015,3rd Quintile,Yes,0.03169,118,3013,0.02543,0.03794
2015,3rd Quintile,No,0.96831,2895,3013,0.96206,0.97457
2015,4th Quintile,Yes,0.04084,149,2829,0.03355,0.04814
2015,4th Quintile,No,0.95916,2680,2829,0.95186,0.96645
2015,5th Quintile,Yes,0.04958,181,2972,0.04177,0.05739
2015,5th Quintile,No,0.95042,2791,2972,0.94261,0.95823
2016,1st Quintile,Yes,0.01341,37,3090,0.00936,0.01747
2016,1st Quintile,No,0.98659,3053,3090,0.98253,0.99064
2016,2nd Quintile,Yes,0.01572,75,3036,0.01129,0.02014
2016,2nd Quintile,No,0.98428,2961,3036,0.97986,0.98871
2016,3rd Quintile,Yes,0.03007,108,2740,0.02367,0.03646
2016,3rd Quintile,No,0.96993,2632,2740,0.96354,0.97633
2016,4th Quintile,Yes,0.04697,151,2661,0.03893,0.05501
2016,4th Quintile,No,0.95303,2510,2661,0.94499,0.96107
2016,5th Quintile,Yes,0.05862,160,2754,0.04984,0.06739
2016,5th Quintile,No,0.94138,2594,2754,0.93261,0.95016
2017,1st Quintile,Yes,0.01485,37,3193,0.01066,0.01905
2017,1st Quintile,No,0.98515,3156,3193,0.98095,0.98934
2017,2nd Quintile,Yes,0.02137,81,3229,0.01638,0.02636
2017,2nd Quintile,No,0.97863,3148,3229,0.97364,0.98362
2017,3rd Quintile,Yes,0.03827,139,3086,0.03150,0.04504
2017,3rd Quintile,No,0.96173,2947,3086,0.95496,0.96850
2017,4th Quintile,Yes,0.04589,179,3041,0.03846,0.05333
2017,4th Quintile,No,0.95411,2862,3041,0.94667,0.96154
2017,5th Quintile,Yes,0.06449,224,3093,0.05583,0.07315
2017,5th Quintile,No,0.93551,2869,3093,0.92685,0.94417
2018,1st Quintile,Yes,0.01767,44,3304,0.01318,0.02216
2018,1st Quintile,No,0.98233,3260,3304,0.97784,0.98682
2018,2nd Quintile,Yes,0.02188,82,3293,0.01688,0.02687
2018,2nd Quintile,No,0.97812,3211,3293,0.97313,0.98312
2018,3rd Quintile,Yes,0.03737,127,2938,0.03051,0.04423
2018,3rd Quintile,No,0.96263,2811,2938,0.95577,0.96949
2018,4th Quintile,Yes,0.04792,162,2874,0.04011,0.05573
2018,4th Quintile,No,0.95208,2712,2874,0.94427,0.95989
2018,5th Quintile,Yes,0.07113,229,3004,0.06193,0.08032
2018,5th Quintile,No,0.92887,2775,3004,0.91968,0.93807
2019,1st Quintile,No,0.98371,2392,2392,0.97864,0.98879
2019,2nd Quintile,Yes,0.02992,84,2617,0.02340,0.03645
2019,2nd Quintile,No,0.97008,2533,2617,0.96355,0.97660
2019,3rd Quintile,Yes,0.02505,94,2511,0.01894,0.03117
2019,3rd Quintile,No,0.97495,2417,2511,0.96883,0.98106
2019,4th Quintile,Yes,0.05100,149,2461,0.04231,0.05970
2019,4th Quintile,No,0.94900,2312,2461,0.94030,0.95769
2019,5th Quintile,Yes,0.06661,204,2591,0.05701,0.07622
2019,5th Quintile,No,0.93339,2387,2591,0.92378,0.94299
2020,1st Quintile,Yes,0.01779,51,3415,0.01336,0.02222
2020,1st Quintile,No,0.98221,3364,3415,0.97778,0.98664
2020,2nd Quintile,Yes,0.02983,82,3320,0.02404,0.03561
2020,2nd Quintile,No,0.97017,3238,3320,0.96439,0.97596
2020,3rd Quintile,Yes,0.03114,98,2869,0.02479,0.03750
2020,3rd Quintile,No,0.96886,2771,2869,0.96250,0.97521
2020,4th Quintile,Yes,0.04611,164,2852,0.03841,0.05381
2020,4th Quintile,No,0.95389,2688,2852,0.94619,0.96159
2020,5th Quintile,Yes,0.04921,284,3715,0.04225,0.05617
2020,5th Quintile,No,0.95079,3431,3715,0.94383,0.95775
2021,1st Quintile,No,0.98084,1743,1743,0.97440,0.98728
2021,2nd Quintile,Yes,0.03448,59,1974,0.02643,0.04254
2021,2nd Quintile,No,0.96552,1915,1974,0.95746,0.97357
2021,3rd Quintile,Yes,0.03612,69,1839,0.02759,0.04465
2021,3rd Quintile,No,0.96388,1770,1839,0.95535,0.97241
2021,4th Quintile,Yes,0.04836,117,1892,0.03870,0.05803
2021,4th Quintile,No,0.95164,1775,1892,0.94197,0.96130
2021,5th Quintile,Yes,0.04838,168,2426,0.03984,0.05692
2021,5th Quintile,No,0.95162,2258,2426,0.94308,0.96016
2022,Not included in this version of the questionnaire,No,0.95694,181,181,0.92728,0.98659
2022,1st Quintile,Yes,0.03292,194,4496,0.02771,0.03814
2022,1st Quintile,No,0.96708,4302,4496,0.96186,0.97229
2022,2nd Quintile,Yes,0.03062,166,3848,0.02517,0.03606
2022,2nd Quintile,No,0.96938,3682,3848,0.96394,0.97483
2022,3rd Quintile,Yes,0.04534,223,3385,0.03833,0.05235
2022,3rd Quintile,No,0.95466,3162,3385,0.94765,0.96167
2022,4th Quintile,Yes,0.06364,229,3409,0.05545,0.07184
2022,4th Quintile,No,0.93636,3180,3409,0.92816,0.94455
2022,5th Quintile,Yes,0.08539,409,3823,0.07653,0.09425
2022,5th Quintile,No,0.91461,3414,3823,0.90575,0.92347
