year,quintil_oecd_hh,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,5th Quintile,West,Yes,0.04708,153,2819,0.03926,0.05490
2011,5th Quintile,West,No,0.95292,2666,2819,0.94510,0.96074
2011,5th Quintile,East,No,0.95214,339,339,0.92938,0.97490
2012,1st Quintile,West,Yes,0.01305,37,2538,0.00864,0.01747
2012,1st Quintile,West,No,0.98695,2501,2538,0.98253,0.99136
2012,1st Quintile,East,No,0.99323,1049,1049,0.98826,0.99819
2012,2nd Quintile,West,Yes,0.01674,65,2496,0.01171,0.02178
2012,2nd Quintile,West,No,0.98326,2431,2496,0.97822,0.98829
2012,2nd Quintile,East,No,0.99793,802,802,0.99479,1.00108
2012,3rd Quintile,West,Yes,0.02231,91,2391,0.01639,0.02823
2012,3rd Quintile,West,No,0.97769,2300,2391,0.97177,0.98361
2012,3rd Quintile,East,No,0.97866,789,789,0.96856,0.98875
2012,4th Quintile,West,Yes,0.03723,121,2440,0.02972,0.04475
2012,4th Quintile,West,No,0.96277,2319,2440,0.95525,0.97028
2012,4th Quintile,East,No,0.97042,563,563,0.95642,0.98443
2012,5th Quintile,West,Yes,0.04574,133,2700,0.03786,0.05363
2012,5th Quintile,West,No,0.95426,2567,2700,0.94637,0.96214
2012,5th Quintile,East,Yes,0.08853,42,450,0.06225,0.11480
2012,5th Quintile,East,No,0.91147,408,450,0.88520,0.93775
2013,1st Quintile,West,Yes,0.01162,39,3167,0.00788,0.01535
2013,1st Quintile,West,No,0.98838,3128,3167,0.98465,0.99212
2013,1st Quintile,East,No,0.99867,1066,1066,0.99648,1.00086
2013,2nd Quintile,West,Yes,0.01846,67,2901,0.01356,0.02336
2013,2nd Quintile,West,No,0.98154,2834,2901,0.97664,0.98644
2013,2nd Quintile,East,No,0.98801,945,945,0.98106,0.99495
2013,3rd Quintile,West,Yes,0.02073,98,2649,0.01530,0.02615
2013,3rd Quintile,West,No,0.97927,2551,2649,0.97385,0.98470
2013,3rd Quintile,East,No,0.98045,716,716,0.97030,0.99060
2013,4th Quintile,West,Yes,0.03729,123,2587,0.02999,0.04460
2013,4th Quintile,West,No,0.96271,2464,2587,0.95540,0.97001
2013,4th Quintile,East,No,0.95641,504,504,0.93857,0.97425
2013,5th Quintile,West,Yes,0.04640,157,2893,0.03874,0.05407
2013,5th Quintile,West,No,0.95360,2736,2893,0.94593,0.96126
2013,5th Quintile,East,No,0.91899,339,339,0.88991,0.94808
2014,1st Quintile,West,Yes,0.01438,33,2557,0.00976,0.01900
2014,1st Quintile,West,No,0.98562,2524,2557,0.98100,0.99024
2014,1st Quintile,East,No,0.99238,887,887,0.98666,0.99811
2014,2nd Quintile,West,Yes,0.02021,74,2452,0.01464,0.02578
2014,2nd Quintile,West,No,0.97979,2378,2452,0.97422,0.98536
2014,2nd Quintile,East,No,0.98921,852,852,0.98227,0.99615
2014,3rd Quintile,West,Yes,0.03525,100,2376,0.02784,0.04267
2014,3rd Quintile,West,No,0.96475,2276,2376,0.95733,0.97216
2014,3rd Quintile,East,No,0.98978,712,712,0.98239,0.99717
2014,4th Quintile,West,Yes,0.04710,142,2397,0.03862,0.05558
2014,4th Quintile,West,No,0.95290,2255,2397,0.94442,0.96138
2014,4th Quintile,East,No,0.94507,501,501,0.92510,0.96504
2014,5th Quintile,West,Yes,0.05402,161,2650,0.04541,0.06263
2014,5th Quintile,West,No,0.94598,2489,2650,0.93737,0.95459
2014,5th Quintile,East,Yes,0.08934,34,368,0.06016,0.11852
2014,5th Quintile,East,No,0.91066,334,368,0.88148,0.93984
2015,1st Quintile,West,No,0.98905,2635,2635,0.98508,0.99303
2015,1st Quintile,East,No,0.99527,870,870,0.99070,0.99983
2015,2nd Quintile,West,Yes,0.01783,62,2457,0.01260,0.02307
2015,2nd Quintile,West,No,0.98217,2395,2457,0.97693,0.98740
2015,2nd Quintile,East,No,0.97758,897,897,0.96788,0.98727
2015,3rd Quintile,West,Yes,0.03319,101,2370,0.02598,0.04041
2015,3rd Quintile,West,No,0.96681,2269,2370,0.95959,0.97402
2015,3rd Quintile,East,No,0.97478,626,626,0.96249,0.98707
2015,4th Quintile,West,Yes,0.04118,128,2339,0.03313,0.04924
2015,4th Quintile,West,No,0.95882,2211,2339,0.95076,0.96687
2015,4th Quintile,East,No,0.96124,469,469,0.94375,0.97873
2015,5th Quintile,West,Yes,0.04649,148,2626,0.03844,0.05455
2015,5th Quintile,West,No,0.95351,2478,2626,0.94545,0.96156
2015,5th Quintile,East,Yes,0.08394,33,346,0.05468,0.11320
2015,5th Quintile,East,No,0.91606,313,346,0.88680,0.94532
2016,1st Quintile,West,Yes,0.01610,32,2272,0.01093,0.02128
2016,1st Quintile,West,No,0.98390,2240,2272,0.97872,0.98907
2016,1st Quintile,East,No,0.99482,813,813,0.98988,0.99976
2016,2nd Quintile,West,Yes,0.01796,66,2239,0.01246,0.02346
2016,2nd Quintile,West,No,0.98204,2173,2239,0.97654,0.98754
2016,2nd Quintile,East,No,0.99198,788,788,0.98575,0.99821
2016,3rd Quintile,West,Yes,0.03031,90,2069,0.02292,0.03770
2016,3rd Quintile,West,No,0.96969,1979,2069,0.96230,0.97708
2016,3rd Quintile,East,No,0.97086,653,653,0.95795,0.98377
2016,4th Quintile,West,Yes,0.04354,124,2204,0.03502,0.05206
2016,4th Quintile,West,No,0.95646,2080,2204,0.94794,0.96498
2016,4th Quintile,East,No,0.93096,430,430,0.90697,0.95495
2016,5th Quintile,West,Yes,0.05481,132,2428,0.04575,0.06386
2016,5th Quintile,West,No,0.94519,2296,2428,0.93614,0.95425
2016,5th Quintile,East,No,0.90041,298,298,0.86636,0.93447
2017,1st Quintile,West,Yes,0.01855,32,2316,0.01306,0.02405
2017,1st Quintile,West,No,0.98145,2284,2316,0.97595,0.98694
2017,1st Quintile,East,No,0.99659,872,872,0.99272,1.00046
2017,2nd Quintile,West,Yes,0.02262,67,2327,0.01658,0.02866
2017,2nd Quintile,West,No,0.97738,2260,2327,0.97134,0.98342
2017,2nd Quintile,East,No,0.98273,888,888,0.97416,0.99131
2017,3rd Quintile,West,Yes,0.04010,117,2364,0.03219,0.04801
2017,3rd Quintile,West,No,0.95990,2247,2364,0.95199,0.96781
2017,3rd Quintile,East,No,0.96931,700,700,0.95653,0.98210
2017,4th Quintile,West,Yes,0.04389,140,2512,0.03588,0.05191
2017,4th Quintile,West,No,0.95611,2372,2512,0.94809,0.96412
2017,4th Quintile,East,Yes,0.05978,39,529,0.03956,0.08001
2017,4th Quintile,East,No,0.94022,490,529,0.91999,0.96044
2017,5th Quintile,West,Yes,0.06482,201,2713,0.05555,0.07409
2017,5th Quintile,West,No,0.93518,2512,2713,0.92591,0.94445
2017,5th Quintile,East,No,0.93897,357,357,0.91410,0.96383
2018,1st Quintile,West,Yes,0.01958,37,2362,0.01399,0.02517
2018,1st Quintile,West,No,0.98042,2325,2362,0.97483,0.98601
2018,1st Quintile,East,No,0.98797,935,935,0.98098,0.99496
2018,2nd Quintile,West,Yes,0.02206,62,2351,0.01612,0.02799
2018,2nd Quintile,West,No,0.97794,2289,2351,0.97201,0.98388
2018,2nd Quintile,East,No,0.97872,922,922,0.96940,0.98804
2018,3rd Quintile,West,Yes,0.03576,102,2259,0.02810,0.04342
2018,3rd Quintile,West,No,0.96424,2157,2259,0.95658,0.97190
2018,3rd Quintile,East,No,0.95563,654,654,0.93983,0.97142
2018,4th Quintile,West,Yes,0.04624,129,2377,0.03779,0.05468
2018,4th Quintile,West,No,0.95376,2248,2377,0.94532,0.96221
2018,4th Quintile,East,Yes,0.05886,33,497,0.03814,0.07957
2018,4th Quintile,East,No,0.94114,464,497,0.92043,0.96186
2018,5th Quintile,West,Yes,0.07241,205,2642,0.06253,0.08230
2018,5th Quintile,West,No,0.92759,2437,2642,0.91770,0.93747
2018,5th Quintile,East,No,0.94338,338,338,0.91871,0.96806
2019,1st Quintile,West,No,0.97935,1684,1684,0.97256,0.98615
2019,1st Quintile,East,No,0.99701,708,708,0.99299,1.00104
2019,2nd Quintile,West,Yes,0.03376,70,1889,0.02561,0.04191
2019,2nd Quintile,West,No,0.96624,1819,1889,0.95809,0.97439
2019,2nd Quintile,East,No,0.98364,714,714,0.97432,0.99295
2019,3rd Quintile,West,Yes,0.02238,70,1898,0.01572,0.02904
2019,3rd Quintile,West,No,0.97762,1828,1898,0.97096,0.98428
2019,3rd Quintile,East,No,0.96362,589,589,0.94849,0.97876
2019,4th Quintile,West,Yes,0.04896,122,2013,0.03954,0.05839
2019,4th Quintile,West,No,0.95104,1891,2013,0.94161,0.96046
2019,4th Quintile,East,No,0.93686,421,421,0.91360,0.96012
2019,5th Quintile,West,Yes,0.06317,175,2250,0.05312,0.07322
2019,5th Quintile,West,No,0.93683,2075,2250,0.92678,0.94688
2019,5th Quintile,East,No,0.89842,312,312,0.86485,0.93200
2020,1st Quintile,West,Yes,0.01855,42,2603,0.01337,0.02374
2020,1st Quintile,West,No,0.98145,2561,2603,0.97626,0.98663
2020,1st Quintile,East,No,0.98468,803,803,0.97618,0.99318
2020,2nd Quintile,West,Yes,0.03445,67,2464,0.02725,0.04165
2020,2nd Quintile,West,No,0.96555,2397,2464,0.95835,0.97275
2020,2nd Quintile,East,No,0.98574,841,841,0.97773,0.99376
2020,3rd Quintile,West,Yes,0.02974,76,2213,0.02266,0.03682
2020,3rd Quintile,West,No,0.97026,2137,2213,0.96318,0.97734
2020,3rd Quintile,East,No,0.96309,634,634,0.94840,0.97777
2020,4th Quintile,West,Yes,0.03901,123,2335,0.03115,0.04686
2020,4th Quintile,West,No,0.96099,2212,2335,0.95314,0.96885
2020,4th Quintile,East,Yes,0.09064,41,517,0.06587,0.11541
2020,4th Quintile,East,No,0.90936,476,517,0.88459,0.93413
2020,5th Quintile,West,Yes,0.04890,227,3142,0.04136,0.05644
2020,5th Quintile,West,No,0.95110,2915,3142,0.94356,0.95864
2020,5th Quintile,East,Yes,0.05217,57,573,0.03395,0.07040
2020,5th Quintile,East,No,0.94783,516,573,0.92960,0.96605
2021,1st Quintile,West,No,0.98258,1273,1273,0.97539,0.98977
2021,1st Quintile,East,No,0.97493,470,470,0.96078,0.98908
2021,2nd Quintile,West,Yes,0.04087,50,1450,0.03068,0.05106
2021,2nd Quintile,West,No,0.95913,1400,1450,0.94894,0.96932
2021,2nd Quintile,East,No,0.98916,515,515,0.98021,0.99811
2021,3rd Quintile,West,Yes,0.03862,60,1407,0.02855,0.04869
2021,3rd Quintile,West,No,0.96138,1347,1407,0.95131,0.97145
2021,3rd Quintile,East,No,0.97474,423,423,0.95976,0.98971
2021,4th Quintile,West,Yes,0.04147,87,1530,0.03147,0.05146
2021,4th Quintile,West,No,0.95853,1443,1530,0.94854,0.96853
2021,4th Quintile,East,No,0.91130,332,332,0.88067,0.94193
2021,5th Quintile,West,Yes,0.04217,135,2054,0.03348,0.05086
2021,5th Quintile,West,No,0.95783,1919,2054,0.94914,0.96652
2021,5th Quintile,East,Yes,0.10507,33,372,0.07387,0.13628
2021,5th Quintile,East,No,0.89493,339,372,0.86372,0.92613
2022,Not included in this version of the questionnaire,West,No,0.93939,136,136,0.89913,0.97964
2022,Not included in this version of the questionnaire,East,No,0.99890,45,45,0.98911,1.00869
2022,1st Quintile,West,Yes,0.03510,153,3375,0.02889,0.04131
2022,1st Quintile,West,No,0.96490,3222,3375,0.95869,0.97111
2022,1st Quintile,East,Yes,0.02499,41,1121,0.01585,0.03413
2022,1st Quintile,East,No,0.97501,1080,1121,0.96587,0.98415
2022,2nd Quintile,West,Yes,0.03037,129,2860,0.02408,0.03667
2022,2nd Quintile,West,No,0.96963,2731,2860,0.96333,0.97592
2022,2nd Quintile,East,Yes,0.03154,37,988,0.02063,0.04244
2022,2nd Quintile,East,No,0.96846,951,988,0.95756,0.97937
2022,3rd Quintile,West,Yes,0.04562,174,2570,0.03755,0.05369
2022,3rd Quintile,West,No,0.95438,2396,2570,0.94631,0.96245
2022,3rd Quintile,East,Yes,0.04420,49,815,0.03008,0.05832
2022,3rd Quintile,East,No,0.95580,766,815,0.94168,0.96992
2022,4th Quintile,West,Yes,0.06421,192,2771,0.05508,0.07333
2022,4th Quintile,West,No,0.93579,2579,2771,0.92667,0.94492
2022,4th Quintile,East,Yes,0.06019,37,638,0.04172,0.07866
2022,4th Quintile,East,No,0.93981,601,638,0.92134,0.95828
2022,5th Quintile,West,Yes,0.08513,345,3241,0.07552,0.09474
2022,5th Quintile,West,No,0.91487,2896,3241,0.90526,0.92448
2022,5th Quintile,East,Yes,0.08772,64,582,0.06472,0.11072
2022,5th Quintile,East,No,0.91228,518,582,0.88928,0.93528
