,Unnamed: 0,year,quintil_oecd_hh,rentown,hgeqpnrj,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
80,80,2014,5th Quintile,Owner,Yes,0.07303,174,15717,0.06067,0.08655
81,81,2014,5th Quintile,Owner,No,0.92697,1965,15717,0.88847,0.96757
82,82,2014,5th Quintile,Tenant,No,1.0,832,15717,0.93866,1.06869
83,83,2015,1st Quintile,Owner,No,1.0,454,15603,0.9061,1.10093
84,84,2015,1st Quintile,Tenant,No,1.0,3040,15603,0.9558,1.04643
85,85,2015,2nd Quintile,Owner,Yes,0.04158,65,15603,0.03014,0.05435
86,86,2015,2nd Quintile,Owner,No,0.95842,1032,15603,0.8954,1.0276
87,87,2015,2nd Quintile,Tenant,No,1.0,2257,15603,0.95004,1.04958
88,88,2015,3rd Quintile,Owner,Yes,0.03872,88,15603,0.02974,0.04704
89,89,2015,3rd Quintile,Owner,No,0.96128,1355,15603,0.90868,1.02128
90,90,2015,3rd Quintile,Tenant,No,1.0,1563,15603,0.9436,1.06821
91,91,2015,4th Quintile,Owner,Yes,0.04993,126,15603,0.04143,0.06143
92,92,2015,4th Quintile,Owner,No,0.95007,1518,15603,0.90082,1.00498
93,93,2015,4th Quintile,Tenant,No,1.0,1148,15603,0.92787,1.06143
94,94,2015,5th Quintile,Owner,Yes,0.06379,161,15603,0.05151,0.07765
95,95,2015,5th Quintile,Owner,No,0.93621,1919,15603,0.88674,0.97891
96,96,2015,5th Quintile,Tenant,No,1.0,877,15603,0.9374,1.08003
97,97,2016,1st Quintile,Owner,No,1.0,370,14176,0.8952,1.106
98,98,2016,1st Quintile,Tenant,No,1.0,2656,14176,0.95642,1.05108
99,99,2016,2nd Quintile,Owner,Yes,0.04117,63,14176,0.02741,0.05537
100,100,2016,2nd Quintile,Owner,No,0.95883,969,14176,0.89132,1.03135
101,101,2016,2nd Quintile,Tenant,No,1.0,2045,14176,0.95682,1.04397
102,102,2016,3rd Quintile,Owner,Yes,0.04934,93,14176,0.03802,0.06167
103,103,2016,3rd Quintile,Owner,No,0.95066,1292,14176,0.88559,1.0082
104,104,2016,3rd Quintile,Tenant,No,1.0,1348,14176,0.93458,1.06326
105,105,2016,4th Quintile,Owner,Yes,0.06553,129,14176,0.05431,0.08104
106,106,2016,4th Quintile,Owner,No,0.93447,1431,14176,0.88541,0.98141
107,107,2016,4th Quintile,Tenant,No,1.0,1076,14176,0.93941,1.06372
108,108,2016,5th Quintile,Owner,Yes,0.07587,142,14176,0.06207,0.08961
109,109,2016,5th Quintile,Owner,No,0.92413,1799,14176,0.87674,0.97573
110,110,2016,5th Quintile,Tenant,No,1.0,763,14176,0.93006,1.07214
111,111,2017,1st Quintile,Owner,No,1.0,354,15555,0.88429,1.12688
112,112,2017,1st Quintile,Tenant,No,1.0,2783,15555,0.96144,1.03736
113,113,2017,2nd Quintile,Owner,Yes,0.03353,52,15555,0.02485,0.04617
114,114,2017,2nd Quintile,Owner,No,0.96647,1053,15555,0.89807,1.03769
115,115,2017,2nd Quintile,Tenant,Yes,0.0147,34,15555,0.01012,0.02022
116,116,2017,2nd Quintile,Tenant,No,0.9853,2101,15555,0.94696,1.03987
117,117,2017,3rd Quintile,Owner,Yes,0.05939,92,15555,0.04735,0.07555
118,118,2017,3rd Quintile,Owner,No,0.94061,1419,15555,0.89137,0.99553
119,119,2017,3rd Quintile,Tenant,Yes,0.01609,34,15555,0.01117,0.02221
120,120,2017,3rd Quintile,Tenant,No,0.98391,1528,15555,0.93571,1.03047
121,121,2017,4th Quintile,Owner,Yes,0.06006,154,15555,0.05014,0.07197
122,122,2017,4th Quintile,Owner,No,0.93994,1645,15555,0.89858,0.986
123,123,2017,4th Quintile,Tenant,No,1.0,1213,15555,0.9478,1.06429
124,124,2017,5th Quintile,Owner,Yes,0.07962,207,15555,0.06717,0.09329
125,125,2017,5th Quintile,Owner,No,0.92038,2061,15555,0.87821,0.95704
126,126,2017,5th Quintile,Tenant,No,1.0,825,15555,0.93956,1.06284
127,127,2018,1st Quintile,Owner,No,1.0,360,15271,0.87952,1.11872
128,128,2018,1st Quintile,Tenant,No,1.0,2859,15271,0.95543,1.04925
129,129,2018,2nd Quintile,Owner,Yes,0.04592,61,15271,0.03508,0.06165
130,130,2018,2nd Quintile,Owner,No,0.95408,1052,15271,0.89998,1.01921
131,131,2018,2nd Quintile,Tenant,No,1.0,2232,15271,0.95206,1.05238
132,132,2018,3rd Quintile,Owner,Yes,0.05168,88,15271,0.04171,0.06286
133,133,2018,3rd Quintile,Owner,No,0.94832,1304,15271,0.89228,0.99505
134,134,2018,3rd Quintile,Tenant,No,1.0,1497,15271,0.95017,1.0506
135,135,2018,4th Quintile,Owner,Yes,0.06973,143,15271,0.05973,0.08261
136,136,2018,4th Quintile,Owner,No,0.93027,1560,15271,0.88075,0.97379
137,137,2018,4th Quintile,Tenant,No,1.0,1128,15271,0.94186,1.05088
138,138,2018,5th Quintile,Owner,Yes,0.08989,210,15271,0.07556,0.10695
139,139,2018,5th Quintile,Owner,No,0.91011,1956,15271,0.86469,0.96083
140,140,2018,5th Quintile,Tenant,No,1.0,821,15271,0.93913,1.06872
141,141,2019,1st Quintile,Owner,No,1.0,312,12480,0.87537,1.11942
142,142,2019,1st Quintile,Tenant,No,1.0,2057,12480,0.94727,1.04442
143,143,2019,2nd Quintile,Owner,Yes,0.04707,52,12480,0.03244,0.06497
144,144,2019,2nd Quintile,Owner,No,0.95293,855,12480,0.88005,1.01966
145,145,2019,2nd Quintile,Tenant,No,1.0,1663,12480,0.94977,1.06477
146,146,2019,3rd Quintile,Owner,Yes,0.04694,79,12480,0.03623,0.05869
147,147,2019,3rd Quintile,Owner,No,0.95306,1197,12480,0.89623,1.0195
148,148,2019,3rd Quintile,Tenant,No,1.0,1256,12480,0.94651,1.06602
149,149,2019,4th Quintile,Owner,Yes,0.06511,120,12480,0.05223,0.07818
150,150,2019,4th Quintile,Owner,No,0.93489,1405,12480,0.88131,0.98398
151,151,2019,4th Quintile,Tenant,No,1.0,932,12480,0.92404,1.07687
152,152,2019,5th Quintile,Owner,Yes,0.08109,188,12480,0.06808,0.09377
153,153,2019,5th Quintile,Owner,No,0.91891,1715,12480,0.86978,0.96619
154,154,2019,5th Quintile,Tenant,No,1.0,649,12480,0.91831,1.09332
155,155,2020,1st Quintile,Owner,No,1.0,295,16137,0.89085,1.10093
156,156,2020,1st Quintile,Tenant,Yes,0.00947,36,16137,0.00439,0.0156
157,157,2020,1st Quintile,Tenant,No,0.99053,3081,16137,0.94796,1.04565
158,158,2020,2nd Quintile,Owner,Yes,0.03145,45,16137,0.01934,0.04281
159,159,2020,2nd Quintile,Owner,No,0.96855,923,16137,0.90992,1.03462
160,160,2020,2nd Quintile,Tenant,Yes,0.02578,34,16137,0.01768,0.03485
161,161,2020,2nd Quintile,Tenant,No,0.97422,2280,16137,0.93287,1.01851
162,162,2020,3rd Quintile,Owner,Yes,0.05396,76,16137,0.04263,0.06613
163,163,2020,3rd Quintile,Owner,No,0.94604,1248,16137,0.89347,0.99766
164,164,2020,3rd Quintile,Tenant,Yes,0.02163,32,16137,0.01492,0.03096
165,165,2020,3rd Quintile,Tenant,No,0.97837,1574,16137,0.92248,1.03096
166,166,2020,4th Quintile,Owner,Yes,0.06176,140,16137,0.04734,0.07483
167,167,2020,4th Quintile,Owner,No,0.93824,1468,16137,0.88644,0.99138
168,168,2020,4th Quintile,Tenant,No,1.0,1198,16137,0.93358,1.07311
169,169,2020,5th Quintile,Owner,Yes,0.05634,251,16137,0.04733,0.06515
170,170,2020,5th Quintile,Owner,No,0.94366,2471,16137,0.89917,0.98757
171,171,2020,5th Quintile,Tenant,Yes,0.02756,33,16137,0.01549,0.03841
172,172,2020,5th Quintile,Tenant,No,0.97244,952,16137,0.9069,1.05168
173,173,2021,1st Quintile,Owner,No,1.0,234,9804,0.86307,1.11247
174,174,2021,1st Quintile,Tenant,No,1.0,1535,9804,0.94729,1.06073
175,175,2021,2nd Quintile,Owner,Yes,0.04414,36,9804,0.02904,0.0646
176,176,2021,2nd Quintile,Owner,No,0.95586,623,9804,0.87145,1.04458
177,177,2021,2nd Quintile,Tenant,No,1.0,1309,9804,0.93177,1.05399
178,178,2021,3rd Quintile,Owner,Yes,0.07231,66,9804,0.05525,0.09558
179,179,2021,3rd Quintile,Owner,No,0.92769,795,9804,0.8545,1.00239
180,180,2021,3rd Quintile,Tenant,No,1.0,965,9804,0.93501,1.08728
181,181,2021,4th Quintile,Owner,Yes,0.06619,93,9804,0.04987,0.08222
182,182,2021,4th Quintile,Owner,No,0.93381,1011,9804,0.87657,1.00512
183,183,2021,4th Quintile,Tenant,No,1.0,766,9804,0.91536,1.07072
184,184,2021,5th Quintile,Owner,Yes,0.04884,151,9804,0.03909,0.06201
185,185,2021,5th Quintile,Owner,No,0.95116,1619,9804,0.89773,1.01653
186,186,2021,5th Quintile,Tenant,No,1.0,601,9804,0.91826,1.09455
