year,migback,plb0195_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2010,No migration background,Not compensated,0.05809,1440,7282,0.05272,0.06346
2010,Direct migration background,Comp. time,0.10762,327,771,0.08573,0.12951
2010,Direct migration background,Some of both,0.04216,159,771,0.02797,0.05635
2010,Direct migration background,Paid,0.04504,166,771,0.03039,0.05969
2010,Direct migration background,Not compensated,0.04464,119,771,0.03006,0.05923
2010,Indirect migration background,Comp. time,0.09984,184,378,0.06958,0.13010
2010,Indirect migration background,Some of both,0.03640,68,378,0.01749,0.05530
2010,Indirect migration background,Paid,0.02342,56,378,0.00815,0.03868
2010,Indirect migration background,Not compensated,0.02988,70,378,0.01269,0.04706
2011,No migration background,Comp. time,0.15502,4380,8723,0.14742,0.16261
2011,No migration background,Some of both,0.05987,1658,8723,0.05489,0.06485
2011,No migration background,Paid,0.03406,968,8723,0.03026,0.03787
2011,No migration background,Not compensated,0.05798,1717,8723,0.05307,0.06288
2011,Direct migration background,Comp. time,0.11428,398,946,0.09400,0.13457
2011,Direct migration background,Some of both,0.05018,182,946,0.03626,0.06410
2011,Direct migration background,Paid,0.05296,209,946,0.03868,0.06724
2011,Direct migration background,Not compensated,0.04889,157,946,0.03514,0.06263
2011,Indirect migration background,Comp. time,0.09021,234,470,0.06428,0.11614
2011,Indirect migration background,Some of both,0.04127,89,470,0.02327,0.05927
2011,Indirect migration background,Paid,0.02302,65,470,0.00945,0.03659
2011,Indirect migration background,Not compensated,0.04209,82,470,0.02392,0.06027
2012,No migration background,Comp. time,0.16679,4637,8892,0.15904,0.17453
2012,No migration background,Some of both,0.06407,1734,8892,0.05898,0.06916
2012,No migration background,Paid,0.03345,948,8892,0.02972,0.03719
2012,No migration background,Not compensated,0.05373,1573,8892,0.04904,0.05842
2012,Direct migration background,Comp. time,0.12803,421,990,0.10721,0.14886
2012,Direct migration background,Some of both,0.07244,216,990,0.05629,0.08860
2012,Direct migration background,Paid,0.05444,205,990,0.04030,0.06858
2012,Direct migration background,Not compensated,0.04400,148,990,0.03122,0.05678
2012,Indirect migration background,Comp. time,0.09868,241,492,0.07230,0.12506
2012,Indirect migration background,Some of both,0.04609,108,492,0.02754,0.06464
2012,Indirect migration background,Paid,0.01988,56,492,0.00753,0.03222
2012,Indirect migration background,Not compensated,0.03567,87,492,0.01926,0.05207
2013,No migration background,Comp. time,0.15802,4320,8204,0.15012,0.16591
2013,No migration background,Some of both,0.06239,1587,8204,0.05715,0.06762
2013,No migration background,Paid,0.03045,832,8204,0.02674,0.03417
2013,No migration background,Not compensated,0.05195,1465,8204,0.04715,0.05675
2013,Direct migration background,Comp. time,0.13041,902,2080,0.11594,0.14489
2013,Direct migration background,Some of both,0.06432,465,2080,0.05378,0.07487
2013,Direct migration background,Paid,0.06005,465,2080,0.04984,0.07027
2013,Direct migration background,Not compensated,0.04568,248,2080,0.03671,0.05466
2013,Indirect migration background,Comp. time,0.09662,376,743,0.07536,0.11787
2013,Indirect migration background,Some of both,0.03878,153,743,0.02489,0.05267
2013,Indirect migration background,Paid,0.02335,103,743,0.01248,0.03421
2013,Indirect migration background,Not compensated,0.02776,111,743,0.01594,0.03958
2014,No migration background,Comp. time,0.16366,4046,7718,0.15541,0.17192
2014,No migration background,Some of both,0.06960,1636,7718,0.06392,0.07527
2014,No migration background,Paid,0.03070,749,7718,0.02685,0.03455
2014,No migration background,Not compensated,0.05117,1287,7718,0.04626,0.05609
2014,Direct migration background,Comp. time,0.12229,718,1677,0.10660,0.13797
2014,Direct migration background,Some of both,0.06253,383,1677,0.05094,0.07412
2014,Direct migration background,Paid,0.05590,354,1677,0.04490,0.06690
2014,Direct migration background,Not compensated,0.04521,222,1677,0.03526,0.05515
2014,Indirect migration background,Comp. time,0.10881,321,660,0.08503,0.13259
2014,Indirect migration background,Some of both,0.04222,144,660,0.02687,0.05758
2014,Indirect migration background,Paid,0.03127,94,660,0.01798,0.04455
2014,Indirect migration background,Not compensated,0.02877,101,660,0.01601,0.04154
2018,No migration background,Comp. time,0.18336,4298,7727,0.17473,0.19199
2018,No migration background,Some of both,0.07292,1619,7727,0.06713,0.07872
2018,No migration background,Paid,0.03173,789,7727,0.02783,0.03564
2018,No migration background,Not compensated,0.04469,1021,7727,0.04009,0.04930
2018,Direct migration background,Comp. time,0.13799,650,1524,0.12067,0.15531
2018,Direct migration background,Some of both,0.07516,395,1524,0.06192,0.08841
2018,Direct migration background,Paid,0.05572,308,1524,0.04420,0.06724
2018,Direct migration background,Not compensated,0.03787,171,1524,0.02828,0.04745
2018,Indirect migration background,Comp. time,0.11915,314,621,0.09365,0.14465
2018,Indirect migration background,Some of both,0.05279,126,621,0.03519,0.07039
2018,Indirect migration background,Paid,0.03184,94,621,0.01802,0.04566
2018,Indirect migration background,Not compensated,0.02880,87,621,0.01564,0.04197
2020,No migration background,Comp. time,0.19896,4132,7331,0.18982,0.20810
2020,No migration background,Some of both,0.07686,1572,7331,0.07077,0.08296
2020,No migration background,Paid,0.03068,630,7331,0.02673,0.03463
2020,No migration background,Not compensated,0.04077,997,7331,0.03625,0.04530
2020,Direct migration background,Comp. time,0.13292,849,1987,0.11799,0.14785
2020,Direct migration background,Some of both,0.08951,494,1987,0.07695,0.10206
2020,Direct migration background,Paid,0.04824,398,1987,0.03881,0.05766
2020,Direct migration background,Not compensated,0.03020,246,1987,0.02267,0.03772
2020,Indirect migration background,Comp. time,0.11819,307,624,0.09284,0.14354
2020,Indirect migration background,Some of both,0.05098,159,624,0.03371,0.06826
2020,Indirect migration background,Paid,0.02452,77,624,0.01237,0.03666
2020,Indirect migration background,Not compensated,0.01914,81,624,0.00838,0.02990
