year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2001,Urban regions,female,3625,32.37710,31.93938,32.81482,21.00000,37.50000,40.00000,1.0,68.50000,37.5,36.00000,38.00000
2001,Rural regions,male,2278,44.15871,43.71717,44.60025,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,42.50000
2001,Rural regions,female,1885,33.90902,33.33174,34.48629,25.00000,38.50000,40.57200,1.64201,63.92999,38.5,38.00000,38.80500
2002,Urban regions,male,4742,42.98526,42.68466,43.28586,38.50000,41.00000,48.00000,24.25000,62.25000,41.0,40.00000,42.00000
2002,Urban regions,female,3961,31.42006,31.00296,31.83715,20.00000,36.00000,40.00000,1.0,70.00000,36.0,35.00000,37.50000
2002,Rural regions,male,2280,43.96094,43.51773,44.40416,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,41.50000,42.00000
2002,Rural regions,female,1951,32.92008,32.34882,33.49134,24.00000,37.50000,40.00000,1.0,64.00000,37.5,36.48750,38.50000
2003,Urban regions,male,4455,42.65513,42.33724,42.97303,38.50000,40.00000,48.00000,24.25000,62.25000,40.0,40.00000,41.00000
2003,Urban regions,female,3802,31.21144,30.78605,31.63683,20.00000,35.00000,40.00000,1.0,70.00000,35.0,35.00000,37.00000
2003,Rural regions,male,2173,43.24077,42.79125,43.69028,39.00000,42.00000,48.00000,25.50000,61.50000,42.0,40.00000,42.00000
2003,Rural regions,female,1893,32.53974,31.95545,33.12404,22.50000,37.50000,40.00000,1.0,66.25000,37.5,36.00000,38.00000
2004,Urban regions,male,4264,42.22430,41.90929,42.53930,38.50000,40.00000,46.00000,27.25000,57.25000,40.0,40.00000,41.00000
2004,Urban regions,female,3689,31.48120,31.04593,31.91647,20.00000,36.00000,40.00000,1.0,70.00000,36.0,35.00000,37.50000
2004,Rural regions,male,2061,43.25019,42.76864,43.73174,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,41.00000,42.00000
2004,Rural regions,female,1808,32.61357,32.00760,33.21955,23.00000,37.50000,40.00000,1.0,65.50000,37.5,36.00000,38.00000
2005,Urban regions,male,4013,42.58156,42.24452,42.91860,39.00000,41.00000,48.00000,25.50000,61.50000,41.0,40.00000,42.00000
2005,Urban regions,female,3520,31.62372,31.17985,32.06760,20.00000,36.00000,40.00000,1.0,70.00000,36.0,35.00000,37.50000
2005,Rural regions,male,1909,43.60133,43.11046,44.09220,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,41.50000,42.00000
2005,Rural regions,female,1731,32.61474,31.99519,33.23428,22.50000,37.50000,40.00000,1.0,66.25000,37.5,35.00000,38.00000
2006,Urban regions,male,4159,42.89085,42.55828,43.22341,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.98750,42.00000
2006,Urban regions,female,3703,31.88554,31.45035,32.32072,20.00000,36.00000,41.00000,1.0,72.50000,36.0,35.00000,37.50000
2006,Rural regions,male,2066,43.68494,43.21012,44.15976,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,42.01250
2006,Rural regions,female,1888,32.76717,32.17382,33.36052,23.00000,37.50000,40.00000,1.0,65.50000,37.5,35.00000,38.00000
2007,Urban regions,male,3909,42.75824,42.40643,43.11004,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,42.50000
2007,Urban regions,female,3526,31.98674,31.53430,32.43918,20.00000,37.00000,41.00000,1.0,72.50000,37.0,35.00000,37.50000
2007,Rural regions,male,2008,44.29262,43.82030,44.76493,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,43.00000
2007,Rural regions,female,1820,32.74666,32.13356,33.35976,22.00000,37.50000,41.00000,1.0,69.50000,37.5,35.00000,38.50000
2008,Urban regions,male,3696,42.70006,42.35174,43.04839,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.50000,42.00000
2008,Urban regions,female,3384,31.97345,31.51636,32.43055,20.00000,36.00000,40.67216,1.0,71.68040,36.0,35.00000,38.00000
2008,Rural regions,male,1869,43.27437,42.77493,43.77380,40.00000,42.00000,49.67983,25.48026,64.19956,42.0,42.00000,42.50000
2008,Rural regions,female,1736,32.71227,32.09144,33.33310,22.00000,37.50000,40.00000,1.0,67.00000,37.5,35.00000,38.50000
2009,Urban regions,male,3351,42.61222,42.23635,42.98808,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.00000,42.00000
2009,Urban regions,female,3183,31.99953,31.51873,32.48033,20.00000,36.42703,42.00000,1.0,72.0,36.5,35.00000,38.00000
2009,Rural regions,male,1783,43.55697,43.02004,44.09390,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,42.51250
2009,Rural regions,female,1677,32.64546,32.01649,33.27444,22.00000,37.50000,40.00000,2.0,67.00000,37.5,35.00000,38.00000
2010,Urban regions,male,4635,42.00970,41.67957,42.33983,39.00000,42.00000,48.00000,25.50000,61.50000,42.0,41.00000,42.00000
2010,Urban regions,female,4210,32.00967,31.59511,32.42423,21.00000,36.00000,41.00000,1.0,71.00000,36.0,35.00000,37.50000
2010,Rural regions,male,2478,43.17090,42.72808,43.61372,40.00000,41.66896,50.00000,25.00000,65.00000,41.5,41.00000,42.00000
2010,Rural regions,female,2273,31.02461,30.46719,31.58203,20.00000,36.00000,40.00000,1.0,70.00000,36.0,35.00000,37.50000
2011,Urban regions,male,5298,42.72602,42.42374,43.02829,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,42.00000,42.00000
2011,Urban regions,female,5316,32.85162,32.48433,33.21892,22.00000,37.50000,42.00000,1.0,72.00000,37.5,35.50000,38.01250
2011,Rural regions,male,3019,43.42114,43.02187,43.82042,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,42.00000,43.00000
2011,Rural regions,female,2977,32.77628,32.30378,33.24877,22.00000,37.50000,41.00000,0.5,69.50000,37.5,36.00000,38.50000
2012,Urban regions,male,5133,41.88164,41.56870,42.19457,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.00000,42.00000
2012,Urban regions,female,5249,32.28346,31.91368,32.65324,20.00000,37.00000,41.00000,1.0,72.50000,37.0,35.00000,38.00000
2012,Rural regions,male,2950,43.15617,42.76314,43.54920,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.00000,42.00000
2012,Rural regions,female,2973,32.48796,32.03146,32.94446,23.00000,36.00000,40.35594,1.0,66.38985,36.0,35.00000,38.00000
2013,Urban regions,male,6076,41.86351,41.57380,42.15322,40.00000,42.00000,47.50000,28.75000,58.75000,42.0,41.00000,42.00000
2013,Urban regions,female,6205,31.95207,31.61010,32.29405,20.00000,36.00000,41.00000,1.0,72.50000,36.0,35.00000,37.50000
2013,Rural regions,male,3108,42.61931,42.22280,43.01582,40.00000,42.00000,47.33980,28.99030,58.34950,42.0,40.50000,42.00000
2013,Rural regions,female,3184,32.29466,31.84563,32.74370,22.00000,35.00000,40.00000,1.0,67.00000,35.0,35.00000,37.00000
2014,Urban regions,male,5274,41.22750,40.92312,41.53188,39.00000,41.00000,46.00000,28.50000,56.50000,41.0,40.00000,42.00000
2014,Urban regions,female,5467,31.87719,31.51582,32.23855,20.00000,35.22669,41.00000,1.0,72.50000,35.0,35.00000,37.51250
2014,Rural regions,male,2819,41.74238,41.33073,42.15403,40.00000,40.50000,46.00000,31.00000,55.00000,40.5,40.00000,41.51250
2014,Rural regions,female,2857,31.45584,30.97364,31.93804,20.00000,35.00000,40.00000,1.0,70.00000,35.0,32.97500,36.00000
2015,Urban regions,male,5214,41.02745,40.71971,41.33520,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,41.00000
2015,Urban regions,female,5307,32.11351,31.75003,32.47698,20.00000,35.00000,42.00000,1.0,75.00000,35.0,35.00000,37.50000
2015,Rural regions,male,2756,42.08967,41.67438,42.50497,40.00000,42.00000,46.00000,31.00000,55.00000,42.0,41.00000,42.00000
2015,Rural regions,female,2782,32.00008,31.53405,32.46611,22.00000,35.00000,40.00000,2.0,67.00000,35.0,35.00000,36.00000
2016,Urban regions,male,4645,40.58989,40.26007,40.91970,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,41.00000
2016,Urban regions,female,4975,32.10104,31.72347,32.47862,21.00000,35.00000,41.00000,1.0,71.00000,35.0,35.00000,37.50000
2016,Rural regions,male,2528,41.84260,41.43558,42.24962,40.00000,41.00000,45.00000,32.50000,52.50000,41.0,40.00000,42.00000
2016,Rural regions,female,2633,32.01441,31.54593,32.48288,22.50000,35.00000,40.00000,1.0,66.25000,35.0,34.00000,36.00000
