"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"2016","16-34 Jahre alt","36.33","40","3630","35.9","36.76"
"2016","35-65 Jahre alt","37.48","40","10885","37.23","37.73"
"2016","66 und älter","19.08","12","308","17.19","20.97"
"2017","16-34 Jahre alt","36.66","40","4348","36.27","37.05"
"2017","35-65 Jahre alt","37.28","40","12327","37.05","37.51"
"2017","66 und älter","17.74","11","375","16.14","19.34"
"2018","16-34 Jahre alt","36.35","40","4505","35.98","36.72"
"2018","35-65 Jahre alt","37.38","40","11930","37.15","37.61"
"2018","66 und älter","17.29","10","390","15.77","18.81"
"2019","16-34 Jahre alt","36.75","40","4228","36.36","37.14"
"2019","35-65 Jahre alt","37.45","40","12713","37.21","37.69"
"2019","66 und älter","19.49","12","594","17.98","21"
