"year","quintil_oecd","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2016","2","Ostdeutschland","","","","","","","","","","","","","",""
"2016","2","Westdeutschland","","","","","","","","","","","","","",""
"2016","3","Ostdeutschland","","","","","","","","","","","","","",""
"2016","3","Westdeutschland","","","","","","","","","","","","","",""
"2016","4","Ostdeutschland","","","","","","","","","","","","","",""
"2016","4","Westdeutschland","","","","","","","","","","","","","",""
"2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2017","1 Einkommensschwächstes Quintil","Ostdeutschland","4.06","3.83","1181","2.33","3.33","5","5.67","7","3.99","4.13","1","7","4","4"
"2017","1 Einkommensschwächstes Quintil","Westdeutschland","4.08","3.83","3782","2.33","3.33","5","5.67","7","4.04","4.12","1","7","3.66666674613953","4"
"2017","2","Ostdeutschland","4.02","3.83","1027","2.33","3","5","5.67","6.67","3.94","4.1","1","7","4","4"
"2017","2","Westdeutschland","4.02","3.83","3120","2.33","3","5","5.67","7","3.98","4.06","1","7","4","4"
"2017","3","Ostdeutschland","3.89","3.83","1084","2.33","3","4.67","5.33","6.67","3.82","3.96","1","7","4","4"
"2017","3","Westdeutschland","3.83","3.83","3456","2.33","3","4.67","5.33","6.67","3.79","3.87","1","7","3.66666674613953","4"
"2017","4","Ostdeutschland","3.76","3.5","1489","2.33","3","4.67","5.33","6.67","3.7","3.82","1","7","3.66666674613953","3.66666674613953"
"2017","4","Westdeutschland","3.82","3.58","5076","2","3","4.67","5.33","6.67","3.79","3.85","1","7","3.66666674613953","4"
"2017","5 Einkommensstärkstes Quintil","Ostdeutschland","3.69","3.58","1181","2","3","4.67","5.33","6.67","3.62","3.76","1","7","3.66666674613953","3.66666674613953"
"2017","5 Einkommensstärkstes Quintil","Westdeutschland","3.63","3.58","7247","2","2.67","4.33","5.33","6.33","3.6","3.66","1","7","3.66666674613953","3.66666674613953"
"2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2018","2","Ostdeutschland","","","","","","","","","","","","","",""
"2018","2","Westdeutschland","","","","","","","","","","","","","",""
"2018","3","Ostdeutschland","","","","","","","","","","","","","",""
"2018","3","Westdeutschland","","","","","","","","","","","","","",""
"2018","4","Ostdeutschland","","","","","","","","","","","","","",""
"2018","4","Westdeutschland","","","","","","","","","","","","","",""
"2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2019","1 Einkommensschwächstes Quintil","Ostdeutschland","3.95","3.83","654","2.33","3","4.67","5.67","7","3.85","4.05","1","7","4","4"
"2019","1 Einkommensschwächstes Quintil","Westdeutschland","3.89","3.83","1656","2","3","4.67","5.67","7","3.83","3.95","1","7","3.66666674613953","4"
"2019","2","Ostdeutschland","3.83","3.58","729","2.33","3","4.67","5.33","6.33","3.74","3.92","1","7","3.66666674613953","4"
"2019","2","Westdeutschland","3.75","3.5","2219","2","3","4.67","5.33","7","3.7","3.8","1","7","3.66666674613953","4"
"2019","3","Ostdeutschland","3.74","3.5","922","2","3","4.67","5.33","6.67","3.66","3.82","1","7","3.66666674613953","4"
"2019","3","Westdeutschland","3.71","3.58","2690","2","3","4.67","5.33","7","3.66","3.76","1","7","3.66666674613953","3.66666674613953"
"2019","4","Ostdeutschland","3.62","3.58","1556","2","2.67","4.33","5.33","6.33","3.56","3.68","1","7","3.33333325386047","3.66666674613953"
"2019","4","Westdeutschland","3.6","3.58","4711","2","2.67","4.33","5.33","6.67","3.56","3.64","1","7","3.33333325386047","3.66666674613953"
"2019","5 Einkommensstärkstes Quintil","Ostdeutschland","3.49","3.17","1701","2","2.67","4.33","5","6.33","3.43","3.55","1","7","3.33333325386047","3.33333325386047"
"2019","5 Einkommensstärkstes Quintil","Westdeutschland","3.43","3.17","8858","1.67","2.33","4.33","5","6.33","3.4","3.46","1","7","3.33333325386047","3.33333325386047"
