year,migback,plb0219_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Direct migration background,"Yes, every week",0.02298,115,1628,0.01570,0.03027
2013,Direct migration background,"Yes, every 2 weeks",0.03160,189,1628,0.02310,0.04010
2013,Direct migration background,"Yes, every 3-4 weeks",0.01451,87,1628,0.00870,0.02032
2013,Direct migration background,"Yes, less frequently",0.03670,205,1628,0.02757,0.04584
2013,Indirect migration background,"No, never",0.12364,468,747,0.10002,0.14727
2013,Indirect migration background,"Yes, every week",0.01249,60,747,0.00452,0.02046
2013,Indirect migration background,"Yes, every 2 weeks",0.01881,84,747,0.00906,0.02856
2013,Indirect migration background,"Yes, every 3-4 weeks",0.01004,34,747,0.00289,0.01720
2013,Indirect migration background,"Yes, less frequently",0.02622,101,747,0.01475,0.03768
2015,No migration background,"No, never",0.28280,6753,11252,0.27448,0.29112
2015,No migration background,"Yes, every week",0.02893,733,11252,0.02583,0.03202
2015,No migration background,"Yes, every 2 weeks",0.04590,1080,11252,0.04203,0.04977
2015,No migration background,"Yes, every 3-4 weeks",0.02711,606,11252,0.02411,0.03011
2015,No migration background,"Yes, less frequently",0.09257,2080,11252,0.08722,0.09793
2015,Direct migration background,"No, never",0.30087,1789,2796,0.28387,0.31787
2015,Direct migration background,"Yes, every week",0.04123,210,2796,0.03386,0.04860
2015,Direct migration background,"Yes, every 2 weeks",0.05753,308,2796,0.04890,0.06616
2015,Direct migration background,"Yes, every 3-4 weeks",0.03342,155,2796,0.02676,0.04009
2015,Direct migration background,"Yes, less frequently",0.06409,334,2796,0.05501,0.07317
2015,Indirect migration background,"No, never",0.19647,644,1021,0.17208,0.22085
2015,Indirect migration background,"Yes, every week",0.02353,73,1021,0.01423,0.03283
2015,Indirect migration background,"Yes, every 2 weeks",0.04537,119,1021,0.03259,0.05814
2015,Indirect migration background,"Yes, every 3-4 weeks",0.01404,45,1021,0.00682,0.02126
2015,Indirect migration background,"Yes, less frequently",0.04781,140,1021,0.03472,0.06091
2017,No migration background,"No, never",0.30424,7710,12415,0.29615,0.31233
2017,No migration background,"Yes, every week",0.03034,839,12415,0.02733,0.03336
2017,No migration background,"Yes, every 2 weeks",0.04602,1163,12415,0.04233,0.04970
2017,No migration background,"Yes, every 3-4 weeks",0.02899,820,12415,0.02604,0.03194
2017,No migration background,"Yes, less frequently",0.08217,1883,12415,0.07733,0.08700
2017,Direct migration background,"No, never",0.34927,2032,3018,0.33226,0.36628
2017,Direct migration background,"Yes, every week",0.04163,192,3018,0.03450,0.04875
2017,Direct migration background,"Yes, every 2 weeks",0.05583,335,3018,0.04764,0.06402
2017,Direct migration background,"Yes, every 3-4 weeks",0.03194,149,3018,0.02566,0.03821
2017,Direct migration background,"Yes, less frequently",0.06373,310,3018,0.05501,0.07245
2017,Indirect migration background,"No, never",0.22688,701,1087,0.20197,0.25179
2017,Indirect migration background,"Yes, every week",0.02722,86,1087,0.01754,0.03690
2017,Indirect migration background,"Yes, every 2 weeks",0.03700,115,1087,0.02577,0.04823
2017,Indirect migration background,"Yes, every 3-4 weeks",0.02105,64,1087,0.01251,0.02959
2017,Indirect migration background,"Yes, less frequently",0.03216,121,1087,0.02166,0.04265
2019,No migration background,"No, never",0.31304,7774,12922,0.30505,0.32104
2019,No migration background,"Yes, every week",0.03169,936,12922,0.02866,0.03471
2019,No migration background,"Yes, every 2 weeks",0.04566,1187,12922,0.04206,0.04925
2019,No migration background,"Yes, every 3-4 weeks",0.02960,846,12922,0.02668,0.03252
2019,No migration background,"Yes, less frequently",0.08317,2179,12922,0.07841,0.08793
2019,Direct migration background,"No, never",0.36330,1725,2625,0.34490,0.38170
2019,Direct migration background,"Yes, every week",0.04131,173,2625,0.03369,0.04892
2019,Direct migration background,"Yes, every 2 weeks",0.06133,295,2625,0.05215,0.07051
2019,Direct migration background,"Yes, every 3-4 weeks",0.02660,121,2625,0.02045,0.03276
2019,Direct migration background,"Yes, less frequently",0.06225,311,2625,0.05300,0.07149
2019,Indirect migration background,"No, never",0.23114,694,1112,0.20636,0.25593
2019,Indirect migration background,"Yes, every week",0.02625,88,1112,0.01685,0.03565
2019,Indirect migration background,"Yes, every 2 weeks",0.04646,137,1112,0.03408,0.05884
2019,Indirect migration background,"Yes, every 3-4 weeks",0.01583,55,1112,0.00849,0.02318
2019,Indirect migration background,"Yes, less frequently",0.04145,138,1112,0.02973,0.05317
2021,No migration background,"No, never",0.25862,4308,7130,0.24846,0.26878
2021,No migration background,"Yes, every week",0.02462,528,7130,0.02103,0.02822
2021,No migration background,"Yes, every 2 weeks",0.03754,676,7130,0.03312,0.04195
2021,No migration background,"Yes, every 3-4 weeks",0.02360,431,7130,0.02007,0.02712
2021,No migration background,"Yes, less frequently",0.06197,1187,7130,0.05637,0.06757
2021,Direct migration background,"No, never",0.33320,1835,2811,0.31577,0.35063
2021,Direct migration background,"Yes, every week",0.04186,209,2811,0.03445,0.04926
2021,Direct migration background,"Yes, every 2 weeks",0.05570,340,2811,0.04722,0.06418
2021,Direct migration background,"Yes, every 3-4 weeks",0.02647,120,2811,0.02053,0.03240
2021,Direct migration background,"Yes, less frequently",0.07009,307,2811,0.06065,0.07953
2021,Indirect migration background,"No, never",0.18878,400,578,0.15685,0.22071
2021,Indirect migration background,"Yes, every week",0.01761,41,578,0.00688,0.02834
2021,Indirect migration background,"Yes, every 2 weeks",0.03858,70,578,0.02286,0.05429
2021,Indirect migration background,"Yes, less frequently",0.04285,67,578,0.02632,0.05937
