year,quintil_oecd_hh,sampreg,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,5th Quintile,West,No,0.84535,2127,2451,0.83103,0.85967
2011,5th Quintile,East,Yes,0.15912,50,325,0.11929,0.19895
2011,5th Quintile,East,No,0.79929,275,325,0.75568,0.84291
2016,1st Quintile,West,Yes,0.10393,297,2276,0.09139,0.11647
2016,1st Quintile,West,No,0.86768,1979,2276,0.85375,0.88160
2016,1st Quintile,East,Yes,0.13956,142,820,0.11583,0.16329
2016,1st Quintile,East,No,0.84054,678,820,0.81546,0.86561
2016,2nd Quintile,West,Yes,0.11502,283,2242,0.10181,0.12823
2016,2nd Quintile,West,No,0.88498,1959,2242,0.87177,0.89819
2016,2nd Quintile,East,Yes,0.13557,127,799,0.11182,0.15932
2016,2nd Quintile,East,No,0.86443,672,799,0.84068,0.88818
2016,3rd Quintile,West,Yes,0.11844,291,2071,0.10452,0.13236
2016,3rd Quintile,West,No,0.88156,1780,2071,0.86764,0.89548
2016,3rd Quintile,East,Yes,0.12197,88,672,0.09721,0.14673
2016,3rd Quintile,East,No,0.87803,584,672,0.85327,0.90279
2016,4th Quintile,West,Yes,0.12578,309,2205,0.11193,0.13962
2016,4th Quintile,West,No,0.87422,1896,2205,0.86038,0.88807
2016,4th Quintile,East,Yes,0.12272,57,457,0.09260,0.15284
2016,4th Quintile,East,No,0.87728,400,457,0.84716,0.90740
2016,5th Quintile,West,Yes,0.12648,316,2429,0.11326,0.13970
2016,5th Quintile,West,No,0.87352,2113,2429,0.86030,0.88674
2016,5th Quintile,East,Yes,0.11042,46,326,0.07635,0.14450
2016,5th Quintile,East,No,0.88958,280,326,0.85550,0.92365
2021,1st Quintile,West,Yes,0.10476,179,1508,0.08930,0.12022
2021,1st Quintile,West,No,0.85079,1329,1508,0.83280,0.86878
2021,1st Quintile,East,Yes,0.13320,79,534,0.10435,0.16205
2021,1st Quintile,East,No,0.83795,455,534,0.80667,0.86924
2021,2nd Quintile,West,Yes,0.10226,232,1617,0.08749,0.11704
2021,2nd Quintile,West,No,0.89048,1385,1617,0.87525,0.90571
2021,2nd Quintile,East,Yes,0.10409,92,567,0.07893,0.12925
2021,2nd Quintile,East,No,0.89123,475,567,0.86558,0.91688
2021,3rd Quintile,West,Yes,0.12292,242,1549,0.10656,0.13928
2021,3rd Quintile,West,No,0.87544,1307,1549,0.85898,0.89189
2021,3rd Quintile,East,Yes,0.10766,72,475,0.07976,0.13556
2021,3rd Quintile,East,No,0.89030,403,475,0.86217,0.91844
2021,4th Quintile,West,Yes,0.13237,243,1688,0.11620,0.14854
2021,4th Quintile,West,No,0.86681,1445,1688,0.85060,0.88303
2021,4th Quintile,East,Yes,0.12299,50,390,0.09035,0.15563
2021,4th Quintile,East,No,0.87568,340,390,0.84290,0.90847
2021,5th Quintile,West,Yes,0.13546,360,2288,0.12144,0.14949
2021,5th Quintile,West,No,0.85993,1928,2288,0.84571,0.87415
2021,5th Quintile,East,Yes,0.15516,59,421,0.12053,0.18978
2021,5th Quintile,East,No,0.84455,362,421,0.80989,0.87920
