year,bula_h,regtyp,pet_dog,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Lower Saxony,Rural regions,No,0.82431,442,548,0.79242,0.85620
2006,Bremen,Urban regions,No,0.86255,77,77,0.78514,0.93997
2006,North Rhine-Westphalia,Urban regions,Yes,0.10692,301,2474,0.09474,0.11910
2006,North Rhine-Westphalia,Urban regions,No,0.89308,2173,2474,0.88090,0.90526
2006,North Rhine-Westphalia,Rural regions,No,0.87993,54,54,0.79242,0.96744
2006,Hesse,Urban regions,Yes,0.12624,97,691,0.10146,0.15103
2006,Hesse,Urban regions,No,0.87376,594,691,0.84897,0.89854
2006,Hesse,Rural regions,No,0.86642,130,130,0.80772,0.92513
2006,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.13007,75,551,0.10196,0.15819
2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.86993,476,551,0.84181,0.89804
2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.87555,147,147,0.82200,0.92909
2006,Baden-Wuerttemberg,Urban regions,Yes,0.09336,150,1348,0.07782,0.10890
2006,Baden-Wuerttemberg,Urban regions,No,0.90664,1198,1348,0.89110,0.92218
2006,Baden-Wuerttemberg,Rural regions,No,0.85798,108,108,0.79183,0.92412
2006,Bavaria,Urban regions,Yes,0.06958,73,867,0.05263,0.08653
2006,Bavaria,Urban regions,No,0.93042,794,867,0.91347,0.94737
2006,Bavaria,Rural regions,Yes,0.15632,137,863,0.13208,0.18056
2006,Bavaria,Rural regions,No,0.84368,726,863,0.81944,0.86792
2006,Berlin,Urban regions,No,0.93747,455,455,0.91519,0.95974
2006,Brandenburg,Urban regions,No,0.84534,41,41,0.73328,0.95739
2006,Brandenburg,Rural regions,Yes,0.19267,97,486,0.15757,0.22777
2006,Brandenburg,Rural regions,No,0.80733,389,486,0.77223,0.84243
2006,Mecklenburg-Western Pomerania,Urban regions,No,0.83540,35,35,0.71076,0.96005
2006,Mecklenburg-Western Pomerania,Rural regions,Yes,0.19597,57,264,0.14799,0.24394
2006,Mecklenburg-Western Pomerania,Rural regions,No,0.80403,207,264,0.75606,0.85201
2006,Saxony,Urban regions,Yes,0.08708,45,455,0.06114,0.11302
2006,Saxony,Urban regions,No,0.91292,410,455,0.88698,0.93886
2006,Saxony,Rural regions,Yes,0.12870,63,422,0.09671,0.16069
2006,Saxony,Rural regions,No,0.87130,359,422,0.83931,0.90329
2006,Saxony-Anhalt,Urban regions,No,0.90963,84,84,0.84794,0.97131
2006,Saxony-Anhalt,Rural regions,Yes,0.25193,102,396,0.20912,0.29474
2006,Saxony-Anhalt,Rural regions,No,0.74807,294,396,0.70526,0.79088
2006,Thuringa,Urban regions,No,0.87187,124,124,0.81280,0.93094
2006,Thuringa,Rural regions,Yes,0.16386,71,368,0.12599,0.20173
2006,Thuringa,Rural regions,No,0.83614,297,368,0.79827,0.87401
2011,Schleswig-Holstein,Urban regions,No,0.88397,112,112,0.82439,0.94355
2011,Schleswig-Holstein,Rural regions,Yes,0.11145,33,287,0.07498,0.14792
2011,Schleswig-Holstein,Rural regions,No,0.80653,254,287,0.76075,0.85231
2011,Hamburg,Urban regions,No,0.88085,184,184,0.83391,0.92779
2011,Lower Saxony,Urban regions,Yes,0.09628,63,513,0.07073,0.12183
2011,Lower Saxony,Urban regions,No,0.82900,450,513,0.79638,0.86161
2011,Lower Saxony,Rural regions,Yes,0.14380,98,574,0.11507,0.17253
2011,Lower Saxony,Rural regions,No,0.77432,476,574,0.74009,0.80855
2011,Bremen,Urban regions,No,0.77337,72,72,0.67599,0.87076
2011,North Rhine-Westphalia,Urban regions,Yes,0.10045,274,2287,0.08813,0.11278
2011,North Rhine-Westphalia,Urban regions,No,0.82251,2013,2287,0.80684,0.83817
2011,North Rhine-Westphalia,Rural regions,No,0.80498,54,54,0.69831,0.91165
2011,Hesse,Urban regions,Yes,0.11767,96,678,0.09339,0.14194
2011,Hesse,Urban regions,No,0.80432,582,678,0.77444,0.83421
2011,Hesse,Rural regions,Yes,0.23966,39,152,0.17158,0.30775
2011,Hesse,Rural regions,No,0.66577,113,152,0.59053,0.74101
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.12776,83,527,0.09923,0.15629
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.79260,444,527,0.75795,0.82725
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.83223,155,155,0.77321,0.89125
2011,Baden-Wuerttemberg,Urban regions,Yes,0.09855,140,1254,0.08205,0.11505
2011,Baden-Wuerttemberg,Urban regions,No,0.82232,1114,1254,0.80116,0.84349
2011,Baden-Wuerttemberg,Rural regions,No,0.81561,134,134,0.74970,0.88152
2011,Bavaria,Urban regions,Yes,0.06217,75,907,0.04644,0.07789
2011,Bavaria,Urban regions,No,0.87667,832,907,0.85526,0.89808
2011,Bavaria,Rural regions,Yes,0.13471,145,932,0.11277,0.15664
2011,Bavaria,Rural regions,No,0.77051,787,932,0.74350,0.79752
2011,Berlin,Urban regions,Yes,0.05079,31,513,0.03177,0.06981
2011,Berlin,Urban regions,No,0.88132,482,513,0.85330,0.90933
2011,Brandenburg,Urban regions,No,0.85225,42,42,0.74363,0.96087
2011,Brandenburg,Rural regions,Yes,0.17368,98,473,0.13950,0.20785
2011,Brandenburg,Rural regions,No,0.75038,375,473,0.71134,0.78943
2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.15792,55,285,0.11551,0.20033
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.78296,230,285,0.73501,0.83090
2011,Saxony,Urban regions,Yes,0.10516,39,425,0.07596,0.13436
2011,Saxony,Urban regions,No,0.82377,386,425,0.78750,0.86004
2011,Saxony,Rural regions,Yes,0.11161,46,383,0.08003,0.14319
2011,Saxony,Rural regions,No,0.83105,337,383,0.79348,0.86863
2011,Saxony-Anhalt,Urban regions,No,0.88544,116,116,0.82723,0.94365
2011,Saxony-Anhalt,Rural regions,Yes,0.23623,91,379,0.19340,0.27905
2011,Saxony-Anhalt,Rural regions,No,0.67988,288,379,0.63285,0.72691
2011,Thuringa,Urban regions,No,0.81995,150,150,0.75826,0.88165
2011,Thuringa,Rural regions,Yes,0.11935,46,350,0.08533,0.15336
2011,Thuringa,Rural regions,No,0.82005,304,350,0.77975,0.86035
2016,Schleswig-Holstein,Urban regions,No,0.92055,128,128,0.87352,0.96759
2016,Schleswig-Holstein,Rural regions,Yes,0.13782,63,364,0.10235,0.17328
2016,Schleswig-Holstein,Rural regions,No,0.85942,301,364,0.82366,0.89517
2016,Hamburg,Urban regions,No,0.91374,245,245,0.87851,0.94897
2016,Lower Saxony,Urban regions,Yes,0.12699,94,567,0.09956,0.15442
2016,Lower Saxony,Urban regions,No,0.86438,473,567,0.83617,0.89258
2016,Lower Saxony,Rural regions,Yes,0.19374,160,781,0.16600,0.22148
2016,Lower Saxony,Rural regions,No,0.80171,621,781,0.77373,0.82969
2016,Bremen,Urban regions,No,0.78910,92,92,0.70529,0.87292
2016,North Rhine-Westphalia,Urban regions,Yes,0.11697,373,2855,0.10518,0.12876
2016,North Rhine-Westphalia,Urban regions,No,0.87698,2482,2855,0.86493,0.88903
2016,North Rhine-Westphalia,Rural regions,No,0.87693,43,43,0.77757,0.97628
2016,Hesse,Urban regions,Yes,0.13546,120,799,0.11171,0.15920
2016,Hesse,Urban regions,No,0.86083,679,799,0.83682,0.88485
2016,Hesse,Rural regions,No,0.79539,150,150,0.73062,0.86017
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.13335,97,624,0.10666,0.16005
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.85724,527,624,0.82977,0.88471
2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.11530,37,224,0.07338,0.15721
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.88195,187,224,0.83959,0.92430
2016,Baden-Wuerttemberg,Urban regions,Yes,0.10012,159,1454,0.08468,0.11555
2016,Baden-Wuerttemberg,Urban regions,No,0.89620,1295,1454,0.88052,0.91188
2016,Baden-Wuerttemberg,Rural regions,No,0.89241,148,148,0.84232,0.94250
2016,Bavaria,Urban regions,Yes,0.06412,83,1100,0.04964,0.07861
2016,Bavaria,Urban regions,No,0.93379,1017,1100,0.91909,0.94849
2016,Bavaria,Rural regions,Yes,0.13616,178,1200,0.11675,0.15558
2016,Bavaria,Rural regions,No,0.85952,1022,1200,0.83985,0.87919
2016,Berlin,Urban regions,Yes,0.05645,40,610,0.03812,0.07478
2016,Berlin,Urban regions,No,0.94102,570,610,0.92231,0.95973
2016,Brandenburg,Urban regions,No,0.93641,39,39,0.85883,1.01400
2016,Brandenburg,Rural regions,Yes,0.15797,106,517,0.12650,0.18944
2016,Brandenburg,Rural regions,No,0.83754,411,517,0.80571,0.86936
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.90606,39,39,0.81330,0.99882
2016,Mecklenburg-Western Pomerania,Rural regions,Yes,0.16471,54,283,0.12141,0.20800
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.82870,229,283,0.78472,0.87268
2016,Saxony,Urban regions,Yes,0.08439,41,465,0.05910,0.10968
2016,Saxony,Urban regions,No,0.90886,424,465,0.88267,0.93505
2016,Saxony,Rural regions,Yes,0.09094,48,400,0.06273,0.11915
2016,Saxony,Rural regions,No,0.90674,352,400,0.87821,0.93528
2016,Saxony-Anhalt,Urban regions,No,0.91723,111,111,0.86573,0.96872
2016,Saxony-Anhalt,Rural regions,Yes,0.25476,90,388,0.21135,0.29817
2016,Saxony-Anhalt,Rural regions,No,0.74076,298,388,0.69710,0.78442
2016,Thuringa,Urban regions,No,0.85343,161,161,0.79863,0.90824
2016,Thuringa,Rural regions,Yes,0.14464,62,364,0.10846,0.18083
2016,Thuringa,Rural regions,No,0.84654,302,364,0.80947,0.88362
2021,Schleswig-Holstein,Urban regions,No,0.90698,135,135,0.85780,0.95616
2021,Schleswig-Holstein,Rural regions,Yes,0.15932,59,272,0.11575,0.20290
2021,Schleswig-Holstein,Rural regions,No,0.83057,213,272,0.78590,0.87523
2021,Hamburg,Urban regions,No,0.93804,247,247,0.90791,0.96816
2021,Lower Saxony,Urban regions,Yes,0.11655,72,477,0.08772,0.14537
2021,Lower Saxony,Urban regions,No,0.87542,405,477,0.84575,0.90509
2021,Lower Saxony,Rural regions,Yes,0.18068,130,585,0.14948,0.21189
2021,Lower Saxony,Rural regions,No,0.80941,455,585,0.77756,0.84127
2021,Bremen,Urban regions,No,0.81394,69,69,0.72144,0.90643
2021,North Rhine-Westphalia,Urban regions,Yes,0.13316,358,2234,0.11907,0.14725
2021,North Rhine-Westphalia,Urban regions,No,0.85419,1876,2234,0.83955,0.86883
2021,North Rhine-Westphalia,Rural regions,No,0.86959,38,38,0.76108,0.97810
2021,Hesse,Urban regions,Yes,0.15118,86,555,0.12135,0.18102
2021,Hesse,Urban regions,No,0.82704,469,555,0.79554,0.85853
2021,Hesse,Rural regions,No,0.81149,117,117,0.74031,0.88266
2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.14176,75,414,0.10812,0.17540
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.84338,339,414,0.80832,0.87843
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.88960,95,95,0.82625,0.95296
2021,Baden-Wuerttemberg,Urban regions,Yes,0.08776,107,1098,0.07101,0.10450
2021,Baden-Wuerttemberg,Urban regions,No,0.90328,991,1098,0.88578,0.92077
2021,Baden-Wuerttemberg,Rural regions,No,0.89658,104,104,0.83777,0.95539
2021,Bavaria,Urban regions,Yes,0.07802,88,877,0.06026,0.09578
2021,Bavaria,Urban regions,No,0.91435,789,877,0.89582,0.93288
2021,Bavaria,Rural regions,Yes,0.13629,135,870,0.11348,0.15911
2021,Bavaria,Rural regions,No,0.85771,735,870,0.83449,0.88094
2021,Berlin,Urban regions,Yes,0.06557,41,553,0.04492,0.08622
2021,Berlin,Urban regions,No,0.91702,512,553,0.89401,0.94003
2021,Brandenburg,Urban regions,No,0.93269,36,36,0.84968,1.01570
2021,Brandenburg,Rural regions,Yes,0.13874,85,406,0.10507,0.17240
2021,Brandenburg,Rural regions,No,0.85691,321,406,0.82281,0.89101
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.94218,47,47,0.87473,1.00963
2021,Mecklenburg-Western Pomerania,Rural regions,Yes,0.17695,44,212,0.12545,0.22844
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.81781,168,212,0.76572,0.86989
2021,Saxony,Urban regions,No,0.92831,362,362,0.90170,0.95492
2021,Saxony,Rural regions,Yes,0.10608,50,341,0.07334,0.13881
2021,Saxony,Rural regions,No,0.89149,291,341,0.85843,0.92455
2021,Saxony-Anhalt,Urban regions,No,0.81844,69,69,0.72682,0.91006
2021,Saxony-Anhalt,Rural regions,Yes,0.20362,62,288,0.15703,0.25021
2021,Saxony-Anhalt,Rural regions,No,0.79031,226,288,0.74321,0.83741
2021,Thuringa,Urban regions,No,0.84824,125,125,0.78509,0.91139
2021,Thuringa,Rural regions,Yes,0.10162,36,246,0.06378,0.13945
2021,Thuringa,Rural regions,No,0.89272,210,246,0.85397,0.93147
