"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2002","Paar mit Kind(ern)","81.9","74.96","4107","40","50","100","134","226","80.45","83.35","0","700","75","80"
"2002","Sonstige","93.4","82.92","260","46","60","125","150.42","216.67","87.65","99.15","8.33","300","83.3333358764648","100"
"2003","(Ehe-)Paar ohne Kind(er)","81.79","70.62","3602","36","50","100","137.5","250","80.22","83.36","0","500","70.8333358764648","75"
"2003","1-Pers.- Haushalt","61.04","49.75","2676","27","39","76","100","200","59.61","62.47","0","500","50","50"
"2003","Alleinerziehende","74.59","66.33","665","36","50","99","120.83","200","71.65","77.53","0","333.33","65","73"
"2003","Paar mit Kind(ern)","88.83","79.58","3874","41.67","55","108.33","150","250","87.19","90.47","0","750","81","83.3333358764648"
"2003","Sonstige","98.01","83.17","223","40","54.17","125","165","366.67","90.93","105.09","8.33","389","83.3333358764648","100"
"2004","(Ehe-)Paar ohne Kind(er)","86.06","77.92","3610","40","50.83","101.25","150","250","84.41","87.71","0","666.67","75","80"
"2004","1-Pers.- Haushalt","64.39","52.75","2627","27","40","80","104","208.33","62.79","65.99","0","500","51.6666679382324","55"
"2004","Alleinerziehende","74.14","66.33","642","40","50","92.5","120","200","71.03","77.25","10","400","66","73.75"
"2004","Paar mit Kind(ern)","90.86","82.96","3729","41.67","58.33","110","150","250","89.23","92.49","0","563.33","83.3333358764648","83.3333358764648"
"2004","Sonstige","96.61","97.67","212","41.67","64","116.67","150","300","89.45","103.77","0","400","85","100"
"2005","(Ehe-)Paar ohne Kind(er)","91.56","79.88","3496","41.67","58","111","150","250","89.78","93.34","0","700","82","83.3333358764648"
"2005","1-Pers.- Haushalt","67.17","58.29","2688","28","40","83.33","111","216.67","65.59","68.75","0","493","55","60"
"2005","Alleinerziehende","76.95","69.83","662","40","50","100","125","200","73.73","80.17","2","383.33","70","77"
"2005","Paar mit Kind(ern)","97.35","85.92","3506","45","60","120","166.67","270","95.56","99.14","0","750","90","92.5833358764648"
"2005","Sonstige","99.42","97.5","194","41.67","66.67","125","166.67","208.33","91.49","107.35","6.67","500","85.4166641235352","100"
"2006","(Ehe-)Paar ohne Kind(er)","101.05","89.62","3922","46","60","125","166.67","291.67","99.16","102.94","0","900","90","95.8333358764648"
"2006","1-Pers.- Haushalt","75.03","62.75","3006","30","45","99","125","247.08","73.31","76.75","0","666.67","60","65"
"2006","Alleinerziehende","84.97","74.5","745","40","55","100","150","210","81.59","88.35","0","291.67","70.8333358764648","80"
"2006","Paar mit Kind(ern)","108.34","99.67","3616","50","70","133.33","180","300","106.36","110.32","0","625","100","100"
"2006","Sonstige","123.12","103.67","194","58.33","83.33","150","191.67","300","113.11","133.13","8.33","583.33","100","125"
"2007","(Ehe-)Paar ohne Kind(er)","107.48","99.96","3647","50","66.67","133.33","180","291.67","105.47","109.49","0","900","100","100"
"2007","1-Pers.- Haushalt","77.97","69.5","2853","30","49","100","133.33","250","76.18","79.76","0","625","65.4166641235352","70"
"2007","Alleinerziehende","92.87","79.58","686","46","60","115","150","238.33","88.85","96.89","0","530","80","90"
"2007","Paar mit Kind(ern)","114.74","99.58","3353","50","73","150","200","333.33","112.54","116.94","0","819.33","100","100"
"2007","Sonstige","117.86","97.92","171","54.17","76","150","200","416.67","107.03","128.69","19","666.67","100","125"
"2008","(Ehe-)Paar ohne Kind(er)","109.41","99.75","3500","50","66.67","133.33","183.33","325","107.21","111.61","0","930","100","100"
"2008","1-Pers.- Haushalt","80.83","69.58","2740","33","50","100","150","250","78.89","82.77","0","583.33","67","70"
"2008","Alleinerziehende","100.49","88.25","660","50","61","120","172","300","95.9","105.08","0","583.33","85","100"
"2008","Paar mit Kind(ern)","113.75","99.71","3075","54.17","75","141.67","191.67","300","111.51","115.99","0","750","100","100"
"2008","Sonstige","122.63","96.25","142","50","80","150","205","333.33","110.35","134.91","16.67","700","100","125"
"2009","(Ehe-)Paar ohne Kind(er)","115.88","99.5","3343","50","70","150","200","333.33","113.57","118.19","0","666.67","100","107"
"2009","1-Pers.- Haushalt","83.6","72.75","2633","33.33","50","100","150","250","81.61","85.59","0","500","70","75"
"2009","Alleinerziehende","105.75","96.5","604","50","65","130","183.33","333.33","101.04","110.46","10","433.33","90","100"
"2009","Paar mit Kind(ern)","121.71","99.71","2835","51","78","154","208.33","333.33","119.23","124.19","6","716.67","104.166664123535","112.5"
"2009","Sonstige","133.87","118.33","127","50","80","180","210","333.33","122.38","145.36","16","333.33","100","140"
"2010","(Ehe-)Paar ohne Kind(er)","115.04","99.92","3148","50","70","150","200","350","112.7","117.38","0","833.25","100","100"
"2010","1-Pers.- Haushalt","84.3","69.5","2474","33.33","50","100","150","250","82.19","86.41","0","750","70","75"
"2010","Alleinerziehende","102.04","94.5","1780","50","69","125","166.67","275","99.7","104.38","4","416.67","87.5","93"
"2010","Paar mit Kind(ern)","118.28","99.5","5302","54","80","150","200","316.67","116.59","119.97","0","666.67","100","100"
"2010","Sonstige","117.93","113.33","159","25","71","166.67","208.33","300","107.1","128.76","16","500","100","125"
"2011","(Ehe-)Paar ohne Kind(er)","114.83","99.88","4180","50","70","150","200","333.33","112.86","116.8","0","750","100","100"
"2011","1-Pers.- Haushalt","86.5","75.75","3290","35","50","105.92","150","270","84.73","88.27","0","500","72","77.25"
"2011","Alleinerziehende","100.51","89.5","2244","50","66.67","120","166.67","260","98.28","102.74","0","756","86","90"
"2011","Paar mit Kind(ern)","119.36","99.83","5861","55","80","150","200","333.33","117.74","120.98","0","558.33","100","105"
"2011","Sonstige","127.42","123.5","210","60","85","160","200","300","118.48","136.36","16.67","458.33","100","125"
"2012","(Ehe-)Paar ohne Kind(er)","118.95","99.67","4213","50","70","150","208.33","333.33","116.88","121.02","0","666.67","100","106"
"2012","1-Pers.- Haushalt","86.28","74.5","3456","37.5","50","100","150","263.33","84.49","88.07","0","600","71","77"
"2012","Alleinerziehende","102.49","89.5","2126","50","66.67","121","175","265","100.21","104.77","0","800","86.25","93"
"2012","Paar mit Kind(ern)","123.06","108.17","5499","55","80","150","208.33","333.33","121.3","124.82","0","708.33","100","108.333335876465"
"2012","Sonstige","129.28","116.33","203","50","75","166.67","208.33","350","119.48","139.08","30","375","100","125"
"2013","(Ehe-)Paar ohne Kind(er)","120.07","99.96","4421","50","75","150","208.33","333.33","118.12","122.02","0","583.33","100","101"
"2013","1-Pers.- Haushalt","87.69","74.83","3617","37.5","50","104.17","154.17","291.67","85.89","89.49","0","816.67","70","75"
"2013","Alleinerziehende","105.82","90.08","2197","50","70","125","183.33","316.67","103.54","108.1","0","500","90","96"
"2013","Paar mit Kind(ern)","124.04","108.17","6368","58.33","80","154.17","208.33","333.33","122.44","125.64","0","666.67","100","108.333335876465"
"2013","Sonstige","121.16","99.5","476","50","75","150","208.33","333.33","115.4","126.92","20","495","100","102"
"2014","(Ehe-)Paar ohne Kind(er)","117.37","99.5","4257","50","70","150","208.33","333.33","115.33","119.41","0","750","100","100"
"2014","1-Pers.- Haushalt","83.04","71.83","3509","30","50","100.42","150","250","81.17","84.91","0","776.67","70","74"
"2014","Alleinerziehende","104.12","94.5","1799","48","66.67","130","171","300","101.46","106.78","0","583.33","90","95"
"2014","Paar mit Kind(ern)","121.02","108.17","5530","54.83","80","150","200","333.33","119.27","122.77","0","696.67","100","108.333335876465"
"2014","Sonstige","110.99","97.5","371","39.17","70","150","200","291.67","103.61","118.37","0","600","100","100"
"2015","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"2015","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"2015","Alleinerziehende","","","","","","","","","","","","","",""
"2015","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"2015","Sonstige","","","","","","","","","","","","","",""
"2016","(Ehe-)Paar ohne Kind(er)","105.18","96.29","4000","46","66.67","127","180","333.33","103.28","107.08","0","600","93.5833358764648","100"
"2016","1-Pers.- Haushalt","79.63","67.96","3326","30","50","100","150","250","77.82","81.44","0","770.83","65","70"
"2016","Alleinerziehende","94.3","83.17","1509","40","62","120","160","275","91.72","96.88","0","358.33","81","88.3333358764648"
"2016","Paar mit Kind(ern)","111.06","99.71","4846","50","75","141.67","198","297","109.35","112.77","0","666.67","100","100"
"2016","Sonstige","103.49","99.5","295","33.33","70","130","200","297","96.15","110.83","0","450","83.3333358764648","100"
"2017","(Ehe-)Paar ohne Kind(er)","105.54","99.92","4491","46.25","66.67","130","175","301.67","103.75","107.33","0","833.25","95","100"
"2017","1-Pers.- Haushalt","77.68","69.67","3771","29.17","50","100","146","229.17","76.08","79.28","0","583.33","65","70"
"2017","Alleinerziehende","93.58","83.17","1528","40","60","116.67","155","300","90.85","96.31","0","540","83.3333358764648","90"
"2017","Paar mit Kind(ern)","111.25","99.92","5136","50","75","145.08","191.67","295.83","109.59","112.91","0","725","100","100"
"2017","Sonstige","101.57","97","353","30","60","125","180","333.33","94.45","108.69","0","416.67","90","100"
"2018","(Ehe-)Paar ohne Kind(er)","103.21","94.96","4409","48","66.67","125","175","291.67","101.47","104.95","0","666.67","91.6666641235352","100"
"2018","1-Pers.- Haushalt","78.22","69.96","3961","26","49","100","146","250","76.68","79.76","0","625","64","69.9166641235352"
"2018","Alleinerziehende","92.91","83.17","1496","42","60","108.33","165.08","275","90.19","95.63","0","500","82","90"
"2018","Paar mit Kind(ern)","110.43","99.96","4855","50","75.83","139","190","290","108.8","112.06","0","533.33","100","100"
"2018","Sonstige","102.04","99.5","334","50","70","125","166.67","250","95.93","108.15","0","395","90","100"
"2019","(Ehe-)Paar ohne Kind(er)","105.16","99.62","4912","45.92","67","133.33","175","300","103.18","107.14","0","1000","100","100"
"2019","1-Pers.- Haushalt","79.08","69.5","4107","27.92","50","100","150","250","77.48","80.68","0","625","65","70"
"2019","Alleinerziehende","90.43","79.58","1406","41.67","60","108.33","150","252","87.59","93.27","0","500","82","89"
"2019","Paar mit Kind(ern)","108.02","99.67","4926","50","70","133.33","183.33","320.83","106.15","109.89","0","750","100","100"
"2019","Sonstige","108.59","98.5","307","40","70","150","200","300","100.87","116.31","0","416.67","91.6666641235352","100"
"2020","(Ehe-)Paar ohne Kind(er)","105.48","99.75","5054","50","66.67","133.33","180","300","103.64","107.32","0","999","90","100"
"2020","1-Pers.- Haushalt","78.4","69.88","5343","25","49","100","150","250","77.02","79.78","0","625","60","60"
"2020","Alleinerziehende","93.91","83.17","1575","47","64.58","116.67","151.75","250","91.17","96.65","0","416.67","80","88"
"2020","Paar mit Kind(ern)","108.36","99.5","6365","50","70","140","179.25","300","106.64","110.08","0","1125","100","100"
"2020","Sonstige","107.44","99.5","610","40","70","141.67","196","333.33","101.81","113.07","0","416.67","87","100"
