"year","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2010","4","111.88","99.92","6832","50","70","141.67","190","316.67","110.38","113.38","0","750","100","100"
"2010","5 Einkommensstärkstes Quintil","127.68","109.58","6027","51","77.5","163","208.33","416.67","125.73","129.63","0","833.25","116.666664123535","120"
"2011","1 Einkommensschwächstes Quintil","99.65","89.5","8148","41.67","60","125","170","291.67","98.32","100.98","0","756","98","100"
"2011","2","108.23","99.5","8828","50","66.67","140","182","308.33","107","109.46","0","600","100","100"
"2011","3","107.08","99.83","8296","47","66.67","130","180","291.67","105.82","108.34","0","558.33","100","100"
"2011","4","112.82","99.58","8884","50","70","150","197","320","111.56","114.08","0","416.67","100","100"
"2011","5 Einkommensstärkstes Quintil","125.33","108.12","7797","53.75","80","157","208.33","350","123.66","127","0","750","116.666664123535","120"
"2012","1 Einkommensschwächstes Quintil","100.91","87.75","6830","41.67","60","125","177.92","300","99.5","102.32","0","800","100","100"
"2012","2","108.56","99.5","8200","50","68.33","139","183.33","291.67","107.24","109.88","0","500","100","100"
"2012","3","112.01","99.58","8410","50","67","141.67","198.33","333.33","110.64","113.38","0","666.67","100","100"
"2012","4","114.46","99.62","8890","50","70","150","200","333.33","113.08","115.84","0","614","100","104.166664123535"
"2012","5 Einkommensstärkstes Quintil","127.63","109.5","8118","53.33","80","164","212","350","125.98","129.28","0","708.33","116.666664123535","120"
"2013","1 Einkommensschwächstes Quintil","102.66","89.88","8477","41.67","60","125","180","316.67","101.31","104.01","0","666.67","100","100"
"2013","2","110.39","99.83","9217","50","66.67","141.67","200","300","109.15","111.63","0","545","100","100"
"2013","3","114.1","99.5","8894","50","70","150","200","333.33","112.79","115.41","0","666.67","100","100"
"2013","4","","","","","","","","","","","","","",""
"2013","5 Einkommensstärkstes Quintil","127.77","108.17","9037","50","75","166.67","216.67","370","126.22","129.32","0","816.67","116.666664123535","120"
"2014","1 Einkommensschwächstes Quintil","95.72","83.17","6446","29.17","55","125","175","285","94.11","97.33","0","691.67","95","100"
"2014","2","106.9","99.5","7672","40","65","145","183.33","320","105.42","108.38","0","696.67","100","100"
"2014","3","109.94","99.58","8024","44","66.67","149","200","300","108.56","111.32","0","500","100","100"
"2014","4","112.26","99.5","9354","50","70","150","200","300","110.99","113.53","0","600","100","100"
"2014","5 Einkommensstärkstes Quintil","123.44","105.5","8969","50","75","160","208.33","370","121.87","125.01","0","776.67","112.5","116.666664123535"
"2015","1 Einkommensschwächstes Quintil","84.39","74.5","5296","29","50","100","148","283","82.68","86.1","0","600","81","86"
"2015","2","84.23","79.5","5021","30","50","106","141","250","82.72","85.74","0","500","88","90"
"2015","3","85.69","79.5","4334","30","55","105","142","250","84","87.38","0","800","84","88"
"2015","4","84.57","79.5","4319","21","50","102","150","282","82.89","86.25","0","540","80","85"
"2015","5 Einkommensstärkstes Quintil","87.98","79.5","3453","17","50","111","161","260","85.88","90.08","0","526","82","88"
"2016","1 Einkommensschwächstes Quintil","83.13","77.5","4923","10","50","101","157","290","81.46","84.8","0","400","83.3333358764648","88"
"2016","2","98.71","84.5","6054","35.83","60","125","166.67","291.67","97.17","100.25","0","450","96","100"
"2016","3","98.6","93.38","6645","40","60","125","166.67","250","97.25","99.95","0","450","91.6666641235352","100"
"2016","4","104.82","99.88","9000","45","65","130","180","300","103.6","106.04","0","583.33","100","100"
"2016","5 Einkommensstärkstes Quintil","111.26","99.5","9254","50","70","140","199","333.33","109.88","112.64","0","770.83","100","100"
"2017","1 Einkommensschwächstes Quintil","89.8","79.5","4525","22.33","50","116.67","160","300","87.92","91.68","0","540","90","94"
"2017","2","92.21","82.5","5581","32","54.17","120","166.67","291.67","90.64","93.78","0","438","90","91.6666641235352"
"2017","3","98.53","94.83","7049","40","65","125","166.67","280","97.21","99.85","0","500","100","100"
"2017","4","101.97","94.29","9856","45","66.67","125","166.67","291.67","100.82","103.12","0","500","100","100"
"2017","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2018","1 Einkommensschwächstes Quintil","84.07","79.58","4105","20","50","100","150","260","82.24","85.9","0","395","81","86"
"2018","2","91.77","83.17","4889","35","60","120","166.67","250","90.1","93.44","0","500","90","91.6666641235352"
"2018","3","98.64","94.79","6652","37.5","60","125","166.67","280","97.25","100.03","0","483.33","100","100"
"2018","4","100.76","98.62","9942","41.67","66.67","125","166.67","275","99.69","101.83","0","408.33","100","100"
"2018","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2019","1 Einkommensschwächstes Quintil","87.74","79.5","3205","15","50","108.33","165","333.33","85.24","90.24","0","600","83","85"
"2019","2","93.31","83.17","4184","30","60","120","166.67","291.67","91.35","95.27","0","548.58","90","91.6666641235352"
"2019","3","97.22","89.96","5595","35","60","125","166.67","291.67","95.69","98.75","0","600","100","100"
"2019","4","100.29","91.25","9687","40","62.5","125","166.67","291.67","99.07","101.51","0","700","100","100"
"2019","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2020","1 Einkommensschwächstes Quintil","85.41","79.58","9677","0","50","117","150","280","83.93","86.89","0","416.67","83.3333358764648","90"
"2020","2","91.62","79.58","7231","35","53","120","160","300","90.05","93.19","0","490","90","100"
"2020","3","98.43","91.33","6333","39","60","125","175","300","96.78","100.08","0","666.67","91.6666641235352","100"
"2020","4","","","","","","","","","","","","","",""
"2020","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
