,Unnamed: 0,year,bula_h,sampreg,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
81,81,2015,Berlin,East,Yes,0.21178,75,25013,0.16548,0.25689
82,82,2015,Berlin,East,No,0.78822,321,25013,0.69562,0.87965
83,83,2015,Brandenburg,East,Yes,0.22246,218,25013,0.19514,0.25273
84,84,2015,Brandenburg,East,No,0.77754,766,25013,0.71198,0.84025
85,85,2015,Mecklenburg-Western Pomerania,East,Yes,0.23993,107,25013,0.19603,0.29194
86,86,2015,Mecklenburg-Western Pomerania,East,No,0.76007,450,25013,0.69849,0.83762
87,87,2015,Saxony,East,Yes,0.19486,295,25013,0.17542,0.21439
88,88,2015,Saxony,East,No,0.80514,1216,25013,0.75384,0.86153
89,89,2015,Saxony-Anhalt,East,Yes,0.2298,181,25013,0.20138,0.25893
90,90,2015,Saxony-Anhalt,East,No,0.7702,704,25013,0.70391,0.84379
91,91,2015,Thuringa,East,Yes,0.21057,171,25013,0.17685,0.25148
92,92,2015,Thuringa,East,No,0.78943,749,25013,0.73625,0.85107
93,93,2017,Schleswig-Holstein,West,Yes,0.2008,163,26549,0.17344,0.23268
94,94,2017,Schleswig-Holstein,West,No,0.7992,788,26549,0.72737,0.86733
95,95,2017,Hamburg,West,Yes,0.18729,71,26549,0.15623,0.22552
96,96,2017,Hamburg,West,No,0.81271,395,26549,0.73578,0.90633
97,97,2017,Lower Saxony,West,Yes,0.22923,470,26549,0.21125,0.25009
98,98,2017,Lower Saxony,West,No,0.77077,2227,26549,0.73651,0.8085
99,99,2017,Bremen,West,Yes,0.19409,32,26549,0.1266,0.25688
100,100,2017,Bremen,West,No,0.80591,188,26549,0.68473,0.96468
101,101,2017,North Rhine-Westphalia,West,Yes,0.2054,966,26549,0.19358,0.21905
102,102,2017,North Rhine-Westphalia,West,No,0.7946,4558,26549,0.76544,0.82131
103,103,2017,Hesse,West,Yes,0.18684,305,26549,0.16837,0.20375
104,104,2017,Hesse,West,No,0.81316,1484,26549,0.76877,0.84972
105,105,2017,"Rhineland-Palatinate, Saarland",West,Yes,0.21617,276,26549,0.1939,0.24078
106,106,2017,"Rhineland-Palatinate, Saarland",West,No,0.78383,1248,26549,0.7362,0.83261
107,107,2017,Baden-Wuerttemberg,West,Yes,0.22404,531,26549,0.20729,0.2423
108,108,2017,Baden-Wuerttemberg,West,No,0.77596,2487,26549,0.7338,0.81232
109,109,2017,Bavaria,West,Yes,0.21489,732,26549,0.19618,0.23244
110,110,2017,Bavaria,West,No,0.78511,3479,26549,0.75632,0.81757
111,111,2017,Berlin,West,Yes,0.20535,114,26549,0.17623,0.24225
112,112,2017,Berlin,West,No,0.79465,445,26549,0.73496,0.87133
113,113,2017,Berlin,East,Yes,0.18257,80,26549,0.14814,0.21632
114,114,2017,Berlin,East,No,0.81743,350,26549,0.73512,0.90791
115,115,2017,Brandenburg,East,Yes,0.22877,235,26549,0.19852,0.26334
116,116,2017,Brandenburg,East,No,0.77123,798,26549,0.71405,0.83555
117,117,2017,Mecklenburg-Western Pomerania,East,Yes,0.22734,115,26549,0.18728,0.26171
118,118,2017,Mecklenburg-Western Pomerania,East,No,0.77266,458,26549,0.70755,0.84484
119,119,2017,Saxony,East,Yes,0.21366,324,26549,0.19373,0.23888
120,120,2017,Saxony,East,No,0.78634,1329,26549,0.74248,0.83662
121,121,2017,Saxony-Anhalt,East,Yes,0.22299,190,26549,0.19779,0.2546
122,122,2017,Saxony-Anhalt,East,No,0.77701,733,26549,0.7256,0.84602
123,123,2017,Thuringa,East,Yes,0.23627,198,26549,0.19324,0.28568
124,124,2017,Thuringa,East,No,0.76373,780,26549,0.71259,0.82085
125,125,2019,Schleswig-Holstein,West,Yes,0.2104,192,25649,0.18321,0.24015
126,126,2019,Schleswig-Holstein,West,No,0.7896,764,25649,0.72408,0.85689
127,127,2019,Hamburg,West,Yes,0.16721,85,25649,0.12918,0.21123
128,128,2019,Hamburg,West,No,0.83279,444,25649,0.73835,0.94344
129,129,2019,Lower Saxony,West,Yes,0.23342,479,25649,0.21041,0.25521
130,130,2019,Lower Saxony,West,No,0.76658,2014,25649,0.72794,0.81044
131,131,2019,Bremen,West,Yes,0.21456,37,25649,0.14076,0.29007
132,132,2019,Bremen,West,No,0.78544,182,25649,0.65335,0.94234
133,133,2019,North Rhine-Westphalia,West,Yes,0.20543,1005,25649,0.19138,0.21998
134,134,2019,North Rhine-Westphalia,West,No,0.79457,4401,25649,0.76294,0.82293
135,135,2019,Hesse,West,Yes,0.19557,333,25649,0.17248,0.22051
136,136,2019,Hesse,West,No,0.80443,1378,25649,0.74446,0.86394
137,137,2019,"Rhineland-Palatinate, Saarland",West,Yes,0.25546,302,25649,0.229,0.28445
138,138,2019,"Rhineland-Palatinate, Saarland",West,No,0.74454,1164,25649,0.69247,0.79814
139,139,2019,Baden-Wuerttemberg,West,Yes,0.23002,558,25649,0.2087,0.25293
140,140,2019,Baden-Wuerttemberg,West,No,0.76998,2241,25649,0.72951,0.80555
141,141,2019,Bavaria,West,Yes,0.2082,738,25649,0.19228,0.22808
142,142,2019,Bavaria,West,No,0.7918,3213,25649,0.75513,0.82188
143,143,2019,Berlin,West,Yes,0.17298,107,25649,0.14376,0.20899
144,144,2019,Berlin,West,No,0.82702,466,25649,0.7394,0.90579
145,145,2019,Berlin,East,Yes,0.23232,76,25649,0.17985,0.29312
146,146,2019,Berlin,East,No,0.76768,302,25649,0.6631,0.85779
147,147,2019,Brandenburg,East,Yes,0.20166,241,25649,0.17211,0.23426
148,148,2019,Brandenburg,East,No,0.79834,870,25649,0.73426,0.8677
149,149,2019,Mecklenburg-Western Pomerania,East,Yes,0.26259,131,25649,0.22059,0.30891
150,150,2019,Mecklenburg-Western Pomerania,East,No,0.73741,480,25649,0.66219,0.8448
151,151,2019,Saxony,East,Yes,0.19986,311,25649,0.17673,0.22961
152,152,2019,Saxony,East,No,0.80014,1323,25649,0.74227,0.85037
153,153,2019,Saxony-Anhalt,East,Yes,0.24791,190,25649,0.21378,0.28954
154,154,2019,Saxony-Anhalt,East,No,0.75209,699,25649,0.6857,0.82624
155,155,2019,Thuringa,East,Yes,0.25334,203,25649,0.20841,0.31154
156,156,2019,Thuringa,East,No,0.74666,720,25649,0.67307,0.83146
157,157,2021,Schleswig-Holstein,West,Yes,0.20204,155,19134,0.16255,0.24458
158,158,2021,Schleswig-Holstein,West,No,0.79796,670,19134,0.7019,0.89886
159,159,2021,Hamburg,West,Yes,0.22263,77,19134,0.16826,0.29072
160,160,2021,Hamburg,West,No,0.77737,373,19134,0.65556,0.9165
161,161,2021,Lower Saxony,West,Yes,0.23316,359,19134,0.2005,0.26821
162,162,2021,Lower Saxony,West,No,0.76684,1522,19134,0.71192,0.82234
163,163,2021,Bremen,West,No,1.0,121,19134,0.78297,1.31467
164,164,2021,North Rhine-Westphalia,West,Yes,0.22689,778,19134,0.20389,0.24415
165,165,2021,North Rhine-Westphalia,West,No,0.77311,3334,19134,0.73195,0.81232
166,166,2021,Hesse,West,Yes,0.21,244,19134,0.17726,0.23931
167,167,2021,Hesse,West,No,0.79,1079,19134,0.72415,0.86849
168,168,2021,"Rhineland-Palatinate, Saarland",West,Yes,0.29078,230,19134,0.24752,0.33288
169,169,2021,"Rhineland-Palatinate, Saarland",West,No,0.70922,766,19134,0.65128,0.79315
170,170,2021,Baden-Wuerttemberg,West,Yes,0.25116,449,19134,0.22628,0.28205
171,171,2021,Baden-Wuerttemberg,West,No,0.74884,1718,19134,0.69435,0.80412
172,172,2021,Bavaria,West,Yes,0.21578,555,19134,0.19265,0.23713
173,173,2021,Bavaria,West,No,0.78422,2298,19134,0.74039,0.8308
174,174,2021,Berlin,West,Yes,0.1634,85,19134,0.12412,0.20632
175,175,2021,Berlin,West,No,0.8366,474,19134,0.73387,0.94331
176,176,2021,Berlin,East,Yes,0.26849,52,19134,0.17518,0.35025
177,177,2021,Berlin,East,No,0.73151,295,19134,0.60233,0.8562
178,178,2021,Brandenburg,East,Yes,0.2608,172,19134,0.21787,0.31454
179,179,2021,Brandenburg,East,No,0.7392,529,19134,0.6551,0.83694
180,180,2021,Mecklenburg-Western Pomerania,East,Yes,0.29055,104,19134,0.22552,0.35057
181,181,2021,Mecklenburg-Western Pomerania,East,No,0.70945,303,19134,0.61778,0.7952
182,182,2021,Saxony,East,Yes,0.19146,220,19134,0.16854,0.21759
183,183,2021,Saxony,East,No,0.80854,940,19134,0.73444,0.89352
184,184,2021,Saxony-Anhalt,East,Yes,0.23817,113,19134,0.1844,0.29531
185,185,2021,Saxony-Anhalt,East,No,0.76183,486,19134,0.67041,0.87399
186,186,2021,Thuringa,East,Yes,0.25395,128,19134,0.20276,0.32784
187,187,2021,Thuringa,East,No,0.74605,505,19134,0.67201,0.83204
