year,bula_h,ple0021,proportion,n,lower_confidence,upper_confidence
2013,Baden-Wuerttemberg,1.0,0.024117459980918052,31177,0.022414503823904253,0.025820416137931852
2013,Mecklenburg-Vorpommern,2.0,0.019293967984734442,31177,0.01776703804794575,0.020820897921523134
2013,Niedersachsen,1.0,0.01871090851266829,31177,0.017206780384130434,0.02021503664120615
2013,Hessen,1.0,0.015000530054065514,31177,0.013651224801515618,0.01634983530661541
2013,Sachsen,1.0,0.014735503021308173,31177,0.013397990644100136,0.01607301539851621
2013,Hamburg,2.0,0.013463373264072936,31177,0.012184073086972443,0.014742673441173429
2013,"Rheinland-Pfalz,Saarland",1.0,0.013251351637867063,31177,0.011982028287869744,0.014520674987864381
2013,Brandenburg,1.0,0.009328951553058412,31177,0.00826181483256775,0.010396088273549074
2013,Sachsen-Anhalt,1.0,0.008745892080992261,31177,0.007712337379211395,0.009779446782773128
2013,Berlin,1.0,0.008586875861337856,31177,0.007562678072367598,0.009611073650308114
2013,Thueringen,1.0,0.007791794763065833,31177,0.006815773971463979,0.008767815554667687
2013,Schleswig-Holstein,1.0,0.0062546379730732534,31177,0.005379497930224596,0.007129778015921911
2013,Bremen,2.0,0.005247535248595356,31177,0.004445535736521321,0.006049534760669392
2013,Mecklenburg-Vorpommern,1.0,0.004770486589632143,31177,0.004005626724129227,0.005535346455135058
2013,Hamburg,1.0,0.002915297360330754,31177,0.0023168218741303846,0.003513772846531123
2013,Bremen,1.0,0.0010071027244778967,31177,0.0006550100450194276,0.0013591954039363658
2015,Nordrhein-Westfalen,2.0,0.1718849840255591,27342,0.16741294864560002,0.17635701940551818
2015,Bayern,2.0,0.1351038338658147,27342,0.13105195218989366,0.13915571554173575
2015,Baden-Wuerttemberg,2.0,0.09856230031948882,27342,0.09502913299107532,0.10209546764790231
2015,Niedersachsen,2.0,0.08063099041533546,27342,0.07740370883516572,0.0838582719955052
2015,Hessen,2.0,0.05646964856230032,27342,0.05373358355420429,0.059205713570396355
2015,Sachsen,2.0,0.04856230031948882,27342,0.04601440996322729,0.05111019067575035
2015,"Rheinland-Pfalz,Saarland",2.0,0.048043130990415336,27342,0.0455082053792129,0.05057805660161777
2015,Nordrhein-Westfalen,1.0,0.034384984025559104,27342,0.03222511532647208,0.03654485272464613
2015,Brandenburg,2.0,0.030591054313099043,27342,0.028549825613093896,0.03263228301310419
2015,Thueringen,2.0,0.029912140575079873,27342,0.027892982997348742,0.031931298152811004
2015,Berlin,2.0,0.029353035143769968,27342,0.027352260892840888,0.03135380939469905
2015,Schleswig-Holstein,2.0,0.02891373801916933,27342,0.026927542682950934,0.030899933355387727
2015,Sachsen-Anhalt,2.0,0.028115015974440896,27342,0.026155641097383896,0.030074390851497896
2015,Bayern,1.0,0.025718849840255593,27342,0.02384252143470914,0.027595178245802047
2015,Baden-Wuerttemberg,1.0,0.02064696485623003,27342,0.01896142635195647,0.022332503360503592
2015,Mecklenburg-Vorpommern,2.0,0.017971246006389777,27342,0.01639656666977052,0.019545925343009033
2015,Niedersachsen,1.0,0.016054313099041533,27342,0.01456453234553169,0.017544093852551377
2015,Hamburg,2.0,0.014057507987220448,27342,0.012662036737195535,0.015452979237245361
2015,Sachsen,1.0,0.01178115015974441,27342,0.01050217725375409,0.013060123065734728
2015,"Rheinland-Pfalz,Saarland",1.0,0.011701277955271566,27342,0.010426596414411791,0.012975959496131341
2015,Hessen,1.0,0.011621405750798721,27342,0.010351030776911792,0.01289178072468565
2015,Brandenburg,1.0,0.008706070287539936,27342,0.007604903155978065,0.009807237419101807
2015,Sachsen-Anhalt,1.0,0.007228434504792333,27342,0.006224309638960772,0.008232559370623893
2015,Berlin,1.0,0.007068690095846646,27342,0.006075642634503243,0.008061737557190047
2015,Thueringen,1.0,0.006829073482428115,27342,0.005852884675477173,0.0078052622893790575
2015,Schleswig-Holstein,1.0,0.0059904153354632585,27342,0.005075744808622563,0.006905085862303954
2015,Bremen,2.0,0.00579073482428115,27342,0.004891347683667848,0.006690121964894452
2015,Mecklenburg-Vorpommern,1.0,0.004273162939297125,27342,0.003499973764984713,0.005046352113609536
2015,Hamburg,1.0,0.0029552715654952077,27342,0.002311848018780151,0.0035986951122102644
2015,Bremen,1.0,0.0010782747603833866,27342,0.0006892552517468822,0.001467294269019891
2017,Nordrhein-Westfalen,2.0,0.17168254924855927,31140,0.16749405185585883,0.17587104664125972
2017,Bayern,2.0,0.1310407171644883,31140,0.12729271691285904,0.1347887174161176
2017,Baden-Wuerttemberg,2.0,0.09367584466458247,31140,0.09043951798406986,0.09691217134509507
2017,Niedersachsen,2.0,0.08388263211420392,31140,0.08080364160425219,0.08696162262415566
2017,Hessen,2.0,0.05589664394139139,31140,0.053345121428020004,0.05844816645476278
2017,Sachsen,2.0,0.050058382613281105,31140,0.04763632967422889,0.05248043555233332
2017,"Rheinland-Pfalz,Saarland",2.0,0.04700742024181702,31140,0.04465657123447322,0.04935826924916082
2017,Nordrhein-Westfalen,1.0,0.03638555124486798,31140,0.03430579279073383,0.03846530969900214
2017,Brandenburg,2.0,0.030057629289238767,31140,0.02816115440807083,0.0319541041704067
2017,Berlin,2.0,0.029944630682888246,31140,0.0280516137019015,0.03183764766387499
2017,Schleswig-Holstein,2.0,0.02968096726807036,31140,0.027796046639880275,0.03156588789626044
2017,Thueringen,2.0,0.029379637651135635,31140,0.027504018390495436,0.03125525691177583
2017,Sachsen-Anhalt,2.0,0.02760932615164413,31140,0.02578943646746645,0.029429215835821813
2017,Bayern,1.0,0.02757165994952729,31140,0.02575297686425386,0.029390343034800717
2017,Baden-Wuerttemberg,1.0,0.020000753324042338,31140,0.018445744653456702,0.021555761994627973
2017,Niedersachsen,1.0,0.017703114994915062,31140,0.01623843417029516,0.019167795819534966
2017,Mecklenburg-Vorpommern,2.0,0.017251120569512977,31140,0.015804926084180413,0.01869731505484554
2017,Hamburg,2.0,0.014878149836152021,31140,0.013533478314324799,0.016222821357979242
2017,Sachsen,1.0,0.01220384948585634,31140,0.010984357773296741,0.01342334119841594
2017,Hessen,1.0,0.01148819164563637,31140,0.010304568268896684,0.012671815022376057
2017,"Rheinland-Pfalz,Saarland",1.0,0.010395871784247994,31140,0.009269302324646504,0.011522441243849484
2017,Brandenburg,1.0,0.008851557497457531,31140,0.007811215894723351,0.009891899100191712
2017,Thueringen,1.0,0.007457908019134431,31140,0.006502300088397694,0.00841351594987117
2017,Berlin,1.0,0.007307243210667069,31140,0.006361265344481137,0.008253221076853001
2017,Sachsen-Anhalt,1.0,0.007156578402199706,31140,0.006220332639283976,0.008092824165115437
2017,Bremen,2.0,0.007081245997966025,31140,0.0061499055495135785,0.00801258644641847
2017,Schleswig-Holstein,1.0,0.006139590945045011,31140,0.00527197169147912,0.007007210198610903
2017,Mecklenburg-Vorpommern,1.0,0.004331613243436665,31140,0.0036021910672962864,0.0050610354195770434
2017,Hamburg,1.0,0.0026743003502956797,31140,0.002100685530678216,0.0032479151699131435
2017,Bremen,1.0,0.0012053184677388979,31140,0.0008199414751933666,0.001590695460284429
2019,Nordrhein-Westfalen,2.0,0.17107871720116619,29565,0.16678610389491708,0.1753713305074153
2019,Bayern,2.0,0.12489795918367347,29565,0.12112941033482201,0.1286665080325249
2019,Baden-Wuerttemberg,2.0,0.0871137026239067,29565,0.08389916354085315,0.09032824170696026
2019,Niedersachsen,2.0,0.07828960155490768,29565,0.07522752238883801,0.08135168072097734
2019,Hessen,2.0,0.053566569484936835,29565,0.0509999642075629,0.05613317476231077
2019,Sachsen,2.0,0.05142857142857143,29565,0.048910869110594134,0.05394627374654872
2019,"Rheinland-Pfalz,Saarland",2.0,0.04524781341107872,29565,0.04287856139438493,0.047617065427772505
2019,Nordrhein-Westfalen,1.0,0.03906705539358601,29565,0.03685844551494588,0.041275665272226134
2019,Brandenburg,2.0,0.03381924198250729,29565,0.03175871523562852,0.035879768729386065
2019,Berlin,2.0,0.03234207968901846,29565,0.030325515600221918,0.03435864377781501
2019,Schleswig-Holstein,2.0,0.029698736637512147,29565,0.027763699004515315,0.03163377427050898
2019,Bayern,1.0,0.02868804664723032,29565,0.026785229810380694,0.030590863484079946
2019,Thueringen,2.0,0.027988338192419825,29565,0.026108192846850734,0.029868483537988915
2019,Sachsen-Anhalt,2.0,0.02717201166180758,29565,0.025318710259965137,0.029025313063650023
2019,Baden-Wuerttemberg,1.0,0.021690962099125365,29565,0.020030440342268228,0.023351483855982503
2019,Mecklenburg-Vorpommern,2.0,0.018658892128279883,29565,0.01711641031394702,0.020201373942612746
2019,Niedersachsen,1.0,0.018620019436345968,29565,0.017079114693523915,0.02016092417916802
2019,Hamburg,2.0,0.017259475218658893,29565,0.015774906327933123,0.018744044109384662
2019,Hessen,1.0,0.01294460641399417,29565,0.01165611265977935,0.014233100168208989
2019,Sachsen,1.0,0.012089407191448008,29565,0.01084366419698151,0.013335150185914506
2019,"Rheinland-Pfalz,Saarland",1.0,0.01173955296404276,29565,0.01051175017249435,0.012967355755591168
2019,Brandenburg,1.0,0.009368318756073859,29565,0.008270187973552954,0.010466449538594763
2019,Thueringen,1.0,0.007891156462585034,29565,0.0068825607507374455,0.008899752174432623
2019,Berlin,1.0,0.007580174927113703,29565,0.006591497862835305,0.008568851991392101
2019,Schleswig-Holstein,1.0,0.007463556851311954,29565,0.006482456834344746,0.008444656868279162
2019,Sachsen-Anhalt,1.0,0.007385811467444121,29565,0.0064097964997983856,0.008361826435089856
2019,Bremen,2.0,0.007074829931972789,29565,0.006119433990784828,0.00803022587316075
2019,Mecklenburg-Vorpommern,1.0,0.005092322643343051,29565,0.0042809572559518675,0.005903688030734235
2019,Hamburg,1.0,0.003304178814382896,29565,0.002650024485738602,0.0039583331430271896
2019,Bremen,1.0,0.0014382896015549076,29565,0.001006295562103053,0.0018702836410067621
2021,Nordrhein-Westfalen,2.0,0.17397203089125443,19931,0.16870908845678395,0.1792349733257249
2021,Bayern,2.0,0.11991233562930495,19931,0.11540223299768766,0.12442243826092224
2021,Baden-Wuerttemberg,2.0,0.08964725527029847,19931,0.0856811441449464,0.09361336639565054
2021,Niedersachsen,2.0,0.0794197453558756,19931,0.07566581164193566,0.08317367906981556
2021,Hessen,2.0,0.05630348570235859,19931,0.05310329879943923,0.059503672605277946
2021,Sachsen,2.0,0.04905030265080359,19931,0.04605189177302726,0.05204871352857992
2021,Nordrhein-Westfalen,1.0,0.040596952619494885,19931,0.03785702688799331,0.043336878350996456
2021,Berlin,2.0,0.04012732206219996,19931,0.03740262370069538,0.04285202042370454
2021,"Rheinland-Pfalz,Saarland",2.0,0.039970778543101645,19931,0.0372511783917318,0.04269037869447149
2021,Schleswig-Holstein,2.0,0.03496138593195575,19931,0.03241128016970813,0.037511491694203376
2021,Bayern,1.0,0.028960551033187225,19931,0.026632388080835925,0.03128871398553853
2021,Brandenburg,2.0,0.027603840534335213,19931,0.02532927790671201,0.029878403161958417
2021,Thueringen,2.0,0.026351492381548738,19931,0.02412769489001713,0.028575289873080344
2021,Sachsen-Anhalt,2.0,0.025360050093926112,19931,0.023177377050841604,0.02754272313701062
2021,Baden-Wuerttemberg,1.0,0.02342934669171363,19931,0.02132932659513996,0.0255293667882873
2021,Hamburg,2.0,0.019463577541223128,19931,0.017545638821887324,0.021381516260558932
2021,Niedersachsen,1.0,0.01873304111876435,19931,0.016850739317800414,0.02061534291972829
2021,Mecklenburg-Vorpommern,2.0,0.01581089542892924,19931,0.014079050363982095,0.017542740493876385
2021,Hessen,1.0,0.012732206219995825,19931,0.011175664219626687,0.014288748220364963
2021,"Rheinland-Pfalz,Saarland",1.0,0.012001669797537048,19931,0.010489883276126006,0.01351345631894809
2021,Sachsen,1.0,0.011479858067209352,19931,0.01000091128255094,0.012958804851867763
2021,Brandenburg,1.0,0.008975161761636402,19931,0.007665814214826632,0.010284509308446172
2021,Schleswig-Holstein,1.0,0.008088081820079316,19931,0.006844567333541305,0.009331596306617326
2021,Berlin,1.0,0.0071488207054894596,19931,0.005979184489012048,0.008318456921966871
2021,Thueringen,1.0,0.006679190148194531,19931,0.005548357867144421,0.007810022429244641
2021,Bremen,2.0,0.006313921936965143,19931,0.00521424343876762,0.007413600435162666
2021,Sachsen-Anhalt,1.0,0.005896472552702985,19931,0.004833545464833169,0.0069593996405728
2021,Mecklenburg-Vorpommern,1.0,0.005426841995408057,19931,0.004406881191909757,0.0064468027989063575
2021,Hamburg,1.0,0.004017950323523273,19931,0.003139697481310066,0.004896203165736479
2021,Bremen,1.0,0.0015654351909830933,19931,0.0010165659708860236,0.002114304411080163
