,Unnamed: 0,year,age_gr,sex,ple0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
30,30,2015,17-29 y.,male,No,1.0,1857,25011,0.94181,1.06078
31,31,2015,17-29 y.,female,Yes,0.02653,49,25011,0.01833,0.03741
32,32,2015,17-29 y.,female,No,0.97347,1988,25011,0.92123,1.02896
33,33,2015,30-45 y.,male,Yes,0.05871,178,25011,0.04684,0.0722
34,34,2015,30-45 y.,male,No,0.94129,2872,25011,0.89449,0.99573
35,35,2015,30-45 y.,female,Yes,0.08329,340,25011,0.07167,0.09374
36,36,2015,30-45 y.,female,No,0.91671,3966,25011,0.87376,0.95546
37,37,2015,46-65 y.,male,Yes,0.18998,745,25011,0.17591,0.20559
38,38,2015,46-65 y.,male,No,0.81002,3393,25011,0.77373,0.83927
39,39,2015,46-65 y.,female,Yes,0.26024,1147,25011,0.24736,0.27715
40,40,2015,46-65 y.,female,No,0.73976,3593,25011,0.71307,0.76553
41,41,2015,66 and older,male,Yes,0.32472,744,25011,0.30759,0.34609
42,42,2015,66 and older,male,No,0.67528,1640,25011,0.64914,0.70251
43,43,2015,66 and older,female,Yes,0.476,1176,25011,0.45402,0.49545
44,44,2015,66 and older,female,No,0.524,1323,25011,0.50103,0.54391
45,45,2017,17-29 y.,male,Yes,0.02953,41,26549,0.02122,0.04024
46,46,2017,17-29 y.,male,No,0.97047,2096,26549,0.92868,1.01453
47,47,2017,17-29 y.,female,Yes,0.0277,55,26549,0.01922,0.03935
48,48,2017,17-29 y.,female,No,0.9723,2168,26549,0.92395,1.01301
49,49,2017,30-45 y.,male,Yes,0.05669,169,26549,0.04585,0.06803
50,50,2017,30-45 y.,male,No,0.94331,2882,26549,0.90041,0.98511
51,51,2017,30-45 y.,female,Yes,0.06844,291,26549,0.05935,0.07842
52,52,2017,30-45 y.,female,No,0.93156,3915,26549,0.896,0.97127
53,53,2017,46-65 y.,male,Yes,0.2138,916,26549,0.19986,0.22825
54,54,2017,46-65 y.,male,No,0.7862,3705,26549,0.76221,0.8119
55,55,2017,46-65 y.,female,Yes,0.28263,1356,26549,0.26572,0.2975
56,56,2017,46-65 y.,female,No,0.71737,3996,26549,0.69497,0.74082
57,57,2017,66 and older,male,Yes,0.33904,795,26549,0.31501,0.3598
58,58,2017,66 and older,male,No,0.66096,1657,26549,0.63512,0.69002
59,59,2017,66 and older,female,Yes,0.49479,1179,26549,0.47241,0.51767
60,60,2017,66 and older,female,No,0.50521,1328,26549,0.48417,0.52666
61,61,2019,17-29 y.,male,Yes,0.03127,31,25718,0.01719,0.0448
62,62,2019,17-29 y.,male,No,0.96873,1836,25718,0.90985,1.01981
63,63,2019,17-29 y.,female,Yes,0.02808,59,25718,0.02215,0.03462
64,64,2019,17-29 y.,female,No,0.97192,1914,25718,0.9123,1.02895
65,65,2019,30-45 y.,male,Yes,0.06641,182,25718,0.05378,0.08286
66,66,2019,30-45 y.,male,No,0.93359,2519,25718,0.8953,0.97671
67,67,2019,30-45 y.,female,Yes,0.07189,272,25718,0.06,0.08142
68,68,2019,30-45 y.,female,No,0.92811,3312,25718,0.87432,0.98129
69,69,2019,46-65 y.,male,Yes,0.21596,975,25718,0.20045,0.23034
70,70,2019,46-65 y.,male,No,0.78404,4114,25718,0.74979,0.81336
71,71,2019,46-65 y.,female,Yes,0.29394,1411,25718,0.27418,0.3135
72,72,2019,46-65 y.,female,No,0.70606,3919,25718,0.68438,0.73397
73,73,2019,66 and older,male,Yes,0.33257,891,25718,0.31288,0.3543
74,74,2019,66 and older,male,No,0.66743,1730,25718,0.63235,0.69814
75,75,2019,66 and older,female,Yes,0.48609,1177,25718,0.45917,0.51391
76,76,2019,66 and older,female,No,0.51391,1376,25718,0.49077,0.54229
77,77,2021,17-29 y.,male,Yes,0.02937,40,19158,0.01769,0.03996
78,78,2021,17-29 y.,male,No,0.97063,1586,19158,0.88823,1.04388
79,79,2021,17-29 y.,female,Yes,0.0336,39,19158,0.02114,0.04851
80,80,2021,17-29 y.,female,No,0.9664,1510,19158,0.88186,1.0312
81,81,2021,30-45 y.,male,Yes,0.08074,170,19158,0.06258,0.10317
82,82,2021,30-45 y.,male,No,0.91926,2270,19158,0.86175,0.98104
83,83,2021,30-45 y.,female,Yes,0.08575,265,19158,0.07335,0.10385
84,84,2021,30-45 y.,female,No,0.91425,2500,19158,0.85661,0.98241
85,85,2021,46-65 y.,male,Yes,0.22772,699,19158,0.20431,0.25162
86,86,2021,46-65 y.,male,No,0.77228,2737,19158,0.73147,0.81581
87,87,2021,46-65 y.,female,Yes,0.31001,1077,19158,0.28272,0.33175
88,88,2021,46-65 y.,female,No,0.68999,2702,19158,0.65396,0.7259
89,89,2021,66 and older,male,Yes,0.3426,591,19158,0.31241,0.36945
90,90,2021,66 and older,male,No,0.6574,1200,19158,0.62034,0.69509
91,91,2021,66 and older,female,Yes,0.53692,869,19158,0.50555,0.57101
92,92,2021,66 and older,female,No,0.46308,903,19158,0.4363,0.493
