year,hhtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Single parent,No,0.45006,204,385,0.40030,0.49982
1992,Couple with children,Yes,0.69450,1674,2842,0.67757,0.71144
1992,Couple with children,No,0.30550,1168,2842,0.28856,0.32243
1992,Multi-generational household,Yes,0.84099,96,143,0.78084,0.90114
1992,Multi-generational household,No,0.15901,47,143,0.09886,0.21916
1992,Other Combinations,Yes,0.53680,87,162,0.45978,0.61383
1992,Other Combinations,No,0.46320,75,162,0.38617,0.54022
1993,Single-person household,Yes,0.38592,485,1296,0.35941,0.41243
1993,Single-person household,No,0.61408,811,1296,0.58757,0.64059
1993,Couple without children,Yes,0.60362,930,1661,0.58009,0.62715
1993,Couple without children,No,0.39638,731,1661,0.37285,0.41991
1993,Single parent,Yes,0.53921,175,367,0.48815,0.59028
1993,Single parent,No,0.46079,192,367,0.40972,0.51185
1993,Couple with children,Yes,0.70853,1628,2730,0.69148,0.72558
1993,Couple with children,No,0.29147,1102,2730,0.27442,0.30852
1993,Multi-generational household,Yes,0.81612,96,145,0.75284,0.87939
1993,Multi-generational household,No,0.18388,49,145,0.12061,0.24716
1993,Other Combinations,Yes,0.51387,84,157,0.43544,0.59231
1993,Other Combinations,No,0.48613,73,157,0.40769,0.56456
1994,Single-person household,Yes,0.40843,510,1285,0.38154,0.43531
1994,Single-person household,No,0.59157,775,1285,0.56469,0.61846
1994,Couple without children,Yes,0.61156,953,1701,0.58839,0.63473
1994,Couple without children,No,0.38844,748,1701,0.36527,0.41161
1994,Single parent,Yes,0.53181,169,353,0.47968,0.58394
1994,Single parent,No,0.46819,184,353,0.41606,0.52032
1994,Couple with children,Yes,0.70446,1570,2628,0.68701,0.72190
1994,Couple with children,No,0.29554,1058,2628,0.27810,0.31299
1994,Multi-generational household,Yes,0.82673,90,134,0.76240,0.89105
1994,Multi-generational household,No,0.17327,44,134,0.10895,0.23760
1994,Other Combinations,Yes,0.58703,97,160,0.51050,0.66356
1994,Other Combinations,No,0.41297,63,160,0.33644,0.48950
1995,Single-person household,Yes,0.42001,521,1322,0.39339,0.44662
1995,Single-person household,No,0.57999,801,1322,0.55338,0.60661
1995,Couple without children,Yes,0.60926,969,1748,0.58638,0.63214
1995,Couple without children,No,0.39074,779,1748,0.36786,0.41362
1995,Single parent,Yes,0.55942,176,363,0.50828,0.61057
1995,Single parent,No,0.44058,187,363,0.38943,0.49172
1995,Couple with children,Yes,0.69065,1599,2710,0.67324,0.70806
1995,Couple with children,No,0.30935,1111,2710,0.29194,0.32676
1995,Multi-generational household,Yes,0.76619,81,135,0.69453,0.83786
1995,Multi-generational household,No,0.23381,54,135,0.16214,0.30547
1995,Other Combinations,Yes,0.55626,94,160,0.47903,0.63349
1995,Other Combinations,No,0.44374,66,160,0.36651,0.52097
1996,Single-person household,Yes,0.40616,527,1357,0.38002,0.43231
1996,Single-person household,No,0.59384,830,1357,0.56769,0.61998
1996,Couple without children,Yes,0.60882,975,1769,0.58607,0.63157
1996,Couple without children,No,0.39118,794,1769,0.36843,0.41393
1996,Single parent,Yes,0.54773,177,370,0.49695,0.59852
1996,Single parent,No,0.45227,193,370,0.40148,0.50305
1996,Couple with children,Yes,0.70582,1595,2615,0.68835,0.72329
1996,Couple with children,No,0.29418,1020,2615,0.27671,0.31165
1996,Multi-generational household,Yes,0.78130,74,121,0.70734,0.85526
1996,Multi-generational household,No,0.21870,47,121,0.14474,0.29266
1996,Other Combinations,Yes,0.65444,92,148,0.57756,0.73131
1996,Other Combinations,No,0.34556,56,148,0.26869,0.42244
1997,Single-person household,Yes,0.41188,519,1328,0.38539,0.43836
1997,Single-person household,No,0.58812,809,1328,0.56164,0.61461
1997,Couple without children,Yes,0.61810,1014,1807,0.59569,0.64050
1997,Couple without children,No,0.38190,793,1807,0.35950,0.40431
1997,Single parent,Yes,0.53263,181,376,0.48213,0.58312
1997,Single parent,No,0.46737,195,376,0.41688,0.51787
1997,Couple with children,Yes,0.71932,1585,2524,0.70178,0.73685
1997,Couple with children,No,0.28068,939,2524,0.26315,0.29822
1997,Multi-generational household,Yes,0.76724,74,116,0.69000,0.84448
1997,Multi-generational household,No,0.23276,42,116,0.15552,0.31000
1997,Other Combinations,Yes,0.58605,84,146,0.50588,0.66622
1997,Other Combinations,No,0.41395,62,146,0.33378,0.49412
1998,Single-person household,Yes,0.38320,612,1681,0.35996,0.40645
1998,Single-person household,No,0.61680,1069,1681,0.59355,0.64004
1998,Couple without children,Yes,0.60302,1217,2168,0.58241,0.62362
1998,Couple without children,No,0.39698,951,2168,0.37638,0.41759
1998,Single parent,Yes,0.46810,195,446,0.42173,0.51446
1998,Single parent,No,0.53190,251,446,0.48554,0.57827
1998,Couple with children,Yes,0.70241,1794,2804,0.68549,0.71934
1998,Couple with children,No,0.29759,1010,2804,0.28066,0.31451
1998,Multi-generational household,Yes,0.71878,67,105,0.63237,0.80519
1998,Multi-generational household,No,0.28122,38,105,0.19481,0.36763
1998,Other Combinations,Yes,0.55496,93,160,0.47771,0.63221
1998,Other Combinations,No,0.44504,67,160,0.36779,0.52229
1999,Single-person household,Yes,0.38809,599,1609,0.36427,0.41191
1999,Single-person household,No,0.61191,1010,1609,0.58809,0.63573
1999,Couple without children,Yes,0.60632,1206,2135,0.58559,0.62704
1999,Couple without children,No,0.39368,929,2135,0.37296,0.41441
1999,Single parent,Yes,0.47305,197,439,0.42629,0.51981
1999,Single parent,No,0.52695,242,439,0.48019,0.57371
1999,Couple with children,Yes,0.70470,1765,2706,0.68751,0.72190
1999,Couple with children,No,0.29530,941,2706,0.27810,0.31249
1999,Multi-generational household,Yes,0.73074,66,99,0.64291,0.81856
1999,Multi-generational household,No,0.26926,33,99,0.18144,0.35709
1999,Other Combinations,Yes,0.64068,41,41,0.49199,0.78937
2000,Single-person household,Yes,0.39126,1278,3199,0.37435,0.40818
2000,Single-person household,No,0.60874,1921,3199,0.59182,0.62565
2000,Couple without children,Yes,0.62512,2446,3927,0.60997,0.64026
2000,Couple without children,No,0.37488,1481,3927,0.35974,0.39003
2000,Single parent,Yes,0.49819,364,745,0.46226,0.53412
2000,Single parent,No,0.50181,381,745,0.46588,0.53774
2000,Couple with children,Yes,0.70283,3195,4581,0.68959,0.71607
2000,Couple with children,No,0.29717,1386,4581,0.28393,0.31041
2000,Multi-generational household,Yes,0.72363,121,167,0.65560,0.79166
2000,Multi-generational household,No,0.27637,46,167,0.20834,0.34440
2000,Other Combinations,Yes,0.68905,106,158,0.61665,0.76146
2000,Other Combinations,No,0.31095,52,158,0.23854,0.38335
2001,Single-person household,Yes,0.40381,1160,2860,0.38582,0.42179
2001,Single-person household,No,0.59619,1700,2860,0.57821,0.61418
2001,Couple without children,Yes,0.62350,2193,3543,0.60754,0.63945
2001,Couple without children,No,0.37650,1350,3543,0.36055,0.39246
2001,Single parent,Yes,0.49620,337,687,0.45879,0.53362
2001,Single parent,No,0.50380,350,687,0.46638,0.54121
2001,Couple with children,Yes,0.71231,2910,4117,0.69848,0.72614
2001,Couple with children,No,0.28769,1207,4117,0.27386,0.30152
2001,Multi-generational household,Yes,0.74914,112,156,0.68089,0.81739
2001,Multi-generational household,No,0.25086,44,156,0.18261,0.31911
2001,Other Combinations,Yes,0.68099,82,123,0.59829,0.76370
2001,Other Combinations,No,0.31901,41,123,0.23630,0.40171
2002,Single-person household,Yes,0.40601,1175,2859,0.38801,0.42402
2002,Single-person household,No,0.59399,1684,2859,0.57598,0.61199
2002,Couple without children,Yes,0.63391,2464,3837,0.61866,0.64915
2002,Couple without children,No,0.36609,1373,3837,0.35085,0.38134
2002,Single parent,Yes,0.53094,352,681,0.49343,0.56845
2002,Single parent,No,0.46906,329,681,0.43155,0.50657
2002,Couple with children,Yes,0.70448,3171,4323,0.69087,0.71808
2002,Couple with children,No,0.29552,1152,4323,0.28192,0.30913
2002,Multi-generational household,Yes,0.70506,106,145,0.63058,0.77954
2002,Multi-generational household,No,0.29494,39,145,0.22046,0.36942
2002,Other Combinations,Yes,0.69967,84,126,0.61930,0.78003
2002,Other Combinations,No,0.30033,42,126,0.21997,0.38070
2003,Single-person household,Yes,0.41388,1176,2825,0.39571,0.43204
2003,Single-person household,No,0.58612,1649,2825,0.56796,0.60429
2003,Couple without children,Yes,0.62927,2394,3757,0.61382,0.64471
2003,Couple without children,No,0.37073,1363,3757,0.35529,0.38618
2003,Single parent,Yes,0.49690,342,678,0.45924,0.53457
2003,Single parent,No,0.50310,336,678,0.46543,0.54076
2003,Couple with children,Yes,0.72070,3015,4064,0.70690,0.73449
2003,Couple with children,No,0.27930,1049,4064,0.26551,0.29310
2003,Multi-generational household,Yes,0.69251,84,118,0.60889,0.77612
2003,Multi-generational household,No,0.30749,34,118,0.22388,0.39111
2003,Other Combinations,Yes,0.71640,74,109,0.63139,0.80141
2003,Other Combinations,No,0.28360,35,109,0.19859,0.36861
2004,Single-person household,Yes,0.41666,1174,2759,0.39827,0.43506
2004,Single-person household,No,0.58334,1585,2759,0.56494,0.60173
2004,Couple without children,Yes,0.62694,2411,3750,0.61146,0.64242
2004,Couple without children,No,0.37306,1339,3750,0.35758,0.38854
2004,Single parent,Yes,0.48669,336,657,0.44844,0.52494
2004,Single parent,No,0.51331,321,657,0.47506,0.55156
2004,Couple with children,Yes,0.73032,2902,3888,0.71637,0.74428
2004,Couple with children,No,0.26968,986,3888,0.25572,0.28363
2004,Multi-generational household,Yes,0.62718,78,110,0.53640,0.71796
2004,Multi-generational household,No,0.37282,32,110,0.28204,0.46360
2004,Other Combinations,Yes,0.67587,70,105,0.58592,0.76583
2004,Other Combinations,No,0.32413,35,105,0.23417,0.41408
2005,Single-person household,Yes,0.40601,1190,2889,0.38810,0.42392
2005,Single-person household,No,0.59399,1699,2889,0.57608,0.61190
2005,Couple without children,Yes,0.63196,2414,3685,0.61639,0.64754
2005,Couple without children,No,0.36804,1271,3685,0.35246,0.38361
2005,Single parent,Yes,0.44720,341,690,0.41008,0.48433
2005,Single parent,No,0.55280,349,690,0.51567,0.58992
2005,Couple with children,Yes,0.73608,2771,3701,0.72187,0.75028
2005,Couple with children,No,0.26392,930,3701,0.24972,0.27813
2005,Multi-generational household,Yes,0.70185,78,78,0.59967,0.80403
2005,Other Combinations,Yes,0.69554,65,100,0.60490,0.78619
2005,Other Combinations,No,0.30446,35,100,0.21381,0.39510
2006,Single-person household,Yes,0.40523,1371,3275,0.38842,0.42205
2006,Single-person household,No,0.59477,1904,3275,0.57795,0.61158
2006,Couple without children,Yes,0.61986,2743,4149,0.60509,0.63464
2006,Couple without children,No,0.38014,1406,4149,0.36536,0.39491
2006,Single parent,Yes,0.44992,379,765,0.41465,0.48520
2006,Single parent,No,0.55008,386,765,0.51480,0.58535
2006,Couple with children,Yes,0.72583,2906,3836,0.71171,0.73995
2006,Couple with children,No,0.27417,930,3836,0.26005,0.28829
2006,Multi-generational household,Yes,0.74026,79,79,0.64294,0.83757
2006,Other Combinations,Yes,0.70035,75,75,0.59597,0.80472
2007,Single-person household,Yes,0.42210,1349,3092,0.40469,0.43951
2007,Single-person household,No,0.57790,1743,3092,0.56049,0.59531
2007,Couple without children,Yes,0.63893,2604,3868,0.62379,0.65407
2007,Couple without children,No,0.36107,1264,3868,0.34593,0.37621
2007,Single parent,Yes,0.45082,354,707,0.41412,0.48753
2007,Single parent,No,0.54918,353,707,0.51247,0.58588
2007,Couple with children,Yes,0.73822,2726,3576,0.72381,0.75263
2007,Couple with children,No,0.26178,850,3576,0.24737,0.27619
2007,Multi-generational household,Yes,0.69403,67,67,0.58285,0.80520
2007,Other Combinations,Yes,0.69567,63,63,0.58114,0.81020
2008,Single-person household,Yes,0.42771,1315,2968,0.40991,0.44551
2008,Single-person household,No,0.57229,1653,2968,0.55449,0.59009
2008,Couple without children,Yes,0.64952,2530,3729,0.63420,0.66483
2008,Couple without children,No,0.35048,1199,3729,0.33517,0.36580
2008,Single parent,Yes,0.47271,344,682,0.43521,0.51021
2008,Single parent,No,0.52729,338,682,0.48979,0.56479
2008,Couple with children,Yes,0.74940,2502,3265,0.73453,0.76426
2008,Couple with children,No,0.25060,763,3265,0.23574,0.26547
2008,Multi-generational household,Yes,0.73854,59,59,0.62545,0.85163
2008,Other Combinations,Yes,0.72922,52,52,0.60726,0.85118
2009,Single-person household,Yes,0.43323,1274,2840,0.41500,0.45145
2009,Single-person household,No,0.56677,1566,2840,0.54855,0.58500
2009,Couple without children,Yes,0.65256,2399,3549,0.63689,0.66823
2009,Couple without children,No,0.34744,1150,3549,0.33177,0.36311
2009,Single parent,Yes,0.48948,332,633,0.45050,0.52845
2009,Single parent,No,0.51052,301,633,0.47155,0.54950
2009,Couple with children,Yes,0.77154,2346,3008,0.75653,0.78654
2009,Couple with children,No,0.22846,662,3008,0.21346,0.24347
2009,Multi-generational household,Yes,0.80089,54,54,0.69338,0.90840
2009,Other Combinations,Yes,0.81082,56,56,0.70731,0.91433
2010,Single-person household,Yes,0.43909,1226,2685,0.42032,0.45787
2010,Single-person household,No,0.56091,1459,2685,0.54213,0.57968
2010,Couple without children,Yes,0.66520,2305,3370,0.64927,0.68114
2010,Couple without children,No,0.33480,1065,3370,0.31886,0.35073
2010,Single parent,Yes,0.49494,928,1846,0.47213,0.51775
2010,Single parent,No,0.50506,918,1846,0.48225,0.52787
2010,Couple with children,Yes,0.76491,4171,5710,0.75391,0.77591
2010,Couple with children,No,0.23509,1539,5710,0.22409,0.24609
2010,Multi-generational household,Yes,0.82576,76,76,0.73992,0.91161
2010,Other Combinations,Yes,0.64589,44,44,0.50295,0.78884
2011,Single-person household,Yes,0.44708,1590,3529,0.43067,0.46348
2011,Single-person household,No,0.55292,1939,3529,0.53652,0.56933
2011,Couple without children,Yes,0.66601,3005,4371,0.65202,0.67999
2011,Couple without children,No,0.33399,1366,4371,0.32001,0.34798
2011,Single parent,Yes,0.51511,1192,2305,0.49470,0.53551
2011,Single parent,No,0.48489,1113,2305,0.46449,0.50530
2011,Couple with children,Yes,0.75884,4657,6166,0.74817,0.76952
2011,Couple with children,No,0.24116,1509,6166,0.23048,0.25183
2011,Multi-generational household,Yes,0.86242,99,99,0.79422,0.93062
2011,Other Combinations,Yes,0.62756,61,100,0.53232,0.72279
2011,Other Combinations,No,0.37244,39,100,0.27721,0.46768
2012,Single-person household,Yes,0.43344,1612,3680,0.41742,0.44945
2012,Single-person household,No,0.56656,2068,3680,0.55055,0.58258
2012,Couple without children,Yes,0.68102,3081,4448,0.66732,0.69472
2012,Couple without children,No,0.31898,1367,4448,0.30528,0.33268
2012,Single parent,Yes,0.50650,1109,2179,0.48550,0.52750
2012,Single parent,No,0.49350,1070,2179,0.47250,0.51450
2012,Couple with children,Yes,0.76426,4459,5774,0.75331,0.77521
2012,Couple with children,No,0.23574,1315,5774,0.22479,0.24669
2012,Multi-generational household,Yes,0.81214,94,94,0.73275,0.89152
2012,Other Combinations,Yes,0.59420,56,98,0.49648,0.69193
2012,Other Combinations,No,0.40580,42,98,0.30807,0.50352
2013,Single-person household,Yes,0.45310,1652,3843,0.43736,0.46884
2013,Single-person household,No,0.54690,2191,3843,0.53116,0.56264
2013,Couple without children,Yes,0.69520,3148,4639,0.68196,0.70845
2013,Couple without children,No,0.30480,1491,4639,0.29155,0.31804
2013,Single parent,Yes,0.51124,1123,2243,0.49055,0.53193
2013,Single parent,No,0.48876,1120,2243,0.46807,0.50945
2013,Couple with children,Yes,0.74975,4704,6640,0.73934,0.76017
2013,Couple with children,No,0.25025,1936,6640,0.23983,0.26066
2013,Multi-generational household,Yes,0.69416,99,145,0.61890,0.76942
2013,Multi-generational household,No,0.30584,46,145,0.23058,0.38110
2013,Other Combinations,Yes,0.48500,161,356,0.43301,0.53698
2013,Other Combinations,No,0.51500,195,356,0.46302,0.56699
2014,Single-person household,Yes,0.46245,1580,3559,0.44606,0.47883
2014,Single-person household,No,0.53755,1979,3559,0.52117,0.55394
2014,Couple without children,Yes,0.69496,2975,4362,0.68129,0.70863
2014,Couple without children,No,0.30504,1387,4362,0.29137,0.31871
2014,Single parent,Yes,0.51032,890,1815,0.48731,0.53332
2014,Single parent,No,0.48968,925,1815,0.46668,0.51269
2014,Couple with children,Yes,0.76022,4198,5700,0.74913,0.77130
2014,Couple with children,No,0.23978,1502,5700,0.22870,0.25087
2014,Multi-generational household,Yes,0.77172,90,123,0.69724,0.84620
2014,Multi-generational household,No,0.22828,33,123,0.15380,0.30276
2014,Other Combinations,Yes,0.51387,128,261,0.45312,0.57463
2014,Other Combinations,No,0.48613,133,261,0.42537,0.54688
2015,Single-person household,Yes,0.44025,1518,3621,0.42408,0.45642
2015,Single-person household,No,0.55975,2103,3621,0.54358,0.57592
2015,Couple without children,Yes,0.68492,2850,4374,0.67115,0.69869
2015,Couple without children,No,0.31508,1524,4374,0.30131,0.32885
2015,Single parent,Yes,0.48850,820,1710,0.46480,0.51220
2015,Single parent,No,0.51150,890,1710,0.48780,0.53520
2015,Couple with children,Yes,0.75579,3960,5658,0.74459,0.76698
2015,Couple with children,No,0.24421,1698,5658,0.23302,0.25541
2015,Multi-generational household,Yes,0.76476,92,140,0.69424,0.83527
2015,Multi-generational household,No,0.23524,48,140,0.16473,0.30576
2015,Other Combinations,Yes,0.50501,118,251,0.44303,0.56699
2015,Other Combinations,No,0.49499,133,251,0.43301,0.55697
2016,Single-person household,Yes,0.43745,1503,3797,0.42167,0.45323
2016,Single-person household,No,0.56255,2294,3797,0.54677,0.57833
2016,Couple without children,Yes,0.68664,2700,4157,0.67254,0.70074
2016,Couple without children,No,0.31336,1457,4157,0.29926,0.32746
2016,Single parent,Yes,0.50745,766,1707,0.48372,0.53117
2016,Single parent,No,0.49255,941,1707,0.46883,0.51628
2016,Couple with children,Yes,0.74426,3890,6204,0.73340,0.75511
2016,Couple with children,No,0.25574,2314,6204,0.24489,0.26660
2016,Multi-generational household,Yes,0.76663,88,146,0.69778,0.83548
2016,Multi-generational household,No,0.23337,58,146,0.16452,0.30222
2016,Other Combinations,Yes,0.45254,122,384,0.40269,0.50239
2016,Other Combinations,No,0.54746,262,384,0.49761,0.59731
2017,Single-person household,Yes,0.44346,1705,4292,0.42860,0.45833
2017,Single-person household,No,0.55654,2587,4292,0.54167,0.57140
2017,Couple without children,Yes,0.69396,3114,4708,0.68080,0.70713
2017,Couple without children,No,0.30604,1594,4708,0.29287,0.31920
2017,Single parent,Yes,0.52276,827,1760,0.49942,0.54610
2017,Single parent,No,0.47724,933,1760,0.45390,0.50058
2017,Couple with children,Yes,0.74315,4333,6829,0.73279,0.75351
2017,Couple with children,No,0.25685,2496,6829,0.24649,0.26721
2017,Multi-generational household,Yes,0.77729,87,162,0.71302,0.84156
2017,Multi-generational household,No,0.22271,75,162,0.15844,0.28698
2017,Other Combinations,Yes,0.58672,224,516,0.54419,0.62924
2017,Other Combinations,No,0.41328,292,516,0.37076,0.45581
2018,Single-person household,Yes,0.44267,1656,4418,0.42802,0.45732
2018,Single-person household,No,0.55733,2762,4418,0.54268,0.57198
2018,Couple without children,Yes,0.69485,3019,4625,0.68158,0.70812
2018,Couple without children,No,0.30515,1606,4625,0.29188,0.31842
2018,Single parent,Yes,0.54628,792,1723,0.52277,0.56980
2018,Single parent,No,0.45372,931,1723,0.43020,0.47723
2018,Couple with children,Yes,0.73629,3996,6374,0.72547,0.74711
2018,Couple with children,No,0.26371,2378,6374,0.25289,0.27453
2018,Multi-generational household,Yes,0.72359,86,156,0.65319,0.79400
2018,Multi-generational household,No,0.27641,70,156,0.20600,0.34681
2018,Other Combinations,Yes,0.60313,179,396,0.55488,0.65137
2018,Other Combinations,No,0.39687,217,396,0.34863,0.44512
2019,Single-person household,Yes,0.46227,1462,3715,0.44624,0.47831
2019,Single-person household,No,0.53773,2253,3715,0.52169,0.55376
2019,Couple without children,Yes,0.70882,2653,3940,0.69464,0.72301
2019,Couple without children,No,0.29118,1287,3940,0.27699,0.30536
2019,Single parent,Yes,0.53095,651,1437,0.50514,0.55676
2019,Single parent,No,0.46905,786,1437,0.44324,0.49486
2019,Couple with children,Yes,0.74229,3385,5386,0.73060,0.75397
2019,Couple with children,No,0.25771,2001,5386,0.24603,0.26940
2019,Multi-generational household,Yes,0.65844,63,120,0.57324,0.74365
2019,Multi-generational household,No,0.34156,57,120,0.25635,0.42676
2019,Other Combinations,Yes,0.67532,144,310,0.62311,0.72753
2019,Other Combinations,No,0.32468,166,310,0.27247,0.37689
2020,Single-person household,Yes,0.44923,1967,5340,0.43589,0.46257
2020,Single-person household,No,0.55077,3373,5340,0.53743,0.56411
2020,Couple without children,Yes,0.70043,3324,5169,0.68794,0.71292
2020,Couple without children,No,0.29957,1845,5169,0.28708,0.31206
2020,Single parent,Yes,0.54487,731,1598,0.52044,0.56929
2020,Single parent,No,0.45513,867,1598,0.43071,0.47956
2020,Couple with children,Yes,0.76212,4024,6565,0.75182,0.77242
2020,Couple with children,No,0.23788,2541,6565,0.22758,0.24818
2020,Multi-generational household,Yes,0.64702,84,148,0.56976,0.72427
2020,Multi-generational household,No,0.35298,64,148,0.27573,0.43024
2020,Other Combinations,Yes,0.63533,207,480,0.59223,0.67844
2020,Other Combinations,No,0.36467,273,480,0.32156,0.40777
2021,Single-person household,Yes,0.46543,1267,3091,0.44785,0.48302
