year,bula_h,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Bavaria,Urban regions,No,0.47407,208,415,0.42597,0.52217
1990,Bavaria,Rural regions,Yes,0.70554,238,346,0.65745,0.75364
1990,Bavaria,Rural regions,No,0.29446,108,346,0.24636,0.34255
1990,Berlin,Urban regions,Yes,0.16703,37,183,0.11284,0.22123
1990,Berlin,Urban regions,No,0.83297,146,183,0.77877,0.88716
1991,Schleswig-Holstein,Urban regions,Yes,0.61547,43,76,0.50537,0.72557
1991,Schleswig-Holstein,Urban regions,No,0.38453,33,76,0.27443,0.49463
1991,Schleswig-Holstein,Rural regions,Yes,0.71759,58,58,0.60072,0.83446
1991,Hamburg,Urban regions,No,0.74727,75,75,0.64825,0.84629
1991,Lower Saxony,Urban regions,Yes,0.52275,127,247,0.46033,0.58517
1991,Lower Saxony,Urban regions,No,0.47725,120,247,0.41483,0.53967
1991,Lower Saxony,Rural regions,Yes,0.80721,183,231,0.75623,0.85819
1991,Lower Saxony,Rural regions,No,0.19279,48,231,0.14181,0.24377
1991,Bremen,Urban regions,No,0.75649,39,39,0.62003,0.89296
1991,North Rhine-Westphalia,Urban regions,Yes,0.52001,628,1211,0.49186,0.54816
1991,North Rhine-Westphalia,Urban regions,No,0.47999,583,1211,0.45184,0.50814
1991,Hesse,Urban regions,Yes,0.55428,187,397,0.50532,0.60323
1991,Hesse,Urban regions,No,0.44572,210,397,0.39677,0.49468
1991,Hesse,Rural regions,Yes,0.64281,40,40,0.49242,0.79320
1991,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.63349,175,274,0.57633,0.69065
1991,"Rhineland-Palatinate, Saarland",Urban regions,No,0.36651,99,274,0.30935,0.42367
1991,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.74574,42,42,0.61245,0.87903
1991,Baden-Wuerttemberg,Urban regions,Yes,0.62636,404,719,0.59097,0.66174
1991,Baden-Wuerttemberg,Urban regions,No,0.37364,315,719,0.33826,0.40903
1991,Baden-Wuerttemberg,Rural regions,Yes,0.73321,78,110,0.65018,0.81624
1991,Baden-Wuerttemberg,Rural regions,No,0.26679,32,110,0.18376,0.34982
1991,Bavaria,Urban regions,Yes,0.54225,215,425,0.49482,0.58967
1991,Bavaria,Urban regions,No,0.45775,210,425,0.41033,0.50518
1991,Bavaria,Rural regions,Yes,0.69493,250,368,0.64782,0.74204
1991,Bavaria,Rural regions,No,0.30507,118,368,0.25796,0.35218
1991,Berlin,Urban regions,Yes,0.13544,41,299,0.09659,0.17429
1991,Berlin,Urban regions,No,0.86456,258,299,0.82571,0.90341
1991,Brandenburg,Rural regions,Yes,0.59338,181,292,0.53694,0.64981
1991,Brandenburg,Rural regions,No,0.40662,111,292,0.35019,0.46306
1991,Mecklenburg-Western Pomerania,Rural regions,Yes,0.54478,110,190,0.47378,0.61578
1991,Mecklenburg-Western Pomerania,Rural regions,No,0.45522,80,190,0.38422,0.52622
1991,Saxony,Urban regions,Yes,0.35672,112,299,0.30233,0.41111
1991,Saxony,Urban regions,No,0.64328,187,299,0.58889,0.69767
1991,Saxony,Rural regions,Yes,0.48422,147,277,0.42526,0.54318
1991,Saxony,Rural regions,No,0.51578,130,277,0.45682,0.57474
1991,Saxony-Anhalt,Urban regions,No,0.75415,56,56,0.64035,0.86794
1991,Saxony-Anhalt,Rural regions,Yes,0.53000,154,279,0.47133,0.58867
1991,Saxony-Anhalt,Rural regions,No,0.47000,125,279,0.41133,0.52867
1991,Thuringa,Urban regions,Yes,0.30507,36,98,0.21344,0.39670
1991,Thuringa,Urban regions,No,0.69493,62,98,0.60330,0.78656
1991,Thuringa,Rural regions,Yes,0.60342,140,215,0.53788,0.66896
1991,Thuringa,Rural regions,No,0.39658,75,215,0.33104,0.46212
1992,Schleswig-Holstein,Urban regions,Yes,0.67066,46,46,0.53335,0.80798
1992,Schleswig-Holstein,Rural regions,Yes,0.69831,50,50,0.56980,0.82683
1992,Hamburg,Urban regions,No,0.70776,64,64,0.59546,0.82007
1992,Lower Saxony,Urban regions,Yes,0.53106,123,243,0.46818,0.59393
1992,Lower Saxony,Urban regions,No,0.46894,120,243,0.40607,0.53182
1992,Lower Saxony,Rural regions,Yes,0.79517,183,231,0.74301,0.84733
1992,Lower Saxony,Rural regions,No,0.20483,48,231,0.15267,0.25699
1992,Bremen,Urban regions,No,0.76108,39,39,0.62550,0.89667
1992,North Rhine-Westphalia,Urban regions,Yes,0.53430,633,1205,0.50612,0.56247
1992,North Rhine-Westphalia,Urban regions,No,0.46570,572,1205,0.43753,0.49388
1992,Hesse,Urban regions,Yes,0.57640,190,389,0.52723,0.62557
1992,Hesse,Urban regions,No,0.42360,199,389,0.37443,0.47277
1992,Hesse,Rural regions,Yes,0.62446,39,39,0.47049,0.77843
1992,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.62592,173,278,0.56894,0.68291
1992,"Rhineland-Palatinate, Saarland",Urban regions,No,0.37408,105,278,0.31709,0.43106
1992,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.77452,42,42,0.64660,0.90244
1992,Baden-Wuerttemberg,Urban regions,Yes,0.63314,402,714,0.59776,0.66851
1992,Baden-Wuerttemberg,Urban regions,No,0.36686,312,714,0.33149,0.40224
1992,Baden-Wuerttemberg,Rural regions,Yes,0.72696,75,108,0.64254,0.81138
1992,Baden-Wuerttemberg,Rural regions,No,0.27304,33,108,0.18862,0.35746
1992,Bavaria,Urban regions,Yes,0.53346,217,433,0.48641,0.58050
1992,Bavaria,Urban regions,No,0.46654,216,433,0.41950,0.51359
1992,Bavaria,Rural regions,Yes,0.68187,248,371,0.63441,0.72932
1992,Bavaria,Rural regions,No,0.31813,123,371,0.27068,0.36559
1992,Berlin,Urban regions,Yes,0.12220,39,293,0.08463,0.15977
1992,Berlin,Urban regions,No,0.87780,254,293,0.84023,0.91537
1992,Brandenburg,Rural regions,Yes,0.62088,169,270,0.56290,0.67886
1992,Brandenburg,Rural regions,No,0.37912,101,270,0.32114,0.43710
1992,Mecklenburg-Western Pomerania,Rural regions,Yes,0.52880,94,168,0.45309,0.60451
1992,Mecklenburg-Western Pomerania,Rural regions,No,0.47120,74,168,0.39549,0.54691
1992,Saxony,Urban regions,Yes,0.33814,104,286,0.28321,0.39306
1992,Saxony,Urban regions,No,0.66186,182,286,0.60694,0.71679
1992,Saxony,Rural regions,Yes,0.49383,139,262,0.43317,0.55448
1992,Saxony,Rural regions,No,0.50617,123,262,0.44552,0.56683
1992,Saxony-Anhalt,Urban regions,No,0.74727,56,56,0.63242,0.86212
1992,Saxony-Anhalt,Rural regions,Yes,0.53243,146,264,0.47213,0.59273
1992,Saxony-Anhalt,Rural regions,No,0.46757,118,264,0.40727,0.52787
1992,Thuringa,Urban regions,Yes,0.35087,35,92,0.25282,0.44893
1992,Thuringa,Urban regions,No,0.64913,57,92,0.55107,0.74718
1992,Thuringa,Rural regions,Yes,0.60621,134,208,0.53965,0.67277
1992,Thuringa,Rural regions,No,0.39379,74,208,0.32723,0.46035
1993,Schleswig-Holstein,Urban regions,Yes,0.66911,50,50,0.53736,0.80086
1993,Schleswig-Holstein,Rural regions,Yes,0.66814,51,51,0.53762,0.79867
1993,Hamburg,Urban regions,No,0.73991,64,64,0.63158,0.84824
1993,Lower Saxony,Urban regions,Yes,0.56105,128,248,0.49916,0.62294
1993,Lower Saxony,Urban regions,No,0.43895,120,248,0.37706,0.50084
1993,Lower Saxony,Rural regions,Yes,0.77639,185,244,0.72401,0.82878
1993,Lower Saxony,Rural regions,No,0.22361,59,244,0.17122,0.27599
1993,Bremen,Urban regions,No,0.72259,36,36,0.57426,0.87092
1993,North Rhine-Westphalia,Urban regions,Yes,0.54144,641,1201,0.51325,0.56964
1993,North Rhine-Westphalia,Urban regions,No,0.45856,560,1201,0.43036,0.48675
1993,Hesse,Urban regions,Yes,0.59306,197,390,0.54424,0.64188
1993,Hesse,Urban regions,No,0.40694,193,390,0.35812,0.45576
1993,Hesse,Rural regions,Yes,0.60663,37,37,0.44706,0.76621
1993,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.66619,175,263,0.60909,0.72329
1993,"Rhineland-Palatinate, Saarland",Urban regions,No,0.33381,88,263,0.27671,0.39091
1993,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.75301,42,42,0.62100,0.88502
1993,Baden-Wuerttemberg,Urban regions,Yes,0.65114,407,719,0.61628,0.68600
1993,Baden-Wuerttemberg,Urban regions,No,0.34886,312,719,0.31400,0.38372
1993,Baden-Wuerttemberg,Rural regions,Yes,0.68293,69,107,0.59434,0.77151
1993,Baden-Wuerttemberg,Rural regions,No,0.31707,38,107,0.22849,0.40566
1993,Bavaria,Urban regions,Yes,0.52266,218,431,0.47545,0.56987
1993,Bavaria,Urban regions,No,0.47734,213,431,0.43013,0.52455
1993,Bavaria,Rural regions,Yes,0.68250,247,368,0.63488,0.73013
1993,Bavaria,Rural regions,No,0.31750,121,368,0.26987,0.36512
1993,Berlin,Urban regions,Yes,0.11772,36,284,0.08018,0.15527
1993,Berlin,Urban regions,No,0.88228,248,284,0.84473,0.91982
1993,Brandenburg,Rural regions,Yes,0.61024,162,266,0.55152,0.66896
1993,Brandenburg,Rural regions,No,0.38976,104,266,0.33104,0.44848
1993,Mecklenburg-Western Pomerania,Rural regions,Yes,0.58648,99,170,0.51223,0.66072
1993,Mecklenburg-Western Pomerania,Rural regions,No,0.41352,71,170,0.33928,0.48777
1993,Saxony,Urban regions,Yes,0.36530,100,274,0.30818,0.42242
1993,Saxony,Urban regions,No,0.63470,174,274,0.57758,0.69182
1993,Saxony,Rural regions,Yes,0.49302,136,263,0.43248,0.55356
1993,Saxony,Rural regions,No,0.50698,127,263,0.44644,0.56752
1993,Saxony-Anhalt,Urban regions,No,0.77066,55,55,0.65853,0.88279
1993,Saxony-Anhalt,Rural regions,Yes,0.54164,141,259,0.48084,0.60244
1993,Saxony-Anhalt,Rural regions,No,0.45836,118,259,0.39756,0.51916
1993,Thuringa,Urban regions,Yes,0.34846,33,88,0.24834,0.44859
1993,Thuringa,Urban regions,No,0.65154,55,88,0.55141,0.75166
1993,Thuringa,Rural regions,Yes,0.60097,137,215,0.53536,0.66658
1993,Thuringa,Rural regions,No,0.39903,78,215,0.33342,0.46464
1994,Schleswig-Holstein,Urban regions,Yes,0.67361,48,48,0.53955,0.80766
1994,Schleswig-Holstein,Rural regions,Yes,0.67285,53,53,0.54533,0.80037
1994,Hamburg,Urban regions,No,0.72781,63,63,0.61702,0.83860
1994,Lower Saxony,Urban regions,Yes,0.57315,131,250,0.51171,0.63458
1994,Lower Saxony,Urban regions,No,0.42685,119,250,0.36542,0.48829
1994,Lower Saxony,Rural regions,Yes,0.80916,190,237,0.75903,0.85930
1994,Lower Saxony,Rural regions,No,0.19084,47,237,0.14070,0.24097
1994,Bremen,Urban regions,No,0.69895,32,32,0.53747,0.86043
1994,North Rhine-Westphalia,Urban regions,Yes,0.56482,632,1166,0.53635,0.59329
1994,North Rhine-Westphalia,Urban regions,No,0.43518,534,1166,0.40671,0.46365
1994,Hesse,Urban regions,Yes,0.59163,195,388,0.54265,0.64060
1994,Hesse,Urban regions,No,0.40837,193,388,0.35940,0.45735
1994,Hesse,Rural regions,Yes,0.59493,37,37,0.43456,0.75529
1994,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.62895,170,264,0.57056,0.68733
1994,"Rhineland-Palatinate, Saarland",Urban regions,No,0.37105,94,264,0.31267,0.42944
1994,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.77348,44,44,0.64837,0.89859
1994,Baden-Wuerttemberg,Urban regions,Yes,0.64570,398,699,0.61022,0.68118
1994,Baden-Wuerttemberg,Urban regions,No,0.35430,301,699,0.31882,0.38978
1994,Baden-Wuerttemberg,Rural regions,Yes,0.69153,68,106,0.60319,0.77987
1994,Baden-Wuerttemberg,Rural regions,No,0.30847,38,106,0.22013,0.39681
1994,Bavaria,Urban regions,Yes,0.53348,219,420,0.48571,0.58125
1994,Bavaria,Urban regions,No,0.46652,201,420,0.41875,0.51429
1994,Bavaria,Rural regions,Yes,0.69834,264,381,0.65219,0.74449
1994,Bavaria,Rural regions,No,0.30166,117,381,0.25551,0.34781
1994,Berlin,Urban regions,Yes,0.12003,36,275,0.08155,0.15851
1994,Berlin,Urban regions,No,0.87997,239,275,0.84149,0.91845
1994,Brandenburg,Rural regions,Yes,0.61480,158,259,0.55542,0.67418
1994,Brandenburg,Rural regions,No,0.38520,101,259,0.32582,0.44458
1994,Mecklenburg-Western Pomerania,Rural regions,Yes,0.55956,91,163,0.48312,0.63601
1994,Mecklenburg-Western Pomerania,Rural regions,No,0.44044,72,163,0.36399,0.51688
1994,Saxony,Urban regions,Yes,0.37781,106,276,0.32050,0.43511
1994,Saxony,Urban regions,No,0.62219,170,276,0.56489,0.67950
1994,Saxony,Rural regions,Yes,0.48790,134,260,0.42702,0.54877
1994,Saxony,Rural regions,No,0.51210,126,260,0.45123,0.57298
1994,Saxony-Anhalt,Urban regions,No,0.72415,53,53,0.60267,0.84563
1994,Saxony-Anhalt,Rural regions,Yes,0.52774,135,249,0.46561,0.58987
1994,Saxony-Anhalt,Rural regions,No,0.47226,114,249,0.41013,0.53439
1994,Thuringa,Urban regions,Yes,0.32242,36,95,0.22793,0.41691
1994,Thuringa,Urban regions,No,0.67758,59,95,0.58309,0.77207
1994,Thuringa,Rural regions,Yes,0.59508,140,215,0.52931,0.66085
1994,Thuringa,Rural regions,No,0.40492,75,215,0.33915,0.47069
1995,Schleswig-Holstein,Urban regions,Yes,0.66621,44,44,0.52526,0.80716
1995,Schleswig-Holstein,Rural regions,Yes,0.75553,60,60,0.64586,0.86519
1995,Hamburg,Urban regions,No,0.71940,56,56,0.60065,0.83814
