year,bula_h,quintil_oecd_hh,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Baden-Wuerttemberg,2nd Quintile,Yes,0.61393,118,220,0.54945,0.67841
1984,Baden-Wuerttemberg,2nd Quintile,No,0.38607,102,220,0.32159,0.45055
1984,Baden-Wuerttemberg,3rd Quintile,Yes,0.58965,114,221,0.52465,0.65465
1984,Baden-Wuerttemberg,3rd Quintile,No,0.41035,107,221,0.34535,0.47535
1984,Baden-Wuerttemberg,4th Quintile,Yes,0.63212,120,221,0.56840,0.69584
1984,Baden-Wuerttemberg,4th Quintile,No,0.36788,101,221,0.30416,0.43160
1984,Baden-Wuerttemberg,5th Quintile,Yes,0.59979,105,190,0.52994,0.66964
1984,Baden-Wuerttemberg,5th Quintile,No,0.40021,85,190,0.33036,0.47006
1984,Bavaria,1st Quintile,Yes,0.55598,90,170,0.48107,0.63089
1984,Bavaria,1st Quintile,No,0.44402,80,170,0.36911,0.51893
1984,Bavaria,2nd Quintile,Yes,0.58949,108,194,0.52009,0.65889
1984,Bavaria,2nd Quintile,No,0.41051,86,194,0.34111,0.47991
1984,Bavaria,3rd Quintile,Yes,0.55556,104,206,0.48754,0.62358
1984,Bavaria,3rd Quintile,No,0.44444,102,206,0.37642,0.51246
1984,Bavaria,4th Quintile,Yes,0.62126,113,198,0.55352,0.68899
1984,Bavaria,4th Quintile,No,0.37874,85,198,0.31101,0.44648
1984,Bavaria,5th Quintile,Yes,0.65470,119,185,0.58600,0.72340
1984,Bavaria,5th Quintile,No,0.34530,66,185,0.27660,0.41400
1984,Berlin,3rd Quintile,No,0.87709,51,51,0.78608,0.96810
1984,Berlin,4th Quintile,No,0.87539,40,40,0.77174,0.97905
1984,Berlin,5th Quintile,No,0.78806,39,39,0.65811,0.91800
1985,Lower Saxony,1st Quintile,Yes,0.58499,60,111,0.49291,0.67707
1985,Lower Saxony,1st Quintile,No,0.41501,51,111,0.32293,0.50709
1985,Lower Saxony,2nd Quintile,Yes,0.52616,50,92,0.42357,0.62876
1985,Lower Saxony,2nd Quintile,No,0.47384,42,92,0.37124,0.57643
1985,Lower Saxony,3rd Quintile,Yes,0.64842,73,114,0.56039,0.73646
1985,Lower Saxony,3rd Quintile,No,0.35158,41,114,0.26354,0.43961
1985,Lower Saxony,4th Quintile,Yes,0.69863,63,63,0.58441,0.81285
1985,Lower Saxony,5th Quintile,Yes,0.74985,76,76,0.65183,0.84787
1985,North Rhine-Westphalia,1st Quintile,Yes,0.33815,109,315,0.28582,0.39047
1985,North Rhine-Westphalia,1st Quintile,No,0.66185,206,315,0.60953,0.71418
1985,North Rhine-Westphalia,2nd Quintile,Yes,0.52105,157,309,0.46526,0.57684
1985,North Rhine-Westphalia,2nd Quintile,No,0.47895,152,309,0.42316,0.53474
1985,North Rhine-Westphalia,3rd Quintile,Yes,0.48368,119,251,0.42174,0.54563
1985,North Rhine-Westphalia,3rd Quintile,No,0.51632,132,251,0.45437,0.57826
1985,North Rhine-Westphalia,4th Quintile,Yes,0.55130,152,278,0.49272,0.60987
1985,North Rhine-Westphalia,4th Quintile,No,0.44870,126,278,0.39013,0.50728
1985,North Rhine-Westphalia,5th Quintile,Yes,0.62234,155,255,0.56272,0.68196
1985,North Rhine-Westphalia,5th Quintile,No,0.37766,100,255,0.31804,0.43728
1985,Hesse,1st Quintile,Yes,0.40430,39,121,0.31650,0.49211
1985,Hesse,1st Quintile,No,0.59570,82,121,0.50789,0.68350
1985,Hesse,2nd Quintile,Yes,0.53683,45,100,0.43860,0.63506
1985,Hesse,2nd Quintile,No,0.46317,55,100,0.36494,0.56140
1985,Hesse,3rd Quintile,Yes,0.56273,46,97,0.46350,0.66196
1985,Hesse,3rd Quintile,No,0.43727,51,97,0.33804,0.53650
1985,Hesse,4th Quintile,Yes,0.63322,61,108,0.54190,0.72453
1985,Hesse,4th Quintile,No,0.36678,47,108,0.27547,0.45810
1985,Hesse,5th Quintile,Yes,0.67540,60,91,0.57866,0.77213
1985,Hesse,5th Quintile,No,0.32460,31,91,0.22787,0.42134
1985,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.63104,50,50,0.49594,0.76615
1985,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.68441,44,44,0.54549,0.82332
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.55093,41,77,0.43910,0.66276
1985,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.44907,36,77,0.33724,0.56090
1985,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.67097,45,45,0.53214,0.80981
1985,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.83330,45,45,0.72317,0.94343
1985,Baden-Wuerttemberg,1st Quintile,Yes,0.50122,77,170,0.42584,0.57660
1985,Baden-Wuerttemberg,1st Quintile,No,0.49878,93,170,0.42340,0.57416
1985,Baden-Wuerttemberg,2nd Quintile,Yes,0.53593,94,186,0.46406,0.60779
1985,Baden-Wuerttemberg,2nd Quintile,No,0.46407,92,186,0.39221,0.53594
1985,Baden-Wuerttemberg,3rd Quintile,Yes,0.60570,116,228,0.54212,0.66927
1985,Baden-Wuerttemberg,3rd Quintile,No,0.39430,112,228,0.33073,0.45788
1985,Baden-Wuerttemberg,4th Quintile,Yes,0.63074,106,188,0.56157,0.69991
1985,Baden-Wuerttemberg,4th Quintile,No,0.36926,82,188,0.30009,0.43843
1985,Baden-Wuerttemberg,5th Quintile,Yes,0.61535,83,147,0.53643,0.69427
1985,Baden-Wuerttemberg,5th Quintile,No,0.38465,64,147,0.30573,0.46357
1985,Bavaria,1st Quintile,Yes,0.54204,71,135,0.45768,0.62640
1985,Bavaria,1st Quintile,No,0.45796,64,135,0.37360,0.54232
1985,Bavaria,2nd Quintile,Yes,0.58966,105,188,0.51916,0.66017
1985,Bavaria,2nd Quintile,No,0.41034,83,188,0.33983,0.48084
1985,Bavaria,3rd Quintile,Yes,0.59053,92,167,0.51573,0.66534
1985,Bavaria,3rd Quintile,No,0.40947,75,167,0.33466,0.48427
1985,Bavaria,4th Quintile,Yes,0.62431,104,179,0.55316,0.69546
1985,Bavaria,4th Quintile,No,0.37569,75,179,0.30454,0.44684
1985,Bavaria,5th Quintile,Yes,0.64677,119,191,0.57880,0.71473
1985,Bavaria,5th Quintile,No,0.35323,72,191,0.28527,0.42120
1985,Berlin,1st Quintile,No,0.96885,31,31,0.90668,1.03102
1985,Berlin,2nd Quintile,No,0.93636,32,32,0.85043,1.02230
1985,Berlin,3rd Quintile,No,0.92741,36,36,0.84145,1.01337
1985,Berlin,4th Quintile,No,0.75745,31,31,0.60407,0.91084
1985,Berlin,5th Quintile,No,0.85401,41,41,0.74458,0.96344
1986,Lower Saxony,1st Quintile,Yes,0.54570,58,109,0.45179,0.63960
1986,Lower Saxony,1st Quintile,No,0.45430,51,109,0.36040,0.54821
1986,Lower Saxony,2nd Quintile,Yes,0.64074,61,99,0.54575,0.73573
1986,Lower Saxony,2nd Quintile,No,0.35926,38,99,0.26427,0.45425
1986,Lower Saxony,3rd Quintile,Yes,0.74927,75,75,0.65052,0.84803
1986,Lower Saxony,4th Quintile,Yes,0.63144,61,97,0.53494,0.72795
1986,Lower Saxony,4th Quintile,No,0.36856,36,97,0.27205,0.46506
1986,Lower Saxony,5th Quintile,Yes,0.74194,71,71,0.63943,0.84444
1986,North Rhine-Westphalia,1st Quintile,Yes,0.34870,101,288,0.29357,0.40384
1986,North Rhine-Westphalia,1st Quintile,No,0.65130,187,288,0.59616,0.70643
1986,North Rhine-Westphalia,2nd Quintile,Yes,0.47529,120,259,0.41435,0.53623
1986,North Rhine-Westphalia,2nd Quintile,No,0.52471,139,259,0.46377,0.58565
1986,North Rhine-Westphalia,3rd Quintile,Yes,0.53408,144,275,0.47502,0.59315
1986,North Rhine-Westphalia,3rd Quintile,No,0.46592,131,275,0.40685,0.52498
1986,North Rhine-Westphalia,4th Quintile,Yes,0.54160,153,275,0.48260,0.60060
1986,North Rhine-Westphalia,4th Quintile,No,0.45840,122,275,0.39940,0.51740
1986,North Rhine-Westphalia,5th Quintile,Yes,0.62217,156,243,0.56108,0.68326
1986,North Rhine-Westphalia,5th Quintile,No,0.37783,87,243,0.31674,0.43892
1986,Hesse,1st Quintile,Yes,0.38407,36,113,0.29399,0.47414
1986,Hesse,1st Quintile,No,0.61593,77,113,0.52586,0.70601
1986,Hesse,2nd Quintile,Yes,0.60058,50,98,0.50311,0.69805
1986,Hesse,2nd Quintile,No,0.39942,48,98,0.30195,0.49689
1986,Hesse,3rd Quintile,Yes,0.50782,31,69,0.38900,0.62665
1986,Hesse,3rd Quintile,No,0.49218,38,69,0.37335,0.61100
1986,Hesse,4th Quintile,Yes,0.58815,55,107,0.49445,0.68184
1986,Hesse,4th Quintile,No,0.41185,52,107,0.31816,0.50555
1986,Hesse,5th Quintile,Yes,0.72394,66,97,0.63452,0.81337
1986,Hesse,5th Quintile,No,0.27606,31,97,0.18663,0.36548
1986,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.51878,37,70,0.40089,0.63668
1986,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.48122,33,70,0.36332,0.59911
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.67143,59,59,0.55055,0.79231
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.60619,39,39,0.45084,0.76154
1986,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.66215,46,46,0.52396,0.80035
1986,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.74658,43,43,0.61503,0.87813
1986,Baden-Wuerttemberg,1st Quintile,Yes,0.56958,79,156,0.49163,0.64753
1986,Baden-Wuerttemberg,1st Quintile,No,0.43042,77,156,0.35247,0.50837
1986,Baden-Wuerttemberg,2nd Quintile,Yes,0.52610,89,184,0.45375,0.59844
1986,Baden-Wuerttemberg,2nd Quintile,No,0.47390,95,184,0.40156,0.54625
1986,Baden-Wuerttemberg,3rd Quintile,Yes,0.55307,101,204,0.48467,0.62146
1986,Baden-Wuerttemberg,3rd Quintile,No,0.44693,103,204,0.37854,0.51533
1986,Baden-Wuerttemberg,4th Quintile,Yes,0.62451,91,171,0.55172,0.69731
1986,Baden-Wuerttemberg,4th Quintile,No,0.37549,80,171,0.30269,0.44828
1986,Baden-Wuerttemberg,5th Quintile,Yes,0.69003,109,162,0.61860,0.76147
1986,Baden-Wuerttemberg,5th Quintile,No,0.30997,53,162,0.23853,0.38140
1986,Bavaria,1st Quintile,Yes,0.50614,68,128,0.41919,0.59310
1986,Bavaria,1st Quintile,No,0.49386,60,128,0.40690,0.58081
1986,Bavaria,2nd Quintile,Yes,0.62534,94,165,0.55126,0.69942
1986,Bavaria,2nd Quintile,No,0.37466,71,165,0.30058,0.44874
1986,Bavaria,3rd Quintile,Yes,0.60466,101,179,0.53283,0.67649
1986,Bavaria,3rd Quintile,No,0.39534,78,179,0.32351,0.46717
1986,Bavaria,4th Quintile,Yes,0.60914,93,159,0.53306,0.68523
1986,Bavaria,4th Quintile,No,0.39086,66,159,0.31477,0.46694
1986,Bavaria,5th Quintile,Yes,0.59910,108,175,0.52628,0.67192
1986,Bavaria,5th Quintile,No,0.40090,67,175,0.32808,0.47372
1986,Berlin,1st Quintile,No,0.87596,31,31,0.75800,0.99391
1986,Berlin,3rd Quintile,No,0.96137,39,39,0.90010,1.02264
1986,Berlin,4th Quintile,No,0.94371,40,40,0.87137,1.01605
1986,Berlin,5th Quintile,No,0.83595,34,34,0.70959,0.96230
1987,Lower Saxony,1st Quintile,Yes,0.56586,56,107,0.47151,0.66022
1987,Lower Saxony,1st Quintile,No,0.43414,51,107,0.33978,0.52849
1987,Lower Saxony,2nd Quintile,Yes,0.57845,56,95,0.47862,0.67828
1987,Lower Saxony,2nd Quintile,No,0.42155,39,95,0.32172,0.52138
1987,Lower Saxony,3rd Quintile,Yes,0.61216,63,102,0.51713,0.70719
1987,Lower Saxony,3rd Quintile,No,0.38784,39,102,0.29281,0.48287
1987,Lower Saxony,4th Quintile,Yes,0.69751,70,70,0.58912,0.80589
1987,Lower Saxony,5th Quintile,Yes,0.76341,76,76,0.66723,0.85959
1987,North Rhine-Westphalia,1st Quintile,Yes,0.32687,98,286,0.27241,0.38133
1987,North Rhine-Westphalia,1st Quintile,No,0.67313,188,286,0.61867,0.72759
1987,North Rhine-Westphalia,2nd Quintile,Yes,0.45538,129,285,0.39746,0.51330
1987,North Rhine-Westphalia,2nd Quintile,No,0.54462,156,285,0.48670,0.60254
1987,North Rhine-Westphalia,3rd Quintile,Yes,0.60443,154,259,0.54477,0.66410
1987,North Rhine-Westphalia,3rd Quintile,No,0.39557,105,259,0.33590,0.45523
1987,North Rhine-Westphalia,4th Quintile,Yes,0.50099,126,241,0.43773,0.56425
1987,North Rhine-Westphalia,4th Quintile,No,0.49901,115,241,0.43575,0.56227
1987,North Rhine-Westphalia,5th Quintile,Yes,0.62370,168,261,0.56481,0.68259
1987,North Rhine-Westphalia,5th Quintile,No,0.37630,93,261,0.31741,0.43519
1987,Hesse,1st Quintile,Yes,0.43179,32,97,0.33270,0.53088
1987,Hesse,1st Quintile,No,0.56821,65,97,0.46912,0.66730
1987,Hesse,2nd Quintile,Yes,0.51411,35,83,0.40593,0.62229
1987,Hesse,2nd Quintile,No,0.48589,48,83,0.37771,0.59407
1987,Hesse,3rd Quintile,Yes,0.54051,43,94,0.43922,0.64180
1987,Hesse,3rd Quintile,No,0.45949,51,94,0.35820,0.56078
1987,Hesse,4th Quintile,Yes,0.64341,62,109,0.55307,0.73375
1987,Hesse,4th Quintile,No,0.35659,47,109,0.26625,0.44693
1987,Hesse,5th Quintile,Yes,0.64716,59,94,0.55004,0.74428
1987,Hesse,5th Quintile,No,0.35284,35,94,0.25572,0.44996
1987,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.61381,43,43,0.46656,0.76106
1987,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.60024,49,49,0.46166,0.73882
1987,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.67161,47,47,0.53590,0.80733
1987,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.56867,41,41,0.41519,0.72215
1987,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.80053,45,45,0.68246,0.91861
1987,Baden-Wuerttemberg,1st Quintile,Yes,0.53641,61,130,0.45036,0.62247
1987,Baden-Wuerttemberg,1st Quintile,No,0.46359,69,130,0.37753,0.54964
1987,Baden-Wuerttemberg,2nd Quintile,Yes,0.51370,87,188,0.44207,0.58534
1987,Baden-Wuerttemberg,2nd Quintile,No,0.48630,101,188,0.41466,0.55793
1987,Baden-Wuerttemberg,3rd Quintile,Yes,0.60073,106,193,0.53146,0.67001
1987,Baden-Wuerttemberg,3rd Quintile,No,0.39927,87,193,0.32999,0.46854
1987,Baden-Wuerttemberg,4th Quintile,Yes,0.58947,107,203,0.52164,0.65731
1987,Baden-Wuerttemberg,4th Quintile,No,0.41053,96,203,0.34269,0.47836
1987,Baden-Wuerttemberg,5th Quintile,Yes,0.65382,97,150,0.57743,0.73021
1987,Baden-Wuerttemberg,5th Quintile,No,0.34618,53,150,0.26979,0.42257
1987,Bavaria,1st Quintile,Yes,0.57792,76,136,0.49461,0.66124
1987,Bavaria,1st Quintile,No,0.42208,60,136,0.33876,0.50539
1987,Bavaria,2nd Quintile,Yes,0.57889,94,165,0.50332,0.65446
1987,Bavaria,2nd Quintile,No,0.42111,71,165,0.34554,0.49668
1987,Bavaria,3rd Quintile,Yes,0.54920,90,173,0.47483,0.62356
1987,Bavaria,3rd Quintile,No,0.45080,83,173,0.37644,0.52517
1987,Bavaria,4th Quintile,Yes,0.56853,85,160,0.49154,0.64551
1987,Bavaria,4th Quintile,No,0.43147,75,160,0.35449,0.50846
1987,Bavaria,5th Quintile,Yes,0.65513,110,166,0.58260,0.72766
1987,Bavaria,5th Quintile,No,0.34487,56,166,0.27234,0.41740
1987,Berlin,3rd Quintile,No,0.88790,41,41,0.79013,0.98567
1987,Berlin,4th Quintile,No,0.96150,43,43,0.90332,1.01969
1987,Berlin,5th Quintile,No,0.75793,35,35,0.61395,0.90191
1988,Lower Saxony,1st Quintile,Yes,0.58258,53,99,0.48495,0.68022
1988,Lower Saxony,1st Quintile,No,0.41742,46,99,0.31978,0.51505
1988,Lower Saxony,2nd Quintile,Yes,0.58053,54,95,0.48077,0.68029
1988,Lower Saxony,2nd Quintile,No,0.41947,41,95,0.31971,0.51923
1988,Lower Saxony,3rd Quintile,Yes,0.61179,55,87,0.50878,0.71479
1988,Lower Saxony,3rd Quintile,No,0.38821,32,87,0.28521,0.49122
1988,Lower Saxony,4th Quintile,Yes,0.68831,72,110,0.60136,0.77527
1988,Lower Saxony,4th Quintile,No,0.31169,38,110,0.22473,0.39864
1988,Lower Saxony,5th Quintile,Yes,0.82811,74,74,0.74156,0.91466
1988,North Rhine-Westphalia,1st Quintile,Yes,0.34301,100,290,0.28828,0.39774
1988,North Rhine-Westphalia,1st Quintile,No,0.65699,190,290,0.60226,0.71172
1988,North Rhine-Westphalia,2nd Quintile,Yes,0.46893,119,258,0.40791,0.52994
1988,North Rhine-Westphalia,2nd Quintile,No,0.53107,139,258,0.47006,0.59209
1988,North Rhine-Westphalia,3rd Quintile,Yes,0.54862,138,240,0.48552,0.61171
1988,North Rhine-Westphalia,3rd Quintile,No,0.45138,102,240,0.38829,0.51448
1988,North Rhine-Westphalia,4th Quintile,Yes,0.57751,136,231,0.51367,0.64135
1988,North Rhine-Westphalia,4th Quintile,No,0.42249,95,231,0.35865,0.48633
1988,North Rhine-Westphalia,5th Quintile,Yes,0.65750,167,247,0.59819,0.71680
1988,North Rhine-Westphalia,5th Quintile,No,0.34250,80,247,0.28320,0.40181
1988,Hesse,1st Quintile,Yes,0.43926,32,91,0.33673,0.54180
1988,Hesse,1st Quintile,No,0.56074,59,91,0.45820,0.66327
1988,Hesse,2nd Quintile,Yes,0.49922,36,94,0.39760,0.60084
1988,Hesse,2nd Quintile,No,0.50078,58,94,0.39916,0.60240
1988,Hesse,3rd Quintile,Yes,0.58961,43,81,0.48181,0.69740
1988,Hesse,3rd Quintile,No,0.41039,38,81,0.30260,0.51819
1988,Hesse,4th Quintile,Yes,0.64822,57,110,0.55857,0.73786
1988,Hesse,4th Quintile,No,0.35178,53,110,0.26214,0.44143
1988,Hesse,5th Quintile,Yes,0.68315,56,56,0.56019,0.80611
1988,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.68275,44,44,0.54364,0.82186
1988,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.66633,44,44,0.52539,0.80727
1988,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.62865,51,51,0.49472,0.76257
1988,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.65892,45,45,0.51884,0.79900
1988,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.80456,40,40,0.68010,0.92901
1988,Baden-Wuerttemberg,1st Quintile,Yes,0.49755,56,135,0.41289,0.58221
1988,Baden-Wuerttemberg,1st Quintile,No,0.50245,79,135,0.41779,0.58711
1988,Baden-Wuerttemberg,2nd Quintile,Yes,0.59793,98,184,0.52689,0.66897
1988,Baden-Wuerttemberg,2nd Quintile,No,0.40207,86,184,0.33103,0.47311
1988,Baden-Wuerttemberg,3rd Quintile,Yes,0.60497,107,192,0.53564,0.67430
1988,Baden-Wuerttemberg,3rd Quintile,No,0.39503,85,192,0.32570,0.46436
1988,Baden-Wuerttemberg,4th Quintile,Yes,0.56776,96,185,0.49618,0.63934
1988,Baden-Wuerttemberg,4th Quintile,No,0.43224,89,185,0.36066,0.50382
1988,Baden-Wuerttemberg,5th Quintile,Yes,0.70135,99,147,0.62711,0.77558
1988,Baden-Wuerttemberg,5th Quintile,No,0.29865,48,147,0.22442,0.37289
1988,Bavaria,1st Quintile,Yes,0.49621,61,133,0.41092,0.58151
1988,Bavaria,1st Quintile,No,0.50379,72,133,0.41849,0.58908
1988,Bavaria,2nd Quintile,Yes,0.64196,100,154,0.56600,0.71793
1988,Bavaria,2nd Quintile,No,0.35804,54,154,0.28207,0.43400
1988,Bavaria,3rd Quintile,Yes,0.63269,93,168,0.55957,0.70580
1988,Bavaria,3rd Quintile,No,0.36731,75,168,0.29420,0.44043
1988,Bavaria,4th Quintile,Yes,0.62240,96,162,0.54752,0.69729
1988,Bavaria,4th Quintile,No,0.37760,66,162,0.30271,0.45248
1988,Bavaria,5th Quintile,Yes,0.62955,97,154,0.55303,0.70607
1988,Bavaria,5th Quintile,No,0.37045,57,154,0.29393,0.44697
1988,Berlin,3rd Quintile,No,0.90937,38,38,0.81687,1.00188
1988,Berlin,4th Quintile,No,0.91936,35,35,0.82784,1.01088
1988,Berlin,5th Quintile,No,0.78729,35,35,0.64974,0.92485
1989,Lower Saxony,1st Quintile,Yes,0.59525,52,100,0.49856,0.69194
1989,Lower Saxony,1st Quintile,No,0.40475,48,100,0.30806,0.50144
1989,Lower Saxony,2nd Quintile,Yes,0.60467,48,82,0.49819,0.71114
1989,Lower Saxony,2nd Quintile,No,0.39533,34,82,0.28886,0.50181
1989,Lower Saxony,3rd Quintile,Yes,0.71901,71,102,0.63134,0.80667
1989,Lower Saxony,3rd Quintile,No,0.28099,31,102,0.19333,0.36866
1989,Lower Saxony,4th Quintile,Yes,0.63899,73,110,0.54883,0.72916
1989,Lower Saxony,4th Quintile,No,0.36101,37,110,0.27084,0.45117
1989,Lower Saxony,5th Quintile,Yes,0.80203,62,62,0.70203,0.90203
1989,North Rhine-Westphalia,1st Quintile,Yes,0.35753,91,266,0.29983,0.41524
1989,North Rhine-Westphalia,1st Quintile,No,0.64247,175,266,0.58476,0.70017
1989,North Rhine-Westphalia,2nd Quintile,Yes,0.46764,124,253,0.40604,0.52925
1989,North Rhine-Westphalia,2nd Quintile,No,0.53236,129,253,0.47075,0.59396
1989,North Rhine-Westphalia,3rd Quintile,Yes,0.62005,157,255,0.56036,0.67974
1989,North Rhine-Westphalia,3rd Quintile,No,0.37995,98,255,0.32026,0.43964
1989,North Rhine-Westphalia,4th Quintile,Yes,0.50879,115,214,0.44166,0.57593
1989,North Rhine-Westphalia,4th Quintile,No,0.49121,99,214,0.42407,0.55834
1989,North Rhine-Westphalia,5th Quintile,Yes,0.66474,164,239,0.60476,0.72472
1989,North Rhine-Westphalia,5th Quintile,No,0.33526,75,239,0.27528,0.39524
1989,Hesse,1st Quintile,Yes,0.40203,31,98,0.30446,0.49961
1989,Hesse,1st Quintile,No,0.59797,67,98,0.50039,0.69554
1989,Hesse,2nd Quintile,Yes,0.54791,38,91,0.44509,0.65074
1989,Hesse,2nd Quintile,No,0.45209,53,91,0.34926,0.55491
1989,Hesse,3rd Quintile,Yes,0.47707,43,94,0.37556,0.57858
1989,Hesse,3rd Quintile,No,0.52293,51,94,0.42142,0.62444
1989,Hesse,4th Quintile,Yes,0.64360,53,97,0.54780,0.73941
1989,Hesse,4th Quintile,No,0.35640,44,97,0.26059,0.45220
1989,Hesse,5th Quintile,Yes,0.69984,57,57,0.57980,0.81989
1989,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.62980,44,44,0.48548,0.77413
1989,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.73431,58,58,0.61965,0.84898
1989,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.60285,37,37,0.44301,0.76269
1989,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.73514,45,45,0.60475,0.86552
1989,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.90620,37,37,0.81097,1.00144
1989,Baden-Wuerttemberg,1st Quintile,Yes,0.50059,63,136,0.41624,0.58493
1989,Baden-Wuerttemberg,1st Quintile,No,0.49941,73,136,0.41507,0.58376
1989,Baden-Wuerttemberg,2nd Quintile,Yes,0.58075,83,180,0.50847,0.65304
1989,Baden-Wuerttemberg,2nd Quintile,No,0.41925,97,180,0.34696,0.49153
1989,Baden-Wuerttemberg,3rd Quintile,Yes,0.59543,95,170,0.52143,0.66943
1989,Baden-Wuerttemberg,3rd Quintile,No,0.40457,75,170,0.33057,0.47857
