year,regtyp,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Urban regions,East,No,0.71105,439,635,0.67576,0.74633
1991,Rural regions,West,Yes,0.72800,675,935,0.69946,0.75653
1991,Rural regions,West,No,0.27200,260,935,0.24347,0.30054
1991,Rural regions,East,Yes,0.54826,732,1253,0.52069,0.57583
1991,Rural regions,East,No,0.45174,521,1253,0.42417,0.47931
1992,No answer / don't know,East,No,0.75406,37,37,0.61339,0.89474
1992,Urban regions,West,Yes,0.53165,1853,3657,0.51548,0.54783
1992,Urban regions,West,No,0.46835,1804,3657,0.45217,0.48452
1992,Urban regions,East,Yes,0.29630,191,619,0.26030,0.33230
1992,Urban regions,East,No,0.70370,428,619,0.66770,0.73970
1992,Rural regions,West,Yes,0.71734,662,928,0.68835,0.74632
1992,Rural regions,West,No,0.28266,266,928,0.25368,0.31165
1992,Rural regions,East,Yes,0.55556,682,1172,0.52709,0.58402
1992,Rural regions,East,No,0.44444,490,1172,0.41598,0.47291
1993,Urban regions,West,Yes,0.54342,1882,3638,0.52723,0.55961
1993,Urban regions,West,No,0.45658,1756,3638,0.44039,0.47277
1993,Urban regions,East,Yes,0.30360,186,605,0.26693,0.34027
1993,Urban regions,East,No,0.69640,419,605,0.65973,0.73307
1993,Rural regions,West,Yes,0.70425,655,940,0.67506,0.73344
1993,Rural regions,West,No,0.29575,285,940,0.26656,0.32494
1993,Rural regions,East,Yes,0.56234,675,1173,0.53394,0.59075
1993,Rural regions,East,No,0.43766,498,1173,0.40925,0.46606
1994,Urban regions,West,Yes,0.55143,1858,3559,0.53509,0.56778
1994,Urban regions,West,No,0.44857,1701,3559,0.43222,0.46491
1994,Urban regions,East,Yes,0.30753,193,609,0.27084,0.34421
1994,Urban regions,East,No,0.69247,416,609,0.65579,0.72916
1994,Rural regions,West,Yes,0.72076,680,947,0.69218,0.74935
1994,Rural regions,West,No,0.27924,267,947,0.25065,0.30782
1994,Rural regions,East,Yes,0.55508,658,1146,0.52629,0.58386
1994,Rural regions,East,No,0.44492,488,1146,0.41614,0.47371
1995,Urban regions,West,Yes,0.54289,1886,3724,0.52689,0.55889
1995,Urban regions,West,No,0.45711,1838,3724,0.44111,0.47311
1995,Urban regions,East,Yes,0.29870,183,572,0.26116,0.33624
1995,Urban regions,East,No,0.70130,389,572,0.66376,0.73884
1995,Rural regions,West,Yes,0.74132,728,1004,0.71422,0.76842
1995,Rural regions,West,No,0.25868,276,1004,0.23158,0.28578
1995,Rural regions,East,Yes,0.55193,643,1138,0.52302,0.58083
1995,Rural regions,East,No,0.44807,495,1138,0.41917,0.47698
1996,Urban regions,West,Yes,0.54469,1874,3656,0.52854,0.56083
1996,Urban regions,West,No,0.45531,1782,3656,0.43917,0.47146
1996,Urban regions,East,Yes,0.28162,178,586,0.24517,0.31807
1996,Urban regions,East,No,0.71838,408,586,0.68193,0.75483
1996,Rural regions,West,Yes,0.73151,722,1001,0.70404,0.75898
1996,Rural regions,West,No,0.26849,279,1001,0.24102,0.29596
1996,Rural regions,East,Yes,0.56245,666,1137,0.53361,0.59130
1996,Rural regions,East,No,0.43755,471,1137,0.40870,0.46639
1997,Urban regions,West,Yes,0.54895,1896,3594,0.53268,0.56522
1997,Urban regions,West,No,0.45105,1698,3594,0.43478,0.46732
1997,Urban regions,East,Yes,0.27688,175,580,0.24043,0.31332
1997,Urban regions,East,No,0.72312,405,580,0.68668,0.75957
1997,Rural regions,West,Yes,0.74974,729,991,0.72276,0.77672
1997,Rural regions,West,No,0.25026,262,991,0.22328,0.27724
1997,Rural regions,East,Yes,0.55646,656,1131,0.52749,0.58542
1997,Rural regions,East,No,0.44354,475,1131,0.41458,0.47251
1998,Urban regions,West,Yes,0.52307,2218,4251,0.50805,0.53809
1998,Urban regions,West,No,0.47693,2033,4251,0.46191,0.49195
1998,Urban regions,East,Yes,0.27288,198,638,0.23829,0.30747
1998,Urban regions,East,No,0.72712,440,638,0.69253,0.76171
1998,Rural regions,West,Yes,0.74757,880,1179,0.72277,0.77238
1998,Rural regions,West,No,0.25243,299,1179,0.22762,0.27723
1998,Rural regions,East,Yes,0.50199,682,1296,0.47475,0.52922
1998,Rural regions,East,No,0.49801,614,1296,0.47078,0.52525
1999,Urban regions,West,Yes,0.52481,2133,4029,0.50939,0.54023
1999,Urban regions,West,No,0.47519,1896,4029,0.45977,0.49061
1999,Urban regions,East,Yes,0.28824,205,627,0.25276,0.32372
1999,Urban regions,East,No,0.71176,422,627,0.67628,0.74724
1999,Rural regions,West,Yes,0.75052,853,1132,0.72530,0.77574
1999,Rural regions,West,No,0.24948,279,1132,0.22426,0.27470
1999,Rural regions,East,Yes,0.50945,683,1268,0.48193,0.53698
1999,Rural regions,East,No,0.49055,585,1268,0.46302,0.51807
2000,Urban regions,West,Yes,0.53223,4260,7479,0.52092,0.54354
2000,Urban regions,West,No,0.46777,3219,7479,0.45646,0.47908
2000,Urban regions,East,Yes,0.28998,323,983,0.26160,0.31836
2000,Urban regions,East,No,0.71002,660,983,0.68164,0.73840
2000,Rural regions,West,Yes,0.74871,1755,2269,0.73086,0.76656
2000,Rural regions,West,No,0.25129,514,2269,0.23344,0.26914
2000,Rural regions,East,Yes,0.53104,1172,2046,0.50941,0.55267
2000,Rural regions,East,No,0.46896,874,2046,0.44733,0.49059
2001,Urban regions,West,Yes,0.53735,3830,6704,0.52541,0.54929
2001,Urban regions,West,No,0.46265,2874,6704,0.45071,0.47459
2001,Urban regions,East,Yes,0.28729,316,926,0.25813,0.31645
2001,Urban regions,East,No,0.71271,610,926,0.68355,0.74187
2001,Rural regions,West,Yes,0.75522,1560,1992,0.73634,0.77411
2001,Rural regions,West,No,0.24478,432,1992,0.22589,0.26366
2001,Rural regions,East,Yes,0.53930,1088,1864,0.51666,0.56193
2001,Rural regions,East,No,0.46070,776,1864,0.43807,0.48334
2002,Urban regions,West,Yes,0.53955,4283,7134,0.52798,0.55111
2002,Urban regions,West,No,0.46045,2851,7134,0.44889,0.47202
2002,Urban regions,East,Yes,0.28071,337,928,0.25179,0.30964
2002,Urban regions,East,No,0.71929,591,928,0.69036,0.74821
2002,Rural regions,West,Yes,0.75873,1628,2058,0.74024,0.77722
2002,Rural regions,West,No,0.24127,430,2058,0.22278,0.25976
2002,Rural regions,East,Yes,0.54386,1104,1851,0.52116,0.56656
2002,Rural regions,East,No,0.45614,747,1851,0.43344,0.47884
2003,Urban regions,West,Yes,0.54043,4116,6866,0.52864,0.55222
2003,Urban regions,West,No,0.45957,2750,6866,0.44778,0.47136
2003,Urban regions,East,Yes,0.28355,339,924,0.25448,0.31263
2003,Urban regions,East,No,0.71645,585,924,0.68737,0.74552
2003,Rural regions,West,Yes,0.76909,1551,1950,0.75038,0.78780
2003,Rural regions,West,No,0.23091,399,1950,0.21220,0.24962
2003,Rural regions,East,Yes,0.54404,1079,1811,0.52109,0.56698
2003,Rural regions,East,No,0.45596,732,1811,0.43302,0.47891
2004,Urban regions,West,Yes,0.54316,4032,6665,0.53120,0.55512
2004,Urban regions,West,No,0.45684,2633,6665,0.44488,0.46880
2004,Urban regions,East,Yes,0.26412,330,916,0.23556,0.29269
2004,Urban regions,East,No,0.73588,586,916,0.70731,0.76444
2004,Rural regions,West,Yes,0.76597,1536,1919,0.74703,0.78492
2004,Rural regions,West,No,0.23403,383,1919,0.21508,0.25297
2004,Rural regions,East,Yes,0.54968,1073,1769,0.52649,0.57288
2004,Rural regions,East,No,0.45032,696,1769,0.42712,0.47351
2005,Urban regions,West,Yes,0.52803,3906,6600,0.51599,0.54008
2005,Urban regions,West,No,0.47197,2694,6600,0.45992,0.48401
2005,Urban regions,East,Yes,0.26975,344,934,0.24127,0.29823
2005,Urban regions,East,No,0.73025,590,934,0.70177,0.75873
2005,Rural regions,West,Yes,0.77364,1515,1888,0.75476,0.79253
2005,Rural regions,West,No,0.22636,373,1888,0.20747,0.24524
2005,Rural regions,East,Yes,0.58050,1094,1749,0.55737,0.60363
2005,Rural regions,East,No,0.41950,655,1749,0.39637,0.44263
2006,Urban regions,West,Yes,0.51957,4261,7159,0.50800,0.53114
2006,Urban regions,West,No,0.48043,2898,7159,0.46886,0.49200
2006,Urban regions,East,Yes,0.29253,391,988,0.26415,0.32091
2006,Urban regions,East,No,0.70747,597,988,0.67909,0.73585
2006,Rural regions,West,Yes,0.75657,1716,2157,0.73846,0.77469
2006,Rural regions,West,No,0.24343,441,2157,0.22531,0.26154
2006,Rural regions,East,Yes,0.54502,1185,1931,0.52280,0.56723
2006,Rural regions,East,No,0.45498,746,1931,0.43277,0.47720
2007,Urban regions,West,Yes,0.53878,4044,6647,0.52679,0.55076
2007,Urban regions,West,No,0.46122,2603,6647,0.44924,0.47321
2007,Urban regions,East,Yes,0.29916,368,940,0.26987,0.32844
2007,Urban regions,East,No,0.70084,572,940,0.67156,0.73013
2007,Rural regions,West,Yes,0.75731,1615,2023,0.73863,0.77600
2007,Rural regions,West,No,0.24269,408,2023,0.22400,0.26137
2007,Rural regions,East,Yes,0.56452,1136,1814,0.54169,0.58734
2007,Rural regions,East,No,0.43548,678,1814,0.41266,0.45831
2008,Urban regions,West,Yes,0.54745,3830,6245,0.53511,0.55980
2008,Urban regions,West,No,0.45255,2415,6245,0.44020,0.46489
2008,Urban regions,East,Yes,0.31021,359,926,0.28039,0.34002
2008,Urban regions,East,No,0.68979,567,926,0.65998,0.71961
2008,Rural regions,West,Yes,0.76305,1533,1906,0.74395,0.78214
2008,Rural regions,West,No,0.23695,373,1906,0.21786,0.25605
2008,Rural regions,East,Yes,0.57042,1080,1721,0.54702,0.59381
2008,Rural regions,East,No,0.42958,641,1721,0.40619,0.45298
2009,Urban regions,West,Yes,0.55953,3615,5797,0.54675,0.57231
2009,Urban regions,West,No,0.44047,2182,5797,0.42769,0.45325
2009,Urban regions,East,Yes,0.31864,355,894,0.28808,0.34920
2009,Urban regions,East,No,0.68136,539,894,0.65080,0.71192
2009,Rural regions,West,Yes,0.75211,1432,1820,0.73227,0.77195
2009,Rural regions,West,No,0.24789,388,1820,0.22805,0.26773
2009,Rural regions,East,Yes,0.59325,1059,1656,0.56958,0.61691
2009,Rural regions,East,No,0.40675,597,1656,0.38309,0.43042
2010,Urban regions,West,Yes,0.55983,4863,7950,0.54892,0.57075
2010,Urban regions,West,No,0.44017,3087,7950,0.42925,0.45108
2010,Urban regions,East,Yes,0.33412,459,1119,0.30647,0.36177
2010,Urban regions,East,No,0.66588,660,1119,0.63823,0.69353
2010,Rural regions,West,Yes,0.75720,2132,2671,0.74094,0.77346
2010,Rural regions,West,No,0.24280,539,2671,0.22654,0.25906
2010,Rural regions,East,Yes,0.59734,1296,2039,0.57605,0.61864
2010,Rural regions,East,No,0.40266,743,2039,0.38136,0.42395
2011,Urban regions,West,Yes,0.55758,5819,9413,0.54755,0.56762
2011,Urban regions,West,No,0.44242,3594,9413,0.43238,0.45245
2011,Urban regions,East,Yes,0.35427,535,1336,0.32861,0.37993
2011,Urban regions,East,No,0.64573,801,1336,0.62007,0.67139
2011,Rural regions,West,Yes,0.76703,2745,3436,0.75290,0.78117
2011,Rural regions,West,No,0.23297,691,3436,0.21883,0.24710
2011,Rural regions,East,Yes,0.60107,1505,2406,0.58150,0.62064
2011,Rural regions,East,No,0.39893,901,2406,0.37936,0.41850
2012,Urban regions,West,Yes,0.56621,5698,9143,0.55605,0.57637
2012,Urban regions,West,No,0.43379,3445,9143,0.42363,0.44395
2012,Urban regions,East,Yes,0.33207,498,1301,0.30646,0.35767
2012,Urban regions,East,No,0.66793,803,1301,0.64233,0.69354
2012,Rural regions,West,Yes,0.75478,2739,3443,0.74040,0.76915
2012,Rural regions,West,No,0.24522,704,3443,0.23085,0.25960
2012,Rural regions,East,Yes,0.57752,1476,2411,0.55780,0.59724
2012,Rural regions,East,No,0.42248,935,2411,0.40276,0.44220
2013,Urban regions,West,Yes,0.57327,6180,10533,0.56382,0.58271
2013,Urban regions,West,No,0.42673,4353,10533,0.41729,0.43618
2013,Urban regions,East,Yes,0.35643,494,1315,0.33053,0.38233
2013,Urban regions,East,No,0.64357,821,1315,0.61767,0.66947
2013,Rural regions,West,Yes,0.74150,2776,3677,0.72735,0.75566
2013,Rural regions,West,No,0.25850,901,3677,0.24434,0.27265
2013,Rural regions,East,Yes,0.58935,1437,2341,0.56942,0.60929
2013,Rural regions,East,No,0.41065,904,2341,0.39071,0.43058
2014,Urban regions,West,Yes,0.58332,5554,9178,0.57324,0.59341
2014,Urban regions,West,No,0.41668,3624,9178,0.40659,0.42676
2014,Urban regions,East,Yes,0.35493,466,1216,0.32803,0.38184
2014,Urban regions,East,No,0.64507,750,1216,0.61816,0.67197
2014,Rural regions,West,Yes,0.74961,2511,3263,0.73474,0.76448
2014,Rural regions,West,No,0.25039,752,3263,0.23552,0.26526
2014,Rural regions,East,Yes,0.57596,1330,2163,0.55513,0.59679
2014,Rural regions,East,No,0.42404,833,2163,0.40321,0.44487
2015,Urban regions,West,Yes,0.56410,5193,9171,0.55395,0.57425
2015,Urban regions,West,No,0.43590,3978,9171,0.42575,0.44605
2015,Urban regions,East,Yes,0.36773,464,1205,0.34050,0.39497
2015,Urban regions,East,No,0.63227,741,1205,0.60503,0.65950
2015,Rural regions,West,Yes,0.73254,2452,3305,0.71744,0.74763
2015,Rural regions,West,No,0.26746,853,3305,0.25237,0.28256
2015,Rural regions,East,Yes,0.56286,1249,2073,0.54150,0.58422
2015,Rural regions,East,No,0.43714,824,2073,0.41578,0.45850
2016,Urban regions,West,Yes,0.55867,5061,9555,0.54871,0.56863
2016,Urban regions,West,No,0.44133,4494,9555,0.43137,0.45129
2016,Urban regions,East,Yes,0.34254,419,1265,0.31637,0.36870
2016,Urban regions,East,No,0.65746,846,1265,0.63130,0.68363
2016,Rural regions,West,Yes,0.74868,2371,3380,0.73405,0.76331
2016,Rural regions,West,No,0.25132,1009,3380,0.23669,0.26595
2016,Rural regions,East,Yes,0.56953,1218,2195,0.54882,0.59025
2016,Rural regions,East,No,0.43047,977,2195,0.40975,0.45118
2017,Urban regions,West,Yes,0.56421,5709,10616,0.55478,0.57364
2017,Urban regions,West,No,0.43579,4907,10616,0.42636,0.44522
2017,Urban regions,East,Yes,0.35624,490,1407,0.33120,0.38127
2017,Urban regions,East,No,0.64376,917,1407,0.61873,0.66880
2017,Rural regions,West,Yes,0.74844,2710,3853,0.73473,0.76214
2017,Rural regions,West,No,0.25156,1143,3853,0.23786,0.26527
2017,Rural regions,East,Yes,0.58454,1381,2391,0.56478,0.60429
2017,Rural regions,East,No,0.41546,1010,2391,0.39571,0.43522
2018,Urban regions,West,Yes,0.56621,5460,10391,0.55668,0.57574
2018,Urban regions,West,No,0.43379,4931,10391,0.42426,0.44332
2018,Urban regions,East,Yes,0.34933,466,1402,0.32437,0.37430
2018,Urban regions,East,No,0.65067,936,1402,0.62570,0.67563
2018,Rural regions,West,Yes,0.73858,2503,3550,0.72413,0.75304
2018,Rural regions,West,No,0.26142,1047,3550,0.24696,0.27587
2018,Rural regions,East,Yes,0.58802,1299,2349,0.56811,0.60793
2018,Rural regions,East,No,0.41198,1050,2349,0.39207,0.43189
2019,Urban regions,West,Yes,0.57558,4650,8727,0.56521,0.58595
2019,Urban regions,West,No,0.42442,4077,8727,0.41405,0.43479
2019,Urban regions,East,Yes,0.36825,406,1176,0.34067,0.39583
2019,Urban regions,East,No,0.63175,770,1176,0.60417,0.65933
2019,Rural regions,West,Yes,0.75646,2156,3018,0.74114,0.77178
2019,Rural regions,West,No,0.24354,862,3018,0.22822,0.25886
2019,Rural regions,East,Yes,0.60025,1146,1987,0.57870,0.62179
2019,Rural regions,East,No,0.39975,841,1987,0.37821,0.42130
2020,Urban regions,West,Yes,0.57574,5936,11845,0.56684,0.58464
2020,Urban regions,West,No,0.42426,5909,11845,0.41536,0.43316
2020,Urban regions,East,Yes,0.35368,508,1527,0.32969,0.37767
2020,Urban regions,East,No,0.64632,1019,1527,0.62233,0.67031
2020,Rural regions,West,Yes,0.76063,2527,3622,0.74673,0.77453
2020,Rural regions,West,No,0.23937,1095,3622,0.22547,0.25327
2020,Rural regions,East,Yes,0.59820,1366,2306,0.57819,0.61822
2020,Rural regions,East,No,0.40180,940,2306,0.38178,0.42181
2021,Urban regions,West,Yes,0.57481,3631,6675,0.56295,0.58667
2021,Urban regions,West,No,0.42519,3044,6675,0.41333,0.43705
2021,Urban regions,East,Yes,0.36998,317,931,0.33895,0.40101
2021,Urban regions,East,No,0.63002,614,931,0.59899,0.66105
2021,Rural regions,West,Yes,0.75245,1593,2149,0.73420,0.77070
2021,Rural regions,West,No,0.24755,556,2149,0.22930,0.26580
2021,Rural regions,East,Yes,0.59767,883,1418,0.57214,0.62320
2021,Rural regions,East,No,0.40233,535,1418,0.37680,0.42786
2022,Urban regions,West,Yes,0.58030,6588,12100,0.57151,0.58910
2022,Urban regions,West,No,0.41970,5512,12100,0.41090,0.42849
2022,Urban regions,East,Yes,0.38652,632,1721,0.36350,0.40953
2022,Urban regions,East,No,0.61348,1089,1721,0.59047,0.63650
2022,Rural regions,West,Yes,0.77621,2792,3615,0.76262,0.78980
2022,Rural regions,West,No,0.22379,823,3615,0.21020,0.23738
2022,Rural regions,East,Yes,0.61325,1699,2622,0.59461,0.63190
2022,Rural regions,East,No,0.38675,923,2622,0.36810,0.40539
