"ple0055","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"9","1987","","","",""
"10","1987","","","",""
"11","1987","2","","",""
"12","1987","2","","",""
"13","1987","2","","",""
"14","1987","4","0.00366251287159134","0.000177230241201564","0.00714779550198113"
"15","1987","1","","",""
"16","1987","1","","",""
"17","1987","","","",""
"18","1987","","","",""
"19","1987","","","",""
"20","1987","1","","",""
"21","1987","","","",""
"22","1987","","","",""
"23","1987","","","",""
"24","1987","","","",""
"25","1987","","","",""
"26","1987","","","",""
"27","1987","","","",""
"28","1987","1","","",""
"30","1987","1","","",""
"31","1987","","","",""
"32","1987","","","",""
"35","1987","1","","",""
"36","1987","","","",""
"40","1987","","","",""
"42","1987","","","",""
"45","1987","","","",""
"48","1987","","","",""
"50","1987","","","",""
"51","1987","","","",""
"64","1987","","","",""
"65","1987","","","",""
"90","1987","","","",""
"98","1987","","","",""
"100","1987","","","",""
"0","1988","1","","",""
"1","1988","892","0.791878599281852","0.768060688347743","0.815696510215961"
"2","1988","138","","",""
"3","1988","40","0.0428668184745242","0.0309828140211129","0.0547508229279356"
"4","1988","7","0.00608525785059567","0.00152247235293678","0.0106480433482546"
"5","1988","7","0.00457828169055625","0.000617592119163733","0.00853897126194877"
"6","1988","6","0.00580019818628754","0.00134492595023365","0.0102554704223414"
"7","1988","","","",""
"8","1988","2","","",""
"9","1988","1","","",""
"10","1988","7","0.00630542145077466","0.00166134335999059","0.0109494995415587"
"11","1988","1","","",""
"12","1988","1","","",""
"13","1988","2","","",""
"14","1988","5","0.00404946142106679","0.000323541539468944","0.00777538130266463"
"15","1988","1","","",""
"16","1988","1","","",""
"17","1988","","","",""
"18","1988","","","",""
"19","1988","","","",""
"20","1988","","","",""
"21","1988","","","",""
"22","1988","","","",""
"23","1988","","","",""
"24","1988","","","",""
"25","1988","","","",""
"26","1988","","","",""
"27","1988","","","",""
"28","1988","2","","",""
"30","1988","1","","",""
"31","1988","","","",""
"32","1988","","","",""
"35","1988","1","","",""
"36","1988","","","",""
"40","1988","","","",""
"42","1988","","","",""
"45","1988","","","",""
"48","1988","","","",""
"50","1988","","","",""
"51","1988","","","",""
"64","1988","","","",""
"65","1988","","","",""
"90","1988","","","",""
"98","1988","","","",""
"100","1988","","","",""
"0","1989","","","",""
"1","1989","849","0.792862821385441","0.768292094712293","0.817433548058589"
"2","1989","128","","",""
"3","1989","36","0.0372406166878939","0.0257602104000328","0.048721022975755"
"4","1989","9","0.00918848759856657","0.00340343270062932","0.0149735424965038"
"5","1989","4","0.00517852894224054","0.000826761038844167","0.00953029684563691"
"6","1989","6","0.00515094376889481","0.000810721745292625","0.00949116579249699"
"7","1989","1","","",""
"8","1989","2","","",""
"9","1989","","","",""
"10","1989","1","","",""
"11","1989","1","","",""
"12","1989","","","",""
"13","1989","","","",""
"14","1989","2","","",""
"15","1989","","","",""
"16","1989","","","",""
"17","1989","","","",""
"18","1989","","","",""
"19","1989","","","",""
"20","1989","","","",""
"21","1989","2","","",""
"22","1989","","","",""
"23","1989","","","",""
"24","1989","","","",""
"25","1989","1","","",""
"26","1989","","","",""
"27","1989","","","",""
"28","1989","","","",""
"30","1989","","","",""
"31","1989","","","",""
"32","1989","","","",""
"35","1989","1","","",""
"36","1989","","","",""
"40","1989","1","","",""
"42","1989","","","",""
"45","1989","","","",""
"48","1989","","","",""
"50","1989","","","",""
"51","1989","","","",""
"64","1989","","","",""
"65","1989","","","",""
"90","1989","1","","",""
"98","1989","","","",""
"100","1989","","","",""
"0","1990","","","",""
"1","1990","","","",""
"2","1990","","","",""
"3","1990","","","",""
"4","1990","","","",""
"5","1990","","","",""
"6","1990","","","",""
"7","1990","","","",""
"8","1990","","","",""
"9","1990","","","",""
"10","1990","","","",""
"11","1990","","","",""
"12","1990","","","",""
"13","1990","","","",""
"14","1990","","","",""
"15","1990","","","",""
"16","1990","","","",""
"17","1990","","","",""
"18","1990","","","",""
"19","1990","","","",""
"20","1990","","","",""
"21","1990","","","",""
"22","1990","","","",""
"23","1990","","","",""
"24","1990","","","",""
"25","1990","","","",""
"26","1990","","","",""
"27","1990","","","",""
"28","1990","","","",""
"30","1990","","","",""
"31","1990","","","",""
"32","1990","","","",""
"35","1990","","","",""
"36","1990","","","",""
"40","1990","","","",""
"42","1990","","","",""
"45","1990","","","",""
"48","1990","","","",""
"50","1990","","","",""
"51","1990","","","",""
"64","1990","","","",""
"65","1990","","","",""
"90","1990","","","",""
"98","1990","","","",""
"100","1990","","","",""
"0","1991","","","",""
"1","1991","859","0.763845418924345","0.738503570136164","0.789187267712527"
"2","1991","142","","",""
"3","1991","39","0.0473333611589042","0.0346629263223361","0.0600037959954723"
"4","1991","12","","",""
"5","1991","3","","",""
"6","1991","6","0.00631268411359568","0.00158695013453321","0.0110384180926581"
"7","1991","4","0.0038778684146095","0.000169437460366922","0.00758629936885207"
"8","1991","2","","",""
"9","1991","2","","",""
"10","1991","3","","",""
"11","1991","","","",""
"12","1991","1","","",""
"13","1991","","","",""
"14","1991","1","","",""
"15","1991","","","",""
"16","1991","","","",""
"17","1991","","","",""
"18","1991","","","",""
"19","1991","","","",""
"20","1991","2","","",""
"21","1991","","","",""
"22","1991","","","",""
"23","1991","","","",""
"24","1991","1","","",""
"25","1991","","","",""
"26","1991","","","",""
"27","1991","1","","",""
"28","1991","","","",""
"30","1991","1","","",""
"31","1991","","","",""
"32","1991","","","",""
"35","1991","","","",""
"36","1991","","","",""
"40","1991","","","",""
"42","1991","","","",""
"45","1991","","","",""
"48","1991","","","",""
"50","1991","","","",""
"51","1991","","","",""
"64","1991","","","",""
"65","1991","","","",""
"90","1991","","","",""
"98","1991","","","",""
"100","1991","","","",""
"0","1992","","","",""
"1","1992","1082","","",""
"2","1992","196","","",""
"3","1992","41","0.0424361913987905","0.0317501735508383","0.0531222092467427"
"4","1992","11","","",""
"5","1992","9","0.00476731727619082","0.00111588561813301","0.00841874893424864"
"6","1992","4","0.00334220528755559","0.000282684357432277","0.00640172621767889"
"7","1992","7","0.00557007673920965","0.00162476327094675","0.00951539020747254"
"8","1992","3","","",""
"9","1992","1","","",""
"10","1992","5","0.00471540019577792","0.00108381067333975","0.00834698971821609"
"11","1992","","","",""
"12","1992","2","","",""
"13","1992","","","",""
"14","1992","","","",""
"15","1992","","","",""
"16","1992","","","",""
"17","1992","","","",""
"18","1992","","","",""
"19","1992","","","",""
"20","1992","","","",""
"21","1992","4","0.00294682026635015","7.3395576167382e-05","0.00582024495653292"
"22","1992","","","",""
"23","1992","","","",""
"24","1992","","","",""
"25","1992","","","",""
"26","1992","","","",""
"27","1992","","","",""
"28","1992","","","",""
"30","1992","1","","",""
"31","1992","","","",""
"32","1992","","","",""
"35","1992","","","",""
"36","1992","","","",""
"40","1992","","","",""
"42","1992","","","",""
"45","1992","","","",""
"48","1992","","","",""
"50","1992","","","",""
"51","1992","","","",""
"64","1992","","","",""
"65","1992","1","","",""
"90","1992","","","",""
"98","1992","","","",""
"100","1992","","","",""
"0","1993","","","",""
"1","1993","","","",""
"2","1993","","","",""
"3","1993","","","",""
"4","1993","","","",""
"5","1993","","","",""
"6","1993","","","",""
"7","1993","","","",""
"8","1993","","","",""
"9","1993","","","",""
"10","1993","","","",""
"11","1993","","","",""
"12","1993","","","",""
"13","1993","","","",""
"14","1993","","","",""
"15","1993","","","",""
"16","1993","","","",""
"17","1993","","","",""
"18","1993","","","",""
"19","1993","","","",""
"20","1993","","","",""
"21","1993","","","",""
"22","1993","","","",""
"23","1993","","","",""
"24","1993","","","",""
"25","1993","","","",""
"26","1993","","","",""
"27","1993","","","",""
"28","1993","","","",""
"30","1993","","","",""
"31","1993","","","",""
"32","1993","","","",""
"35","1993","","","",""
"36","1993","","","",""
"40","1993","","","",""
"42","1993","","","",""
"45","1993","","","",""
"48","1993","","","",""
"50","1993","","","",""
"51","1993","","","",""
"64","1993","","","",""
"65","1993","","","",""
"90","1993","","","",""
"98","1993","","","",""
"100","1993","","","",""
"0","1994","","","",""
"1","1994","1114","","",""
"2","1994","186","","",""
"3","1994","42","0.0326190780235968","0.0233007073579084","0.0419374486892853"
"4","1994","18","","",""
"5","1994","8","0.00343296139548712","0.000364694734681671","0.00650122805629257"
"6","1994","7","0.00686613940189822","0.00253436745119028","0.0111979113526062"
"7","1994","4","0.00397505366725651","0.000674308561270418","0.0072757987732426"
"8","1994","4","0.00439466322872618","0.000924804528631335","0.00786452192882102"
"9","1994","","","",""
"10","1994","3","","",""
"11","1994","","","",""
"12","1994","1","","",""
"13","1994","1","","",""
"14","1994","3","","",""
"15","1994","1","","",""
"16","1994","1","","",""
"17","1994","","","",""
"18","1994","","","",""
"19","1994","","","",""
"20","1994","","","",""
"21","1994","2","","",""
"22","1994","","","",""
"23","1994","","","",""
"24","1994","","","",""
"25","1994","","","",""
"26","1994","","","",""
"27","1994","","","",""
"28","1994","","","",""
"30","1994","","","",""
"31","1994","","","",""
"32","1994","","","",""
"35","1994","","","",""
"36","1994","","","",""
"40","1994","","","",""
"42","1994","","","",""
"45","1994","","","",""
"48","1994","","","",""
"50","1994","1","","",""
"51","1994","","","",""
"64","1994","","","",""
"65","1994","","","",""
"90","1994","","","",""
"98","1994","","","",""
"100","1994","","","",""
"0","1995","7","0.00421147286704469","0.000895355895184849","0.00752758983890452"
"1","1995","1122","","",""
"2","1995","216","","",""
"3","1995","55","0.0478320566480554","0.0369039334080568","0.0587601798880539"
"4","1995","26","","",""
"5","1995","11","","",""
"6","1995","7","0.00795132276493261","0.00340337506964184","0.0124992704602234"
"7","1995","2","","",""
"8","1995","3","","",""
"9","1995","1","","",""
"10","1995","2","","",""
"11","1995","5","0.0016158779959","-0.000440876214068324","0.00367263220586831"
"12","1995","3","","",""
"13","1995","","","",""
"14","1995","1","","",""
"15","1995","","","",""
"16","1995","","","",""
"17","1995","","","",""
"18","1995","1","","",""
"19","1995","","","",""
"20","1995","1","","",""
"21","1995","1","","",""
"22","1995","","","",""
"23","1995","","","",""
"24","1995","","","",""
"25","1995","","","",""
"26","1995","","","",""
"27","1995","","","",""
"28","1995","","","",""
"30","1995","","","",""
"31","1995","","","",""
"32","1995","","","",""
"35","1995","1","","",""
"36","1995","","","",""
"40","1995","","","",""
"42","1995","","","",""
"45","1995","","","",""
"48","1995","","","",""
"50","1995","","","",""
"51","1995","","","",""
"64","1995","","","",""
"65","1995","","","",""
"90","1995","","","",""
"98","1995","","","",""
"100","1995","","","",""
"0","1996","","","",""
"1","1996","1190","","",""
"2","1996","199","","",""
"3","1996","55","0.0423501376780185","0.0321485449985687","0.0525517303574682"
"4","1996","12","","",""
"5","1996","12","","",""
"6","1996","4","0.00160939363701836","-0.000421179207395481","0.00363996648143221"
"7","1996","9","0.00748165114529117","0.00311644065652838","0.011846861634054"
"8","1996","","","",""
"9","1996","2","","",""
"10","1996","3","","",""
"11","1996","","","",""
"12","1996","1","","",""
"13","1996","","","",""
"14","1996","4","0.00598002144762646","0.00207443623017208","0.00988560666508085"
"15","1996","2","","",""
"16","1996","","","",""
"17","1996","1","","",""
"18","1996","","","",""
"19","1996","","","",""
"20","1996","","","",""
"21","1996","","","",""
"22","1996","","","",""
"23","1996","","","",""
"24","1996","","","",""
"25","1996","","","",""
"26","1996","","","",""
"27","1996","","","",""
"28","1996","1","","",""
"30","1996","1","","",""
"31","1996","","","",""
"32","1996","","","",""
"35","1996","1","","",""
"36","1996","","","",""
"40","1996","","","",""
"42","1996","","","",""
"45","1996","","","",""
"48","1996","","","",""
"50","1996","","","",""
"51","1996","","","",""
"64","1996","","","",""
"65","1996","","","",""
"90","1996","","","",""
"98","1996","","","",""
"100","1996","","","",""
"0","1997","","","",""
"1","1997","1151","","",""
"2","1997","222","","",""
"3","1997","53","0.0409014481815726","0.0307834372049097","0.0510194591582356"
"4","1997","12","","",""
"5","1997","8","0.00945510472772828","0.00451126435320281","0.0143989451022537"
"6","1997","2","","",""
"7","1997","6","0.00188546254206349","-0.000330657752929229","0.00410158283705621"
"8","1997","4","0.00336963509832888","0.000409219525609364","0.00633005067104839"
"9","1997","","","",""
"10","1997","1","","",""
"11","1997","","","",""
"12","1997","5","0.00692569871198134","0.00268910463223882","0.0111622927917239"
"13","1997","","","",""
"14","1997","3","","",""
"15","1997","1","","",""
"16","1997","","","",""
"17","1997","","","",""
"18","1997","","","",""
"19","1997","","","",""
"20","1997","","","",""
"21","1997","1","","",""
"22","1997","","","",""
"23","1997","","","",""
"24","1997","","","",""
"25","1997","","","",""
"26","1997","","","",""
"27","1997","","","",""
"28","1997","","","",""
"30","1997","2","","",""
"31","1997","","","",""
"32","1997","","","",""
"35","1997","","","",""
"36","1997","1","","",""
"40","1997","","","",""
"42","1997","","","",""
"45","1997","","","",""
"48","1997","","","",""
"50","1997","","","",""
"51","1997","","","",""
"64","1997","","","",""
"65","1997","","","",""
"90","1997","","","",""
"98","1997","","","",""
"100","1997","","","",""
"0","1998","","","",""
"1","1998","1285","","",""
"2","1998","256","","",""
"3","1998","53","0.0357309139764525","0.0267773541691074","0.0446844737837975"
"4","1998","23","","",""
"5","1998","11","","",""
"6","1998","6","0.00666618916713757","0.00274099648765993","0.0105913818466152"
"7","1998","4","0.00259019244269607","0.000138435648256467","0.00504194923713567"
"8","1998","4","0.00167607970248386","-0.000297059050535931","0.00364921845550364"
"9","1998","1","","",""
"10","1998","","","",""
"11","1998","","","",""
"12","1998","1","","",""
"13","1998","","","",""
"14","1998","2","","",""
"15","1998","","","",""
"16","1998","1","","",""
"17","1998","","","",""
"18","1998","","","",""
"19","1998","","","",""
"20","1998","2","","",""
"21","1998","","","",""
"22","1998","1","","",""
"23","1998","","","",""
"24","1998","","","",""
"25","1998","","","",""
"26","1998","","","",""
"27","1998","","","",""
"28","1998","","","",""
"30","1998","","","",""
"31","1998","","","",""
"32","1998","","","",""
"35","1998","","","",""
"36","1998","","","",""
"40","1998","","","",""
"42","1998","","","",""
"45","1998","","","",""
"48","1998","","","",""
"50","1998","","","",""
"51","1998","","","",""
"64","1998","1","","",""
"65","1998","","","",""
"90","1998","","","",""
"98","1998","","","",""
"100","1998","","","",""
"0","1999","","","",""
"1","1999","1219","","",""
"2","1999","256","","",""
"3","1999","65","0.0436085482250678","0.0336236461515945","0.0535934502985411"
"4","1999","23","","",""
"5","1999","16","","",""
"6","1999","9","0.00685746203370641","0.0028226096507597","0.0108923144166531"
"7","1999","7","0.00413935799006859","0.00100025235261581","0.00727846362752138"
"8","1999","1","","",""
"9","1999","1","","",""
"10","1999","3","","",""
"11","1999","1","","",""
"12","1999","2","","",""
"13","1999","1","","",""
"14","1999","1","","",""
"15","1999","","","",""
"16","1999","","","",""
"17","1999","","","",""
"18","1999","","","",""
"19","1999","1","","",""
"20","1999","","","",""
"21","1999","","","",""
"22","1999","","","",""
"23","1999","","","",""
"24","1999","","","",""
"25","1999","","","",""
"26","1999","","","",""
"27","1999","","","",""
"28","1999","","","",""
"30","1999","1","","",""
"31","1999","","","",""
"32","1999","","","",""
"35","1999","","","",""
"36","1999","","","",""
"40","1999","","","",""
"42","1999","","","",""
"45","1999","","","",""
"48","1999","","","",""
"50","1999","","","",""
"51","1999","","","",""
"64","1999","","","",""
"65","1999","","","",""
"90","1999","","","",""
"98","1999","","","",""
"100","1999","","","",""
"0","2000","","","",""
"1","2000","2062","","",""
"2","2000","464","0.174756365418127","0.160652339912336","0.188860390923917"
"3","2000","119","","",""
"4","2000","45","0.0142729178955627","0.00986767134955321","0.0186781644415721"
"5","2000","21","","",""
"6","2000","19","","",""
"7","2000","11","","",""
"8","2000","11","","",""
"9","2000","8","0.00290264258143875","0.000904616951453305","0.0049006682114242"
"10","2000","5","0.00179285645722475","0.000221703063343478","0.00336400985110602"
"11","2000","2","","",""
"12","2000","3","","",""
"13","2000","3","","",""
"14","2000","4","0.00221614675583536","0.000469709508220735","0.00396258400344999"
"15","2000","","","",""
"16","2000","","","",""
"17","2000","1","","",""
"18","2000","","","",""
"19","2000","","","",""
"20","2000","2","","",""
"21","2000","1","","",""
"22","2000","1","","",""
"23","2000","","","",""
"24","2000","1","","",""
"25","2000","","","",""
"26","2000","","","",""
"27","2000","","","",""
"28","2000","","","",""
"30","2000","1","","",""
"31","2000","","","",""
"32","2000","","","",""
"35","2000","","","",""
"36","2000","","","",""
"40","2000","","","",""
"42","2000","","","",""
"45","2000","1","","",""
"48","2000","","","",""
"50","2000","","","",""
"51","2000","","","",""
"64","2000","","","",""
"65","2000","","","",""
"90","2000","","","",""
"98","2000","","","",""
"100","2000","","","",""
"0","2001","","","",""
"1","2001","1974","","",""
"2","2001","437","0.183951234570492","0.169015477995698","0.198886991145286"
"3","2001","112","","",""
"4","2001","27","","",""
"5","2001","16","","",""
"6","2001","6","0.00297996576175689","0.000878727032155381","0.00508120449135841"
"7","2001","1","","",""
"8","2001","5","0.0012807353489171","-9.79629163011088e-05","0.00265943361413532"
"9","2001","1","","",""
"10","2001","1","","",""
"11","2001","1","","",""
"12","2001","4","0.00173856855159206","0.000132604302199383","0.00334453280098473"
"13","2001","","","",""
"14","2001","","","",""
"15","2001","","","",""
"16","2001","","","",""
"17","2001","","","",""
"18","2001","","","",""
"19","2001","","","",""
"20","2001","","","",""
"21","2001","","","",""
"22","2001","","","",""
"23","2001","","","",""
"24","2001","","","",""
"25","2001","","","",""
"26","2001","","","",""
"27","2001","","","",""
"28","2001","","","",""
"30","2001","","","",""
"31","2001","","","",""
"32","2001","","","",""
"35","2001","","","",""
"36","2001","","","",""
"40","2001","","","",""
"42","2001","","","",""
"45","2001","","","",""
"48","2001","","","",""
"50","2001","","","",""
"51","2001","","","",""
"64","2001","","","",""
"65","2001","","","",""
"90","2001","","","",""
"98","2001","","","",""
"100","2001","","","",""
"0","2002","","","",""
"1","2002","2079","","",""
"2","2002","428","0.178442858305087","0.163903358901045","0.19298235770913"
"3","2002","105","","",""
"4","2002","23","","",""
"5","2002","16","","",""
"6","2002","2","","",""
"7","2002","2","","",""
"8","2002","2","","",""
"9","2002","1","","",""
"10","2002","2","","",""
"11","2002","1","","",""
"12","2002","1","","",""
"13","2002","","","",""
"14","2002","","","",""
"15","2002","","","",""
"16","2002","","","",""
"17","2002","","","",""
"18","2002","1","","",""
"19","2002","","","",""
"20","2002","","","",""
"21","2002","","","",""
"22","2002","","","",""
"23","2002","","","",""
"24","2002","","","",""
"25","2002","","","",""
"26","2002","","","",""
"27","2002","","","",""
"28","2002","","","",""
"30","2002","","","",""
"31","2002","","","",""
"32","2002","","","",""
"35","2002","","","",""
"36","2002","","","",""
"40","2002","","","",""
"42","2002","","","",""
"45","2002","","","",""
"48","2002","1","","",""
"50","2002","","","",""
"51","2002","","","",""
"64","2002","","","",""
"65","2002","","","",""
"90","2002","","","",""
"98","2002","","","",""
"100","2002","","","",""
"0","2003","","","",""
"1","2003","1961","","",""
"2","2003","432","0.181100455286723","0.166223333931805","0.195977576641641"
"3","2003","104","","",""
"4","2003","38","0.0181173942983017","0.0129648531224777","0.0232699354741258"
"5","2003","13","","",""
"6","2003","10","","",""
"7","2003","8","0.00299151521917547","0.000881727037676497","0.00510130340067444"
"8","2003","2","","",""
"9","2003","","","",""
"10","2003","2","","",""
"11","2003","","","",""
"12","2003","2","","",""
"13","2003","","","",""
"14","2003","1","","",""
"15","2003","1","","",""
"16","2003","","","",""
"17","2003","","","",""
"18","2003","","","",""
"19","2003","","","",""
"20","2003","","","",""
"21","2003","","","",""
"22","2003","","","",""
"23","2003","","","",""
"24","2003","","","",""
"25","2003","","","",""
"26","2003","","","",""
"27","2003","","","",""
"28","2003","","","",""
"30","2003","","","",""
"31","2003","","","",""
"32","2003","","","",""
"35","2003","","","",""
"36","2003","","","",""
"40","2003","","","",""
"42","2003","","","",""
"45","2003","","","",""
"48","2003","","","",""
"50","2003","","","",""
"51","2003","","","",""
"64","2003","","","",""
"65","2003","","","",""
"90","2003","","","",""
"98","2003","","","",""
"100","2003","","","",""
"0","2004","","","",""
"1","2004","1931","","",""
"2","2004","427","0.180096028331726","0.165134417690702","0.19505763897275"
"3","2004","110","","",""
"4","2004","27","","",""
"5","2004","16","","",""
"6","2004","6","0.00285846303013627","0.000779774214310466","0.00493715184596207"
"7","2004","2","","",""
"8","2004","5","0.00104519319867975","-0.00021290920975569","0.00230329560711518"
"9","2004","","","",""
"10","2004","4","0.00101884657820199","-0.000223314247965661","0.00226100740436964"
"11","2004","2","","",""
"12","2004","2","","",""
"13","2004","2","","",""
"14","2004","","","",""
"15","2004","","","",""
"16","2004","","","",""
"17","2004","","","",""
"18","2004","","","",""
"19","2004","","","",""
"20","2004","","","",""
"21","2004","","","",""
"22","2004","","","",""
"23","2004","","","",""
"24","2004","","","",""
"25","2004","","","",""
"26","2004","","","",""
"27","2004","","","",""
"28","2004","","","",""
"30","2004","","","",""
"31","2004","","","",""
"32","2004","","","",""
"35","2004","","","",""
"36","2004","","","",""
"40","2004","","","",""
"42","2004","","","",""
"45","2004","","","",""
"48","2004","","","",""
"50","2004","","","",""
"51","2004","","","",""
"64","2004","","","",""
"65","2004","","","",""
"90","2004","","","",""
"98","2004","","","",""
"100","2004","","","",""
"0","2005","","","",""
"1","2005","1699","","",""
"2","2005","379","0.163051020293463","0.14773589409495","0.178366146491977"
"3","2005","94","0.0474914439928489","0.0386738223970597","0.0563090655886382"
"4","2005","33","0.0197714208156508","0.0139998776594623","0.0255429639718393"
"5","2005","13","","",""
"6","2005","5","0.00452201945615998","0.00174044064369606","0.0073035982686239"
"7","2005","5","0.00223445787270103","0.00027692229683087","0.0041919934485712"
"8","2005","1","","",""
"9","2005","3","","",""
"10","2005","1","","",""
"11","2005","1","","",""
"12","2005","","","",""
"13","2005","","","",""
"14","2005","","","",""
"15","2005","1","","",""
"16","2005","","","",""
"17","2005","","","",""
"18","2005","","","",""
"19","2005","","","",""
"20","2005","","","",""
"21","2005","","","",""
"22","2005","","","",""
"23","2005","","","",""
"24","2005","","","",""
"25","2005","","","",""
"26","2005","","","",""
"27","2005","","","",""
"28","2005","","","",""
"30","2005","","","",""
"31","2005","","","",""
"32","2005","","","",""
"35","2005","","","",""
"36","2005","","","",""
"40","2005","","","",""
"42","2005","","","",""
"45","2005","","","",""
"48","2005","","","",""
"50","2005","","","",""
"51","2005","","","",""
"64","2005","","","",""
"65","2005","","","",""
"90","2005","","","",""
"98","2005","","","",""
"100","2005","","","",""
"0","2006","","","",""
"1","2006","1885","","",""
"2","2006","437","0.169730173644541","0.155044279767517","0.184416067521566"
"3","2006","119","","",""
"4","2006","36","0.0156345888912715","0.0107813391979733","0.0204878385845698"
"5","2006","12","","",""
"6","2006","4","0.000790014516068211","-0.000309135950644283","0.0018891649827807"
"7","2006","8","0.00269265096374102","0.000665361465533791","0.00471994046194824"
"8","2006","","","",""
"9","2006","","","",""
"10","2006","","","",""
"11","2006","1","","",""
"12","2006","3","","",""
"13","2006","","","",""
"14","2006","","","",""
"15","2006","2","","",""
"16","2006","","","",""
"17","2006","","","",""
"18","2006","","","",""
"19","2006","1","","",""
"20","2006","1","","",""
"21","2006","","","",""
"22","2006","","","",""
"23","2006","","","",""
"24","2006","","","",""
"25","2006","","","",""
"26","2006","","","",""
"27","2006","","","",""
"28","2006","","","",""
"30","2006","1","","",""
"31","2006","","","",""
"32","2006","","","",""
"35","2006","","","",""
"36","2006","","","",""
"40","2006","","","",""
"42","2006","","","",""
