"ple0055","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"30","1985","46-65","1","","",""
"30","1985","66","","","",""
"31","1985","17-29","","","",""
"31","1985","30-45","","","",""
"31","1985","46-65","","","",""
"31","1985","66","","","",""
"32","1985","17-29","","","",""
"32","1985","30-45","","","",""
"32","1985","46-65","","","",""
"32","1985","66","","","",""
"35","1985","17-29","","","",""
"35","1985","30-45","","","",""
"35","1985","46-65","","","",""
"35","1985","66","","","",""
"36","1985","17-29","","","",""
"36","1985","30-45","","","",""
"36","1985","46-65","","","",""
"36","1985","66","","","",""
"40","1985","17-29","","","",""
"40","1985","30-45","","","",""
"40","1985","46-65","","","",""
"40","1985","66","","","",""
"42","1985","17-29","","","",""
"42","1985","30-45","","","",""
"42","1985","46-65","","","",""
"42","1985","66","","","",""
"45","1985","17-29","","","",""
"45","1985","30-45","","","",""
"45","1985","46-65","","","",""
"45","1985","66","","","",""
"48","1985","17-29","","","",""
"48","1985","30-45","","","",""
"48","1985","46-65","","","",""
"48","1985","66","","","",""
"50","1985","17-29","","","",""
"50","1985","30-45","","","",""
"50","1985","46-65","","","",""
"50","1985","66","","","",""
"51","1985","17-29","","","",""
"51","1985","30-45","","","",""
"51","1985","46-65","","","",""
"51","1985","66","","","",""
"64","1985","17-29","","","",""
"64","1985","30-45","","","",""
"64","1985","46-65","","","",""
"64","1985","66","","","",""
"65","1985","17-29","","","",""
"65","1985","30-45","","","",""
"65","1985","46-65","","","",""
"65","1985","66","","","",""
"90","1985","17-29","","","",""
"90","1985","30-45","","","",""
"90","1985","46-65","","","",""
"90","1985","66","","","",""
"98","1985","17-29","","","",""
"98","1985","30-45","","","",""
"98","1985","46-65","","","",""
"98","1985","66","","","",""
"100","1985","17-29","","","",""
"100","1985","30-45","","","",""
"100","1985","46-65","","","",""
"100","1985","66","","","",""
"0","1986","17-29","2","","",""
"0","1986","30-45","","","",""
"0","1986","46-65","","","",""
"0","1986","66","","","",""
"1","1986","17-29","271","0.786536541908616","0.742853692095284","0.830219391721948"
"1","1986","30-45","274","0.826239049891623","0.785171086670625","0.86730701311262"
"1","1986","46-65","278","0.760662222832304","0.716586606766787","0.804737838897822"
"1","1986","66","","","",""
"2","1986","17-29","41","0.129754755049924","0.0939309088722565","0.165578601227591"
"2","1986","30-45","33","0.102200475598778","0.0693690033088401","0.135031947888716"
"2","1986","46-65","62","0.183186256386121","0.143228158851553","0.22314435392069"
"2","1986","66","","","",""
"3","1986","17-29","12","","",""
"3","1986","30-45","3","","",""
"3","1986","46-65","10","","",""
"3","1986","66","","","",""
"4","1986","17-29","1","","",""
"4","1986","30-45","5","","",""
"4","1986","46-65","2","","",""
"4","1986","66","","","",""
"5","1986","17-29","3","","",""
"5","1986","30-45","1","","",""
"5","1986","46-65","2","","",""
"5","1986","66","","","",""
"6","1986","17-29","3","","",""
"6","1986","30-45","1","","",""
"6","1986","46-65","","","",""
"6","1986","66","","","",""
"7","1986","17-29","1","","",""
"7","1986","30-45","2","","",""
"7","1986","46-65","","","",""
"7","1986","66","","","",""
"8","1986","17-29","1","","",""
"8","1986","30-45","1","","",""
"8","1986","46-65","","","",""
"8","1986","66","","","",""
"9","1986","17-29","2","","",""
"9","1986","30-45","1","","",""
"9","1986","46-65","1","","",""
"9","1986","66","","","",""
"10","1986","17-29","","","",""
"10","1986","30-45","1","","",""
"10","1986","46-65","3","","",""
"10","1986","66","","","",""
"11","1986","17-29","","","",""
"11","1986","30-45","","","",""
"11","1986","46-65","","","",""
"11","1986","66","","","",""
"12","1986","17-29","","","",""
"12","1986","30-45","","","",""
"12","1986","46-65","","","",""
"12","1986","66","","","",""
"13","1986","17-29","","","",""
"13","1986","30-45","","","",""
"13","1986","46-65","","","",""
"13","1986","66","","","",""
"14","1986","17-29","","","",""
"14","1986","30-45","1","","",""
"14","1986","46-65","","","",""
"14","1986","66","","","",""
"15","1986","17-29","1","","",""
"15","1986","30-45","","","",""
"15","1986","46-65","","","",""
"15","1986","66","","","",""
"16","1986","17-29","","","",""
"16","1986","30-45","1","","",""
"16","1986","46-65","","","",""
"16","1986","66","","","",""
"17","1986","17-29","","","",""
"17","1986","30-45","","","",""
"17","1986","46-65","","","",""
"17","1986","66","","","",""
"18","1986","17-29","","","",""
"18","1986","30-45","","","",""
"18","1986","46-65","","","",""
"18","1986","66","","","",""
"19","1986","17-29","","","",""
"19","1986","30-45","","","",""
"19","1986","46-65","","","",""
"19","1986","66","","","",""
"20","1986","17-29","","","",""
"20","1986","30-45","","","",""
"20","1986","46-65","","","",""
"20","1986","66","","","",""
"21","1986","17-29","","","",""
"21","1986","30-45","1","","",""
"21","1986","46-65","","","",""
"21","1986","66","","","",""
"22","1986","17-29","","","",""
"22","1986","30-45","","","",""
"22","1986","46-65","","","",""
"22","1986","66","","","",""
"23","1986","17-29","","","",""
"23","1986","30-45","","","",""
"23","1986","46-65","","","",""
"23","1986","66","","","",""
"24","1986","17-29","","","",""
"24","1986","30-45","","","",""
"24","1986","46-65","","","",""
"24","1986","66","","","",""
"25","1986","17-29","","","",""
"25","1986","30-45","","","",""
"25","1986","46-65","","","",""
"25","1986","66","","","",""
"26","1986","17-29","","","",""
"26","1986","30-45","","","",""
"26","1986","46-65","","","",""
"26","1986","66","","","",""
"27","1986","17-29","","","",""
"27","1986","30-45","","","",""
"27","1986","46-65","","","",""
"27","1986","66","","","",""
"28","1986","17-29","","","",""
"28","1986","30-45","","","",""
"28","1986","46-65","","","",""
"28","1986","66","","","",""
"30","1986","17-29","","","",""
"30","1986","30-45","","","",""
"30","1986","46-65","1","","",""
"30","1986","66","","","",""
"31","1986","17-29","","","",""
"31","1986","30-45","","","",""
"31","1986","46-65","1","","",""
"31","1986","66","","","",""
"32","1986","17-29","","","",""
"32","1986","30-45","","","",""
"32","1986","46-65","","","",""
"32","1986","66","","","",""
"35","1986","17-29","","","",""
"35","1986","30-45","","","",""
"35","1986","46-65","","","",""
"35","1986","66","","","",""
"36","1986","17-29","","","",""
"36","1986","30-45","","","",""
"36","1986","46-65","","","",""
"36","1986","66","","","",""
"40","1986","17-29","","","",""
"40","1986","30-45","","","",""
"40","1986","46-65","","","",""
"40","1986","66","","","",""
"42","1986","17-29","","","",""
"42","1986","30-45","","","",""
"42","1986","46-65","","","",""
"42","1986","66","","","",""
"45","1986","17-29","","","",""
"45","1986","30-45","","","",""
"45","1986","46-65","","","",""
"45","1986","66","","","",""
"48","1986","17-29","","","",""
"48","1986","30-45","1","","",""
"48","1986","46-65","","","",""
"48","1986","66","","","",""
"50","1986","17-29","","","",""
"50","1986","30-45","","","",""
"50","1986","46-65","","","",""
"50","1986","66","","","",""
"51","1986","17-29","","","",""
"51","1986","30-45","1","","",""
"51","1986","46-65","","","",""
"51","1986","66","","","",""
"64","1986","17-29","","","",""
"64","1986","30-45","","","",""
"64","1986","46-65","","","",""
"64","1986","66","","","",""
"65","1986","17-29","","","",""
"65","1986","30-45","","","",""
"65","1986","46-65","","","",""
"65","1986","66","","","",""
"90","1986","17-29","","","",""
"90","1986","30-45","","","",""
"90","1986","46-65","","","",""
"90","1986","66","","","",""
"98","1986","17-29","","","",""
"98","1986","30-45","","","",""
"98","1986","46-65","","","",""
"98","1986","66","","","",""
"100","1986","17-29","","","",""
"100","1986","30-45","","","",""
"100","1986","46-65","","","",""
"100","1986","66","","","",""
"0","1987","17-29","1","","",""
"0","1987","30-45","2","","",""
"0","1987","46-65","","","",""
"0","1987","66","","","",""
"1","1987","17-29","282","0.829021229662352","0.788824838729369","0.869217620595336"
"1","1987","30-45","265","0.838791270090694","0.797856865930704","0.879725674250683"
"1","1987","46-65","254","0.784466825168173","0.739273022479957","0.829660627856389"
"1","1987","66","","","",""
"2","1987","17-29","30","0.111705352382515","0.0780736652145076","0.145337039550522"
"2","1987","30-45","32","0.11037017756914","0.0754884664346292","0.14525188870365"
"2","1987","46-65","42","0.139677321931172","0.101577042017353","0.177777601844992"
"2","1987","66","","","",""
"3","1987","17-29","11","","",""
"3","1987","30-45","","","",""
"3","1987","46-65","8","","",""
"3","1987","66","","","",""
"4","1987","17-29","1","","",""
"4","1987","30-45","4","","",""
"4","1987","46-65","2","","",""
"4","1987","66","","","",""
"5","1987","17-29","3","","",""
"5","1987","30-45","2","","",""
"5","1987","46-65","1","","",""
"5","1987","66","","","",""
"6","1987","17-29","2","","",""
"6","1987","30-45","","","",""
"6","1987","46-65","3","","",""
"6","1987","66","","","",""
"7","1987","17-29","1","","",""
"7","1987","30-45","","","",""
"7","1987","46-65","3","","",""
"7","1987","66","","","",""
"8","1987","17-29","","","",""
"8","1987","30-45","1","","",""
"8","1987","46-65","","","",""
"8","1987","66","","","",""
"9","1987","17-29","","","",""
"9","1987","30-45","","","",""
"9","1987","46-65","","","",""
"9","1987","66","","","",""
"10","1987","17-29","","","",""
"10","1987","30-45","","","",""
"10","1987","46-65","","","",""
"10","1987","66","","","",""
"11","1987","17-29","2","","",""
"11","1987","30-45","","","",""
"11","1987","46-65","","","",""
"11","1987","66","","","",""
"12","1987","17-29","","","",""
"12","1987","30-45","","","",""
"12","1987","46-65","2","","",""
"12","1987","66","","","",""
"13","1987","17-29","1","","",""
"13","1987","30-45","1","","",""
"13","1987","46-65","","","",""
"13","1987","66","","","",""
"14","1987","17-29","2","","",""
"14","1987","30-45","1","","",""
"14","1987","46-65","1","","",""
"14","1987","66","","","",""
"15","1987","17-29","","","",""
"15","1987","30-45","","","",""
"15","1987","46-65","1","","",""
"15","1987","66","","","",""
"16","1987","17-29","","","",""
"16","1987","30-45","1","","",""
"16","1987","46-65","","","",""
"16","1987","66","","","",""
"17","1987","17-29","","","",""
"17","1987","30-45","","","",""
"17","1987","46-65","","","",""
"17","1987","66","","","",""
"18","1987","17-29","","","",""
"18","1987","30-45","","","",""
"18","1987","46-65","","","",""
"18","1987","66","","","",""
"19","1987","17-29","","","",""
"19","1987","30-45","","","",""
"19","1987","46-65","","","",""
"19","1987","66","","","",""
"20","1987","17-29","","","",""
"20","1987","30-45","","","",""
"20","1987","46-65","","","",""
"20","1987","66","","","",""
"21","1987","17-29","","","",""
"21","1987","30-45","","","",""
"21","1987","46-65","","","",""
"21","1987","66","","","",""
"22","1987","17-29","","","",""
"22","1987","30-45","","","",""
"22","1987","46-65","","","",""
"22","1987","66","","","",""
"23","1987","17-29","","","",""
"23","1987","30-45","","","",""
"23","1987","46-65","","","",""
"23","1987","66","","","",""
"24","1987","17-29","","","",""
"24","1987","30-45","","","",""
"24","1987","46-65","","","",""
"24","1987","66","","","",""
"25","1987","17-29","","","",""
"25","1987","30-45","","","",""
"25","1987","46-65","","","",""
"25","1987","66","","","",""
"26","1987","17-29","","","",""
"26","1987","30-45","","","",""
"26","1987","46-65","","","",""
"26","1987","66","","","",""
"27","1987","17-29","","","",""
"27","1987","30-45","","","",""
"27","1987","46-65","","","",""
"27","1987","66","","","",""
"28","1987","17-29","","","",""
"28","1987","30-45","","","",""
"28","1987","46-65","1","","",""
"28","1987","66","","","",""
"30","1987","17-29","","","",""
"30","1987","30-45","1","","",""
"30","1987","46-65","","","",""
"30","1987","66","","","",""
"31","1987","17-29","","","",""
"31","1987","30-45","","","",""
"31","1987","46-65","","","",""
"31","1987","66","","","",""
"32","1987","17-29","","","",""
"32","1987","30-45","","","",""
"32","1987","46-65","","","",""
"32","1987","66","","","",""
"35","1987","17-29","1","","",""
"35","1987","30-45","","","",""
"35","1987","46-65","","","",""
"35","1987","66","","","",""
"36","1987","17-29","","","",""
"36","1987","30-45","","","",""
"36","1987","46-65","","","",""
"36","1987","66","","","",""
"40","1987","17-29","","","",""
"40","1987","30-45","","","",""
"40","1987","46-65","","","",""
"40","1987","66","","","",""
"42","1987","17-29","","","",""
"42","1987","30-45","","","",""
"42","1987","46-65","","","",""
"42","1987","66","","","",""
"45","1987","17-29","","","",""
"45","1987","30-45","","","",""
"45","1987","46-65","","","",""
"45","1987","66","","","",""
"48","1987","17-29","","","",""
"48","1987","30-45","","","",""
"48","1987","46-65","","","",""
"48","1987","66","","","",""
"50","1987","17-29","","","",""
"50","1987","30-45","","","",""
"50","1987","46-65","","","",""
"50","1987","66","","","",""
"51","1987","17-29","","","",""
"51","1987","30-45","","","",""
"51","1987","46-65","","","",""
"51","1987","66","","","",""
"64","1987","17-29","","","",""
"64","1987","30-45","","","",""
"64","1987","46-65","","","",""
"64","1987","66","","","",""
"65","1987","17-29","","","",""
"65","1987","30-45","","","",""
"65","1987","46-65","","","",""
"65","1987","66","","","",""
"90","1987","17-29","","","",""
"90","1987","30-45","","","",""
"90","1987","46-65","","","",""
"90","1987","66","","","",""
"98","1987","17-29","","","",""
"98","1987","30-45","","","",""
"98","1987","46-65","","","",""
"98","1987","66","","","",""
"100","1987","17-29","","","",""
"100","1987","30-45","","","",""
"100","1987","46-65","","","",""
"100","1987","66","","","",""
"0","1988","17-29","1","","",""
"0","1988","30-45","","","",""
"0","1988","46-65","","","",""
"0","1988","66","","","",""
"1","1988","17-29","258","0.844790317081874","0.804738969184874","0.884841664978874"
"1","1988","30-45","245","0.815467210636837","0.771423897232122","0.859510524041553"
"1","1988","46-65","266","0.796028921576741","0.752685043237589","0.839372799915893"
"1","1988","66","","","",""
"2","1988","17-29","32","0.0757846599899864","0.0465121133573667","0.105057206622606"
"2","1988","30-45","35","0.125258172319208","0.0876759081342201","0.162840436504196"
"2","1988","46-65","41","0.13264051761294","0.0961553186808794","0.169125716545001"
"2","1988","66","","","",""
"3","1988","17-29","10","","",""
"3","1988","30-45","4","","",""
"3","1988","46-65","10","","",""
"3","1988","66","","","",""
"4","1988","17-29","2","","",""
"4","1988","30-45","1","","",""
"4","1988","46-65","4","","",""
"4","1988","66","","","",""
"5","1988","17-29","2","","",""
"5","1988","30-45","2","","",""
"5","1988","46-65","3","","",""
"5","1988","66","","","",""
"6","1988","17-29","1","","",""
"6","1988","30-45","2","","",""
"6","1988","46-65","2","","",""
"6","1988","66","","","",""
"7","1988","17-29","","","",""
"7","1988","30-45","","","",""
"7","1988","46-65","","","",""
"7","1988","66","","","",""
"8","1988","17-29","2","","",""
"8","1988","30-45","","","",""
"8","1988","46-65","","","",""
"8","1988","66","","","",""
"9","1988","17-29","1","","",""
"9","1988","30-45","","","",""
"9","1988","46-65","","","",""
"9","1988","66","","","",""
"10","1988","17-29","1","","",""
"10","1988","30-45","4","","",""
"10","1988","46-65","2","","",""
"10","1988","66","","","",""
"11","1988","17-29","","","",""
"11","1988","30-45","","","",""
"11","1988","46-65","1","","",""
"11","1988","66","","","",""
"12","1988","17-29","1","","",""
"12","1988","30-45","","","",""
"12","1988","46-65","","","",""
"12","1988","66","","","",""
"13","1988","17-29","","","",""
"13","1988","30-45","2","","",""
"13","1988","46-65","","","",""
"13","1988","66","","","",""
"14","1988","17-29","2","","",""
"14","1988","30-45","2","","",""
"14","1988","46-65","1","","",""
"14","1988","66","","","",""
"15","1988","17-29","","","",""
"15","1988","30-45","1","","",""
"15","1988","46-65","","","",""
"15","1988","66","","","",""
"16","1988","17-29","1","","",""
"16","1988","30-45","","","",""
"16","1988","46-65","","","",""
"16","1988","66","","","",""
"17","1988","17-29","","","",""
"17","1988","30-45","","","",""
"17","1988","46-65","","","",""
"17","1988","66","","","",""
"18","1988","17-29","","","",""
"18","1988","30-45","","","",""
"18","1988","46-65","","","",""
"18","1988","66","","","",""
"19","1988","17-29","","","",""
"19","1988","30-45","","","",""
"19","1988","46-65","","","",""
"19","1988","66","","","",""
"20","1988","17-29","","","",""
"20","1988","30-45","","","",""
"20","1988","46-65","","","",""
"20","1988","66","","","",""
"21","1988","17-29","","","",""
"21","1988","30-45","","","",""
"21","1988","46-65","","","",""
"21","1988","66","","","",""
"22","1988","17-29","","","",""
"22","1988","30-45","","","",""
"22","1988","46-65","","","",""
"22","1988","66","","","",""
"23","1988","17-29","","","",""
"23","1988","30-45","","","",""
"23","1988","46-65","","","",""
"23","1988","66","","","",""
"24","1988","17-29","","","",""
"24","1988","30-45","","","",""
"24","1988","46-65","","","",""
"24","1988","66","","","",""
"25","1988","17-29","","","",""
"25","1988","30-45","","","",""
"25","1988","46-65","","","",""
"25","1988","66","","","",""
"26","1988","17-29","","","",""
"26","1988","30-45","","","",""
"26","1988","46-65","","","",""
"26","1988","66","","","",""
"27","1988","17-29","","","",""
"27","1988","30-45","","","",""
"27","1988","46-65","","","",""
"27","1988","66","","","",""
"28","1988","17-29","","","",""
"28","1988","30-45","","","",""
"28","1988","46-65","1","","",""
"28","1988","66","","","",""
"30","1988","17-29","","","",""
"30","1988","30-45","","","",""
"30","1988","46-65","","","",""
"30","1988","66","","","",""
"31","1988","17-29","","","",""
"31","1988","30-45","","","",""
"31","1988","46-65","","","",""
"31","1988","66","","","",""
"32","1988","17-29","","","",""
"32","1988","30-45","","","",""
"32","1988","46-65","","","",""
"32","1988","66","","","",""
"35","1988","17-29","","","",""
"35","1988","30-45","","","",""
"35","1988","46-65","1","","",""
"35","1988","66","","","",""
"36","1988","17-29","","","",""
"36","1988","30-45","","","",""
"36","1988","46-65","","","",""
"36","1988","66","","","",""
"40","1988","17-29","","","",""
"40","1988","30-45","","","",""
"40","1988","46-65","","","",""
"40","1988","66","","","",""
"42","1988","17-29","","","",""
"42","1988","30-45","","","",""
"42","1988","46-65","","","",""
"42","1988","66","","","",""
"45","1988","17-29","","","",""
"45","1988","30-45","","","",""
"45","1988","46-65","","","",""
"45","1988","66","","","",""
"48","1988","17-29","","","",""
"48","1988","30-45","","","",""
"48","1988","46-65","","","",""
"48","1988","66","","","",""
"50","1988","17-29","","","",""
"50","1988","30-45","","","",""
"50","1988","46-65","","","",""
"50","1988","66","","","",""
"51","1988","17-29","","","",""
"51","1988","30-45","","","",""
"51","1988","46-65","","","",""
"51","1988","66","","","",""
"64","1988","17-29","","","",""
"64","1988","30-45","","","",""
"64","1988","46-65","","","",""
"64","1988","66","","","",""
"65","1988","17-29","","","",""
"65","1988","30-45","","","",""
"65","1988","46-65","","","",""
"65","1988","66","","","",""
"90","1988","17-29","","","",""
"90","1988","30-45","","","",""
"90","1988","46-65","","","",""
"90","1988","66","","","",""
"98","1988","17-29","","","",""
"98","1988","30-45","","","",""
"98","1988","46-65","","","",""
"98","1988","66","","","",""
"100","1988","17-29","","","",""
"100","1988","30-45","","","",""
"100","1988","46-65","","","",""
"100","1988","66","","","",""
"0","1989","17-29","","","",""
"0","1989","30-45","","","",""
"0","1989","46-65","","","",""
"0","1989","66","","","",""
"1","1989","17-29","261","0.812738823166575","0.769311143953746","0.856166502379404"
