"ple0055","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"26","1985","46-65","Ländlicher Raum","","","",""
"26","1985","66","Städtischer Raum","","","",""
"26","1985","66","Ländlicher Raum","","","",""
"27","1985","17-29","Städtischer Raum","","","",""
"27","1985","17-29","Ländlicher Raum","","","",""
"27","1985","30-45","Städtischer Raum","","","",""
"27","1985","30-45","Ländlicher Raum","","","",""
"27","1985","46-65","Städtischer Raum","","","",""
"27","1985","46-65","Ländlicher Raum","","","",""
"27","1985","66","Städtischer Raum","","","",""
"27","1985","66","Ländlicher Raum","","","",""
"28","1985","17-29","Städtischer Raum","","","",""
"28","1985","17-29","Ländlicher Raum","","","",""
"28","1985","30-45","Städtischer Raum","","","",""
"28","1985","30-45","Ländlicher Raum","","","",""
"28","1985","46-65","Städtischer Raum","","","",""
"28","1985","46-65","Ländlicher Raum","","","",""
"28","1985","66","Städtischer Raum","","","",""
"28","1985","66","Ländlicher Raum","","","",""
"30","1985","17-29","Städtischer Raum","","","",""
"30","1985","17-29","Ländlicher Raum","","","",""
"30","1985","30-45","Städtischer Raum","","","",""
"30","1985","30-45","Ländlicher Raum","","","",""
"30","1985","46-65","Städtischer Raum","1","","",""
"30","1985","46-65","Ländlicher Raum","","","",""
"30","1985","66","Städtischer Raum","","","",""
"30","1985","66","Ländlicher Raum","","","",""
"31","1985","17-29","Städtischer Raum","","","",""
"31","1985","17-29","Ländlicher Raum","","","",""
"31","1985","30-45","Städtischer Raum","","","",""
"31","1985","30-45","Ländlicher Raum","","","",""
"31","1985","46-65","Städtischer Raum","","","",""
"31","1985","46-65","Ländlicher Raum","","","",""
"31","1985","66","Städtischer Raum","","","",""
"31","1985","66","Ländlicher Raum","","","",""
"32","1985","17-29","Städtischer Raum","","","",""
"32","1985","17-29","Ländlicher Raum","","","",""
"32","1985","30-45","Städtischer Raum","","","",""
"32","1985","30-45","Ländlicher Raum","","","",""
"32","1985","46-65","Städtischer Raum","","","",""
"32","1985","46-65","Ländlicher Raum","","","",""
"32","1985","66","Städtischer Raum","","","",""
"32","1985","66","Ländlicher Raum","","","",""
"35","1985","17-29","Städtischer Raum","","","",""
"35","1985","17-29","Ländlicher Raum","","","",""
"35","1985","30-45","Städtischer Raum","","","",""
"35","1985","30-45","Ländlicher Raum","","","",""
"35","1985","46-65","Städtischer Raum","","","",""
"35","1985","46-65","Ländlicher Raum","","","",""
"35","1985","66","Städtischer Raum","","","",""
"35","1985","66","Ländlicher Raum","","","",""
"36","1985","17-29","Städtischer Raum","","","",""
"36","1985","17-29","Ländlicher Raum","","","",""
"36","1985","30-45","Städtischer Raum","","","",""
"36","1985","30-45","Ländlicher Raum","","","",""
"36","1985","46-65","Städtischer Raum","","","",""
"36","1985","46-65","Ländlicher Raum","","","",""
"36","1985","66","Städtischer Raum","","","",""
"36","1985","66","Ländlicher Raum","","","",""
"40","1985","17-29","Städtischer Raum","","","",""
"40","1985","17-29","Ländlicher Raum","","","",""
"40","1985","30-45","Städtischer Raum","","","",""
"40","1985","30-45","Ländlicher Raum","","","",""
"40","1985","46-65","Städtischer Raum","","","",""
"40","1985","46-65","Ländlicher Raum","","","",""
"40","1985","66","Städtischer Raum","","","",""
"40","1985","66","Ländlicher Raum","","","",""
"42","1985","17-29","Städtischer Raum","","","",""
"42","1985","17-29","Ländlicher Raum","","","",""
"42","1985","30-45","Städtischer Raum","","","",""
"42","1985","30-45","Ländlicher Raum","","","",""
"42","1985","46-65","Städtischer Raum","","","",""
"42","1985","46-65","Ländlicher Raum","","","",""
"42","1985","66","Städtischer Raum","","","",""
"42","1985","66","Ländlicher Raum","","","",""
"45","1985","17-29","Städtischer Raum","","","",""
"45","1985","17-29","Ländlicher Raum","","","",""
"45","1985","30-45","Städtischer Raum","","","",""
"45","1985","30-45","Ländlicher Raum","","","",""
"45","1985","46-65","Städtischer Raum","","","",""
"45","1985","46-65","Ländlicher Raum","","","",""
"45","1985","66","Städtischer Raum","","","",""
"45","1985","66","Ländlicher Raum","","","",""
"48","1985","17-29","Städtischer Raum","","","",""
"48","1985","17-29","Ländlicher Raum","","","",""
"48","1985","30-45","Städtischer Raum","","","",""
"48","1985","30-45","Ländlicher Raum","","","",""
"48","1985","46-65","Städtischer Raum","","","",""
"48","1985","46-65","Ländlicher Raum","","","",""
"48","1985","66","Städtischer Raum","","","",""
"48","1985","66","Ländlicher Raum","","","",""
"50","1985","17-29","Städtischer Raum","","","",""
"50","1985","17-29","Ländlicher Raum","","","",""
"50","1985","30-45","Städtischer Raum","","","",""
"50","1985","30-45","Ländlicher Raum","","","",""
"50","1985","46-65","Städtischer Raum","","","",""
"50","1985","46-65","Ländlicher Raum","","","",""
"50","1985","66","Städtischer Raum","","","",""
"50","1985","66","Ländlicher Raum","","","",""
"51","1985","17-29","Städtischer Raum","","","",""
"51","1985","17-29","Ländlicher Raum","","","",""
"51","1985","30-45","Städtischer Raum","","","",""
"51","1985","30-45","Ländlicher Raum","","","",""
"51","1985","46-65","Städtischer Raum","","","",""
"51","1985","46-65","Ländlicher Raum","","","",""
"51","1985","66","Städtischer Raum","","","",""
"51","1985","66","Ländlicher Raum","","","",""
"64","1985","17-29","Städtischer Raum","","","",""
"64","1985","17-29","Ländlicher Raum","","","",""
"64","1985","30-45","Städtischer Raum","","","",""
"64","1985","30-45","Ländlicher Raum","","","",""
"64","1985","46-65","Städtischer Raum","","","",""
"64","1985","46-65","Ländlicher Raum","","","",""
"64","1985","66","Städtischer Raum","","","",""
"64","1985","66","Ländlicher Raum","","","",""
"65","1985","17-29","Städtischer Raum","","","",""
"65","1985","17-29","Ländlicher Raum","","","",""
"65","1985","30-45","Städtischer Raum","","","",""
"65","1985","30-45","Ländlicher Raum","","","",""
"65","1985","46-65","Städtischer Raum","","","",""
"65","1985","46-65","Ländlicher Raum","","","",""
"65","1985","66","Städtischer Raum","","","",""
"65","1985","66","Ländlicher Raum","","","",""
"90","1985","17-29","Städtischer Raum","","","",""
"90","1985","17-29","Ländlicher Raum","","","",""
"90","1985","30-45","Städtischer Raum","","","",""
"90","1985","30-45","Ländlicher Raum","","","",""
"90","1985","46-65","Städtischer Raum","","","",""
"90","1985","46-65","Ländlicher Raum","","","",""
"90","1985","66","Städtischer Raum","","","",""
"90","1985","66","Ländlicher Raum","","","",""
"98","1985","17-29","Städtischer Raum","","","",""
"98","1985","17-29","Ländlicher Raum","","","",""
"98","1985","30-45","Städtischer Raum","","","",""
"98","1985","30-45","Ländlicher Raum","","","",""
"98","1985","46-65","Städtischer Raum","","","",""
"98","1985","46-65","Ländlicher Raum","","","",""
"98","1985","66","Städtischer Raum","","","",""
"98","1985","66","Ländlicher Raum","","","",""
"100","1985","17-29","Städtischer Raum","","","",""
"100","1985","17-29","Ländlicher Raum","","","",""
"100","1985","30-45","Städtischer Raum","","","",""
"100","1985","30-45","Ländlicher Raum","","","",""
"100","1985","46-65","Städtischer Raum","","","",""
"100","1985","46-65","Ländlicher Raum","","","",""
"100","1985","66","Städtischer Raum","","","",""
"100","1985","66","Ländlicher Raum","","","",""
"0","1986","17-29","Städtischer Raum","2","","",""
"0","1986","17-29","Ländlicher Raum","","","",""
"0","1986","30-45","Städtischer Raum","","","",""
"0","1986","30-45","Ländlicher Raum","","","",""
"0","1986","46-65","Städtischer Raum","","","",""
"0","1986","46-65","Ländlicher Raum","","","",""
"0","1986","66","Städtischer Raum","","","",""
"0","1986","66","Ländlicher Raum","","","",""
"1","1986","17-29","Städtischer Raum","219","0.781523973621651","0.73223619382789","0.830811753415411"
"1","1986","17-29","Ländlicher Raum","52","0.80213727427471","0.707448176737523","0.896826371811897"
"1","1986","30-45","Städtischer Raum","223","0.8331504978896","0.788175586724591","0.878125409054609"
"1","1986","30-45","Ländlicher Raum","51","0.802290703177907","0.703944580620864","0.90063682573495"
"1","1986","46-65","Städtischer Raum","227","0.759478498250181","0.710540187341573","0.808416809158789"
"1","1986","46-65","Ländlicher Raum","51","0.765112195506321","0.663603444020254","0.866620946992388"
"1","1986","66","Städtischer Raum","","","",""
"1","1986","66","Ländlicher Raum","","","",""
"2","1986","17-29","Städtischer Raum","29","","",""
"2","1986","17-29","Ländlicher Raum","12","","",""
"2","1986","30-45","Städtischer Raum","26","","",""
"2","1986","30-45","Ländlicher Raum","7","","",""
"2","1986","46-65","Städtischer Raum","49","0.175310965336991","0.131773420826783","0.218848509847199"
"2","1986","46-65","Ländlicher Raum","13","","",""
"2","1986","66","Städtischer Raum","","","",""
"2","1986","66","Ländlicher Raum","","","",""
"3","1986","17-29","Städtischer Raum","9","","",""
"3","1986","17-29","Ländlicher Raum","3","","",""
"3","1986","30-45","Städtischer Raum","2","","",""
"3","1986","30-45","Ländlicher Raum","1","","",""
"3","1986","46-65","Städtischer Raum","9","","",""
"3","1986","46-65","Ländlicher Raum","1","","",""
"3","1986","66","Städtischer Raum","","","",""
"3","1986","66","Ländlicher Raum","","","",""
"4","1986","17-29","Städtischer Raum","1","","",""
"4","1986","17-29","Ländlicher Raum","","","",""
"4","1986","30-45","Städtischer Raum","5","","",""
"4","1986","30-45","Ländlicher Raum","","","",""
"4","1986","46-65","Städtischer Raum","2","","",""
"4","1986","46-65","Ländlicher Raum","","","",""
"4","1986","66","Städtischer Raum","","","",""
"4","1986","66","Ländlicher Raum","","","",""
"5","1986","17-29","Städtischer Raum","2","","",""
"5","1986","17-29","Ländlicher Raum","1","","",""
"5","1986","30-45","Städtischer Raum","1","","",""
"5","1986","30-45","Ländlicher Raum","","","",""
"5","1986","46-65","Städtischer Raum","2","","",""
"5","1986","46-65","Ländlicher Raum","","","",""
"5","1986","66","Städtischer Raum","","","",""
"5","1986","66","Ländlicher Raum","","","",""
"6","1986","17-29","Städtischer Raum","3","","",""
"6","1986","17-29","Ländlicher Raum","","","",""
"6","1986","30-45","Städtischer Raum","1","","",""
"6","1986","30-45","Ländlicher Raum","","","",""
"6","1986","46-65","Städtischer Raum","","","",""
"6","1986","46-65","Ländlicher Raum","","","",""
"6","1986","66","Städtischer Raum","","","",""
"6","1986","66","Ländlicher Raum","","","",""
"7","1986","17-29","Städtischer Raum","1","","",""
"7","1986","17-29","Ländlicher Raum","","","",""
"7","1986","30-45","Städtischer Raum","1","","",""
"7","1986","30-45","Ländlicher Raum","1","","",""
"7","1986","46-65","Städtischer Raum","","","",""
"7","1986","46-65","Ländlicher Raum","","","",""
"7","1986","66","Städtischer Raum","","","",""
"7","1986","66","Ländlicher Raum","","","",""
"8","1986","17-29","Städtischer Raum","1","","",""
"8","1986","17-29","Ländlicher Raum","","","",""
"8","1986","30-45","Städtischer Raum","1","","",""
"8","1986","30-45","Ländlicher Raum","","","",""
"8","1986","46-65","Städtischer Raum","","","",""
"8","1986","46-65","Ländlicher Raum","","","",""
"8","1986","66","Städtischer Raum","","","",""
"8","1986","66","Ländlicher Raum","","","",""
"9","1986","17-29","Städtischer Raum","2","","",""
"9","1986","17-29","Ländlicher Raum","","","",""
"9","1986","30-45","Städtischer Raum","","","",""
"9","1986","30-45","Ländlicher Raum","1","","",""
"9","1986","46-65","Städtischer Raum","","","",""
"9","1986","46-65","Ländlicher Raum","1","","",""
"9","1986","66","Städtischer Raum","","","",""
"9","1986","66","Ländlicher Raum","","","",""
"10","1986","17-29","Städtischer Raum","","","",""
"10","1986","17-29","Ländlicher Raum","","","",""
"10","1986","30-45","Städtischer Raum","1","","",""
"10","1986","30-45","Ländlicher Raum","","","",""
"10","1986","46-65","Städtischer Raum","2","","",""
"10","1986","46-65","Ländlicher Raum","1","","",""
"10","1986","66","Städtischer Raum","","","",""
"10","1986","66","Ländlicher Raum","","","",""
"11","1986","17-29","Städtischer Raum","","","",""
"11","1986","17-29","Ländlicher Raum","","","",""
"11","1986","30-45","Städtischer Raum","","","",""
"11","1986","30-45","Ländlicher Raum","","","",""
"11","1986","46-65","Städtischer Raum","","","",""
"11","1986","46-65","Ländlicher Raum","","","",""
"11","1986","66","Städtischer Raum","","","",""
"11","1986","66","Ländlicher Raum","","","",""
"12","1986","17-29","Städtischer Raum","","","",""
"12","1986","17-29","Ländlicher Raum","","","",""
"12","1986","30-45","Städtischer Raum","","","",""
"12","1986","30-45","Ländlicher Raum","","","",""
"12","1986","46-65","Städtischer Raum","","","",""
"12","1986","46-65","Ländlicher Raum","","","",""
"12","1986","66","Städtischer Raum","","","",""
"12","1986","66","Ländlicher Raum","","","",""
"13","1986","17-29","Städtischer Raum","","","",""
"13","1986","17-29","Ländlicher Raum","","","",""
"13","1986","30-45","Städtischer Raum","","","",""
"13","1986","30-45","Ländlicher Raum","","","",""
"13","1986","46-65","Städtischer Raum","","","",""
"13","1986","46-65","Ländlicher Raum","","","",""
"13","1986","66","Städtischer Raum","","","",""
"13","1986","66","Ländlicher Raum","","","",""
"14","1986","17-29","Städtischer Raum","","","",""
"14","1986","17-29","Ländlicher Raum","","","",""
"14","1986","30-45","Städtischer Raum","1","","",""
"14","1986","30-45","Ländlicher Raum","","","",""
"14","1986","46-65","Städtischer Raum","","","",""
"14","1986","46-65","Ländlicher Raum","","","",""
"14","1986","66","Städtischer Raum","","","",""
"14","1986","66","Ländlicher Raum","","","",""
"15","1986","17-29","Städtischer Raum","1","","",""
"15","1986","17-29","Ländlicher Raum","","","",""
"15","1986","30-45","Städtischer Raum","","","",""
"15","1986","30-45","Ländlicher Raum","","","",""
"15","1986","46-65","Städtischer Raum","","","",""
"15","1986","46-65","Ländlicher Raum","","","",""
"15","1986","66","Städtischer Raum","","","",""
"15","1986","66","Ländlicher Raum","","","",""
"16","1986","17-29","Städtischer Raum","","","",""
"16","1986","17-29","Ländlicher Raum","","","",""
"16","1986","30-45","Städtischer Raum","1","","",""
"16","1986","30-45","Ländlicher Raum","","","",""
"16","1986","46-65","Städtischer Raum","","","",""
"16","1986","46-65","Ländlicher Raum","","","",""
"16","1986","66","Städtischer Raum","","","",""
"16","1986","66","Ländlicher Raum","","","",""
"17","1986","17-29","Städtischer Raum","","","",""
"17","1986","17-29","Ländlicher Raum","","","",""
"17","1986","30-45","Städtischer Raum","","","",""
"17","1986","30-45","Ländlicher Raum","","","",""
"17","1986","46-65","Städtischer Raum","","","",""
"17","1986","46-65","Ländlicher Raum","","","",""
"17","1986","66","Städtischer Raum","","","",""
"17","1986","66","Ländlicher Raum","","","",""
"18","1986","17-29","Städtischer Raum","","","",""
"18","1986","17-29","Ländlicher Raum","","","",""
"18","1986","30-45","Städtischer Raum","","","",""
"18","1986","30-45","Ländlicher Raum","","","",""
"18","1986","46-65","Städtischer Raum","","","",""
"18","1986","46-65","Ländlicher Raum","","","",""
"18","1986","66","Städtischer Raum","","","",""
"18","1986","66","Ländlicher Raum","","","",""
"19","1986","17-29","Städtischer Raum","","","",""
"19","1986","17-29","Ländlicher Raum","","","",""
"19","1986","30-45","Städtischer Raum","","","",""
"19","1986","30-45","Ländlicher Raum","","","",""
"19","1986","46-65","Städtischer Raum","","","",""
"19","1986","46-65","Ländlicher Raum","","","",""
"19","1986","66","Städtischer Raum","","","",""
"19","1986","66","Ländlicher Raum","","","",""
"20","1986","17-29","Städtischer Raum","","","",""
"20","1986","17-29","Ländlicher Raum","","","",""
"20","1986","30-45","Städtischer Raum","","","",""
"20","1986","30-45","Ländlicher Raum","","","",""
"20","1986","46-65","Städtischer Raum","","","",""
"20","1986","46-65","Ländlicher Raum","","","",""
"20","1986","66","Städtischer Raum","","","",""
"20","1986","66","Ländlicher Raum","","","",""
"21","1986","17-29","Städtischer Raum","","","",""
"21","1986","17-29","Ländlicher Raum","","","",""
"21","1986","30-45","Städtischer Raum","1","","",""
"21","1986","30-45","Ländlicher Raum","","","",""
"21","1986","46-65","Städtischer Raum","","","",""
"21","1986","46-65","Ländlicher Raum","","","",""
"21","1986","66","Städtischer Raum","","","",""
"21","1986","66","Ländlicher Raum","","","",""
"22","1986","17-29","Städtischer Raum","","","",""
"22","1986","17-29","Ländlicher Raum","","","",""
"22","1986","30-45","Städtischer Raum","","","",""
"22","1986","30-45","Ländlicher Raum","","","",""
"22","1986","46-65","Städtischer Raum","","","",""
"22","1986","46-65","Ländlicher Raum","","","",""
"22","1986","66","Städtischer Raum","","","",""
"22","1986","66","Ländlicher Raum","","","",""
"23","1986","17-29","Städtischer Raum","","","",""
"23","1986","17-29","Ländlicher Raum","","","",""
"23","1986","30-45","Städtischer Raum","","","",""
"23","1986","30-45","Ländlicher Raum","","","",""
"23","1986","46-65","Städtischer Raum","","","",""
"23","1986","46-65","Ländlicher Raum","","","",""
"23","1986","66","Städtischer Raum","","","",""
"23","1986","66","Ländlicher Raum","","","",""
"24","1986","17-29","Städtischer Raum","","","",""
"24","1986","17-29","Ländlicher Raum","","","",""
"24","1986","30-45","Städtischer Raum","","","",""
"24","1986","30-45","Ländlicher Raum","","","",""
"24","1986","46-65","Städtischer Raum","","","",""
"24","1986","46-65","Ländlicher Raum","","","",""
"24","1986","66","Städtischer Raum","","","",""
"24","1986","66","Ländlicher Raum","","","",""
"25","1986","17-29","Städtischer Raum","","","",""
"25","1986","17-29","Ländlicher Raum","","","",""
"25","1986","30-45","Städtischer Raum","","","",""
