"ple0055","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"32","1985","Städtischer Raum","männlich","","","",""
"32","1985","Städtischer Raum","weiblich","","","",""
"32","1985","Ländlicher Raum","männlich","","","",""
"32","1985","Ländlicher Raum","weiblich","","","",""
"35","1985","Städtischer Raum","männlich","","","",""
"35","1985","Städtischer Raum","weiblich","","","",""
"35","1985","Ländlicher Raum","männlich","","","",""
"35","1985","Ländlicher Raum","weiblich","","","",""
"36","1985","Städtischer Raum","männlich","","","",""
"36","1985","Städtischer Raum","weiblich","","","",""
"36","1985","Ländlicher Raum","männlich","","","",""
"36","1985","Ländlicher Raum","weiblich","","","",""
"40","1985","Städtischer Raum","männlich","","","",""
"40","1985","Städtischer Raum","weiblich","","","",""
"40","1985","Ländlicher Raum","männlich","","","",""
"40","1985","Ländlicher Raum","weiblich","","","",""
"42","1985","Städtischer Raum","männlich","","","",""
"42","1985","Städtischer Raum","weiblich","","","",""
"42","1985","Ländlicher Raum","männlich","","","",""
"42","1985","Ländlicher Raum","weiblich","","","",""
"45","1985","Städtischer Raum","männlich","","","",""
"45","1985","Städtischer Raum","weiblich","","","",""
"45","1985","Ländlicher Raum","männlich","","","",""
"45","1985","Ländlicher Raum","weiblich","","","",""
"48","1985","Städtischer Raum","männlich","","","",""
"48","1985","Städtischer Raum","weiblich","","","",""
"48","1985","Ländlicher Raum","männlich","","","",""
"48","1985","Ländlicher Raum","weiblich","","","",""
"50","1985","Städtischer Raum","männlich","","","",""
"50","1985","Städtischer Raum","weiblich","","","",""
"50","1985","Ländlicher Raum","männlich","","","",""
"50","1985","Ländlicher Raum","weiblich","","","",""
"51","1985","Städtischer Raum","männlich","","","",""
"51","1985","Städtischer Raum","weiblich","","","",""
"51","1985","Ländlicher Raum","männlich","","","",""
"51","1985","Ländlicher Raum","weiblich","","","",""
"64","1985","Städtischer Raum","männlich","","","",""
"64","1985","Städtischer Raum","weiblich","","","",""
"64","1985","Ländlicher Raum","männlich","","","",""
"64","1985","Ländlicher Raum","weiblich","","","",""
"65","1985","Städtischer Raum","männlich","","","",""
"65","1985","Städtischer Raum","weiblich","","","",""
"65","1985","Ländlicher Raum","männlich","","","",""
"65","1985","Ländlicher Raum","weiblich","","","",""
"90","1985","Städtischer Raum","männlich","","","",""
"90","1985","Städtischer Raum","weiblich","","","",""
"90","1985","Ländlicher Raum","männlich","","","",""
"90","1985","Ländlicher Raum","weiblich","","","",""
"98","1985","Städtischer Raum","männlich","","","",""
"98","1985","Städtischer Raum","weiblich","","","",""
"98","1985","Ländlicher Raum","männlich","","","",""
"98","1985","Ländlicher Raum","weiblich","","","",""
"100","1985","Städtischer Raum","männlich","","","",""
"100","1985","Städtischer Raum","weiblich","","","",""
"100","1985","Ländlicher Raum","männlich","","","",""
"100","1985","Ländlicher Raum","weiblich","","","",""
"0","1986","Städtischer Raum","männlich","1","","",""
"0","1986","Städtischer Raum","weiblich","1","","",""
"0","1986","Ländlicher Raum","männlich","","","",""
"0","1986","Ländlicher Raum","weiblich","","","",""
"1","1986","Städtischer Raum","männlich","344","0.782443900147388","0.743310607525094","0.821577192769682"
"1","1986","Städtischer Raum","weiblich","426","0.799242456618543","0.765010602058881","0.833474311178205"
"1","1986","Ländlicher Raum","männlich","82","0.797097584858756","0.719806255625876","0.874388914091637"
"1","1986","Ländlicher Raum","weiblich","107","0.83506069662604","0.772223501438917","0.897897891813163"
"2","1986","Städtischer Raum","männlich","57","0.145280551358609","0.111857223714754","0.178703879002463"
"2","1986","Städtischer Raum","weiblich","63","0.127708014691811","0.0991850124017713","0.156231016981851"
"2","1986","Ländlicher Raum","männlich","16","","",""
"2","1986","Ländlicher Raum","weiblich","20","","",""
"3","1986","Städtischer Raum","männlich","11","","",""
"3","1986","Städtischer Raum","weiblich","15","","",""
"3","1986","Ländlicher Raum","männlich","1","","",""
"3","1986","Ländlicher Raum","weiblich","5","","",""
"4","1986","Städtischer Raum","männlich","2","","",""
"4","1986","Städtischer Raum","weiblich","7","","",""
"4","1986","Ländlicher Raum","männlich","","","",""
"4","1986","Ländlicher Raum","weiblich","","","",""
"5","1986","Städtischer Raum","männlich","3","","",""
"5","1986","Städtischer Raum","weiblich","3","","",""
"5","1986","Ländlicher Raum","männlich","1","","",""
"5","1986","Ländlicher Raum","weiblich","","","",""
"6","1986","Städtischer Raum","männlich","","","",""
"6","1986","Städtischer Raum","weiblich","4","","",""
"6","1986","Ländlicher Raum","männlich","","","",""
"6","1986","Ländlicher Raum","weiblich","","","",""
"7","1986","Städtischer Raum","männlich","1","","",""
"7","1986","Städtischer Raum","weiblich","1","","",""
"7","1986","Ländlicher Raum","männlich","","","",""
"7","1986","Ländlicher Raum","weiblich","1","","",""
"8","1986","Städtischer Raum","männlich","","","",""
"8","1986","Städtischer Raum","weiblich","2","","",""
"8","1986","Ländlicher Raum","männlich","","","",""
"8","1986","Ländlicher Raum","weiblich","","","",""
"9","1986","Städtischer Raum","männlich","1","","",""
"9","1986","Städtischer Raum","weiblich","1","","",""
"9","1986","Ländlicher Raum","männlich","1","","",""
"9","1986","Ländlicher Raum","weiblich","1","","",""
"10","1986","Städtischer Raum","männlich","3","","",""
"10","1986","Städtischer Raum","weiblich","","","",""
"10","1986","Ländlicher Raum","männlich","1","","",""
"10","1986","Ländlicher Raum","weiblich","","","",""
"11","1986","Städtischer Raum","männlich","","","",""
"11","1986","Städtischer Raum","weiblich","","","",""
"11","1986","Ländlicher Raum","männlich","","","",""
"11","1986","Ländlicher Raum","weiblich","","","",""
"12","1986","Städtischer Raum","männlich","","","",""
"12","1986","Städtischer Raum","weiblich","","","",""
"12","1986","Ländlicher Raum","männlich","","","",""
"12","1986","Ländlicher Raum","weiblich","","","",""
"13","1986","Städtischer Raum","männlich","","","",""
"13","1986","Städtischer Raum","weiblich","","","",""
"13","1986","Ländlicher Raum","männlich","","","",""
"13","1986","Ländlicher Raum","weiblich","","","",""
"14","1986","Städtischer Raum","männlich","1","","",""
"14","1986","Städtischer Raum","weiblich","","","",""
"14","1986","Ländlicher Raum","männlich","","","",""
"14","1986","Ländlicher Raum","weiblich","","","",""
"15","1986","Städtischer Raum","männlich","1","","",""
"15","1986","Städtischer Raum","weiblich","","","",""
"15","1986","Ländlicher Raum","männlich","","","",""
"15","1986","Ländlicher Raum","weiblich","","","",""
"16","1986","Städtischer Raum","männlich","","","",""
"16","1986","Städtischer Raum","weiblich","1","","",""
"16","1986","Ländlicher Raum","männlich","","","",""
"16","1986","Ländlicher Raum","weiblich","","","",""
"17","1986","Städtischer Raum","männlich","","","",""
"17","1986","Städtischer Raum","weiblich","","","",""
"17","1986","Ländlicher Raum","männlich","","","",""
"17","1986","Ländlicher Raum","weiblich","","","",""
"18","1986","Städtischer Raum","männlich","","","",""
"18","1986","Städtischer Raum","weiblich","","","",""
"18","1986","Ländlicher Raum","männlich","","","",""
"18","1986","Ländlicher Raum","weiblich","","","",""
"19","1986","Städtischer Raum","männlich","","","",""
"19","1986","Städtischer Raum","weiblich","","","",""
"19","1986","Ländlicher Raum","männlich","","","",""
"19","1986","Ländlicher Raum","weiblich","","","",""
"20","1986","Städtischer Raum","männlich","","","",""
"20","1986","Städtischer Raum","weiblich","","","",""
"20","1986","Ländlicher Raum","männlich","","","",""
"20","1986","Ländlicher Raum","weiblich","","","",""
"21","1986","Städtischer Raum","männlich","","","",""
"21","1986","Städtischer Raum","weiblich","1","","",""
"21","1986","Ländlicher Raum","männlich","","","",""
"21","1986","Ländlicher Raum","weiblich","","","",""
"22","1986","Städtischer Raum","männlich","","","",""
"22","1986","Städtischer Raum","weiblich","","","",""
"22","1986","Ländlicher Raum","männlich","","","",""
"22","1986","Ländlicher Raum","weiblich","","","",""
"23","1986","Städtischer Raum","männlich","","","",""
"23","1986","Städtischer Raum","weiblich","","","",""
"23","1986","Ländlicher Raum","männlich","","","",""
"23","1986","Ländlicher Raum","weiblich","","","",""
"24","1986","Städtischer Raum","männlich","","","",""
"24","1986","Städtischer Raum","weiblich","","","",""
"24","1986","Ländlicher Raum","männlich","","","",""
"24","1986","Ländlicher Raum","weiblich","","","",""
"25","1986","Städtischer Raum","männlich","","","",""
"25","1986","Städtischer Raum","weiblich","","","",""
"25","1986","Ländlicher Raum","männlich","","","",""
"25","1986","Ländlicher Raum","weiblich","","","",""
"26","1986","Städtischer Raum","männlich","","","",""
"26","1986","Städtischer Raum","weiblich","","","",""
"26","1986","Ländlicher Raum","männlich","","","",""
"26","1986","Ländlicher Raum","weiblich","","","",""
"27","1986","Städtischer Raum","männlich","","","",""
"27","1986","Städtischer Raum","weiblich","","","",""
"27","1986","Ländlicher Raum","männlich","","","",""
"27","1986","Ländlicher Raum","weiblich","","","",""
"28","1986","Städtischer Raum","männlich","","","",""
"28","1986","Städtischer Raum","weiblich","","","",""
"28","1986","Ländlicher Raum","männlich","","","",""
"28","1986","Ländlicher Raum","weiblich","","","",""
"30","1986","Städtischer Raum","männlich","1","","",""
"30","1986","Städtischer Raum","weiblich","","","",""
"30","1986","Ländlicher Raum","männlich","","","",""
"30","1986","Ländlicher Raum","weiblich","","","",""
"31","1986","Städtischer Raum","männlich","1","","",""
"31","1986","Städtischer Raum","weiblich","","","",""
"31","1986","Ländlicher Raum","männlich","","","",""
"31","1986","Ländlicher Raum","weiblich","","","",""
"32","1986","Städtischer Raum","männlich","","","",""
"32","1986","Städtischer Raum","weiblich","","","",""
"32","1986","Ländlicher Raum","männlich","","","",""
"32","1986","Ländlicher Raum","weiblich","","","",""
"35","1986","Städtischer Raum","männlich","","","",""
"35","1986","Städtischer Raum","weiblich","","","",""
"35","1986","Ländlicher Raum","männlich","","","",""
"35","1986","Ländlicher Raum","weiblich","","","",""
"36","1986","Städtischer Raum","männlich","","","",""
"36","1986","Städtischer Raum","weiblich","","","",""
"36","1986","Ländlicher Raum","männlich","","","",""
"36","1986","Ländlicher Raum","weiblich","","","",""
"40","1986","Städtischer Raum","männlich","","","",""
"40","1986","Städtischer Raum","weiblich","1","","",""
"40","1986","Ländlicher Raum","männlich","","","",""
"40","1986","Ländlicher Raum","weiblich","","","",""
"42","1986","Städtischer Raum","männlich","","","",""
"42","1986","Städtischer Raum","weiblich","","","",""
"42","1986","Ländlicher Raum","männlich","","","",""
"42","1986","Ländlicher Raum","weiblich","","","",""
"45","1986","Städtischer Raum","männlich","","","",""
"45","1986","Städtischer Raum","weiblich","","","",""
"45","1986","Ländlicher Raum","männlich","","","",""
"45","1986","Ländlicher Raum","weiblich","","","",""
"48","1986","Städtischer Raum","männlich","","","",""
"48","1986","Städtischer Raum","weiblich","","","",""
"48","1986","Ländlicher Raum","männlich","1","","",""
"48","1986","Ländlicher Raum","weiblich","","","",""
"50","1986","Städtischer Raum","männlich","","","",""
"50","1986","Städtischer Raum","weiblich","","","",""
"50","1986","Ländlicher Raum","männlich","","","",""
"50","1986","Ländlicher Raum","weiblich","","","",""
"51","1986","Städtischer Raum","männlich","","","",""
"51","1986","Städtischer Raum","weiblich","","","",""
"51","1986","Ländlicher Raum","männlich","1","","",""
"51","1986","Ländlicher Raum","weiblich","","","",""
"64","1986","Städtischer Raum","männlich","","","",""
"64","1986","Städtischer Raum","weiblich","","","",""
"64","1986","Ländlicher Raum","männlich","","","",""
"64","1986","Ländlicher Raum","weiblich","","","",""
"65","1986","Städtischer Raum","männlich","","","",""
"65","1986","Städtischer Raum","weiblich","","","",""
"65","1986","Ländlicher Raum","männlich","","","",""
"65","1986","Ländlicher Raum","weiblich","","","",""
"90","1986","Städtischer Raum","männlich","","","",""
"90","1986","Städtischer Raum","weiblich","","","",""
"90","1986","Ländlicher Raum","männlich","","","",""
"90","1986","Ländlicher Raum","weiblich","","","",""
"98","1986","Städtischer Raum","männlich","","","",""
"98","1986","Städtischer Raum","weiblich","","","",""
"98","1986","Ländlicher Raum","männlich","","","",""
"98","1986","Ländlicher Raum","weiblich","","","",""
"100","1986","Städtischer Raum","männlich","","","",""
"100","1986","Städtischer Raum","weiblich","","","",""
"100","1986","Ländlicher Raum","männlich","","","",""
"100","1986","Ländlicher Raum","weiblich","","","",""
"0","1987","Städtischer Raum","männlich","1","","",""
"0","1987","Städtischer Raum","weiblich","1","","",""
"0","1987","Ländlicher Raum","männlich","1","","",""
"0","1987","Ländlicher Raum","weiblich","","","",""
"1","1987","Städtischer Raum","männlich","289","0.785699593216345","0.743014751398117","0.828384435034574"
"1","1987","Städtischer Raum","weiblich","454","0.810805739159178","0.778013566056235","0.843597912262121"
"1","1987","Ländlicher Raum","männlich","70","0.757520187861454","0.669943387032467","0.845096988690442"
"1","1987","Ländlicher Raum","weiblich","126","0.775907725713828","0.711093847453664","0.840721603973991"
"2","1987","Städtischer Raum","männlich","44","0.153582428415153","0.116076750910133","0.191088105920174"
"2","1987","Städtischer Raum","weiblich","62","0.122904998556454","0.0954155579194833","0.150394439193425"
"2","1987","Ländlicher Raum","männlich","11","","",""
"2","1987","Ländlicher Raum","weiblich","19","","",""
"3","1987","Städtischer Raum","männlich","10","","",""
"3","1987","Städtischer Raum","weiblich","16","","",""
"3","1987","Ländlicher Raum","männlich","2","","",""
"3","1987","Ländlicher Raum","weiblich","3","","",""
"4","1987","Städtischer Raum","männlich","2","","",""
"4","1987","Städtischer Raum","weiblich","4","","",""
"4","1987","Ländlicher Raum","männlich","1","","",""
"4","1987","Ländlicher Raum","weiblich","3","","",""
"5","1987","Städtischer Raum","männlich","2","","",""
"5","1987","Städtischer Raum","weiblich","2","","",""
"5","1987","Ländlicher Raum","männlich","1","","",""
"5","1987","Ländlicher Raum","weiblich","1","","",""
"6","1987","Städtischer Raum","männlich","2","","",""
"6","1987","Städtischer Raum","weiblich","1","","",""
"6","1987","Ländlicher Raum","männlich","","","",""
"6","1987","Ländlicher Raum","weiblich","3","","",""
"7","1987","Städtischer Raum","männlich","2","","",""
"7","1987","Städtischer Raum","weiblich","1","","",""
"7","1987","Ländlicher Raum","männlich","3","","",""
"7","1987","Ländlicher Raum","weiblich","","","",""
"8","1987","Städtischer Raum","männlich","","","",""
"8","1987","Städtischer Raum","weiblich","1","","",""
"8","1987","Ländlicher Raum","männlich","","","",""
"8","1987","Ländlicher Raum","weiblich","","","",""
"9","1987","Städtischer Raum","männlich","","","",""
"9","1987","Städtischer Raum","weiblich","","","",""
"9","1987","Ländlicher Raum","männlich","","","",""
"9","1987","Ländlicher Raum","weiblich","","","",""
"10","1987","Städtischer Raum","männlich","","","",""
"10","1987","Städtischer Raum","weiblich","","","",""
"10","1987","Ländlicher Raum","männlich","","","",""
"10","1987","Ländlicher Raum","weiblich","","","",""
"11","1987","Städtischer Raum","männlich","","","",""
"11","1987","Städtischer Raum","weiblich","1","","",""
"11","1987","Ländlicher Raum","männlich","","","",""
"11","1987","Ländlicher Raum","weiblich","1","","",""
"12","1987","Städtischer Raum","männlich","1","","",""
"12","1987","Städtischer Raum","weiblich","1","","",""
"12","1987","Ländlicher Raum","männlich","","","",""
"12","1987","Ländlicher Raum","weiblich","","","",""
"13","1987","Städtischer Raum","männlich","","","",""
"13","1987","Städtischer Raum","weiblich","1","","",""
"13","1987","Ländlicher Raum","männlich","","","",""
"13","1987","Ländlicher Raum","weiblich","1","","",""
"14","1987","Städtischer Raum","männlich","1","","",""
"14","1987","Städtischer Raum","weiblich","3","","",""
"14","1987","Ländlicher Raum","männlich","","","",""
"14","1987","Ländlicher Raum","weiblich","","","",""
"15","1987","Städtischer Raum","männlich","","","",""
"15","1987","Städtischer Raum","weiblich","","","",""
"15","1987","Ländlicher Raum","männlich","1","","",""
"15","1987","Ländlicher Raum","weiblich","","","",""
"16","1987","Städtischer Raum","männlich","1","","",""
"16","1987","Städtischer Raum","weiblich","","","",""
"16","1987","Ländlicher Raum","männlich","","","",""
"16","1987","Ländlicher Raum","weiblich","","","",""
"17","1987","Städtischer Raum","männlich","","","",""
"17","1987","Städtischer Raum","weiblich","","","",""
"17","1987","Ländlicher Raum","männlich","","","",""
"17","1987","Ländlicher Raum","weiblich","","","",""
"18","1987","Städtischer Raum","männlich","","","",""
"18","1987","Städtischer Raum","weiblich","","","",""
"18","1987","Ländlicher Raum","männlich","","","",""
"18","1987","Ländlicher Raum","weiblich","","","",""
"19","1987","Städtischer Raum","männlich","","","",""
"19","1987","Städtischer Raum","weiblich","","","",""
"19","1987","Ländlicher Raum","männlich","","","",""
"19","1987","Ländlicher Raum","weiblich","","","",""
"20","1987","Städtischer Raum","männlich","","","",""
"20","1987","Städtischer Raum","weiblich","","","",""
"20","1987","Ländlicher Raum","männlich","1","","",""
"20","1987","Ländlicher Raum","weiblich","","","",""
"21","1987","Städtischer Raum","männlich","","","",""
"21","1987","Städtischer Raum","weiblich","","","",""
"21","1987","Ländlicher Raum","männlich","","","",""
"21","1987","Ländlicher Raum","weiblich","","","",""
"22","1987","Städtischer Raum","männlich","","","",""
"22","1987","Städtischer Raum","weiblich","","","",""
"22","1987","Ländlicher Raum","männlich","","","",""
"22","1987","Ländlicher Raum","weiblich","","","",""
"23","1987","Städtischer Raum","männlich","","","",""
"23","1987","Städtischer Raum","weiblich","","","",""
"23","1987","Ländlicher Raum","männlich","","","",""
"23","1987","Ländlicher Raum","weiblich","","","",""
"24","1987","Städtischer Raum","männlich","","","",""
"24","1987","Städtischer Raum","weiblich","","","",""
"24","1987","Ländlicher Raum","männlich","","","",""
"24","1987","Ländlicher Raum","weiblich","","","",""
"25","1987","Städtischer Raum","männlich","","","",""
"25","1987","Städtischer Raum","weiblich","","","",""
"25","1987","Ländlicher Raum","männlich","","","",""
"25","1987","Ländlicher Raum","weiblich","","","",""
"26","1987","Städtischer Raum","männlich","","","",""
"26","1987","Städtischer Raum","weiblich","","","",""
"26","1987","Ländlicher Raum","männlich","","","",""
"26","1987","Ländlicher Raum","weiblich","","","",""
"27","1987","Städtischer Raum","männlich","","","",""
"27","1987","Städtischer Raum","weiblich","","","",""
"27","1987","Ländlicher Raum","männlich","","","",""
"27","1987","Ländlicher Raum","weiblich","","","",""
"28","1987","Städtischer Raum","männlich","","","",""
"28","1987","Städtischer Raum","weiblich","","","",""
"28","1987","Ländlicher Raum","männlich","","","",""
"28","1987","Ländlicher Raum","weiblich","1","","",""
"30","1987","Städtischer Raum","männlich","","","",""
"30","1987","Städtischer Raum","weiblich","","","",""
"30","1987","Ländlicher Raum","männlich","","","",""
"30","1987","Ländlicher Raum","weiblich","1","","",""
"31","1987","Städtischer Raum","männlich","","","",""
"31","1987","Städtischer Raum","weiblich","","","",""
"31","1987","Ländlicher Raum","männlich","","","",""
"31","1987","Ländlicher Raum","weiblich","","","",""
"32","1987","Städtischer Raum","männlich","","","",""
"32","1987","Städtischer Raum","weiblich","","","",""
"32","1987","Ländlicher Raum","männlich","","","",""
"32","1987","Ländlicher Raum","weiblich","","","",""
"35","1987","Städtischer Raum","männlich","","","",""
"35","1987","Städtischer Raum","weiblich","","","",""
"35","1987","Ländlicher Raum","männlich","1","","",""
"35","1987","Ländlicher Raum","weiblich","","","",""
"36","1987","Städtischer Raum","männlich","","","",""
"36","1987","Städtischer Raum","weiblich","","","",""
"36","1987","Ländlicher Raum","männlich","","","",""
"36","1987","Ländlicher Raum","weiblich","","","",""
"40","1987","Städtischer Raum","männlich","","","",""
"40","1987","Städtischer Raum","weiblich","","","",""
"40","1987","Ländlicher Raum","männlich","","","",""
"40","1987","Ländlicher Raum","weiblich","","","",""
"42","1987","Städtischer Raum","männlich","","","",""
"42","1987","Städtischer Raum","weiblich","","","",""
"42","1987","Ländlicher Raum","männlich","","","",""
"42","1987","Ländlicher Raum","weiblich","","","",""
"45","1987","Städtischer Raum","männlich","","","",""
"45","1987","Städtischer Raum","weiblich","","","",""
"45","1987","Ländlicher Raum","männlich","","","",""
"45","1987","Ländlicher Raum","weiblich","","","",""
"48","1987","Städtischer Raum","männlich","","","",""
"48","1987","Städtischer Raum","weiblich","","","",""
"48","1987","Ländlicher Raum","männlich","","","",""
"48","1987","Ländlicher Raum","weiblich","","","",""
"50","1987","Städtischer Raum","männlich","","","",""
"50","1987","Städtischer Raum","weiblich","","","",""
"50","1987","Ländlicher Raum","männlich","","","",""
"50","1987","Ländlicher Raum","weiblich","","","",""
"51","1987","Städtischer Raum","männlich","","","",""
"51","1987","Städtischer Raum","weiblich","","","",""
"51","1987","Ländlicher Raum","männlich","","","",""
"51","1987","Ländlicher Raum","weiblich","","","",""
"64","1987","Städtischer Raum","männlich","","","",""
"64","1987","Städtischer Raum","weiblich","","","",""
"64","1987","Ländlicher Raum","männlich","","","",""
"64","1987","Ländlicher Raum","weiblich","","","",""
"65","1987","Städtischer Raum","männlich","","","",""
"65","1987","Städtischer Raum","weiblich","","","",""
"65","1987","Ländlicher Raum","männlich","","","",""
"65","1987","Ländlicher Raum","weiblich","","","",""
"90","1987","Städtischer Raum","männlich","","","",""
"90","1987","Städtischer Raum","weiblich","","","",""
"90","1987","Ländlicher Raum","männlich","","","",""
"90","1987","Ländlicher Raum","weiblich","","","",""
"98","1987","Städtischer Raum","männlich","","","",""
"98","1987","Städtischer Raum","weiblich","","","",""
"98","1987","Ländlicher Raum","männlich","","","",""
"98","1987","Ländlicher Raum","weiblich","","","",""
