"ple0055","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"36","1995","4","männlich","","","",""
"36","1995","4","weiblich","","","",""
"36","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"36","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"40","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"40","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"40","1995","2","männlich","","","",""
"40","1995","2","weiblich","","","",""
"40","1995","3","männlich","","","",""
"40","1995","3","weiblich","","","",""
"40","1995","4","männlich","","","",""
"40","1995","4","weiblich","","","",""
"40","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"40","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"42","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"42","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"42","1995","2","männlich","","","",""
"42","1995","2","weiblich","","","",""
"42","1995","3","männlich","","","",""
"42","1995","3","weiblich","","","",""
"42","1995","4","männlich","","","",""
"42","1995","4","weiblich","","","",""
"42","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"42","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"45","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"45","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"45","1995","2","männlich","","","",""
"45","1995","2","weiblich","","","",""
"45","1995","3","männlich","","","",""
"45","1995","3","weiblich","","","",""
"45","1995","4","männlich","","","",""
"45","1995","4","weiblich","","","",""
"45","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"45","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"48","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"48","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"48","1995","2","männlich","","","",""
"48","1995","2","weiblich","","","",""
"48","1995","3","männlich","","","",""
"48","1995","3","weiblich","","","",""
"48","1995","4","männlich","","","",""
"48","1995","4","weiblich","","","",""
"48","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"48","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"50","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"50","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"50","1995","2","männlich","","","",""
"50","1995","2","weiblich","","","",""
"50","1995","3","männlich","","","",""
"50","1995","3","weiblich","","","",""
"50","1995","4","männlich","","","",""
"50","1995","4","weiblich","","","",""
"50","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"50","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"64","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"64","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"64","1995","2","männlich","","","",""
"64","1995","2","weiblich","","","",""
"64","1995","3","männlich","","","",""
"64","1995","3","weiblich","","","",""
"64","1995","4","männlich","","","",""
"64","1995","4","weiblich","","","",""
"64","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"64","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"98","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"98","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"98","1995","2","männlich","","","",""
"98","1995","2","weiblich","","","",""
"98","1995","3","männlich","","","",""
"98","1995","3","weiblich","","","",""
"98","1995","4","männlich","","","",""
"98","1995","4","weiblich","","","",""
"98","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"98","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"100","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"100","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"100","1995","2","männlich","","","",""
"100","1995","2","weiblich","","","",""
"100","1995","3","männlich","","","",""
"100","1995","3","weiblich","","","",""
"100","1995","4","männlich","","","",""
"100","1995","4","weiblich","","","",""
"100","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"100","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"0","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"0","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"0","1996","2","männlich","","","",""
"0","1996","2","weiblich","","","",""
"0","1996","3","männlich","","","",""
"0","1996","3","weiblich","","","",""
"0","1996","4","männlich","","","",""
"0","1996","4","weiblich","","","",""
"0","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"0","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"1","1996","1 Einkommensschwächstes Quintil","männlich","156","0.786272744005001","0.729880855662875","0.842664632347127"
"1","1996","1 Einkommensschwächstes Quintil","weiblich","298","0.737536888439956","0.693006296610204","0.782067480269709"
"1","1996","2","männlich","123","0.67485662343777","0.602499987667982","0.747213259207558"
"1","1996","2","weiblich","211","0.763317868553215","0.711850389592467","0.814785347513963"
"1","1996","3","männlich","82","0.801903411824414","0.724555688756265","0.879251134892563"
"1","1996","3","weiblich","111","0.771409480362566","0.700573680836753","0.842245279888379"
"1","1996","4","männlich","47","0.656338168406994","0.542617299262673","0.770059037551315"
"1","1996","4","weiblich","80","0.791491267835713","0.71106086555375","0.871921670117676"
