"ple0055","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"8","1984","Realschule","Ostdeutschland","","","",""
"8","1984","(Fach-)Abitur","Westdeutschland","","","",""
"8","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"8","1984","AkademikerIn","Westdeutschland","","","",""
"8","1984","AkademikerIn","Ostdeutschland","","","",""
"9","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"9","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"9","1984","Hauptschule","Westdeutschland","2","","",""
"9","1984","Hauptschule","Ostdeutschland","","","",""
"9","1984","Realschule","Westdeutschland","","","",""
"9","1984","Realschule","Ostdeutschland","","","",""
"9","1984","(Fach-)Abitur","Westdeutschland","","","",""
"9","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"9","1984","AkademikerIn","Westdeutschland","","","",""
"9","1984","AkademikerIn","Ostdeutschland","","","",""
"10","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"10","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"10","1984","Hauptschule","Westdeutschland","1","","",""
"10","1984","Hauptschule","Ostdeutschland","","","",""
"10","1984","Realschule","Westdeutschland","1","","",""
"10","1984","Realschule","Ostdeutschland","","","",""
"10","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"10","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"10","1984","AkademikerIn","Westdeutschland","","","",""
"10","1984","AkademikerIn","Ostdeutschland","","","",""
"11","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"11","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"11","1984","Hauptschule","Westdeutschland","","","",""
"11","1984","Hauptschule","Ostdeutschland","","","",""
"11","1984","Realschule","Westdeutschland","","","",""
"11","1984","Realschule","Ostdeutschland","","","",""
"11","1984","(Fach-)Abitur","Westdeutschland","","","",""
"11","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"11","1984","AkademikerIn","Westdeutschland","","","",""
"11","1984","AkademikerIn","Ostdeutschland","","","",""
"12","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"12","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"12","1984","Hauptschule","Westdeutschland","1","","",""
"12","1984","Hauptschule","Ostdeutschland","","","",""
"12","1984","Realschule","Westdeutschland","","","",""
"12","1984","Realschule","Ostdeutschland","","","",""
"12","1984","(Fach-)Abitur","Westdeutschland","","","",""
"12","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"12","1984","AkademikerIn","Westdeutschland","","","",""
"12","1984","AkademikerIn","Ostdeutschland","","","",""
"13","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"13","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"13","1984","Hauptschule","Westdeutschland","","","",""
"13","1984","Hauptschule","Ostdeutschland","","","",""
"13","1984","Realschule","Westdeutschland","","","",""
"13","1984","Realschule","Ostdeutschland","","","",""
"13","1984","(Fach-)Abitur","Westdeutschland","","","",""
"13","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"13","1984","AkademikerIn","Westdeutschland","","","",""
"13","1984","AkademikerIn","Ostdeutschland","","","",""
"14","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"14","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"14","1984","Hauptschule","Westdeutschland","1","","",""
"14","1984","Hauptschule","Ostdeutschland","","","",""
"14","1984","Realschule","Westdeutschland","","","",""
"14","1984","Realschule","Ostdeutschland","","","",""
"14","1984","(Fach-)Abitur","Westdeutschland","","","",""
"14","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"14","1984","AkademikerIn","Westdeutschland","","","",""
"14","1984","AkademikerIn","Ostdeutschland","","","",""
"15","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"15","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"15","1984","Hauptschule","Westdeutschland","","","",""
"15","1984","Hauptschule","Ostdeutschland","","","",""
"15","1984","Realschule","Westdeutschland","","","",""
"15","1984","Realschule","Ostdeutschland","","","",""
"15","1984","(Fach-)Abitur","Westdeutschland","","","",""
"15","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"15","1984","AkademikerIn","Westdeutschland","","","",""
"15","1984","AkademikerIn","Ostdeutschland","","","",""
"16","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"16","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"16","1984","Hauptschule","Westdeutschland","","","",""
"16","1984","Hauptschule","Ostdeutschland","","","",""
"16","1984","Realschule","Westdeutschland","","","",""
"16","1984","Realschule","Ostdeutschland","","","",""
"16","1984","(Fach-)Abitur","Westdeutschland","","","",""
"16","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"16","1984","AkademikerIn","Westdeutschland","","","",""
"16","1984","AkademikerIn","Ostdeutschland","","","",""
"17","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"17","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"17","1984","Hauptschule","Westdeutschland","","","",""
"17","1984","Hauptschule","Ostdeutschland","","","",""
"17","1984","Realschule","Westdeutschland","","","",""
"17","1984","Realschule","Ostdeutschland","","","",""
"17","1984","(Fach-)Abitur","Westdeutschland","","","",""
"17","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"17","1984","AkademikerIn","Westdeutschland","","","",""
"17","1984","AkademikerIn","Ostdeutschland","","","",""
"18","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"18","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"18","1984","Hauptschule","Westdeutschland","","","",""
"18","1984","Hauptschule","Ostdeutschland","","","",""
"18","1984","Realschule","Westdeutschland","","","",""
"18","1984","Realschule","Ostdeutschland","","","",""
"18","1984","(Fach-)Abitur","Westdeutschland","","","",""
"18","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"18","1984","AkademikerIn","Westdeutschland","","","",""
"18","1984","AkademikerIn","Ostdeutschland","","","",""
"19","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"19","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"19","1984","Hauptschule","Westdeutschland","","","",""
"19","1984","Hauptschule","Ostdeutschland","","","",""
"19","1984","Realschule","Westdeutschland","","","",""
"19","1984","Realschule","Ostdeutschland","","","",""
"19","1984","(Fach-)Abitur","Westdeutschland","","","",""
"19","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"19","1984","AkademikerIn","Westdeutschland","","","",""
"19","1984","AkademikerIn","Ostdeutschland","","","",""
"20","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"20","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"20","1984","Hauptschule","Westdeutschland","","","",""
"20","1984","Hauptschule","Ostdeutschland","","","",""
"20","1984","Realschule","Westdeutschland","","","",""
"20","1984","Realschule","Ostdeutschland","","","",""
"20","1984","(Fach-)Abitur","Westdeutschland","","","",""
"20","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"20","1984","AkademikerIn","Westdeutschland","","","",""
"20","1984","AkademikerIn","Ostdeutschland","","","",""
"21","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"21","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"21","1984","Hauptschule","Westdeutschland","","","",""
"21","1984","Hauptschule","Ostdeutschland","","","",""
"21","1984","Realschule","Westdeutschland","","","",""
"21","1984","Realschule","Ostdeutschland","","","",""
"21","1984","(Fach-)Abitur","Westdeutschland","","","",""
"21","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"21","1984","AkademikerIn","Westdeutschland","","","",""
"21","1984","AkademikerIn","Ostdeutschland","","","",""
"22","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"22","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"22","1984","Hauptschule","Westdeutschland","","","",""
"22","1984","Hauptschule","Ostdeutschland","","","",""
"22","1984","Realschule","Westdeutschland","","","",""
"22","1984","Realschule","Ostdeutschland","","","",""
"22","1984","(Fach-)Abitur","Westdeutschland","","","",""
"22","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"22","1984","AkademikerIn","Westdeutschland","","","",""
"22","1984","AkademikerIn","Ostdeutschland","","","",""
"23","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"23","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"23","1984","Hauptschule","Westdeutschland","","","",""
"23","1984","Hauptschule","Ostdeutschland","","","",""
"23","1984","Realschule","Westdeutschland","","","",""
"23","1984","Realschule","Ostdeutschland","","","",""
"23","1984","(Fach-)Abitur","Westdeutschland","","","",""
"23","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"23","1984","AkademikerIn","Westdeutschland","","","",""
"23","1984","AkademikerIn","Ostdeutschland","","","",""
"24","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"24","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"24","1984","Hauptschule","Westdeutschland","","","",""
"24","1984","Hauptschule","Ostdeutschland","","","",""
"24","1984","Realschule","Westdeutschland","","","",""
"24","1984","Realschule","Ostdeutschland","","","",""
"24","1984","(Fach-)Abitur","Westdeutschland","","","",""
"24","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"24","1984","AkademikerIn","Westdeutschland","","","",""
"24","1984","AkademikerIn","Ostdeutschland","","","",""
"25","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"25","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"25","1984","Hauptschule","Westdeutschland","","","",""
"25","1984","Hauptschule","Ostdeutschland","","","",""
"25","1984","Realschule","Westdeutschland","","","",""
"25","1984","Realschule","Ostdeutschland","","","",""
"25","1984","(Fach-)Abitur","Westdeutschland","","","",""
"25","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"25","1984","AkademikerIn","Westdeutschland","","","",""
"25","1984","AkademikerIn","Ostdeutschland","","","",""
"26","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"26","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"26","1984","Hauptschule","Westdeutschland","","","",""
"26","1984","Hauptschule","Ostdeutschland","","","",""
"26","1984","Realschule","Westdeutschland","","","",""
"26","1984","Realschule","Ostdeutschland","","","",""
"26","1984","(Fach-)Abitur","Westdeutschland","","","",""
"26","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"26","1984","AkademikerIn","Westdeutschland","","","",""
"26","1984","AkademikerIn","Ostdeutschland","","","",""
"27","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"27","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"27","1984","Hauptschule","Westdeutschland","","","",""
"27","1984","Hauptschule","Ostdeutschland","","","",""
"27","1984","Realschule","Westdeutschland","","","",""
"27","1984","Realschule","Ostdeutschland","","","",""
"27","1984","(Fach-)Abitur","Westdeutschland","","","",""
"27","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"27","1984","AkademikerIn","Westdeutschland","","","",""
"27","1984","AkademikerIn","Ostdeutschland","","","",""
"28","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"28","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"28","1984","Hauptschule","Westdeutschland","","","",""
"28","1984","Hauptschule","Ostdeutschland","","","",""
"28","1984","Realschule","Westdeutschland","","","",""
"28","1984","Realschule","Ostdeutschland","","","",""
"28","1984","(Fach-)Abitur","Westdeutschland","","","",""
"28","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"28","1984","AkademikerIn","Westdeutschland","","","",""
"28","1984","AkademikerIn","Ostdeutschland","","","",""
"30","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"30","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"30","1984","Hauptschule","Westdeutschland","","","",""
"30","1984","Hauptschule","Ostdeutschland","","","",""
"30","1984","Realschule","Westdeutschland","","","",""
"30","1984","Realschule","Ostdeutschland","","","",""
"30","1984","(Fach-)Abitur","Westdeutschland","","","",""
"30","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"30","1984","AkademikerIn","Westdeutschland","","","",""
"30","1984","AkademikerIn","Ostdeutschland","","","",""
"31","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"31","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"31","1984","Hauptschule","Westdeutschland","","","",""
"31","1984","Hauptschule","Ostdeutschland","","","",""
"31","1984","Realschule","Westdeutschland","","","",""
"31","1984","Realschule","Ostdeutschland","","","",""
"31","1984","(Fach-)Abitur","Westdeutschland","","","",""
"31","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"31","1984","AkademikerIn","Westdeutschland","","","",""
"31","1984","AkademikerIn","Ostdeutschland","","","",""
"32","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"32","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"32","1984","Hauptschule","Westdeutschland","","","",""
"32","1984","Hauptschule","Ostdeutschland","","","",""
"32","1984","Realschule","Westdeutschland","","","",""
"32","1984","Realschule","Ostdeutschland","","","",""
"32","1984","(Fach-)Abitur","Westdeutschland","","","",""
"32","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"32","1984","AkademikerIn","Westdeutschland","","","",""
"32","1984","AkademikerIn","Ostdeutschland","","","",""
"35","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"35","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"35","1984","Hauptschule","Westdeutschland","","","",""
"35","1984","Hauptschule","Ostdeutschland","","","",""
"35","1984","Realschule","Westdeutschland","","","",""
"35","1984","Realschule","Ostdeutschland","","","",""
"35","1984","(Fach-)Abitur","Westdeutschland","","","",""
"35","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"35","1984","AkademikerIn","Westdeutschland","","","",""
"35","1984","AkademikerIn","Ostdeutschland","","","",""
"36","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"36","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"36","1984","Hauptschule","Westdeutschland","","","",""
"36","1984","Hauptschule","Ostdeutschland","","","",""
"36","1984","Realschule","Westdeutschland","","","",""
"36","1984","Realschule","Ostdeutschland","","","",""
"36","1984","(Fach-)Abitur","Westdeutschland","","","",""
"36","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"36","1984","AkademikerIn","Westdeutschland","","","",""
"36","1984","AkademikerIn","Ostdeutschland","","","",""
"40","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"40","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"40","1984","Hauptschule","Westdeutschland","","","",""
"40","1984","Hauptschule","Ostdeutschland","","","",""
"40","1984","Realschule","Westdeutschland","","","",""
"40","1984","Realschule","Ostdeutschland","","","",""
"40","1984","(Fach-)Abitur","Westdeutschland","","","",""
"40","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"40","1984","AkademikerIn","Westdeutschland","","","",""
"40","1984","AkademikerIn","Ostdeutschland","","","",""
"42","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"42","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"42","1984","Hauptschule","Westdeutschland","","","",""
"42","1984","Hauptschule","Ostdeutschland","","","",""
"42","1984","Realschule","Westdeutschland","","","",""
"42","1984","Realschule","Ostdeutschland","","","",""
"42","1984","(Fach-)Abitur","Westdeutschland","","","",""
"42","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"42","1984","AkademikerIn","Westdeutschland","","","",""
"42","1984","AkademikerIn","Ostdeutschland","","","",""
"45","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"45","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"45","1984","Hauptschule","Westdeutschland","","","",""
"45","1984","Hauptschule","Ostdeutschland","","","",""
"45","1984","Realschule","Westdeutschland","","","",""
"45","1984","Realschule","Ostdeutschland","","","",""
"45","1984","(Fach-)Abitur","Westdeutschland","","","",""
"45","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"45","1984","AkademikerIn","Westdeutschland","","","",""
"45","1984","AkademikerIn","Ostdeutschland","","","",""
"48","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"48","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"48","1984","Hauptschule","Westdeutschland","","","",""
"48","1984","Hauptschule","Ostdeutschland","","","",""
"48","1984","Realschule","Westdeutschland","","","",""
"48","1984","Realschule","Ostdeutschland","","","",""
"48","1984","(Fach-)Abitur","Westdeutschland","","","",""
"48","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"48","1984","AkademikerIn","Westdeutschland","","","",""
"48","1984","AkademikerIn","Ostdeutschland","","","",""
"50","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"50","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"50","1984","Hauptschule","Westdeutschland","","","",""
"50","1984","Hauptschule","Ostdeutschland","","","",""
"50","1984","Realschule","Westdeutschland","","","",""
"50","1984","Realschule","Ostdeutschland","","","",""
"50","1984","(Fach-)Abitur","Westdeutschland","","","",""
"50","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"50","1984","AkademikerIn","Westdeutschland","","","",""
"50","1984","AkademikerIn","Ostdeutschland","","","",""
"51","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"51","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"51","1984","Hauptschule","Westdeutschland","","","",""
"51","1984","Hauptschule","Ostdeutschland","","","",""
"51","1984","Realschule","Westdeutschland","","","",""
"51","1984","Realschule","Ostdeutschland","","","",""
"51","1984","(Fach-)Abitur","Westdeutschland","","","",""
"51","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"51","1984","AkademikerIn","Westdeutschland","","","",""
"51","1984","AkademikerIn","Ostdeutschland","","","",""
"64","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"64","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"64","1984","Hauptschule","Westdeutschland","","","",""
"64","1984","Hauptschule","Ostdeutschland","","","",""
"64","1984","Realschule","Westdeutschland","","","",""
"64","1984","Realschule","Ostdeutschland","","","",""
"64","1984","(Fach-)Abitur","Westdeutschland","","","",""
"64","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"64","1984","AkademikerIn","Westdeutschland","","","",""
"64","1984","AkademikerIn","Ostdeutschland","","","",""
"65","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"65","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"65","1984","Hauptschule","Westdeutschland","","","",""
"65","1984","Hauptschule","Ostdeutschland","","","",""
"65","1984","Realschule","Westdeutschland","","","",""
"65","1984","Realschule","Ostdeutschland","","","",""
"65","1984","(Fach-)Abitur","Westdeutschland","","","",""
"65","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"65","1984","AkademikerIn","Westdeutschland","","","",""
"65","1984","AkademikerIn","Ostdeutschland","","","",""
"90","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"90","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"90","1984","Hauptschule","Westdeutschland","","","",""
"90","1984","Hauptschule","Ostdeutschland","","","",""
"90","1984","Realschule","Westdeutschland","","","",""
"90","1984","Realschule","Ostdeutschland","","","",""
"90","1984","(Fach-)Abitur","Westdeutschland","","","",""
"90","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"90","1984","AkademikerIn","Westdeutschland","","","",""
"90","1984","AkademikerIn","Ostdeutschland","","","",""
"98","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"98","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"98","1984","Hauptschule","Westdeutschland","","","",""
"98","1984","Hauptschule","Ostdeutschland","","","",""
"98","1984","Realschule","Westdeutschland","","","",""
"98","1984","Realschule","Ostdeutschland","","","",""
"98","1984","(Fach-)Abitur","Westdeutschland","","","",""
"98","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"98","1984","AkademikerIn","Westdeutschland","","","",""
"98","1984","AkademikerIn","Ostdeutschland","","","",""
"100","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"100","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"100","1984","Hauptschule","Westdeutschland","","","",""
"100","1984","Hauptschule","Ostdeutschland","","","",""
"100","1984","Realschule","Westdeutschland","","","",""
"100","1984","Realschule","Ostdeutschland","","","",""
"100","1984","(Fach-)Abitur","Westdeutschland","","","",""
"100","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"100","1984","AkademikerIn","Westdeutschland","","","",""
"100","1984","AkademikerIn","Ostdeutschland","","","",""
"0","1985","(noch) kein Abschluss","Westdeutschland","","","",""
"0","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"0","1985","Hauptschule","Westdeutschland","1","","",""
"0","1985","Hauptschule","Ostdeutschland","","","",""
"0","1985","Realschule","Westdeutschland","","","",""
"0","1985","Realschule","Ostdeutschland","","","",""
"0","1985","(Fach-)Abitur","Westdeutschland","","","",""
"0","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"0","1985","AkademikerIn","Westdeutschland","","","",""
"0","1985","AkademikerIn","Ostdeutschland","","","",""
"1","1985","(noch) kein Abschluss","Westdeutschland","104","0.868041132791956","0.808710015557602","0.927372250026309"
"1","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"1","1985","Hauptschule","Westdeutschland","559","0.78977959010973","0.75952981889196","0.820029361327501"
"1","1985","Hauptschule","Ostdeutschland","","","",""
"1","1985","Realschule","Westdeutschland","154","0.795702927705143","0.737760302431592","0.853645552978693"
"1","1985","Realschule","Ostdeutschland","","","",""
"1","1985","(Fach-)Abitur","Westdeutschland","65","0.793590339784584","0.704342494208113","0.882838185361055"
"1","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"1","1985","AkademikerIn","Westdeutschland","62","0.885859925388782","0.811369462193882","0.960350388583682"
"1","1985","AkademikerIn","Ostdeutschland","","","",""
"2","1985","(noch) kein Abschluss","Westdeutschland","13","","",""
"2","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"2","1985","Hauptschule","Westdeutschland","86","0.136544164722442","0.111053078677229","0.162035250767655"
"2","1985","Hauptschule","Ostdeutschland","","","",""
"2","1985","Realschule","Westdeutschland","22","","",""
"2","1985","Realschule","Ostdeutschland","","","",""
"2","1985","(Fach-)Abitur","Westdeutschland","11","","",""
"2","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"2","1985","AkademikerIn","Westdeutschland","6","","",""
"2","1985","AkademikerIn","Ostdeutschland","","","",""
"3","1985","(noch) kein Abschluss","Westdeutschland","5","","",""
"3","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"3","1985","Hauptschule","Westdeutschland","24","","",""
"3","1985","Hauptschule","Ostdeutschland","","","",""
