"ple0055","year","regtyp","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"10","1985","Staedtischer Raum","Ostdeutschland","","","",""
"10","1985","Laendlicher Raum","Westdeutschland","2","","",""
"10","1985","Laendlicher Raum","Ostdeutschland","","","",""
"11","1985","Staedtischer Raum","Westdeutschland","","","",""
"11","1985","Staedtischer Raum","Ostdeutschland","","","",""
"11","1985","Laendlicher Raum","Westdeutschland","","","",""
"11","1985","Laendlicher Raum","Ostdeutschland","","","",""
"12","1985","Staedtischer Raum","Westdeutschland","1","","",""
"12","1985","Staedtischer Raum","Ostdeutschland","","","",""
"12","1985","Laendlicher Raum","Westdeutschland","","","",""
"12","1985","Laendlicher Raum","Ostdeutschland","","","",""
"13","1985","Staedtischer Raum","Westdeutschland","","","",""
"13","1985","Staedtischer Raum","Ostdeutschland","","","",""
"13","1985","Laendlicher Raum","Westdeutschland","","","",""
"13","1985","Laendlicher Raum","Ostdeutschland","","","",""
"14","1985","Staedtischer Raum","Westdeutschland","4","","",""
"14","1985","Staedtischer Raum","Ostdeutschland","","","",""
"14","1985","Laendlicher Raum","Westdeutschland","2","","",""
"14","1985","Laendlicher Raum","Ostdeutschland","","","",""
"15","1985","Staedtischer Raum","Westdeutschland","1","","",""
"15","1985","Staedtischer Raum","Ostdeutschland","","","",""
"15","1985","Laendlicher Raum","Westdeutschland","","","",""
"15","1985","Laendlicher Raum","Ostdeutschland","","","",""
"16","1985","Staedtischer Raum","Westdeutschland","1","","",""
"16","1985","Staedtischer Raum","Ostdeutschland","","","",""
"16","1985","Laendlicher Raum","Westdeutschland","1","","",""
"16","1985","Laendlicher Raum","Ostdeutschland","","","",""
"17","1985","Staedtischer Raum","Westdeutschland","1","","",""
"17","1985","Staedtischer Raum","Ostdeutschland","","","",""
"17","1985","Laendlicher Raum","Westdeutschland","","","",""
"17","1985","Laendlicher Raum","Ostdeutschland","","","",""
"18","1985","Staedtischer Raum","Westdeutschland","","","",""
"18","1985","Staedtischer Raum","Ostdeutschland","","","",""
"18","1985","Laendlicher Raum","Westdeutschland","","","",""
"18","1985","Laendlicher Raum","Ostdeutschland","","","",""
"19","1985","Staedtischer Raum","Westdeutschland","","","",""
"19","1985","Staedtischer Raum","Ostdeutschland","","","",""
"19","1985","Laendlicher Raum","Westdeutschland","","","",""
"19","1985","Laendlicher Raum","Ostdeutschland","","","",""
"20","1985","Staedtischer Raum","Westdeutschland","","","",""
"20","1985","Staedtischer Raum","Ostdeutschland","","","",""
"20","1985","Laendlicher Raum","Westdeutschland","","","",""
"20","1985","Laendlicher Raum","Ostdeutschland","","","",""
"21","1985","Staedtischer Raum","Westdeutschland","","","",""
"21","1985","Staedtischer Raum","Ostdeutschland","","","",""
"21","1985","Laendlicher Raum","Westdeutschland","","","",""
"21","1985","Laendlicher Raum","Ostdeutschland","","","",""
"22","1985","Staedtischer Raum","Westdeutschland","","","",""
"22","1985","Staedtischer Raum","Ostdeutschland","","","",""
"22","1985","Laendlicher Raum","Westdeutschland","","","",""
"22","1985","Laendlicher Raum","Ostdeutschland","","","",""
"23","1985","Staedtischer Raum","Westdeutschland","","","",""
"23","1985","Staedtischer Raum","Ostdeutschland","","","",""
"23","1985","Laendlicher Raum","Westdeutschland","","","",""
"23","1985","Laendlicher Raum","Ostdeutschland","","","",""
"24","1985","Staedtischer Raum","Westdeutschland","","","",""
"24","1985","Staedtischer Raum","Ostdeutschland","","","",""
"24","1985","Laendlicher Raum","Westdeutschland","","","",""
"24","1985","Laendlicher Raum","Ostdeutschland","","","",""
"25","1985","Staedtischer Raum","Westdeutschland","","","",""
"25","1985","Staedtischer Raum","Ostdeutschland","","","",""
"25","1985","Laendlicher Raum","Westdeutschland","","","",""
"25","1985","Laendlicher Raum","Ostdeutschland","","","",""
"26","1985","Staedtischer Raum","Westdeutschland","","","",""
"26","1985","Staedtischer Raum","Ostdeutschland","","","",""
"26","1985","Laendlicher Raum","Westdeutschland","","","",""
"26","1985","Laendlicher Raum","Ostdeutschland","","","",""
"27","1985","Staedtischer Raum","Westdeutschland","","","",""
"27","1985","Staedtischer Raum","Ostdeutschland","","","",""
"27","1985","Laendlicher Raum","Westdeutschland","","","",""
"27","1985","Laendlicher Raum","Ostdeutschland","","","",""
"28","1985","Staedtischer Raum","Westdeutschland","","","",""
"28","1985","Staedtischer Raum","Ostdeutschland","","","",""
"28","1985","Laendlicher Raum","Westdeutschland","","","",""
"28","1985","Laendlicher Raum","Ostdeutschland","","","",""
"30","1985","Staedtischer Raum","Westdeutschland","1","","",""
"30","1985","Staedtischer Raum","Ostdeutschland","","","",""
"30","1985","Laendlicher Raum","Westdeutschland","","","",""
"30","1985","Laendlicher Raum","Ostdeutschland","","","",""
"31","1985","Staedtischer Raum","Westdeutschland","","","",""
"31","1985","Staedtischer Raum","Ostdeutschland","","","",""
"31","1985","Laendlicher Raum","Westdeutschland","","","",""
"31","1985","Laendlicher Raum","Ostdeutschland","","","",""
"32","1985","Staedtischer Raum","Westdeutschland","","","",""
"32","1985","Staedtischer Raum","Ostdeutschland","","","",""
"32","1985","Laendlicher Raum","Westdeutschland","","","",""
"32","1985","Laendlicher Raum","Ostdeutschland","","","",""
"35","1985","Staedtischer Raum","Westdeutschland","","","",""
"35","1985","Staedtischer Raum","Ostdeutschland","","","",""
"35","1985","Laendlicher Raum","Westdeutschland","","","",""
"35","1985","Laendlicher Raum","Ostdeutschland","","","",""
"36","1985","Staedtischer Raum","Westdeutschland","","","",""
"36","1985","Staedtischer Raum","Ostdeutschland","","","",""
"36","1985","Laendlicher Raum","Westdeutschland","","","",""
"36","1985","Laendlicher Raum","Ostdeutschland","","","",""
"40","1985","Staedtischer Raum","Westdeutschland","","","",""
"40","1985","Staedtischer Raum","Ostdeutschland","","","",""
"40","1985","Laendlicher Raum","Westdeutschland","","","",""
"40","1985","Laendlicher Raum","Ostdeutschland","","","",""
"42","1985","Staedtischer Raum","Westdeutschland","","","",""
"42","1985","Staedtischer Raum","Ostdeutschland","","","",""
"42","1985","Laendlicher Raum","Westdeutschland","","","",""
"42","1985","Laendlicher Raum","Ostdeutschland","","","",""
"45","1985","Staedtischer Raum","Westdeutschland","","","",""
"45","1985","Staedtischer Raum","Ostdeutschland","","","",""
"45","1985","Laendlicher Raum","Westdeutschland","","","",""
"45","1985","Laendlicher Raum","Ostdeutschland","","","",""
"48","1985","Staedtischer Raum","Westdeutschland","","","",""
"48","1985","Staedtischer Raum","Ostdeutschland","","","",""
"48","1985","Laendlicher Raum","Westdeutschland","","","",""
"48","1985","Laendlicher Raum","Ostdeutschland","","","",""
"50","1985","Staedtischer Raum","Westdeutschland","","","",""
"50","1985","Staedtischer Raum","Ostdeutschland","","","",""
"50","1985","Laendlicher Raum","Westdeutschland","","","",""
"50","1985","Laendlicher Raum","Ostdeutschland","","","",""
"51","1985","Staedtischer Raum","Westdeutschland","","","",""
"51","1985","Staedtischer Raum","Ostdeutschland","","","",""
"51","1985","Laendlicher Raum","Westdeutschland","","","",""
"51","1985","Laendlicher Raum","Ostdeutschland","","","",""
"64","1985","Staedtischer Raum","Westdeutschland","","","",""
"64","1985","Staedtischer Raum","Ostdeutschland","","","",""
"64","1985","Laendlicher Raum","Westdeutschland","","","",""
"64","1985","Laendlicher Raum","Ostdeutschland","","","",""
"65","1985","Staedtischer Raum","Westdeutschland","","","",""
"65","1985","Staedtischer Raum","Ostdeutschland","","","",""
"65","1985","Laendlicher Raum","Westdeutschland","","","",""
"65","1985","Laendlicher Raum","Ostdeutschland","","","",""
"90","1985","Staedtischer Raum","Westdeutschland","","","",""
"90","1985","Staedtischer Raum","Ostdeutschland","","","",""
"90","1985","Laendlicher Raum","Westdeutschland","","","",""
"90","1985","Laendlicher Raum","Ostdeutschland","","","",""
"98","1985","Staedtischer Raum","Westdeutschland","","","",""
"98","1985","Staedtischer Raum","Ostdeutschland","","","",""
"98","1985","Laendlicher Raum","Westdeutschland","","","",""
"98","1985","Laendlicher Raum","Ostdeutschland","","","",""
"100","1985","Staedtischer Raum","Westdeutschland","","","",""
"100","1985","Staedtischer Raum","Ostdeutschland","","","",""
"100","1985","Laendlicher Raum","Westdeutschland","","","",""
"100","1985","Laendlicher Raum","Ostdeutschland","","","",""
"0","1986","Staedtischer Raum","Westdeutschland","2","","",""
"0","1986","Staedtischer Raum","Ostdeutschland","","","",""
"0","1986","Laendlicher Raum","Westdeutschland","","","",""
"0","1986","Laendlicher Raum","Ostdeutschland","","","",""
"1","1986","Staedtischer Raum","Westdeutschland","770","0.791964173553051","0.766193636172387","0.817734710933716"
"1","1986","Staedtischer Raum","Ostdeutschland","","","",""
"1","1986","Laendlicher Raum","Westdeutschland","189","0.819143853004265","0.770244136881171","0.868043569127359"
"1","1986","Laendlicher Raum","Ostdeutschland","","","",""
"2","1986","Staedtischer Raum","Westdeutschland","120","0.135321638889777","0.113604002354773","0.157039275424782"
"2","1986","Staedtischer Raum","Ostdeutschland","","","",""
"2","1986","Laendlicher Raum","Westdeutschland","36","0.142973835155866","0.0985020117503495","0.187445658561383"
"2","1986","Laendlicher Raum","Ostdeutschland","","","",""
"3","1986","Staedtischer Raum","Westdeutschland","26","","",""
"3","1986","Staedtischer Raum","Ostdeutschland","","","",""
"3","1986","Laendlicher Raum","Westdeutschland","6","","",""
"3","1986","Laendlicher Raum","Ostdeutschland","","","",""
"4","1986","Staedtischer Raum","Westdeutschland","9","","",""
"4","1986","Staedtischer Raum","Ostdeutschland","","","",""
"4","1986","Laendlicher Raum","Westdeutschland","","","",""
"4","1986","Laendlicher Raum","Ostdeutschland","","","",""
"5","1986","Staedtischer Raum","Westdeutschland","6","","",""
"5","1986","Staedtischer Raum","Ostdeutschland","","","",""
"5","1986","Laendlicher Raum","Westdeutschland","1","","",""
"5","1986","Laendlicher Raum","Ostdeutschland","","","",""
"6","1986","Staedtischer Raum","Westdeutschland","4","","",""
"6","1986","Staedtischer Raum","Ostdeutschland","","","",""
"6","1986","Laendlicher Raum","Westdeutschland","","","",""
"6","1986","Laendlicher Raum","Ostdeutschland","","","",""
"7","1986","Staedtischer Raum","Westdeutschland","2","","",""
"7","1986","Staedtischer Raum","Ostdeutschland","","","",""
"7","1986","Laendlicher Raum","Westdeutschland","1","","",""
"7","1986","Laendlicher Raum","Ostdeutschland","","","",""
"8","1986","Staedtischer Raum","Westdeutschland","2","","",""
"8","1986","Staedtischer Raum","Ostdeutschland","","","",""
"8","1986","Laendlicher Raum","Westdeutschland","","","",""
"8","1986","Laendlicher Raum","Ostdeutschland","","","",""
"9","1986","Staedtischer Raum","Westdeutschland","2","","",""
"9","1986","Staedtischer Raum","Ostdeutschland","","","",""
"9","1986","Laendlicher Raum","Westdeutschland","2","","",""
"9","1986","Laendlicher Raum","Ostdeutschland","","","",""
"10","1986","Staedtischer Raum","Westdeutschland","3","","",""
"10","1986","Staedtischer Raum","Ostdeutschland","","","",""
"10","1986","Laendlicher Raum","Westdeutschland","1","","",""
"10","1986","Laendlicher Raum","Ostdeutschland","","","",""
"11","1986","Staedtischer Raum","Westdeutschland","","","",""
"11","1986","Staedtischer Raum","Ostdeutschland","","","",""
"11","1986","Laendlicher Raum","Westdeutschland","","","",""
"11","1986","Laendlicher Raum","Ostdeutschland","","","",""
"12","1986","Staedtischer Raum","Westdeutschland","","","",""
"12","1986","Staedtischer Raum","Ostdeutschland","","","",""
"12","1986","Laendlicher Raum","Westdeutschland","","","",""
"12","1986","Laendlicher Raum","Ostdeutschland","","","",""
"13","1986","Staedtischer Raum","Westdeutschland","","","",""
"13","1986","Staedtischer Raum","Ostdeutschland","","","",""
"13","1986","Laendlicher Raum","Westdeutschland","","","",""
"13","1986","Laendlicher Raum","Ostdeutschland","","","",""
"14","1986","Staedtischer Raum","Westdeutschland","1","","",""
"14","1986","Staedtischer Raum","Ostdeutschland","","","",""
"14","1986","Laendlicher Raum","Westdeutschland","","","",""
"14","1986","Laendlicher Raum","Ostdeutschland","","","",""
"15","1986","Staedtischer Raum","Westdeutschland","1","","",""
"15","1986","Staedtischer Raum","Ostdeutschland","","","",""
"15","1986","Laendlicher Raum","Westdeutschland","","","",""
"15","1986","Laendlicher Raum","Ostdeutschland","","","",""
"16","1986","Staedtischer Raum","Westdeutschland","1","","",""
"16","1986","Staedtischer Raum","Ostdeutschland","","","",""
"16","1986","Laendlicher Raum","Westdeutschland","","","",""
"16","1986","Laendlicher Raum","Ostdeutschland","","","",""
"17","1986","Staedtischer Raum","Westdeutschland","","","",""
"17","1986","Staedtischer Raum","Ostdeutschland","","","",""
"17","1986","Laendlicher Raum","Westdeutschland","","","",""
"17","1986","Laendlicher Raum","Ostdeutschland","","","",""
"18","1986","Staedtischer Raum","Westdeutschland","","","",""
"18","1986","Staedtischer Raum","Ostdeutschland","","","",""
"18","1986","Laendlicher Raum","Westdeutschland","","","",""
"18","1986","Laendlicher Raum","Ostdeutschland","","","",""
"19","1986","Staedtischer Raum","Westdeutschland","","","",""
"19","1986","Staedtischer Raum","Ostdeutschland","","","",""
"19","1986","Laendlicher Raum","Westdeutschland","","","",""
"19","1986","Laendlicher Raum","Ostdeutschland","","","",""
"20","1986","Staedtischer Raum","Westdeutschland","","","",""
"20","1986","Staedtischer Raum","Ostdeutschland","","","",""
"20","1986","Laendlicher Raum","Westdeutschland","","","",""
"20","1986","Laendlicher Raum","Ostdeutschland","","","",""
"21","1986","Staedtischer Raum","Westdeutschland","1","","",""
"21","1986","Staedtischer Raum","Ostdeutschland","","","",""
"21","1986","Laendlicher Raum","Westdeutschland","","","",""
"21","1986","Laendlicher Raum","Ostdeutschland","","","",""
"22","1986","Staedtischer Raum","Westdeutschland","","","",""
"22","1986","Staedtischer Raum","Ostdeutschland","","","",""
"22","1986","Laendlicher Raum","Westdeutschland","","","",""
"22","1986","Laendlicher Raum","Ostdeutschland","","","",""
"23","1986","Staedtischer Raum","Westdeutschland","","","",""
"23","1986","Staedtischer Raum","Ostdeutschland","","","",""
"23","1986","Laendlicher Raum","Westdeutschland","","","",""
"23","1986","Laendlicher Raum","Ostdeutschland","","","",""
"24","1986","Staedtischer Raum","Westdeutschland","","","",""
"24","1986","Staedtischer Raum","Ostdeutschland","","","",""
"24","1986","Laendlicher Raum","Westdeutschland","","","",""
"24","1986","Laendlicher Raum","Ostdeutschland","","","",""
"25","1986","Staedtischer Raum","Westdeutschland","","","",""
"25","1986","Staedtischer Raum","Ostdeutschland","","","",""
"25","1986","Laendlicher Raum","Westdeutschland","","","",""
"25","1986","Laendlicher Raum","Ostdeutschland","","","",""
"26","1986","Staedtischer Raum","Westdeutschland","","","",""
"26","1986","Staedtischer Raum","Ostdeutschland","","","",""
"26","1986","Laendlicher Raum","Westdeutschland","","","",""
"26","1986","Laendlicher Raum","Ostdeutschland","","","",""
"27","1986","Staedtischer Raum","Westdeutschland","","","",""
"27","1986","Staedtischer Raum","Ostdeutschland","","","",""
"27","1986","Laendlicher Raum","Westdeutschland","","","",""
"27","1986","Laendlicher Raum","Ostdeutschland","","","",""
"28","1986","Staedtischer Raum","Westdeutschland","","","",""
"28","1986","Staedtischer Raum","Ostdeutschland","","","",""
"28","1986","Laendlicher Raum","Westdeutschland","","","",""
"28","1986","Laendlicher Raum","Ostdeutschland","","","",""
"30","1986","Staedtischer Raum","Westdeutschland","1","","",""
"30","1986","Staedtischer Raum","Ostdeutschland","","","",""
"30","1986","Laendlicher Raum","Westdeutschland","","","",""
"30","1986","Laendlicher Raum","Ostdeutschland","","","",""
"31","1986","Staedtischer Raum","Westdeutschland","1","","",""
"31","1986","Staedtischer Raum","Ostdeutschland","","","",""
"31","1986","Laendlicher Raum","Westdeutschland","","","",""
"31","1986","Laendlicher Raum","Ostdeutschland","","","",""
"32","1986","Staedtischer Raum","Westdeutschland","","","",""
"32","1986","Staedtischer Raum","Ostdeutschland","","","",""
"32","1986","Laendlicher Raum","Westdeutschland","","","",""
"32","1986","Laendlicher Raum","Ostdeutschland","","","",""
"35","1986","Staedtischer Raum","Westdeutschland","","","",""
"35","1986","Staedtischer Raum","Ostdeutschland","","","",""
"35","1986","Laendlicher Raum","Westdeutschland","","","",""
"35","1986","Laendlicher Raum","Ostdeutschland","","","",""
"36","1986","Staedtischer Raum","Westdeutschland","","","",""
"36","1986","Staedtischer Raum","Ostdeutschland","","","",""
"36","1986","Laendlicher Raum","Westdeutschland","","","",""
"36","1986","Laendlicher Raum","Ostdeutschland","","","",""
"40","1986","Staedtischer Raum","Westdeutschland","1","","",""
"40","1986","Staedtischer Raum","Ostdeutschland","","","",""
"40","1986","Laendlicher Raum","Westdeutschland","","","",""
"40","1986","Laendlicher Raum","Ostdeutschland","","","",""
"42","1986","Staedtischer Raum","Westdeutschland","","","",""
"42","1986","Staedtischer Raum","Ostdeutschland","","","",""
"42","1986","Laendlicher Raum","Westdeutschland","","","",""
"42","1986","Laendlicher Raum","Ostdeutschland","","","",""
"45","1986","Staedtischer Raum","Westdeutschland","","","",""
"45","1986","Staedtischer Raum","Ostdeutschland","","","",""
"45","1986","Laendlicher Raum","Westdeutschland","","","",""
"45","1986","Laendlicher Raum","Ostdeutschland","","","",""
"48","1986","Staedtischer Raum","Westdeutschland","","","",""
"48","1986","Staedtischer Raum","Ostdeutschland","","","",""
"48","1986","Laendlicher Raum","Westdeutschland","1","","",""
"48","1986","Laendlicher Raum","Ostdeutschland","","","",""
"50","1986","Staedtischer Raum","Westdeutschland","","","",""
"50","1986","Staedtischer Raum","Ostdeutschland","","","",""
"50","1986","Laendlicher Raum","Westdeutschland","","","",""
"50","1986","Laendlicher Raum","Ostdeutschland","","","",""
"51","1986","Staedtischer Raum","Westdeutschland","","","",""
"51","1986","Staedtischer Raum","Ostdeutschland","","","",""
"51","1986","Laendlicher Raum","Westdeutschland","1","","",""
"51","1986","Laendlicher Raum","Ostdeutschland","","","",""
"64","1986","Staedtischer Raum","Westdeutschland","","","",""
"64","1986","Staedtischer Raum","Ostdeutschland","","","",""
"64","1986","Laendlicher Raum","Westdeutschland","","","",""
"64","1986","Laendlicher Raum","Ostdeutschland","","","",""
"65","1986","Staedtischer Raum","Westdeutschland","","","",""
"65","1986","Staedtischer Raum","Ostdeutschland","","","",""
"65","1986","Laendlicher Raum","Westdeutschland","","","",""
"65","1986","Laendlicher Raum","Ostdeutschland","","","",""
"90","1986","Staedtischer Raum","Westdeutschland","","","",""
"90","1986","Staedtischer Raum","Ostdeutschland","","","",""
"90","1986","Laendlicher Raum","Westdeutschland","","","",""
"90","1986","Laendlicher Raum","Ostdeutschland","","","",""
"98","1986","Staedtischer Raum","Westdeutschland","","","",""
"98","1986","Staedtischer Raum","Ostdeutschland","","","",""
"98","1986","Laendlicher Raum","Westdeutschland","","","",""
"98","1986","Laendlicher Raum","Ostdeutschland","","","",""
"100","1986","Staedtischer Raum","Westdeutschland","","","",""
"100","1986","Staedtischer Raum","Ostdeutschland","","","",""
"100","1986","Laendlicher Raum","Westdeutschland","","","",""
"100","1986","Laendlicher Raum","Ostdeutschland","","","",""
"0","1987","Staedtischer Raum","Westdeutschland","2","","",""
"0","1987","Staedtischer Raum","Ostdeutschland","","","",""
"0","1987","Laendlicher Raum","Westdeutschland","1","","",""
"0","1987","Laendlicher Raum","Ostdeutschland","","","",""
"1","1987","Staedtischer Raum","Westdeutschland","743","0.801378662705219","0.775356939430739","0.827400385979698"
"1","1987","Staedtischer Raum","Ostdeutschland","","","",""
"1","1987","Laendlicher Raum","Westdeutschland","196","0.769310599932367","0.717194019976911","0.821427179887822"
"1","1987","Laendlicher Raum","Ostdeutschland","","","",""
"2","1987","Staedtischer Raum","Westdeutschland","106","0.134424029687215","0.112175809878132","0.156672249496298"
"2","1987","Staedtischer Raum","Ostdeutschland","","","",""
"2","1987","Laendlicher Raum","Westdeutschland","30","0.122627222845276","0.0820486513542187","0.163205794336333"
"2","1987","Laendlicher Raum","Ostdeutschland","","","",""
"3","1987","Staedtischer Raum","Westdeutschland","26","","",""
"3","1987","Staedtischer Raum","Ostdeutschland","","","",""
"3","1987","Laendlicher Raum","Westdeutschland","5","","",""
"3","1987","Laendlicher Raum","Ostdeutschland","","","",""
"4","1987","Staedtischer Raum","Westdeutschland","6","","",""
"4","1987","Staedtischer Raum","Ostdeutschland","","","",""
"4","1987","Laendlicher Raum","Westdeutschland","4","","",""
"4","1987","Laendlicher Raum","Ostdeutschland","","","",""
"5","1987","Staedtischer Raum","Westdeutschland","4","","",""
"5","1987","Staedtischer Raum","Ostdeutschland","","","",""
"5","1987","Laendlicher Raum","Westdeutschland","2","","",""
"5","1987","Laendlicher Raum","Ostdeutschland","","","",""
"6","1987","Staedtischer Raum","Westdeutschland","3","","",""
"6","1987","Staedtischer Raum","Ostdeutschland","","","",""
"6","1987","Laendlicher Raum","Westdeutschland","3","","",""
"6","1987","Laendlicher Raum","Ostdeutschland","","","",""
"7","1987","Staedtischer Raum","Westdeutschland","3","","",""
"7","1987","Staedtischer Raum","Ostdeutschland","","","",""
"7","1987","Laendlicher Raum","Westdeutschland","3","","",""
"7","1987","Laendlicher Raum","Ostdeutschland","","","",""
"8","1987","Staedtischer Raum","Westdeutschland","1","","",""
"8","1987","Staedtischer Raum","Ostdeutschland","","","",""
"8","1987","Laendlicher Raum","Westdeutschland","","","",""
"8","1987","Laendlicher Raum","Ostdeutschland","","","",""
"9","1987","Staedtischer Raum","Westdeutschland","","","",""
"9","1987","Staedtischer Raum","Ostdeutschland","","","",""
"9","1987","Laendlicher Raum","Westdeutschland","","","",""
"9","1987","Laendlicher Raum","Ostdeutschland","","","",""
"10","1987","Staedtischer Raum","Westdeutschland","","","",""
"10","1987","Staedtischer Raum","Ostdeutschland","","","",""
"10","1987","Laendlicher Raum","Westdeutschland","","","",""
"10","1987","Laendlicher Raum","Ostdeutschland","","","",""
"11","1987","Staedtischer Raum","Westdeutschland","1","","",""
"11","1987","Staedtischer Raum","Ostdeutschland","","","",""
"11","1987","Laendlicher Raum","Westdeutschland","1","","",""
"11","1987","Laendlicher Raum","Ostdeutschland","","","",""
"12","1987","Staedtischer Raum","Westdeutschland","2","","",""
"12","1987","Staedtischer Raum","Ostdeutschland","","","",""
"12","1987","Laendlicher Raum","Westdeutschland","","","",""
"12","1987","Laendlicher Raum","Ostdeutschland","","","",""
"13","1987","Staedtischer Raum","Westdeutschland","1","","",""
"13","1987","Staedtischer Raum","Ostdeutschland","","","",""
"13","1987","Laendlicher Raum","Westdeutschland","1","","",""
"13","1987","Laendlicher Raum","Ostdeutschland","","","",""
"14","1987","Staedtischer Raum","Westdeutschland","4","","",""
"14","1987","Staedtischer Raum","Ostdeutschland","","","",""
"14","1987","Laendlicher Raum","Westdeutschland","","","",""
"14","1987","Laendlicher Raum","Ostdeutschland","","","",""
"15","1987","Staedtischer Raum","Westdeutschland","","","",""
"15","1987","Staedtischer Raum","Ostdeutschland","","","",""
"15","1987","Laendlicher Raum","Westdeutschland","1","","",""
"15","1987","Laendlicher Raum","Ostdeutschland","","","",""
"16","1987","Staedtischer Raum","Westdeutschland","1","","",""
"16","1987","Staedtischer Raum","Ostdeutschland","","","",""
"16","1987","Laendlicher Raum","Westdeutschland","","","",""
"16","1987","Laendlicher Raum","Ostdeutschland","","","",""
"17","1987","Staedtischer Raum","Westdeutschland","","","",""
"17","1987","Staedtischer Raum","Ostdeutschland","","","",""
"17","1987","Laendlicher Raum","Westdeutschland","","","",""
"17","1987","Laendlicher Raum","Ostdeutschland","","","",""
"18","1987","Staedtischer Raum","Westdeutschland","","","",""
"18","1987","Staedtischer Raum","Ostdeutschland","","","",""
"18","1987","Laendlicher Raum","Westdeutschland","","","",""
"18","1987","Laendlicher Raum","Ostdeutschland","","","",""
"19","1987","Staedtischer Raum","Westdeutschland","","","",""
"19","1987","Staedtischer Raum","Ostdeutschland","","","",""
"19","1987","Laendlicher Raum","Westdeutschland","","","",""
"19","1987","Laendlicher Raum","Ostdeutschland","","","",""
"20","1987","Staedtischer Raum","Westdeutschland","","","",""
"20","1987","Staedtischer Raum","Ostdeutschland","","","",""
"20","1987","Laendlicher Raum","Westdeutschland","1","","",""
"20","1987","Laendlicher Raum","Ostdeutschland","","","",""
"21","1987","Staedtischer Raum","Westdeutschland","","","",""
"21","1987","Staedtischer Raum","Ostdeutschland","","","",""
"21","1987","Laendlicher Raum","Westdeutschland","","","",""
"21","1987","Laendlicher Raum","Ostdeutschland","","","",""
"22","1987","Staedtischer Raum","Westdeutschland","","","",""
"22","1987","Staedtischer Raum","Ostdeutschland","","","",""
"22","1987","Laendlicher Raum","Westdeutschland","","","",""
"22","1987","Laendlicher Raum","Ostdeutschland","","","",""
"23","1987","Staedtischer Raum","Westdeutschland","","","",""
"23","1987","Staedtischer Raum","Ostdeutschland","","","",""
"23","1987","Laendlicher Raum","Westdeutschland","","","",""
"23","1987","Laendlicher Raum","Ostdeutschland","","","",""
"24","1987","Staedtischer Raum","Westdeutschland","","","",""
"24","1987","Staedtischer Raum","Ostdeutschland","","","",""
"24","1987","Laendlicher Raum","Westdeutschland","","","",""
"24","1987","Laendlicher Raum","Ostdeutschland","","","",""
