"ple0055","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"31","1985","Laendlicher Raum","","","",""
"32","1985","Staedtischer Raum","","","",""
"32","1985","Laendlicher Raum","","","",""
"35","1985","Staedtischer Raum","","","",""
"35","1985","Laendlicher Raum","","","",""
"36","1985","Staedtischer Raum","","","",""
"36","1985","Laendlicher Raum","","","",""
"40","1985","Staedtischer Raum","","","",""
"40","1985","Laendlicher Raum","","","",""
"42","1985","Staedtischer Raum","","","",""
"42","1985","Laendlicher Raum","","","",""
"45","1985","Staedtischer Raum","","","",""
"45","1985","Laendlicher Raum","","","",""
"48","1985","Staedtischer Raum","","","",""
"48","1985","Laendlicher Raum","","","",""
"50","1985","Staedtischer Raum","","","",""
"50","1985","Laendlicher Raum","","","",""
"51","1985","Staedtischer Raum","","","",""
"51","1985","Laendlicher Raum","","","",""
"64","1985","Staedtischer Raum","","","",""
"64","1985","Laendlicher Raum","","","",""
"65","1985","Staedtischer Raum","","","",""
"65","1985","Laendlicher Raum","","","",""
"90","1985","Staedtischer Raum","","","",""
"90","1985","Laendlicher Raum","","","",""
"98","1985","Staedtischer Raum","","","",""
"98","1985","Laendlicher Raum","","","",""
"100","1985","Staedtischer Raum","","","",""
"100","1985","Laendlicher Raum","","","",""
"0","1986","Staedtischer Raum","2","","",""
"0","1986","Laendlicher Raum","","","",""
"1","1986","Staedtischer Raum","770","0.791964173553051","0.766193636172387","0.817734710933716"
"1","1986","Laendlicher Raum","189","0.819143853004265","0.770244136881171","0.868043569127359"
"2","1986","Staedtischer Raum","120","0.135321638889777","0.113604002354773","0.157039275424782"
"2","1986","Laendlicher Raum","36","0.142973835155866","0.0985020117503495","0.187445658561383"
"3","1986","Staedtischer Raum","26","","",""
"3","1986","Laendlicher Raum","6","","",""
"4","1986","Staedtischer Raum","9","","",""
"4","1986","Laendlicher Raum","","","",""
"5","1986","Staedtischer Raum","6","","",""
"5","1986","Laendlicher Raum","1","","",""
"6","1986","Staedtischer Raum","4","","",""
"6","1986","Laendlicher Raum","","","",""
"7","1986","Staedtischer Raum","2","","",""
"7","1986","Laendlicher Raum","1","","",""
"8","1986","Staedtischer Raum","2","","",""
"8","1986","Laendlicher Raum","","","",""
"9","1986","Staedtischer Raum","2","","",""
"9","1986","Laendlicher Raum","2","","",""
"10","1986","Staedtischer Raum","3","","",""
"10","1986","Laendlicher Raum","1","","",""
"11","1986","Staedtischer Raum","","","",""
"11","1986","Laendlicher Raum","","","",""
"12","1986","Staedtischer Raum","","","",""
"12","1986","Laendlicher Raum","","","",""
"13","1986","Staedtischer Raum","","","",""
"13","1986","Laendlicher Raum","","","",""
"14","1986","Staedtischer Raum","1","","",""
"14","1986","Laendlicher Raum","","","",""
"15","1986","Staedtischer Raum","1","","",""
"15","1986","Laendlicher Raum","","","",""
"16","1986","Staedtischer Raum","1","","",""
"16","1986","Laendlicher Raum","","","",""
"17","1986","Staedtischer Raum","","","",""
"17","1986","Laendlicher Raum","","","",""
"18","1986","Staedtischer Raum","","","",""
"18","1986","Laendlicher Raum","","","",""
"19","1986","Staedtischer Raum","","","",""
"19","1986","Laendlicher Raum","","","",""
"20","1986","Staedtischer Raum","","","",""
"20","1986","Laendlicher Raum","","","",""
"21","1986","Staedtischer Raum","1","","",""
"21","1986","Laendlicher Raum","","","",""
"22","1986","Staedtischer Raum","","","",""
"22","1986","Laendlicher Raum","","","",""
"23","1986","Staedtischer Raum","","","",""
"23","1986","Laendlicher Raum","","","",""
"24","1986","Staedtischer Raum","","","",""
"24","1986","Laendlicher Raum","","","",""
"25","1986","Staedtischer Raum","","","",""
"25","1986","Laendlicher Raum","","","",""
"26","1986","Staedtischer Raum","","","",""
"26","1986","Laendlicher Raum","","","",""
"27","1986","Staedtischer Raum","","","",""
"27","1986","Laendlicher Raum","","","",""
"28","1986","Staedtischer Raum","","","",""
"28","1986","Laendlicher Raum","","","",""
"30","1986","Staedtischer Raum","1","","",""
"30","1986","Laendlicher Raum","","","",""
"31","1986","Staedtischer Raum","1","","",""
"31","1986","Laendlicher Raum","","","",""
"32","1986","Staedtischer Raum","","","",""
"32","1986","Laendlicher Raum","","","",""
"35","1986","Staedtischer Raum","","","",""
"35","1986","Laendlicher Raum","","","",""
"36","1986","Staedtischer Raum","","","",""
"36","1986","Laendlicher Raum","","","",""
"40","1986","Staedtischer Raum","1","","",""
"40","1986","Laendlicher Raum","","","",""
"42","1986","Staedtischer Raum","","","",""
"42","1986","Laendlicher Raum","","","",""
"45","1986","Staedtischer Raum","","","",""
"45","1986","Laendlicher Raum","","","",""
"48","1986","Staedtischer Raum","","","",""
"48","1986","Laendlicher Raum","1","","",""
"50","1986","Staedtischer Raum","","","",""
"50","1986","Laendlicher Raum","","","",""
"51","1986","Staedtischer Raum","","","",""
"51","1986","Laendlicher Raum","1","","",""
"64","1986","Staedtischer Raum","","","",""
"64","1986","Laendlicher Raum","","","",""
"65","1986","Staedtischer Raum","","","",""
"65","1986","Laendlicher Raum","","","",""
"90","1986","Staedtischer Raum","","","",""
"90","1986","Laendlicher Raum","","","",""
"98","1986","Staedtischer Raum","","","",""
"98","1986","Laendlicher Raum","","","",""
"100","1986","Staedtischer Raum","","","",""
"100","1986","Laendlicher Raum","","","",""
"0","1987","Staedtischer Raum","2","","",""
"0","1987","Laendlicher Raum","1","","",""
"1","1987","Staedtischer Raum","743","0.801378662705219","0.775356939430739","0.827400385979698"
"1","1987","Laendlicher Raum","196","0.769310599932367","0.717194019976911","0.821427179887822"
"2","1987","Staedtischer Raum","106","0.134424029687215","0.112175809878132","0.156672249496298"
"2","1987","Laendlicher Raum","30","0.122627222845276","0.0820486513542187","0.163205794336333"
"3","1987","Staedtischer Raum","26","","",""
"3","1987","Laendlicher Raum","5","","",""
"4","1987","Staedtischer Raum","6","","",""
"4","1987","Laendlicher Raum","4","","",""
"5","1987","Staedtischer Raum","4","","",""
"5","1987","Laendlicher Raum","2","","",""
"6","1987","Staedtischer Raum","3","","",""
"6","1987","Laendlicher Raum","3","","",""
"7","1987","Staedtischer Raum","3","","",""
"7","1987","Laendlicher Raum","3","","",""
"8","1987","Staedtischer Raum","1","","",""
"8","1987","Laendlicher Raum","","","",""
"9","1987","Staedtischer Raum","","","",""
"9","1987","Laendlicher Raum","","","",""
"10","1987","Staedtischer Raum","","","",""
"10","1987","Laendlicher Raum","","","",""
"11","1987","Staedtischer Raum","1","","",""
"11","1987","Laendlicher Raum","1","","",""
"12","1987","Staedtischer Raum","2","","",""
"12","1987","Laendlicher Raum","","","",""
"13","1987","Staedtischer Raum","1","","",""
"13","1987","Laendlicher Raum","1","","",""
"14","1987","Staedtischer Raum","4","","",""
"14","1987","Laendlicher Raum","","","",""
"15","1987","Staedtischer Raum","","","",""
"15","1987","Laendlicher Raum","1","","",""
"16","1987","Staedtischer Raum","1","","",""
"16","1987","Laendlicher Raum","","","",""
"17","1987","Staedtischer Raum","","","",""
"17","1987","Laendlicher Raum","","","",""
"18","1987","Staedtischer Raum","","","",""
"18","1987","Laendlicher Raum","","","",""
"19","1987","Staedtischer Raum","","","",""
"19","1987","Laendlicher Raum","","","",""
"20","1987","Staedtischer Raum","","","",""
"20","1987","Laendlicher Raum","1","","",""
"21","1987","Staedtischer Raum","","","",""
"21","1987","Laendlicher Raum","","","",""
"22","1987","Staedtischer Raum","","","",""
"22","1987","Laendlicher Raum","","","",""
"23","1987","Staedtischer Raum","","","",""
"23","1987","Laendlicher Raum","","","",""
"24","1987","Staedtischer Raum","","","",""
"24","1987","Laendlicher Raum","","","",""
"25","1987","Staedtischer Raum","","","",""
"25","1987","Laendlicher Raum","","","",""
"26","1987","Staedtischer Raum","","","",""
"26","1987","Laendlicher Raum","","","",""
"27","1987","Staedtischer Raum","","","",""
"27","1987","Laendlicher Raum","","","",""
"28","1987","Staedtischer Raum","","","",""
"28","1987","Laendlicher Raum","1","","",""
"30","1987","Staedtischer Raum","","","",""
"30","1987","Laendlicher Raum","1","","",""
"31","1987","Staedtischer Raum","","","",""
"31","1987","Laendlicher Raum","","","",""
"32","1987","Staedtischer Raum","","","",""
"32","1987","Laendlicher Raum","","","",""
"35","1987","Staedtischer Raum","","","",""
"35","1987","Laendlicher Raum","1","","",""
"36","1987","Staedtischer Raum","","","",""
"36","1987","Laendlicher Raum","","","",""
"40","1987","Staedtischer Raum","","","",""
"40","1987","Laendlicher Raum","","","",""
"42","1987","Staedtischer Raum","","","",""
"42","1987","Laendlicher Raum","","","",""
"45","1987","Staedtischer Raum","","","",""
"45","1987","Laendlicher Raum","","","",""
"48","1987","Staedtischer Raum","","","",""
"48","1987","Laendlicher Raum","","","",""
"50","1987","Staedtischer Raum","","","",""
"50","1987","Laendlicher Raum","","","",""
"51","1987","Staedtischer Raum","","","",""
"51","1987","Laendlicher Raum","","","",""
"64","1987","Staedtischer Raum","","","",""
"64","1987","Laendlicher Raum","","","",""
"65","1987","Staedtischer Raum","","","",""
"65","1987","Laendlicher Raum","","","",""
"90","1987","Staedtischer Raum","","","",""
"90","1987","Laendlicher Raum","","","",""
"98","1987","Staedtischer Raum","","","",""
"98","1987","Laendlicher Raum","","","",""
"100","1987","Staedtischer Raum","","","",""
"100","1987","Laendlicher Raum","","","",""
"0","1988","Staedtischer Raum","1","","",""
"0","1988","Laendlicher Raum","","","",""
"1","1988","Staedtischer Raum","730","0.806609721780897","0.780777666117568","0.832441777444225"
"1","1988","Laendlicher Raum","162","0.740141433478327","0.681924983084192","0.798357883872462"
"2","1988","Staedtischer Raum","105","0.11740219799128","0.0963484481991971","0.138455947783363"
"2","1988","Laendlicher Raum","33","0.158090165278308","0.109661214248869","0.206519116307747"
"3","1988","Staedtischer Raum","28","","",""
"3","1988","Laendlicher Raum","12","","",""
"4","1988","Staedtischer Raum","6","","",""
"4","1988","Laendlicher Raum","1","","",""
"5","1988","Staedtischer Raum","7","","",""
"5","1988","Laendlicher Raum","","","",""
"6","1988","Staedtischer Raum","4","","",""
"6","1988","Laendlicher Raum","2","","",""
"7","1988","Staedtischer Raum","","","",""
"7","1988","Laendlicher Raum","","","",""
"8","1988","Staedtischer Raum","1","","",""
"8","1988","Laendlicher Raum","1","","",""
"9","1988","Staedtischer Raum","1","","",""
"9","1988","Laendlicher Raum","","","",""
"10","1988","Staedtischer Raum","6","","",""
"10","1988","Laendlicher Raum","1","","",""
"11","1988","Staedtischer Raum","","","",""
"11","1988","Laendlicher Raum","1","","",""
"12","1988","Staedtischer Raum","","","",""
"12","1988","Laendlicher Raum","1","","",""
"13","1988","Staedtischer Raum","2","","",""
"13","1988","Laendlicher Raum","","","",""
"14","1988","Staedtischer Raum","3","","",""
"14","1988","Laendlicher Raum","2","","",""
"15","1988","Staedtischer Raum","1","","",""
"15","1988","Laendlicher Raum","","","",""
"16","1988","Staedtischer Raum","","","",""
"16","1988","Laendlicher Raum","1","","",""
"17","1988","Staedtischer Raum","","","",""
"17","1988","Laendlicher Raum","","","",""
"18","1988","Staedtischer Raum","","","",""
"18","1988","Laendlicher Raum","","","",""
"19","1988","Staedtischer Raum","","","",""
"19","1988","Laendlicher Raum","","","",""
"20","1988","Staedtischer Raum","","","",""
"20","1988","Laendlicher Raum","","","",""
"21","1988","Staedtischer Raum","","","",""
"21","1988","Laendlicher Raum","","","",""
"22","1988","Staedtischer Raum","","","",""
"22","1988","Laendlicher Raum","","","",""
"23","1988","Staedtischer Raum","","","",""
"23","1988","Laendlicher Raum","","","",""
"24","1988","Staedtischer Raum","","","",""
"24","1988","Laendlicher Raum","","","",""
"25","1988","Staedtischer Raum","","","",""
"25","1988","Laendlicher Raum","","","",""
"26","1988","Staedtischer Raum","","","",""
"26","1988","Laendlicher Raum","","","",""
"27","1988","Staedtischer Raum","","","",""
"27","1988","Laendlicher Raum","","","",""
"28","1988","Staedtischer Raum","2","","",""
"28","1988","Laendlicher Raum","","","",""
"30","1988","Staedtischer Raum","","","",""
"30","1988","Laendlicher Raum","1","","",""
"31","1988","Staedtischer Raum","","","",""
"31","1988","Laendlicher Raum","","","",""
"32","1988","Staedtischer Raum","","","",""
"32","1988","Laendlicher Raum","","","",""
"35","1988","Staedtischer Raum","1","","",""
"35","1988","Laendlicher Raum","","","",""
"36","1988","Staedtischer Raum","","","",""
"36","1988","Laendlicher Raum","","","",""
"40","1988","Staedtischer Raum","","","",""
"40","1988","Laendlicher Raum","","","",""
"42","1988","Staedtischer Raum","","","",""
"42","1988","Laendlicher Raum","","","",""
"45","1988","Staedtischer Raum","","","",""
"45","1988","Laendlicher Raum","","","",""
"48","1988","Staedtischer Raum","","","",""
"48","1988","Laendlicher Raum","","","",""
"50","1988","Staedtischer Raum","","","",""
"50","1988","Laendlicher Raum","","","",""
"51","1988","Staedtischer Raum","","","",""
"51","1988","Laendlicher Raum","","","",""
"64","1988","Staedtischer Raum","","","",""
"64","1988","Laendlicher Raum","","","",""
"65","1988","Staedtischer Raum","","","",""
"65","1988","Laendlicher Raum","","","",""
"90","1988","Staedtischer Raum","","","",""
"90","1988","Laendlicher Raum","","","",""
"98","1988","Staedtischer Raum","","","",""
"98","1988","Laendlicher Raum","","","",""
"100","1988","Staedtischer Raum","","","",""
"100","1988","Laendlicher Raum","","","",""
"0","1989","Staedtischer Raum","","","",""
"0","1989","Laendlicher Raum","","","",""
"1","1989","Staedtischer Raum","674","0.810741925525396","0.783865498280553","0.83761835277024"
"1","1989","Laendlicher Raum","175","0.742357527513069","0.685714607028783","0.799000447997356"
"2","1989","Staedtischer Raum","97","0.126409832116968","0.103609177936473","0.149210486297464"
"2","1989","Laendlicher Raum","31","0.155823566862737","0.108848919083879","0.202798214641594"
"3","1989","Staedtischer Raum","28","","",""
"3","1989","Laendlicher Raum","8","","",""
"4","1989","Staedtischer Raum","5","","",""
"4","1989","Laendlicher Raum","4","","",""
"5","1989","Staedtischer Raum","2","","",""
"5","1989","Laendlicher Raum","2","","",""
"6","1989","Staedtischer Raum","3","","",""
"6","1989","Laendlicher Raum","3","","",""
"7","1989","Staedtischer Raum","","","",""
"7","1989","Laendlicher Raum","1","","",""
"8","1989","Staedtischer Raum","1","","",""
"8","1989","Laendlicher Raum","1","","",""
"9","1989","Staedtischer Raum","","","",""
"9","1989","Laendlicher Raum","","","",""
"10","1989","Staedtischer Raum","1","","",""
"10","1989","Laendlicher Raum","","","",""
"11","1989","Staedtischer Raum","","","",""
"11","1989","Laendlicher Raum","1","","",""
"12","1989","Staedtischer Raum","","","",""
"12","1989","Laendlicher Raum","","","",""
"13","1989","Staedtischer Raum","","","",""
"13","1989","Laendlicher Raum","","","",""
"14","1989","Staedtischer Raum","1","","",""
"14","1989","Laendlicher Raum","1","","",""
"15","1989","Staedtischer Raum","","","",""
"15","1989","Laendlicher Raum","","","",""
"16","1989","Staedtischer Raum","","","",""
"16","1989","Laendlicher Raum","","","",""
"17","1989","Staedtischer Raum","","","",""
"17","1989","Laendlicher Raum","","","",""
"18","1989","Staedtischer Raum","","","",""
"18","1989","Laendlicher Raum","","","",""
"19","1989","Staedtischer Raum","","","",""
"19","1989","Laendlicher Raum","","","",""
"20","1989","Staedtischer Raum","","","",""
"20","1989","Laendlicher Raum","","","",""
"21","1989","Staedtischer Raum","1","","",""
"21","1989","Laendlicher Raum","1","","",""
"22","1989","Staedtischer Raum","","","",""
"22","1989","Laendlicher Raum","","","",""
"23","1989","Staedtischer Raum","","","",""
"23","1989","Laendlicher Raum","","","",""
"24","1989","Staedtischer Raum","","","",""
"24","1989","Laendlicher Raum","","","",""
"25","1989","Staedtischer Raum","1","","",""
"25","1989","Laendlicher Raum","","","",""
"26","1989","Staedtischer Raum","","","",""
"26","1989","Laendlicher Raum","","","",""
"27","1989","Staedtischer Raum","","","",""
"27","1989","Laendlicher Raum","","","",""
"28","1989","Staedtischer Raum","","","",""
"28","1989","Laendlicher Raum","","","",""
"30","1989","Staedtischer Raum","","","",""
"30","1989","Laendlicher Raum","","","",""
"31","1989","Staedtischer Raum","","","",""
"31","1989","Laendlicher Raum","","","",""
"32","1989","Staedtischer Raum","","","",""
"32","1989","Laendlicher Raum","","","",""
"35","1989","Staedtischer Raum","1","","",""
"35","1989","Laendlicher Raum","","","",""
"36","1989","Staedtischer Raum","","","",""
"36","1989","Laendlicher Raum","","","",""
"40","1989","Staedtischer Raum","1","","",""
"40","1989","Laendlicher Raum","","","",""
"42","1989","Staedtischer Raum","","","",""
"42","1989","Laendlicher Raum","","","",""
"45","1989","Staedtischer Raum","","","",""
"45","1989","Laendlicher Raum","","","",""
"48","1989","Staedtischer Raum","","","",""
"48","1989","Laendlicher Raum","","","",""
"50","1989","Staedtischer Raum","","","",""
"50","1989","Laendlicher Raum","","","",""
"51","1989","Staedtischer Raum","","","",""
"51","1989","Laendlicher Raum","","","",""
"64","1989","Staedtischer Raum","","","",""
"64","1989","Laendlicher Raum","","","",""
"65","1989","Staedtischer Raum","","","",""
"65","1989","Laendlicher Raum","","","",""
"90","1989","Staedtischer Raum","","","",""
"90","1989","Laendlicher Raum","1","","",""
"98","1989","Staedtischer Raum","","","",""
"98","1989","Laendlicher Raum","","","",""
"100","1989","Staedtischer Raum","","","",""
"100","1989","Laendlicher Raum","","","",""
"0","1990","Staedtischer Raum","","","",""
"0","1990","Laendlicher Raum","","","",""
"1","1990","Staedtischer Raum","","","",""
"1","1990","Laendlicher Raum","","","",""
"2","1990","Staedtischer Raum","","","",""
"2","1990","Laendlicher Raum","","","",""
"3","1990","Staedtischer Raum","","","",""
"3","1990","Laendlicher Raum","","","",""
"4","1990","Staedtischer Raum","","","",""
"4","1990","Laendlicher Raum","","","",""
"5","1990","Staedtischer Raum","","","",""
"5","1990","Laendlicher Raum","","","",""
"6","1990","Staedtischer Raum","","","",""
"6","1990","Laendlicher Raum","","","",""
"7","1990","Staedtischer Raum","","","",""
"7","1990","Laendlicher Raum","","","",""
"8","1990","Staedtischer Raum","","","",""
"8","1990","Laendlicher Raum","","","",""
"9","1990","Staedtischer Raum","","","",""
"9","1990","Laendlicher Raum","","","",""
"10","1990","Staedtischer Raum","","","",""
"10","1990","Laendlicher Raum","","","",""
"11","1990","Staedtischer Raum","","","",""
"11","1990","Laendlicher Raum","","","",""
"12","1990","Staedtischer Raum","","","",""
"12","1990","Laendlicher Raum","","","",""
"13","1990","Staedtischer Raum","","","",""
"13","1990","Laendlicher Raum","","","",""
"14","1990","Staedtischer Raum","","","",""
"14","1990","Laendlicher Raum","","","",""
"15","1990","Staedtischer Raum","","","",""
"15","1990","Laendlicher Raum","","","",""
"16","1990","Staedtischer Raum","","","",""
"16","1990","Laendlicher Raum","","","",""
"17","1990","Staedtischer Raum","","","",""
"17","1990","Laendlicher Raum","","","",""
"18","1990","Staedtischer Raum","","","",""
"18","1990","Laendlicher Raum","","","",""
"19","1990","Staedtischer Raum","","","",""
"19","1990","Laendlicher Raum","","","",""
"20","1990","Staedtischer Raum","","","",""
"20","1990","Laendlicher Raum","","","",""
"21","1990","Staedtischer Raum","","","",""
"21","1990","Laendlicher Raum","","","",""
"22","1990","Staedtischer Raum","","","",""
"22","1990","Laendlicher Raum","","","",""
"23","1990","Staedtischer Raum","","","",""
"23","1990","Laendlicher Raum","","","",""
"24","1990","Staedtischer Raum","","","",""
"24","1990","Laendlicher Raum","","","",""
"25","1990","Staedtischer Raum","","","",""
"25","1990","Laendlicher Raum","","","",""
"26","1990","Staedtischer Raum","","","",""
"26","1990","Laendlicher Raum","","","",""
"27","1990","Staedtischer Raum","","","",""
"27","1990","Laendlicher Raum","","","",""
"28","1990","Staedtischer Raum","","","",""
"28","1990","Laendlicher Raum","","","",""
"30","1990","Staedtischer Raum","","","",""
"30","1990","Laendlicher Raum","","","",""
"31","1990","Staedtischer Raum","","","",""
"31","1990","Laendlicher Raum","","","",""
"32","1990","Staedtischer Raum","","","",""
"32","1990","Laendlicher Raum","","","",""
"35","1990","Staedtischer Raum","","","",""
"35","1990","Laendlicher Raum","","","",""
"36","1990","Staedtischer Raum","","","",""
"36","1990","Laendlicher Raum","","","",""
"40","1990","Staedtischer Raum","","","",""
"40","1990","Laendlicher Raum","","","",""
"42","1990","Staedtischer Raum","","","",""
"42","1990","Laendlicher Raum","","","",""
"45","1990","Staedtischer Raum","","","",""
"45","1990","Laendlicher Raum","","","",""
"48","1990","Staedtischer Raum","","","",""
"48","1990","Laendlicher Raum","","","",""
"50","1990","Staedtischer Raum","","","",""
"50","1990","Laendlicher Raum","","","",""
"51","1990","Staedtischer Raum","","","",""
"51","1990","Laendlicher Raum","","","",""
"64","1990","Staedtischer Raum","","","",""
"64","1990","Laendlicher Raum","","","",""
"65","1990","Staedtischer Raum","","","",""
"65","1990","Laendlicher Raum","","","",""
"90","1990","Staedtischer Raum","","","",""
"90","1990","Laendlicher Raum","","","",""
"98","1990","Staedtischer Raum","","","",""
"98","1990","Laendlicher Raum","","","",""
"100","1990","Staedtischer Raum","","","",""
"100","1990","Laendlicher Raum","","","",""
"0","1991","Staedtischer Raum","","","",""
"0","1991","Laendlicher Raum","","","",""
"1","1991","Staedtischer Raum","684","0.778491012541198","0.750492032300963","0.806489992781432"
"1","1991","Laendlicher Raum","175","0.715192245187369","0.657365670788633","0.773018819586106"
"2","1991","Staedtischer Raum","102","0.136160949678379","0.113036977467564","0.159284921889195"
"2","1991","Laendlicher Raum","40","0.179674982133802","0.130484968173615","0.228864996093989"
"3","1991","Staedtischer Raum","32","0.0463957568951296","0.0322135781068609","0.0605779356833984"
"3","1991","Laendlicher Raum","7","","",""
"4","1991","Staedtischer Raum","10","","",""
"4","1991","Laendlicher Raum","2","","",""
"5","1991","Staedtischer Raum","2","","",""
"5","1991","Laendlicher Raum","1","","",""
"6","1991","Staedtischer Raum","5","","",""
"6","1991","Laendlicher Raum","1","","",""
"7","1991","Staedtischer Raum","2","","",""
"7","1991","Laendlicher Raum","2","","",""
"8","1991","Staedtischer Raum","1","","",""
"8","1991","Laendlicher Raum","1","","",""
"9","1991","Staedtischer Raum","1","","",""
"9","1991","Laendlicher Raum","1","","",""
"10","1991","Staedtischer Raum","2","","",""
"10","1991","Laendlicher Raum","1","","",""
"11","1991","Staedtischer Raum","","","",""
"11","1991","Laendlicher Raum","","","",""
"12","1991","Staedtischer Raum","","","",""
"12","1991","Laendlicher Raum","1","","",""
"13","1991","Staedtischer Raum","","","",""
"13","1991","Laendlicher Raum","","","",""
"14","1991","Staedtischer Raum","1","","",""
"14","1991","Laendlicher Raum","","","",""
"15","1991","Staedtischer Raum","","","",""
"15","1991","Laendlicher Raum","","","",""
"16","1991","Staedtischer Raum","","","",""
"16","1991","Laendlicher Raum","","","",""
"17","1991","Staedtischer Raum","","","",""
"17","1991","Laendlicher Raum","","","",""
"18","1991","Staedtischer Raum","","","",""
"18","1991","Laendlicher Raum","","","",""
"19","1991","Staedtischer Raum","","","",""
"19","1991","Laendlicher Raum","","","",""
"20","1991","Staedtischer Raum","2","","",""
"20","1991","Laendlicher Raum","","","",""
"21","1991","Staedtischer Raum","","","",""
"21","1991","Laendlicher Raum","","","",""
"22","1991","Staedtischer Raum","","","",""
"22","1991","Laendlicher Raum","","","",""
"23","1991","Staedtischer Raum","","","",""
"23","1991","Laendlicher Raum","","","",""
"24","1991","Staedtischer Raum","","","",""
"24","1991","Laendlicher Raum","1","","",""
"25","1991","Staedtischer Raum","","","",""
"25","1991","Laendlicher Raum","","","",""
"26","1991","Staedtischer Raum","","","",""
"26","1991","Laendlicher Raum","","","",""
"27","1991","Staedtischer Raum","","","",""
"27","1991","Laendlicher Raum","1","","",""
"28","1991","Staedtischer Raum","","","",""
"28","1991","Laendlicher Raum","","","",""
"30","1991","Staedtischer Raum","1","","",""
"30","1991","Laendlicher Raum","","","",""
"31","1991","Staedtischer Raum","","","",""
"31","1991","Laendlicher Raum","","","",""
"32","1991","Staedtischer Raum","","","",""
"32","1991","Laendlicher Raum","","","",""
"35","1991","Staedtischer Raum","","","",""
"35","1991","Laendlicher Raum","","","",""
"36","1991","Staedtischer Raum","","","",""
"36","1991","Laendlicher Raum","","","",""
"40","1991","Staedtischer Raum","","","",""
"40","1991","Laendlicher Raum","","","",""
"42","1991","Staedtischer Raum","","","",""
"42","1991","Laendlicher Raum","","","",""
"45","1991","Staedtischer Raum","","","",""
"45","1991","Laendlicher Raum","","","",""
"48","1991","Staedtischer Raum","","","",""
"48","1991","Laendlicher Raum","","","",""
"50","1991","Staedtischer Raum","","","",""
"50","1991","Laendlicher Raum","","","",""
"51","1991","Staedtischer Raum","","","",""
"51","1991","Laendlicher Raum","","","",""
"64","1991","Staedtischer Raum","","","",""
"64","1991","Laendlicher Raum","","","",""
"65","1991","Staedtischer Raum","","","",""
"65","1991","Laendlicher Raum","","","",""
"90","1991","Staedtischer Raum","","","",""
"90","1991","Laendlicher Raum","","","",""
"98","1991","Staedtischer Raum","","","",""
"98","1991","Laendlicher Raum","","","",""
"100","1991","Staedtischer Raum","","","",""
"100","1991","Laendlicher Raum","","","",""
