year,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24200,1141,5154,0.23031,0.25370
1985,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05732,377,5154,0.05097,0.06367
1985,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.45630,281,616,0.41694,0.49567
1985,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.31627,200,616,0.27952,0.35302
1985,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22156,135,616,0.18874,0.25438
1985,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35220,248,755,0.31811,0.38630
1985,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64780,507,755,0.61370,0.68189
1986,Primary Level,(1a) Inadequately completed,0.86933,750,750,0.84519,0.89347
1986,Lower Secondary Level,(1b) General Elementary School,0.81869,2442,2907,0.80468,0.83270
1986,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18081,465,2907,0.16682,0.19481
1986,Upper Secondary Level,(1a) Inadequately completed,0.00503,87,4969,0.00306,0.00700
1986,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67764,3355,4969,0.66464,0.69064
1986,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24938,1128,4969,0.23734,0.26141
1986,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06550,399,4969,0.05862,0.07238
1986,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46131,265,579,0.42067,0.50195
1986,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.29682,179,579,0.25958,0.33407
1986,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23546,135,579,0.20087,0.27005
1986,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36159,247,749,0.32715,0.39602
1986,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63841,502,749,0.60398,0.67285
1987,Pre-primary Level,(0) No qualification (yet),0.99893,191,191,0.99429,1.00357
1987,Primary Level,(1a) Inadequately completed,0.85775,721,721,0.83224,0.88327
1987,Lower Secondary Level,(1b) General Elementary School,0.83821,2405,2836,0.82465,0.85176
1987,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.16175,431,2836,0.14819,0.17530
1987,Upper Secondary Level,(1a) Inadequately completed,0.00525,87,4942,0.00324,0.00727
1987,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67335,3327,4942,0.66027,0.68643
1987,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.25582,1149,4942,0.24365,0.26798
1987,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06227,379,4942,0.05553,0.06901
1987,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.45809,254,560,0.41679,0.49940
1987,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.30161,179,560,0.26356,0.33966
1987,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23224,127,560,0.19724,0.26725
1987,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36612,249,742,0.33143,0.40080
1987,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63388,493,742,0.59920,0.66857
1988,Pre-primary Level,(0) No qualification (yet),0.99094,163,163,0.97635,1.00553
1988,Primary Level,(1a) Inadequately completed,0.85739,663,663,0.83075,0.88402
1988,Lower Secondary Level,(1b) General Elementary School,0.83800,2295,2719,0.82415,0.85186
1988,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.16200,424,2719,0.14814,0.17585
1988,Upper Secondary Level,(1a) Inadequately completed,0.00512,79,4711,0.00308,0.00716
1988,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67224,3175,4711,0.65883,0.68564
1988,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.25800,1108,4711,0.24550,0.27049
1988,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06128,349,4711,0.05443,0.06813
1988,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46801,246,535,0.42569,0.51033
1988,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.29365,169,535,0.25502,0.33228
1988,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23099,120,535,0.19524,0.26674
1988,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35512,233,702,0.31969,0.39055
1988,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64488,469,702,0.60945,0.68031
1989,Primary Level,(1a) Inadequately completed,0.87300,626,626,0.84689,0.89910
1989,Lower Secondary Level,(1b) General Elementary School,0.83868,2178,2570,0.82446,0.85291
1989,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.16123,392,2570,0.14700,0.17545
1989,Upper Secondary Level,(1a) Inadequately completed,0.00494,83,4586,0.00291,0.00696
1989,Upper Secondary Level,(1c) Basic Vocational Qualification,0.66818,3057,4586,0.65455,0.68181
1989,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26048,1094,4586,0.24778,0.27319
1989,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06247,352,4586,0.05546,0.06947
1989,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46792,233,512,0.42466,0.51119
1989,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.29946,165,512,0.25975,0.33917
1989,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22626,114,512,0.18998,0.26254
1989,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35199,232,698,0.31653,0.38745
1989,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64801,466,698,0.61255,0.68347
1990,Pre-primary Level,(0) No qualification (yet),0.91209,163,194,0.87214,0.95204
1990,Pre-primary Level,(1a) Inadequately completed,0.08561,31,194,0.04614,0.12509
1990,Primary Level,(1a) Inadequately completed,0.86280,615,615,0.83558,0.89001
1990,Lower Secondary Level,(1b) General Elementary School,0.82321,2442,2985,0.80952,0.83690
1990,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17648,543,2985,0.16280,0.19016
1990,Upper Secondary Level,(1a) Inadequately completed,0.00456,78,7024,0.00298,0.00614
1990,Upper Secondary Level,(1c) Basic Vocational Qualification,0.63392,4224,7024,0.62265,0.64519
1990,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.30348,2339,7024,0.29272,0.31423
1990,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05321,383,7024,0.04796,0.05846
1990,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.45773,326,766,0.42242,0.49303
1990,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.34521,318,766,0.31152,0.37890
1990,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19213,122,766,0.16421,0.22005
1990,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46246,889,1691,0.43869,0.48623
1990,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53754,802,1691,0.51377,0.56131
1991,Pre-primary Level,(0) No qualification (yet),0.96181,150,150,0.93103,0.99258
1991,Primary Level,(1a) Inadequately completed,0.88725,635,635,0.86263,0.91187
1991,Lower Secondary Level,(1b) General Elementary School,0.82291,2325,2858,0.80891,0.83691
1991,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17676,533,2858,0.16278,0.19075
1991,Upper Secondary Level,(1a) Inadequately completed,0.00479,76,6859,0.00315,0.00642
1991,Upper Secondary Level,(1c) Basic Vocational Qualification,0.62655,4090,6859,0.61510,0.63800
1991,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31151,2307,6859,0.30055,0.32247
1991,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05172,386,6859,0.04648,0.05696
1991,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.44404,316,752,0.40850,0.47957
1991,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35178,310,752,0.31763,0.38593
1991,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19953,126,752,0.17095,0.22811
1991,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46653,884,1678,0.44266,0.49041
1991,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53347,794,1678,0.50959,0.55734
1992,Pre-primary Level,(0) No qualification (yet),0.85968,144,187,0.80977,0.90960
1992,Pre-primary Level,(1a) Inadequately completed,0.13242,43,187,0.08371,0.18113
1992,Primary Level,(1a) Inadequately completed,0.88977,603,603,0.86475,0.91478
1992,Lower Secondary Level,(1b) General Elementary School,0.81903,2244,2784,0.80473,0.83333
1992,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18041,540,2784,0.16613,0.19470
1992,Upper Secondary Level,(1a) Inadequately completed,0.00539,75,6664,0.00364,0.00715
1992,Upper Secondary Level,(1c) Basic Vocational Qualification,0.62240,3959,6664,0.61076,0.63404
1992,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31248,2251,6664,0.30135,0.32361
1992,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05384,379,6664,0.04842,0.05926
1992,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.43472,311,759,0.39943,0.47001
1992,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35410,313,759,0.32005,0.38814
1992,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.20664,135,759,0.17781,0.23546
1992,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46083,866,1655,0.43681,0.48485
1992,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53917,789,1655,0.51515,0.56319
1993,Pre-primary Level,(0) No qualification (yet),0.81058,126,185,0.75397,0.86720
1993,Pre-primary Level,(1a) Inadequately completed,0.18751,59,185,0.13111,0.24391
1993,Primary Level,(1a) Inadequately completed,0.89944,589,589,0.87513,0.92375
1993,Lower Secondary Level,(1b) General Elementary School,0.81828,2162,2678,0.80368,0.83289
1993,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18172,516,2678,0.16711,0.19632
1993,Upper Secondary Level,(1a) Inadequately completed,0.00536,72,6602,0.00360,0.00712
1993,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61671,3864,6602,0.60498,0.62843
1993,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31826,2269,6602,0.30703,0.32950
1993,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05343,397,6602,0.04801,0.05886
1993,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.43110,299,739,0.39537,0.46683
1993,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35617,311,739,0.32162,0.39072
1993,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.20843,129,739,0.17913,0.23774
1993,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45821,846,1636,0.43406,0.48237
1993,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54179,790,1636,0.51763,0.56594
1994,Pre-primary Level,(0) No qualification (yet),0.90145,201,239,0.86358,0.93932
1994,Pre-primary Level,(1a) Inadequately completed,0.09448,38,239,0.05732,0.13164
1994,Primary Level,(1a) Inadequately completed,0.89302,534,534,0.86677,0.91926
1994,Lower Secondary Level,(1b) General Elementary School,0.82555,2025,2492,0.81065,0.84045
1994,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17445,467,2492,0.15955,0.18935
1994,Upper Secondary Level,(1a) Inadequately completed,0.00544,69,6494,0.00365,0.00723
1994,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61246,3763,6494,0.60061,0.62431
1994,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31912,2261,6494,0.30778,0.33046
1994,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05485,401,6494,0.04931,0.06039
1994,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.43009,293,743,0.39447,0.46571
1994,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35603,320,743,0.32158,0.39049
1994,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.20805,130,743,0.17884,0.23726
1994,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45433,849,1653,0.43032,0.47834
1994,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54567,804,1653,0.52166,0.56968
1995,Pre-primary Level,(0) No qualification (yet),0.95154,265,265,0.92564,0.97745
1995,Primary Level,(1a) Inadequately completed,0.88107,510,510,0.85295,0.90919
1995,Lower Secondary Level,(1b) General Elementary School,0.82834,2017,2492,0.81354,0.84315
1995,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17166,475,2492,0.15685,0.18646
1995,Upper Secondary Level,(1a) Inadequately completed,0.00666,80,6650,0.00471,0.00862
1995,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61051,3805,6650,0.59879,0.62224
1995,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31426,2299,6650,0.30310,0.32542
1995,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06042,466,6650,0.05470,0.06615
1995,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.40680,279,746,0.37152,0.44207
1995,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.38420,342,746,0.34927,0.41913
1995,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19683,125,746,0.16828,0.22539
1995,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.43737,864,1753,0.41414,0.46060
1995,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.56263,889,1753,0.53940,0.58586
1996,Pre-primary Level,(0) No qualification (yet),0.98430,286,286,0.96987,0.99873
1996,Primary Level,(1a) Inadequately completed,0.88848,466,466,0.85987,0.91709
1996,Lower Secondary Level,(1b) General Elementary School,0.82205,1915,2385,0.80669,0.83740
1996,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17795,470,2385,0.16260,0.19331
1996,Upper Secondary Level,(1a) Inadequately completed,0.00687,75,6532,0.00486,0.00887
1996,Upper Secondary Level,(1c) Basic Vocational Qualification,0.60895,3729,6532,0.59712,0.62079
1996,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31832,2295,6532,0.30703,0.32962
1996,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05702,433,6532,0.05140,0.06264
1996,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.40350,276,752,0.36841,0.43859
1996,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.38712,351,752,0.35228,0.42195
1996,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19544,125,752,0.16708,0.22380
1996,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.44327,873,1764,0.42008,0.46645
1996,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.55673,891,1764,0.53355,0.57992
1997,Pre-primary Level,(0) No qualification (yet),0.98669,310,310,0.97391,0.99947
1997,Primary Level,(1a) Inadequately completed,0.87459,436,436,0.84346,0.90571
1997,Lower Secondary Level,(1b) General Elementary School,0.81793,1852,2329,0.80226,0.83361
1997,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18207,477,2329,0.16639,0.19774
1997,Upper Secondary Level,(1a) Inadequately completed,0.00674,76,6395,0.00473,0.00874
1997,Upper Secondary Level,(1c) Basic Vocational Qualification,0.60519,3627,6395,0.59321,0.61717
1997,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31921,2262,6395,0.30778,0.33063
1997,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05893,430,6395,0.05316,0.06470
1997,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.38748,265,744,0.35245,0.42252
1997,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.37791,341,744,0.34304,0.41277
1997,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21971,138,744,0.18994,0.24948
1997,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45299,873,1767,0.42977,0.47621
1997,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54701,894,1767,0.52379,0.57023
1998,Pre-primary Level,(0) No qualification (yet),0.98412,328,328,0.97057,0.99767
1998,Primary Level,(1a) Inadequately completed,0.87315,412,446,0.84223,0.90407
1998,Primary Level,(1b) General Elementary School,0.12685,34,446,0.09593,0.15777
1998,Lower Secondary Level,(1b) General Elementary School,0.81194,2001,2539,0.79674,0.82714
1998,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18806,538,2539,0.17286,0.20326
1998,Upper Secondary Level,(1a) Inadequately completed,0.00693,74,6928,0.00497,0.00888
1998,Upper Secondary Level,(1c) Basic Vocational Qualification,0.58727,3876,6928,0.57568,0.59886
1998,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32988,2497,6928,0.31880,0.34095
1998,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06487,481,6928,0.05907,0.07067
1998,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.37728,285,806,0.34380,0.41077
1998,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.38101,360,806,0.34747,0.41456
1998,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22330,161,806,0.19453,0.25207
1998,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45772,963,1969,0.43571,0.47973
1998,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54228,1006,1969,0.52027,0.56429
1999,Pre-primary Level,(0) No qualification (yet),0.98832,315,315,0.97644,1.00021
1999,Primary Level,(1a) Inadequately completed,0.88416,393,427,0.85377,0.91455
1999,Primary Level,(1b) General Elementary School,0.11584,34,427,0.08545,0.14623
1999,Lower Secondary Level,(1b) General Elementary School,0.80327,1906,2439,0.78749,0.81905
1999,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19673,533,2439,0.18095,0.21251
1999,Upper Secondary Level,(1a) Inadequately completed,0.00747,76,6840,0.00543,0.00951
1999,Upper Secondary Level,(1c) Basic Vocational Qualification,0.59081,3807,6840,0.57916,0.60246
1999,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32745,2486,6840,0.31633,0.33857
1999,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06307,471,6840,0.05731,0.06883
1999,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.37890,278,802,0.34530,0.41250
1999,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.38110,362,802,0.34747,0.41474
1999,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22344,162,802,0.19459,0.25229
1999,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45043,949,1959,0.42839,0.47247
1999,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54957,1010,1959,0.52753,0.57161
2000,Pre-primary Level,(0) No qualification (yet),0.99752,494,494,0.99313,1.00191
2000,Primary Level,(1a) Inadequately completed,0.90128,357,404,0.87216,0.93041
2000,Primary Level,(1b) General Elementary School,0.09872,47,404,0.06959,0.12784
2000,Lower Secondary Level,(1b) General Elementary School,0.81685,2819,3553,0.80413,0.82957
2000,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18205,734,3553,0.16936,0.19474
2000,Upper Secondary Level,(1a) Inadequately completed,0.00483,58,12786,0.00363,0.00603
2000,Upper Secondary Level,(1c) Basic Vocational Qualification,0.58789,7186,12786,0.57936,0.59642
2000,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.34825,4743,12786,0.34000,0.35651
2000,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05815,799,12786,0.05409,0.06220
2000,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.34203,624,1873,0.32054,0.36352
2000,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.40518,816,1873,0.38294,0.42742
2000,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.24457,433,1873,0.22509,0.26404
2000,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.43116,1699,3816,0.41544,0.44687
2000,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.56829,2117,3816,0.55258,0.58401
2001,Primary Level,(1a) Inadequately completed,0.88846,274,313,0.85353,0.92339
2001,Primary Level,(1b) General Elementary School,0.11154,39,313,0.07661,0.14647
2001,Lower Secondary Level,(1b) General Elementary School,0.81487,2430,3082,0.80115,0.82858
2001,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18513,652,3082,0.17142,0.19885
2001,Upper Secondary Level,(1a) Inadequately completed,0.00399,43,11562,0.00284,0.00514
2001,Upper Secondary Level,(1c) Basic Vocational Qualification,0.58075,6371,11562,0.57176,0.58974
2001,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35298,4382,11562,0.34427,0.36170
2001,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06113,766,11562,0.05676,0.06549
2001,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.33865,548,1667,0.31592,0.36137
2001,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.41006,735,1667,0.38644,0.43368
2001,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.24321,384,1667,0.22261,0.26381
2001,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.43159,1593,3550,0.41530,0.44789
2001,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.56841,1957,3550,0.55211,0.58470
2002,Primary Level,(1a) Inadequately completed,0.87728,248,287,0.83925,0.91530
2002,Primary Level,(1b) General Elementary School,0.12272,39,287,0.08470,0.16075
2002,Lower Secondary Level,(1b) General Elementary School,0.81248,2239,2891,0.79825,0.82671
2002,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18752,652,2891,0.17329,0.20175
2002,Upper Secondary Level,(1a) Inadequately completed,0.00385,41,11563,0.00272,0.00498
2002,Upper Secondary Level,(1c) Basic Vocational Qualification,0.57567,6091,11563,0.56666,0.58468
2002,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35753,4563,11563,0.34879,0.36627
2002,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06111,868,11563,0.05674,0.06548
2002,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.34322,548,1733,0.32086,0.36558
2002,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.41406,768,1733,0.39086,0.43726
2002,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23494,417,1733,0.21497,0.25491
2002,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.43487,1800,4559,0.42048,0.44926
2002,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.56513,2759,4559,0.55074,0.57952
2003,Pre-primary Level,(0) No qualification (yet),0.99565,618,618,0.99046,1.00084
2003,Primary Level,(1a) Inadequately completed,0.87585,233,273,0.83666,0.91504
2003,Primary Level,(1b) General Elementary School,0.12415,40,273,0.08496,0.16334
2003,Lower Secondary Level,(1b) General Elementary School,0.80916,2108,2734,0.79443,0.82389
2003,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19084,626,2734,0.17611,0.20557
2003,Upper Secondary Level,(1a) Inadequately completed,0.00434,43,11076,0.00312,0.00556
2003,Upper Secondary Level,(1c) Basic Vocational Qualification,0.56899,5788,11076,0.55977,0.57822
2003,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.36247,4404,11076,0.35352,0.37143
2003,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06140,841,11076,0.05693,0.06588
2003,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.33303,520,1679,0.31048,0.35558
2003,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.41794,748,1679,0.39434,0.44154
2003,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.24035,411,1679,0.21990,0.26079
2003,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.42973,1723,4354,0.41502,0.44444
2003,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.57027,2631,4354,0.55556,0.58498
2004,Pre-primary Level,(0) No qualification (yet),0.99759,639,639,0.99379,1.00140
2004,Primary Level,(1a) Inadequately completed,0.86567,216,257,0.82389,0.90744
2004,Primary Level,(1b) General Elementary School,0.13433,41,257,0.09256,0.17611
2004,Lower Secondary Level,(1b) General Elementary School,0.80968,1968,2574,0.79451,0.82484
2004,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19032,606,2574,0.17516,0.20549
2004,Upper Secondary Level,(1a) Inadequately completed,0.00543,47,10725,0.00404,0.00682
2004,Upper Secondary Level,(1c) Basic Vocational Qualification,0.56744,5562,10725,0.55807,0.57682
2004,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.36160,4285,10725,0.35251,0.37070
2004,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06060,831,10725,0.05608,0.06511
2004,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.33632,500,1632,0.31339,0.35925
2004,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.42286,728,1632,0.39889,0.44684
2004,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23161,404,1632,0.21114,0.25209
2004,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.43231,1708,4295,0.41750,0.44713
2004,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.56769,2587,4295,0.55287,0.58250
2005,Pre-primary Level,(0) No qualification (yet),0.99874,650,650,0.99600,1.00147
2005,Primary Level,(1a) Inadequately completed,0.85637,205,246,0.81246,0.90029
2005,Primary Level,(1b) General Elementary School,0.14363,41,246,0.09971,0.18754
