year,age_gr,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1989,17-29 y.,(2) Intermediate General/Vocational Qualification,0.28647,702,2694,0.26939,0.30354
1989,17-29 y.,(2c_gen) General Maturity Certificate,0.10914,274,2694,0.09736,0.12092
1989,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.06394,144,2694,0.05470,0.07318
1989,17-29 y.,(3b) Higher Tertiary Education,0.02348,52,2694,0.01776,0.02920
1989,30-45 y.,(1a) Inadequately completed,0.03085,244,2803,0.02444,0.03725
1989,30-45 y.,(1b) General Elementary School,0.11272,470,2803,0.10101,0.12443
1989,30-45 y.,(1c) Basic Vocational Qualification,0.43826,1092,2803,0.41989,0.45663
1989,30-45 y.,(2) Intermediate General/Vocational Qualification,0.20050,467,2803,0.18567,0.21532
1989,30-45 y.,(2c_gen) General Maturity Certificate,0.01593,53,2803,0.01129,0.02056
1989,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.05137,139,2803,0.04320,0.05955
1989,30-45 y.,(3a) Lower Tertiary Education,0.04513,104,2803,0.03744,0.05281
1989,30-45 y.,(3b) Higher Tertiary Education,0.09806,234,2803,0.08705,0.10907
1989,46-65 y.,(1a) Inadequately completed,0.02443,335,2934,0.01884,0.03001
1989,46-65 y.,(1b) General Elementary School,0.26280,794,2934,0.24687,0.27873
1989,46-65 y.,(1c) Basic Vocational Qualification,0.45166,1177,2934,0.43365,0.46967
1989,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13997,324,2934,0.12741,0.15252
1989,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02529,78,2934,0.01961,0.03097
1989,46-65 y.,(3a) Lower Tertiary Education,0.03087,75,2934,0.02461,0.03713
1989,46-65 y.,(3b) Higher Tertiary Education,0.05644,151,2934,0.04809,0.06479
1989,66 and older,(1b) General Elementary School,0.35150,351,932,0.32083,0.38217
1989,66 and older,(1c) Basic Vocational Qualification,0.37393,382,932,0.34284,0.40501
1989,66 and older,(2) Intermediate General/Vocational Qualification,0.16796,158,932,0.14395,0.19197
1989,66 and older,(2c_voc) Vocational Maturity Certificate,0.03515,41,932,0.02332,0.04697
1990,17-29 y.,(0) No qualification (yet),0.04974,163,3740,0.04277,0.05671
1990,17-29 y.,(1a) Inadequately completed,0.02348,143,3740,0.01862,0.02833
1990,17-29 y.,(1b) General Elementary School,0.12072,576,3740,0.11028,0.13116
1990,17-29 y.,(1c) Basic Vocational Qualification,0.20080,716,3740,0.18796,0.21364
1990,17-29 y.,(2) Intermediate General/Vocational Qualification,0.36444,1426,3740,0.34901,0.37986
1990,17-29 y.,(2c_gen) General Maturity Certificate,0.09559,297,3740,0.08616,0.10501
1990,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.06073,189,3740,0.05308,0.06839
1990,17-29 y.,(3a) Lower Tertiary Education,0.03254,145,3740,0.02686,0.03823
1990,17-29 y.,(3b) Higher Tertiary Education,0.02295,85,3740,0.01815,0.02775
1990,30-45 y.,(1a) Inadequately completed,0.02380,225,4253,0.01922,0.02838
1990,30-45 y.,(1b) General Elementary School,0.09306,500,4253,0.08433,0.10179
1990,30-45 y.,(1c) Basic Vocational Qualification,0.37446,1321,4253,0.35991,0.38900
1990,30-45 y.,(2) Intermediate General/Vocational Qualification,0.25522,1149,4253,0.24211,0.26832
1990,30-45 y.,(2c_gen) General Maturity Certificate,0.01513,63,4253,0.01146,0.01879
1990,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.05051,181,4253,0.04393,0.05709
1990,30-45 y.,(3a) Lower Tertiary Education,0.07377,399,4253,0.06591,0.08163
1990,30-45 y.,(3b) Higher Tertiary Education,0.10451,415,4253,0.09531,0.11370
1990,46-65 y.,(1a) Inadequately completed,0.02280,336,4211,0.01829,0.02731
1990,46-65 y.,(1b) General Elementary School,0.22804,913,4211,0.21536,0.24071
1990,46-65 y.,(1c) Basic Vocational Qualification,0.46969,1906,4211,0.45462,0.48477
1990,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13190,433,4211,0.12168,0.14212
1990,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02138,84,4211,0.01701,0.02575
1990,46-65 y.,(3a) Lower Tertiary Education,0.05525,283,4211,0.04835,0.06216
1990,46-65 y.,(3b) Higher Tertiary Education,0.06336,256,4211,0.05600,0.07071
1990,66 and older,(1b) General Elementary School,0.33606,481,1428,0.31156,0.36057
1990,66 and older,(1c) Basic Vocational Qualification,0.40565,607,1428,0.38017,0.43112
1990,66 and older,(2) Intermediate General/Vocational Qualification,0.15071,192,1428,0.13215,0.16927
1990,66 and older,(2c_voc) Vocational Maturity Certificate,0.02644,40,1428,0.01812,0.03476
1990,66 and older,(3a) Lower Tertiary Education,0.03186,62,1428,0.02275,0.04097
1990,66 and older,(3b) Higher Tertiary Education,0.02999,46,1428,0.02114,0.03884
1991,17-29 y.,(0) No qualification (yet),0.04869,153,3558,0.04162,0.05576
1991,17-29 y.,(1a) Inadequately completed,0.02607,158,3558,0.02083,0.03131
1991,17-29 y.,(1b) General Elementary School,0.11444,534,3558,0.10398,0.12490
1991,17-29 y.,(1c) Basic Vocational Qualification,0.19402,681,3558,0.18102,0.20702
1991,17-29 y.,(2) Intermediate General/Vocational Qualification,0.37018,1340,3558,0.35431,0.38605
1991,17-29 y.,(2c_gen) General Maturity Certificate,0.09326,297,3558,0.08370,0.10281
1991,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.06556,195,3558,0.05743,0.07370
1991,17-29 y.,(3a) Lower Tertiary Education,0.03163,122,3558,0.02588,0.03738
1991,17-29 y.,(3b) Higher Tertiary Education,0.02297,78,3558,0.01805,0.02790
1991,30-45 y.,(1a) Inadequately completed,0.02583,222,4260,0.02107,0.03060
1991,30-45 y.,(1b) General Elementary School,0.09230,487,4260,0.08360,0.10099
1991,30-45 y.,(1c) Basic Vocational Qualification,0.35559,1302,4260,0.34121,0.36997
1991,30-45 y.,(2) Intermediate General/Vocational Qualification,0.26391,1187,4260,0.25067,0.27715
1991,30-45 y.,(2c_gen) General Maturity Certificate,0.01524,62,4260,0.01156,0.01891
1991,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.05165,183,4260,0.04501,0.05830
1991,30-45 y.,(3a) Lower Tertiary Education,0.07744,408,4260,0.06941,0.08546
1991,30-45 y.,(3b) Higher Tertiary Education,0.10734,409,4260,0.09805,0.11664
1991,46-65 y.,(1a) Inadequately completed,0.02423,322,4076,0.01950,0.02895
1991,46-65 y.,(1b) General Elementary School,0.21690,872,4076,0.20425,0.22955
1991,46-65 y.,(1c) Basic Vocational Qualification,0.46377,1811,4076,0.44846,0.47909
1991,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13415,435,4076,0.12369,0.14462
1991,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02225,87,4076,0.01772,0.02678
1991,46-65 y.,(3a) Lower Tertiary Education,0.06238,292,4076,0.05495,0.06980
1991,46-65 y.,(3b) Higher Tertiary Education,0.06681,257,4076,0.05914,0.07447
1991,66 and older,(1b) General Elementary School,0.32586,456,1407,0.30137,0.35036
1991,66 and older,(1c) Basic Vocational Qualification,0.41476,612,1407,0.38901,0.44051
1991,66 and older,(2) Intermediate General/Vocational Qualification,0.14916,188,1407,0.13054,0.16779
1991,66 and older,(2c_voc) Vocational Maturity Certificate,0.02618,39,1407,0.01784,0.03453
1991,66 and older,(3a) Lower Tertiary Education,0.03332,62,1407,0.02394,0.04270
1991,66 and older,(3b) Higher Tertiary Education,0.03388,50,1407,0.02442,0.04333
1992,17-29 y.,(0) No qualification (yet),0.04695,147,3423,0.03986,0.05404
1992,17-29 y.,(1a) Inadequately completed,0.03046,173,3423,0.02470,0.03622
1992,17-29 y.,(1b) General Elementary School,0.11780,527,3423,0.10700,0.12861
1992,17-29 y.,(1c) Basic Vocational Qualification,0.17603,631,3423,0.16327,0.18879
1992,17-29 y.,(2) Intermediate General/Vocational Qualification,0.36922,1280,3423,0.35305,0.38539
1992,17-29 y.,(2c_gen) General Maturity Certificate,0.09856,290,3423,0.08857,0.10855
1992,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.06872,204,3423,0.06024,0.07719
1992,17-29 y.,(3a) Lower Tertiary Education,0.02810,102,3423,0.02256,0.03364
1992,17-29 y.,(3b) Higher Tertiary Education,0.02214,69,3423,0.01721,0.02707
1992,30-45 y.,(1a) Inadequately completed,0.02580,217,4210,0.02101,0.03059
1992,30-45 y.,(1b) General Elementary School,0.08633,450,4210,0.07784,0.09481
1992,30-45 y.,(1c) Basic Vocational Qualification,0.35336,1277,4210,0.33891,0.36780
1992,30-45 y.,(2) Intermediate General/Vocational Qualification,0.26248,1188,4210,0.24919,0.27577
1992,30-45 y.,(2c_gen) General Maturity Certificate,0.01420,58,4210,0.01062,0.01777
1992,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.05616,191,4210,0.04921,0.06312
1992,30-45 y.,(3a) Lower Tertiary Education,0.08008,413,4210,0.07188,0.08828
1992,30-45 y.,(3b) Higher Tertiary Education,0.11016,416,4210,0.10070,0.11961
1992,46-65 y.,(1a) Inadequately completed,0.02590,307,3968,0.02096,0.03085
1992,46-65 y.,(1b) General Elementary School,0.21230,847,3968,0.19957,0.22502
1992,46-65 y.,(1c) Basic Vocational Qualification,0.46015,1740,3968,0.44464,0.47566
1992,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13779,442,3968,0.12706,0.14851
1992,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02101,84,3968,0.01655,0.02548
1992,46-65 y.,(3a) Lower Tertiary Education,0.06149,289,3968,0.05402,0.06897
1992,46-65 y.,(3b) Higher Tertiary Education,0.06961,259,3968,0.06169,0.07753
1992,66 and older,(1b) General Elementary School,0.31402,445,1407,0.28976,0.33828
1992,66 and older,(1c) Basic Vocational Qualification,0.41841,622,1407,0.39263,0.44420
1992,66 and older,(2) Intermediate General/Vocational Qualification,0.15678,194,1407,0.13777,0.17579
1992,66 and older,(2c_voc) Vocational Maturity Certificate,0.02734,39,1407,0.01881,0.03586
1992,66 and older,(3a) Lower Tertiary Education,0.03356,62,1407,0.02414,0.04297
1992,66 and older,(3b) Higher Tertiary Education,0.03067,45,1407,0.02166,0.03968
1993,17-29 y.,(0) No qualification (yet),0.04526,127,3319,0.03819,0.05234
1993,17-29 y.,(1a) Inadequately completed,0.03754,188,3319,0.03107,0.04400
1993,17-29 y.,(1b) General Elementary School,0.11382,494,3319,0.10301,0.12463
1993,17-29 y.,(1c) Basic Vocational Qualification,0.16963,597,3319,0.15686,0.18240
1993,17-29 y.,(2) Intermediate General/Vocational Qualification,0.36512,1247,3319,0.34874,0.38150
1993,17-29 y.,(2c_gen) General Maturity Certificate,0.09854,303,3319,0.08840,0.10868
1993,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07085,200,3319,0.06212,0.07958
1993,17-29 y.,(3a) Lower Tertiary Education,0.03119,98,3319,0.02528,0.03711
1993,17-29 y.,(3b) Higher Tertiary Education,0.02393,65,3319,0.01873,0.02913
1993,30-45 y.,(1a) Inadequately completed,0.02633,203,4146,0.02146,0.03121
1993,30-45 y.,(1b) General Elementary School,0.08247,427,4146,0.07410,0.09084
1993,30-45 y.,(1c) Basic Vocational Qualification,0.34377,1237,4146,0.32931,0.35823
1993,30-45 y.,(2) Intermediate General/Vocational Qualification,0.27587,1214,4146,0.26226,0.28948
1993,30-45 y.,(2c_gen) General Maturity Certificate,0.01448,61,4146,0.01085,0.01812
1993,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.05782,198,4146,0.05072,0.06493
1993,30-45 y.,(3a) Lower Tertiary Education,0.07722,393,4146,0.06909,0.08535
1993,30-45 y.,(3b) Higher Tertiary Education,0.11038,413,4146,0.10084,0.11992
1993,46-65 y.,(1a) Inadequately completed,0.02915,306,3884,0.02386,0.03444
1993,46-65 y.,(1b) General Elementary School,0.20389,808,3884,0.19122,0.21656
1993,46-65 y.,(1c) Basic Vocational Qualification,0.46114,1699,3884,0.44546,0.47682
1993,46-65 y.,(2) Intermediate General/Vocational Qualification,0.13539,441,3884,0.12463,0.14615
1993,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02074,78,3884,0.01626,0.02523
1993,46-65 y.,(3a) Lower Tertiary Education,0.06335,287,3884,0.05569,0.07102
1993,46-65 y.,(3b) Higher Tertiary Education,0.07285,265,3884,0.06468,0.08102
1993,66 and older,(1b) General Elementary School,0.31685,455,1431,0.29274,0.34096
1993,66 and older,(1c) Basic Vocational Qualification,0.41248,630,1431,0.38697,0.43800
1993,66 and older,(2) Intermediate General/Vocational Qualification,0.15964,194,1431,0.14066,0.17863
1993,66 and older,(2c_voc) Vocational Maturity Certificate,0.02504,37,1431,0.01694,0.03314
1993,66 and older,(3a) Lower Tertiary Education,0.03718,68,1431,0.02737,0.04699
1993,66 and older,(3b) Higher Tertiary Education,0.03245,47,1431,0.02327,0.04163
1994,17-29 y.,(0) No qualification (yet),0.06736,202,3156,0.05861,0.07610
1994,17-29 y.,(1a) Inadequately completed,0.02971,140,3156,0.02378,0.03563
1994,17-29 y.,(1b) General Elementary School,0.10920,438,3156,0.09832,0.12009
1994,17-29 y.,(1c) Basic Vocational Qualification,0.15747,541,3156,0.14476,0.17018
1994,17-29 y.,(2) Intermediate General/Vocational Qualification,0.35068,1164,3156,0.33403,0.36733
1994,17-29 y.,(2c_gen) General Maturity Certificate,0.10586,305,3156,0.09512,0.11660
1994,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07248,202,3156,0.06343,0.08153
1994,17-29 y.,(3a) Lower Tertiary Education,0.03189,94,3156,0.02575,0.03802
1994,17-29 y.,(3b) Higher Tertiary Education,0.02562,70,3156,0.02011,0.03114
1994,30-45 y.,(1a) Inadequately completed,0.02535,179,4086,0.02053,0.03018
1994,30-45 y.,(1b) General Elementary School,0.07908,397,4086,0.07080,0.08736
1994,30-45 y.,(1c) Basic Vocational Qualification,0.33738,1195,4086,0.32288,0.35188
1994,30-45 y.,(2) Intermediate General/Vocational Qualification,0.27522,1227,4086,0.26153,0.28892
1994,30-45 y.,(2c_gen) General Maturity Certificate,0.01489,64,4086,0.01118,0.01860
1994,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.06188,212,4086,0.05449,0.06927
1994,30-45 y.,(3a) Lower Tertiary Education,0.07838,392,4086,0.07014,0.08662
1994,30-45 y.,(3b) Higher Tertiary Education,0.11473,420,4086,0.10496,0.12450
1994,46-65 y.,(1a) Inadequately completed,0.03055,296,3823,0.02510,0.03601
