year,age_gr,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.05906,57,1084,0.04502,0.07310
1984,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00626,40,1555,0.00234,0.01018
1984,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.79593,1245,1555,0.77589,0.81597
1984,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18921,270,1555,0.16974,0.20869
1984,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.59667,122,203,0.52902,0.66432
1984,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.21793,43,203,0.16100,0.27487
1984,46-65 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.18540,38,203,0.13180,0.23899
1984,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46299,94,221,0.39710,0.52888
1984,46-65 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53701,127,221,0.47112,0.60290
1984,66 and older,Lower Secondary Level,(1b) General Elementary School,0.93321,482,514,0.91161,0.95482
1984,66 and older,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06679,32,514,0.04518,0.08839
1984,66 and older,Upper Secondary Level,(1c) Basic Vocational Qualification,0.76568,437,560,0.73056,0.80079
1984,66 and older,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.21788,123,560,0.18366,0.25210
1984,66 and older,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.44839,39,39,0.29026,0.60652
1984,66 and older,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.65094,40,40,0.50134,0.80054
1985,17-29 y.,Primary Level,(1a) Inadequately completed,0.78305,145,145,0.71573,0.85037
1985,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.51617,605,959,0.48453,0.54782
1985,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.48383,354,959,0.45218,0.51547
1985,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.49253,725,1402,0.46635,0.51871
1985,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.30408,378,1402,0.27999,0.32817
1985,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.19583,299,1402,0.17505,0.21661
1985,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.51202,59,90,0.40818,0.61587
1985,17-29 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.32926,31,90,0.23163,0.42690
1985,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.32254,35,120,0.23855,0.40652
1985,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.67746,85,120,0.59348,0.76145
1985,30-45 y.,Primary Level,(1a) Inadequately completed,0.87522,311,311,0.83844,0.91201
1985,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.91144,641,679,0.89006,0.93283
1985,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.08856,38,679,0.06717,0.10994
1985,30-45 y.,Upper Secondary Level,(1a) Inadequately completed,0.00519,39,1752,0.00182,0.00855
1985,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.72417,1273,1752,0.70323,0.74510
1985,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24896,389,1752,0.22870,0.26921
1985,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.01936,51,1752,0.01291,0.02581
1985,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.47087,106,230,0.40622,0.53552
1985,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.31422,74,230,0.25410,0.37435
1985,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.20545,50,230,0.15312,0.25777
1985,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.29396,105,363,0.24703,0.34089
1985,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.70604,258,363,0.65911,0.75297
1985,46-65 y.,Primary Level,(1a) Inadequately completed,0.95622,335,335,0.93428,0.97816
1985,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.93883,945,999,0.92397,0.95370
1985,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06117,54,999,0.04630,0.07603
1985,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00591,32,1447,0.00196,0.00985
1985,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.79084,1157,1447,0.76988,0.81180
1985,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.19367,258,1447,0.17330,0.21404
1985,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.58713,115,196,0.51802,0.65623
1985,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.23700,46,196,0.17732,0.29669
1985,46-65 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.17587,35,196,0.12243,0.22931
1985,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.42957,84,216,0.36340,0.49574
1985,46-65 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.57043,132,216,0.50426,0.63660
1985,66 and older,Lower Secondary Level,(1b) General Elementary School,0.92729,396,396,0.90168,0.95290
1985,66 and older,Upper Secondary Level,(1c) Basic Vocational Qualification,0.75321,389,505,0.71557,0.79085
1985,66 and older,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.22830,116,505,0.19166,0.26495
1985,66 and older,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.45681,39,39,0.29843,0.61520
1985,66 and older,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.59375,32,32,0.42086,0.76664
1986,17-29 y.,Primary Level,(1a) Inadequately completed,0.75198,143,143,0.68094,0.82301
1986,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.51716,602,948,0.48534,0.54899
1986,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.48284,346,948,0.45101,0.51466
1986,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.46555,679,1373,0.43916,0.49195
1986,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.30274,376,1373,0.27842,0.32705
1986,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.22432,318,1373,0.20224,0.24639
1986,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.44621,47,47,0.30256,0.58987
1986,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.41522,35,93,0.31453,0.51591
1986,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.58478,58,93,0.48409,0.68547
1986,30-45 y.,Primary Level,(1a) Inadequately completed,0.91562,274,274,0.88264,0.94859
1986,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.89820,578,617,0.87433,0.92208
1986,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10180,39,617,0.07792,0.12567
1986,30-45 y.,Upper Secondary Level,(1a) Inadequately completed,0.00483,34,1648,0.00148,0.00818
1986,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71511,1185,1648,0.69331,0.73691
1986,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.25666,376,1648,0.23557,0.27776
1986,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.02173,53,1648,0.01469,0.02877
1986,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.40994,85,213,0.34374,0.47615
1986,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.34259,75,213,0.27871,0.40648
1986,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23810,53,213,0.18076,0.29543
1986,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.28216,102,377,0.23667,0.32765
1986,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.71784,275,377,0.67235,0.76333
1986,46-65 y.,Primary Level,(1a) Inadequately completed,0.96148,315,315,0.94020,0.98277
1986,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.93629,899,949,0.92074,0.95184
1986,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06371,50,949,0.04816,0.07926
1986,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00644,36,1438,0.00230,0.01058
1986,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.77847,1138,1438,0.75700,0.79994
1986,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.20542,264,1438,0.18453,0.22631
1986,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.61858,120,194,0.55005,0.68711
1986,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.20782,39,194,0.15058,0.26507
1986,46-65 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.17360,35,194,0.12016,0.22703
1986,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.42774,86,226,0.36309,0.49239
1986,46-65 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.57226,140,226,0.50761,0.63691
1986,66 and older,Lower Secondary Level,(1b) General Elementary School,0.91718,363,363,0.88878,0.94557
1986,66 and older,Upper Secondary Level,(1c) Basic Vocational Qualification,0.73745,353,465,0.69741,0.77748
1986,66 and older,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24059,112,465,0.20170,0.27949
1986,66 and older,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46308,35,35,0.29547,0.63069
1987,17-29 y.,Primary Level,(1a) Inadequately completed,0.68957,115,115,0.60464,0.77450
1987,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.55566,608,924,0.52360,0.58772
1987,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.44434,316,924,0.41228,0.47640
1987,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.45036,673,1376,0.42406,0.47665
1987,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32981,404,1376,0.30496,0.35466
1987,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.20956,299,1376,0.18805,0.23107
1987,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.47493,43,43,0.32391,0.62596
1987,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.45476,39,90,0.35130,0.55821
1987,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.54524,51,90,0.44179,0.64870
1987,30-45 y.,Primary Level,(1a) Inadequately completed,0.90898,270,270,0.87461,0.94335
1987,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.88587,548,588,0.86015,0.91159
1987,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.11413,40,588,0.08841,0.13985
1987,30-45 y.,Upper Secondary Level,(1a) Inadequately completed,0.00523,34,1591,0.00169,0.00878
1987,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.70940,1135,1591,0.68708,0.73172
1987,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26131,369,1591,0.23972,0.28291
1987,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.02171,53,1591,0.01455,0.02888
1987,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.38076,80,212,0.31524,0.44628
1987,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.37968,83,212,0.31419,0.44516
1987,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22603,49,212,0.16959,0.28247
1987,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.29088,99,364,0.24415,0.33760
1987,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.70912,265,364,0.66240,0.75585
1987,46-65 y.,Primary Level,(1a) Inadequately completed,0.96234,320,320,0.94145,0.98323
1987,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.93813,872,919,0.92255,0.95372
1987,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06187,47,919,0.04628,0.07745
1987,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00666,37,1443,0.00247,0.01086
1987,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.78703,1149,1443,0.76590,0.80816
1987,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.19690,257,1443,0.17638,0.21743
1987,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.62474,120,192,0.55607,0.69340
1987,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.19874,38,192,0.14215,0.25534
1987,46-65 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.17652,34,192,0.12245,0.23059
1987,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.39655,83,230,0.33319,0.45991
1987,46-65 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.60345,147,230,0.54009,0.66681
1987,66 and older,Lower Secondary Level,(1b) General Elementary School,0.92833,377,377,0.90226,0.95440
1987,66 and older,Upper Secondary Level,(1c) Basic Vocational Qualification,0.72959,370,489,0.69018,0.76900
1987,66 and older,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.24773,119,489,0.20943,0.28603
1987,66 and older,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.49286,35,35,0.32481,0.66091
1988,17-29 y.,Primary Level,(1a) Inadequately completed,0.69271,108,108,0.60529,0.78013
1988,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.56632,606,916,0.53421,0.59843
1988,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.43368,310,916,0.40157,0.46579
1988,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.45152,635,1286,0.42431,0.47873
1988,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32978,380,1286,0.30407,0.35549
1988,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.20863,271,1286,0.18642,0.23085
1988,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.48011,38,38,0.31913,0.64109
1988,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.47395,34,76,0.36094,0.58696
1988,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.52605,42,76,0.41304,0.63906
1988,30-45 y.,Primary Level,(1a) Inadequately completed,0.91741,233,233,0.88199,0.95283
1988,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.87676,495,534,0.84885,0.90467
1988,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.12324,39,534,0.09533,0.15115
1988,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69706,1054,1469,0.67356,0.72057
1988,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.27186,363,1469,0.24910,0.29462
1988,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.02418,52,1469,0.01632,0.03203
1988,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.39169,80,208,0.32520,0.45819
1988,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35955,79,208,0.29418,0.42492
1988,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23830,49,208,0.18026,0.29634
1988,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.28641,96,343,0.23849,0.33432
1988,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.71359,247,343,0.66568,0.76151
1988,46-65 y.,Primary Level,(1a) Inadequately completed,0.95659,306,306,0.93372,0.97946
1988,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.93480,843,890,0.91857,0.95103
1988,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06520,47,890,0.04897,0.08143
1988,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00714,37,1403,0.00274,0.01155
1988,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.79069,1119,1403,0.76939,0.81198
1988,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.19409,247,1403,0.17339,0.21479
1988,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.61392,112,182,0.54300,0.68485
1988,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.21497,39,182,0.15512,0.27481
1988,46-65 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.17111,31,182,0.11624,0.22598
1988,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36236,75,227,0.29969,0.42503
1988,46-65 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63764,152,227,0.57497,0.70031
1988,66 and older,Lower Secondary Level,(1b) General Elementary School,0.92375,351,351,0.89594,0.95155
1988,66 and older,Upper Secondary Level,(1c) Basic Vocational Qualification,0.72604,367,485,0.68631,0.76578
1988,66 and older,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.25037,118,485,0.21177,0.28897
1988,66 and older,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.52609,37,37,0.36298,0.68920
1989,17-29 y.,Primary Level,(1a) Inadequately completed,0.75221,104,104,0.66883,0.83558
1989,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.57208,573,858,0.53895,0.60521
1989,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.42792,285,858,0.39479,0.46105
1989,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.44391,620,1275,0.41662,0.47119
1989,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.33008,381,1275,0.30426,0.35590
1989,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.21385,274,1275,0.19134,0.23637
1989,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.41817,36,36,0.25476,0.58159
1989,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.62057,52,52,0.48740,0.75375
1989,30-45 y.,Primary Level,(1a) Inadequately completed,0.89406,212,212,0.85254,0.93559
1989,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.88576,463,498,0.85780,0.91373
1989,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.11424,35,498,0.08627,0.14220
1989,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69909,1020,1427,0.67529,0.72290
1989,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26621,354,1427,0.24327,0.28915
1989,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.02732,53,1427,0.01886,0.03578
1989,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.37420,72,197,0.30646,0.44195
1989,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.38061,78,197,0.31263,0.44859
1989,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23823,47,197,0.17859,0.29787
1989,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.31516,104,338,0.26556,0.36476
1989,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.68484,234,338,0.63524,0.73444
1989,46-65 y.,Primary Level,(1a) Inadequately completed,0.96131,298,298,0.93938,0.98325
1989,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.93232,792,836,0.91528,0.94936
1989,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06768,44,836,0.05064,0.08472
1989,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00691,37,1351,0.00249,0.01133
1989,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.78307,1072,1351,0.76108,0.80506
1989,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.20138,242,1351,0.17998,0.22277
1989,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.61321,105,143,0.53311,0.69332
1989,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.22428,38,143,0.15567,0.29289
1989,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35354,75,226,0.29107,0.41600
1989,46-65 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64646,151,226,0.58400,0.70893
1989,66 and older,Lower Secondary Level,(1b) General Elementary School,0.92310,350,350,0.89515,0.95105
1989,66 and older,Upper Secondary Level,(1c) Basic Vocational Qualification,0.71557,345,462,0.67438,0.75675
1989,66 and older,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26377,117,462,0.22354,0.30400
1989,66 and older,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.53268,37,37,0.36969,0.69566
1990,17-29 y.,Pre-primary Level,(0) No qualification (yet),0.91419,163,194,0.87467,0.95371
1990,17-29 y.,Pre-primary Level,(1a) Inadequately completed,0.08581,31,194,0.04629,0.12533
1990,17-29 y.,Primary Level,(1a) Inadequately completed,0.72860,101,101,0.64144,0.81576
1990,17-29 y.,Lower Secondary Level,(1b) General Elementary School,0.51073,558,979,0.47940,0.54206
1990,17-29 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.48927,421,979,0.45794,0.52060
1990,17-29 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.36211,696,1941,0.34072,0.38350
1990,17-29 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.44683,948,1941,0.42470,0.46895
1990,17-29 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.17901,297,1941,0.16195,0.19607
1990,17-29 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.50491,57,57,0.37396,0.63586
1990,17-29 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.58648,145,230,0.52269,0.65026
1990,17-29 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.41352,85,230,0.34974,0.47731
1990,30-45 y.,Primary Level,(1a) Inadequately completed,0.88672,195,195,0.84212,0.93132
1990,30-45 y.,Lower Secondary Level,(1b) General Elementary School,0.87262,493,534,0.84432,0.90093
1990,30-45 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.12738,41,534,0.09907,0.15568
1990,30-45 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.60633,1241,2247,0.58613,0.62654
1990,30-45 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.35988,943,2247,0.34003,0.37973
1990,30-45 y.,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.02632,63,2247,0.01970,0.03294
1990,30-45 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.32287,80,299,0.26978,0.37595
1990,30-45 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.43728,165,299,0.38096,0.49360
1990,30-45 y.,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.23406,54,299,0.18599,0.28214
1990,30-45 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.41379,399,814,0.37994,0.44765
1990,30-45 y.,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.58621,415,814,0.55235,0.62006
1990,46-65 y.,Primary Level,(1a) Inadequately completed,0.96764,300,300,0.94758,0.98770
1990,46-65 y.,Lower Secondary Level,(1b) General Elementary School,0.93784,911,958,0.92255,0.95314
1990,46-65 y.,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.06216,47,958,0.04686,0.07745
1990,46-65 y.,Upper Secondary Level,(1a) Inadequately completed,0.00622,36,2088,0.00284,0.00959
1990,46-65 y.,Upper Secondary Level,(1c) Basic Vocational Qualification,0.80114,1739,2088,0.78401,0.81826
1990,46-65 y.,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18569,313,2088,0.16900,0.20237
1990,46-65 y.,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.61225,167,240,0.55047,0.67402
1990,46-65 y.,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.25290,73,240,0.19779,0.30801
1990,46-65 y.,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46585,283,539,0.42370,0.50800
