year,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,(3a) Lower Tertiary Education,0.04182,889,13678,0.03847,0.04518
1990,(3b) Higher Tertiary Education,0.04861,802,13678,0.04501,0.05221
1991,(0) No qualification (yet),0.00920,153,13352,0.00758,0.01082
1991,(1a) Inadequately completed,0.01824,726,13352,0.01597,0.02051
1991,(1b) General Elementary School,0.14675,2349,13352,0.14075,0.15275
1991,(1c) Basic Vocational Qualification,0.29933,4406,13352,0.29156,0.30710
1991,(2) Intermediate General/Vocational Qualification,0.18693,3150,13352,0.18032,0.19354
1991,(2c_gen) General Maturity Certificate,0.02275,386,13352,0.02022,0.02528
1991,(2c_voc) Vocational Maturity Certificate,0.03380,504,13352,0.03073,0.03686
1991,(3a) Lower Tertiary Education,0.04480,884,13352,0.04129,0.04831
1991,(3b) Higher Tertiary Education,0.05122,794,13352,0.04748,0.05496
1992,(0) No qualification (yet),0.00856,147,13067,0.00698,0.01014
1992,(1a) Inadequately completed,0.01966,725,13067,0.01728,0.02204
1992,(1b) General Elementary School,0.14332,2269,13067,0.13731,0.14932
1992,(1c) Basic Vocational Qualification,0.29639,4270,13067,0.28856,0.30422
1992,(2) Intermediate General/Vocational Qualification,0.18754,3104,13067,0.18084,0.19423
1992,(2c_gen) General Maturity Certificate,0.02353,379,13067,0.02094,0.02613
1992,(2c_voc) Vocational Maturity Certificate,0.03512,518,13067,0.03196,0.03828
1992,(3a) Lower Tertiary Education,0.04481,866,13067,0.04126,0.04836
1992,(3b) Higher Tertiary Education,0.05243,789,13067,0.04860,0.05625
1993,(0) No qualification (yet),0.00802,127,12839,0.00648,0.00956
1993,(1a) Inadequately completed,0.02153,723,12839,0.01902,0.02404
1993,(1b) General Elementary School,0.13978,2184,12839,0.13378,0.14578
1993,(1c) Basic Vocational Qualification,0.29294,4163,12839,0.28506,0.30081
1993,(2) Intermediate General/Vocational Qualification,0.18920,3096,12839,0.18243,0.19598
1993,(2c_gen) General Maturity Certificate,0.02331,397,12839,0.02070,0.02592
1993,(2c_voc) Vocational Maturity Certificate,0.03542,513,12839,0.03222,0.03861
1993,(3a) Lower Tertiary Education,0.04589,846,12839,0.04227,0.04951
1993,(3b) Higher Tertiary Education,0.05426,790,12839,0.05034,0.05818
1994,(0) No qualification (yet),0.01132,202,12573,0.00947,0.01317
1994,(1a) Inadequately completed,0.02042,646,12573,0.01795,0.02289
1994,(1b) General Elementary School,0.13448,2047,12573,0.12852,0.14045
1994,(1c) Basic Vocational Qualification,0.29116,4056,12573,0.28322,0.29910
1994,(2) Intermediate General/Vocational Qualification,0.18708,3048,12573,0.18026,0.19389
1994,(2c_gen) General Maturity Certificate,0.02393,401,12573,0.02125,0.02660
1994,(2c_voc) Vocational Maturity Certificate,0.03590,520,12573,0.03264,0.03915
1994,(3a) Lower Tertiary Education,0.04712,849,12573,0.04341,0.05082
1994,(3b) Higher Tertiary Education,0.05659,804,12573,0.05255,0.06063
1995,(0) No qualification (yet),0.01350,265,12936,0.01151,0.01548
1995,(1a) Inadequately completed,0.01744,616,12936,0.01519,0.01970
1995,(1b) General Elementary School,0.13029,2041,12936,0.12449,0.13609
1995,(1c) Basic Vocational Qualification,0.28560,4084,12936,0.27781,0.29338
1995,(2) Intermediate General/Vocational Qualification,0.18308,3116,12936,0.17641,0.18974
1995,(2c_gen) General Maturity Certificate,0.02609,466,12936,0.02334,0.02884
1995,(2c_voc) Vocational Maturity Certificate,0.03996,595,12936,0.03658,0.04333
1995,(3a) Lower Tertiary Education,0.04807,864,12936,0.04439,0.05176
1995,(3b) Higher Tertiary Education,0.06184,889,12936,0.05769,0.06599
1996,(0) No qualification (yet),0.01533,287,12696,0.01319,0.01746
1996,(1a) Inadequately completed,0.01736,554,12696,0.01509,0.01964
1996,(1b) General Elementary School,0.12547,1941,12696,0.11971,0.13124
1996,(1c) Basic Vocational Qualification,0.28531,4005,12696,0.27745,0.29316
1996,(2) Intermediate General/Vocational Qualification,0.18539,3116,12696,0.17863,0.19215
1996,(2c_gen) General Maturity Certificate,0.02469,433,12696,0.02199,0.02739
1996,(2c_voc) Vocational Maturity Certificate,0.04224,596,12696,0.03874,0.04574
1996,(3a) Lower Tertiary Education,0.04903,873,12696,0.04527,0.05278
1996,(3b) Higher Tertiary Education,0.06158,891,12696,0.05740,0.06576
1997,(0) No qualification (yet),0.01551,312,12470,0.01334,0.01768
1997,(1a) Inadequately completed,0.01753,520,12470,0.01523,0.01983
1997,(1b) General Elementary School,0.12500,1880,12470,0.11920,0.13081
1997,(1c) Basic Vocational Qualification,0.28280,3892,12470,0.27489,0.29070
1997,(2) Intermediate General/Vocational Qualification,0.18588,3080,12470,0.17905,0.19271
1997,(2c_gen) General Maturity Certificate,0.02551,430,12470,0.02274,0.02827
1997,(2c_voc) Vocational Maturity Certificate,0.04295,589,12470,0.03939,0.04651
1997,(3a) Lower Tertiary Education,0.05049,873,12470,0.04665,0.05434
1997,(3b) Higher Tertiary Education,0.06097,894,12470,0.05677,0.06517
1998,(0) No qualification (yet),0.01554,330,13531,0.01346,0.01763
1998,(1a) Inadequately completed,0.01777,494,13531,0.01554,0.02000
1998,(1b) General Elementary School,0.12199,2035,13531,0.11648,0.12751
1998,(1c) Basic Vocational Qualification,0.26351,4161,13531,0.25609,0.27093
1998,(2) Intermediate General/Vocational Qualification,0.18430,3395,13531,0.17777,0.19083
1998,(2c_gen) General Maturity Certificate,0.02701,481,13531,0.02428,0.02974
1998,(2c_voc) Vocational Maturity Certificate,0.04238,666,13531,0.03898,0.04577
1998,(3a) Lower Tertiary Education,0.05108,963,13531,0.04737,0.05478
1998,(3b) Higher Tertiary Education,0.06051,1006,13531,0.05649,0.06453
1999,(0) No qualification (yet),0.01574,316,13292,0.01363,0.01786
1999,(1a) Inadequately completed,0.01896,475,13292,0.01664,0.02128
1999,(1b) General Elementary School,0.12161,1940,13292,0.11605,0.12717
1999,(1c) Basic Vocational Qualification,0.27516,4085,13292,0.26757,0.28275
1999,(2) Intermediate General/Vocational Qualification,0.19058,3381,13292,0.18390,0.19725
1999,(2c_gen) General Maturity Certificate,0.02730,471,13292,0.02453,0.03007
1999,(2c_voc) Vocational Maturity Certificate,0.04407,665,13292,0.04058,0.04756
1999,(3a) Lower Tertiary Education,0.05177,949,13292,0.04801,0.05554
1999,(3b) Higher Tertiary Education,0.06317,1010,13292,0.05903,0.06731
2000,(0) No qualification (yet),0.01424,495,24054,0.01274,0.01573
2000,(1a) Inadequately completed,0.01384,423,24054,0.01236,0.01532
2000,(1b) General Elementary School,0.10218,2866,24054,0.09836,0.10601
2000,(1c) Basic Vocational Qualification,0.28209,7810,24054,0.27640,0.28778
2000,(2) Intermediate General/Vocational Qualification,0.20274,6293,24054,0.19766,0.20782
2000,(2c_gen) General Maturity Certificate,0.02571,799,24054,0.02371,0.02771
2000,(2c_voc) Vocational Maturity Certificate,0.05663,1552,24054,0.05371,0.05955
2000,(3a) Lower Tertiary Education,0.05536,1699,24054,0.05247,0.05825
2000,(3b) Higher Tertiary Education,0.07296,2117,24054,0.06968,0.07625
2001,(0) No qualification (yet),0.01619,540,21787,0.01452,0.01787
2001,(1a) Inadequately completed,0.01138,322,21787,0.00997,0.01278
2001,(1b) General Elementary School,0.09823,2469,21787,0.09428,0.10219
2001,(1c) Basic Vocational Qualification,0.27754,6919,21787,0.27159,0.28348
2001,(2) Intermediate General/Vocational Qualification,0.20354,5769,21787,0.19820,0.20889
2001,(2c_gen) General Maturity Certificate,0.02698,766,21787,0.02483,0.02913
2001,(2c_voc) Vocational Maturity Certificate,0.05816,1452,21787,0.05505,0.06127
2001,(3a) Lower Tertiary Education,0.05719,1593,21787,0.05411,0.06028
2001,(3b) Higher Tertiary Education,0.07532,1957,21787,0.07182,0.07883
2002,(0) No qualification (yet),0.01702,613,22818,0.01534,0.01869
2002,(1a) Inadequately completed,0.01159,294,22818,0.01020,0.01298
2002,(1b) General Elementary School,0.09782,2278,22818,0.09396,0.10167
2002,(1c) Basic Vocational Qualification,0.27709,6639,22818,0.27128,0.28290
2002,(2) Intermediate General/Vocational Qualification,0.20696,5983,22818,0.20170,0.21221
2002,(2c_gen) General Maturity Certificate,0.02713,868,22818,0.02502,0.02924
2002,(2c_voc) Vocational Maturity Certificate,0.05829,1584,22818,0.05525,0.06133
2002,(3a) Lower Tertiary Education,0.05567,1800,22818,0.05269,0.05864
2002,(3b) Higher Tertiary Education,0.07234,2759,22818,0.06898,0.07570
2003,(0) No qualification (yet),0.01708,618,21892,0.01536,0.01880
2003,(1a) Inadequately completed,0.01225,280,21892,0.01080,0.01371
2003,(1b) General Elementary School,0.09642,2148,21892,0.09251,0.10033
2003,(1c) Basic Vocational Qualification,0.27078,6308,21892,0.26489,0.27666
2003,(2) Intermediate General/Vocational Qualification,0.20798,5778,21892,0.20260,0.21336
2003,(2c_gen) General Maturity Certificate,0.02694,841,21892,0.02479,0.02908
2003,(2c_voc) Vocational Maturity Certificate,0.06018,1565,21892,0.05703,0.06333
2003,(3a) Lower Tertiary Education,0.05630,1723,21892,0.05324,0.05935
2003,(3b) Higher Tertiary Education,0.07471,2631,21892,0.07123,0.07819
2004,(0) No qualification (yet),0.01877,641,21288,0.01695,0.02060
2004,(1a) Inadequately completed,0.01269,268,21288,0.01119,0.01419
2004,(1b) General Elementary School,0.09617,2009,21288,0.09221,0.10013
2004,(1c) Basic Vocational Qualification,0.26977,6062,21288,0.26381,0.27573
2004,(2) Intermediate General/Vocational Qualification,0.20752,5619,21288,0.20207,0.21296
2004,(2c_gen) General Maturity Certificate,0.02651,831,21288,0.02435,0.02867
2004,(2c_voc) Vocational Maturity Certificate,0.06136,1563,21288,0.05814,0.06458
2004,(3a) Lower Tertiary Education,0.05676,1708,21288,0.05365,0.05986
2004,(3b) Higher Tertiary Education,0.07453,2587,21288,0.07100,0.07806
2005,(0) No qualification (yet),0.02121,654,20313,0.01923,0.02319
2005,(1a) Inadequately completed,0.01324,251,20313,0.01167,0.01481
2005,(1b) General Elementary School,0.09251,1857,20313,0.08852,0.09649
2005,(1c) Basic Vocational Qualification,0.26260,5712,20313,0.25654,0.26865
2005,(2) Intermediate General/Vocational Qualification,0.21242,5382,20313,0.20680,0.21805
2005,(2c_gen) General Maturity Certificate,0.02715,778,20313,0.02491,0.02938
2005,(2c_voc) Vocational Maturity Certificate,0.06256,1513,20313,0.05923,0.06589
2005,(3a) Lower Tertiary Education,0.05604,1651,20313,0.05288,0.05920
2005,(3b) Higher Tertiary Education,0.07734,2515,20313,0.07366,0.08101
2006,(0) No qualification (yet),0.01933,650,21833,0.01750,0.02115
2006,(1a) Inadequately completed,0.01280,243,21833,0.01131,0.01429
2006,(1b) General Elementary School,0.09160,1978,21833,0.08777,0.09542
2006,(1c) Basic Vocational Qualification,0.25515,6155,21833,0.24937,0.26093
2006,(2) Intermediate General/Vocational Qualification,0.21245,5777,21833,0.20703,0.21788
2006,(2c_gen) General Maturity Certificate,0.02886,822,21833,0.02664,0.03108
2006,(2c_voc) Vocational Maturity Certificate,0.06339,1631,21833,0.06016,0.06662
2006,(3a) Lower Tertiary Education,0.05696,1807,21833,0.05389,0.06004
2006,(3b) Higher Tertiary Education,0.08436,2770,21833,0.08067,0.08804
2007,(0) No qualification (yet),0.02153,629,20384,0.01954,0.02352
2007,(1a) Inadequately completed,0.01208,214,20384,0.01058,0.01358
2007,(1b) General Elementary School,0.08742,1749,20384,0.08354,0.09130
2007,(1c) Basic Vocational Qualification,0.25051,5613,20384,0.24456,0.25646
2007,(2) Intermediate General/Vocational Qualification,0.21435,5431,20384,0.20871,0.21998
2007,(2c_gen) General Maturity Certificate,0.03119,802,20384,0.02880,0.03358
2007,(2c_voc) Vocational Maturity Certificate,0.06478,1557,20384,0.06140,0.06816
2007,(3a) Lower Tertiary Education,0.05910,1714,20384,0.05586,0.06234
2007,(3b) Higher Tertiary Education,0.08747,2675,20384,0.08359,0.09135
2008,(0) No qualification (yet),0.02084,558,19090,0.01881,0.02287
2008,(1a) Inadequately completed,0.01151,188,19090,0.00999,0.01302
2008,(1b) General Elementary School,0.08515,1595,19090,0.08119,0.08911
2008,(1c) Basic Vocational Qualification,0.24830,5242,19090,0.24217,0.25442
2008,(2) Intermediate General/Vocational Qualification,0.21745,5144,19090,0.21160,0.22330
2008,(2c_gen) General Maturity Certificate,0.03214,728,19090,0.02964,0.03464
2008,(2c_voc) Vocational Maturity Certificate,0.06469,1443,19090,0.06120,0.06818
2008,(3a) Lower Tertiary Education,0.06005,1649,19090,0.05668,0.06342
2008,(3b) Higher Tertiary Education,0.08902,2543,19090,0.08498,0.09305
2009,(0) No qualification (yet),0.02095,505,17776,0.01884,0.02305
2009,(1a) Inadequately completed,0.01143,171,17776,0.00986,0.01299
2009,(1b) General Elementary School,0.07956,1415,17776,0.07559,0.08354
2009,(1c) Basic Vocational Qualification,0.24240,4820,17776,0.23610,0.24870
2009,(2) Intermediate General/Vocational Qualification,0.21946,4828,17776,0.21338,0.22555
2009,(2c_gen) General Maturity Certificate,0.03358,680,17776,0.03093,0.03623
2009,(2c_voc) Vocational Maturity Certificate,0.06503,1322,17776,0.06140,0.06865
2009,(3a) Lower Tertiary Education,0.06300,1591,17776,0.05942,0.06657
2009,(3b) Higher Tertiary Education,0.09424,2444,17776,0.08995,0.09854
2010,(0) No qualification (yet),0.01947,709,23855,0.01772,0.02123
2010,(1a) Inadequately completed,0.01178,358,23855,0.01041,0.01315
2010,(1b) General Elementary School,0.08189,1911,23855,0.07841,0.08537
2010,(1c) Basic Vocational Qualification,0.23329,5621,23855,0.22792,0.23866
2010,(2) Intermediate General/Vocational Qualification,0.21968,6821,23855,0.21443,0.22494
2010,(2c_gen) General Maturity Certificate,0.03601,907,23855,0.03364,0.03837
2010,(2c_voc) Vocational Maturity Certificate,0.06829,2152,23855,0.06509,0.07149
2010,(3a) Lower Tertiary Education,0.06459,1964,23855,0.06147,0.06771
2010,(3b) Higher Tertiary Education,0.09659,3412,23855,0.09284,0.10034
2011,(0) No qualification (yet),0.01948,894,28112,0.01787,0.02110
2011,(1a) Inadequately completed,0.01330,425,28112,0.01196,0.01464
2011,(1b) General Elementary School,0.07801,2315,28112,0.07487,0.08114
2011,(1c) Basic Vocational Qualification,0.22668,6676,28112,0.22179,0.23158
2011,(2) Intermediate General/Vocational Qualification,0.21814,7958,28112,0.21331,0.22297
2011,(2c_gen) General Maturity Certificate,0.03859,1118,28112,0.03633,0.04084
2011,(2c_voc) Vocational Maturity Certificate,0.07030,2514,28112,0.06731,0.07329
2011,(3a) Lower Tertiary Education,0.06269,2271,28112,0.05985,0.06552
2011,(3b) Higher Tertiary Education,0.09896,3941,28112,0.09547,0.10245
2012,(0) No qualification (yet),0.01861,910,27536,0.01701,0.02020
2012,(1a) Inadequately completed,0.01339,418,27536,0.01204,0.01475
2012,(1b) General Elementary School,0.07851,2235,27536,0.07533,0.08169
2012,(1c) Basic Vocational Qualification,0.22375,6472,27536,0.21883,0.22867
2012,(2) Intermediate General/Vocational Qualification,0.21778,7801,27536,0.21291,0.22266
2012,(2c_gen) General Maturity Certificate,0.03734,1086,27536,0.03510,0.03958
2012,(2c_voc) Vocational Maturity Certificate,0.07117,2468,27536,0.06813,0.07420
2012,(3a) Lower Tertiary Education,0.06502,2275,27536,0.06211,0.06793
2012,(3b) Higher Tertiary Education,0.10213,3871,27536,0.09855,0.10571
2013,(0) No qualification (yet),0.01958,1084,30400,0.01802,0.02113
2013,(1a) Inadequately completed,0.01527,676,30400,0.01389,0.01665
2013,(1b) General Elementary School,0.07730,2860,30400,0.07430,0.08030
2013,(1c) Basic Vocational Qualification,0.21618,6608,30400,0.21155,0.22081
2013,(2) Intermediate General/Vocational Qualification,0.21796,7847,30400,0.21332,0.22260
2013,(2c_gen) General Maturity Certificate,0.04078,1601,30400,0.03856,0.04300
2013,(2c_voc) Vocational Maturity Certificate,0.07273,2862,30400,0.06981,0.07565
2013,(3a) Lower Tertiary Education,0.06553,2275,30400,0.06274,0.06831
2013,(3b) Higher Tertiary Education,0.10525,4587,30400,0.10180,0.10870
2014,(0) No qualification (yet),0.01803,892,26822,0.01644,0.01962
2014,(1a) Inadequately completed,0.01540,544,26822,0.01392,0.01687
2014,(1b) General Elementary School,0.07605,2412,26822,0.07288,0.07923
2014,(1c) Basic Vocational Qualification,0.21036,5851,26822,0.20549,0.21524
2014,(2) Intermediate General/Vocational Qualification,0.21199,6946,26822,0.20710,0.21688
2014,(2c_gen) General Maturity Certificate,0.04211,1439,26822,0.03970,0.04451
2014,(2c_voc) Vocational Maturity Certificate,0.07558,2511,26822,0.07242,0.07875
2014,(3a) Lower Tertiary Education,0.06990,2175,26822,0.06685,0.07295
2014,(3b) Higher Tertiary Education,0.10863,4052,26822,0.10491,0.11235
2015,(0) No qualification (yet),0.01534,779,26472,0.01386,0.01682
2015,(1a) Inadequately completed,0.01520,586,26472,0.01373,0.01667
2015,(1b) General Elementary School,0.07325,2317,26472,0.07011,0.07639
2015,(1c) Basic Vocational Qualification,0.20437,5560,26472,0.19952,0.20923
2015,(2) Intermediate General/Vocational Qualification,0.21452,6642,26472,0.20957,0.21946
2015,(2c_gen) General Maturity Certificate,0.04154,1567,26472,0.03913,0.04394
2015,(2c_voc) Vocational Maturity Certificate,0.07743,2599,26472,0.07421,0.08065
2015,(3a) Lower Tertiary Education,0.07156,2127,26472,0.06846,0.07467
2015,(3b) Higher Tertiary Education,0.11324,4295,26472,0.10942,0.11705
2016,(0) No qualification (yet),0.01573,870,26900,0.01425,0.01722
2016,(1a) Inadequately completed,0.01533,1529,26900,0.01387,0.01680
2016,(1b) General Elementary School,0.07214,2543,26900,0.06905,0.07523
2016,(1c) Basic Vocational Qualification,0.19804,5134,26900,0.19328,0.20280
2016,(2) Intermediate General/Vocational Qualification,0.21191,6122,26900,0.20703,0.21680
2016,(2c_gen) General Maturity Certificate,0.04107,1705,26900,0.03869,0.04344
2016,(2c_voc) Vocational Maturity Certificate,0.08162,2509,26900,0.07835,0.08489
2016,(3a) Lower Tertiary Education,0.07150,2012,26900,0.06842,0.07458
2016,(3b) Higher Tertiary Education,0.11476,4476,26900,0.11096,0.11857
2017,(0) No qualification (yet),0.01682,925,30161,0.01537,0.01827
2017,(1a) Inadequately completed,0.01826,2019,30161,0.01675,0.01977
2017,(1b) General Elementary School,0.07167,2854,30161,0.06876,0.07458
2017,(1c) Basic Vocational Qualification,0.18936,5260,30161,0.18493,0.19378
2017,(2) Intermediate General/Vocational Qualification,0.21479,7019,30161,0.21016,0.21943
2017,(2c_gen) General Maturity Certificate,0.04183,2074,30161,0.03957,0.04409
2017,(2c_voc) Vocational Maturity Certificate,0.07949,2759,30161,0.07643,0.08254
2017,(3a) Lower Tertiary Education,0.07097,2278,30161,0.06808,0.07387
2017,(3b) Higher Tertiary Education,0.11758,4973,30161,0.11395,0.12122
2018,(0) No qualification (yet),0.01465,777,28709,0.01326,0.01604
2018,(1a) Inadequately completed,0.01831,1918,28709,0.01676,0.01986
2018,(1b) General Elementary School,0.07072,2722,28709,0.06776,0.07369
2018,(1c) Basic Vocational Qualification,0.18428,4918,28709,0.17980,0.18877
2018,(2) Intermediate General/Vocational Qualification,0.21269,6756,28709,0.20796,0.21742
2018,(2c_gen) General Maturity Certificate,0.04336,1992,28709,0.04100,0.04572
2018,(2c_voc) Vocational Maturity Certificate,0.08212,2648,28709,0.07895,0.08530
2018,(3a) Lower Tertiary Education,0.07509,2253,28709,0.07204,0.07814
2018,(3b) Higher Tertiary Education,0.11965,4725,28709,0.11590,0.12341
2019,(0) No qualification (yet),0.01323,616,28459,0.01191,0.01456
2019,(1a) Inadequately completed,0.01870,1801,28459,0.01713,0.02027
2019,(1b) General Elementary School,0.06748,2379,28459,0.06456,0.07039
2019,(1c) Basic Vocational Qualification,0.17585,4568,28459,0.17143,0.18027
2019,(2) Intermediate General/Vocational Qualification,0.21348,6844,28459,0.20872,0.21824
2019,(2c_gen) General Maturity Certificate,0.04427,1914,28459,0.04188,0.04666
2019,(2c_voc) Vocational Maturity Certificate,0.08460,2751,28459,0.08137,0.08784
2019,(3a) Lower Tertiary Education,0.07479,2473,28459,0.07173,0.07784
2019,(3b) Higher Tertiary Education,0.12388,5113,28459,0.12005,0.12770
2020,(0) No qualification (yet),0.01510,776,28581,0.01369,0.01651
2020,(1a) Inadequately completed,0.01688,1914,28581,0.01539,0.01837
2020,(1b) General Elementary School,0.06612,2530,28581,0.06323,0.06900
2020,(1c) Basic Vocational Qualification,0.17226,4268,28581,0.16789,0.17664
2020,(2) Intermediate General/Vocational Qualification,0.21288,6313,28581,0.20814,0.21763
2020,(2c_gen) General Maturity Certificate,0.04262,2205,28581,0.04028,0.04497
2020,(2c_voc) Vocational Maturity Certificate,0.08519,2812,28581,0.08195,0.08842
2020,(3a) Lower Tertiary Education,0.07881,2355,28581,0.07569,0.08193
2020,(3b) Higher Tertiary Education,0.12396,5408,28581,0.12014,0.12778
2021,(0) No qualification (yet),0.01263,449,18941,0.01104,0.01422
2021,(1a) Inadequately completed,0.01585,1124,18941,0.01407,0.01763
2021,(1b) General Elementary School,0.05791,1385,18941,0.05459,0.06124
2021,(1c) Basic Vocational Qualification,0.16667,2700,18941,0.16136,0.17198
2021,(2) Intermediate General/Vocational Qualification,0.20250,4263,18941,0.19678,0.20823
2021,(2c_gen) General Maturity Certificate,0.04641,1403,18941,0.04341,0.04941
2021,(2c_voc) Vocational Maturity Certificate,0.08781,1910,18941,0.08378,0.09184
2021,(3a) Lower Tertiary Education,0.07661,1728,18941,0.07282,0.08040
2021,(3b) Higher Tertiary Education,0.13709,3979,18941,0.13220,0.14199
