year,bula_h,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Baden-Wuerttemberg,Urban regions,Yes,0.31338,403,1228,0.28743,0.33934
2001,Baden-Wuerttemberg,Urban regions,No,0.68662,825,1228,0.66066,0.71257
2001,Baden-Wuerttemberg,Rural regions,Yes,0.29600,41,134,0.21842,0.37358
2001,Baden-Wuerttemberg,Rural regions,No,0.70400,93,134,0.62642,0.78158
2001,Bavaria,Urban regions,Yes,0.27482,246,805,0.24396,0.30568
2001,Bavaria,Urban regions,No,0.72518,559,805,0.69432,0.75604
2001,Bavaria,Rural regions,Yes,0.39329,358,811,0.35965,0.42693
2001,Bavaria,Rural regions,No,0.60671,453,811,0.57307,0.64035
2001,Berlin,Urban regions,Yes,0.31222,158,481,0.27076,0.35367
2001,Berlin,Urban regions,No,0.68778,323,481,0.64633,0.72924
2001,Brandenburg,Rural regions,Yes,0.52172,253,463,0.47617,0.56727
2001,Brandenburg,Rural regions,No,0.47828,210,463,0.43273,0.52383
2001,Mecklenburg-Western Pomerania,Rural regions,Yes,0.44838,119,245,0.38598,0.51078
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.55162,126,245,0.48922,0.61402
2001,Saxony,Urban regions,Yes,0.41054,186,420,0.36344,0.45765
2001,Saxony,Urban regions,No,0.58946,234,420,0.54235,0.63656
2001,Saxony,Rural regions,Yes,0.45710,218,429,0.40991,0.50430
2001,Saxony,Rural regions,No,0.54290,211,429,0.49570,0.59009
2001,Saxony-Anhalt,Urban regions,Yes,0.43253,47,104,0.33685,0.52821
2001,Saxony-Anhalt,Urban regions,No,0.56747,57,104,0.47179,0.66315
2001,Saxony-Anhalt,Rural regions,Yes,0.51418,227,401,0.46520,0.56316
2001,Saxony-Anhalt,Rural regions,No,0.48582,174,401,0.43684,0.53480
2001,Thuringa,Urban regions,Yes,0.36448,63,144,0.28560,0.44337
2001,Thuringa,Urban regions,No,0.63552,81,144,0.55663,0.71440
2001,Thuringa,Rural regions,Yes,0.48758,194,350,0.43514,0.54002
2001,Thuringa,Rural regions,No,0.51242,156,350,0.45998,0.56486
2006,Schleswig-Holstein,Urban regions,Yes,0.25770,48,159,0.18950,0.32590
2006,Schleswig-Holstein,Urban regions,No,0.74230,111,159,0.67410,0.81050
2006,Schleswig-Holstein,Rural regions,Yes,0.39192,97,230,0.32869,0.45515
2006,Schleswig-Holstein,Rural regions,No,0.60808,133,230,0.54485,0.67131
2006,Hamburg,Urban regions,Yes,0.18127,42,194,0.12692,0.23563
2006,Hamburg,Urban regions,No,0.81873,152,194,0.76437,0.87308
2006,Lower Saxony,Urban regions,Yes,0.28632,174,526,0.24765,0.32498
2006,Lower Saxony,Urban regions,No,0.71368,352,526,0.67502,0.75235
2006,Lower Saxony,Rural regions,Yes,0.42373,252,548,0.38232,0.46514
2006,Lower Saxony,Rural regions,No,0.57627,296,548,0.53486,0.61768
2006,Bremen,Urban regions,Yes,0.38540,36,90,0.28429,0.48652
2006,Bremen,Urban regions,No,0.61460,54,90,0.51348,0.71571
2006,North Rhine-Westphalia,Urban regions,Yes,0.30762,834,2474,0.28943,0.32581
2006,North Rhine-Westphalia,Urban regions,No,0.69238,1640,2474,0.67419,0.71057
2006,North Rhine-Westphalia,Rural regions,No,0.68373,41,41,0.53962,0.82784
2006,Hesse,Urban regions,Yes,0.29754,245,691,0.26342,0.33165
2006,Hesse,Urban regions,No,0.70246,446,691,0.66835,0.73658
2006,Hesse,Rural regions,Yes,0.43179,72,155,0.35356,0.51003
2006,Hesse,Rural regions,No,0.56821,83,155,0.48997,0.64644
2006,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.37227,215,551,0.33187,0.41267
2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.62773,336,551,0.58733,0.66813
2006,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.38612,82,176,0.31399,0.45826
2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.61388,94,176,0.54174,0.68601
2006,Baden-Wuerttemberg,Urban regions,Yes,0.29626,447,1348,0.27188,0.32064
2006,Baden-Wuerttemberg,Urban regions,No,0.70374,901,1348,0.67936,0.72812
2006,Baden-Wuerttemberg,Rural regions,Yes,0.42623,48,125,0.33918,0.51327
2006,Baden-Wuerttemberg,Rural regions,No,0.57377,77,125,0.48673,0.66082
2006,Bavaria,Urban regions,Yes,0.26845,265,867,0.23894,0.29797
2006,Bavaria,Urban regions,No,0.73155,602,867,0.70203,0.76106
2006,Bavaria,Rural regions,Yes,0.41782,378,863,0.38489,0.45074
2006,Bavaria,Rural regions,No,0.58218,485,863,0.54926,0.61511
2006,Berlin,Urban regions,Yes,0.26946,150,484,0.22990,0.30903
2006,Berlin,Urban regions,No,0.73054,334,484,0.69097,0.77010
2006,Brandenburg,Urban regions,No,0.75978,36,36,0.61824,0.90131
2006,Brandenburg,Rural regions,Yes,0.51864,269,486,0.47417,0.56310
2006,Brandenburg,Rural regions,No,0.48136,217,486,0.43690,0.52583
2006,Mecklenburg-Western Pomerania,Rural regions,Yes,0.43787,123,264,0.37791,0.49783
2006,Mecklenburg-Western Pomerania,Rural regions,No,0.56213,141,264,0.50217,0.62209
2006,Saxony,Urban regions,Yes,0.34594,181,455,0.30218,0.38969
2006,Saxony,Urban regions,No,0.65406,274,455,0.61031,0.69782
2006,Saxony,Rural regions,Yes,0.43634,196,422,0.38897,0.48371
2006,Saxony,Rural regions,No,0.56366,226,422,0.51629,0.61103
2006,Saxony-Anhalt,Urban regions,Yes,0.32163,38,96,0.22770,0.41556
2006,Saxony-Anhalt,Urban regions,No,0.67837,58,96,0.58444,0.77230
2006,Saxony-Anhalt,Rural regions,Yes,0.50933,218,396,0.46003,0.55863
2006,Saxony-Anhalt,Rural regions,No,0.49067,178,396,0.44137,0.53997
2006,Thuringa,Urban regions,Yes,0.31254,59,147,0.23735,0.38773
2006,Thuringa,Urban regions,No,0.68746,88,147,0.61227,0.76265
2006,Thuringa,Rural regions,Yes,0.43369,195,368,0.38298,0.48439
2006,Thuringa,Rural regions,No,0.56631,173,368,0.51561,0.61702
2011,Schleswig-Holstein,Urban regions,Yes,0.18007,34,119,0.11074,0.24940
2011,Schleswig-Holstein,Urban regions,No,0.73149,85,119,0.65152,0.81145
2011,Schleswig-Holstein,Rural regions,Yes,0.30002,102,287,0.24691,0.35314
2011,Schleswig-Holstein,Rural regions,No,0.61796,185,287,0.56165,0.67427
2011,Hamburg,Urban regions,Yes,0.21262,46,196,0.15519,0.27005
2011,Hamburg,Urban regions,No,0.72417,150,196,0.66144,0.78690
2011,Lower Saxony,Urban regions,Yes,0.25887,168,513,0.22093,0.29681
2011,Lower Saxony,Urban regions,No,0.66641,345,513,0.62557,0.70725
2011,Lower Saxony,Rural regions,Yes,0.35845,240,574,0.31918,0.39771
2011,Lower Saxony,Rural regions,No,0.55967,334,574,0.51902,0.60032
2011,Bremen,Urban regions,No,0.64673,59,59,0.52372,0.76975
2011,North Rhine-Westphalia,Urban regions,Yes,0.27960,773,2287,0.26120,0.29800
2011,North Rhine-Westphalia,Urban regions,No,0.64336,1514,2287,0.62373,0.66300
2011,North Rhine-Westphalia,Rural regions,No,0.68554,41,41,0.54165,0.82943
2011,Hesse,Urban regions,Yes,0.31352,253,678,0.27858,0.34847
2011,Hesse,Urban regions,No,0.60847,425,678,0.57170,0.64524
2011,Hesse,Rural regions,Yes,0.39254,68,152,0.31465,0.47043
2011,Hesse,Rural regions,No,0.51290,84,152,0.43317,0.59262
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.33858,218,527,0.29814,0.37902
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.58178,309,527,0.53962,0.62393
2011,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.26543,70,183,0.20128,0.32958
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.67422,113,183,0.60614,0.74231
2011,Baden-Wuerttemberg,Urban regions,Yes,0.28165,430,1254,0.25674,0.30655
2011,Baden-Wuerttemberg,Urban regions,No,0.63923,824,1254,0.61264,0.66582
2011,Baden-Wuerttemberg,Rural regions,Yes,0.27312,47,147,0.20085,0.34540
2011,Baden-Wuerttemberg,Rural regions,No,0.63016,100,147,0.55185,0.70847
2011,Bavaria,Urban regions,Yes,0.25671,283,907,0.22826,0.28515
2011,Bavaria,Urban regions,No,0.68213,624,907,0.65180,0.71245
2011,Bavaria,Rural regions,Yes,0.35123,408,932,0.32057,0.38189
2011,Bavaria,Rural regions,No,0.55399,524,932,0.52206,0.58592
2011,Berlin,Urban regions,Yes,0.20315,142,513,0.16830,0.23800
2011,Berlin,Urban regions,No,0.72896,371,513,0.69046,0.76746
2011,Brandenburg,Urban regions,No,0.66864,33,33,0.50555,0.83173
2011,Brandenburg,Rural regions,Yes,0.40568,226,473,0.36139,0.44998
2011,Brandenburg,Rural regions,No,0.51837,247,473,0.47329,0.56345
2011,Mecklenburg-Western Pomerania,Rural regions,Yes,0.34625,116,285,0.29092,0.40159
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.59463,169,285,0.53753,0.65173
2011,Saxony,Urban regions,Yes,0.30253,155,425,0.25880,0.34625
2011,Saxony,Urban regions,No,0.62640,270,425,0.58036,0.67245
2011,Saxony,Rural regions,Yes,0.45843,185,383,0.40846,0.50840
2011,Saxony,Rural regions,No,0.48423,198,383,0.43412,0.53435
2011,Saxony-Anhalt,Urban regions,Yes,0.23639,44,130,0.16308,0.30971
2011,Saxony-Anhalt,Urban regions,No,0.73432,86,130,0.65810,0.81055
2011,Saxony-Anhalt,Rural regions,Yes,0.46093,194,379,0.41068,0.51118
2011,Saxony-Anhalt,Rural regions,No,0.45517,185,379,0.40497,0.50537
2011,Thuringa,Urban regions,Yes,0.28560,60,169,0.21729,0.35390
2011,Thuringa,Urban regions,No,0.60659,109,169,0.53272,0.68046
2011,Thuringa,Rural regions,Yes,0.37592,155,350,0.32511,0.42674
2011,Thuringa,Rural regions,No,0.56347,195,350,0.51144,0.61551
2016,Schleswig-Holstein,Urban regions,Yes,0.35949,50,139,0.27943,0.43955
2016,Schleswig-Holstein,Urban regions,No,0.61603,89,139,0.53488,0.69717
2016,Schleswig-Holstein,Rural regions,Yes,0.39427,157,364,0.34400,0.44454
2016,Schleswig-Holstein,Rural regions,No,0.60296,207,364,0.55263,0.65330
2016,Hamburg,Urban regions,Yes,0.24483,74,264,0.19286,0.29679
2016,Hamburg,Urban regions,No,0.75132,190,264,0.69907,0.80356
2016,Lower Saxony,Urban regions,Yes,0.27052,205,567,0.23392,0.30712
2016,Lower Saxony,Urban regions,No,0.72085,362,567,0.68389,0.75781
2016,Lower Saxony,Rural regions,Yes,0.38831,340,781,0.35410,0.42251
2016,Lower Saxony,Rural regions,No,0.60714,441,781,0.57287,0.64142
2016,Bremen,Urban regions,Yes,0.36697,32,105,0.27434,0.45960
2016,Bremen,Urban regions,No,0.62292,73,105,0.52977,0.71607
2016,North Rhine-Westphalia,Urban regions,Yes,0.28544,925,2855,0.26887,0.30201
2016,North Rhine-Westphalia,Urban regions,No,0.70851,1930,2855,0.69184,0.72519
2016,North Rhine-Westphalia,Rural regions,No,0.77953,35,35,0.64018,0.91888
2016,Hesse,Urban regions,Yes,0.29787,273,799,0.26614,0.32960
2016,Hesse,Urban regions,No,0.69842,526,799,0.66658,0.73026
2016,Hesse,Rural regions,Yes,0.37007,71,179,0.29914,0.44100
2016,Hesse,Rural regions,No,0.62437,108,179,0.55323,0.69552
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.32629,232,624,0.28948,0.36311
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.66430,392,624,0.62721,0.70138
2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.35400,93,224,0.29124,0.41677
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.64324,131,224,0.58036,0.70611
2016,Baden-Wuerttemberg,Urban regions,Yes,0.27824,492,1454,0.25520,0.30129
2016,Baden-Wuerttemberg,Urban regions,No,0.71808,962,1454,0.69494,0.74121
2016,Baden-Wuerttemberg,Rural regions,Yes,0.26184,64,173,0.19613,0.32754
2016,Baden-Wuerttemberg,Rural regions,No,0.72650,109,173,0.65988,0.79312
2016,Bavaria,Urban regions,Yes,0.23529,320,1100,0.21021,0.26037
2016,Bavaria,Urban regions,No,0.76263,780,1100,0.73747,0.78778
2016,Bavaria,Rural regions,Yes,0.37970,514,1200,0.35223,0.40717
2016,Bavaria,Rural regions,No,0.61598,686,1200,0.58845,0.64351
2016,Berlin,Urban regions,Yes,0.21552,158,610,0.18287,0.24818
2016,Berlin,Urban regions,No,0.78195,452,610,0.74915,0.81474
2016,Brandenburg,Rural regions,Yes,0.44494,254,517,0.40206,0.48782
2016,Brandenburg,Rural regions,No,0.55057,263,517,0.50765,0.59349
2016,Mecklenburg-Western Pomerania,Rural regions,Yes,0.37039,116,283,0.31403,0.42675
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.62301,167,283,0.56645,0.67958
2016,Saxony,Urban regions,Yes,0.34297,180,465,0.29977,0.38616
2016,Saxony,Urban regions,No,0.65028,285,465,0.60689,0.69367
2016,Saxony,Rural regions,Yes,0.45430,194,400,0.40544,0.50316
2016,Saxony,Rural regions,No,0.54338,206,400,0.49450,0.59226
2016,Saxony-Anhalt,Urban regions,Yes,0.17374,41,125,0.10705,0.24043
2016,Saxony-Anhalt,Urban regions,No,0.80848,84,125,0.73922,0.87774
2016,Saxony-Anhalt,Rural regions,Yes,0.49705,204,388,0.44723,0.54687
2016,Saxony-Anhalt,Rural regions,No,0.49847,184,388,0.44865,0.54828
2016,Thuringa,Urban regions,Yes,0.36195,70,180,0.29155,0.43235
2016,Thuringa,Urban regions,No,0.63405,110,180,0.56348,0.70461
2016,Thuringa,Rural regions,Yes,0.42988,175,364,0.37895,0.48081
2016,Thuringa,Rural regions,No,0.56131,189,364,0.51026,0.61236
2021,Schleswig-Holstein,Urban regions,Yes,0.28461,53,155,0.21335,0.35588
2021,Schleswig-Holstein,Urban regions,No,0.69403,102,155,0.62125,0.76681
2021,Schleswig-Holstein,Rural regions,Yes,0.38671,128,272,0.32873,0.44469
2021,Schleswig-Holstein,Rural regions,No,0.60318,144,272,0.54493,0.66143
2021,Hamburg,Urban regions,Yes,0.22596,68,268,0.17579,0.27612
2021,Hamburg,Urban regions,No,0.76301,200,268,0.71200,0.81402
2021,Lower Saxony,Urban regions,Yes,0.29662,181,477,0.25559,0.33765
2021,Lower Saxony,Urban regions,No,0.69534,296,477,0.65400,0.73669
2021,Lower Saxony,Rural regions,Yes,0.36174,257,586,0.32280,0.40067
2021,Lower Saxony,Rural regions,No,0.62839,329,586,0.58923,0.66755
2021,Bremen,Urban regions,No,0.77827,59,59,0.67136,0.88518
2021,North Rhine-Westphalia,Urban regions,Yes,0.31057,776,2237,0.29139,0.32975
2021,North Rhine-Westphalia,Urban regions,No,0.67688,1461,2237,0.65749,0.69626
2021,Hesse,Urban regions,Yes,0.32433,198,562,0.28560,0.36307
2021,Hesse,Urban regions,No,0.65970,364,562,0.62049,0.69891
2021,Hesse,Rural regions,Yes,0.34612,56,140,0.26704,0.42521
2021,Hesse,Rural regions,No,0.64790,84,140,0.56850,0.72731
2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.30968,142,415,0.26514,0.35422
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.67556,273,415,0.63046,0.72066
2021,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.31381,59,122,0.23112,0.39649
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.67952,63,122,0.59637,0.76267
2021,Baden-Wuerttemberg,Urban regions,Yes,0.27686,352,1101,0.25042,0.30331
2021,Baden-Wuerttemberg,Urban regions,No,0.71456,749,1101,0.68787,0.74125
2021,Baden-Wuerttemberg,Rural regions,Yes,0.38091,51,118,0.29291,0.46890
2021,Baden-Wuerttemberg,Rural regions,No,0.60796,67,118,0.51950,0.69643
2021,Bavaria,Urban regions,Yes,0.25169,272,881,0.22302,0.28037
2021,Bavaria,Urban regions,No,0.74093,609,881,0.71198,0.76988
2021,Bavaria,Rural regions,Yes,0.37537,372,875,0.34327,0.40748
2021,Bavaria,Rural regions,No,0.61940,503,875,0.58721,0.65159
2021,Berlin,Urban regions,Yes,0.19712,138,559,0.16411,0.23013
2021,Berlin,Urban regions,No,0.78636,421,559,0.75235,0.82037
2021,Brandenburg,Rural regions,Yes,0.38196,190,407,0.33470,0.42922
2021,Brandenburg,Rural regions,No,0.61380,217,407,0.56644,0.66116
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.75703,38,38,0.61883,0.89522
2021,Mecklenburg-Western Pomerania,Rural regions,Yes,0.36570,99,213,0.30086,0.43053
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.62952,114,213,0.56451,0.69453
2021,Saxony,Urban regions,Yes,0.31429,138,392,0.26828,0.36031
2021,Saxony,Urban regions,No,0.67286,254,392,0.62636,0.71937
2021,Saxony,Rural regions,Yes,0.48952,170,341,0.43638,0.54266
2021,Saxony,Rural regions,No,0.50805,171,341,0.45491,0.56119
2021,Saxony-Anhalt,Urban regions,No,0.65857,52,52,0.52842,0.78871
2021,Saxony-Anhalt,Rural regions,Yes,0.43218,148,288,0.37487,0.48949
2021,Saxony-Anhalt,Rural regions,No,0.56175,140,288,0.50435,0.61916
2021,Thuringa,Urban regions,Yes,0.24862,44,137,0.17597,0.32126
2021,Thuringa,Urban regions,No,0.73232,93,137,0.65791,0.80673
2021,Thuringa,Rural regions,Yes,0.37942,112,246,0.31866,0.44018
2021,Thuringa,Rural regions,No,0.61492,134,246,0.55399,0.67585
