year,quintil_oecd_hh,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,Tenant,Yes,0.21977,276,1239,0.19670,0.24284
1999,1st Quintile,Tenant,No,0.78023,963,1239,0.75716,0.80330
1999,2nd Quintile,Owner,No,0.99560,498,498,0.98978,1.00142
1999,2nd Quintile,Tenant,Yes,0.04418,42,1022,0.03157,0.05678
1999,2nd Quintile,Tenant,No,0.95582,980,1022,0.94322,0.96843
1999,3rd Quintile,Owner,No,0.99350,624,624,0.98719,0.99981
1999,3rd Quintile,Tenant,No,0.98485,842,842,0.97659,0.99310
1999,4th Quintile,Owner,No,0.99406,685,685,0.98830,0.99982
1999,4th Quintile,Tenant,No,0.99569,688,688,0.99079,1.00059
1999,5th Quintile,Owner,No,0.99515,761,761,0.99021,1.00009
1999,5th Quintile,Tenant,No,0.99937,472,472,0.99709,1.00164
2000,1st Quintile,Owner,No,0.97590,499,499,0.96243,0.98937
2000,1st Quintile,Tenant,Yes,0.19552,433,2039,0.17830,0.21273
2000,1st Quintile,Tenant,No,0.80448,1606,2039,0.78727,0.82170
2000,2nd Quintile,Owner,No,0.99289,962,962,0.98758,0.99820
2000,2nd Quintile,Tenant,Yes,0.03932,72,1742,0.03019,0.04845
2000,2nd Quintile,Tenant,No,0.96068,1670,1742,0.95155,0.96981
2000,3rd Quintile,Owner,No,0.99675,1233,1233,0.99357,0.99993
2000,3rd Quintile,Tenant,No,0.99007,1395,1395,0.98486,0.99527
2000,4th Quintile,Owner,No,0.99753,1450,1450,0.99498,1.00009
2000,4th Quintile,Tenant,No,0.99229,1137,1137,0.98720,0.99737
2000,5th Quintile,Owner,No,0.99948,1642,1642,0.99838,1.00058
2000,5th Quintile,Tenant,No,0.99790,782,782,0.99469,1.00111
2001,1st Quintile,Owner,No,0.97763,382,382,0.96278,0.99248
2001,1st Quintile,Tenant,Yes,0.15669,322,1837,0.14006,0.17332
2001,1st Quintile,Tenant,No,0.84331,1515,1837,0.82668,0.85994
2001,2nd Quintile,Owner,No,0.99148,900,900,0.98547,0.99749
2001,2nd Quintile,Tenant,Yes,0.03526,58,1548,0.02607,0.04445
2001,2nd Quintile,Tenant,No,0.96474,1490,1548,0.95555,0.97393
2001,3rd Quintile,Owner,No,0.99587,1164,1164,0.99218,0.99955
2001,3rd Quintile,Tenant,No,0.99156,1253,1253,0.98649,0.99663
2001,4th Quintile,Owner,No,0.99887,1329,1329,0.99707,1.00068
2001,4th Quintile,Tenant,No,0.99382,1033,1033,0.98904,0.99860
2001,5th Quintile,Owner,No,0.99844,1459,1459,0.99641,1.00047
2001,5th Quintile,Tenant,No,0.99777,718,718,0.99432,1.00122
2002,1st Quintile,Owner,No,0.97782,371,371,0.96281,0.99283
2002,1st Quintile,Tenant,Yes,0.17692,318,1717,0.15886,0.19497
2002,1st Quintile,Tenant,No,0.82308,1399,1717,0.80503,0.84114
2002,2nd Quintile,Owner,No,0.98300,828,828,0.97419,0.99181
2002,2nd Quintile,Tenant,Yes,0.04050,48,1400,0.03017,0.05083
2002,2nd Quintile,Tenant,No,0.95950,1352,1400,0.94917,0.96983
2002,3rd Quintile,Owner,No,0.99896,1040,1040,0.99701,1.00092
2002,3rd Quintile,Tenant,No,0.99557,1220,1220,0.99185,0.99930
2002,4th Quintile,Owner,No,0.99983,1322,1322,0.99911,1.00054
2002,4th Quintile,Tenant,No,0.99669,1036,1036,0.99319,1.00019
2002,5th Quintile,Owner,No,0.99950,2257,2257,0.99857,1.00042
2002,5th Quintile,Tenant,No,0.99808,970,970,0.99533,1.00084
2003,1st Quintile,Owner,No,0.97925,344,344,0.96416,0.99433
2003,1st Quintile,Tenant,Yes,0.19923,335,1695,0.18021,0.21825
2003,1st Quintile,Tenant,No,0.80077,1360,1695,0.78175,0.81979
2003,2nd Quintile,Owner,No,0.98785,814,814,0.98031,0.99538
2003,2nd Quintile,Tenant,Yes,0.04632,67,1383,0.03524,0.05740
2003,2nd Quintile,Tenant,No,0.95368,1316,1383,0.94260,0.96476
2003,3rd Quintile,Owner,No,0.99678,1045,1045,0.99335,1.00022
2003,3rd Quintile,Tenant,No,0.98775,1164,1164,0.98143,0.99407
2003,4th Quintile,Owner,No,0.99967,1275,1275,0.99866,1.00067
2003,4th Quintile,Tenant,No,0.99759,994,994,0.99454,1.00064
2003,5th Quintile,Owner,No,0.99962,2149,2149,0.99880,1.00044
2004,1st Quintile,Owner,No,0.95181,318,318,0.92823,0.97539
2004,1st Quintile,Tenant,Yes,0.22881,368,1629,0.20841,0.24922
2004,1st Quintile,Tenant,No,0.77119,1261,1629,0.75078,0.79159
2004,2nd Quintile,Owner,No,0.98664,771,771,0.97854,0.99475
2004,2nd Quintile,Tenant,Yes,0.03772,59,1379,0.02766,0.04778
2004,2nd Quintile,Tenant,No,0.96228,1320,1379,0.95222,0.97234
2004,3rd Quintile,Owner,No,0.99544,1036,1036,0.99133,0.99954
2004,3rd Quintile,Tenant,No,0.99267,1144,1144,0.98772,0.99761
2004,4th Quintile,Owner,No,0.99915,1297,1297,0.99757,1.00074
2004,4th Quintile,Tenant,No,0.99315,965,965,0.98794,0.99836
2004,5th Quintile,Tenant,No,0.99587,853,853,0.99157,1.00018
2005,1st Quintile,Owner,No,0.97594,318,318,0.95907,0.99281
2005,1st Quintile,Tenant,Yes,0.14149,248,1644,0.12464,0.15834
2005,1st Quintile,Tenant,No,0.85851,1396,1644,0.84166,0.87536
2005,2nd Quintile,Owner,No,0.97954,748,748,0.96938,0.98969
2005,2nd Quintile,Tenant,Yes,0.03297,55,1306,0.02328,0.04266
2005,2nd Quintile,Tenant,No,0.96703,1251,1306,0.95734,0.97672
2005,3rd Quintile,Owner,No,0.99330,1013,1013,0.98827,0.99832
2005,3rd Quintile,Tenant,No,0.98503,1064,1064,0.97773,0.99233
2005,4th Quintile,Owner,No,0.99758,1300,1300,0.99491,1.00025
2005,4th Quintile,Tenant,No,0.99155,905,905,0.98559,0.99752
2005,5th Quintile,Owner,No,0.99949,1973,1973,0.99849,1.00049
2006,1st Quintile,Owner,No,0.97291,343,343,0.95570,0.99011
2006,1st Quintile,Tenant,Yes,0.13602,246,1742,0.11992,0.15212
2006,1st Quintile,Tenant,No,0.86398,1496,1742,0.84788,0.88008
2006,2nd Quintile,Owner,No,0.98331,792,792,0.97438,0.99224
2006,2nd Quintile,Tenant,Yes,0.03725,55,1417,0.02739,0.04711
2006,2nd Quintile,Tenant,No,0.96275,1362,1417,0.95289,0.97261
2006,3rd Quintile,Owner,No,0.99705,1187,1187,0.99397,1.00014
2006,3rd Quintile,Tenant,No,0.98960,1183,1183,0.98382,0.99539
2006,4th Quintile,Tenant,No,0.99800,1005,1005,0.99524,1.00077
2006,5th Quintile,Owner,No,0.99991,2166,2166,0.99950,1.00032
2006,5th Quintile,Tenant,No,0.99513,889,889,0.99055,0.99971
2007,1st Quintile,Owner,No,0.98278,325,325,0.96861,0.99694
2007,1st Quintile,Tenant,Yes,0.12855,206,1629,0.11229,0.14481
2007,1st Quintile,Tenant,No,0.87145,1423,1629,0.85519,0.88771
2007,2nd Quintile,Owner,No,0.98526,733,733,0.97653,0.99399
2007,2nd Quintile,Tenant,Yes,0.03750,55,1367,0.02743,0.04758
2007,2nd Quintile,Tenant,No,0.96250,1312,1367,0.95242,0.97257
2007,3rd Quintile,Owner,No,0.99869,1121,1121,0.99657,1.00081
2007,3rd Quintile,Tenant,No,0.98890,1083,1083,0.98266,0.99514
2007,4th Quintile,Owner,No,0.99942,1388,1388,0.99816,1.00069
2007,4th Quintile,Tenant,No,0.99210,937,937,0.98642,0.99777
2008,1st Quintile,Owner,No,0.97899,321,321,0.96327,0.99470
2008,1st Quintile,Tenant,Yes,0.11350,184,1545,0.09768,0.12933
2008,1st Quintile,Tenant,No,0.88650,1361,1545,0.87067,0.90232
2008,2nd Quintile,Owner,No,0.99864,732,732,0.99596,1.00131
2008,2nd Quintile,Tenant,Yes,0.03926,48,1236,0.02842,0.05009
2008,2nd Quintile,Tenant,No,0.96074,1188,1236,0.94991,0.97158
2008,3rd Quintile,Owner,No,0.99939,1093,1093,0.99792,1.00086
2008,3rd Quintile,Tenant,No,0.98739,1058,1058,0.98066,0.99411
2008,4th Quintile,Owner,No,0.99918,1269,1269,0.99760,1.00076
2008,4th Quintile,Tenant,No,0.99640,842,842,0.99235,1.00045
2009,1st Quintile,Owner,No,0.98356,295,295,0.96903,0.99810
2009,1st Quintile,Tenant,Yes,0.11551,179,1491,0.09928,0.13174
2009,1st Quintile,Tenant,No,0.88449,1312,1491,0.86826,0.90072
2009,2nd Quintile,Owner,No,0.99579,687,687,0.99094,1.00063
2009,2nd Quintile,Tenant,Yes,0.02849,39,1195,0.01906,0.03793
2009,2nd Quintile,Tenant,No,0.97151,1156,1195,0.96207,0.98094
2009,3rd Quintile,Owner,No,0.99610,1005,1005,0.99224,0.99996
2009,3rd Quintile,Tenant,No,0.98960,930,930,0.98307,0.99612
2009,4th Quintile,Tenant,No,0.99735,797,797,0.99377,1.00092
2010,1st Quintile,Owner,No,0.93875,421,421,0.91582,0.96168
2010,1st Quintile,Tenant,Yes,0.11755,412,2623,0.10522,0.12987
2010,1st Quintile,Tenant,No,0.83725,2211,2623,0.82312,0.85137
2010,2nd Quintile,Owner,Yes,0.00865,31,1082,0.00313,0.01418
2010,2nd Quintile,Owner,No,0.94944,1051,1082,0.93638,0.96250
2010,2nd Quintile,Tenant,Yes,0.03288,108,1766,0.02456,0.04120
2010,2nd Quintile,Tenant,No,0.93628,1658,1766,0.92489,0.94768
2010,3rd Quintile,Owner,No,0.94523,1274,1274,0.93274,0.95773
2010,3rd Quintile,Tenant,No,0.96521,1168,1168,0.95470,0.97572
2010,4th Quintile,Owner,No,0.94711,1438,1438,0.93553,0.95868
2010,4th Quintile,Tenant,No,0.97147,926,926,0.96074,0.98220
2010,5th Quintile,Owner,No,0.96517,1867,1867,0.95685,0.97349
2010,5th Quintile,Tenant,No,0.96168,766,766,0.94808,0.97529
2011,1st Quintile,Owner,No,0.93752,544,544,0.91717,0.95788
2011,1st Quintile,Tenant,Yes,0.10656,487,3051,0.09561,0.11751
2011,1st Quintile,Tenant,No,0.85105,2564,3051,0.83842,0.86369
2011,2nd Quintile,Owner,Yes,0.00723,33,1276,0.00258,0.01188
2011,2nd Quintile,Owner,No,0.96578,1243,1276,0.95581,0.97576
2011,2nd Quintile,Tenant,Yes,0.03243,140,2074,0.02480,0.04005
2011,2nd Quintile,Tenant,No,0.94275,1934,2074,0.93275,0.95275
2011,3rd Quintile,Owner,No,0.96154,1616,1616,0.95216,0.97091
2011,3rd Quintile,Tenant,No,0.97919,1512,1512,0.97199,0.98639
2011,4th Quintile,Owner,No,0.96883,1822,1822,0.96085,0.97682
2011,4th Quintile,Tenant,No,0.97893,1155,1155,0.97064,0.98721
2011,5th Quintile,Owner,No,0.96654,2232,2232,0.95908,0.97401
2011,5th Quintile,Tenant,No,0.96730,873,873,0.95550,0.97911
2012,1st Quintile,Owner,No,0.93924,495,495,0.91817,0.96031
2012,1st Quintile,Tenant,Yes,0.09437,401,2994,0.08389,0.10484
2012,1st Quintile,Tenant,No,0.87071,2593,2994,0.85869,0.88273
2012,2nd Quintile,Owner,No,0.96927,1178,1178,0.95941,0.97913
2012,2nd Quintile,Tenant,Yes,0.02058,93,2044,0.01442,0.02673
2012,2nd Quintile,Tenant,No,0.95077,1951,2044,0.94139,0.96015
2012,3rd Quintile,Owner,No,0.97502,1611,1611,0.96739,0.98264
2012,3rd Quintile,Tenant,No,0.96590,1497,1497,0.95670,0.97509
2012,4th Quintile,Owner,No,0.96537,1842,1842,0.95702,0.97372
2012,4th Quintile,Tenant,No,0.98365,1105,1105,0.97617,0.99113
2012,5th Quintile,Owner,No,0.98303,2253,2253,0.97770,0.98837
2012,5th Quintile,Tenant,No,0.97729,842,842,0.96722,0.98736
2013,1st Quintile,Owner,Yes,0.02674,33,569,0.01348,0.04001
2013,1st Quintile,Owner,No,0.93641,536,569,0.91634,0.95648
2013,1st Quintile,Tenant,Yes,0.08748,418,3600,0.07825,0.09671
2013,1st Quintile,Tenant,No,0.87755,3182,3600,0.86684,0.88826
2013,2nd Quintile,Owner,No,0.96333,1227,1227,0.95281,0.97385
2013,2nd Quintile,Tenant,Yes,0.02781,111,2548,0.02143,0.03420
2013,2nd Quintile,Tenant,No,0.94608,2437,2548,0.93731,0.95485
2013,3rd Quintile,Owner,No,0.97758,1676,1676,0.97049,0.98467
2013,3rd Quintile,Tenant,No,0.96777,1619,1619,0.95917,0.97638
2013,4th Quintile,Owner,No,0.97912,1783,1783,0.97248,0.98575
2013,4th Quintile,Tenant,No,0.98552,1257,1257,0.97892,0.99213
2013,5th Quintile,Owner,No,0.97068,2263,2263,0.96373,0.97763
2013,5th Quintile,Tenant,No,0.97978,920,920,0.97068,0.98888
2014,1st Quintile,Owner,No,0.97074,481,481,0.95566,0.98581
2014,1st Quintile,Tenant,Yes,0.07527,269,2909,0.06568,0.08486
2014,1st Quintile,Tenant,No,0.89091,2640,2909,0.87958,0.90224
2014,2nd Quintile,Owner,No,0.95960,1063,1063,0.94776,0.97144
2014,2nd Quintile,Tenant,Yes,0.02503,84,2186,0.01848,0.03158
2014,2nd Quintile,Tenant,No,0.94315,2102,2186,0.93344,0.95286
2014,3rd Quintile,Owner,No,0.97739,1555,1555,0.97000,0.98478
2014,3rd Quintile,Tenant,No,0.97739,1500,1500,0.96986,0.98491
2014,4th Quintile,Owner,No,0.97652,1689,1689,0.96930,0.98375
2014,4th Quintile,Tenant,No,0.97927,1184,1184,0.97115,0.98739
2014,5th Quintile,Owner,No,0.97855,2123,2123,0.97239,0.98472
2014,5th Quintile,Tenant,No,0.98390,852,852,0.97545,0.99236
2015,1st Quintile,Owner,No,0.82140,420,420,0.78472,0.85807
2015,1st Quintile,Tenant,Yes,0.06040,223,2885,0.05171,0.06909
2015,1st Quintile,Tenant,No,0.81993,2662,2885,0.80591,0.83396
2015,2nd Quintile,Owner,No,0.85225,984,984,0.83007,0.87444
2015,2nd Quintile,Tenant,Yes,0.01612,79,2124,0.01076,0.02147
2015,2nd Quintile,Tenant,No,0.85042,2045,2124,0.83525,0.86559
2015,3rd Quintile,Owner,No,0.85585,1272,1272,0.83654,0.87516
2015,3rd Quintile,Tenant,No,0.81304,1385,1385,0.79250,0.83358
2015,4th Quintile,Owner,No,0.81026,1420,1420,0.78985,0.83066
2015,4th Quintile,Tenant,No,0.79882,1033,1033,0.77436,0.82328
2015,5th Quintile,Owner,No,0.80456,1727,1727,0.78585,0.82327
2015,5th Quintile,Tenant,No,0.79098,763,763,0.76211,0.81985
2016,1st Quintile,Owner,No,0.97401,379,379,0.95798,0.99005
2016,1st Quintile,Tenant,Yes,0.06217,206,2673,0.05302,0.07133
2016,1st Quintile,Tenant,No,0.91909,2467,2673,0.90875,0.92943
2016,2nd Quintile,Owner,No,0.96577,999,999,0.95449,0.97705
2016,2nd Quintile,Tenant,Yes,0.02128,64,1996,0.01495,0.02761
2016,2nd Quintile,Tenant,No,0.96170,1932,1996,0.95328,0.97013
2016,3rd Quintile,Owner,No,0.98823,1321,1321,0.98242,0.99405
2016,3rd Quintile,Tenant,No,0.95973,1362,1362,0.94929,0.97018
2016,4th Quintile,Owner,No,0.96981,1525,1525,0.96122,0.97840
2016,4th Quintile,Tenant,No,0.98160,1088,1088,0.97361,0.98959
2016,5th Quintile,Owner,No,0.97441,1938,1938,0.96738,0.98145
2016,5th Quintile,Tenant,No,0.99129,768,768,0.98472,0.99787
2017,1st Quintile,Owner,No,0.95526,364,364,0.93400,0.97653
2017,1st Quintile,Tenant,Yes,0.06161,402,4429,0.05453,0.06869
2017,1st Quintile,Tenant,No,0.91684,4027,4429,0.90871,0.92498
2017,2nd Quintile,Owner,No,0.98389,1081,1081,0.97638,0.99140
2017,2nd Quintile,Tenant,Yes,0.02028,84,2203,0.01440,0.02617
2017,2nd Quintile,Tenant,No,0.96281,2119,2203,0.95491,0.97072
2017,3rd Quintile,Owner,No,0.98430,1512,1512,0.97803,0.99057
2017,3rd Quintile,Tenant,No,0.97832,1541,1541,0.97105,0.98559
2017,4th Quintile,Owner,No,0.97247,1761,1761,0.96483,0.98012
2017,4th Quintile,Tenant,No,0.96874,1229,1229,0.95901,0.97847
2017,5th Quintile,Owner,No,0.97657,2204,2204,0.97025,0.98289
2017,5th Quintile,Tenant,No,0.99305,844,844,0.98744,0.99866
2018,1st Quintile,Owner,No,0.94955,364,364,0.92703,0.97207
2018,1st Quintile,Tenant,Yes,0.07337,515,4939,0.06610,0.08064
2018,1st Quintile,Tenant,No,0.91527,4424,4939,0.90750,0.92303
2018,2nd Quintile,Owner,No,0.98100,1068,1068,0.97281,0.98919
2018,2nd Quintile,Tenant,Yes,0.01611,133,2336,0.01100,0.02121
2018,2nd Quintile,Tenant,No,0.96524,2203,2336,0.95781,0.97267
2018,3rd Quintile,Owner,No,0.98414,1389,1389,0.97757,0.99071
2018,3rd Quintile,Tenant,No,0.98674,1551,1551,0.98105,0.99244
2018,4th Quintile,Owner,No,0.97150,1684,1684,0.96355,0.97945
2018,4th Quintile,Tenant,No,0.98716,1175,1175,0.98072,0.99360
2018,5th Quintile,Owner,No,0.98584,2146,2146,0.98084,0.99084
2018,5th Quintile,Tenant,No,0.98237,831,831,0.97341,0.99132
2019,1st Quintile,Owner,No,0.96441,378,378,0.94571,0.98311
2019,1st Quintile,Tenant,Yes,0.06846,347,4623,0.06118,0.07574
2019,1st Quintile,Tenant,No,0.91636,4276,4623,0.90838,0.92434
2019,2nd Quintile,Owner,No,0.97641,1011,1011,0.96705,0.98577
2019,2nd Quintile,Tenant,Yes,0.02347,77,2117,0.01702,0.02992
2019,2nd Quintile,Tenant,No,0.96293,2040,2117,0.95488,0.97098
2019,3rd Quintile,Owner,No,0.99345,1402,1402,0.98923,0.99768
2019,3rd Quintile,Tenant,No,0.97258,1460,1460,0.96420,0.98096
2019,4th Quintile,Owner,No,0.97402,1762,1762,0.96659,0.98145
2019,4th Quintile,Tenant,No,0.98773,1136,1136,0.98132,0.99413
2019,5th Quintile,Owner,No,0.99601,3240,3240,0.99383,0.99818
2019,5th Quintile,Tenant,No,0.99915,1086,1086,0.99742,1.00088
2020,1st Quintile,Owner,No,0.93415,309,309,0.90645,0.96185
2020,1st Quintile,Tenant,Yes,0.05525,412,5697,0.04932,0.06119
2020,1st Quintile,Tenant,No,0.91654,5285,5697,0.90936,0.92372
2020,2nd Quintile,Owner,No,0.96477,955,955,0.95307,0.97647
2020,2nd Quintile,Tenant,Yes,0.02406,73,2490,0.01804,0.03007
2020,2nd Quintile,Tenant,No,0.95599,2417,2490,0.94793,0.96404
2020,3rd Quintile,Owner,No,0.97078,1272,1272,0.96152,0.98004
2020,3rd Quintile,Tenant,No,0.96686,1572,1572,0.95801,0.97572
2020,4th Quintile,Owner,No,0.97673,1577,1577,0.96929,0.98418
2020,4th Quintile,Tenant,No,0.98519,1240,1240,0.97846,0.99191
2020,5th Quintile,Owner,No,0.97760,2690,2690,0.97201,0.98319
2020,5th Quintile,Tenant,No,0.98952,998,998,0.98320,0.99584
2021,1st Quintile,Owner,No,0.98285,272,272,0.96740,0.99831
2021,1st Quintile,Tenant,Yes,0.07509,293,2931,0.06555,0.08463
2021,1st Quintile,Tenant,No,0.91452,2638,2931,0.90440,0.92465
2021,2nd Quintile,Owner,No,0.99340,671,671,0.98726,0.99953
2021,2nd Quintile,Tenant,Yes,0.01652,75,1680,0.01042,0.02261
2021,2nd Quintile,Tenant,No,0.97400,1605,1680,0.96639,0.98161
2021,3rd Quintile,Owner,No,0.98112,919,919,0.97232,0.98993
2021,3rd Quintile,Tenant,No,0.98424,1127,1127,0.97696,0.99151
2021,4th Quintile,Owner,No,0.99224,1203,1203,0.98728,0.99720
2021,4th Quintile,Tenant,No,0.98333,869,869,0.97481,0.99185
2021,5th Quintile,Owner,No,0.99341,1977,1977,0.98985,0.99698
2021,5th Quintile,Tenant,No,0.99290,728,728,0.98679,0.99900
2022,1st Quintile,Owner,No,0.96732,972,972,0.95613,0.97850
2022,1st Quintile,Tenant,Yes,0.06984,260,4206,0.06214,0.07754
2022,1st Quintile,Tenant,No,0.91218,3946,4206,0.90362,0.92073
2022,2nd Quintile,Owner,No,0.98665,1099,1099,0.97986,0.99344
2022,2nd Quintile,Tenant,Yes,0.03081,128,3017,0.02464,0.03697
2022,2nd Quintile,Tenant,No,0.94953,2889,3017,0.94172,0.95734
2022,3rd Quintile,Owner,No,0.97955,1388,1388,0.97210,0.98700
2022,3rd Quintile,Tenant,Yes,0.02162,32,2051,0.01532,0.02792
2022,3rd Quintile,Tenant,No,0.96361,2019,2051,0.95550,0.97171
2022,4th Quintile,Owner,No,0.97802,1725,1725,0.97109,0.98494
2022,4th Quintile,Tenant,No,0.98236,1676,1676,0.97606,0.98867
2022,5th Quintile,Owner,No,0.98713,2538,2538,0.98275,0.99152
2022,5th Quintile,Tenant,No,0.97797,1238,1238,0.96979,0.98615
