year,regtyp,sampreg,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Rural regions,West,No,0.91683,1088,1144,0.90082,0.93284
1998,Rural regions,East,Yes,0.09086,107,1238,0.07484,0.10687
1998,Rural regions,East,No,0.84926,1131,1238,0.82932,0.86920
1999,Urban regions,West,Yes,0.03772,170,4074,0.03187,0.04357
1999,Urban regions,West,No,0.96228,3904,4074,0.95643,0.96813
1999,Urban regions,East,Yes,0.06586,38,643,0.04667,0.08505
1999,Urban regions,East,No,0.93414,605,643,0.91495,0.95333
1999,Rural regions,West,Yes,0.04464,58,1139,0.03264,0.05663
1999,Rural regions,West,No,0.95536,1081,1139,0.94337,0.96736
1999,Rural regions,East,Yes,0.09689,117,1287,0.08073,0.11306
1999,Rural regions,East,No,0.90311,1170,1287,0.88694,0.91927
2000,Urban regions,West,Yes,0.03472,272,7592,0.03060,0.03884
2000,Urban regions,West,No,0.96528,7320,7592,0.96116,0.96940
2000,Urban regions,East,Yes,0.07793,74,1007,0.06136,0.09449
2000,Urban regions,East,No,0.92207,933,1007,0.90551,0.93864
2000,Rural regions,West,Yes,0.02899,72,2284,0.02211,0.03587
2000,Rural regions,West,No,0.97101,2212,2284,0.96413,0.97789
2000,Rural regions,East,Yes,0.07398,150,2067,0.06270,0.08527
2000,Rural regions,East,No,0.92602,1917,2067,0.91473,0.93730
2001,Urban regions,West,Yes,0.02770,197,6828,0.02381,0.03160
2001,Urban regions,West,No,0.97230,6631,6828,0.96840,0.97619
2001,Urban regions,East,Yes,0.06352,61,955,0.04805,0.07900
2001,Urban regions,East,No,0.93648,894,955,0.92100,0.95195
2001,Rural regions,West,Yes,0.02715,58,2009,0.02004,0.03426
2001,Rural regions,West,No,0.97285,1951,2009,0.96574,0.97996
2001,Rural regions,East,Yes,0.06530,118,1888,0.05415,0.07644
2001,Rural regions,East,No,0.93470,1770,1888,0.92356,0.94585
2002,Urban regions,West,Yes,0.03024,189,7291,0.02631,0.03417
2002,Urban regions,West,No,0.96976,7102,7291,0.96583,0.97369
2002,Urban regions,East,Yes,0.07298,61,961,0.05652,0.08943
2002,Urban regions,East,No,0.92702,900,961,0.91057,0.94348
2002,Rural regions,West,Yes,0.03491,64,2079,0.02701,0.04280
2002,Rural regions,West,No,0.96509,2015,2079,0.95720,0.97299
2002,Rural regions,East,Yes,0.05855,99,1881,0.04794,0.06916
2002,Rural regions,East,No,0.94145,1782,1881,0.93084,0.95206
2003,Urban regions,West,Yes,0.03478,202,7024,0.03049,0.03906
2003,Urban regions,West,No,0.96522,6822,7024,0.96094,0.96951
2003,Urban regions,East,Yes,0.08447,59,958,0.06685,0.10209
2003,Urban regions,East,No,0.91553,899,958,0.89791,0.93315
2003,Rural regions,West,Yes,0.03850,68,1975,0.03001,0.04699
2003,Rural regions,West,No,0.96150,1907,1975,0.95301,0.96999
2003,Rural regions,East,Yes,0.06600,126,1847,0.05468,0.07733
2003,Rural regions,East,No,0.93400,1721,1847,0.92267,0.94532
2004,Urban regions,West,Yes,0.03862,203,6830,0.03405,0.04319
2004,Urban regions,West,No,0.96138,6627,6830,0.95681,0.96595
2004,Urban regions,East,Yes,0.09884,69,955,0.07990,0.11778
2004,Urban regions,East,No,0.90116,886,955,0.88222,0.92010
2004,Rural regions,West,Yes,0.03580,65,1952,0.02755,0.04404
2004,Rural regions,West,No,0.96420,1887,1952,0.95596,0.97245
2004,Rural regions,East,Yes,0.08757,135,1806,0.07453,0.10061
2004,Rural regions,East,No,0.91243,1671,1806,0.89939,0.92547
2005,Urban regions,West,Yes,0.02776,160,6613,0.02380,0.03172
2005,Urban regions,West,No,0.97224,6453,6613,0.96828,0.97620
2005,Urban regions,East,Yes,0.07846,59,940,0.06126,0.09565
2005,Urban regions,East,No,0.92154,881,940,0.90435,0.93874
2005,Rural regions,West,Yes,0.02338,43,1894,0.01657,0.03018
2005,Rural regions,West,No,0.97662,1851,1894,0.96982,0.98343
2005,Rural regions,East,Yes,0.05574,94,1752,0.04500,0.06649
2005,Rural regions,East,No,0.94426,1658,1752,0.93351,0.95500
2006,Urban regions,West,Yes,0.02749,162,7176,0.02371,0.03128
2006,Urban regions,West,No,0.97251,7014,7176,0.96872,0.97629
2006,Urban regions,East,Yes,0.05191,46,992,0.03809,0.06572
2006,Urban regions,East,No,0.94809,946,992,0.93428,0.96191
2006,Rural regions,West,Yes,0.02163,42,2161,0.01550,0.02777
2006,Rural regions,West,No,0.97837,2119,2161,0.97223,0.98450
2006,Rural regions,East,Yes,0.05997,99,1936,0.04939,0.07055
2006,Rural regions,East,No,0.94003,1837,1936,0.92945,0.95061
2007,Urban regions,West,Yes,0.02783,144,6666,0.02388,0.03178
2007,Urban regions,West,No,0.97217,6522,6666,0.96822,0.97612
2007,Urban regions,East,Yes,0.04856,37,943,0.03483,0.06229
2007,Urban regions,East,No,0.95144,906,943,0.93771,0.96517
2007,Rural regions,West,Yes,0.01936,32,2027,0.01336,0.02536
2007,Rural regions,West,No,0.98064,1995,2027,0.97464,0.98664
2007,Rural regions,East,Yes,0.04926,83,1817,0.03931,0.05922
2007,Rural regions,East,No,0.95074,1734,1817,0.94078,0.96069
2008,Urban regions,West,Yes,0.02456,130,6262,0.02073,0.02840
2008,Urban regions,West,No,0.97544,6132,6262,0.97160,0.97927
2008,Urban regions,East,Yes,0.04834,35,928,0.03453,0.06215
2008,Urban regions,East,No,0.95166,893,928,0.93785,0.96547
2008,Rural regions,West,No,0.98319,1879,1879,0.97738,0.98901
2008,Rural regions,East,Yes,0.04178,67,1723,0.03233,0.05123
2008,Rural regions,East,No,0.95822,1656,1723,0.94877,0.96767
2009,Urban regions,West,Yes,0.02290,114,5801,0.01905,0.02675
2009,Urban regions,West,No,0.97710,5687,5801,0.97325,0.98095
2009,Urban regions,East,Yes,0.04120,33,898,0.02819,0.05420
2009,Urban regions,East,No,0.95880,865,898,0.94580,0.97181
2009,Rural regions,West,No,0.98662,1795,1795,0.98130,0.99193
2009,Rural regions,East,Yes,0.04968,73,1657,0.03922,0.06015
2009,Rural regions,East,No,0.95032,1584,1657,0.93985,0.96078
2010,Urban regions,West,Yes,0.02534,319,7758,0.02184,0.02884
2010,Urban regions,West,No,0.93848,7439,7758,0.93314,0.94383
2010,Urban regions,East,Yes,0.03815,64,1072,0.02667,0.04962
2010,Urban regions,East,No,0.92312,1008,1072,0.90717,0.93908
2010,Rural regions,West,Yes,0.01488,110,2598,0.01022,0.01954
2010,Rural regions,West,No,0.94437,2488,2598,0.93555,0.95318
2010,Rural regions,East,Yes,0.04454,120,1969,0.03542,0.05365
2010,Rural regions,East,No,0.90277,1849,1969,0.88968,0.91586
2011,Urban regions,West,Yes,0.02264,348,9221,0.01961,0.02568
2011,Urban regions,West,No,0.95011,8873,9221,0.94567,0.95456
2011,Urban regions,East,Yes,0.03601,87,1298,0.02587,0.04615
2011,Urban regions,East,No,0.92552,1211,1298,0.91123,0.93981
2011,Rural regions,West,Yes,0.01790,143,3365,0.01342,0.02238
2011,Rural regions,West,No,0.94957,3222,3365,0.94217,0.95696
2011,Rural regions,East,Yes,0.04284,152,2343,0.03464,0.05105
2011,Rural regions,East,No,0.92181,2191,2343,0.91094,0.93269
2012,Urban regions,West,Yes,0.01924,270,8966,0.01639,0.02208
2012,Urban regions,West,No,0.95800,8696,8966,0.95385,0.96215
2012,Urban regions,East,Yes,0.02840,62,1270,0.01926,0.03754
2012,Urban regions,East,No,0.93473,1208,1270,0.92114,0.94832
2012,Rural regions,West,Yes,0.01474,110,3382,0.01068,0.01881
2012,Rural regions,West,No,0.95839,3272,3382,0.95166,0.96512
2012,Rural regions,East,Yes,0.04268,139,2336,0.03449,0.05088
2012,Rural regions,East,No,0.92364,2197,2336,0.91287,0.93442
2013,Urban regions,West,Yes,0.01851,314,10347,0.01591,0.02111
2013,Urban regions,West,No,0.95703,10033,10347,0.95313,0.96094
2013,Urban regions,East,Yes,0.02577,57,1280,0.01708,0.03445
2013,Urban regions,East,No,0.94179,1223,1280,0.92896,0.95462
2013,Rural regions,West,Yes,0.01619,117,3610,0.01207,0.02030
2013,Rural regions,West,No,0.95728,3493,3610,0.95068,0.96388
2013,Rural regions,East,Yes,0.03583,120,2278,0.02820,0.04347
2013,Rural regions,East,No,0.93332,2158,2278,0.92308,0.94357
2014,Urban regions,West,Yes,0.01556,200,9063,0.01301,0.01810
2014,Urban regions,West,No,0.96218,8863,9063,0.95825,0.96610
2014,Urban regions,East,Yes,0.02232,41,1202,0.01397,0.03068
2014,Urban regions,East,No,0.95296,1161,1202,0.94099,0.96494
2014,Rural regions,West,Yes,0.01419,85,3214,0.01010,0.01828
2014,Rural regions,West,No,0.95603,3129,3214,0.94894,0.96312
2014,Rural regions,East,Yes,0.03038,83,2124,0.02308,0.03768
2014,Rural regions,East,No,0.93952,2041,2124,0.92938,0.94966
2015,Urban regions,West,Yes,0.01386,196,8267,0.01134,0.01638
2015,Urban regions,West,No,0.83457,8071,8267,0.82656,0.84258
2015,Urban regions,East,No,0.80697,1031,1031,0.78287,0.83108
2015,Rural regions,West,Yes,0.01249,71,2968,0.00849,0.01649
2015,Rural regions,West,No,0.82172,2897,2968,0.80795,0.83549
2015,Rural regions,East,Yes,0.01650,58,1776,0.01057,0.02243
2015,Rural regions,East,No,0.76779,1718,1776,0.74815,0.78743
2016,Urban regions,West,Yes,0.01474,282,9422,0.01231,0.01717
2016,Urban regions,West,No,0.96818,9140,9422,0.96464,0.97173
2016,Urban regions,East,Yes,0.01667,44,1246,0.00956,0.02378
2016,Urban regions,East,No,0.96537,1202,1246,0.95521,0.97552
2016,Rural regions,West,Yes,0.01252,96,3307,0.00873,0.01631
2016,Rural regions,West,No,0.96050,3211,3307,0.95386,0.96714
2016,Rural regions,East,Yes,0.02476,76,2155,0.01819,0.03132
2016,Rural regions,East,No,0.94220,2079,2155,0.93235,0.95206
2017,Urban regions,West,Yes,0.01283,331,10514,0.01067,0.01498
2017,Urban regions,West,No,0.97087,10183,10514,0.96765,0.97408
2017,Urban regions,East,Yes,0.02998,31,1388,0.02100,0.03895
2017,Urban regions,East,No,0.93580,1357,1388,0.92290,0.94870
2017,Rural regions,West,Yes,0.01200,133,3807,0.00854,0.01546
2017,Rural regions,West,No,0.96721,3674,3807,0.96155,0.97287
2017,Rural regions,East,Yes,0.02660,91,2352,0.02010,0.03311
2017,Rural regions,East,No,0.94644,2261,2352,0.93734,0.95554
2018,Urban regions,West,Yes,0.01465,421,10417,0.01234,0.01696
2018,Urban regions,West,No,0.97362,9996,10417,0.97054,0.97670
2018,Urban regions,East,Yes,0.02202,49,1402,0.01434,0.02970
2018,Urban regions,East,No,0.95421,1353,1402,0.94326,0.96515
2018,Rural regions,West,Yes,0.01882,158,3538,0.01434,0.02330
2018,Rural regions,West,No,0.95953,3380,3538,0.95304,0.96602
2018,Rural regions,East,Yes,0.01995,96,2331,0.01427,0.02563
2018,Rural regions,East,No,0.95744,2235,2331,0.94924,0.96563
2019,Urban regions,West,Yes,0.01492,260,10483,0.01259,0.01724
2019,Urban regions,West,No,0.97274,10223,10483,0.96962,0.97586
2019,Urban regions,East,No,0.95981,1387,1387,0.94948,0.97015
2019,Rural regions,West,Yes,0.01657,98,3537,0.01236,0.02078
2019,Rural regions,West,No,0.97366,3439,3537,0.96838,0.97893
2019,Rural regions,East,Yes,0.02734,65,2389,0.02080,0.03388
2019,Rural regions,East,No,0.95339,2324,2389,0.94494,0.96185
2020,Urban regions,West,Yes,0.01325,324,11676,0.01118,0.01533
2020,Urban regions,West,No,0.96327,11352,11676,0.95986,0.96668
2020,Urban regions,East,Yes,0.01985,32,1505,0.01280,0.02690
2020,Urban regions,East,No,0.93804,1473,1505,0.92585,0.95022
2020,Rural regions,West,Yes,0.01196,101,3569,0.00839,0.01552
2020,Rural regions,West,No,0.96774,3468,3569,0.96195,0.97354
2020,Rural regions,East,Yes,0.01912,61,2272,0.01348,0.02475
2020,Rural regions,East,No,0.95559,2211,2272,0.94711,0.96406
2021,Urban regions,West,Yes,0.01566,279,7525,0.01285,0.01846
2021,Urban regions,West,No,0.97482,7246,7525,0.97128,0.97836
2021,Urban regions,East,No,0.96505,998,998,0.95366,0.97645
2021,Rural regions,West,Yes,0.01663,61,2371,0.01148,0.02178
2021,Rural regions,West,No,0.97935,2310,2371,0.97362,0.98507
2021,Rural regions,East,Yes,0.02355,44,1545,0.01598,0.03111
2021,Rural regions,East,No,0.96517,1501,1545,0.95603,0.97432
2022,Urban regions,West,Yes,0.01758,294,12210,0.01525,0.01991
2022,Urban regions,West,No,0.96458,11916,12210,0.96130,0.96786
2022,Urban regions,East,Yes,0.02458,39,1719,0.01726,0.03191
2022,Urban regions,East,No,0.94835,1680,1719,0.93788,0.95881
2022,Rural regions,West,Yes,0.01536,71,3628,0.01136,0.01936
2022,Rural regions,West,No,0.96976,3557,3628,0.96419,0.97533
2022,Rural regions,East,Yes,0.02711,61,2599,0.02086,0.03335
2022,Rural regions,East,No,0.95171,2538,2599,0.94347,0.95996
