year,quintil_oecd_hh,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,1st Quintile,No,0.83556,2105,2554,0.82119,0.84994
2000,2nd Quintile,Yes,0.02871,81,2713,0.02242,0.03499
2000,2nd Quintile,No,0.97129,2632,2713,0.96501,0.97758
2000,3rd Quintile,No,0.99286,2628,2628,0.98964,0.99608
2000,4th Quintile,No,0.99500,2587,2587,0.99229,0.99772
2000,5th Quintile,No,0.99891,2424,2424,0.99760,1.00023
2001,1st Quintile,Yes,0.13457,334,2231,0.12040,0.14873
2001,1st Quintile,No,0.86543,1897,2231,0.85127,0.87960
2001,2nd Quintile,Yes,0.02608,70,2460,0.01978,0.03238
2001,2nd Quintile,No,0.97392,2390,2460,0.96762,0.98022
2001,3rd Quintile,No,0.99345,2417,2417,0.99024,0.99667
2001,4th Quintile,No,0.99645,2362,2362,0.99406,0.99885
2001,5th Quintile,No,0.99820,2177,2177,0.99642,0.99998
2002,1st Quintile,Yes,0.14861,329,2099,0.13339,0.16383
2002,1st Quintile,No,0.85139,1770,2099,0.83617,0.86661
2002,2nd Quintile,Yes,0.03191,60,2240,0.02463,0.03920
2002,2nd Quintile,No,0.96809,2180,2240,0.96080,0.97537
2002,3rd Quintile,No,0.99702,2260,2260,0.99477,0.99927
2002,4th Quintile,No,0.99833,2358,2358,0.99668,0.99998
2002,5th Quintile,No,0.99898,3227,3227,0.99788,1.00008
2003,1st Quintile,Yes,0.16807,348,2052,0.15188,0.18425
2003,1st Quintile,No,0.83193,1704,2052,0.81575,0.84812
2003,2nd Quintile,Yes,0.03430,79,2209,0.02671,0.04189
2003,2nd Quintile,No,0.96570,2130,2209,0.95811,0.97329
2003,3rd Quintile,No,0.99177,2209,2209,0.98800,0.99554
2003,4th Quintile,No,0.99865,2269,2269,0.99714,1.00016
2003,5th Quintile,No,0.99976,3033,3033,0.99921,1.00031
2004,1st Quintile,Yes,0.19869,383,1962,0.18103,0.21635
2004,1st Quintile,No,0.80131,1579,1962,0.78365,0.81897
2004,2nd Quintile,Yes,0.02964,72,2163,0.02249,0.03679
2004,2nd Quintile,No,0.97036,2091,2163,0.96321,0.97751
2004,3rd Quintile,No,0.99392,2180,2180,0.99066,0.99718
2004,4th Quintile,No,0.99627,2262,2262,0.99376,0.99878
2004,5th Quintile,No,0.99849,2956,2956,0.99709,0.99989
2005,1st Quintile,Yes,0.12287,257,1971,0.10838,0.13737
2005,1st Quintile,No,0.87713,1714,1971,0.86263,0.89162
2005,2nd Quintile,Yes,0.02870,69,2068,0.02150,0.03590
2005,2nd Quintile,No,0.97130,1999,2068,0.96410,0.97850
2005,3rd Quintile,No,0.98865,2078,2078,0.98410,0.99321
2005,4th Quintile,No,0.99478,2205,2205,0.99177,0.99779
2005,5th Quintile,No,0.99968,2844,2844,0.99903,1.00034
2006,1st Quintile,Yes,0.11920,257,2096,0.10532,0.13307
2006,1st Quintile,No,0.88080,1839,2096,0.86693,0.89468
2006,2nd Quintile,Yes,0.03076,68,2222,0.02358,0.03794
2006,2nd Quintile,No,0.96924,2154,2222,0.96206,0.97642
2006,3rd Quintile,No,0.99296,2371,2371,0.98959,0.99632
2006,4th Quintile,No,0.99907,2490,2490,0.99788,1.00027
2006,5th Quintile,No,0.99811,3056,3056,0.99657,0.99965
2007,1st Quintile,Yes,0.11027,212,1960,0.09640,0.12414
2007,1st Quintile,No,0.88973,1748,1960,0.87586,0.90360
2007,2nd Quintile,Yes,0.03017,65,2110,0.02287,0.03747
2007,2nd Quintile,No,0.96983,2045,2110,0.96253,0.97713
2007,3rd Quintile,No,0.99346,2204,2204,0.99010,0.99683
2007,4th Quintile,No,0.99603,2325,2325,0.99347,0.99858
2008,1st Quintile,Yes,0.09799,191,1873,0.08452,0.11145
2008,1st Quintile,No,0.90201,1682,1873,0.88855,0.91548
2008,2nd Quintile,Yes,0.02639,52,1972,0.01931,0.03346
2008,2nd Quintile,No,0.97361,1920,1972,0.96654,0.98069
2008,3rd Quintile,No,0.99291,2151,2151,0.98937,0.99646
2008,4th Quintile,No,0.99793,2111,2111,0.99598,0.99987
2009,1st Quintile,Yes,0.09897,187,1794,0.08515,0.11279
2009,1st Quintile,No,0.90103,1607,1794,0.88721,0.91485
2009,2nd Quintile,Yes,0.02021,43,1886,0.01386,0.02656
2009,2nd Quintile,No,0.97979,1843,1886,0.97344,0.98614
2009,3rd Quintile,No,0.99273,1935,1935,0.98894,0.99652
2009,4th Quintile,No,0.99884,2059,2059,0.99737,1.00031
2010,1st Quintile,Yes,0.10068,436,3068,0.09003,0.11133
2010,1st Quintile,No,0.85453,2632,3068,0.84205,0.86701
2010,2nd Quintile,Yes,0.02398,139,2848,0.01836,0.02960
2010,2nd Quintile,No,0.94112,2709,2848,0.93247,0.94976
2010,3rd Quintile,No,0.95537,2442,2442,0.94718,0.96356
2010,4th Quintile,No,0.95724,2364,2364,0.94908,0.96539
2010,5th Quintile,No,0.96401,2633,2633,0.95690,0.97113
2011,1st Quintile,Yes,0.09357,515,3623,0.08409,0.10306
2011,1st Quintile,No,0.86522,3108,3623,0.85410,0.87634
2011,2nd Quintile,Yes,0.02317,173,3350,0.01807,0.02826
2011,2nd Quintile,No,0.95122,3177,3350,0.94392,0.95851
2011,3rd Quintile,No,0.97048,3128,3128,0.96455,0.97642
2011,4th Quintile,No,0.97308,2977,2977,0.96726,0.97889
2011,5th Quintile,No,0.96679,3105,3105,0.96048,0.97309
2012,1st Quintile,Yes,0.08267,429,3517,0.07357,0.09177
2012,1st Quintile,No,0.88120,3088,3517,0.87051,0.89190
2012,2nd Quintile,Yes,0.01623,116,3245,0.01188,0.02057
2012,2nd Quintile,No,0.95724,3129,3245,0.95028,0.96420
2012,3rd Quintile,No,0.97031,3108,3108,0.96434,0.97628
2012,4th Quintile,No,0.97258,2947,2947,0.96668,0.97848
2012,5th Quintile,No,0.98123,3095,3095,0.97645,0.98601
2013,1st Quintile,Yes,0.07819,451,4169,0.07004,0.08634
2013,1st Quintile,No,0.88655,3718,4169,0.87693,0.89618
2013,2nd Quintile,Yes,0.01962,125,3789,0.01520,0.02403
2013,2nd Quintile,No,0.95206,3664,3789,0.94526,0.95886
2013,3rd Quintile,No,0.97270,3295,3295,0.96713,0.97826
2013,4th Quintile,No,0.98179,3040,3040,0.97703,0.98654
2013,5th Quintile,No,0.97349,3183,3183,0.96791,0.97908
2014,1st Quintile,Yes,0.06515,286,3407,0.05687,0.07344
2014,1st Quintile,No,0.90421,3121,3407,0.89433,0.91410
2014,2nd Quintile,Yes,0.01776,100,3265,0.01323,0.02229
2014,2nd Quintile,No,0.94883,3165,3265,0.94128,0.95639
2014,3rd Quintile,No,0.97739,3055,3055,0.97211,0.98266
2014,4th Quintile,No,0.97772,2873,2873,0.97233,0.98312
2014,5th Quintile,No,0.98024,2975,2975,0.97524,0.98524
2015,1st Quintile,Yes,0.05295,238,3320,0.04533,0.06057
2015,1st Quintile,No,0.82017,3082,3320,0.80710,0.83323
2015,2nd Quintile,Yes,0.01109,89,3118,0.00742,0.01477
2015,2nd Quintile,No,0.85108,3029,3118,0.83858,0.86357
2015,3rd Quintile,No,0.83500,2657,2657,0.82089,0.84912
2015,4th Quintile,No,0.80535,2453,2453,0.78967,0.82102
2015,5th Quintile,No,0.80029,2490,2490,0.78459,0.81600
2016,1st Quintile,Yes,0.05562,400,5095,0.04933,0.06192
2016,1st Quintile,No,0.92611,4695,5095,0.91892,0.93329
2016,2nd Quintile,Yes,0.01442,72,3003,0.01016,0.01869
2016,2nd Quintile,No,0.96318,2931,3003,0.95644,0.96992
2016,3rd Quintile,No,0.97424,2683,2683,0.96824,0.98023
2016,4th Quintile,No,0.97480,2613,2613,0.96879,0.98081
2016,5th Quintile,No,0.97934,2706,2706,0.97398,0.98470
2017,1st Quintile,Yes,0.05571,468,5606,0.04970,0.06171
2017,1st Quintile,No,0.92206,5138,5606,0.91504,0.92908
2017,2nd Quintile,Yes,0.01431,93,3293,0.01025,0.01836
2017,2nd Quintile,No,0.97027,3200,3293,0.96447,0.97607
2017,3rd Quintile,No,0.98139,3053,3053,0.97659,0.98618
2017,4th Quintile,No,0.97092,2990,2990,0.96489,0.97694
2017,5th Quintile,No,0.98100,3048,3048,0.97615,0.98585
2018,1st Quintile,Yes,0.06547,529,5317,0.05882,0.07212
2018,1st Quintile,No,0.91988,4788,5317,0.91258,0.92718
2018,2nd Quintile,Yes,0.01068,141,3412,0.00723,0.01413
2018,2nd Quintile,No,0.97091,3271,3412,0.96527,0.97655
2018,3rd Quintile,No,0.98543,2940,2940,0.98110,0.98976
2018,4th Quintile,No,0.97779,2859,2859,0.97239,0.98320
2018,5th Quintile,No,0.98490,2977,2977,0.98051,0.98928
2019,1st Quintile,Yes,0.06236,358,5013,0.05566,0.06905
2019,1st Quintile,No,0.92302,4655,5013,0.91564,0.93040
2019,2nd Quintile,Yes,0.01571,82,3133,0.01136,0.02007
2019,2nd Quintile,No,0.96778,3051,3133,0.96160,0.97397
2019,3rd Quintile,No,0.98302,2862,2862,0.97829,0.98776
2019,4th Quintile,No,0.97942,2898,2898,0.97425,0.98459
2019,5th Quintile,No,0.99689,4326,4326,0.99523,0.99855
2020,1st Quintile,Yes,0.05088,423,6017,0.04533,0.05643
2020,1st Quintile,No,0.91877,5594,6017,0.91187,0.92567
2020,2nd Quintile,Yes,0.01600,81,3453,0.01181,0.02018
2020,2nd Quintile,No,0.95926,3372,3453,0.95266,0.96585
2020,3rd Quintile,No,0.96889,2844,2844,0.96251,0.97527
2020,4th Quintile,No,0.98021,2817,2817,0.97507,0.98535
2020,5th Quintile,No,0.98094,3688,3688,0.97652,0.98535
2021,1st Quintile,Yes,0.06327,302,3213,0.05485,0.07169
2021,1st Quintile,No,0.92625,2911,3213,0.91721,0.93529
2021,2nd Quintile,Yes,0.01170,79,2355,0.00736,0.01604
2021,2nd Quintile,No,0.97958,2276,2355,0.97387,0.98530
2021,3rd Quintile,No,0.98272,2046,2046,0.97707,0.98836
2021,4th Quintile,No,0.98869,2072,2072,0.98414,0.99325
2021,5th Quintile,No,0.99329,2707,2707,0.99021,0.99636
2022,1st Quintile,Yes,0.05422,268,5187,0.04805,0.06038
2022,1st Quintile,No,0.92376,4919,5187,0.91654,0.93098
2022,2nd Quintile,Yes,0.02262,138,4128,0.01809,0.02716
2022,2nd Quintile,No,0.96187,3990,4128,0.95603,0.96771
2022,3rd Quintile,Yes,0.01228,37,3445,0.00860,0.01596
2022,3rd Quintile,No,0.97159,3408,3445,0.96605,0.97714
2022,4th Quintile,No,0.97990,3402,3402,0.97518,0.98462
2022,5th Quintile,No,0.98445,3779,3779,0.98051,0.98840
